sedition.n.01	sedition.n.01|treason.n.01	117486316|117486420|100728221|100786454|109263416|109303153|117717266|109345573|109346434|109379241|101210289|101216016|109833539|109990453|118465145|102157016|119083719|102450700|102479428|102481389|120679462|120679734|120679832|120681767|120687677|120688340|120688764|120689342|120690492|104308760|104313632|121353357|121403781|121533761|121536746|121536842|121537812|105156048|113664326|105324050|105324176|114557427|106222973|106293595|106298347|106298497|106312830|106364297|106368589|106377070|106389483|106429823|106433266|106436054|106444853|106453057|106479242|106484721|123319247|106560055|123337402|106566469|106566748|106587313|123536956|123559471|123572931|115370913|115418594|115422665|107060818|115458568|107089464|115515736|107130986|115535521|107164095|107184530|107200340|107203737|107208532|107209885|107210232|107210524|107210899|107212157|107214853|107218702|107218746|107218776|107219567|107220611|107222705|107224585|107227512|107227801|107228251|107228585|107229573|107235234|107236265|107240096|107240876|107241713|107243860|107245163|107245374|107245515|107272725|107273148|107275340|107280625|107291413|107293029|107296375|107297084|107298017|107298801|107299484|107301291|107302248|107302569|107320836|107321866|107325343|107339833|107361184|107366674|115846099|115846182|115847077|115847297|115848427|115848806|115849231|115852379|115859440|115867218|115871449|115911338|124303134|115915186|115953997|115969101|115995531|116007513|116014495|116021359|116022781|116024648|116025263|116034647|107670484|116083047|116085243|116087031|116091925|116091985|116093469|116094306|116108773|116116605|116121585|116121694|116124000|116128347|116130522|116130781|116132055|116138294|116141194|116141325|116145087|116148127|107769356|116159617|107774482|124553862|124554291|116172420|116176065|116177843|116178934|116181221|116185736|116200370|107813661|116208129|116218104|116218142|116218836|116223864|116224529|116224628|116226451|124632869|124632948|116246060|116247033|116252258|116252359|116252518|124644013|124644192|116259435|116259548|116259580|116259754|116260072|116260256|116260312|116260412|116260568|116264606|116268097|116268700|116270303|116270367|116271009|116271107|116271240|116276088|116276163|116276169|116280905|116293135|116293432|116297488|116298385|116303133|108152575|108559835|116973139|108587732|108587751|117001444|108644592|100309431|100309488|100311230|117107663|117111581|117113060|117113262|117113578|117114293|117114529|117114542|117114579|117114810|117115425|100338324|117118427|117119576|117119695|100346419|117128281|117128626|117129367|117132828|100360080|117142843|100365850|100367075|100368138|100368617|100368966|100369501|117151805|117151829|108768567|117158640|108770181|100383536|100385672|100388489|100405915|117183513|117188310|100418461|100425207|100444577|117236250|100475667|100477108|108931695|108933447|108965310|108985232|108987894|110016924
faction.n.02	faction.n.02|party.n.03|cabal.n.01	109058331|109069613|100697314|100719217|109119682|100762556|100762884|100771961|100782408|100860366|100888689|100955052|100955058|109396971|109699737|109699738|109862993|109915017|118339300|118457508|118501877|118655713|102059867|102092160|102102375|102102411|102102514|102102539|102102679|102128020|102133207|102210191|102214116|102281681|102326349|102465897|103119354|104334174|104334376|104338660|104339142|104339206|104340497|104340602|104340645|104340686|104340702|104340715|104340940|104341011|104341033|104342446|104342498|104342721|104343520|104344364|121417940|122706440|106206360|115250157|115272706|115380419|115423615|107106927|107210926|116135505|116135605|116142053|108531648|108537345|108551925|108560912|108561072|108561206|108562448|108567963|108576184|108579421|108586410|108610157|117060572|108698427|117090987|117093358|117112121|108725955|100338756|117126525|117127885|108741225|117131164|117131630|100355163|108744773|117136453|108769131|108772711|108773945|117163607|108775581|100387766|108776891|117166045|108806451|117197979|117212845|117220953|108832825|108854136|108855947|108892446|100521615|108938074|108938486|108979949|108979954|109197909|103591876|103592606|121537352|116103257|117013443|117107716|118726362
strife.n.02	strife.n.02|discord.n.04|conflict.n.01|feud.n.01|fight.n.02	100697718|100715808|100728058|109137867|109167397|109212806|100903837|109305790|109322125|109342916|101021523|101056064|101104605|101302026|101365310|101397369|101400904|118336064|101653362|101667345|118457013|118457319|118457362|118457613|118458273|118458723|118458746|118460416|118460791|118460927|118461905|118485071|118514391|101793591|118671848|102102564|102128434|102192668|102195494|102209860|102219951|102300648|102323751|102326481|102370225|102379275|103590533|104309451|104314779|104339175|104339985|113462875|113576435|105205787|122612290|106754616|106758158|106762021|106763453|106764501|106772684|106786499|106789143|106793368|106793419|106807290|106818057|106839520|106857595|106863014|106863051|106863681|106863701|106869611|106873627|106883867|106887912|115355152|115391142|115392887|115412097|107050648|115442229|107065775|107105615|115512255|107199896|107210403|115610787|107234906|107266421|115655506|115655739|107309349|107315372|107321764|115780119|108386888|117060445|117061086|117158628|108780578|117212645|117214676|117217534|117237804|108971277|109013376|100665891|109308640|109310587|117749828|101773402|101773422|102236338|120967111|121354353|105139047|105161277|105224572|105248578|113663054|113663077|113663134|113727747|114656263|106764923|106765081|106765113|106765492|106767309|106801755|106825743|106858506|106895269|107086898|107087066|107206487|117010351|100298100|108688323|100303966|117108286|117110248|117119517|108762423|108766496|109010520|100660983|100666715|100727403|103590683|108429619|117108688|117117441|100708474|102226713|102236066|108619640|108712427|108740342|102274608
discord.n.02	discord.n.02|quarrel.n.01|dispute.n.01|controversy.n.01|bicker.n.01|debate.n.02|division.n.05	118317877|118362711|118364934|110012472|110018622|110021235|118500745|110174968|110181145|110181212|118640954|118644183|118667096|102127954|102128391|102232630|102373484|102451337|103204425|103592473|105137436|114639589|106260752|114655144|114656034|123536883|106867646|106891924|107089695|107111726|115513143|107295918|107296402|107296691|107309526|107311575|107314200|107319352|107319410|107617704|107619804|107638405|116040978|107672560|107692029|116232058|108608486|108608556|108644435|117083897|117108220|117132948|108751419|108768184|117172232|117188529|117188538|117237620|117237690|108878499|108906702|100544747|100546441|100548519|108944745|109021141|109041137|109041454|109343939|109362849|101025594|117946089|109750750|109931561|104340535|121190314|121192329|121215927|121216085|121240072|121242076|105225948|105240523|105450795|122673621|106298705|106382786|106384153|106762973|106835297|115398256|115404896|107087788|115532521|115535259|116077549|116092514|116176218|116196771|116197087|116772426|108573680|108646420|108766949|108767020|100906928|113473526|106452310|106764014|115403850|108574033|118783915|105271171|116552126|116586490|108698808|118457683|118861534|122640600
rebellion.n.02	rebellion.n.02|mutiny.n.01	100785528|118400252|110031283|110042048|118440811|118441493|118464356|110122792|110144687|110144773|110181835|118861570|121252855|121416435|121416573|121416602|121416617|121416694|121417064|121418279|121418440|121418509|106753314|106817834|106848109|106848124|106863380|115443125|124324413|124326452|124553510|124554372|124554381|124555890|124592428|107836394|116298379|124761010|108401160|116913615|117053497|117142693|118639644|118639676|118639776|118639786|103405281|105137316|105240468|105325473|106848148|115471096|124322353|124322871|124627515|124627716|124627784|124627882|124628014|124628124|124630137|124632345|108635842|117142623|117142711|108828004
rest.n.04	rest.n.04	109316422|117799457|101741115|101741567|101781090|101781343|101781410|101781443|101781451|101782003|101782275|101782300|101783175|101783551|101783560|101783708|101809318|101812044|101821793|101821909|102169474|103581750|103810105|104033081|104077918|104267301|104270123|104582833|105049580|105050003|122637013|122730106|122730526|123128403|123175644|123203218|123234503|123246721|123246754|123281146
constancy.n.01	constancy.n.01|immutability.n.01|monotony.n.01|stability.n.01	103766332|106195601|123218150|123218241|123218321|123218338|123218358|123218606|123218630|123218638|123218656|123218735|123218924|123220910|123221127|123221147|123221482|123224736|123224852|123234453|123234478|123234508|123234660|123234714|123234729|123234778|123234855|123234882|123234886|123234904|123234908|123123895|123176806|123183176|117950687|123218675
party.n.01	party.n.01	100691461|109358758|101686725|102403916|102485017|103592921|103593060|104166432|104166443|104338874|104339569|104343983|121417342|115341713|115354634|115401932|107161139|107455250|108562462|117119241|108833503|108835645|108846828|108899816|109008168
civil_war.n.01	civil_war.n.01|war.n.01|war.n.03	102093482|102193293|103600360|106307931|106863472|115382189|115386803|115704424|115743989|115743994|124314734|107614473|116118505|116126351|124770320|117083985|108912490|100661794|106585091|106863295|124313517|116186662|117188350|106755698
position.n.01	position.n.01|post.n.01|military_position.n.01|station.n.03|topographic_point.n.01	118012177|101640313|102169643|121261755|123110846|115240432|115241938|115252646|115263016|115269469|115271611|107079492|107798619|108016959|100917528|109847991|102269324|121288583|107145766|107145840|107372101|108013013|108017101|105164361|106794310|106912493|107365006|101080836|107368398
