bulk.n.02	bulk.n.02|bulk.n.03|mass.n.01|size.n.01|magnitude.n.01|amount.n.02|weight.n.01|amplitude.n.03	109121285|109122474|100837712|101622494|110402440|102067232|102178178|102187653|102313136|111153989|111189200|111201812|111201836|102917169|102917171|103827334|120654528|104107351|104116655|120966311|104209923|104231160|104651507|105046100|122726599|123087618|123130120|123130812|106359647|123166301|123169000|123172639|123196059|123213810|123227295|123236947|123237599|123237749|123282203|123637713|116832949|116840536|116871523|108552300|117774095|117774358|117780385|117783423|101711012|110419457|110419467|102639089|103370190|103642222|103642894|103766981|103778246|120579194|103828130|103829793|104106947|104145942|104207406|104463403|104704045|104718946|106279712|123114550|106401839|106487592|123637366|123638072|116777737|116799098|116829527|116838379|116852719|116869664|108751878|108917818|102169883|102171229|102179102|102313178|111201799|103612619|103634301|103634969|103771116|103777961|103777980|103780304|104565180|123061755|106287508|123071661|123073170|123073180|123079056|123114569|106346201|123164397|123245083|123245439|109023137|101747467|101747594|101747623|103629390|103808590|103808614|112438815|112438839|112439146|113402282|106112514|123115361|109024080|123072922|123073159|123078964|123114577|123195359|123237713|123258699|106555686|106555790|123637848|124703223|102265705|104114707|118180247|123555334
swelling.n.01	swelling.n.01|enlargement.n.02|expansion.n.01|extension.n.02	119069117|119121077|119334667|119342827|119352133|119354532|119368526|119372852|102612779|111152339|111152494|111154039|111154064|111156712|111156796|111163093|111175304|111175644|111176221|111196602|111196663|111196880|111196888|111197249|111204339|112420174|112423497|103945630|123237180|118304825|123244913
masse.n.01	masse.n.01	101825674|102168884|102169846|102170591|102313271|103779105|103792224|120659281|112386346|105051246|122713206|122731776|123078919|106342665|123129042|123129384|123166362|123175837|115478175|116583955
atom.n.02	atom.n.02	119102095|111163341|112391372|112391394|112391404|112391415|112391479|112391665|104141024|104141299|105045850|105045942|105045977|105046331|105047603|122726347|122726440|122726476|122726834|122728108
mass.n.05	mass.n.05|body.n.04|particle.n.02	101825808|101825906|102168256|102170752|102313239|111197208|103777913|112447549|120967316|106146727|123073351|123129400|123129402|123213455|123237646|123240325|123240355|103642727|104252467|104252533|104548419|123078483|112391571|112391685|105046360|122673125
majority.n.01	majority.n.01	117775397|103642600|103642630|103763804|103771480|103838170|104118232|104227556|104234360|122766382|122776018|123092257|123636730|116806115|116810477
pomp.n.02	pomp.n.02|magnificence.n.02|greatness.n.01	109267575|118755428|118776698|118796314|102223448|108583222|108636410|108804252|108814644|108827152|108856508|108946050|108993062|109004731|113483258|107370382|116258060|108621803|100789927|107149101
volume.n.01	volume.n.01	103823972|104107378|104115005|104191320|104233797|104233909|104233914|104234535|104234670|121249461|123079135|123173589|123173597
mass.n.03	mass.n.03|pile.n.01	109174087|101795606|101825613|102179029|111189008|111197226|104710220|106261621|123259993|123260029|100973419
weight.n.04	weight.n.04|load.n.01	117541263|109772252|109897826|110227300|103642685|123573370|116925845|108760963|109772288|106245768|106344016|106541688|116232660
