providence.n.02	providence.n.02|providence.n.03	117455274|117459372|117459659|117459678|117459717|117472258|117480810|117520762|117528156|117537240|117538454|117553973|117600365|117604218|117606094|117609022|117609598|117616759|117627632|109280372|117679185|117679396|109302819|109313620|109378241|109378676|109378821|109384899|109392066|109392174|117983289|117983858|118012850|118013689|118013707|118014271|118014282|109650201|109654414|109654539|118310187|118310243|118310330|118310439|110013136|110181795|110285067|102160060|119000543|119094437|120645466|120647459|120648403|120648421|120648834|120659737|121136702|121140028|121152306|121152397|121152829|121153018|121153926|121153964|121153972|121154128|121154144|121154155|121154411|121159322|121333120|121370517|121371399|121373317|121373339|121381479|121395846|121402030|121411121|121414666|121414692|121414706|121424740|121425431|121437070|121437160|121437206|121442733|121448841|121454130|121455873|121458837|121460918|121465834|121466867|121466880|121474400|121484834|121495393|121503721|121508519|121508539|121519985|121522152|121527036|121532513|121532762|121532781|121532808|121532814|121542362|121544094|121549423|121552887|121552924|121553142|121944483|121972711|121985707|121988699|105405403|105771804|122624658|122657749|122691233|122691877|122766822|122767530|106257740|123064388|106287518|123091767|123099980|123100722|123101134|123143981|106391652|106399059|106404693|106410256|106420560|123212541|106465216|106523296|106530194|106551673|106551869|123333349|123341911|123342111|106565900|106568299|106581365|106587390|123589264|123590024|106834008|107085856|107107319|107117779|107118321|107149104|107169825|115604306|107312145|107361671|115799607|115808041|115810999|115814431|115815176|115820405|115822132|115825104|115828176|115829505|115829584|115829788|115831342|115832249|115847852|115848474|115851074|115851275|115851742|115854427|115856911|115860458|115865916|115873454|115874992|115885678|115902373|115910266|115915209|115923778|115966875|115967887|115985056|116004934|116008454|116039806|116105757|116124629|116125802|116130361|116134787|116151573|116169886|116233494|116237084|116255058|116259454|108187612|108189178|116849811|116892432|117369771|100626717|117538394|117983275|119093800|119093870|121137011|121141489|121465717|121985636|122754662|122754865|122756756|122760503|122761182|106439767|106918357|115549350|115662175|124477768|116127443|116178609|124581740|116960047|117338025|117377518
caution.n.03	caution.n.03|discretion.n.02|wisdom.n.03	100727809|109141134|109275140|109285858|100958263|109350447|101073736|101094940|101280213|101358724|101366776|110394249|103048735|103058461|103133397|103298756|103338759|112388613|120826495|105229294|105265015|105312333|122716659|122744407|106496158|106518267|106570242|123538684|115235994|115411192|107093828|107147340|115561729|107228230|115633412|107328041|107372735|115794223|115868903|115893278|115899796|116001736|116033637|116083652|116120731|116124055|116131724|116137019|116149333|116150067|116152191|107764592|107825604|124657638|116271690|124664494|108359968|108634683|108688200|100351802|108828077|108956518|100610985|101235587|116082597
foresight.n.01	foresight.n.01|prevision.n.03|prudence.n.01|providence.n.04	109063976|109116030|100812390|109253369|109254358|109334550|109351278|109404539|117978683|117980421|101607284|110011536|110020979|110043714|118440138|103351756|103355964|103471735|121237377|121497400|105133041|105196306|121975283|105249783|105303174|105307864|105318219|105323826|105348378|106120609|114648740|106517909|106752157|107230730|107244830|107313916|107337994|107339028|107613090|124529403|124567503|124567524|124595240|124655465|108623096|108658320|100345461|100522832|100825668|109506093|121179387|105178717|105303938|105304901|108551909|108652289|117204584|100467134|103097577|106222569|106245679|106395077|115989799|107811425|108628783|109391174|121461010|106211782
care.n.01	care.n.01|care.n.05|great_care.n.01|protection.n.01|aid.n.02|preservation.n.01|relief.n.05	117501870|117623587|118478851|103161008|105360059|106298671|123149808|123170222|107210774|115831072|115833632|115893013|115894131|115899773|115917702|115924594|115936896|115961888|115976677|115984637|116025847|116151452|116163352|116257985|117317997|118485640|118997747|111172011|120641927|106252544|107065379|115815919|115824280|115829440|115846005|115910977|115962804|115969976|115972053|115975430|116038056|116040641|116136765|116189324|116920121|117506985|107229841|107343174|115933756|109255158|122754360|117158571
thinking.n.01	thinking.n.01|idea.n.01|consideration.n.01	100695087|100727097|109874417|118462032|103072997|103304002|103304185|103383958|103403813|103409139|103476335|105318361|105338298|105381880|105387810|115438072|107182120|107204183|107283499|107374977|108902270|100711481|117501888|103047421|100790492|107259552
premeditation.n.01	premeditation.n.01|planning.n.03|premeditation.n.02	109138171|109141638|100784622|100899720|109351542|110401413|102164768|102436082|102436550|102437148|103203031|113567940|106194365|107059579|107237320|107561537|116572332|108559363|108826881|108831935|100686854|110191669|103305021|105182467|116309613|101282287|102435746|102436430|102437191|102437409
purpose.n.01	purpose.n.01	100937410|118417048|102264112|120992603|105323608|106319337|106337242|106491625|107327938|116043343|124698820|124710719|124777577|116979617|100474940|100548582
precognition.n.01	precognition.n.01	117582851|109300252|118313691|119050713|102518276|121284254|121949655|122713475|106359228|106572075|106813411
concern.n.03	concern.n.03|solicitude.n.01|concern.n.02|care.n.04	100760125|100801921|101248166|101248174|103108298|105222031|114640722|107263900|107273052|100683025|100698898|101500874|118327168|113656026|109209978|103352723|105278775|107095067|116033975|117623660
precaution.n.01	precaution.n.01|measure.n.01	101113851|118436246|103170011|105290484|105314766|105343133|105407283|123341435|105325770|105374758
