insolence.n.02	insolence.n.02|crust.n.03|insult.n.02|abuse.n.02|indignity.n.01|scandalization.n.02|jeer.n.01|rebuff.n.01|contempt.n.03|derision.n.02|ridicule.n.01|smear.n.01|twit.n.02|behavior.n.01|derision.n.01|discourtesy.n.02|boldness.n.02|irreverence.n.02	100664910|100702355|100728315|100728791|100757894|117579035|117579113|109251440|109331181|109334597|100954834|100954840|100961012|101269024|109696044|109753131|109832845|109913259|109913355|109921818|118323343|118340568|101610947|118419483|110031984|118437407|118509608|101773716|102076979|102137525|102210052|102214424|103026114|103049537|103139875|103141354|103141537|103145831|103146026|103148971|103154434|103154670|103154748|103279979|103395424|120969574|120990459|104333777|104346324|104346390|104349073|104595645|104595653|113599631|105259990|113690027|122708487|106167449|106265171|106314832|106404937|106405818|106415885|106443637|106457933|106482587|106487698|106527086|123341395|106585681|123566240|106885317|106918342|106929536|115341501|115359348|115359578|115437516|107097449|107166636|107166730|107181309|107234197|107236791|107239182|107250281|107250759|107262182|107310403|115702327|107342871|124532776|107796409|124610974|124671444|124710503|108031302|108097930|108148771|108150772|108172279|108179361|116803265|108530519|108536255|108576318|100236464|108641612|108647531|108652842|108661918|108683256|108721616|117117537|108761684|117207022|108825953|108923374|100539526|108959235|108964231|109012849|100632736|100633862|100664967|100681158|100690256|109087877|100729443|100778368|117579018|117579072|100810181|100824935|100824939|109334222|100954549|100954560|100954597|109359740|101104957|117957793|101348104|109849672|109866002|109910226|109912903|109913508|109914102|109914158|118312016|118343267|109960308|109983511|101610252|118435472|118435565|118443034|118487146|118495877|118496353|118514863|101877718|101891499|118827368|118837358|102078046|102133496|102133514|102197448|102204132|102222858|102242310|102287675|102319021|102434676|102476628|102477101|102484567|102955443|103145220|103145661|103151572|103151811|103152457|103154799|103155926|103236234|103268905|103311547|103337332|103403004|103407465|103417304|104339468|104339504|104346397|104347509|104491665|104492182|121332393|113371974|113392208|113395040|113460354|105166011|113691830|113734760|113734812|106200087|106383504|106436695|106486376|106520027|123336681|123336730|123339509|106564032|106566530|115418806|115423854|123917013|107164086|107165528|107229888|107310678|107334889|107796356|108552025|100193180|100205976|108629606|108645562|108675036|108807908|117215656|108833085|108833392|100507126|108896277|108900697|108901891|108919280|108923096|117320108|100574694|109044815|109127352|109166438|109166928|109246719|117739517|101158449|101191273|101207735|117985488|109910299|109910376|109914298|109921731|109928268|109997492|110005127|118410211|118410751|118420602|118486508|118496336|118510207|118670040|118931677|118938139|103143312|103144058|103175129|103413910|120836510|104483383|104483476|104483952|104483974|121450617|113304593|113452445|113456169|113511235|113692093|105313518|105351669|105441595|122633838|106494217|106537339|106564339|106564762|106565480|106568428|106572720|114995033|106899300|106919488|115436159|115517161|107156020|107201761|115600916|107232013|107250141|107250249|107288256|107296573|107299419|107322743|107332884|107367263|115802654|115816609|115882512|115949781|115976421|107611103|107661078|116106021|116111347|124530559|124538769|116202390|124599844|124652872|124653954|124673538|124673569|116286712|124685739|124693320|124697325|124701879|124704537|124704721|124717031|124722301|124733794|124763631|124764174|124766588|116777423|108612903|108636566|108750470|117171498|117182020|117239656|117240008|108896989|117313440|117320569|100549210|100549450|117365957|100630404|100646321|109087907|100833251|100843331|117700708|110025180|118861723|118926164|118934230|118936530|118937003|103164068|106468144|106473000|106562358|115267076|115496310|115534776|107337812|107346159|107367365|116803339|116890712|108746809|108838623|100616731|100631761|110000354|110022171|122621252|106763263|106806472|115436114|107103758|107176874|107257923|107357500|116077003|124763530|117118890|117171392|117178533|117181586|117182231|117219803|101171242|102263564|103392604|117334140|117358075|109076830|100835825|109245961|107468978|118334555|113320618|113452389|106844035|115872538|116104403|108094741|117133227|103252456|117130218|113347410|122668165|103435138|105269282|113690213|117183122|117192119|108988360
outrage.n.02	outrage.n.02|maltreatment.n.01|mistreatment.n.01|oppression.n.01|atrocity.n.02|disregard.n.02|torture.n.05|annoyance.n.05	100777439|100802094|100815846|100831443|109240606|100874855|101118247|101605180|118436582|102279680|119089636|102427035|102490857|103090196|103143711|103147494|103157580|103201744|103245864|103247712|103249357|103310804|103311067|103311913|103313761|103380535|103380643|103437473|120660577|104349352|104479445|104479964|104480021|104500559|104505538|105197618|113634585|113634642|105298972|105300096|105300500|105319154|105352190|105441815|105443175|106813259|106828034|106899408|106903668|115385420|115401529|107152750|107162254|107162508|107264227|115681574|107346521|107346582|115783841|115792781|107469019|107761404|107791166|124651448|108473968|117023754|100300168|100300798|100303595|108774304|117204032|117213546|117348261|100810810|103311759|103383966|103388730|121335453|114988382|106930188|107201645|107210764|107217952|107311032|107328553|107335712|107344363|107365258|115845016|116077532|116089593|116123780|116258779|116308454|116311960|118350615|107365286|107365391|115869239|115882064|100693841|119072506|116110799
violence.n.01	violence.n.01|aggression.n.03	109121605|100737762|100897064|101271515|109696340|118292361|118292371|101682782|101704720|101807016|118754731|102242768|102243467|102360364|102381626|102412907|102995123|103074006|103461004|120655846|121242141|121264244|121271173|121286124|121354350|105142194|113620572|105393837|106226828|114641439|106390377|106445715|115269553|115582374|115583920|107217554|115806839|107432338|107432357|107604749|116095480|116985887|100252025|100252626|100252834|117107759|117198040|117355012|109010527|103107744
pride.n.05	pride.n.05|arrogance.n.01|lust.n.02|hubris.n.01|lecherousness.n.01|envy.n.02|prurience.n.01|passion.n.05|avarice.n.01	101028879|101084108|102221869|102370967|103119266|120689792|121554489|108062699|108094340|108149882|108151039|108151137|108152156|108153878|108158450|108219761|108220396|108225027|108249284|108250300|108251074|108251078|108255975|108256856|108284649|108284895|108293379|108296658|108296663|100005973|100198334|108671195|100298021|100298936|100300041|100302130|100302610|100304402|100306638|100315808|100369636|100511369|109114074|109125618|109125681|109126673|109279523|101456201|101586328|109995540|109998186|110002351|110022012|110030836|101654964|101657791|101662295|101662899|101669938|118487224|118858372|118884520|102364824|102405164|103031654|103047307|103116165|103353941|104959039|105064177|115504432|107198806|107846273|108153242|108153350|108235806|117081810|117175710|117227340|101876641|118686765|102200431|113694803|116986267|107051133|100136969|100151095|115867675|115867732|103119472|106796716|117324011|108953695
abandon.n.01	abandon.n.01	109065675|101477009|101480886|101481472|109934060|118395299|118428644|118438283|102262933|102362421|102362813|102502534|103066428|113452091|123568783|107076880|107241174|116842194|116957403|108600412|108714205|100422768|109013719
pride.n.01	pride.n.01|pride.n.02	101001160|101077614|103038908|106897904|108233084|108233088|108240781|108241382|108254996|108255032|108284639|108284643|108336276|108336528|108337585|108338812|108252381
shame.n.02	shame.n.02|dishonor.n.01|reproach.n.02|humiliation.n.01|infamy.n.01|humiliation.n.04	109914227|103277919|103394594|113500299|113692070|105459418|123283969|106762359|106763290|107216602|107266810|116186196|116222548|124619702|116989395|104483540|107162068|107302516|115947945|116920617|113418024|115888299|116001190|116311816|108183856|113511497|107230252|106462903
injury.n.05	injury.n.05|wrong.n.02	118411683|115816065|115906450|115932650|115965989|116046551|116056104|107708501|116118604|116221134|116223815|116257046|108086801|108194302|117239618|117143602
licentiousness.n.01	licentiousness.n.01	100708183|117497811|117506873|109250733|118351385|118514145|101850900|102364543|107097670|116265022|108542247|108549390|117362918
rape.n.03	rape.n.03	118350734|103142156|103142474|103143865|103150790|113417413|113532974|105260144|106490372|107612631|117024430
