preparation.n.01	preparation.n.01|training.n.01	109053433|100682538|109071845|100687438|100703973|100713654|100713813|100714296|100752329|109166275|109166318|109172349|117580873|117580917|109201023|117620117|109233040|109233572|117624675|109240735|109270207|117673354|117682457|117691444|117691505|117693704|117694368|117731053|117739967|117742085|117747151|117750879|109398118|109411048|101029464|109537628|109741606|109742648|109745654|109747180|109748611|109755340|109801898|101437785|109840449|109840538|109866092|101510424|118293675|109924602|118373946|118433788|110123344|110145302|110162346|110162745|110162992|118689881|118691930|101930063|102000056|118944043|119066366|119386605|111004879|111005025|111005040|102644446|103050750|103064046|103066669|103075238|103081464|103350340|103360981|103382916|103402923|103409539|103409591|103476323|120780705|104493806|121539437|113315225|104935629|113383605|105119795|105120962|105124211|105128319|105144227|105159650|105176295|105176738|105185309|105193332|105196591|105202878|105209141|105211728|105211967|105216915|105218511|105219734|105221412|105226636|105232197|105238536|105240456|105243046|105244505|105244624|105244693|105245466|105248067|105249115|105252365|105256618|105280685|113673117|105289797|105292187|113704146|105318349|113708134|105320225|113712633|105341094|105341804|105342045|113731153|105343087|105350991|105363708|105365188|105380323|105399353|105402818|105409030|105417035|105419754|105431677|105444821|105450474|105681140|105684014|105775478|106112621|106152870|106234288|114643690|114652425|106397458|106399900|106409057|106415987|106455162|123249016|106478907|106545970|106734551|106734578|106734665|106740174|106750515|106754476|106754491|106754519|106755313|106766144|123550363|106785760|123569238|123569507|106796117|106803670|106807215|106807749|106828826|106830358|106847809|106849842|106854384|106855133|106857991|106859068|106861211|106863859|106879685|106882880|106886119|106886892|106887284|106902111|106910648|106910918|115358910|107099752|115490400|115491831|107113171|107122209|115519062|107132857|107133579|115532938|115556021|107183451|107184468|107193322|107195178|107200205|107200873|115659612|107291362|107309742|107363910|107453827|115868048|115887234|124326929|115951111|116007591|116022587|116043416|116052432|116065584|116075286|116102789|116103927|116104864|116125840|107744120|116181062|124595914|124599802|124606397|116232374|116232482|124648831|124650686|116263719|124653829|124654150|124656706|124659191|116297425|116305322|124697730|124697755|116313631|124702329|124716422|124737527|124739929|124769775|124771178|116777313|108526101|108543223|108585696|108619489|117026614|108644339|117044128|108666533|117057051|108674449|117066666|117068245|108683424|108686359|100313817|100314394|100314658|117094556|108706493|100322970|117100776|117109540|100335984|117115704|100341025|117119069|108732435|100344503|117122924|108739151|100355269|117134178|117134467|117139892|117140568|108752176|117143787|100371792|117150853|100376520|108768582|100380768|100388538|117170099|100402779|108795147|100410688|100411226|108801450|117192013|100419222|100422302|100422576|100422625|100422871|100423441|100424343|100424633|108818259|117210345|108826883|117217080|108833482|117227796|117228231|100451296|108841039|117232704|100459157|108860955|108872400|108907388|108921529|108938350|108939363|117336516|108954178|108954954|108973908|108989632|108994049|108998740|109005247|109014612|109017168|100633179|109021935|109022111|101392478|118294882|113306767|105338375
readiness.n.01	readiness.n.01|set.n.12	117580886|117580941|117582458|103477865|105244469|105411376|114643285|106509340|115365874|115491471|107364393|124533402|124579094|124585394|124586574|124587736|124589419|124592907|124593310|124597629|124601951|124602341|124610865|124618207|124620848|124640598|124644135|124651852|124663853|124665954|124668756|124669237|124673859|124676643|124677732|124695046|124695812|124708745|124719096|124725502|124736594|124737430|124752801|108093080|117047800|117047878|108666824|117064819|117067450|117072315|117081820|117082928|117096218|100323300|117115595|100350663|100351032|117134912|117143517|100412593|100430426|100432589|117228428|117232154|100461457|108913349|101359782
equipment.n.01	equipment.n.01|apparatus.n.01|materiel.n.01|baggage.n.03|device.n.01|appliance.n.01|implement.n.01|instrumentality.n.03|instrument.n.01|material.n.04	109271518|109741622|109933651|101622700|118502813|110248698|101904941|119073469|103034091|103064325|103091143|103128662|103140838|103148680|103346815|103346882|103494648|112412984|104487102|121343971|122744174|114645847|106498005|106735941|106744466|106754885|106766668|106780493|106782436|106782941|106870581|106895357|115399836|115412986|115449288|115494641|115496071|107303197|115779983|124578413|124627127|124684116|124722601|124758056|124774711|108378847|108601614|108635267|108637394|108656764|108659909|108674732|108689514|108718444|108773628|108800772|108803480|108811200|108829800|108853374|108857047|108859230|108879993|109021862|109023538|109036371|102635331|106260925|123573776|116998343|116998776|117072181|108689879|108689883|117082483|117082870|117085810|117094826|117101785|117110888|117122848|117139008|117143737|117143818|117170436|117183065|117200011|117206209|117211452|117228179|117231644|117956978|117957064|118362302|118941468|105324574|117020401|117023402|117319892|101126307|105123199|100474989|105281153|105301830|108792571|105189399|117143581|102110538|116311764|108808976
force.n.04	force.n.04	101252130|103032319|103032349|103032412|103063480|113340005|105120912|105237265|105304844|105363773|106853990|107084944|107104713|115495019|115648172|115655122|115703445|115730352|100375431|100400662|100400799|100415311|100416731|100417547|100418720|100425107|100426053|100435075|100449206|100450984|100451730
provision.n.04	provision.n.04|store.n.02	109799442|118658265|118678285|102062674|105434442|106583340|107340305|107738800|116242602|124729930|108036059|108588165|108597614|100309195|100312343|100338847|100356133|100361173|100365878|108777467|108789152|100423036|100424423|100425909|100446287|100450759|100451581|108942457|117753420|118680812|113758581|106146292|106563807|106876401|106895067|107136280|107198332|107202303|107282416|124309535|107638433|107720290|116998508|117027744|100446695
supply.n.01	supply.n.01	102310261|112385385|105272457|105771436|106479308|106497985|106513005|106513027|106760610|106775769|106776908|106795807|106838124|106848188|106852950|106854519|106858098|106859785|106867209|106898331|106907697|115374524|107174661|116998450|117072524|117146120|100445118
armament.n.01	armament.n.01|weaponry.n.01|munition.n.02|weapon.n.01|engine.n.04|arsenal.n.01|artillery.n.01|arsenal.n.02|ammunition.n.01|magazine.n.05	101601291|118380641|103097541|103352670|103354410|103354896|103357699|120574814|105042619|105136396|105138879|105155038|105262498|114643644|106828543|115395390|107495007|107495009|108589144|108756801|108787626|108788671|108807303|108844529|108853785|108859054|105170379|108769612|117202280|117202941|117206616|109532440|100399222|100425082|100440107|101381896|110040823|115407193|106910956|116271230|115956004|117144358|105139817|105202482|100346406|117152440
material.n.01	material.n.01	120643946|105121354|105131016|105244301|105254230|105254459|105358535|105384980|106384076|106908627|117055999|117056074|117056586|117212425|117228412
provision.n.02	provision.n.02	100945543|102065715|102065753|102065865|102066072|103046456|103057010|105150934|106885062|124603806|108036730|100309385|100354156|100355183
resource.n.01	resource.n.01	117749698|105042688|105126492|105151402|105168067|105168243|105242292|105257436|106468246|106468306|115402014|115615407|117008136|117057249
