domination.n.02	domination.n.02|dominion.n.01|reign.n.03|dominance.n.02|predominance.n.01|suzerainty.n.01	100687674|109076974|100693161|100694342|117472061|100728395|100728428|100769871|109262100|109273338|109273594|117730764|117998920|109774090|103470360|103595671|105150682|105151338|105158751|105259663|105272209|105272559|105272701|105299026|105301016|105391614|105403972|105452543|105452584|105455513|106148461|106157532|106281571|106300120|106423753|106444060|106524567|106736275|106747755|106747934|106767704|106771797|106771856|106772111|106779876|106786014|106786930|106789249|106789727|106795060|106795348|106809980|106816563|106838262|106847486|106847518|106847666|106848623|106849964|106849979|106852250|106855914|106857105|106857422|106860753|106860794|106861014|106862060|106862897|106863430|106865578|106868462|106868614|106873914|106874006|106876127|106878599|107058919|107058954|107059205|107059812|107060011|115466008|107092557|107093269|107093526|107093589|107115563|107115730|107116632|107117038|107117109|107117671|107117786|107118780|107122041|107122123|107124767|107125871|107127458|107127493|115523645|107142811|107156166|107156289|107157085|107159793|107179876|107188449|107203159|107212489|107238964|107243244|107246883|107253920|107272814|107274920|107283802|107284114|107297912|107299063|107310482|107313953|107351401|107678832|107762026|124656827|108570690|116988414|116988442|116988479|108614111|108615597|108629277|108629947|108641092|117036903|108653964|108678924|108681807|108736014|108738519|108751452|108759862|108779759|108779773|108786017|108838517|108858327|108860039|108867949|108875272|108875620|108875674|108882100|108899218|108904772|108946192|108951700|108970988|108985382|109050407|117477953|109257019|109257356|109257405|109257421|109266966|109270133|118321010|118321062|121177915|121292129|105043666|105136550|106116946|106122084|114647158|123322107|123322536|106564774|106836589|106888344|106915179|107059511|107059922|107078778|107080331|107105372|107277683|115806243|115823601|115847708|115872662|115876054|115884240|115902359|107526551|115966307|115983059|107631852|107721509|116191589|124615698|124615741|116246684|124653784|116269437|116277983|116297145|116304657|117106684|117107038|108725071|117143485|117160879|117186278|108880666|109260169|100886972|100952049|121460709|106163131|106234373|106392763|106506071|106569739|106839279|107105710|107106217|107112186|107131354|115521962|115522052|107135224|115525312|107139483|107149429|107152140|108616488|101618278|106840684|106842020|107631813|107665821|102312559|103119854|106130537|106346203|106372419|104364715
command.n.03	command.n.03|authority.n.01|power.n.01|sovereignty.n.03|sway.n.01|lordship.n.02|power.n.05|control.n.01	109084196|117528151|109192055|109261224|117734059|101036845|101044232|101044367|101045879|101046210|101056115|101470415|119071992|103447378|103595751|104325417|104325512|121292328|105122384|105197868|105337165|113727215|105347711|106738925|106748468|106748508|106748735|106769157|106771414|106783530|106790708|106792481|106797272|106800455|106805686|106805747|106808332|106809134|106810787|106820786|106821287|106822197|106822413|106824350|106837509|106838551|106839380|106843490|106849485|106849728|106854622|106859265|106872659|106872719|115267403|106879925|106883748|106884484|106887360|106891169|106897566|106897605|106904474|106904586|106906205|106906236|106915737|106917329|115330299|115332107|115332282|115346986|115349215|115366370|115382460|115402024|115403877|115434448|115442136|115451383|115452064|115465744|107092638|107098153|107117219|107140369|107184279|107190510|107196429|107201935|107214729|107217195|107244454|107249200|107264864|107279781|107293160|107298032|107323214|107330542|107339137|107339393|107341828|107363902|107366108|107366245|107366347|107368788|115770276|115998638|116232805|108591188|108597220|108606151|108652211|100321879|108724166|117137864|108756810|108762944|108763254|108764426|117155100|108768341|108768898|117159544|117159723|117161607|117165589|117172992|117180908|108807165|108828148|108918090|108940215|108991745|109010106|109041328|121974903|105772716|106168366|106201246|106222994|106223080|106225043|106314257|106319797|106321818|106327288|106351032|106385449|106393484|106400840|106401574|106409486|106429875|106468297|106470876|106490535|106505078|106505281|106513469|106514376|106519938|106519999|106521709|106527408|106536680|106541409|106542896|106559851|106571088|106571135|106572435|106572532|115332587|115332715|115355439|115524494|115822186|116099674|116332647|100330744|117334475|117352455|109080384|109080863|109081709|109088928|100772965|121231491|106338608|106559778|106570813|106576850|106576995|106817516|106908688|107140433|115534109|115542651|107192008|107269155|124600625|124645755|116265881|117025073|108676648|117065366|108801984|108902059|108907339|108936525|100687840|120554046|107135156|107149372|107149542|108991994|124573324|117165434|108983963|101090451|123039926|100731841|107370966
leadership.n.03	leadership.n.03	109067257|109067598|100688088|100692797|117470164|100694685|100721975|100730363|100754795|101056054|101350994|118467649|118470302|103067560|103420655|103421321|103595943|104314151|104334428|104334488|121233010|121259495|121264225|114646773|106735138|106742558|106748530|106752618|106759427|106765928|106765966|106777785|106785971|106786159|106786967|106793485|106801807|106826012|106833764|106833792|106852600|106857379|106874202|106891603|106896893|106900542|106900664|106900703|106901517|115366092|115407290|107087703|115478983|107127413|107175164|107181678|107183674|107188013|107189605|107354027|107356261|107356454|117035022|117040012|108701373|108703781|117147476|117169303|108781596|117220893|108839359|108839431|108912544|108941029|108954529|108956607|109043173
empire.n.01	empire.n.01|principality.n.01|empire.n.03|empire.n.02|kingdom.n.03|kingdom.n.02|domain.n.02|monarchy.n.01	109072302|109080887|109081544|109085835|109198617|109343676|109347811|120553669|120553820|121357839|106571432|106577622|106578397|106779893|106790372|106909870|107137112|115544339|107266853|107319516|107319922|107328934|107363004|107580475|107632578|116101412|116101538|116118131|116120807|116129764|107801024|107804198|107804273|116214189|116216099|116221513|116221621|116221696|116222805|116232662|116235998|116244484|116261582|116263392|116266576|116266704|116266819|116267707|116307798|108570636|117041118|108695569|108799356|117211765|108824827|108833402|108861562|108913240|108931740|108976459|109015390|109015824|109016923|109116019|104899094|107216224|115808590|116129677|116167488|116223794|108858722|109300595|109362761|106902271|108797223|109029207|109355885|105280315|107294256|108802123|117203307|115915919|108567751|116093623|107728527|123316434|115830320
leadership.n.01	leadership.n.01|leadership.n.04|lead.n.04|generalship.n.01	109067432|100730827|100739731|100785202|109263419|100927151|101348713|101348879|101398025|118485643|102187526|119062339|103420196|103420504|103459636|103459895|103797133|104327550|121196729|121196758|121202470|121203043|114647356|114647816|106748582|106760147|106760171|106814065|106854795|115247804|106900551|106900825|107080951|115529959|115580077|107219281|115644479|107265180|107331405|107373935|116335483|108589724|108596848|108619956|108665841|108669645|108703910|108757448|117164225|100391306|100408957|100412782|108802111|100432983|108850607|108902378|100759556|114647846|114647946|103434484|108945469|105322294
government.n.01	government.n.01|government.n.03|government.n.02|administration.n.01	109083417|109083526|109086720|109086954|117500182|106814414|115807613|115827214|115865074|115869880|115872477|115873248|115899111|115948890|115953845|115955797|115964413|115967745|116099482|116101113|116101695|116102170|116111826|116119398|116119521|107749980|124529206|116175839|107810952|116217303|116217868|116222537|116263335|116266116|116266268|116266605|116297448|116302962|108540364|108707333|117108998|117135559|117147846|117168955|117168975|117180921|117576445|118324273|120690246|121396341|121974977|106571836|106572933|106572937|107105483|107128658|107211294|115825052|115866560|115872736|115899184|107527027|115916887|115920755|115929017|115954479|116033628|116091313|116093372|116101278|116118922|116119745|116174747|116266155|116268084|116294195|116296631|108194194|116959170|117143374|109022735|121259555|106388448|106421711|106572275|106572665|116101151|116170127|116089705
command.n.02	command.n.02|company.n.02	109239838|101604833|118654763|105337205|105339183|106735106|106747156|106811234|106819739|106852634|106852740|106865603|106872168|106878304|106882572|106888619|106898806|106908164|106917983|115379611|115488039|115495261|115496628|107175761|107300882|107724719|107784486|108603366|108685943|108717700|117196997|108817241|108866405|109016131|109040383|118671914|104961679
hegemony.n.01	hegemony.n.01	100687866|100687932|100690983|100692880|100692990|100697252|100724004|100730503|100730733|100739803|100739810|100740760|100768893|109256889|109271843|103088559|103088571|103400465|103414445|105116365|105156200|105455197|105455258|114646909|114647546|114647722|114654004|114654218|106746402|106756948|106765301|106857352|106857645|117114613
command.n.01	command.n.01	101044339|101045983|101604886|113688889|113727298|106834672|106859329|106863499|106878684|106908206|106926967|115331999|115416508|115458286|107113596|107269866|108667861|100325264|108778595|100400588|117179028|108843295
sovereignty.n.01	sovereignty.n.01|independence.n.01	109260730|109261974|109267698|101026462|121460493|121460681|121460959|106506267|107125012|107152024|107166020|107194960|107215533|107259590|107663232|107692237|108714298|103078258|107683756
