company.n.03	company.n.03|affiliation.n.01|friendship.n.01	100676338|117489675|117500997|117512178|117512215|117517285|117524592|117527297|117562905|117568238|117591441|117619258|109309207|117706726|117707178|117707208|117707252|117707456|109322280|117743018|117953728|117992332|118449788|118507007|110165762|110193371|110204041|110207061|110211846|110212367|110213034|110222286|110233556|110233563|110233618|110233648|102215868|102241375|102321746|121178431|121390799|121430686|104941660|121978581|106245480|106315101|106445346|106474252|106477546|106485377|106493326|106513154|106515943|106516323|106517218|106529176|106539170|106544644|123566509|107358552|115798928|116170513|108541998|100553628|117359699|101103674|109505150|118464363|119091252|121240989|100657166|103689054|106259065|115812080
partnership.n.02	partnership.n.02	100708438|109876346|109995891|101655187|118448957|118465437|118509220|101924865|102100940|102224651|103399148|103399240|103688828|103688848|103688882|103688945|103688952|103689109|103689403|103689467|103689722|103690725|103692147|104163370|104297355|104297360|104297756|104297789|104297825|104297848|104297985|104298021|104298258|104298394|104298471|104306678|104307186|104317711|104319635|104320001|104321405|104333907|104356524|104360084|104365436|121352867|113504502|122733535|106443843|106888253|115509132|107375046|108095979|116783096|108549451|108594352|108594382|108871875|108890321|117317723|109001065
community.n.01	community.n.01	109060326|117508690|117509169|117730009|109383883|118010666|101862146|118783035|118783196|102094429|102099106|102099260|102099404|102100039|102100093|102101034|118992989|119092706|104301322|104305374|104306446|104307782|104309621|104317983|104317987|104320356|104321131|104328432|104334034|104336684|104357297|104358566|104363585|105155616|106259014|106269695|123129421|106360191|106419621|106497381|115046420|107204129|107672599|108542784|108569716|108569848|108890255|108932354|108932471
communion.n.02	communion.n.02|intercourse.n.01|communication.n.01	117511336|117511367|117511507|117515982|117539420|109384137|109923882|101697154|101712668|110203501|110206462|101851235|101853441|118722783|102002923|102002947|102078020|102094642|102104692|102151667|103569050|112400877|121421964|121421996|121425347|121429456|121435438|106171865|106319892|106383279|106410007|106453991|123241285|106465604|106467521|123328856|123344917|114988808|123542896|123542955|123902274|123907360|123914346|123917269|123917276|123917411|116168307|108561798|100356196|117520323|117563201|118346984|102279361|121479157|121494481|113515690|122736750|122736781|122736921|107314210|117450570|117542723|111160828|104479568|106125322|106430748|106473820|107622454|116174033
society.n.01	society.n.01	117708624|117729948|117992337|104314620|121479848|121537860|121539041|121994174|106245078|106331862|106490086|106491911|106514893|123540919|123571406|115799118|116171043
association.n.02	association.n.02	117479517|118396315|118508851|102320152|102325466|103291873|121235977|121238946|105055227|105055257|105055393|106485079|106571868|123570115|123570376|108570287
engagement.n.07	engagement.n.07|participation.n.02	109140089|109140152|101785490|120661147|104162394|106263115|106306006|106376948|106442755|106443468|106540415|106890612|115415368|109742947|101783671|101784020|101819655|122717532|106243421|106303991|106373292|106497241|106520771|123566725
sexual_intercourse.n.01	sexual_intercourse.n.01|coupling.n.03|reproduction.n.05	117511387|117511486|117511843|120651784|103876985|121153665|121378587|123891216|123907300|123907314|123909394|108554664|117524179|103927217|104163221|102241684
association.n.03	association.n.03|union.n.04|connection.n.02|alliance.n.01	110415348|111164042|111183813|104301640|104301658|104306239|121236025|123082767|123147023|123149047|123241322|116869332|109955784|102309388|103966952|106175982|106208675|106281018|106281110|106316396|123344963|102241798|106122908|106376739|106384664|102241954
connection.n.01	connection.n.01|relation.n.01|alliance.n.02|communication.n.03|relationship.n.01|association.n.06	109928683|118938315|102308841|103810026|106309603|106452367|106485429|106575098|117365470|101205458|102187127|104357889|123590438|102241992|121242378|108531367|111160217|104358999|104359244|111151769|106192918
communion.n.01	communion.n.01|intercommunion.n.01	110197464|110197477|118783221|123241240|114985716|114994965|107097737|123894526|123911486|106507408
association.n.01	association.n.01|family.n.08	101120700|102066418|102194053|102196928|102245527|103689657|121234851|115271351|118450302|102252906|104321511|104321524
