study.n.02	study.n.02|learning.n.01	117481847|117490587|117528653|100752057|100752393|117566810|117576240|117591474|117593090|117593741|117682462|109995017|118502866|118503111|101862939|101862951|101920646|101925015|101929117|101964844|102018701|102104400|102113308|102113767|102114124|102119733|102121346|102121468|102121921|102121985|102122001|102124836|102125413|102125459|102125539|102125594|102125645|102125733|102133322|102144859|102155785|102180374|102240958|102266945|102316650|102327801|104368851|121429560|113472594|113476629|113572679|113584371|122650960|122657702|122667863|123196163|123244951|123343032|107455472|107477267|108972440|108972746|108979975|100767408|117593333|101746753|101767667|101908425|101908449|101961961|102253584|102257500|102257509|102257829|121969445|121971598|122665348|106204028|106578565|115273488|116212324|100341008
discipline.n.01	discipline.n.01|science.n.01|mathematics.n.01|geometry.n.01	100752195|100767460|117593384|117700131|101912960|102104459|102119560|102119797|102120017|102121136|102122425|102122594|102158163|102259320|102304891|110856936|103515042|112413806|104528416|113452013|105207056|122647276|114634290|114638349|123315938|123317778|123317893|123318146|123318356|123318900|123323452|123324283|123324419|123326243|123327574|123334963|123546211|123546241|123546251|123546361|101945068|102157380|102233590|102257671|102257779|102257946|102258749|102258775|102259057|102261309|102308831|103544927|103545818|103554569|120673043|120675390|104032489|121233313|121256045|121274175|121291720|104538614|113337978|114553018|114553440|114555271|106344706|123317669|115244940|116059254|108386803|108810743|100532509|109031950|122648580|122714327|122723441|123044378|104014165
cognition.n.01	cognition.n.01	100736724|101369755|101369787|101391587|109847319|101772128|101772168|101772195|101772274|101774611|101774634|101774732|101841741|101841840|101841846|101883365|102016729|102091140|102106872|102118804|102141122|102302911|102309176|102626608|121369384|121373577|121389307|121427122|121433876|121981125|115440936|123905249|116798178|116884252|108979794
eruditeness.n.01	eruditeness.n.01	117462565|118380428|101862930|102107103|102121043|112413704|121264469|121289179|121293620|121430124|121490252|121490419|113335465|113517323|121969176|113587969|106176343|106179148|106313617|106325765|106364469|106448343|123267961|123267968|123268066|106527492|107226072|108713085|108731879|108835474
education.n.01	education.n.01|training.n.01	109110169|117566925|109202921|101157903|109907086|102081218|118878802|102258606|119295151|121368884|121489437|113458407|113504275|121956267|122676222|106234700|106254595|106338025|123318059|116790654|116795009|102255906
moral.n.01	moral.n.01|example.n.04	117616071|101377080|101381767|101534208|118393265|110250587|110253518|101953406|102158774|102180328|105173837|106266525|106344567|106409314|106438516|106471472|106475766|107257527|116783835|108716597|102255568|106423129|108284988
lesson.n.01	lesson.n.01|lesson.n.04	117457905|117555087|117563924|109201153|109590892|101519821|110030639|102248629|102249047|102249072|102254028|102254586|102258012|104774490|105297890|107803451|108845398|108588393
teaching.n.02	teaching.n.02|doctrine.n.01	101774254|101774269|118770720|102092627|118980228|121226090|121376503|121380879|121392301|121404167|121419943|121421831|113409233|106520361|116857020|101959949|101960023|101960060|101960128|101960143|102023440|118996961|121417546|121421459|121430555|121941710|106580804
direction.n.06	direction.n.06	117586773|117593699|117632936|101685484|118999771|112415156|121380896|121394920|121429859|121477374|121940628|116914878
survey.n.01	survey.n.01|research.n.01	101401189|118291133|102113757|102121389|102121753|102124691|102124702|102124714|102124734|102257772|102315902|121249387|116767445
skill.n.01	skill.n.01|skill.n.02	101897756|101925562|101925788|101925919|101925942|101925963|101925971|101926491|120675514|115773308|108780904|108867615|121199625|116840377
