kind.n.01	kind.n.01|species.n.02|type.n.01|genus.n.01|description.n.03|category.n.02	117467382|117475661|117478307|117479366|100710547|117499825|109125826|117516718|100753135|117530899|117603824|117611431|117623301|109303703|109316673|117717060|117746181|109390622|117798491|117944256|109593477|109691513|109711069|109712751|109714359|109714666|109730395|109730521|109809400|109815121|109878197|109887658|109888336|109888396|109892742|109893255|109895992|109896489|109897029|109897685|109900301|118293240|109923616|118351517|109968542|109968925|101581030|109970929|109978627|110021289|101703463|101711558|101722480|101747891|101757799|101757856|101757889|101757903|101770386|101771027|101771909|101771930|101773043|101773271|101773280|101773375|101773850|101774094|101775471|101776270|101782052|101782950|101784656|101787714|101788924|101800751|110217059|101829194|101829814|101829961|101834439|101834491|101860394|101860586|101881892|101883836|101884168|101969298|101982463|101989621|110411533|102029626|110424056|102061315|102063577|102072583|102075375|102075402|102077835|102082070|102086352|102088882|102089733|102093967|102094012|102094129|102094207|102096147|102096266|102104672|102113810|102116393|102123072|102137531|102141023|102142661|102146094|102161185|102162053|102162160|102166066|102166818|102167154|102167261|102168261|102169072|102169086|102170231|102170269|102170306|102172712|102172724|102173599|102173851|102176623|102180286|102181037|102181303|102181365|102193026|102194268|102199425|102210828|102222138|102236816|102263388|102271484|102272642|102272700|102283235|102288613|102307207|119091108|102316228|119103665|119104953|119105240|119107053|119117301|119119555|119120573|119124224|119124259|119124425|119129488|119129574|119135182|119136411|119137222|119138835|119140719|119140827|119140939|119141053|119146804|119146869|119147363|119148172|119152718|119153844|119159133|119165609|119167318|119168442|119169291|119174621|119179817|119186658|119187370|119199353|119199741|119205678|119205981|119206189|119206239|119208235|119210707|119210913|110855794|102502886|102509269|102509371|102528511|119346208|119348559|119351015|119361297|102597597|102599803|111150865|111152190|111157792|111158610|111159877|111164152|111164722|111168520|111168719|111170687|111179406|111180329|111184198|111189155|111194123|111197329|111199172|111204117|102915726|103198514|103394988|103578838|103579847|103586568|103612815|103616858|103635681|103638315|103670064|103678049|103680457|103683915|103684082|103686153|103686199|103686438|103687368|103689870|103694777|103772970|103813010|103841372|120644086|120646909|120647251|120647403|120649183|103872454|103875095|120655308|103935507|103935843|103948763|120748967|120772879|112388348|120783767|120785682|112401542|104020102|104022388|104022400|104022530|104022957|104023074|104023949|104024827|104025554|104026334|104028618|104028624|104029290|104029347|104029354|104031524|104031538|104031604|112427935|104041979|104042374|104043496|112439269|112440116|104055410|112444815|104057001|104058734|104058754|104058775|104058781|104061197|104062146|104073449|104077745|104077781|104084106|104084244|104084993|104086601|104086608|104090133|104091349|104094071|104094084|104094216|104094732|104097192|104098393|104098403|104101470|104101757|104104717|104104721|104104944|104105822|104106300|104106489|104122166|104136733|104138144|104139702|104145105|104163663|104172873|104173746|104209728|104210015|104212675|104215795|104222344|104224599|104225149|104227244|104228621|104241201|104241542|104241777|104254966|104255089|104263665|104263937|104287427|104287466|104291384|104293360|104293450|104295844|104296807|104298936|104300785|104301293|104301871|104302328|104302985|104303036|104305049|104305078|104305101|104316835|104316869|104318009|104318503|104318704|104319116|104319319|104319544|104325075|104325098|104325230|104325519|104325620|104325670|104326593|104328330|104328779|104328863|104329120|104329127|104329231|104329276|104330468|104330713|104330743|104330760|104330780|104331142|104331219|104331381|104331497|104331507|104331546|104331579|104331686|104331718|104331808|104331913|104331948|104331993|104332193|104332677|104333336|104333433|104334763|104334831|104337898|104337966|104337982|104341147|104350729|104355363|104360135|104465571|104467223|104467458|104468879|104480088|104480112|104483375|104494383|104494946|104495159|104495347|104495956|104495989|104502842|104502997|104505777|104506296|104511012|104513661|104514469|104517250|104545984|104547717|104562101|104565091|104565233|104565270|104565302|104566432|121351577|121355691|104587393|104587399|104587422|104587455|104598896|121381670|104647455|104651781|104654117|104655761|104658791|104659819|104666112|104672922|104673946|104673989|121453330|121458945|104685493|121464332|104695423|104695727|104697718|121501946|121514620|121524112|104751006|104774760|113516047|113517440|113517924|113518166|121945409|121978580|121978584|121978644|105260665|105452186|122640294|122643659|122643782|122645120|122645160|122645179|122645184|122645209|122645225|122645230|122645709|122646123|122652745|106113365|106115985|106134131|106134149|114551276|106240052|106240366|114640009|106261873|106262045|114654420|106269191|123046604|123049174|114662626|114665368|106277214|123057250|123059283|123059289|123059296|123063541|123070325|123077872|123078071|123078767|123086454|123099183|123115457|123115969|123130254|123138448|123139249|106365501|106366056|123154574|123158691|123163917|123171528|106421755|123207285|123207335|123207949|123208417|123225044|123232905|123232910|123232927|123232998|106478638|106494000|106507253|106528210|106529907|106539425|106545414|123325281|123336777|123538868|123548759|123573129|115250696|115251136|115256110|115257595|115261100|115261955|115267055|115267889|115271094|115272978|115274818|115355330|115494182|115499006|115516379|107227180|115752121|115839493|115901654|107529661|115920300|115920564|115947675|115984822|115996804|124479587|107703711|107709361|107727060|107750405|116217517|116237680|116549294|116576809|116576841|116576864|108199908|108200721|108285861|108384926|116871111|108685957|100343234|100365731|117219575|100473338|108952981|108979802|117381929|117481290|117486936|117556012|117616187|117616705|117635335|117636365|117637113|109839326|109856283|109856289|109890720|109895818|109901153|118291757|109904086|118308720|109923867|109956335|109959369|109963426|109968942|109983238|109983384|101790036|101805458|102127581|119355259|119359386|103562746|103652574|103688826|103826166|103959865|112407600|112409607|104028695|104242692|104242716|104467264|104546622|104566562|104566575|104566589|104577304|104577557|104578609|104578829|104579122|104579658|104580260|104581361|104582584|104588458|104588487|104595660|121419686|121464268|121505350|122645137|122679613|122687876|106187004|106196664|106209290|106212706|106217082|106221068|106227872|106231689|106238423|106245562|106269380|106270750|106274344|106282981|106316227|106327899|106332165|106338546|106341336|106341351|106341388|106343283|106356259|106356399|106357033|106366651|106373302|106430841|123208333|106431973|123209505|123210109|123223794|123224325|123224342|123232692|123232748|106459411|123250120|106480821|106487149|106514160|123540172|123592800|123592834|123592900|123593112|123593117|123593404|123593421|123593424|123593433|123597128|123597949|115268908|107019181|107019428|108686030|101387866|101806286|118849911|102073631|102075736|102075808|102079298|102094045|118872502|102105296|102116115|102127634|102140699|102141205|102142280|102180503|119116836|119129682|119179958|119180019|119201702|119209280|120574984|120748068|120752523|120753620|120753694|120760774|120761812|120762028|120762204|120763126|120773156|120773412|120773505|120775668|120778468|120786328|120787116|112405893|112433775|104048632|104048791|104066463|104221182|104222635|121196816|121203103|121231919|121235864|121236260|121243175|121245248|121259602|121263048|121263798|121281677|121286003|121287345|121290172|121293506|105963036|114658535|114658541|123061363|123208058|123234277|123345393|117637574|103562719|104581489|122642017|106135207|123216299|123232537|123593133|123593176|107537266|109734516|109891698|106454692|114661325
form.n.03	form.n.03|shape.n.01|shape.n.02|form.n.10|cast.n.03|form.n.11	117504623|117555971|117590189|117639578|109257275|109284166|109285354|109286594|109287570|109287714|109303735|100922303|100922352|109313353|109316725|109388542|109389439|109903632|118333379|110075999|110085992|101722337|101722388|101722914|110126554|101781161|101853987|101874965|101876781|101877605|101877609|118765459|110388136|102001267|110390868|118784413|110402729|110402834|110402844|102025725|110415590|118809552|118847807|102076930|102088548|102089532|102089801|102089848|102091720|102116461|102146178|102151921|102165813|102166092|102166135|102166901|102167072|102167747|102167834|102168279|102168296|102168644|102168837|102168998|102169991|102171176|102172102|102172882|102180818|119005296|119039536|102285883|119115104|102507884|102507887|111193849|102915738|103369798|103545814|103566016|103566025|103566072|103566943|103572162|103572281|103573520|103573593|103573613|103581015|103581219|103584531|103586500|103586519|103586540|103586541|103586545|103588299|103618708|103618788|103618803|103618827|103618882|103618961|103618998|103619569|103619672|103619676|103619737|103619754|103626508|103637839|103638201|103643743|103643855|103645138|103769504|103773077|103773404|103774092|103775113|103776892|103777408|103777430|103787588|103800723|103801198|103801257|103806326|103820354|103824569|103824669|103824990|103825050|103830544|103835151|103835444|103835545|103835580|103837947|103838205|103839818|103840018|103845340|103867101|120653697|120682093|103949125|104020197|104020346|104020408|104020424|104020496|104020520|104021740|104022364|104022467|104022587|104022672|104022756|104022981|104023048|104023756|104026788|104027506|104027937|104027984|104029182|104031413|104031464|104031516|104031547|104037342|112427633|112427902|112428065|104039696|104040073|104040482|104040485|104040554|104041036|104041103|104041988|104042201|104042335|104042405|104043331|112433104|104046432|104046485|104046781|104046819|104047055|104047865|104047869|104048041|104048076|104048081|104048851|104052247|104052728|104055447|112444128|104055527|104055680|104056044|104056112|104056175|104056270|104056520|104056543|104056557|104056584|104056589|104056786|104056909|112445672|104057358|104057396|104057407|104057468|104057563|104057624|104057687|104057914|104058112|104058114|104058128|104058143|104058719|104058730|104058740|104058758|104058979|104059315|104060041|104062659|104063993|104064144|104064218|104064413|104064811|104065389|104065506|104069210|104069661|104069787|104069798|104070058|104071482|104071586|104071598|104071848|104072306|104073386|104073420|104073465|104074360|104074364|104074371|104077165|104077215|104077410|104077734|104078391|104078883|104078911|104084440|104085499|104085937|104086340|104086363|104086551|104086956|104087048|104087165|104087223|104087349|104087400|104087419|104087446|104087661|104087876|104091555|104092766|104094150|104094194|104094269|104094356|104094755|104094824|104094849|104094880|104098426|104098579|104098665|104098670|104098761|104098888|104100475|104100685|104105568|104120719|104120748|104136188|104137728|104138360|120975613|120976111|120977669|104200537|120982207|120982436|120984527|104208851|104208881|104209712|120987355|104212131|104213012|120990937|104213862|104214029|104214064|104214775|104214827|104214861|104214898|104215090|104215404|104215501|104215524|104215550|104215727|104215748|104215835|104215973|104216344|120994385|104218844|104226349|104227777|104227994|104228027|104228057|104228190|104228225|104228476|104228637|104229821|104230134|104240169|104240252|104240419|104242196|104256374|104264182|104266106|104297967|104317718|104317766|104368473|104515325|104523059|104524902|104525694|104527116|104533773|121379359|121379573|121379931|121380500|121380828|121380908|121381044|121382138|121382294|104654311|104698819|104711782|121489802|121510201|121510328|121510419|105117246|105124522|113544917|121960612|121961538|121961545|121961617|113921424|113921467|113924824|122657819|122691215|122702837|122715039|122761965|122765809|122765900|122766511|122773089|122786990|106120738|106126319|106149516|123039177|106264012|123052192|123052525|123052627|123055910|123055950|123056687|123056751|123057263|123058425|123058476|123058529|123058609|123058976|123058982|123058992|123059012|123059322|123061019|123061049|123061149|123061203|123070727|123070944|123070949|123071555|123071558|123071566|123071593|123071684|123071743|123072039|123072873|123073021|123073164|123073327|123074328|123075576|123076128|123076278|123077856|123077862|123078281|123078336|123078353|123078361|123079646|123079653|123079763|123079974|123082195|123085143|123096301|123101956|123106183|123106665|123109331|123109360|123109446|123109860|123112601|123112635|123113155|123113211|123113250|123114500|123115684|123115964|123123117|123125239|123125249|123126857|123127031|123129256|123131513|123133217|123137560|123137568|123145640|123158721|123158735|123165831|123167294|123167690|123169023|123173613|123173617|123175187|123189459|123189687|123190058|123190086|123190097|123190122|123190126|123195788|123196062|123201402|123203327|123204546|123204670|123207291|123208519|123213580|123214413|123218110|123224583|123224611|123224785|123224899|123225051|123225067|123225251|123225333|123225594|123225613|123226128|123226202|123226684|123226755|123226885|123226963|123227062|123227787|123232873|123232886|123233152|123236406|123238496|123248893|123248922|123255256|123255763|123256101|123257924|123261074|123261360|123262268|123264375|123264381|123264513|123264700|123264706|123264723|123264911|123264919|123266566|123266570|123266697|123266924|123266931|123266938|123270506|123274563|123279816|123280685|123281138|123322797|123334884|123335223|123335689|114985681|123539630|123539718|123539764|123539777|123540067|123559132|123567377|123595233|123595240|123595254|123632526|115253458|115254261|123895469|115531546|115628158|115756296|115768253|116537715|116571614|116571627|108188227|116767554|116784416|116871413|108532179|100558202|117367651|100595716|100630708|109180208|100957624|118375073|118377906|118754089|118781086|102070319|118884160|102175263|102514551|120576524|103852301|103852541|103853948|103867302|103889170|103905613|104190422|120982114|104930145|113350744|105148413|113924875|113928714|122642669|115661355|115750859|115780443|116884164|103645106|103824495|103824596|104048106|104052457|104056223|104057319|104057332|104058458|104098646|104190712|104228418|117625566|117673567|104509034|101941675
coinage.n.01	coinage.n.01	117495716|117563239|117567753|117577889|117591590|117636911|117637205|117637218|117637237|117637331|117637436|117637509|117637624|117637646|117637671|117637905|117637921|117637944|117638008|117638631|109313762|109814726|109814910|109827186|109854142|118291764|118302046|118302114|118302604|118303315|118307389|118308068|109969183|110086450|101790029|118771528|102068789|102127366|102169732|102170368|102170808|102178949|119000622|102256856|102316048|119122091|119334192|119345917|119352848|119389633|103512921|103512931|103522835|103522920|103523604|103523828|103524773|103541264|103561750|103562437|103563728|103574109|103646758|103647046|103647495|103647500|103647521|103647588|103647692|103648044|103648094|103648148|103657453|103657489|103657567|103671306|103680595|103683927|103684478|103688842|103689047|103689129|103774308|103787493|103787496|103787546|103837734|103838046|103841242|103841411|103841483|103865840|103871782|103930274|103930587|103966672|103966701|112405619|112409522|104022992|104028282|104028483|104028496|104028631|104028713|104032218|104032228|104032371|104033348|104042120|104043775|104043867|104043902|104043918|104043951|104048056|104053340|104059810|104059833|104059942|104060864|104061619|104063099|104073685|104073695|104073718|104073864|104076021|104076346|104076363|104076378|104076444|104076528|104076555|104076591|104076608|104076701|104076717|104076739|104076804|104076853|104076913|104076939|104077005|104077023|104077045|104077075|104077097|104077142|104077152|104077429|104077450|104078126|104078139|104078149|104078206|104079283|104093630|104094518|104094766|104099090|104099125|104099258|104136803|104162184|104174164|104174295|104194538|104197823|104218881|104243715|104257596|104257774|104257973|104285588|104286877|104293577|104293582|104297323|104329846|104329851|104509370|104509372|104515605|104515612|104517245|104518921|104520256|104522991|104524450|104528353|104535745|104542346|104547275|104548247|104549237|104549461|104549847|104550659|104550742|104550750|104552802|104553099|104562696|104562773|104562829|104564337|104567805|104567814|104567828|104567898|104569157|104569401|104569420|104569452|104569464|104576618|104576680|104577021|104577150|104577161|104577217|104577226|104577244|104577255|104577278|104577385|104577401|104577412|104577456|104577474|104577511|104577568|104577772|104578004|104578021|104578101|104578125|104578192|104578252|104578412|104578488|104578498|104578503|104578842|104579133|104579151|104579208|104579234|104579324|104579384|104579407|104579412|104579459|104580040|104580097|104580226|104580490|104580678|104580783|104580794|104581377|104581447|104581545|104582438|104582511|104582577|104582620|104582678|104582718|104582735|104582795|104583041|104583111|104583171|104583247|104583255|104583286|104587564|104594054|104595363|104595636|104595861|104595867|104595938|104595954|104595962|104595969|104596013|104603530|121453244|121473214|105821405|122643679|122643957|122644038|122644171|122646045|122647574|122648533|122683018|122683071|122683093|122687605|122698896|122766658|122773430|106115752|106117290|106117455|106134444|106161480|106170407|106176758|106180413|106186580|106195857|106199585|106213772|106228046|106230681|106245757|106255114|106263177|106263431|106264586|106268669|106269637|106270975|106276562|106279555|123057862|106292113|106292128|106293728|106296309|106296313|106330420|106334291|106334297|106336878|106341422|106356226|106363712|106364134|123170629|106423466|106423543|106424305|123202311|123207524|123209660|106432595|123209893|123210688|123213202|123213336|123214821|123215559|123215960|123216008|123216064|123216371|123218012|123218928|123218937|123219095|123219135|123219876|123219885|123220031|123220050|123220056|123220684|123220690|123222387|123222401|123222507|123222514|123222536|123222602|123222937|123222955|123223522|123223831|123223836|123223976|123224332|106449430|106449648|123227470|123227566|123230621|123230643|123231067|123234841|123234885|106458422|106465849|106503034|106508812|106554647|115044802|123540130|123591883|123591946|123592027|123592288|123592330|123592354|123592408|123592413|123592423|123592441|123592464|123592517|123592545|123592754|123592773|123592816|123592825|123592855|123592858|123592928|123592976|123593005|123593020|123593248|123593267|123593287|123593311|123593489|123593519|123593793|123593858|123593879|123593890|123593971|123593981|123594030|123594041|123594069|123594088|123594110|123594227|123594231|123594249|123594280|123594296|123594307|123594520|123594774|123594815|123594897|123594913|123595102|123595173|123595747|123595769|123595801|123595814|123595825|123595842|123595855|123595882|123595955|123595962|123595993|123596007|123596021|123596045|123596078|123596137|123596314|123596370|123596386|123596388|123596429|123596433|123596447|123596461|123596479|123596506|123596510|123596524|123596529|123596541|123596560|123596581|123596615|123596654|123596661|123596712|123596761|123596903|123597056|123597092|123597139|123597172|123597208|123597242|123597293|123597333|123597343|123597406|123597408|123597511|123597530|123597761|123597774|123597870|123597940|123597968|123598021|115249582|115274661|115274743|107019232|107019791|107020223|107020334|107020953|107021319|116543911|116543917|116567482|116567934|116567962|116567998|116568006|116568023|116568045|116568100|116568173|116568193|116568206|116568234|116568306|116568435|116568464|116568507|116568783
species.n.01	species.n.01|form.n.09|genus.n.02|variety.n.03|class.n.07|order.n.12	117460636|117637285|117637299|117637532|117637551|117637563|117637610|109856269|109856286|109897044|118794952|102178083|119147497|119188252|119352896|119361350|119385879|103523006|103523094|103523598|103523823|103524153|103647512|103775057|103787531|103787575|103837982|103841244|103841256|112401066|112405643|104028292|104047734|104048132|104048140|104076648|104076654|104173309|104173492|104173636|104173880|104175208|104194927|104228604|104228615|104242652|104242934|104293589|104293591|104293604|104293621|104293647|104293650|104493748|104493753|104549011|104549549|104569150|104569212|104574860|104576844|104577144|104577372|104577576|104577589|104577788|104577843|104578077|104578298|104578320|104578367|104578391|104578483|104578628|104578638|104578659|104578677|104578795|104578812|104578956|104578986|104579043|104579093|104579157|104579165|104579604|104579616|104580307|104580370|104580507|104581295|104581609|104582602|104582724|104582861|104582907|104582958|104583183|104583188|104583229|104583605|104585472|104587021|104588515|104588520|104593147|104594027|104594038|104594044|104594087|104594093|104595291|104595312|104595444|104595982|104595993|104596020|104596028|104596049|104596059|104596100|104596146|104598131|104603540|121464272|121468240|122683053|122683055|106116540|106117254|106184219|106186610|106200609|106215580|106216847|106265153|106279575|106279598|106287459|106291437|106294205|106313718|106313805|106330289|106332707|106344125|123208258|123208629|123209895|123219558|123219562|123223818|123223971|106459691|115044949|123544583|123571424|123579845|123592231|123592431|123592487|123592498|123592787|123592878|123593163|123593233|123593240|123593271|123593482|123593872|123593901|123595501|123595531|123595552|123595835|123595910|123596401|123596495|123596730|123596831|123596837|123597348|123597354|123597365|123597695|123597781|123598139|116567484|116568053|116568248|116837298|110085974|103786425|103841269|104060877|104077435|104094819|104173226|104173257|104655622|104709015|123260114|123592767|104569273|104569278|104577232|104580273|104582703|105686539|123593193|123593475|123593514|103913445|103913569|103914127|104174194|121348955
idea.n.01	idea.n.01|concept.n.01	117549311|101714389|101779957|101780568|101785428|101785774|101808966|101809147|101809474|101809527|101809560|101809628|101809714|101809775|101809819|101809847|101809929|101810006|101810042|101810177|101810228|101810299|101810334|101810354|101810469|101810510|101810536|101810552|101810558|101810624|101810631|101810661|101810666|101810682|101810709|101810738|101810778|101810943|101811163|101811190|101811218|101811349|101811500|101811515|101811632|101811650|101811741|101811857|101818653|102116686|102116696|102145910|103573572|103584671|103584688|103586199|112409092|112409147|104054640|104054648|104094325|104094532|104099930|104099935|104597961|122637078|122632923|122765492|106177946|123052198|123052427|123053660|123054935|123070487|123070703|123070847|123071210|123071701|123072250|123076143|123076150|123076177|123076602|123079438|123082173|123111987|123112111|123112167|123113342|123113428|123114994|123115013|123115077|123127384|123134143|123135191|123141788|123146115|123148509|123148659|123148828|123160780|123175908|123175914|123187127|123187579|123189487|123195096|123196042|123197997|123198002|123199080|123201185|123201213|123201869|123201877|123202395|123202405|123202612|123202875|123203056|123203577|123203946|123243473|123243564|123243593|123247441|123254681|123254699|123255401|123258066|123260276|123261400|123261466|123262325|123263600|123264367|123266114|123266769|123280444|123280691|123282973|123534299|101766649|101766758|103485217|103485232
appearance.n.01	appearance.n.01|countenance.n.01|look.n.03|expression.n.01|form.n.07|semblance.n.01|form.n.14|guise.n.01|face.n.03	109052565|117486246|117506849|109266699|100951115|100951132|100957699|101014893|101035463|109712435|101450336|109856567|118308683|118315578|109927650|118333459|118334609|118334976|118337360|109971566|118371303|118372453|118394545|118394895|118395950|118396082|101635114|101635305|118447466|118469347|101717043|101933897|118725944|118754688|118781655|118785685|102014471|118830044|118839842|118849142|118866737|118874084|118876333|118876636|118878170|118889719|118892183|118892844|118892901|118897719|118898005|118900446|118902323|102186010|119015291|119352786|102640128|103369692|103370167|103490334|120657443|103880700|103890758|103915069|103939705|120978271|120986941|120994276|121136246|121136258|121138877|121330970|121330986|121352666|121384104|104722695|121510031|104892788|104902227|104927156|104927317|113320121|104947950|104968638|104968653|104969664|104969666|122634407|106200132|106217462|106225975|106230179|106236673|106246037|106294670|106299599|123090094|106314623|106346275|106355119|106395246|106405363|106410098|106410112|106435502|106505035|106520139|106540620|106804456|115430264|123960214|115575651|123968459|115660318|115678638|115756602|115757044|115762523|124599397|107834128|107876930|107876933|124691861|124715764|124770525|108148372|108181703|108283802|108317443|108317447|108317690|116799753|116835932|116848683|116864220|116874177|108509646|108705498|108742112|108765771|105004683|122690839|122786473|122787818|115742807|115970139|115978157|108039584|108042365|108315014|101023610|118773220|103903071|122695809|107468695|100240356|108896946|120975337|120977400|120986092|120989811|108746122|108876061|108916483|110079014|121075508|121510024|113493048|121960771|109952155|102163823|102198756|102332856|113489411|118991286|119005360|121384084|108270420|110284737|121488288|120987296
human_body.n.01	human_body.n.01|body.n.01|person.n.02	100867210|100868991|109388633|109590830|101388225|109939307|118362945|118394792|118430251|110076563|101700672|101702273|101706819|101709051|118488611|101750372|110150254|101854017|101856437|101876025|101914958|118755153|118785537|102011599|118810260|118836687|118837503|102077910|118887904|118891255|118896736|118897250|102154238|118991306|119002342|119005380|119012983|102382289|102514945|102516197|103017653|120682119|104027597|104058599|120971259|120974341|120978017|120980120|120981196|120984336|120993902|121384331|121440259|121509777|121516603|121531029|121532262|104901184|113488185|113493138|121960619|121960827|121960871|122784980|122785564|122785806|122787503|106122860|123073362|106342259|123225471|123323986|123652599|123890449|123894455|123930519|115679495|115786427|108270440|116785250|116892610|100130078|116926022|108555201|100192491|117366677|101306920|110084698|118488719
class.n.01	class.n.01|class.n.02|sex.n.02	101703533|101721561|101730620|101735969|101736003|101736042|101744933|101748435|101756526|101767412|101770491|101770579|101770730|101770742|101771636|101772545|101775970|101782636|101783485|101783944|101784563|101785128|101786852|101788792|101788800|101790229|101790239|101790421|101790433|101790448|101798966|101799376|101799389|101799411|101799634|101799704|101806096|101822651|101831104|101831130|101834893|101839147|101840972|101841725|101881217|101882136|101884204|101884342|101884977|101886340|101886360|102061431|102090640|102090733|102098236|102116555|102160087|102162857|102165904|102179340|102193532|102217519|102217529|102217603|102272948|103412038|103689307|103765367|104164757|104318208|104330605|104681606|121462364|104695377|104695393|104697297|122697711|106134037|114650837|106352624|106374342|106457347|106529026|115263654|115271056|102105448|106115733
beauty.n.01	beauty.n.01|comeliness.n.01	109265351|100881847|109364880|109651151|101433910|118359119|118396027|118401957|118435464|110079505|118490330|118782755|118783587|118785898|118865095|119079675|119082422|102968559|102993211|120975060|120983836|121138861|122619605|123265728|106594012|123930562|123935339|123948961|123951294|123959059|123960157|123960781|115673343|115904327|108208543|116768327|116866233|100118154|116914639|100154857|100212055|100219460|100238716|100240026|100240907|100241615|108632306|100257811|100308604|108850208|100542260|100581800|101545648|118403100|118403159|100112493|100247598
figure.n.06	figure.n.06	109187187|102168375|105916004|105916077|105917144|105917378|105917389|105917524|105954184|105954299|105954347|105954395|105954745|105954886|105954933|105954972|105955142|105960629|105960709|105961056|105968337|105968997|105971378|105972415|105982477|105982504|105983207|105983235|105983892|105983920|105984727|105985339|105985368|105985772|105985801|105986768|105988087|105988818|105989349|123592807
