necessity.n.01	necessity.n.01|need.n.01|lack.n.01|urgency.n.01	117452460|109067477|109067489|109068475|100689558|100706579|117484131|117484164|117488094|117493223|117501971|109115218|117507548|117507594|117507618|117513601|117517621|117517914|117530909|117533601|117548015|109169814|117570990|117575296|117582148|100807362|109196893|109196897|117590753|117610982|117616849|117621324|100844408|109234948|117624270|100847274|117634517|117637158|117639621|109255199|109259777|109270302|100882363|117681266|117694110|100917129|117696147|100923741|109316814|117707006|109320421|109333308|100953796|117748312|117752198|117756160|109369876|117761288|117766115|109382075|109389186|109389252|109390424|109395787|109403371|117792725|101047746|101075618|101075937|101076023|101097285|101151710|101152034|101156707|117957131|117963090|117981556|109593339|117985532|117987669|117994595|118001747|118007378|118013683|118013700|101266665|101268924|101289950|109708898|101336190|109789941|101433422|101453105|101454474|109847489|101461609|101477011|101477036|109869592|101499932|109907578|118296897|101522088|118306707|118308032|101546100|118324925|118327813|118342062|118349794|101573711|118366017|118372158|118372198|118382646|109995510|101612482|110013597|110015491|118405271|110019732|110025720|110026068|110029099|110032838|110034902|118426161|118451495|118459224|101696058|101711516|101716155|118505965|101783134|101790455|110196331|110196982|101810463|110203336|110204587|110205915|101830621|110222425|110224750|101841371|101858104|101858133|101872702|118688292|118692113|101951706|101972439|118771009|102005976|110405090|102027811|110422900|118820302|118822909|102059741|102069259|102097844|102097871|102105161|102105709|102107001|102109586|102136176|102141367|102154108|102159382|102161887|102165742|102165785|102173928|102175740|102175878|102176527|102179333|102181116|118986181|118989397|118990013|118994448|118998356|102228137|102228351|102231215|102241617|102244682|102257621|102257635|102257669|102270326|102277230|102279008|102284807|119065724|102291608|119071529|102295918|102302033|119083788|102312740|102312873|119090413|119090501|102369412|102375490|102391456|102434461|102448332|102456179|102457032|102503491|102503927|102515532|119351211|119358307|119362950|119371625|102597022|119379157|102605559|119388140|111005414|102618402|102620261|111153765|111169461|111169465|111169502|111169509|111170016|111188511|111202265|111205324|111205400|111205804|102962561|102976010|102994754|103028377|103035483|103045441|103051510|103104303|103126391|103223352|103273908|103285413|103306363|103320158|103322660|103331194|103343474|103349349|103495679|103496088|103496209|103496372|103498685|103498724|103499818|103501998|103502361|103504445|103518492|103541829|103541953|103557511|103560215|103560219|103560242|103560254|103560277|103581546|103622133|103623163|103624384|103624460|103626227|103626264|103640306|103672547|103672670|103673586|103673603|103673880|103677133|103774885|103784071|103784108|103784243|103784248|103784588|103788127|103792999|103809376|103810453|103810636|103810650|103810656|103818271|103818394|103818496|103818566|103827018|103835347|103835357|103837308|103837575|120648338|120653974|120654230|120654984|120658521|103882496|120662490|120663486|103947551|103947571|103947582|103949781|103955691|103955854|103956145|103956194|103956288|103956543|103956552|103959992|103960037|103962523|112384643|112387807|112396365|104029938|104037770|104037788|104041314|104041402|104041444|104041499|104050627|104050840|104050894|104051106|104051215|104051248|112442175|112451824|104070239|120851732|104080053|104080059|104082120|104082122|104082160|104082180|104082208|104082280|104082300|104082303|104082325|104082364|104082416|104082425|104155915|104163218|104170465|104170581|104172260|104172264|104172592|104172605|104182578|104183137|104184642|104187194|104187606|104187882|104188739|104188849|120968085|104193045|104193238|104193642|104194287|104199451|104204561|104207238|120989409|104217440|104219236|104219300|104220256|104230822|104232069|104252814|104259768|104264301|104264335|104264346|104265889|104266647|104267730|104296779|104297593|121179396|121199705|121233327|121234293|104473968|104474819|104475932|104475937|104478860|121284016|121284845|104511736|104513224|104528027|104530753|104537562|104537725|104537737|104545782|104551923|104554864|104556665|104564187|104569603|104570128|104570159|104570272|104570283|104570295|104571544|104576123|104580304|104580893|104581400|104583915|104585816|104586145|104587192|104587221|121370102|104595461|104596247|104602463|104602751|104607507|105053771|105053789|105053844|105055531|105055535|105055538|105056036|105056046|105056054|105061941|105123495|113559757|105204893|121993288|121993811|121997333|121998406|122002389|122002478|122002961|105241027|105269579|113670848|113678177|105302684|113702556|113720252|105456594|105687140|122609900|122614456|122643195|122700552|122707666|122711970|122713231|122713243|122734970|122757772|122761212|122766794|122766802|122766835|122766883|122766913|122767160|122787788|106121742|106131640|106134753|106137572|106146081|106147380|106150646|106153098|106157013|106164943|106166791|106168470|106170047|106172236|106172932|106175467|106175652|106178415|106181707|106184803|106188613|106191224|106193328|106193924|106194211|106194885|106197532|106197904|106198067|106202749|106206604|106207387|106209888|106210863|106211732|106212901|106215772|106216832|106220443|106222085|106223205|106224684|106227035|106231028|106231731|106233051|106237261|106240374|106241087|106250840|106252349|106253348|106259325|106260721|114650438|106263558|114659657|106271754|123057461|123057687|123058159|106281061|123058376|123060446|106286512|106286787|123067400|106294648|106301829|106303801|123081445|123092111|106314956|123095419|123095502|123095596|106319056|123096680|123097722|123100165|123100814|123101160|106328732|123107392|106334334|106341304|106344239|106348086|106348350|123126232|106357253|106358253|106360080|106362409|106363649|106368665|106368677|106370641|123155513|123163285|123164814|106390248|123167933|123171164|123171308|123171318|106396796|123176520|123177464|106400559|123178352|106401413|106403095|123181385|123185691|106415254|106431361|106434141|106444750|123223569|106451854|106451986|106453362|106453509|123236475|106466546|106471938|106474607|123255404|106480414|106485839|106489676|123270880|123274775|123274886|123274891|123274901|123275208|106503337|106504360|106506942|106510658|106515004|106517376|106536642|106547137|106549906|106550684|106552000|106552024|106552289|123330263|106553568|106554581|106555193|106559003|106586970|123532516|123549485|123553840|123553861|123553873|123556511|123560865|123561964|123571648|123580580|123580612|123580639|123580784|123581050|106820005|106843930|106845113|115235463|115235646|115235685|106864336|115254068|106878856|115274042|115332119|115333010|115354492|115385447|115399490|115400039|115427680|115439498|107063217|115454567|107065974|107072971|115464619|107076884|107084902|115473899|107094140|107095671|107096167|107096969|107099609|107110041|107114221|107116127|107125263|107125391|107126063|115519932|123938781|107166647|123948493|123962339|107187721|107188154|107188345|107188977|107189031|107190328|107194386|107198600|107198836|107199133|123979147|123981073|107204108|123985378|107211794|107213399|107217231|123998447|107225759|107230042|107230117|107230406|107236440|107236605|107238395|107240441|115633026|107244822|115638141|107252096|107257414|107257945|107261252|107261268|107265083|107274797|107283581|107288484|107288548|107295657|107301036|107332325|107344049|115733625|107350464|107356961|107361982|115752855|107364617|107374318|115811916|115819379|115828920|115830663|115831481|115832175|115834216|107471581|115866282|115868723|115882773|115886470|115895167|115914325|115969938|115974052|115975836|107599682|115994643|115994922|115994936|116000175|107612568|107624306|116018030|116059650|116062145|116073789|116075152|116098159|116103647|116106443|116125512|116135293|116148037|124542981|116165763|124566061|116185025|124581651|116207676|116215442|116232818|116237235|116240723|124629523|116247167|116258112|124650296|124656687|116274128|124673105|116286468|116287337|116288994|116290344|124688322|124693426|116306947|124697831|116311252|124709487|124717998|124718381|124721122|124723808|124726124|124743811|124747631|124748488|124754259|124756835|124764227|124764735|124777243|108031795|108047070|124916260|108189438|116793160|116818530|108525877|108526006|108537976|116927299|108540449|108554362|116956171|108576734|108582157|108591838|108594715|108598640|116987325|100239430|108629592|117024112|117024313|100247568|108639973|117033786|117040813|117042934|117043550|108670766|117060560|100301128|100306589|100307879|108699241|117091654|117091867|100315614|117092926|100317448|117102257|117104368|100329580|100337777|117117745|117119443|117125474|117126482|108740291|100351779|108742986|100361610|100362690|117145469|100369024|117146715|108766200|100378555|108769765|100382520|117160544|117166470|100390707|117176869|108788294|117181393|117182969|117185396|108797580|100415649|100419466|108808675|108816342|100430595|117213630|108825130|117215123|108827907|117217935|117219522|100443149|117220408|108834363|100449511|100449972|100452621|117238408|100461464|108866049|108875083|108875890|108912744|108923060|100549232|108938459|100553016|108941722|108952492|108952752|108954930|100569454|108966168|108971225|100587775|100591359|100597517|100612937|100621479|109028012|109037519|109039503|100788071|109214842|100831709|109315014|101027635|117979528|101551991|101579875|118496265|102102984|102181665|102240836|102270246|103495907|120725638|112385365|112395364|104263095|104349572|104515047|105404199|114639507|123073005|123099102|123157859|123172168|106845247|115420294|123921099|123933793|123975639|123990542|107219420|108093959|100132637|100485363|106411559|124753906
compulsion.n.03	compulsion.n.03	100723120|117506059|100848181|100890194|101037697|101054703|109591839|101282698|101327829|101422995|101468081|101516169|101527014|101537162|101579128|101595538|110017042|101648689|101654779|101666790|101693161|101727735|101754557|101783465|101869254|102057981|102058001|102118934|102131223|102132382|102197867|102292243|102369496|102405225|102411292|102413172|102435625|102452362|103190423|120761467|112397355|112397769|121216099|121248821|104480861|104482007|104493834|113315809|113529921|113541509|113648204|105301478|105312576|105336732|114648283|114651537|114651544|114651667|114657157|106280473|123089434|106381320|123181112|106422994|106447598|123274021|106539733|115468698|107097448|107118199|107118527|115529081|123933483|107167179|115560169|107184821|123986764|107240841|107269064|107277009|107325496|107344878|115779670|107453387|116331722|116332106|108553653|108568103|108574733|108585453|108592561|108651230|108685154|108717856|117107948|117159463|117161763|117161799|108780503|117180198|108797273|108934512|108989589|109032283|109039362|109041731
distress.n.01	distress.n.01|suffering.n.02|misery.n.01|adversity.n.01|agony.n.01|agony.n.02	110196083|110216286|107214955|115816917|115817234|115832141|115907491|116013517|116072276|116074909|116140570|116198619|116219718|116229166|116286560|116293835|116299169|116307480|116312310|116313047|108046471|108105236|108106541|108129916|108130011|108130094|108130223|108134629|108169335|108172251|108173132|108173967|108177159|108235475|108285895|101390090|104482235|104482245|116078895|116312290|124654196|116050478|116069362
compulsion.n.02	compulsion.n.02|compulsion.n.01|reason.n.01|urge.n.01|motivation.n.01	100700968|100838116|117723941|101280969|101527548|101527587|102112585|102133828|102146113|102270382|102389496|102404533|102411189|102469553|103032163|121290939|123088797|123089109|123191873|123271200|123994325|107227764|115717147|116550859|116550881|116551026|108810732|117221880|100675350|109365106|118011511|101282774|109685984|101315688|110044130|101659299|110055601|101965067|102439962|104041335|123057725|123270832|123271805|106505232|115443351|107193357|107259113|115686315|107299047|116331760|108531156|108576794|108651391|117160540|101881598|119074433|102503287|123158544|107207642|113368576|122730540|107585427|107114504
constraint.n.03	constraint.n.03	109090075|100840988|109243406|109244640|100891598|109356173|101058122|118374458|110080273|118510445|120968100|105382545|115597975|124734342|124766077|124766985|108084791|116536263|116536294|116875633|108553687|108654753|108734606|100359823|108781669|100506928|108935146|100648887
necessity.n.02	necessity.n.02	117624638|101069011|101856978|102165766|102260351|102267474|102312877|102379084|104301985|121206812|121235036|106144572|106300274|123083836|106545202|107188311|115807713|108574246|108610480|108809914
violence.n.01	violence.n.01	117519884|100877919|101010648|109648856|110049477|110085326|102987395|105453042|107247385|115644733|115729836|115783844|116919475|117051017|117192400|117213872
constraint.n.01	constraint.n.01|captivity.n.01	109356176|101054764|118405018|110079790|118516639|102988253|103282676|103282821|105037198|100246802|108828773|100449648|100617974|100625399|117545448|108576766
distress.n.02	distress.n.02|pass.n.08|extremity.n.02|exigency.n.01|difficulty.n.03	110142823|120836471|115824097|115840784|115869274|115882080|115996929|116174124|107903347|116311913|108152637|108168565|108175913|108316372|101497889|107166676|107217812|107230697|124675312|108540029|100718602|119068040|100376791|101525820|107255413
force.n.01	force.n.01|force.n.03|pressure.n.02|duress.n.01|power.n.01|force.n.02	109230474|100867456|102326428|105272240|123276175|115411166|115921702|116092345|117216032|109254312|109697697|110068977|123049301|115673444|107763439|101276318|118835824|103477755|106834058|116330812|117146850|118720402|121246666|114605319|102626293|106759022|115631669|102308562|102626349
