cause.n.01	cause.n.01|origin.n.03|factor.n.01|onset.n.01	117459390|100683437|117465625|117466030|117466288|109086576|117484169|117484588|117484615|100707772|117490160|117492637|117500654|109113511|109113877|100726056|100728292|100728333|100728674|100729446|117510530|117510790|117524393|109136732|117537264|117538942|100766995|117548289|117548578|117549086|117549691|100780116|100788144|117583305|117593715|117594905|117596257|117597344|100827661|117606914|117610262|109229933|117620826|117622851|117627676|117628395|117637089|117637100|117637102|117639690|117640019|100880797|109298710|109299980|109302545|109302981|109307168|109307384|109319984|109320147|109320417|109320440|109320478|109320798|109320840|109333274|109334761|109366012|109379268|109383798|117774584|109386376|117776981|117776988|117777389|109388835|117777468|109389274|109389299|109389323|109392512|101095081|109528384|117945412|117991211|118000438|118001554|118002702|118005670|118005681|118010028|109760470|109760488|118179103|109794650|109818156|118291652|118296913|118298453|118299341|118301141|118302280|109935578|118361420|110003815|118417289|101666056|118457654|101710690|101710773|101711132|101711205|101711249|101711354|101711399|101711483|101711513|101711636|101711707|101711751|101711837|101711850|101711869|101712196|101712375|101712452|101712501|101712575|101712596|101712969|110131702|110173961|101787207|110181610|101794516|110184747|101797084|101797125|101797162|101799350|101831156|101832355|101832376|101832444|101832485|101832539|101833653|101833824|101833987|101846255|101861309|101861369|101877182|118657859|101884026|101941391|101941405|101941455|101986168|102000139|102000184|110388926|110388999|110389178|110389291|110395428|110395540|110398797|110405497|110408538|110408626|110409546|110409710|110409807|110409825|110414643|110417615|118819749|102043956|102050545|118834128|118838528|118873935|102108553|102108879|102109314|102118005|118932079|102159865|102162976|102164563|102165330|102165362|102165544|102169311|102170847|102171776|102171848|102172944|102173208|102173581|102173598|102177333|102177490|102180408|102209120|102213303|102215005|118996149|118996673|102221842|119019660|102247253|102258701|102261257|102261334|102261428|102261522|102261622|102272346|102274847|119054032|102280103|102287009|102287053|102288383|102288397|102308715|119089231|102313333|102314689|102315257|119093639|119102092|102427300|102465901|110857416|110858096|110858119|102502988|102508153|102508512|119333505|119334214|119335877|119336443|119336573|119336745|119337370|119337915|119339488|119340893|119341024|119344222|119344566|119345159|119345457|119345576|119346034|119346543|119347382|119349144|119349246|119352672|119352860|119352866|119353603|119354185|119354858|119355385|119355757|119355784|119358617|119359197|119359418|119360861|119362198|119362761|119363849|119369624|119375646|119378302|119380886|102607925|119386313|119387870|119389226|119391139|102644689|102648976|111153215|111153594|111154053|111154571|111155187|111155211|111155249|111157813|111157911|111158005|111158550|111159353|111159391|111159423|111159441|111159879|111159988|111160679|111160986|111161078|111161251|111162250|111162891|111162974|111163019|111163236|111163256|111163312|111163329|111163374|111163566|111164101|111164533|111164634|111164675|111164738|111164783|111165764|111166040|111166056|111167036|111167961|111169523|111170519|111170526|111170559|111170577|111171271|111171737|111172332|111172920|111173713|111175329|111175381|111175724|111177275|111177773|111178379|111181032|111183157|111183387|111183695|111184382|111185973|111186224|111186698|111186756|111186904|111187640|111188143|111188379|111188553|111189525|111189536|111190835|111192780|111192920|111192961|111192980|111193150|111194105|111194942|111195755|111196593|111196761|111198904|111199863|111199929|111199960|111201877|111204203|111205206|111205234|111205372|102916074|102916079|102927131|103095147|103312860|103335025|103397479|103539162|103539173|103539382|103545556|103545621|103552156|103553976|103559585|103559587|103559800|103565566|103567557|103568922|103572869|103574605|103574977|103624329|103631259|103631978|103663870|103665090|103667485|103667546|103675494|103675876|103675948|103693820|103693848|103693856|103693875|103693883|103693891|103762345|103762358|103762465|103763858|103766401|103766774|103768586|103770644|103774908|103775102|103781800|103781829|103782376|103784955|103788554|103790089|103791310|103793004|103799516|103799753|103799844|103799855|103799947|103800206|103800234|103800599|103800656|103801417|103801790|103802283|103802306|103803349|103803531|103803760|103803902|103804021|103804167|103804418|103805038|103805713|103806457|103808942|103809367|103809397|103810464|103810542|103810583|103810909|103811405|103811452|103811548|103812080|103812259|103812450|103813238|103813448|103813524|103813637|103814880|103816206|103816475|103816488|103817551|103817904|103818543|103818570|103818591|103821501|103821517|103821535|103821610|103821820|103828180|103830022|103835477|103835777|103836051|103836444|103841545|120640773|120652664|120653190|120653212|120653892|120655135|120656592|120656663|120657320|120657341|120657641|120657670|120657684|120657956|120658203|120662435|120687129|120688447|120692427|103918654|103948058|103948891|103949370|103950173|103950380|103950674|103961001|103966505|103966640|112390124|112390283|120781620|112394385|112395960|112396019|112396561|104012409|104015295|104015750|104015857|104016131|104016152|104016234|104016383|104016393|104016949|104017039|104017053|104017104|104017182|112406105|104017511|104017649|104017852|104017871|104018055|104018151|104018308|104018503|104018784|104019056|112407831|104019623|104019721|104019762|104020479|104020607|104020695|104020731|104020872|104020974|104021065|104021356|104021429|104021794|104021956|104022238|104022279|104022320|104023090|104023678|104023744|104024276|104024719|104025990|104026647|104028793|104029491|104031647|104031888|104031938|104032187|112425024|112425187|104049560|104050598|104050664|112445200|112445244|112445249|112445417|112445826|112446061|112446168|112446230|112446601|112447121|112447241|112447280|112447391|112447586|104062269|112451800|112452742|112453155|112453201|112453216|104064980|104065013|104065081|104065279|112454457|112454504|104077651|104081362|104082264|104086480|104087135|104088109|104093670|104094869|104094928|104103264|104106507|104106749|104107874|104108474|104108507|104109453|104110325|104110856|104111145|104112109|104112234|104112412|104113150|104114258|104118190|104119873|104121281|104123631|104126828|104127004|104127495|104128920|104129241|104130800|104132061|104133555|104135138|104137868|104144858|104159428|104159866|104160809|104161068|104162596|104170347|104170741|104171048|104171479|104171994|104172003|104172669|104175388|104192487|104193249|104202838|104205149|104214107|104214244|104215909|104217282|104218821|104218976|104219156|104219186|104219777|104220674|104223282|104224973|104259938|104262301|104286467|104286614|104297341|104328898|104329692|104334143|104338580|104339222|104339275|104339389|104341031|104341688|104342470|104342673|104347394|104347513|104347723|104347774|104350545|104350650|104350721|104350979|121217999|121218050|121218081|121218173|121218223|121218242|121218675|121231760|121231801|104458458|121237739|104461510|104463197|104463987|104470291|104470325|104476026|104476321|121257282|121277817|104503819|104515437|121292720|104515626|104518397|104520745|104521542|104521774|104528053|104531986|104536355|104543763|104544408|104544921|104546883|104547185|104547653|104553335|104553401|104554677|104554717|104554736|104556048|121352265|121355960|121381232|121383931|121424732|104647959|104654515|121432807|104657661|104657714|121439017|104661986|121453261|121456186|104701142|104714449|104752473|121548860|105041812|105042916|105048367|105048520|105048645|105048681|105050260|105051922|105052097|105052121|105052432|105053623|113465854|105117431|105117437|105117438|105118270|105119435|105134588|105136935|105136975|113527819|105147714|105150645|113544923|113544957|105160907|105161640|105165381|105165631|105165972|105166868|105166918|105166938|105166972|105167023|105167059|105167103|105167264|105167299|105167408|105167474|105167519|105168196|105168254|113556988|105168749|105169563|105173023|105173414|105174048|121952686|113570286|121971911|121972010|105200733|121980611|121980666|121980709|121981083|105204727|105207194|105210160|121987490|105212593|121991696|121993179|121993826|121997921|121997992|113613569|122002594|122003053|122010214|105258300|105258311|105259087|105303908|105303931|105322238|105324094|105334429|105334479|105337786|105373094|105381746|105399993|105400097|105400290|105420107|105438631|105454204|105454259|105454309|105454408|105454589|105454787|119352248|122732658|122621524|122643110|122643124|122643264|122643336|122661002|122713498|122713501|122713504|122713515|122713519|122713534|122713659|122728873|122729032|122729156|122729194|122729904|122730787|122732459|122732634|122732972|122734996|122766840|122766903|122766916|122766924|122767029|122767060|122767069|122767151|122771712|122775230|122778817|122789533|106110921|106112829|106113700|106115436|106116305|106116568|106125333|106129246|106132708|106132720|106132756|106138386|106140482|106144026|106147194|106161387|106163642|106164896|106165221|106183425|106183958|106186551|106188765|106200987|106204057|106209787|114602254|106215158|114604843|106241283|106241584|114634843|106249152|106250255|114640292|106253141|106265584|106267344|106273861|106278328|123066817|106298746|106301831|106301849|106301864|123086248|123088601|123088742|123089160|123089177|123089870|123089882|106313349|106313573|123091045|123091118|123091133|106313919|123091421|123098694|106322807|106322920|123100822|106325539|123103916|106326927|123118673|123136120|106359881|123139965|106372569|106375969|106376306|106388105|123169846|106395231|123176172|106401246|123197702|123197731|123198292|106429818|106435494|106437054|106437148|106437323|106445958|106446221|106446676|106446767|106454872|106457399|106463022|106465147|106466707|123254479|123254836|123254904|123255371|123255375|123255417|106489660|106490087|106490329|106491312|106491679|123274585|123276815|123278386|123278397|106505066|106520151|106524765|106541525|123318936|106549815|123327667|106553682|106553840|106554080|106558799|123336263|123338492|106566697|123344612|123345914|123345981|123346161|106579590|106580015|106580528|106589361|114989585|114992385|106762089|123541444|123541520|123542624|123542643|123543326|106766183|123543456|106767697|106767804|106767903|106768583|123546972|106771105|123549911|106772936|106773040|106773132|123550392|123551207|123552183|123553419|123553627|106780995|123560606|123567400|106793376|123575930|123578038|123581017|123591033|106832969|115233604|115234748|115235109|115235446|115235469|115235502|115235554|115236404|115243717|123632844|123632920|115244320|123632935|106856252|115248208|115248702|106860808|106863055|115252824|115253541|115254424|115254988|106867374|106869263|115261035|106875314|106876441|115273088|106884940|115274742|115274865|115274870|115374562|115374640|115394678|107021799|115418923|115430045|107060824|107093716|107107629|107108779|107113354|107127587|107156123|107158251|107162966|115566866|107185489|115593383|107210563|107218787|107218812|115610887|107232178|107245166|107245222|107246137|107262319|115679664|107311598|107332195|107332530|107334597|107336296|115732261|107355582|107365561|107372744|115790446|115799536|115802619|115815291|107427341|115816674|115816927|115821070|115828043|115828413|107453352|115842521|107454686|115846192|107463427|115853087|107478645|115874312|115874784|115877678|115881362|107494644|107494723|107494734|107495076|115888192|115890201|115906103|115912420|115912882|107525134|115914470|115918633|107541408|107541656|107542055|107542335|107543848|107544654|107561983|107583835|107585876|107588911|107589756|115998317|107618613|107634792|116066122|116066654|107679783|124475328|124476197|124482345|124482386|107709172|116107686|116110598|116110747|116116987|107753602|124537826|124544394|124544703|124561483|107788076|107788630|107788785|124573285|116185271|107800164|124579616|124580868|116199339|116202786|107825025|107835075|124612715|124627717|116260162|124685930|124687756|124702442|124722540|124731071|124747331|124761138|124762808|124778800|124779956|108020400|108083570|108093932|124910280|124910852|124910933|124911524|124917700|124920003|116546382|116546472|116546591|116546623|116546866|116572260|116572796|116572813|116572835|116572876|116572923|116573186|116573195|116573221|116573295|108188071|116577211|116577223|116577227|108189360|108189860|116593198|108351770|116773796|108388480|116796982|116811445|116826438|116831590|116847080|116847434|116886236|116888882|116907952|116912490|116954896|108596852|108597772|108610751|108610925|108610963|108627341|117024300|108644444|117033067|117040360|108656997|100313018|100313069|100325547|100337926|117124282|100356752|117148754|100386583|108810671|117221050|117221117|117225807|100456439|108876793|108891255|108892447|108913575|117312996|117313791|108927677|117376730|109026091|118844819|103036307|104124703|121460579|121548333|110398767|121199759|121213476|121218031
reason.n.01	reason.n.01|motivation.n.01|occasion.n.03|incentive.n.01|reason.n.06	100669481|109067206|109077273|109088716|109089322|100708208|100716040|117500576|100732960|100734415|100736126|117517669|109139614|100762847|100765512|100773169|117552839|100778580|100784215|109175784|100787836|109188797|117585953|109200136|109204014|100815781|117595658|109208029|109209884|109210439|117599845|109212145|117606833|117610654|117611448|109230244|109230390|109231124|109231259|109237071|109241986|109243599|109243882|109244062|109244272|109250642|109250714|109250964|109268681|109275388|109275593|100891646|109281449|109290277|109290898|100902387|109292226|109301704|109304055|109305957|109306456|100918201|117701109|117701271|109314075|100941729|117720240|100949353|100952762|109344114|117735626|109347786|100959969|100962851|109358000|117748640|100974192|109381050|109385867|101008089|101052687|101069821|101123199|117946578|117951245|117973550|117995995|117998107|101277480|101295071|109747125|109760896|109760911|109760923|109875041|118296179|118296221|118296265|118306677|109923836|109937190|109941680|109950338|109958556|118347572|109964833|109973786|109981401|118378729|109996386|109997704|109998543|109998968|110005669|110012207|110014365|110015591|110022266|118415875|118417539|118422528|110036896|110036973|110038046|110038104|110039752|118432734|118443242|118456213|118456917|118458271|118458963|118460838|118479220|118488819|118491044|118506653|118507703|101767366|101801770|101851825|101884220|101893153|110287163|118720400|118720762|118722954|118725089|118725678|118725760|118787012|118825228|118826396|118828121|118846563|118853513|118854703|118862293|118869751|118876211|118876235|118877610|102157585|102162400|102164794|119001037|119007616|119089039|119089906|119091266|119095414|119098455|102329376|102429033|102436940|102449195|110851313|102473973|102476762|119363598|111193752|111201105|103050196|103108765|103222677|103303107|103329243|103350126|103397923|103416209|103435354|103446497|103489696|103512803|103533399|103567708|103569033|103574419|103592482|103594925|103595711|103627298|103629544|103631437|103632700|103633930|103645963|103692706|103775006|103779419|103789065|103800367|103800689|103801666|103803591|103811439|103811944|103816977|103823637|103827187|103835013|103843895|120653115|120659088|103918865|120727452|103967491|103973551|103974087|120761802|104015797|112414616|112416517|112416579|104029632|104038908|112430985|112431011|104096945|104102746|104105904|104116503|104129417|104151259|104170334|104170432|104171545|104174736|104188331|104193434|104195591|104199471|104201028|104201573|104202737|104203969|104301413|104306043|104316091|104317694|104320668|104321301|104324346|104325185|104325888|104330458|104331503|104331566|104332291|104335586|104335622|104342196|104344307|104346636|104346792|104348354|104349435|104350170|104361442|104361648|104363711|104365712|104366293|121143544|104369612|104369628|104489730|104495712|104499222|104512734|104512952|104514279|121393032|104642881|121424634|104694545|121474081|121489610|121494533|121511289|121515758|113328590|113342541|113363271|113420370|105055992|113454622|113461918|113466359|113489735|105118669|105118914|105121818|105121936|105122198|105122261|113517840|105131903|105136845|105138549|105142783|105144317|113540209|113543296|105158296|105161036|105165351|105166726|121944599|105169501|105181704|105192399|105200237|105206205|105208572|105209329|121988371|105211981|105214811|105222732|122002546|105228002|122006545|105236368|105236534|105236592|105256253|105260007|105280365|105281976|105311581|105317552|105321669|105324822|105326475|105329473|105333967|105336212|105337763|105339696|105349223|105355640|105359131|105365755|105384143|105400468|105402744|105415958|105421099|105422512|105424499|105427910|105441479|105441574|105458720|105679466|105680141|105823817|122653749|122705555|122715314|122734747|122754436|122755126|122756280|122756836|122758412|122758970|122761251|122788777|122791326|122791354|106116640|106120909|106120967|106125955|106146491|114554828|114555241|106175735|106179896|106227758|106239314|106266482|106272764|106291258|106312066|106316999|106318763|123100064|106333082|106343445|106345785|106358720|106371769|106382292|106392506|106394301|106424576|106428911|106428990|106430263|106431829|106432971|106452482|106452620|106454428|106475172|106480472|106483011|106491830|106492005|106495345|123276676|106501655|106503416|106503723|106505650|123321296|106548790|123326258|123339340|106571442|106734401|106750363|106752524|106752633|106754621|106758406|106761199|106761404|106763093|123542712|106766406|123544132|106768457|106771171|106771866|106772689|106773103|106773304|106774211|106775883|106779059|106800394|106805505|106807768|106816830|106818512|106826705|106848527|115240125|106852559|106853562|106854807|106855015|106857433|106862096|106866908|106868677|106873317|115267300|106878769|106880186|106881137|106881258|106882022|106882142|106885098|106899239|106915657|106922350|106931476|115347574|115420847|107059596|107060290|107061770|115450830|107071081|107071899|107075317|107075506|107091081|107097801|115490545|107105022|107105137|107109549|107114190|107114281|107114665|107115803|115504648|107121588|107127135|107128763|107130889|107131644|107132200|107141354|115531423|115536197|107151973|107154363|107154615|107163352|115559664|115562433|107177302|115569403|115593315|107207060|115596128|115605755|107219884|115609548|115610331|115612546|107227398|107227607|115619078|107245280|107246661|107249588|115642228|115646249|107267367|107274789|115668648|107282960|107289009|107296088|107296150|115691907|107304727|115704499|115705630|115706145|107325265|107332465|107335559|115726872|107341809|107342763|107343746|107350999|107351119|115739865|115744807|107363512|115754632|115771003|115776046|115791962|115796178|115797548|115797639|115798632|115806445|107426694|115818280|107430512|115819975|107458775|107459360|115857360|115857693|107470760|115865847|115867501|115880652|115907430|107544353|107552452|115959416|107574934|115991766|116021758|107634079|116028725|116036054|116056774|107682829|116090712|107703600|107705983|107707042|116099146|107713027|116106644|107735561|116124229|116136040|116142294|116151996|116154680|124548542|116160371|116163914|124553304|107782902|107790364|124568421|124569812|124572292|124594281|116208794|107833782|107836564|116231743|124621237|124642770|124660341|124679934|124686204|124686491|124686521|124704454|124717229|124735646|124737289|124740084|124757093|124771647|124777362|124916116|124918361|124921503|116545006|116773319|108386639|108388512|108399619|116793630|116831676|116834630|116835539|116837566|116862851|116876453|116889827|116910645|116910660|116913768|116916054|108537868|116927167|108538972|108542544|108544317|108545175|108549363|108555872|108556026|116955273|116964301|116975993|108601542|117001781|108617836|108618640|117013722|108648204|108670723|108676224|108686728|108698396|108709091|108710947|117112266|108726752|108727928|108761633|108763916|108766609|108767499|108782227|117171851|117176682|117178718|117182676|108798631|117203013|117204126|117227818|108840800|117232527|108852054|108863965|108865040|108878274|108901451|108904576|108912256|100535199|108923878|117313861|117316494|117320601|117329830|117334808|117337151|117339155|108950780|117352720|108968686|108968864|108969051|117358249|117358644|100589946|100590812|100591622|108981938|108983649|108991410|109018150|109018885|109021218|109025330|109031619|109044898|109045340|100658995|109050102|109075892|109128725|109128880|110021815|118411668|118416603|118458665|103042277|103050917|103219078|103354712|104347008|104347052|104347091|104347138|104474813|104719494|113338865|113354096|113380157|113437798|113529953|113562366|105223298|123171473|123529484|115438684|107255531|107283542|107332088|115860184|107496724|107564759|116047969|108652527|108657903|117104157|109038525|109368243|109396943|118458523|107103530|115803710|115837070|115850512|115855052|115857272|115866220|115885628|115924844|115944763|115971667|115977722|115978034|115987832|116044433|116068345|116077618|116078330|116095070|116117851|116125710|116127933|116130989|116135169|116136266|116152854|116204435|116219132|116311292|108538011|108961922|113500042
reason.n.02	reason.n.02|cause.n.02	117459953|117463344|109087836|109090103|100729320|117515117|109193537|109194965|109237882|109243983|109298926|109307511|109307898|109308437|117706933|109342704|100975887|109383696|117775829|117777249|101041786|117960050|109682223|109698988|118174139|109919338|109941479|118416804|118443111|101712923|101717677|101767383|118642996|101873731|101875080|118721314|118727010|110393670|110394224|110399799|110406608|118864852|118936683|102216559|119002449|102261207|102276720|119062306|119068052|102307348|119098095|110850600|119340718|111173573|111190263|111191499|103393707|103496233|103498515|103505518|103513036|103519008|103521583|103527234|103532498|103573431|103576311|103577155|103577503|103625814|103626219|103627434|103632630|103641815|103644298|103673925|103764401|103764437|103764759|103765578|103765802|103767769|103769091|103770383|103775227|103778117|103780025|103780508|103785336|103785761|103787017|103787161|103787711|103788575|103788744|103789412|103789578|103789620|103792250|103792759|103795138|103795812|103797644|103800811|103801170|103802063|103803432|103803803|103803846|103804347|103805267|103805401|103805523|103806014|103806429|103807071|103808005|103809133|103809923|103811323|103811973|103813473|103814499|103816174|103817506|103904887|103911562|103940542|103942935|103946291|103950446|103950566|103950973|103961617|103962832|103967887|103968173|103971609|103974565|120787511|112430865|112434947|112441198|104062361|112453378|112454409|104072734|104089409|104107507|104108010|104108386|104114044|104114225|104114746|104117420|104119138|104123489|104125955|104127077|104127781|104130242|104132023|104133031|104136651|104138245|104154034|104182276|104182662|104183614|104187832|104188233|104188952|104190310|104192181|104192935|104195504|104200178|104201335|104202172|104203225|104203900|104205548|104205564|104205701|104205830|104206123|104232837|104251257|104324415|104334189|104457842|104457989|104458168|104458473|104459696|104463139|104464144|104512682|104515592|104517025|104526278|104527635|104527704|104528184|104544618|104547300|104550935|104552697|104584790|121380482|121386076|121405679|121409686|104643389|104651266|104708910|121489603|121492914|121506716|104776431|104776478|104778013|104779057|113338007|113376807|113488607|113491913|113492067|105130277|105134689|105136607|105212731|105213181|105217565|105257965|105305150|105305971|105307529|105327375|105334399|105355317|105373826|105396455|105445283|105449759|105679878|122615651|122679141|122718422|122755023|122757323|122776874|122790992|106160568|114553120|114555636|114556427|106187187|114603945|106230539|123085547|123113218|106343881|106351578|123136219|106391148|123168881|123198188|106457089|106458641|123254813|106481095|123276648|106503587|106752092|106777462|106782643|106789988|106860265|106864284|106884472|106887299|106930938|107065641|107083184|115588065|115654448|115683347|115693353|115696419|115712418|107335581|107358469|115784589|107465139|115905733|107536435|115941111|107571258|116108586|107760518|107771234|124552457|107782847|107796988|124596098|107827806|107838298|107840398|124752331|124914556|124918162|108387524|108387565|108387808|108388164|108388897|116786663|116788341|108400000|116793407|116804546|116807492|116807880|116824878|116835402|116837153|116842401|116854029|116865074|116883161|116949094|108607610|108611869|108632387|108675181|117122203|108762256|117151078|108841648|108926493|109082112|117478137|117498465|117501931|109125880|117517045|117527666|117537057|117586522|117590586|117623176|109284619|109302280|100950889|109391692|109391892|117993645|101243299|109748408|109797341|118386975|118428486|101711556|101711619|101713011|110102357|110171662|110180849|110184774|110220067|110220193|110221663|110223107|102070038|118856418|119346645|119369636|111153252|103049802|103663818|103775322|103787827|103789561|103801916|120653084|120658089|120659585|120851422|104185545|104207418|104302428|121480376|121481452|113543352|105161669|105172921|105205964|113606501|105395615|122771869|106112945|106115771|106127365|106146715|106147314|106147324|106216249|106255088|106266682|123152455|106494480|106511518|106550333|123542265|123542298|123543233|123586884|115447912|115490179|123910231|115566509|107210939|107250560|107261946|107292874|115686239|115798784|115805439|107453342|115857542|115883781|115906806|115970356|107619057|116014167|116045306|116063696|124533999|124541243|124544318|124553642|124558020|124560745|124567444|124567894|124594879|124595633|124597107|116221340|124644984|124653703|124685766|124691783|124711911|124763501|108098811|116546560|116572911|116572932|116573251|116573276|116573281|117062725|117081562|100318354|100390143|117170556|100438099|108828119|117220358|100520949|100525969|100597161
charge.n.02	charge.n.02|incrimination.n.01|accusation.n.01|accusation.n.02|recrimination.n.01|imputation.n.01|indictment.n.02|complaint.n.04	100664711|100664749|100669060|100671353|100676190|100686444|100686658|100738792|100742427|109136831|109171681|100970895|101112135|101118435|109529000|101244416|101246118|101247649|101263538|101264196|101267084|101276246|101282918|101283289|118322870|118378688|118453461|110182622|110182846|118824985|118826672|118827365|118838354|118838980|118852840|118856715|118864039|118869655|118871585|118875978|118880145|118880163|102322403|102437022|102437552|102439015|102439633|102440634|102442279|102443881|102445139|102447068|102447308|102456808|102458520|102463433|102466734|102473722|102474793|103039368|103073585|103079398|103085085|103096104|103171448|103171491|103206792|103220114|103246861|103247155|103295564|103318021|103322003|103323217|103327769|103327796|103352182|103362201|103362293|103363409|103385461|103393498|103393849|103395223|103395306|103395443|103399903|103422993|103427559|103428282|103429153|103430680|103438305|103446887|103448414|103448598|103449437|103449460|103449619|103453730|103455788|103605327|120640183|120650930|121193819|113684672|113721929|114657899|106488650|106749809|115379895|115381080|107074651|115489763|107104038|107198222|107240658|107241952|107241973|107256209|107294443|107296247|107313395|107348421|107357582|107558043|124561706|124567968|124596846|124630413|116256164|124667980|124685783|124692665|124709247|124710013|108600326|108608148|108618187|108635385|108686143|108694111|108743670|108785560|108785736|108812879|108824374|108870856|108879416|108921227|108968334|108972364|108979362|108983222|117464881|117466310|109089676|117562361|109305270|101054655|117976924|101269059|101269387|101270323|101271125|101292092|101405654|101405676|101501071|109924460|101552307|101557026|118368341|101687531|101708391|118853249|118989918|102327874|102374358|102458005|102474193|103056241|103073445|103358363|103590681|120751040|121243026|105042899|113447909|121945961|121945982|105218149|122000909|105226357|105229934|113656188|105278415|105401247|106255983|106267517|123094201|123099857|123559375|115339718|115396865|115402248|115419014|115435298|115435330|115446757|115449104|107112698|107121097|115534173|115621280|115688622|115827576|115830970|107539839|116075214|124560205|124561765|124566771|116198904|124605728|116229169|124648511|124670874|124697763|124709365|124726139|124732934|117001580|108618080|117010033|117039000|108651071|117073384|108691424|100315971|108793775|108802155|108804447|108804800|108808215|108878735|100564767|117343749|100567378|108971434|108971469|100583190|108987525|109009804|109012763|109015371|109027534|109120138|100784164|100797573|109529931|109774959|101488447|101488505|110109903|110123071|110252665|101927352|118820399|118822571|118823840|118826690|118833974|118838359|102438052|102441330|103056351|103074022|103101432|103160333|103166902|103166922|103167241|103167649|103167710|103168673|103171323|103171405|103171678|103239876|103240056|103332394|103361428|103391881|103395481|103395550|103406327|103407210|103407503|103409401|103436426|103457369|103590923|121191316|121191450|121192457|121193901|121216179|121235611|121237382|121239579|121245787|121284460|105241957|106390678|106397768|106487348|106488744|106559666|106578608|115342970|107243527|107255938|107259343|124701158|115700162|115700206|107332612|115818727|115855782|115891438|115994113|115994252|116027896|116043568|116063207|116064258|116066700|116074984|116088930|116136490|124537565|124561682|116204776|116211190|124630984|116259368|116301637|116307425|116313933|124735691|108547349|108704820|100411752|108805738|108830871|108853011|108959020|109030056|100749483|102441427|103160338|103160464|103160483|103183171|103292835|103398468|103449383|103455187|124603652|108846728|108912312|109051723|103177600|103355879|103428107|101115768|115521447|103172699|103240591
causal_agent.n.01	causal_agent.n.01	117468181|100731882|117510114|117517654|100767215|100775796|117583214|117610964|109242906|100860824|117639050|109261846|109281608|117697042|109381798|109390951|118003683|118007221|118008735|118008755|101237636|118296639|109937388|101792905|101833765|101892812|101950936|110409571|118989560|102283994|102284165|102284190|119088812|119089356|119090449|102371413|102516655|119335451|119356511|119364062|119370046|111150321|111150353|111152714|111153154|111153472|111154352|111165645|111194693|111195691|111196870|111197082|103779640|103802131|103810388|103814708|103817585|104021085|104029677|104050901|104112155|104116556|104116631|104129468|104217362|104219817|104270559|121456364|104723771|105053870|113490700|113490905|121991261|121994259|121998758|122002301|122002770|122006679|122010187|105396748|122642569|122713236|122765865|122771741|106121133|106244760|123060381|123099505|123114115|106370420|123178079|106406137|123282731|106518182|106550093|123328994|106762699|123559536|123591017|123635132|107258147|107269339|115695753|115814469|115877717|115877906|116310919|116311317|116925207|116988025|108641581|108818351|100432847|100540372|117319628|117329128|117332337|117337010|100575568|100582675|109022072|109050196
juncture.n.01	juncture.n.01|happening.n.01|incident.n.01	118507362|118860695|121257357|121263060|121514657|113390985|122754219|122754331|122754499|122754831|122754925|122755235|122755409|122755603|122755728|122756109|122756907|122757519|122757626|122757717|122757916|122758107|122758134|122758216|122758808|122759091|122759483|122759566|122759700|122759919|122760348|122760958|115799930|115811567|115811615|115814161|115823554|115841427|115848448|115852897|115867231|115893571|115898329|107526853|115917766|115955373|115964596|115965938|115984870|116051464|116051491|116055884|116070110|116093304|116098329|107716657|116105836|116107186|116107347|116124569|116129259|116134689|116134710|116135502|116139415|116141525|116149753|116150093|116152670|116162097|116193674|116223291|116283721|116306808|116309469|116313158|108548017|108682005|108745077|108805654|121255089|107296463
explanation.n.01	explanation.n.01	117776828|117776850|109696625|109827719|109923611|118436168|101963429|110395773|110397220|118797963|103646133|103778381|112395909|104102300|104174990|104202054|104206200|104458037|104459347|104775933|104779006|104779451|106117995|123091033|123103906|106409972|106470481|106524362|106561589|115842761|115943932|115963667|116108716|116235455|108545270
crime.n.01	crime.n.01|misbehavior.n.01	100686532|100819250|100941950|101263475|101278375|101685203|110162015|110162121|110162180|118822413|103173681|103328388|103386342|103465635|105409504|106191200|106191356|106191802|106922175|107110210|115516952|107155105|116056218|107669040|116073810|116089117|108396827|108402625|116911226|117068843|100399609|100420263|100447978|109048461|105441988
score.n.05	score.n.05	100756257|109790191|109914016|109927755|121403323|106164871|106211356|106394772|106420455|106453161|106494680|106495838|106497053|115699435|115805859|115823378|115828473|115843317|115843424|115845828|115850725|115941363|116003858|107695305|116084687|116089041|116096493|116165639|116173514
duty.n.01	duty.n.01	100686253|109191558|100809029|101281239|118851223|102379339|102449839|102465049|103155685|103215944|120986790|105673920|114634857|106788491|106810111|106860238|115369167|115460783|115467484|107257576|124710747|124726439|108669866|108766565|108963295
