substance.n.01	substance.n.01|substance.n.07|substance.n.04|matter.n.03|material.n.01	109140380|117538699|117538704|117635224|117635244|109281612|109283174|109286004|109309347|109313942|109314932|109317392|109317623|117719569|117727827|117733034|117774333|117774515|117774539|117774774|117774797|117774892|117774900|117775626|117775681|117776434|109388895|109390272|109390292|109390305|109392331|117986349|117989514|117991697|117992692|117992756|117993253|117993632|117993759|117997380|117997417|117997862|117998010|117998124|117998133|117998509|118000689|118002994|118007924|118008397|118008410|118014896|118114330|118378281|118451558|118762315|110388240|110388453|110389403|110389442|110389544|110390153|110390246|110392350|110392412|110392738|110394388|110395600|110395807|110404948|110405187|110415574|110415825|110424373|110424609|102161750|102223330|102231288|102283935|119088675|119088958|119089414|119093202|119100146|111151089|111152327|111152502|111153001|111153854|111155962|111156568|111157853|111161292|111171505|111171541|111171966|111173430|111174697|111177944|111178445|111178546|111178625|111178900|111179067|111179084|111179159|111179208|111186140|111186227|111186439|111188060|111190809|111191573|111194287|111197114|111202655|103497927|103497936|103498241|103498269|103498278|103515356|103516113|103516117|103516140|103516162|103516167|103540682|103540807|103553489|103553494|103556319|103556329|103562152|103565338|103565570|103570889|103570924|103570933|103572116|103572180|103572231|103572235|103572278|103573585|103574639|103574651|103575413|103575420|103575448|103612173|103613187|103614102|103620120|103631126|103635035|103635046|103635142|103635348|103639001|103640803|103646303|103646841|103647041|103647049|103647085|103647350|103647458|103647558|103647572|103647583|103647593|103647850|103648065|103648296|103648382|103648494|103648576|103648620|103648941|103651972|103651988|103652121|103652468|103652525|103819013|103821194|103821199|103821205|103821235|103821342|103821376|103821469|103821489|103822498|103822534|103822566|103823709|103830059|103835040|103835041|120654497|103960066|103962296|103967008|103967018|112394842|112400573|104020246|104021566|104021606|104022336|104022528|104022545|104022558|104022590|104022640|104022648|104023009|104023013|104023020|104023470|104023688|104023694|104023702|104023778|104023793|104024030|104025996|104026041|104026081|104026098|104026130|104026143|104026397|104026473|104027044|104027104|104027208|104027365|104027384|104027427|104027448|104027462|104027481|104027510|104028435|104029144|104030153|104030333|104030388|104030526|104030829|104030852|104030874|104030902|104030916|104030926|104030972|104031015|104031021|104031048|104031077|104031173|104031188|104031198|104031221|104031356|104031525|104031579|104031737|104032044|104032053|104032060|104032071|104032076|104032084|104032177|104032180|104032352|104032433|104032752|104033094|104033378|104036676|112427278|104040970|104041709|104041751|104042237|104042309|104043114|104043148|104043186|112431857|112432066|112432395|104043942|104044320|104044395|104045588|112434406|112434624|104046477|112435486|112436223|112436985|112437160|104049712|104049802|104050203|104050220|104051789|104051873|104051925|104051999|104052045|104052063|104052159|104052199|104052207|104052213|104052222|104052271|104052289|104052312|104052331|104052401|104052517|104052610|104052659|104052704|104052733|104052785|104052907|104053266|104053471|104053564|104053694|104053797|112442567|104054205|104054232|104054280|104054291|104054416|104054421|104054463|104054474|104054482|104054667|104054859|104055108|104055419|104056427|104056530|112445688|104057094|104057103|104057326|104057903|104057911|104057974|104057985|104058073|104058542|104059024|104059099|104059106|104059125|104059142|104059252|104059269|104059300|104059358|104059389|104060174|104060325|104060401|104060429|104060450|104060459|104060517|104060518|104060523|104060531|104060546|104060625|104060627|104060669|104060675|104060707|104060775|104060780|104060786|104060796|104060808|104060857|104060949|104061207|104061224|104061308|104061764|104061831|104061962|104061986|104062016|104062044|104062050|104062062|104062106|104062131|104062185|104062221|104062224|104062255|104062261|104062925|104062931|104062945|104062991|104063082|104063123|104063236|104063243|104063316|104063461|104063474|104063787|104063825|104064041|104064077|104064115|104064361|104064436|104064470|104064615|104064771|104064812|104064830|104064856|104065154|104065185|104065213|104065225|104066285|104066291|104066316|104068485|104069222|104069524|104070440|104071147|104071614|104072297|104072655|104072662|104072674|104072718|104072744|104072902|104073009|104073058|104073059|104073337|104073379|104073735|104077115|104077555|104077607|104077640|104077712|104077881|104078233|104078239|104078294|104078298|104078339|104078405|104078612|104078619|104078657|104078672|104078733|104078782|104078816|104078842|104081753|104081885|104081906|104083613|104083654|104084869|104084877|104085325|104085364|104085722|104085740|104085829|104085870|104086433|104086438|104086484|104086546|104086781|104086822|104086919|104086976|104087126|104087253|104087266|104087542|104087563|104087616|104087672|104087734|104087753|104087759|104087869|104087896|104087951|104088446|104088517|104089063|104089146|104089313|104089356|104089365|104089381|104089382|104089391|104089417|104089473|104089990|104090018|104090292|104091603|104091646|104091680|104091757|104091804|104091833|104092506|104092745|104092760|104092805|104092869|104094021|104094214|104094230|104094243|104094272|104094331|104094783|104094787|104094794|104094921|104094947|104095264|104095379|104098254|104098649|104100190|104100296|104100378|104100396|104100449|104100456|104100629|104100634|104100643|104100687|104100754|104100888|104100930|104101715|104101842|104101887|104101896|104101909|104101911|104102195|104102206|104102212|104102385|104102704|104102970|104103039|104103109|104103710|104104568|104104745|104104753|104104940|104104974|104105376|104156018|104156338|104157770|104208074|104208085|104208132|104208163|104208186|104208260|104208274|104211546|104211547|104211556|104211557|104212324|104212358|104212371|104212378|104212905|104213695|104214527|104221050|104222817|104223512|104223632|104223795|104223834|104223901|104225569|104231900|104241673|104309937|104523017|104577026|104577047|104577053|104577151|104585021|104585040|104588770|104588789|104601427|121506163|121506230|121506238|121506253|121506294|121506296|121508144|121508637|121508691|121526323|121526663|121526715|121998905|121998929|121998935|121999027|121999045|121999061|121999155|121999218|121999233|121999265|121999271|121999274|121999492|121999506|121999520|121999599|121999642|121999648|121999681|121999702|121999717|121999800|122000016|122000180|122000392|122000410|122000449|122000471|122000491|122000538|122000572|122000625|122001240|122642533|122643219|122691203|122691338|122691561|122691665|122691765|122691790|122691824|122692280|122692403|122693003|122693042|122693050|122693254|122693298|122693308|122694201|122710348|122756065|122766950|122768350|122769900|122772631|122772690|106110801|106110959|106111395|106111511|106112631|106113242|106113760|106114699|106114912|106121288|106164311|106186513|106204813|106230785|106252034|106263030|106263360|106264580|106269163|123077100|123077351|123077361|106313593|106314627|123173567|106407563|106424324|106426596|123204536|123204555|123204564|123204572|123204609|123204616|123204727|123204739|123204818|123204884|123205180|123205532|123205813|106429643|123207631|123207656|123207702|123207716|123208062|123208065|123208209|123208216|123209212|123209925|123209929|123211033|106434393|123212876|123212885|123214241|123216437|123216929|123217844|123217852|123218259|123218509|123219857|123219911|123219937|123221229|123221313|123221420|123221633|123221985|123222104|123222610|123223811|123224513|123224598|123224643|123224963|123225060|123225071|123225084|123225088|123225320|123225514|123225516|123225777|123225814|123225987|123226009|123226015|123226147|123226179|123226699|123227075|123227148|123227169|123227172|123227181|123227204|123227254|123227261|123227277|123227291|123227311|123227319|123227332|123227341|123228012|123229512|123229514|123229516|123229781|123229858|123229866|123230005|123230596|123230666|123230667|123230912|123230913|123231238|123231239|123232490|106456398|123234990|123234996|123247033|123250760|123251004|106478255|106480565|106543700|106549837|106550519|106551711|106554577|106554667|106555028|106555926|106557301|123593042|123593096|123593216|123594010|123594653|123594669|123594866|123594979|123595000|123596275|123596908|123597965|107019873|107083052|107369837|115810485|115968692|115972491|115974455|116568119|116568457|116568467|116571600|116571694|116576243|116576253|116576273|116576296|116576379|116576392|116576417|116576432|116576512|116576686|116578511|116578532|108583685|108743921|117367565|117369245|103647360|103647466|103647516|103647531|103647683|103647698|103647739|103648108|112401061|112405704|104031723|104041743|104063193|104211834|123204774|117718986|109400103|110424505|111194169|111194215|103647563|103648304|104254358|104517763|123225291|123230374|123594019|116091667|109231998|109291817|109314174|101779903|112394973|112397924|121999301|109303702
property.n.01	property.n.01|estate.n.01|possession.n.02|estate.n.02|real_property.n.01|wealth.n.04|money.n.02	100664009|100664092|100664276|100667385|100667688|109057491|100670676|100671802|100673516|100674293|100700779|100719348|100727047|100746001|100786471|100787546|109203720|109212690|109231592|109234606|101018361|101090737|101091227|101091385|101092313|101092635|101092729|101093029|101093421|101096499|101103220|101104034|101104046|101106980|101107484|101108792|101109835|101109882|101109955|101110018|101110269|101112250|101112524|101112826|101113697|101114102|101114981|101117691|101117946|101118286|101121044|101121457|101126898|101126939|101127068|101127345|101127638|109529508|109533033|109537142|109537292|109537787|101252904|101266961|101327643|109753913|101379173|109774993|109780099|109795183|118342018|109953689|118346909|101586845|101586872|118382997|118383023|109997759|110002127|118392658|110015498|110016987|118407445|110031940|101643505|110037658|110042777|118454204|101689744|101693330|118474972|118506008|101743425|101743449|101800793|101865789|101872495|101872521|101877041|118749406|118749678|102050800|102050953|118836272|118856892|102083207|118878056|102129945|102130741|102135601|102156454|102211898|102229754|102232555|102233020|102235212|102268266|102268332|102269757|102269941|102273509|102277690|102290155|102290177|102291416|102293122|102293150|102304256|102319977|102330175|102330326|102330404|102331717|102436302|102442650|102443034|102449361|102463497|102464729|102464969|102465875|102466377|102466998|102468953|102469842|102479388|102483657|103054193|103054736|103054885|103081772|103081784|103081810|103138836|103152812|103152868|103186399|103187267|103190186|103190376|103210689|103210841|103211127|103213305|103213379|103213955|103214464|103215697|103215721|103217514|103217551|103220944|103222844|103222975|103224511|103241604|103241810|103245059|103245167|103248337|103254801|103254956|103256786|103256966|103260232|103260715|103260982|103261031|103261090|103261476|103261509|103261562|103261620|103262074|103262182|103264049|103264064|103270110|103271333|103271761|103271839|103271933|103271975|103274396|103274684|103286301|103287023|103292284|103294678|103294728|103294765|103298821|103299583|103299710|103303671|103322121|103322923|103324345|103328576|103332148|103332911|103334709|103335845|103382772|103391747|103393167|103401861|103406513|103411350|103411379|103427191|103430778|103441250|103446967|103590300|103590323|103602091|120753503|120758692|120762113|120762131|120763826|120764263|120772554|120772598|120774354|120779717|120779767|120783312|120788503|104165646|104305481|104308705|104309439|104309563|104309624|104309778|104310225|104310281|104310419|104316167|104316180|104320367|104320379|104329645|104330248|104331422|104331705|104331760|104331793|104331852|104338529|104339970|104340586|104341176|104350422|104350587|104351802|104351807|104352143|121198604|104491873|121403157|104771196|113378703|113380835|113496573|113507803|105243973|105277476|105339910|105350446|105381445|105406620|105412287|105437919|105438052|105461468|105461533|105673930|105826765|122649822|122674582|122696793|122712159|122722108|114604279|106229228|106292499|106408984|106469059|106474600|106474751|106474882|106474979|106493632|106494775|106494780|106497751|106505803|106527268|106544330|123324090|106564262|106566173|106566338|106567273|106567309|123344821|106574821|106587773|123528740|123536698|106763099|106763150|106778407|123576422|123576446|106800009|123578725|106807390|106810258|106817214|106828024|106857635|106863137|106866469|106873594|106883091|115343785|115352735|115355868|115362832|115362965|115417970|115425371|115429733|115430908|115438737|115439971|115443587|115445052|115449176|115451475|115456149|115456177|115456688|115456823|115456928|115457126|115457170|115473983|107093032|115492583|115504978|115513817|107141334|107143011|107143045|107145378|107145434|107145501|107145792|115535422|107147413|115538602|107159766|107165383|107169283|107169482|107189435|107194977|107195048|107204460|107206354|115688925|107321960|107354544|124302599|107768201|124554149|107784886|124702046|124714765|124731400|124731951|108095765|116544616|116588603|108474814|108524949|108539115|108639778|108674188|108710402|108720345|117165967|108779073|117169591|117171403|108801388|117191682|117193828|108812991|108813034|117226718|117315218|108942114|117333367|108952637|108970150|108970746|108982136|108984718|117374617|108991610|109011719|109012881|109013536|109044086|100659263|100661256|100661979|100662812|100662857|100671388|100671637|100672505|109080676|109194551|100895121|109345486|109345498|109367040|109379224|101091615|101092077|101092770|101101502|101102153|101102387|101104024|101111588|101113230|101119184|101127760|109533595|117978720|109653798|109755077|109780492|109794911|109807965|118334370|109970233|118462069|118467992|118471924|118472185|118483306|118483526|118505841|118855011|118855054|118861881|118874244|118877182|102483967|102488689|102489297|102489572|103210446|103210628|103210804|103213459|103213539|103213907|103214800|103214897|103215096|103215116|103216578|103216804|103217144|103217237|103220593|103222465|103222490|103239334|103240090|103252675|103254994|103257698|103260390|103261804|103261849|103261907|103261937|103262291|103270405|103270771|103271230|103271430|103271512|103271694|103271701|103272039|103272397|103279871|103292369|103297214|103298368|103298918|103309156|103310070|103310567|103310660|103328530|103387589|103387605|103387679|103387692|103456031|103456193|104308672|104309745|104340568|104341375|104343601|113496432|113629941|105260382|105437872|114665530|106433895|123344840|106761518|106815273|106854102|115270769|115436062|115451658|115474013|115527763|107152118|107156395|107276462|107276502|107311422|107325072|107325212|107331733|107348100|107348473|107358528|107374004|115911653|115977255|115979751|115984342|115991662|116089497|116100326|116103164|124643548|116894987|116902216|116913016|108571008|108614359|108674542|100419298|100420392|108852376|108947225|108950244|108972405|108979999|108980022|108991323|109033873|109034292|100667356|100700022|109171905|100785642|101100716|118439604|102083153|102131230|102140003|102441467|102456378|103049420|103596723|122700158|106331167|106472991|123318669|106543998|106544197|123325099|106567159|123347119|106753228|106796982|106807492|106814951|106880635|115522492|107134734|107146337|107152728|107169377|107172418|107174397|107174444|107201816|107205447|124570896|108473654|108714648|109002296|101123699|109791264|118819246|103255125|103258100|103272416|104309657|104334347|104343247|104346063|104354060|104361711|122620921|122754640|106544054|106754582|107370496|115903454|101109551|102490002|103035773|103239092|104358815|115447028|117161199|118749709|113364397
kernel.n.03	kernel.n.03|hypostasis.n.04	117461267|117481389|117484458|117486488|117489231|117495891|117501518|117527192|117546394|117552345|117552355|117554959|117564794|117572260|117591521|117591533|117603694|117604664|117607539|117616292|117626531|117630461|117634646|117635029|117635090|117635112|117635123|117635149|117636252|117636379|117636408|117637049|117637487|117637673|117637924|117637994|117638012|117638021|117638453|117638594|109287924|117719098|117984615|109649888|101676475|101697524|101702384|101702504|101703250|101709265|101712998|101726977|101727052|101757129|101759743|101766053|101811577|101874759|118724572|110408582|110409660|102031511|102106882|102115946|102115953|102115962|102120831|102121009|102121660|102124454|102142641|102142729|102142730|119094506|119294168|111169230|111170506|111178487|111188745|103557180|103558109|103558116|103561519|103561709|103567917|103619616|103619799|103620003|103631517|103647372|103647667|103648195|103648256|103648345|103762371|103774866|103775041|103971194|104017057|104017226|104019838|104019849|104019893|104020225|104021083|104024350|104026856|104029230|104029247|104030226|104032874|104038845|104041106|104041122|104041148|112431890|104043555|104043604|104043893|104045459|104045487|104045501|104045557|104045559|104045652|104045993|104046784|104048447|104049488|104051888|104052563|104052569|104052581|104055295|104056272|104057548|104057882|104058039|104058363|104060294|104061065|104061166|104062668|104063002|104063134|104064497|104077352|104080886|104083488|104085754|104085815|104087918|104087943|104090410|104090438|104090666|104094490|104094573|104097249|104098764|104101100|104105466|104105479|104136901|104144498|104162914|104172437|104173045|104173353|104187010|104193569|104211502|104214651|104214709|104243070|104531738|104535247|104567048|104585284|104592117|104592971|104596274|104596387|104596446|104597529|104600157|104600883|121434361|121437054|121439797|121440803|121495655|121523473|122763512|122764117|122765877|122766944|106115158|106115225|106116029|106117694|106117767|106117847|106121051|106129381|106129487|106129542|106129577|106132124|106157602|114549104|106165565|106168769|106186747|106186814|106186840|106186945|106187614|106194639|106244794|106263187|106270453|123054955|123056534|123057748|123057769|123057982|123057985|123058051|123058052|106281135|123059568|106291813|106292210|106298608|106300854|106323058|106323096|106326322|106326471|123105169|123106075|123107890|123112073|106337402|123116865|123117665|106343262|123126778|123129067|123129137|123129446|106357611|106358333|123138852|123141504|106368653|106371739|123150843|123150851|106375127|106375662|106376201|106380186|123162066|123164837|123167970|123170725|123176274|123176696|123181406|123183047|106410047|123193184|123193258|123193832|123197139|123197233|123199013|123201742|123201754|123201933|106424793|123202684|123203201|123203226|123203251|123213658|106440115|123217522|123217553|123217564|123217577|123217612|123217621|123218535|106443434|106443932|106447002|106447801|106448189|106448335|106448627|106449798|123227406|123238658|123238669|106461819|106465809|123249820|123252411|123252579|123252613|123252621|123253581|123254648|123255318|123255331|123255343|123255991|123261720|123261776|123268392|123268423|106495322|123275532|123275839|123275847|123275881|123275965|123276018|123276065|123276642|123278586|123278592|123278706|123278849|123278892|123278935|123280088|123280104|106503532|106503589|106503616|106510001|106510161|106523284|106548825|123333564|123334638|123337699|106573584|106575295|123533953|123533961|123546607|123546653|123546726|123564931|123565561|123571624|123594860|123595472|123596209|123632672|123632790|123633886|123640678|116134161|116585963|123176669
being.n.01	being.n.01	117521728|117539643|117558339|100797379|109311285|109314764|109319949|101734755|101749695|101754343|101770442|101777344|101779689|101779857|101779961|101779982|101780614|101780792|101781423|101781862|101782006|101784453|101784501|101786066|101798804|101814880|101815044|101815285|101815328|101815369|101815424|101815431|101815488|101815768|101815779|101815800|101815828|101816017|101816072|101819634|101821378|101821391|101821488|101821521|101824257|101824416|101824422|101824440|101824448|101824517|101825029|101825099|101825124|101825165|101825185|101832315|101842249|101842450|101842459|101842473|101842478|101842486|101842701|101973781|110388150|118837728|102106189|102142755|102161169|102167454|102282397|102286676|102308482|103574662|103644130|103802523|103802543|103836522|120640906|120652730|120658570|103947147|112386413|112386701|112386709|112406288|104020914|104022795|104051677|104063375|104174965|104238129|104241003|104241615|104266567|104592409|121373710|121373731|104645492|121523281|113433182|121999484|122606928|122691374|122765848|123055233|123056021|123057793|123057804|123057807|123061121|123069145|123070382|123070398|123071306|123077018|123077027|123078328|123091567|123096166|123096168|123097654|123104811|123106599|123110671|123117509|123134288|123163636|123167728|123167756|123173735|123176704|123180908|123183906|123183966|123184415|123187464|123187498|123189710|123192473|123194251|123194443|123196709|123196725|123197502|123197521|123197527|123197735|123200130|123203232|123204378|123204400|123208112|123211770|123214324|123214331|123214339|123214361|123217401|123223107|123223414|123228175|123238683|123242045|123247286|123249515|123252379|123255379|123259905|123269517|123269523|123269533|123275431|123275437|123275565|123275676|123277659|123279705|123280100|123280137|123341513|123530147|123638659|124910441|116551468|116555483|116580989|117367390|117367412
essence.n.02	essence.n.02	117484734|117495575|117568898|117572214|117602973|118451861|118451919|118724333|118724345|118724381|118810130|103672240|103774574|120644307|104041132|104105492|104173078|104596280|104596281|104603273|104603279|104603290|104603296|104646667|121478648|113421102|122765710|106119362|106119649|106120985|106121027|106130036|106167279|106178514|123039181|106300782|123116688|123118640|106350037|123129326|123130253|123167699|123178553|106404578|106404839|106407218|106425099|106428819|106428949|106438085|106461844|106464090|123252630|123252677|123255886|123268319|123278687|123278713|123278719|106555847|123632503|123632511
fortune.n.02	fortune.n.02|means.n.03|wealth.n.03|resource.n.01|treasure.n.01|patrimony.n.01	100671859|100672181|100672540|100672699|101100876|101101878|101106817|101109979|101111338|101112418|101118193|101118345|101126996|101127248|101127481|101127563|101240580|118497394|118931258|118936594|118941705|102468910|102469294|102471400|102471991|102473170|102477460|102481422|102482531|102483571|102484090|103214734|103221690|103224102|103255203|103387145|103411169|105338932|105350507|105381486|105389880|105437198|105438005|122652572|122652577|106803844|107131128|107131418|107139041|107187017|107188728|107223884|107346136|117189261|117189381|100676538|109864724|109918113|110138182|101994419|118818697|118827509|102216482|102229628|104302257|104330584|104334087|104335371|104348273|113431749|105222013|106241969|106384816|106400183|106472671|106509108|107131015|107171798|107369587|115857403|107560330|115989163|115990545|115993061|116091700|116114473|107822524|116218215|108051651|108545612|108583825|108674945|108676051|108696161|108777449|108803734|108813278|100546931|108986780|100732868|109306636|101127506|109537157|101263058|102067559|102145020|102145031|102319781|102468003|103139982|103280967|103455909|104308574|104308579|104310201|104331887|113507964|123324181|106566201|106778921|123591110|107771377|124722202|100328954|117187473|103449499|105677425|100677486|116212414
nature.n.01	nature.n.01|quality.n.01	117627510|117683355|117683544|117688144|117690019|117694580|117694969|117694982|117695012|117695227|117728219|117732772|117742146|117756034|117757219|117760055|117761766|109898165|101735744|101738889|101768061|101810899|101834413|101871584|101883905|103518044|103572528|103626275|103762850|120646805|120648194|120648529|120658864|112386235|112386299|104126109|104159975|104214596|104219127|104287407|121230800|104646968|121478830|122766838|106132132|123038641|123039853|123062876|123092163|123108248|106380167|123164802|123242563|123898725|108563942|101920870|103646865|106438048|123275147
effect.n.04	effect.n.04	117483163|117484760|117488884|117495565|117548514|117550767|117556271|117564844|117568922|117569344|117602216|117621097|101875417|102206726|119002042|103650200|103668137|104039646|104048563|104056870|104081601|104593026|121439713|121492183|106129627|106132817|123057995|106287343|106311039|123108968|123122310|123128885|106368668|123187361|123194291|106448746|106470892|123274756|123275703|123275724|123278673|123333601|123632459|116169240|116587116
organism.n.01	organism.n.01	117517499|117569153|117635505|109276923|109316502|109652387|101774887|101780587|101842586|101842614|102161730|103810448|120647637|104019342|123085118|123104549|123104776|123104778|123104797|123104820|123106561|123107853|123166205|123169322|123173521|123173739|123212232|123246986|123249498|123249501|123273547|123273552|123273946|123281986|106505196|124910570
world.n.03	world.n.03	101721170|101722059|101726948|101726992|101989022|102030986|103569808|103572605|112391134|104033618|104234997|123077124|123077157|123077229|123077232|123077242|123077247|123077620|123077655|123078122|123082529|123189670|123191678|123214304|123214306|123214315|123218441|123220914|123224170|123226740|123240586|123273246|123275391|123275402|123275539
