passion.n.01	passion.n.01|passion.n.05|heat.n.04|caprice.n.01|rage.n.03|ambition.n.01	109061733|109084984|117478477|117493163|117493422|117495034|117495065|117500954|117501155|117501216|117501509|117501702|117502082|117511255|117530551|117536487|117565031|117581379|117590495|117590819|100814947|117597229|117597848|117609308|117611836|117611880|117617644|117622085|117622650|109330357|109330405|109330727|109332624|109332833|109334583|109335373|109368212|109370251|109370817|109372370|109372460|109372926|109373240|109373428|109378793|109379435|109381690|109382106|109382121|109385566|109386089|109387319|109388407|109390627|109394985|109400255|109400365|109401929|109411500|109505710|117946093|117957633|117984217|117985503|109648482|109652345|109654794|109657252|118294820|118296943|109979629|118490277|101881957|118927349|118946413|118980132|119086624|110849811|110850407|110850804|110850830|110850870|110851209|110851346|110851544|110851590|110853171|110854415|110854619|110855788|110858797|110859305|103584433|103653107|103653118|103653159|103653195|103653248|103653331|103653372|103653392|103653403|103653471|103653490|120661384|104013088|104222186|104321857|104347499|121201697|121211690|121243234|121250914|104479875|121379295|121388016|121457755|121457921|121458008|121458209|121523150|121533791|121547761|121547767|121547813|121547823|121547830|105055691|113518305|113520848|122668728|122688747|122688784|122688790|122688818|122689354|122694142|122757766|122764659|122773705|122775572|122775588|122775606|122778291|106116234|106118500|106130621|106133757|106133818|106134044|106134123|106134136|106134214|106134311|106134435|106135646|106137057|106137104|106137373|106137569|106139654|106139723|106140221|106140841|106140867|106140890|106140985|106141115|106142215|106142317|106142380|106142761|106142824|106143121|106143577|106144278|106144291|106148368|106150236|106150304|106150341|106150567|106150670|106152285|106152695|106152943|106153247|106153260|106153298|106153591|106153641|106155835|106155885|106155923|106156005|106156050|106156345|106156571|106157041|106160121|106160131|106160762|106161650|106161960|106166712|106167635|106170530|106170893|106170941|106171056|106173103|106174789|106176513|106177633|106178689|106182122|106182881|106187757|106188135|106189004|106189647|106196492|106196639|106198201|106198366|106198375|106202697|106204176|106206614|106212599|106213174|106214140|106214235|106214265|106220366|106223989|106224972|106225382|106226406|106234581|106238629|106238715|106244104|106246795|106246850|106246969|106249729|106249901|106250916|106252941|106256990|106257850|106259681|106262361|106263420|106263465|106264728|106271219|106271470|106271498|106271543|106273701|106273917|123053499|123056916|106280045|106283146|106290228|106295000|106299177|106300121|106300961|106301607|106304483|106305799|106305843|106306099|106307302|106307935|106308697|106312051|106312231|106318630|106324822|106330059|106330500|106330787|123109028|106335685|106338279|106340779|106340788|106340826|106348202|106348830|106358570|106361458|106363337|106364243|106368790|106369780|106372882|106373870|106383978|106384064|106384130|106384174|106384226|106384378|106384441|106385026|106386422|106386746|106390599|106402258|106403077|106421078|106421499|106423923|106429237|106444356|106444432|106444493|106445890|106455647|106461663|106466873|106468964|106469421|106470685|106476143|106486504|106487907|123270834|123270883|123272446|106496367|106500849|106500927|106502058|106502327|106517055|106517069|106520057|106525016|106525217|106526895|106530948|106533607|106535222|106538003|106540414|106542806|123322824|123322902|123329118|123329415|123337174|123339649|123340739|123340857|123342828|123342914|123343021|123344051|123537656|123546438|123546503|123546778|123546962|123547065|123547158|123547192|123547227|123547240|123547405|123547508|123547692|123547709|123548089|123548175|123548337|123548524|123548604|123549025|123557571|123558111|123558648|123560115|123560286|123560371|123560428|123560439|123560485|123563386|123563823|123565003|123565578|123568868|123569561|123571660|123572386|123572488|123579796|123580032|123588104|123591714|123632568|107120143|107170586|107189230|107341926|107342059|107343585|115817193|115822610|115825880|115844984|115852182|115873542|115885410|115906382|115935248|115970266|116049923|116051071|116065268|116187764|116196012|116206216|116208976|116259944|116268677|116282029|116282541|116284707|116286114|116312236|116329301|116329343|116329453|116329621|116329625|116329709|116329714|116329915|116330155|116330392|116330811|116332622|116332713|116332797|116332890|116332999|116333011|116335445|116335544|116336332|116336916|116336960|116337031|116337918|116538969|108396647|108397071|108398571|108398724|108399831|108400027|108402114|116831805|108548938|108614278|108620604|108630496|108680454|108696779|108767834|117163479|108777786|108779201|108913168|117313010|117324922|108945193|108960864|117359197|117361131|108980151|108980676|108992134|108993577|109003972|109013388|109013830|109033453|109077334|117514171|117525467|117596614|109927700|110029771|110214766|110216492|118927386|118927391|118942547|121212714|106140190|106153057|106153534|106159884|106164562|106222488|106306036|106388579|106388638|106418182|106470476|106475286|106516687|106543686|123576341|123910268|115906122|116330063|108402754|108600911|117077245|109003645|117524538|118484626|118484637|118726823|110850075|110850370|110858778|103652974|103671432|121182910|121387986|121388031|113520562|123588124|116330456|116335476|113329533|106143338|108694322
affection.n.01	affection.n.01|love.n.01	117493404|117495087|117527495|117562018|117589798|117604360|109239069|117635083|109292114|109353652|109355793|109373405|109384431|109385468|109652446|118336112|101730781|101822825|101822830|101822852|101822908|101835102|118724255|118724287|118724548|118748389|118769031|110407256|102030579|102031000|110421446|102070441|102089778|102089811|102167553|102171124|102171884|102171939|102172015|102172289|102172632|102179987|102198672|102247277|102247296|102272279|102516679|102516719|102518248|102528509|119332761|119333516|119334209|119334276|119334388|119334904|119334932|119334961|119334985|119335002|119335853|119336118|119336499|119336655|119339106|119339198|119339470|119340478|119340692|119341213|119341328|119343201|119343260|119343426|119343528|119343581|119343740|119343905|119343950|119344585|119344633|119345507|119347388|119347837|119347943|119350610|119350816|119351622|119351728|119352070|119352204|119352236|119352780|119352991|119353440|119353821|119354006|119354128|119354853|119355107|119355805|119356576|119358849|119360755|119360779|119363096|119363097|119364044|119364352|119364848|119365125|119365727|119369515|119372932|119373325|119373410|119375421|102598279|119382460|119382934|119383380|119384539|119389358|119391138|119391890|119392188|119392215|119392962|111151101|111152867|111155285|111155467|111157584|111164815|111164977|111165091|111165203|111165545|111166358|111166378|111166417|111166460|111166668|111170883|111173493|111174528|111176027|111177803|111178201|111178362|111179498|111179524|111181455|111185492|111185552|111185931|111187234|111189674|111191533|111191652|111191929|111191952|111191967|111192128|111195297|111197802|111198088|111198126|111198175|111198281|111204272|111204785|111204820|111205090|102927075|102927102|103538351|103538380|103538395|103538444|103538501|103565170|103565678|103816090|120646032|120661240|103942477|103942494|103943536|103943607|103943871|103945130|103945661|103945671|103945866|103945891|103949158|103949217|103949480|103951001|103951442|103951485|103951627|103951749|103951783|103952678|103952915|103967306|104012647|104012728|104012844|104013016|104013054|104013215|104013709|104015021|104015097|104015153|104017230|104021559|104021916|104041749|104044547|104045585|104045683|104047196|104047260|104051567|104053359|104053862|104054013|104060502|104065344|104067202|104079396|104082443|104086084|104087271|104087820|104101643|104101728|104102425|104106481|104106493|104106550|104108232|104112158|104112255|104112361|104122134|104122754|104128168|104136090|104140771|104143759|104170137|104175018|104185216|104185392|104185422|104185515|104185528|104192869|104208224|104210384|104210456|104214715|104229143|104240255|104240283|104240289|104242877|104243068|104255534|104255977|104256004|104256301|104256470|104257008|104257899|104257902|104257930|104258063|104259613|104266304|104267100|104369783|104462632|104542464|104544506|104544565|104544659|104544917|104547907|104548616|104550177|104551387|104553464|104553723|104553749|104553892|104554311|104554925|104555273|104555509|104555895|104555963|121352419|104582192|104582250|104582266|104582270|104596376|104596670|104596685|104651365|104667477|104687598|121476173|121481669|122771187|122778328|106124192|106135619|106139593|106249505|123038339|123038393|123038435|123038837|123039157|106286734|123067363|106299978|123109068|123109469|123109606|123109636|123109723|123109738|123115839|106362093|123156288|123156296|106401523|106417817|123230425|123230486|106484885|106488617|106495574|106514269|106528253|106528655|115046526|115046568|123588121|115273920|115816552|115819796|115821534|115887632|116043372|116044308|116063170|116069838|116177508|116178403|116192629|116285048|116329360|116329391|116329410|116329749|116329783|116329809|116329884|116330001|116330132|116330528|116335955|116336577|116536196|116536678|116550391|116550860|116550883|116550913|116551025|116551107|116554593|116556361|116556377|116556440|116556447|116556482|116556543|116556552|116556570|116556595|116556633|116556652|116582059|108548783|106513279
emotion.n.01	emotion.n.01|feeling.n.01|affect.n.01	109052523|109110500|109112356|109113125|109116886|109117349|109121872|109122509|109122552|109122705|109123202|109127394|109129015|109134978|109135675|109137100|109137833|109137907|117527152|109142505|109171421|109272539|109272570|109291832|109303897|109304495|109308270|109309992|109310066|109310231|109330233|109333310|109343576|109344213|109347665|109350028|109350086|109350925|109351061|109509490|109528030|117944269|117945345|117945453|117945486|117945634|117947123|117947126|117947955|117948625|117948744|117949663|117950451|117950696|117950889|117950926|117950975|117951000|117951699|117952340|117952750|117953100|117953262|117954586|117955554|117955787|117955798|117958050|118308079|118310550|118335478|118376832|118377274|118387561|118429275|118867119|103670558|103670586|103670637|103670907|103671324|103671569|103671589|103672131|103674687|103678160|103681935|103684739|103952405|103952476|103953070|104291892|104326083|104370021|104464221|104465713|104465807|104465814|104475845|104476160|104476168|104476512|104477032|104483074|104483080|104488957|104489452|104491130|104491152|104491169|104502056|104514547|104514681|122676820|122683838|122688757|122688773|122688808|122713283|123104926|123105758|123141225|123168219|123172897|123264290|123264308|123272754|123588093|123588898|115267162|107119309|115546027|107206029|107263963|107344846|107428303|107429717|107429965|107465383|107465486|107465733|107465888|107470135|107495528|107495542|107496902|124481112|124481153|124481173|124913916|108597060|116987361|108610552|108650760|108660600|108811174|108820376|108907283|108915296|117332905|117338824|117343188|117352027|117359911|109070559|109074693|109090205|117502602|109117861|109117873|109124655|109125965|109140167|109140312|100771648|109291388|117946359|117947535|117955656|118014808|101388285|109906701|109906719|118404693|101694545|101747706|101751967|101835971|101837905|101839793|101844877|110248330|118722792|118769283|118809529|102148831|102156168|102255079|103565833|103565914|103566208|103569261|103570523|103675117|103678329|103680331|103767313|104292687|104327018|104489599|105044395|105046206|105047043|105047480|105047974|105048290|105048303|105048931|105052414|105054760|121981033|122728811|122723793|122724113|122724900|122726707|122727548|122727986|122728483|122728798|122729438|122732954|122736283|122739012|123039441|106285262|106313440|123107591|123107895|106379612|106379627|106381664|106390814|106395472|106395823|106397187|106401662|106487862|106488296|106489138|106489346|106490820|106494189|106518856|106523944|106579863|106583674|106584320|123587575|123587944|107119615|115523408|115546084|107210153|107460242|107460307|107461843|107496733|116336395|116586718|116586764|116586861|116593361|116825275|108558885|108570884|108612446|108650325|108650708|117173938|117221821|108869329|117328727|108962612|108988279|108988307|117696493|117715941|117999782
mania.n.01	mania.n.01|urge.n.01	117481532|117493132|117493194|117499635|117503462|117503582|117507015|117513648|117514003|117514377|117520399|117531609|117542759|117568696|117585506|100815256|117596656|117609872|117610602|117623718|117627617|109331669|109332556|109333045|109334543|109378332|109382074|109387283|109402211|109592492|110249520|118749843|118980628|118992518|102271013|110849977|110850021|110850346|110850430|110852021|110853811|110853828|110854016|110855589|110857466|120660358|120967768|121292603|121349329|121388047|121388063|121414966|121458013|121507207|121547870|121967959|121967974|122685907|106116347|106133229|106135691|106139468|106140861|106140924|106140964|106141289|106141552|106142864|106143047|106151462|106151841|106151856|106152910|106153369|106154638|106154871|106176542|106180502|106184215|106195730|106220927|106224730|106225588|106227324|106228388|106247522|106247555|106254273|106259880|106260116|106261374|106261449|106262370|106263539|106279317|106288496|106294943|106295325|106299996|106300186|106301204|106307405|106312657|106356125|106364426|106369443|106380268|106382226|106383214|106390172|106457121|106485412|106487023|106499463|106501300|106501381|106535197|106536872|106543454|123324882|106548634|123340617|123343738|123570625|123571887|123588177|123591709|107199255|107342086|115880623|115881909|116015060|116160457|116160941|116172635|116210642|116253704|116329495|116329609|116330318|116330339|116330506|116330596|116330837|116332614|116332640|116333040|116335453|116536292|108665572|108780499|108785681|108841910|108849570|108871721|117362003|109071060|109354120|106380484|106464396
calamity.n.01	calamity.n.01|trouble.n.03|misfortune.n.01|trial.n.06|affliction.n.03|reverse.n.03|adversity.n.02|curse.n.05	109348497|100996873|101009832|101066755|101067355|117947386|117947398|117956764|101318854|101319180|101343040|101343060|101343104|118176177|109956598|101765010|118753952|118838400|118852835|118893546|102183914|102211067|102367440|102390397|104290564|104290579|104290921|113488309|105180473|113652393|113652512|113653016|113687178|105454912|106170151|106170178|106173633|114639663|114648255|114654728|106379026|106392692|106408691|106423126|106488990|106504024|106509510|123346148|123565271|106860059|106860197|106886464|115421965|107120609|107127866|107138928|107139002|107139389|107141224|107159664|107268799|107285457|107290234|107290318|107302881|107355294|107372719|107373258|115801134|115840037|115851591|115877540|107494504|115959930|116053538|107672903|107672961|116087703|124531141|124567265|124567400|124572082|124577106|124583653|124594072|124596269|124599600|124601218|124601652|124609352|116241646|116265664|124666212|116278452|124674722|124682473|124693604|124742559|124773818|116812553|116834650|108552900|108565030|108579211|108597761|108597966|116990707|108603008|108619773|108621440|117058856|108680971|108694858|117090847|117109210|108764800|117200597|117207848|117208210|108836603|108846067|108854102|108876599|108879116|108879182|100512762|100536460|117314653|108995444|109040205|109047853|117491572|100828325|100846722|123591263|123591291|124557537|108156769|116904032|108902960|108902997|108990506|118903399|104486650|107196596|124729052|116987439|109123665|117348854|106512045|108598380|115481019|116046958
disease.n.01	disease.n.01|ailment.n.01|illness.n.01|disorder.n.01|disturbance.n.02|malady.n.01|affliction.n.02|condition.n.06|agitation.n.01|disturbance.n.03|convulsion.n.03	109243980|117704996|109358921|109366236|109411872|109648925|110394981|110395041|119031272|102288502|119158812|119160307|119209518|110854714|110854805|110855731|110855744|110855910|110855949|110855981|110859109|110859208|119339145|119348993|119353374|119356003|119358574|119364135|119364925|119369567|119370969|119384506|119389325|119393405|102645284|102645971|102652280|102925986|103942458|103944245|103945927|103946056|112385467|112386133|112387171|112389233|112395130|112395446|112395647|104185433|104189155|121088346|121093208|121196224|121198538|121198709|121211614|121211778|121212267|121212748|121212995|121213016|121213116|121213217|121213297|121213366|121213478|121217702|121217783|121217912|121218032|121218650|121218730|121220463|121234725|121234826|121236052|121237384|104462554|121240535|121240603|121241505|121245754|121255580|121259114|121285747|121285781|113542672|106253385|106377509|106388153|106557476|123565166|106835090|106835129|115235134|115236425|115256114|115261944|115262046|115262120|115262349|115263140|115263266|115263311|115263362|115263407|115263440|115263476|115263512|115266252|115266282|115266312|107297619|107766285|124570383|107808099|116833858|117077432|117630511|117754609|119115312|119150210|119164677|119169106|119173891|119186727|119197790|119198157|119364001|102600225|103943896|120770647|112387493|112443554|120978493|113540594|113542875|113542877|106183929|106213839|115250835|107128380|107767837|116593665|116593713|116593734|108388600|116828390|116879633|117494635|103910441|103952520|112394376|112394652|121234301|121264743|121285676|121287280|104555783|115236446|115254857|115255894|115256067|115256086|106907814|107582161|117077282|117103593|108912098|109703477|110406562|119149025|103942959|103942980|122006345|115810249|115886055|107623214|116074292|116206853|107826136|117489509|117489520|117489526|117489531|117622320|117670948|117686256|104463334|123547531|117457339|109353896|109354260|118432602|103076874|124538917|116874572|117077686|119112105|112420959|106489761|115987835|116826613|116864449|119108662|119125665|106277318|106427797|107206922|107621154
condition.n.01	condition.n.01|situation.n.01	100847079|118386906|101710037|101750151|101773680|101778794|101786730|101794234|101800020|101834448|101835810|101840392|101840600|101840716|101876373|101876950|101877091|101877185|101899934|101899978|110417643|102107931|102171647|102226454|102258176|102283698|119103441|119109817|119129336|119143915|119146381|119149053|119194615|119197574|102476590|102926232|103768238|103770585|103776300|103789341|103808644|103810435|103810878|103814249|103814304|103814700|103814717|103899699|112389167|112394567|112394608|112418818|112424135|104157384|104158770|104158876|104159052|104161765|104162302|104174378|113327059|106262154|123045540|123099354|106331644|123137442|123147197|123147485|123148739|123148763|123155397|123168804|123168816|123203294|106517371|123525809|106849299|107083463|124580731|116569898|108387859|108388309|116843513|116926964|117377291|117377414|117377482|102277215
suffering.n.02	suffering.n.02|misfortune.n.02|affliction.n.01|misery.n.01|catastrophe.n.02|distress.n.01|suffering.n.04|agony.n.01|anguish.n.01|bad_luck.n.02|wound.n.03|pain.n.02|discomfort.n.02	100697376|117490816|100792785|100797047|100799907|100803673|100810466|100814381|100831075|100855741|109250300|109265800|100940024|118301355|118360820|109999407|118779254|102009570|118890502|102151918|102154988|118981965|119039710|102371621|102376676|102384338|102384936|102388327|102401845|103422136|120650858|121200047|104489280|121382700|113761489|122606793|106137208|106795181|106918776|115385928|115453859|115821479|107468722|116114931|116176050|107800116|124599376|116218088|116287789|116336779|124769867|116769820|108546063|108581986|108796727|108799938|108892130|108923453|100552323|117364129|100602345|100618003|100636759|109175352|100904188|101004487|101022285|101086845|101162578|101319172|101554648|109956509|118516608|104316067|115251146|115353037|115411659|107181461|107291224|107302155|115869769|116071939|116088567|107708332|116190240|124667383|108388261|116913199|108553068|116987428|100428114|109118379|109139823|109353549|109354027|109361526|109363038|109364128|102391847|103944024|121281705|113421387|113544759|122760137|106122737|106408066|115823696|115872932|115914397|124483091|124620691|116290048|116294556|116828198|108532705|108966666|109047230|109387165|109707600|113368878|106567869|106581648|115863309|115957452|115960657|116023665|116105842|116175068|116175796|116234593|116248173|116284085|116284643|116286627|116290463|116292734|116293505|116295364|116805988|100343924|100824699|101027546|101067493|101071218|101343630|110024524|102392286|103464567|113552539|115877513|124754624|108759271|108876597|104474291|106216589|123039363|123147361|106412404|116046849|116904076|108546147|108860923|108923387|118303926|118386977|120658410|116539234|116539366|106903456|106912231|117051836|100517544|108619908|100572827|102389262|102405017|110852677
quality.n.01	quality.n.01|property.n.02|characteristic.n.02	101809154|101817825|101817828|101828148|102031687|103566120|103566182|103648997|103649053|103657653|103657673|103777327|103819046|103819285|103819352|103820358|103820472|103821006|103823099|103823651|103823729|103823746|103825623|103830608|103831727|103836837|104037687|104037696|104051739|104065688|104107860|104138763|104138775|104138817|104222722|104547953|104549281|104550549|104550748|104550929|104553062|104554726|104645377|104645404|104645982|104780327|107465249|117635050|117635071|117636387|117636401|109311813|102170967|103553518|103561795|103566147|103581471|103581714|103612159|103613927|103641131|103641755|103641772|103821233|103821487|103822819|103822849|103822960|103822989|103823025|103823113|103827988|103829134|103829866|104018863|104018891|104019074|104465463|104548773|104676566|104711607|123145624|123633590|123640919|124910384|116784550|115266189
experience.n.02	experience.n.02|experience.n.03|experience.n.01	109139484|109278776|109279719|109304796|109509812|101760323|101975331|118881252|103390393|120658688|104012421|104013449|104013737|104285800|104371376|123039227|123039670|123039827|123044968|123082790|123107865|123107908|123112690|123113117|123113129|123116185|123146422|123162103|123162108|123167739|123172845|123173116|123205667|123205677|123222256|123224947|123225155|123225665|123230739|123234060|123234079|123281250|106881113|115474475|108651725|109209585|109246979|109279162|109312501|118371291|118451153|101806672|118887407|102140318|103664792|120752166|107107893|107359248|124620384|108659133|108702018|109259198|101795744|118882790|103665849|104550097|123067415|123113033|123145864|123208427|123231595|123237404|107170215|107293619|107455597|108541357
