spirit.n.03	spirit.n.03|courage.n.01|boldness.n.01|heart.n.03|fortitude.n.01|heroism.n.01|character.n.03	109077269|109196146|109257641|109345848|101021529|117949651|118491333|101887281|118896462|102396451|102398885|103030943|103030964|103062519|103062548|103126199|104348444|105219286|122663457|122740431|122742214|106390595|106403790|106409513|106514360|106523369|106535603|106540642|106541089|106541143|106562635|115360623|115396693|107085185|107113773|115510262|115510270|107134899|107143145|107162747|107178350|115569064|107221724|107226136|107233721|115638241|107302005|107302407|115699198|115701790|115720811|107339861|107370877|107370928|107371006|115782053|116047547|116233295|116236683|116259194|124688200|124713430|124731603|124748333|124770967|124773137|124780138|108530875|108539338|108550435|108584937|108585530|116986571|108610522|108621664|108642328|108644781|108646113|117036772|100322825|108720659|100342120|108732227|108738242|108744077|108783538|108793402|117184284|108826728|108828922|108829821|108854477|108876906|117348671|108982145|108986825|108988209|108995498|109204807|118637376|118852368|119068454|106581092|115641083|115642835|107324162|115869263|115933015|116046750|116087639|116116793|116192733|116203392|116209447|116311582|108532555|117013477|117031720|108643702|108665418|108679218|108680028|108681541|108718226|108738523|108815118|117210561|108869857|108885982|109266621|108595777|108757318|115633773|116046215|117072252|108927447
pride.n.01	pride.n.01|amour_propre.n.01|pride.n.02|dignity.n.01	100719703|100720797|100803046|109272146|109331279|101328440|101328458|101382968|118462800|118487273|118506114|101800354|101934406|102081177|118859636|102378417|103078070|103090256|103090569|104348029|114645363|114685207|106383240|106742569|106765708|106833243|106848709|106857087|106861084|106890221|106907164|115339072|115346271|115356524|115469552|115510122|107205699|107253241|115683754|116042654|124726582|116796674|116909022|108618817|108629260|108761322|100389600|108802500|108804289|108890581|100531225|117313898|117324417|108940614|108945344|117342617|109046375|109122473|109124571|100421365|108819599|105043700|106754100|108783946|108848415|107204593|108705617|108878929|109046235
mind.n.01	mind.n.01|brain.n.02|intelligence.n.01	117519602|117519619|117532435|109509131|117945770|117957356|117957431|110188641|110188648|110188657|110248139|102374657|103118500|121393907|106204956|106206593|106255225|106300007|106356731|106403155|106463579|106541687|123589686|123589824|107084270|115544134|115824727|115824925|115833130|115932472|116035284|116038966|116192561|116213506|116222122|116222283|116241690|116279033|116287472|116307586|117057239|100345059|102397327|108929936
liveliness.n.02	liveliness.n.02|animation.n.03	109052828|109653398|101458248|118370278|118811024|103441511|105250272|105252726|105348906|105459579|106418807|106857332|106917208|107179872|107187747|115589398|107348914|115783822|115996446|116045664|116184183|108085894|108647292|117321401|117346412|108957818|108998213|120979579
emotional_state.n.01	emotional_state.n.01|temper.n.02|sentiment.n.01	109053078|109055412|101549503|122687238|106394068|106419742|106741015|106857416|106910567|115449427|116046112|116237045|116791331|108640116|117044474|117047677|117072271|108745501|108807504|108951202|108998288|101073603|108554257
idea.n.01	idea.n.01|thinking.n.01	100801062|109269902|102370971|102381844|121418605|121430372|106248431|106252439|106372480|106510364|106520211|107120578|116220652|108551609|108598977|108676943|108828320|100519304|100522462|108942964|100582782|100802360
pride.n.05	pride.n.05|arrogance.n.01|lust.n.02|superiority.n.03	109126208|101614498|118827388|102371090|102373536|106165503|106325616|106335927|106528508|106531154|107268315|116989008|108711768|108714215|108805167|108826675|100503330|100507057|100700930|101352025|118855655|118860790|102364997|105218673|122678955|106758337|100507137|121513085|121518748|121539511|121539800|121539902|117122935
spirit.n.02	spirit.n.02	109054540|102389546|103090491|103450567|106537891|106736268|107283808|107294687|107346476|107346818|124767715|108618148|108676446|117223555
purpose.n.01	purpose.n.01|mind.n.06	109057755|109112369|100960290|100960623|101081676|102187610|116220567|108543820|108750713|108928449|108943627|108091099
assurance.n.01	assurance.n.01	101456269|101603383|107119650|115570010|108608849|108742863|108743166|117146106|108816246|108858160
