wind.n.01	wind.n.01|breeze.n.01|wind.n.02|breath.n.05	109060634|109085695|109087523|109139447|109140739|117558681|109173101|109174012|109175629|100791998|117575001|117575357|117583137|117583300|100813252|117601304|100833600|100845213|100845246|100848717|109238999|109239023|109253426|109278033|109282466|109282507|109283076|109285555|109286073|109286868|109286885|109289080|109292529|109300636|109311417|109311566|109311744|100929636|100929994|100930764|109319937|109331044|109356998|109362250|117773841|117774625|117775494|109388673|109403517|109404602|101057248|109504575|109506652|101149648|117951040|117965750|117965808|117966138|101220633|101291265|109763789|109763802|109829455|109838381|101467669|101482339|101483307|118336559|101639277|101639415|110028949|118441348|118457624|118469268|118494183|101717713|101717751|101717760|118501169|101730326|101730337|101730468|101746321|110147854|101802124|101803466|110222739|118632056|110249680|118645010|101878322|118669383|118669815|118695075|118784954|118798707|118821972|118882342|118893672|118904035|118905838|118905866|102164122|118946203|102233765|102249879|102266562|102310525|102360769|102383619|102509490|102509566|102510231|102510252|102510634|102510652|102510848|102510881|102510891|102511080|102512292|102512635|102513560|102515032|102515059|102517235|102517634|117095833|103033627|103033725|103376638|103378935|103431293|103489382|103664528|103810102|103810112|103810152|103815528|103815729|103815766|103824364|103870653|103885708|103885739|103913144|103916661|103917672|103946910|120788373|104106501|104110876|104110932|104111003|104111039|104114439|104117528|104118817|104121095|104122152|104122374|104122545|104122635|104122846|104122930|104123045|104123211|104123265|104123297|104123462|104123528|104123589|104124463|104124508|104124977|104124996|104125199|104125256|104125420|104125634|104125722|104125812|104126607|104126736|104126787|104126810|104126922|104127022|104127058|104127212|104127222|104127257|104127274|104127317|104127439|104127516|104127684|104127853|104127912|104127986|104128060|104128113|104128241|104128302|104128381|104128446|104128463|104128474|104128478|104128503|104128509|104128564|104128574|104128711|104128845|104130120|104130392|104131520|104131580|104145494|104158101|104158105|104158154|104158188|104158200|104158603|104158681|104158726|104158827|104158903|104158996|104159752|104161800|120944524|104189065|120972101|120987875|104329201|104329247|121288974|104582279|104582288|104582319|104582328|104597801|104660883|104661573|104665138|104687065|104687295|104687634|104700612|104711740|104712894|104713948|104714756|104715242|104717620|104753351|104767368|104780958|104781406|104781642|104781650|104782066|104782695|104782761|104782829|104782837|104782984|104783007|104783012|104783098|104783110|104783146|104783238|104783245|104783320|104783344|104783353|104783382|104783591|104785033|104877597|113342608|113342675|113345097|104970338|113399106|113415205|105046995|105050647|105050730|105050814|105050916|105050964|105050975|105051019|105051151|105051158|105051172|105051189|105051224|105051238|105051262|105051326|105051348|105051460|105052257|113458458|105130470|105131802|105131971|105135627|105135967|113591663|105305197|105325364|113718286|113720987|113732490|113758154|113758340|105685980|105752620|105765959|105766671|122731877|105814445|105824331|105824731|122660926|122693631|122693658|122693694|122693724|122693730|122705174|122709454|122727500|122731173|122731255|122731340|122731366|122731442|122731490|122731501|122731547|122731680|122731686|122731706|122731718|122731753|122731768|122731791|122731855|122731992|122732793|122741951|122763808|122770437|122770479|122771211|122771270|122772001|122772151|122772278|106114015|106116324|106119498|106120947|106158938|106162000|106163667|106195080|106215699|106230294|114643586|106279122|106310291|106363127|106373403|106376387|106380041|106388120|106403184|106411269|106425902|106464153|106465505|106471789|106476521|106497947|106539858|106567542|106578890|114989825|106737945|106737965|123545907|123558894|106791220|106792848|106808784|106809710|106822789|106830510|106830544|106832474|106834404|106835642|106835690|106841103|115234068|115234135|115234174|115236774|115241461|115241563|115241604|115242040|115244433|123634483|115250220|115250240|115250294|115250381|115250559|115252570|115253288|115253353|106867433|123654874|115271952|115368059|115368364|115371331|115374961|115377939|115392923|107051747|107063073|107063941|107074585|107081171|115477287|115477399|115564815|115606275|115710869|107329169|115730997|115755625|115798718|115830095|115830363|115936340|115941951|115950574|115967845|107592423|115986259|107629918|116021606|116061456|124542427|124545066|107798655|124597685|124597737|124597845|124604326|124605320|124605524|124607668|124610218|124613049|124617993|124629908|124629936|124629987|116244947|116250733|116262658|124657924|124657960|124676874|124679389|124679448|124709034|124709849|124711520|124716634|124719120|107950781|107951126|107951140|107951146|124728646|124729133|107956927|124740548|124740589|124770907|108111958|108121061|108127872|108130171|108140173|108158933|108158941|108163561|108167054|108172757|108177014|108185003|108187222|108189449|108219646|108224265|108231568|108232618|108239317|108247940|108250676|108316871|108317200|108319325|108323620|108334712|108341273|108341283|108341292|108368050|116768903|108385954|116779392|116783809|116797899|116803418|116809220|116813340|116813390|116817240|116828601|116828636|116857909|116858246|116858296|116859393|116910024|108560790|116949796|108567844|116974846|108597798|108599516|108604712|108606760|108606823|108620563|117011736|117017388|117017413|117017526|117017841|117018436|117019715|117024584|117027536|108642336|108655400|117044947|108660745|117050015|117050027|117050222|108677390|108697718|117099176|108712755|108734412|108734432|108734488|100348688|100348820|100350313|100350357|108743839|100363445|117140967|108752417|108752449|108753796|117144023|117144559|117144673|117144712|117145056|117145137|108759600|108759648|117150207|117153133|100380894|108789744|108803601|117201494|117202211|108818852|117207933|108830468|108833724|108833808|108836204|108836240|108836421|117229971|117229999|117230144|117230302|117230406|117231759|117231846|108854727|108854773|108860886|100479607|108874361|108911671|117315584|117318489|100545252|117326581|108968381|100583811|108979277|117369988|117372443|108992293|117381029|109009996|109022795|109023801|109024020|109024279|109035571|109035788|109038678|109051058|109174245|100812569|109258555|109311539|118173286|109793817|101407614|118334997|118342173|109980770|118446365|118497019|118507473|101868552|118782014|102510262|102511028|103890946|103917426|103934151|104157482|104361798|121327528|104782612|104782809|104784978|104784998|104785049|113339530|106112500|106145507|123103542|108171534|108356075|116798681|108592170|108798107|100546014|100585925|109035594|109260736|102074735|103043253|104125331|124714405|103946900|104920972
spirit.n.01	spirit.n.01|soul.n.01|ghost.n.03	117449867|117449868|117454093|117455894|117458190|117460809|117465528|117486921|117501513|117501533|117501816|117501983|117511585|117514653|117514664|117514747|117517323|117518209|117518998|117519560|117519675|117519678|117521090|117521091|117521839|117521865|117522582|109135432|117524351|117532423|117532783|117534646|117534650|117534783|117539061|117539074|117539120|117539421|117545857|117548485|117558644|117569100|117586630|117601414|117601631|117601699|117601751|117605154|117605267|117608757|117609822|117616288|117625777|117625894|117628000|117628042|109283436|109292058|109302607|109310112|109318836|109319095|109320950|109321329|109321552|109321771|117710888|118451876|110097632|110110127|110116018|110117324|110117393|110117504|110124081|110124659|110125135|110131274|110131840|110132767|110134595|110145167|110146018|110147839|110151673|110151690|110169594|110169734|110179130|110185076|110185173|110188156|110188732|110188843|110194008|110194033|110194039|110195008|110195030|110195051|110195539|110196253|110199433|110199460|110199781|110200681|110202336|110203612|110203915|110209076|110209555|110210660|110213656|110214336|110217077|110218885|110220093|110221423|110222593|110223816|110229216|110229680|110231575|110231758|110234977|110234992|118781283|118781365|118781418|118794672|118797990|118830792|119003213|119012531|119020636|119020671|119020702|119029245|119036500|119038634|119038639|119041067|119045815|119045829|119333220|119333251|119334208|119334350|119339274|119339549|119366465|119367672|119367714|119375434|119375817|119377979|119380561|119388373|103343904|103778178|120642412|120642529|120644234|120648364|120648891|120649492|120649520|120651194|120665764|120671025|120684500|120689823|120690598|120692263|120694247|103950229|103950242|103950307|120826183|120826696|120831148|120832917|120833112|120833122|120834339|120834932|120834978|120838042|120838068|120838072|120838159|120838258|120838314|120838481|120838547|120838596|120843549|120843690|120843805|120847584|120847714|120849069|120853349|120853354|120853456|120853471|120853712|120854746|120875524|120876490|120877578|120877861|120879630|120880179|120880278|120880481|120881667|120882008|104185347|104186522|121032011|121036766|121074174|121074827|121075490|121136828|121136833|121137288|121138522|121140051|121141892|121150299|121150779|121229240|121284398|121284861|121288986|104555076|104555082|104555153|104555800|121348244|121348327|121349129|121350498|121350816|121350938|121350946|121350952|121350956|121351165|121351252|121351258|121351337|121353478|121353673|121394013|121394031|121399839|121405637|121406262|121406276|121420795|121444885|121489010|121495651|121500305|121500913|121500925|121502330|121508340|121508530|121508620|121508902|121512855|121513136|121513355|121523643|121523684|121528315|121529375|121539892|121539909|121539920|121547143|121551272|104906911|104929544|104932379|104935771|104965403|104969941|104970190|104970239|104970320|104972071|104982285|105014915|121943535|121943778|121948795|121948816|121948828|121952529|121955796|121996826|121997469|122008949|122694198|122762271|122764122|122765600|122772989|122773231|122774215|122774983|122774993|122775003|122775013|122775024|122775048|122775075|122778691|122778738|106121290|106121335|106122243|106127540|106127853|106132095|106186957|106187044|106206877|106207408|106207430|106207539|106207562|106207688|106207799|106207823|106207868|106207942|106209278|106209387|106210198|106222902|106324168|106332908|106343265|123149871|123149880|123149891|123163931|106392613|106410960|106416869|106445947|106455882|106499137|106513589|106594181|114992315|123558852|123568217|123571131|123575682|123580303|123894577|123908298|115799047|115842551|115889081|115978489|107850571|107876037|107877660|107878698|107909456|107919527|116314297|107951559|107956204|107979353|107979359|108019879|108043850|108044985|108046439|108092542|108106499|108129592|124920786|108159130|108159485|108159666|108160360|108160372|108162230|108162235|108169384|108170449|108178008|108178134|108178885|108182880|108185035|108185079|108188386|108188495|108188835|108204637|108206754|108210975|108236881|108236890|108236900|108241887|108246703|108246706|108250345|108250350|108250355|108253254|108256121|108264533|108275500|108311181|108317540|108317556|108317587|108318350|108321932|108322521|108328020|108329278|108329943|108340760|108352379|108356717|108358810|108359041|108359195|108359374|108365462|108368675|108370981|108372610|108508524|108510053|108510838|108510927|108511349|108511432|108511459|108511536|108511577|108511617|108511639|108511659|117369801|117380762|117451881|117549565|121547600|105339214|123915691|108310693|121422867|114996355
breath.n.02	breath.n.02|air.n.01|halitus.n.01|air.n.06	109122424|117587544|109267325|109289122|109318656|109330985|109351299|109356478|117793972|117961044|117963476|109778244|109885292|109925493|109934880|109946820|109955562|109955605|109958296|118373722|118389337|118401046|101638762|101699309|118505168|110217559|110241999|110243151|118852016|118869729|118878638|102166267|102172846|102172859|102174207|102177359|102177405|102177414|102177442|102177920|102181894|118993103|102381998|102402818|102405320|102525764|102526255|119336507|119349994|119364052|119385244|111006298|111006347|102623549|111176229|111176330|111184218|111187527|111187568|111187938|111187990|111188038|111188072|111188092|111188141|111188166|111188221|111188535|111188637|111188696|111190626|111200452|102915934|102916418|102916707|102916762|102917235|102926722|103376844|103578505|103579168|103764522|103779636|103779656|103779739|103786846|103808328|103812656|103817135|103817624|103817650|103817774|103818451|103818482|103842624|103842642|103842652|103845491|120654937|103909721|103909733|103921186|103940453|112395611|112418003|112438381|112439322|112446518|104157755|104157784|104171152|104183108|104183462|104186671|104186684|120965632|120965741|120966201|120976642|120976783|120976856|120982666|120990701|121137304|121137318|121137402|121150995|104457632|121235913|104458702|104458755|104458774|104458840|104460651|104462224|104462493|104545318|104549975|104555124|104876808|104877345|113402308|113461290|113715020|122642300|122673518|122673560|122693928|122693987|122694147|122710389|122772712|122774456|122774688|122774724|122775390|106127864|106142434|106153756|106186792|106186810|106186838|106214950|123163810|106406081|106438335|106446372|123259147|106503617|106556511|106557563|106572710|106575948|123654779|123654791|115272282|115355145|123904724|107181399|115634106|107342250|107365488|107365529|115844027|107463846|107463877|107463891|107463928|107464025|107464067|107464284|107464298|107464552|107464645|107464715|107464783|107464821|107471719|107472618|107472638|107474063|116083155|107803457|107928471|116334838|107949253|108085920|108085951|108102944|108107188|108128426|108134473|108136934|108139636|116538205|116540984|108160315|116556292|116556297|108168105|116557124|108169256|108169527|108171037|108175805|108186562|116575698|116587052|116587086|116589074|108250399|108258802|108259856|108262630|108283173|108294179|108316118|108341179|108341259|108341315|108363253|108375150|116776418|116802177|116822543|116847107|116859853|116865973|116866069|108509245|108613408|100342906|117186641|100498201|100498453|100530796|100539809|100570534|100570727|117355620|108973045|108974115|117368883|100600198|100611369|100611774|100631037|117583234|109320065|109321272|109361434|117773815|117775276|117793426|117793475|117798169|118014772|109656922|118112722|118337654|118404781|101833241|110390537|118795257|110418046|110421712|110421751|102160824|102176304|102176524|102176971|102178726|102179049|102179349|102179364|102179389|102179439|102179521|102181764|102273081|119095723|103775765|103777887|103777927|103777946|103777976|103778019|103778026|103778132|103782839|103797789|103798242|103812680|103816063|103817267|103844859|103844930|103844947|103874311|103874365|103874392|103885921|103909094|103909104|112445950|112446022|104139848|104145552|104201900|104203633|104217991|104361947|104457691|104457722|104459212|104459263|104459465|104459974|104460635|104460943|104582352|113635391|113714984|105447965|122770686|122774269|122774660|122775369|106111513|106111558|106168569|106206921|106247042|106466540|107588659|108181674|108184081|108255810|116781412|116801826|116859575|116859615|108721761|104129194|104129245|104129269|104129940|104130066|104130444|104130607|104130692|107685313|107685330|106111543
spirit.n.04	spirit.n.04|devil.n.02|evil_spirit.n.01	117501652|117501825|117502132|117502229|117515532|117553559|117558895|117569532|117601842|109319498|110094258|110095380|110097677|110111215|110111260|110111726|110112415|110113664|110113773|110113846|110114609|110117494|110127357|110127443|110128867|110130001|110130646|110132691|110133582|110134634|110145977|110167513|110176088|110178087|110178105|110178137|110178166|110181168|110181203|110198517|110218917|110222882|110227470|110231583|110234947|110234953|110237098|110238255|110238971|110239315|110244441|110244449|110245193|110247743|119003425|119003448|119012157|119014448|119016555|119033911|120663209|120668669|120685874|120825628|120834440|120834906|120834987|120835002|120837175|120837188|120838689|120853147|120854165|120854177|120854187|120854192|120854204|120854256|120854917|120967929|121069155|121069226|121079217|121348890|121350942|121351818|121372962|121380953|121464729|121464798|121467070|121485434|121508169|121508787|121511391|121512780|121512950|121528496|121541516|121543001|121551840|104973956|121942661|121948870|121952517|121979036|121979102|121997402|106127563|106197935|106368602|106435111|123898633|123901926|115545356|115549637|115850823|115888406|115888556|107873923|107898111|107898126|107898156|107898328|107898356|107900246|107901151|116306065|107954198|107954225|108004988|108005013|108048179|108128067|108168188|108207126|108221882|108242314|108317388|108362973|108510056|108510099|108510103|108510115|108510132|108510149|108510196|108510974|108510978|108511527|108561767|117356404|117367289|121141841|108510071
spirit.n.03	spirit.n.03|courage.n.01	117484255|117508901|117717378|110136680|110176869|110188827|110202756|110231291|119038851|120670160|120682861|120830912|120831109|120832982|120834939|120838335|120856090|120875040|120876661|120877741|120881193|121074560|121074763|121399760|121526159|121527955|121534946|104990917|121946828|106462630|106535787|116314141|107954286|108018456|108032058|108113011|108120219|108120618|108182603|108227063|108234049|108244082|108244101|108244139|108256601|108256606|108278980|108294016|108355834|108365516|108367854|108370692|108378719|108509078|108877515
emotional_state.n.01	emotional_state.n.01	117529302|117542909|110091692|110116453|110156348|110158270|110191200|110202073|120682967|120688563|120725489|120830190|120831250|120831264|114991741|107951594|108107710|108113114|108120107|108138784|108161692|108183940|108273856|108511605
gale.n.01	gale.n.01|storm.n.01|tempest.n.02|hurricane.n.01|whirlwind.n.01|squall.n.01|windstorm.n.01|tornado.n.01	109251255|109333124|109885161|118469286|118508950|118832565|105051178|113507056|122731700|106163691|106211588|106219978|106283582|106359414|106360277|106364290|106549259|115671795|116797888|116831001|108673470|100539976|100564629|109505486|109811093|118691969|104111082|104780797|113664464|106451257|106558374|106842676|115626110|115728008|108594875|108658369|108658498|117084779|108815973|108866125|108908357|109311805|109381692|119333268|112413586|108621600|109270919|118423653|102379061|104158130|122693713|108208763|103098113|115433337|108698099
intent.n.02	intent.n.02	109318782|110199212|110202284|110235093|120666891|120725436|120725461|120725564|121141809|121150922|121390511|121393740|121500174|121508221|121508230|121508246|121952154|121954446|121954452|106210224|107954253|108005039
breathing.n.01	breathing.n.01|breath.n.01|exhalation.n.02|wind.n.03|puffing.n.01|inhalation.n.01	109142573|109351467|109508055|118434075|118493264|119106273|102519090|102525582|102528379|119350186|119386969|102917205|112446564|104186639|104458372|104462992|104555028|115711069|107360094|107473721|116770230|116812109|109535425|117983218|109887462|119394010|111188627|111188656|103021426|115544019|107465550|107764558|116810653|116847090|117153246|108944133|104108688|104129633|104130419|104130542|104130659|104130720|104130744|114638600|119375481|103376671|103803329|104921020|119066143|103943804
spirit.n.02	spirit.n.02|atmosphere.n.01	117489860|117508919|117519790|100855805|110188819|110190452|110206100|110208787|118794708|102360146|120666704|120834405|120838466|121385123|122770382|108163172|108242142|108253498|108256920|108257687|108278960|118004031
