head.n.01	head.n.01|head.n.25|neck.n.01|head.n.26	109062998|117453748|109073302|109074278|109074284|109075373|109076302|109076318|109077597|109078732|109079164|109085201|109085985|109086049|109086065|109086118|109086297|109088003|117497517|109112392|117503119|109121265|117510950|117510962|109127455|109136775|117534554|117540804|117543726|109168974|117559295|109180625|117569488|109192758|109193190|109193216|117583560|109195049|100810370|117605081|117616266|109230752|109230767|109230912|109230971|109230992|109231098|109231158|109231307|109231328|109242197|109242625|109242654|109244350|109251228|109254866|109258525|109260513|109262269|109262280|100877101|109267018|109267175|100879150|109268954|109270518|109271266|109275359|109278599|109281078|100893056|100899440|100899491|117680948|117681037|100904520|117683423|100909291|100911380|109301481|100913544|109307681|100919167|100919280|100919298|100919880|100919889|100919937|100919954|100919962|100919993|117697400|100923454|100923801|100923810|100924054|100924943|100925963|100926786|100927213|109320100|100931765|100931801|100931827|100931990|100932353|117718207|100943312|100943351|100943360|100943800|100946427|117728131|100951597|100951849|100954335|100954359|100954379|117732438|109348468|117738335|100969032|117749409|117750022|100973406|100973541|100973568|117750969|100973770|117754354|100978694|100978719|100978768|109368884|100989062|100989386|100992175|100992277|109381542|100995206|100995486|100995526|100995563|100997207|101006915|101006960|101011142|101011171|101012056|109401160|109401208|109401955|109402475|101015028|109405064|109405375|101017703|117797885|117797965|101023218|101023890|101029570|101034953|101035042|101035516|101035577|101035751|101035798|101035985|101036003|101036073|101036880|101037007|101037077|101037183|101042814|101044161|101055535|101062780|101066002|101070102|101089122|101137282|101137353|101143714|109532870|101144739|109534119|101146072|101148699|101149526|101158584|101160427|101171329|101172271|101172554|117953356|117961379|117962038|117962071|101185349|101185469|101185774|101191523|117970954|117972436|101198854|117977146|101206409|101212423|117994783|101220545|118001858|101238306|101239015|101239273|101239446|101239865|101243488|101275299|109690622|109691583|109694416|109694789|109694996|101309635|109700535|109702828|109703884|109705302|109706835|109709790|109709999|109710038|118106124|118106161|118106857|118107344|118110743|109722957|118111795|109723862|109723965|109724047|109727029|109728117|109728892|109749067|109749606|109755067|101366835|109765942|109771254|109777319|118174145|118174779|118174892|118175864|118177193|118177221|118177412|118177432|118178590|118178624|118178739|109790792|118179945|118180558|118180603|109793508|109793789|109794491|109797484|109797572|109797600|109800999|109804003|109806107|109807416|109809197|109809794|109809804|109810055|109813063|109813092|109814155|101425609|109814738|109815412|101428260|101428263|101428334|109819726|109822912|109823533|109823983|109824336|109830512|101444455|101446685|109836970|101453205|109842884|101456017|109851363|101463873|109852543|101465603|101469508|101470767|109859763|109861811|109861833|109863494|101475524|101475699|109870208|109870698|109873884|109875609|109878983|101495145|109906620|109906644|109909321|109909983|118301748|118308691|109922182|109922577|109922748|118314464|101538519|118315908|101540260|109933736|118334671|109946811|118336690|109949844|109949846|118340746|101566693|101571915|101572423|109973221|109973242|118362065|109980628|101592505|109981243|109981368|109981710|109981729|109981754|109981890|101593293|109981901|109984553|109985360|109986011|109986227|109988965|109989239|109989255|109989267|109989284|109989319|118378147|101604210|118383248|109997122|110000260|118389658|110001431|110001662|110006583|118396062|118400556|101625878|101625929|101626026|110015233|110015409|110015432|101627637|101627807|101627883|101628443|101631183|101631230|110022906|101634941|101635140|101635203|101636910|101638453|110028450|110028673|110028905|101641356|101641371|110035151|101647844|110036917|101650216|110045692|110045999|110046103|110046172|110046185|110049101|101661256|101661705|118438982|110054466|110054588|110054717|110054799|110055105|118445504|110059767|101671791|118453107|110067286|110068317|110068645|110071263|110071709|110072364|110075512|110076199|110078516|110080219|110081269|110084704|110084730|110086057|110086210|118475887|110092383|110092961|110094343|110095969|101707721|110099156|110099185|101711064|101712773|101712846|101712869|101713749|118493370|110107956|118497563|110109777|110109811|110109900|110109938|118499100|101724824|110114947|110114971|110115015|118504327|110121377|110122957|110123103|101735354|118512900|118516905|118517100|110130352|110130533|110133098|110135397|110142739|110142923|110158051|101771059|110162076|110162735|110163141|110163223|110177393|110177647|110179932|110184176|110191339|110197785|110197790|110197809|110197813|110197824|110197827|110197866|110197917|110198742|110237347|110238942|110241016|110241235|110241239|110241415|110242304|110242337|110242345|101854048|118631311|110242782|110242796|110242845|110243691|110244723|118633434|110244840|110245660|101857413|110246167|110248850|101863418|101863465|101863474|101863480|118643016|118643033|118646233|101869034|101873795|101875602|101880993|118673758|118676502|118677827|118681327|118682197|118684753|118685501|118685558|101915508|101915551|101915567|118692798|101915729|101915736|101915810|101915829|101915882|101915914|101916025|101916062|101916074|101916405|118697754|118697815|118720541|101953474|118749311|118750037|118761786|118766189|118768913|118771382|118772446|118772462|118772574|118774429|101997675|118781108|118785309|118790259|118791851|118796787|118799720|102041205|102044419|118826452|102072231|102076096|102079398|118858178|118859355|102090290|118873447|118883372|118891495|118892610|118892667|118892770|102116952|102117100|118895580|118896934|118901406|118901419|118905427|102143851|118929858|102153406|118930898|102153957|118933269|118934149|118934197|118936193|118937107|118937731|118940833|102164286|102164605|102164753|102172493|102172980|102173947|102174028|102175312|102175456|102175905|102175926|102175985|102176011|102176026|102176128|102176194|102176356|102176814|102176849|102179560|102181425|102181583|102181774|102182032|102182058|118988302|118988333|119012358|119013470|119013721|119016891|119020500|119025847|119026074|119040230|119042714|119043958|119043984|102276050|119069166|119070805|102299533|119078421|119080177|119080215|119080767|119082887|102306415|102306446|119083707|119084100|119085215|119087144|119094379|119094452|119094488|119106963|119113702|119121170|119121504|119125096|119127301|119127343|119127549|119129713|119137780|119139479|119139774|119139942|119142628|119143151|119144584|119144707|119145980|119147636|119148084|119150942|102382414|119159845|119160024|119160210|119161623|119172158|119173336|119183421|102410799|119192233|119193160|119193282|119195799|119196360|119205098|102435095|102435293|102436395|102436475|102439095|110852895|110852929|102507022|102508842|102509285|102509997|102510322|102513401|102514590|102514605|102514621|102514638|102514671|102519217|102523628|102528307|102530913|102530934|102531193|119332681|119332708|119332885|119333832|119333921|119334026|119337154|119337219|119337326|119337421|119337480|119339180|119339230|119344218|119344321|119344401|119344599|119344641|119345111|119345477|119346546|119346576|119347427|119347607|119355130|119358076|119363259|119366153|119366186|119366400|119366434|119367027|119367185|119367816|119367834|119368304|119368372|119368456|119368558|102591641|102591652|102591667|102591691|102591722|102591735|102591780|102591853|102591887|102591897|119369188|102591981|102592053|102592074|102592084|119369305|102592122|119369355|102592148|102592187|102592348|102592450|102592493|102592527|102592562|102592588|119369816|119370055|119370434|102593295|102593357|102593510|102593973|102594779|102594810|102594849|102594856|102594920|102594949|102595130|102595136|102595208|102596092|119373683|102596545|102596738|102596876|102597314|102598440|102598491|102598614|119378707|119378762|119378907|102604865|119382413|119385042|119385262|119385521|119385721|119385735|119385859|119385903|119386268|119386277|119386487|119386848|119386947|119386988|119387005|119387017|119387085|119387110|119387137|119387246|119387284|119387437|119387700|119387861|119387885|119388451|119389206|119389984|102613954|102613994|119393656|111005129|111005256|102620437|102620579|102620597|102621203|102622746|102622767|102623573|102624106|102624150|102626022|102626469|102634034|102637275|102639619|102640019|102641468|102642862|102642976|102643523|102644181|102644200|102644210|102650007|102650018|102650228|102650251|102651373|102651396|102651611|102652203|102652507|102652680|102652919|102653068|102653079|111154893|111158525|111164177|111164308|111164462|102779799|111174323|111177034|111177352|111182712|111182742|111182783|111182826|111182899|111182944|111185161|111185246|111188188|111188202|111188225|111188424|111188464|111193458|111196453|111204377|111205757|102905237|102905312|102905320|102905464|102905605|102959694|102963266|102966863|102966985|102970719|102970789|102985127|102994107|102994435|102994877|102995767|103000031|103001239|103014825|103016288|103018635|103019406|103019437|103019761|103021827|103094450|103109268|103255727|103255759|103313649|103366643|103367224|103369768|103372606|103372783|103373094|103391041|103402241|103427384|103444088|103489493|103574905|103577136|103651209|103651216|103652127|103652130|103652457|103652490|103783408|103784370|103784575|103784648|103784775|103784919|103786896|103791016|103792292|103799039|103803874|103803889|103804295|103809693|103813103|103813134|103813164|103813184|103813478|103813555|103814502|103837880|103841730|103841753|103842320|103842692|103844003|103844033|103844290|103844392|103844409|103844500|103846420|103846429|103847178|103847182|103848754|103850217|103850761|103851237|103851519|103852857|103852875|103853343|103857204|103857456|103857506|103857710|103857767|103858018|103858397|103858877|103859938|103860308|103860326|103861241|103861705|103862154|103865960|103865975|103866004|103866246|103866437|103866771|103866881|103867391|120645174|103868748|103869114|103869910|103870047|103870405|103871038|103871836|103871915|103871925|103872703|120652564|103876114|103878417|103880215|103884507|103887330|120665926|103888975|103889000|103889005|103889405|120668692|120668716|103891701|103891802|103891812|103891861|103893436|103894233|103894697|103894892|120672504|103896337|120674595|103897666|120682430|103907766|120686059|120686073|103909347|103909371|103909938|103910038|120689149|103912778|103915140|103919011|103919658|103920746|103921357|103921806|103928203|103928515|103928529|103930441|103931481|103939500|120724791|103949932|103961534|103962214|103970842|103972003|103972741|120773598|112388577|112388835|112388863|112388928|112388955|112389176|112389791|112390494|112391249|112393633|112393725|112418309|112423613|120831561|120831662|120832009|112447207|112448042|112448116|112448295|112448711|112448837|112448979|112449167|112449417|112450000|120838715|112450203|120874977|120877543|104144817|104148219|104148554|104155105|104181867|104181878|104181925|104182316|104182411|104182450|104182540|104182948|104182956|104184198|104189598|104189666|104189715|120969280|120969463|120969822|120970440|104195327|104196409|120974355|120974612|120975147|104198106|104198366|120975730|120975866|120976390|104199364|104199381|104199445|104199578|104199647|104199920|104199946|104200155|120977883|104200912|120978985|120979427|120979698|104202828|120980368|104203285|104203644|104203690|104203769|104205759|104206347|104206398|120983815|120983872|104207337|120985529|120988139|120989453|120989479|120989747|120989827|120991025|120991075|120991445|120992379|120993465|121032685|121035297|121070021|121071668|121071862|121074283|121074432|121074972|121075082|121077321|121077348|121077377|121078373|121079372|121087642|121087650|121087723|121088033|121088363|121088583|121088849|121089086|121089306|121089547|121089552|121089787|121090069|121090074|121090316|121090549|121090616|121090625|121090888|121090896|121091314|121091566|121091573|121091593|121091809|121092079|121092144|121092529|121092541|121092759|121092987|121093052|121093226|121146474|121177966|121178652|121178891|121180411|121180927|121182107|121212392|121213086|121213939|104461302|104462389|104516299|104545088|121327512|104550368|121331517|104554981|104555637|104556165|104556247|104556403|104556494|121344058|121377166|104646597|104665638|121447775|104691752|121477477|104708676|104721122|104723292|121505672|121511655|121528985|104771041|121553928|104779111|104779575|104783845|104874995|104892009|104892235|104902039|104902071|104902099|104909066|104909080|104909175|104909194|104909198|104909224|113302251|113303103|113304265|104918326|104930513|104930536|104930609|104930736|104930774|104930815|113321877|113322441|104938946|104939060|104939150|104939632|104939787|104939918|104940130|104940338|113329054|104940455|104940684|104940830|104940942|104941289|104943407|104943495|104943550|104943684|104943781|104944550|104944981|113334542|104947091|104947554|104947594|104947870|104947885|104947970|104947992|104948690|104948984|104949310|104951472|104951502|104953570|104954597|104954724|104954736|113344732|113345220|104957075|104960873|113351640|104965054|104965626|104965690|104965724|104965852|113355684|104967913|113358117|113359610|113361089|113361430|113376324|113377319|105004568|105004704|113394974|113396777|105008936|113397594|105009188|113400153|113401221|113401400|105013781|105014426|113414215|113414626|113425038|113425057|113425097|113425456|105041077|105041655|105046722|105046729|113445580|113446166|113452855|113455762|113457186|113461233|113464079|113466944|113469707|113473849|113474409|113474423|113474621|113475921|113475957|113479820|113480910|113484236|113487379|113488361|113488443|113489685|113492657|113492723|113493695|113494523|113494634|113494667|113494673|113494696|113496734|113511602|113512178|113512369|113513230|113519475|113522195|113522544|113523774|113532516|105152902|113546691|113549337|113549383|113554947|113555139|113558784|113561709|113565344|105184741|113574666|105187174|105189962|113588922|113594825|113600353|121989333|113605325|113613427|113613511|113614222|113615729|122005266|113617297|113617681|113618464|113619095|113619296|113625645|113630225|113631285|113631371|113631446|113631589|113631636|113644130|113655625|113660395|113660449|113673416|105286239|113687415|113693944|113704487|113707015|113707037|113707045|105322084|105328798|113728955|113732573|113732602|113732614|113733960|105393270|105410577|105416926|105428272|105453631|105453641|105453724|122669950|105679591|105681760|105683781|105745515|105745693|105745710|105745730|105745885|105745891|105745905|105746872|105746957|105747457|105747469|105747543|105747732|105748789|105749069|105749985|105750035|105750207|105750236|105750287|105750519|105750677|105750768|105750785|105750907|105752796|105753782|105767276|105821574|105821941|105822033|105822678|105825120|105825184|105825227|105825727|105825757|105826606|105826631|105827023|105827131|105827742|105827754|105827808|105828084|105829591|122615397|122642316|122666906|122668876|122672265|122672384|122676114|122688081|122705624|122714768|122727225|122727232|122740708|122764227|122772940|122773037|122773057|122774319|122777121|122778243|122786193|122787229|122788157|122789998|122790278|122790792|106118015|106119960|106120165|106123545|106125549|106130377|106130436|106146480|106150444|106150464|106150550|106156087|106162292|106171361|106179080|106187097|106215203|106217295|106224561|106226852|106231582|106231596|106236697|106238781|106248617|106255682|114652742|106264860|114663312|106276334|106276343|123069130|123077211|106306117|123094399|106319774|106324147|106341640|106344418|106348686|106349030|106349192|106356040|106356993|106359125|106365493|106366296|106387439|106391350|106391384|106391511|106391611|106391955|106400112|106401640|106408227|106427346|106428249|106428720|106436368|106439721|106452707|106454439|106455585|123233724|106457641|123235010|106457842|106459949|123237328|106461282|106483887|106486020|106487187|106487423|106494932|106501191|106501702|106516709|106531452|106531466|106531520|106550534|106561081|106564479|106573508|106574307|106576069|106581564|106582269|106583329|106583794|106583948|114982931|106595242|114992915|123539111|123539324|106796542|123574637|123575421|106808821|106837897|106846441|123652108|123652954|123654280|123654314|123654671|106885860|106895570|106905455|106916233|106923990|106927113|106932795|115344463|115355684|115361111|115397981|115398050|115401389|115403000|115412836|115431208|115436766|107064306|115453619|115454792|115455540|107068449|115460029|107073393|115464845|115470009|115470100|115473143|107087778|107094799|115484361|107109438|115501117|123889878|123889931|123889975|123893018|123894479|123895148|123895495|107119053|107121370|123901134|123902628|123902764|107131265|107131295|123909601|123910856|123912172|107135246|123913669|123913679|107138713|107139371|123916984|107139972|107140009|115529405|123920611|115536404|115544929|107159480|107160059|123945039|123950806|115562796|107176624|115567085|123956545|115568122|115569210|123958223|115569655|115571440|123961011|115576129|123967222|123967852|115580483|115581730|115582057|115590158|115590441|115592628|123984587|115596641|115596749|123985768|115597329|115597407|123987198|115599226|115599252|115601310|115601341|123990348|123990510|123993812|123994376|123995422|123996203|115608817|115608849|115623158|115624915|115625805|115627310|115628175|115629061|107247924|107248367|107248486|115637341|115640796|115643199|115646319|115648792|115659633|115660085|115660110|115660314|115660634|115665157|115666880|115667307|115669929|115673544|115673668|115673818|115676589|107289755|115680795|115683654|115686943|115687644|115691475|107306465|115696669|107315652|115704722|115706986|115709792|115713352|115715965|115732534|115733166|115738144|115739171|115739173|115739189|115741011|115744249|107356774|107361566|107364222|115755320|115756127|115756250|107367832|115756925|107368709|107373531|115763969|115765940|115771509|115775870|115775904|115777298|115777497|115780479|115781066|115786634|115786642|115786945|115787160|115787171|115789267|115789709|115790047|115799776|115809824|115810797|115817390|115826799|115828574|115837665|115843005|107456743|115851009|107467064|107468835|115872404|115880216|115887350|115887443|115887691|115888009|115888327|115892311|115892601|115893428|115897527|115898092|115898838|115900060|115900095|115900257|115905939|115906479|115908019|115910603|115912737|115912794|115914098|115918816|124312393|124316588|115932008|115936244|115938303|115938504|115938552|115938597|124327682|115943324|115943587|115943633|115945684|115946629|115946647|115946690|115953363|115961531|115964276|115964389|115970253|107585634|115982330|107598506|116004437|116006447|116006481|116006512|107630197|107630210|116027905|107641424|116039257|116039877|107670062|116072439|116073935|116083972|124475962|116088176|107702820|107702944|124481532|116096783|107711126|116102311|116114907|116118000|116118942|116119731|116123090|116126410|116127335|116127692|116128584|124540948|124541027|124545805|107773547|124554630|116166986|116167217|124559717|124559786|116187438|107800672|116190100|116190926|107803289|107803646|124583715|116198217|116198756|116203607|116204759|116205453|116207572|124596353|116209545|116216929|107831682|107833561|124612194|124613425|107838254|124618243|124618320|116230718|124620360|124622725|116239951|107853343|124634626|124639590|124641340|124641539|124643311|124643320|107870232|107872412|107873188|107874749|107874843|107876887|107879135|107879169|107879282|107879388|107879477|124660305|124660805|124663359|107886771|116275450|124665559|107889155|107889597|124668285|107892488|107896559|124674087|124674117|116285559|124674613|107898455|107899405|107899662|116288398|107899835|107899907|107900001|107901284|107901340|107906709|107907041|107907348|107908896|107910442|107910664|107910806|107911464|107912758|107913279|107913284|107913299|107913313|107913476|124695645|107918783|107918800|107919430|107919448|107920958|107920985|107922209|107922227|107922294|107922757|107924341|107927328|107927359|124704800|124707002|116319204|107933050|107933101|107933105|107933578|116322301|107933800|116325349|107939000|116336615|116336708|116336709|107950974|124728520|107953192|107953219|107955821|107955898|107957741|107960011|107960187|107960238|107961945|107962035|107962851|107963219|107963278|107963300|107971071|124749204|124751715|124752843|124752976|107975975|124753291|124754074|124757661|107983069|107983101|107984488|107988744|107988765|124773435|107998040|124780671|108021688|108026917|108026999|108031494|108031810|108032047|108032838|108036905|108039482|108040061|108040441|108040744|108040992|108043156|108043173|108043204|108043236|108043438|108043579|108043665|108043831|108043984|108044109|108044179|108063366|108064367|108067205|108068915|108073686|108073762|108075034|108080583|108085584|108088672|108093297|108093402|108094003|108099629|108100573|108103953|108104247|108104745|108105621|108109146|108109995|108111017|108115216|108116488|108117132|108117458|108119585|108119595|108122551|108131195|108131209|108136593|108138242|108138276|124915560|108138448|124915727|124916604|124918049|124918168|124918245|124918290|124918383|124918428|124918457|124919186|124919255|124919910|124920047|124920725|108147002|116537796|116537994|108149547|108150193|116543149|108156812|108159546|108162836|108164449|108165378|108165567|108166018|108166239|108167103|108167367|108172481|108173364|108176505|108181559|108190003|108191885|108194647|108195489|108195643|108197368|116586013|108198485|116589402|116589471|108200918|108200920|116589645|108201892|108205289|108206061|108209356|108223307|108225845|108225986|108230560|108230626|108231320|108232072|108232563|108232571|108232628|108234946|108234962|108238164|108238587|108238600|108239621|108244982|108246549|108248355|108248642|108249377|108252099|108253528|108260819|108260825|108261928|108273120|108273945|108277929|108282266|108284924|108285217|108287904|108296832|108309643|108312539|108313727|108313890|108314183|108314716|108315527|108315793|108316050|108316261|108316269|108317597|108317670|108319267|108320446|108321474|108321511|108322592|108323814|108325195|108325970|108327061|108331297|108331613|108334028|108334828|108336076|108337939|108338164|108347215|108347280|108347294|108352182|108352590|108354162|108354276|108355398|108357485|108360278|108360416|108360546|108365195|108366202|108366313|108368941|108369189|108372185|108372323|108372446|108372739|108378706|116770310|116770773|116770840|116771317|116773998|108387744|108387764|124915774|116777559|116777619|116781058|116784408|100008772|116786039|108397848|100009648|100009969|100011276|124918364|100013359|116790856|116791135|116792335|116792426|116794463|100017735|100017952|100018230|100018590|116798629|116805273|116806511|100030643|116808875|116814067|116814717|116815571|116815581|116820563|116820580|116822564|116822656|116824627|116825608|116825880|116825905|100049457|116827381|116827455|100051028|116828433|116828500|100054686|100055961|116834584|116834758|116835193|116835816|116838208|116842872|100065690|116842971|116842996|100068026|116845331|116847780|116848459|116852607|100077096|100077870|116855557|116855644|116856636|116856671|116857152|116859578|116860224|116860490|108472714|116861555|116863930|100087020|116865930|100088913|100089907|100090206|100091095|116868764|116868787|116869984|100092777|116872095|116872222|116872563|116874137|100097216|100098468|100098720|100098790|100099784|100099927|116877679|116877934|116878114|116878377|116878849|116880841|116882244|116882998|116886166|100109556|116887055|100112647|100115257|116894851|100119912|100120746|100122484|108515657|100132749|100133017|100135104|100135551|116912962|116914056|116916444|116916473|100139702|108531496|116922377|100145255|100146269|100146951|116925230|100152617|100155022|108543928|100163255|100163674|100163810|108553430|116942592|108554493|116943710|116944890|116944917|116944949|116945496|116947486|100172372|108562818|108562958|116952471|116953063|116953371|116953398|116953572|116953626|116953634|116953697|116953728|116953941|100176760|116953979|116954003|116954288|116954548|116954811|100177648|108566389|116955886|116955971|116956019|116958096|116958506|116958594|116958608|116958841|116959484|100183247|108572226|116961143|100184071|100184096|100184357|100186781|100186789|116966261|116969435|108581949|116970721|100193911|100195198|116973447|116973519|100197760|116975360|116977472|100202858|116982093|100207050|100211239|100211987|100212965|108603988|108605679|116994830|116995231|108608647|108610216|108610788|100224156|117003434|117005182|108617169|108617301|100230006|100231631|108621378|108622864|100235379|100236150|108625977|100238601|100240244|108630417|100243920|100244934|100245239|108633921|100246812|100247271|100248022|100248606|100249211|100249226|100249235|100249246|100249987|100251372|108641390|108641410|117031370|100254402|100255443|100255764|100258598|108647386|100259051|117040736|108655358|108657734|108662266|117052096|117052121|108675469|108685654|108685713|108686859|117076379|117076441|100301343|100301797|100302074|117079777|108691626|117080637|117080677|100305575|100305843|100305918|108694576|100308073|108700865|117090567|108702501|108702561|108708015|108708043|108718984|108721577|108721601|117110816|117112991|108726595|108727361|117116410|100342880|117121973|117121999|117122058|117122289|117122371|108736310|117126583|117126647|108738076|108738150|117127373|108740841|108741665|108741741|108741787|108741803|108741867|117141484|108755345|108755456|108756394|117150555|117151492|117154531|117154649|117157224|108769265|108776895|108781411|117170825|117170835|117170846|117170908|108785963|100401504|108792355|108794778|108794898|108796441|117185788|117187211|117187899|117188154|117189081|117189634|117189694|117189734|117189771|117189892|117190138|117190169|117190202|117190997|108802443|117191431|117191542|117194247|117194284|117194938|117195865|117197742|108814347|117203868|117203888|117203972|108821403|108823597|108823695|108823777|108824019|108824060|108824098|108824156|108837303|108842414|108853738|108865362|108865676|108872702|108874379|108874641|108885157|108886469|108888054|108893202|100508989|108897820|100509585|108902946|100517353|100520262|108910735|108910809|108912680|108915583|117314324|108927009|117315778|117316038|108927559|117318169|117330426|108943928|108944139|108945453|108945478|117335657|108949085|100566228|100566324|117347948|117348277|108960157|117351580|108965019|108965054|108965150|108965266|117358490|108970046|108970079|108970123|108973309|117364618|108978810|108982985|108982998|108992732|108992793|109011045|109012628|109020103|109024413|109027679|100644800|109037933|109037960|109038335|100651202|100652697|100657059|109047499|109047609|100662254|118108973|118109508|102601178|102606418|102612873|102612946|102613698|102613718|102613762|102614182|102614307|102614498|102614668|102614756|102614770|102614806|102614972|102615033|102615942|102616236|102616539|102616567|102616990|102617049|102619061|102620083|102620097|102628059|102628086|102628172|102629660|102629683|102629739|102629884|102630474|102630729|102631692|102631801|102632465|102632477|102632496|102632501|102635143|102635210|102635400|102635589|102635598|102635611|102635831|102635890|102635922|102635929|102636307|102636430|102639202|102639957|102639996|102640030|102641034|102644681|111163879|100933917|100947346|103850931|103857434|106925073|107375530|100211960|118107428|102613601|116827469
head.n.07	head.n.07|top.n.01|capital.n.08|top.n.02|vertex.n.02|poll.n.03|end.n.01	109373146|101239848|118107579|118109633|118109804|118110128|109909732|110141941|110166630|110230894|119172531|119188914|102598696|120665071|104206280|121036481|121180575|104516316|104651360|104685692|104696897|121475618|104877691|104928658|104938864|113332504|122755676|106197110|106197122|106258214|106341446|106349474|106350010|106350100|106357191|123157470|115238458|107160588|116239479|124666970|107937015|107937128|107937614|107996335|107996690|107996699|107996707|108132557|116785930|119159143|119166942|119179652|119199922|102614276|103012912|121436103|104879386|104892031|121990168|105765923|106264519|107937437|107937449|117799567|109770918|118795150|115961306|101352848|104462403|104961244|113641846
head.n.04	head.n.04	109080391|117524373|117534558|117535054|117535058|117535106|117535113|117559181|110197796|110210520|110211140|110211147|110213986|110214434|118643042|118649161|118946003|120845512|104162468|121511634|105009699|106343372|106421807|106530843|106531494|123652017|107160600|116234308|107875549|107928869|108103365|108130541|108248064|108248069|108248088|108248094|108312852|108354459
capitulum.n.01	capitulum.n.01	118677792|119147071|119147316|119151002|119151133|119151419|119165206|119165403|119166730|119173101|119175553|119177520|119182270|119182849|119183458|119186693|119187945|119188023|103372292|103968473|120773788|104189756|104197720|104650000|104701691|104701718|104703844|104703896|104704092|104704160|104720257|104722258|104722823|105328826|105328846|106426424|107159118|115837158
hair.n.01	hair.n.01|lock.n.02	109075716|109183363|100910810|100987949|101052144|117968011|101228625|101233488|109915906|118395104|118504244|119088294|120988126|104767366|115454949|115503846|115565914|115572627|124598349|108166027|108281572|100050908|116906797|100190573|100310064|117322796|108939853|108981632|109027934|109032039|118434766
head.n.02	head.n.02|head.n.14|person.n.01	109723933|118178611|119175578|119386194|103852256|121181744|105393288|107160397|107912139|116823544|116823547|116956009|117185795|100973689|119020485|119366065|119386204|104960622|104963322|115903164|115948287|115951644|108149738|108352689|116916429|123991168
skull.n.01	skull.n.01|lower_jaw.n.01|bone.n.01|tongue.n.01|tooth.n.01	100943262|102600176|103119210|103841848|103858765|103860398|103860406|103860432|113375037|106912571|124915967|108531476|101085417|102592290|108093336|100053013
mind.n.01	mind.n.01|noddle.n.01	119012542|102307703|119365693|119368879|113617425|106197137|106349207|106366299|108244970|108372624|109214233
question.n.02	question.n.02	101160443|109982674|101846973|102001975|119384676|121180981|106179086|106230352|106230376|106532587
brow.n.01	brow.n.01|chin.n.01	109960028|118376731|110075872|118680625|118935373|103398775|106546074|115855666|109028611|119364224|119364258|108603233
