foot.n.01	foot.n.01|animal_foot.n.01|leg.n.01|leg.n.02|limb.n.01|hoof.n.01|paw.n.01|forefoot.n.01|foot.n.06|thigh.n.01|hoof.n.02	109056598|109061039|117454521|117454938|117460275|109086142|117482752|117482841|117482895|117486736|109123528|117524775|117532948|117544258|117562481|117565138|117569486|100796567|117574043|117574076|100797155|117575048|117575481|100801453|117578765|100804212|109193958|100807531|117586448|109199039|100814220|117592830|100817387|117601523|109213319|100824963|100832909|117616275|100839309|100840477|100841133|100842502|100846218|100846751|100849186|100849187|100849266|100850686|109239462|109244746|109248550|109248578|109248604|109248632|117637604|117638770|117638792|109252978|100867918|100868784|100869008|100871015|100872070|109261420|100872964|100874661|100876700|100876813|100877089|100877697|109267162|100879996|117675256|100899447|100899500|109291102|117681412|117687761|117693377|117693391|117693501|109306953|100919360|117696671|117699498|109314826|109314833|100933893|117711780|100940200|100940264|117721673|109342624|109342658|109342838|109343020|100961313|100962137|109354820|109354868|109364415|100977492|117757416|117764746|117764780|117764814|100988547|109378588|100992763|109383668|117784931|117785435|101009921|101018597|117797774|101022145|117799678|117802560|117804555|101035818|101042824|101079253|101081791|109506084|109510320|101154370|101163586|101165012|117946188|101169946|101171215|101172059|101174391|101182254|117966808|101190468|117972027|117976381|117977197|117977307|117983136|101212401|101212940|101215870|117995560|117995568|117995571|101222274|118001856|101227223|118006720|118008268|101239270|109647706|109647843|109652769|101297277|109689428|109702066|109702212|109702231|118108579|118108595|118108613|109722955|109723240|109723284|109723327|109723694|109723723|109723773|109723864|109723929|109723962|109727548|109740371|101367221|101368467|101368497|109762002|101374575|101374624|101374653|101375066|109768692|109784294|118173804|109792876|109793402|109793407|109819140|109819175|109819185|109819361|109819951|109819980|109820072|109823673|109826914|109829167|109833923|101445944|109836271|109836287|109836295|109839199|109848140|109851378|101465319|109856637|101468030|101468052|109861442|109863023|109863146|109866159|109869132|109878981|109880924|109881875|101495168|109891065|109907607|109909754|109909987|101521442|109912501|109912572|118302863|118308176|109926780|109927116|109927180|109927241|109927259|109927277|109927333|109927418|101540095|101545611|118338355|118338398|101569399|109961533|109961544|109961991|101574940|109964862|109964884|109964886|109964979|109965011|118354304|118355949|118355971|118356129|118356152|118356254|118374914|118374922|109988329|109988388|109988400|109988430|118380224|118382435|101609464|101609561|118387301|101619015|101623924|101625455|101625575|101625901|101627494|101629026|118407254|101632940|101632973|101635362|101636054|101637002|101637083|101638637|101639310|101639605|101640123|101640475|101641302|118422850|101648122|101649772|110040458|101652867|101652886|101653358|101653613|101653873|101654169|101656442|101657639|101660596|118438229|110050078|118439285|101662208|118439485|101664817|110053571|110054423|110055432|110055470|101666914|101667180|101667683|110056544|101668173|101668299|110056927|118445567|101670465|101671817|101672038|101673481|110066224|110071769|110071818|118462878|110074563|110074686|110074708|110075616|110075950|110075980|110077359|110077913|110078237|110079271|110079309|110079492|110079767|110079918|110080349|118469273|110081416|110082779|110083545|110083547|110083772|110083976|110084363|110084562|110084942|110086233|110086675|110089163|110089649|110089662|118478852|110091294|110093469|110095639|110100194|110101700|110101728|118492124|118493200|110104755|110105262|101720114|101720125|110110605|118500302|110114047|110114684|110116025|110117902|110117921|110120455|110125123|110126947|110130337|110130346|110130359|110130496|110130507|110130529|110130544|110131440|110131568|110131957|110133404|110134033|110138381|110139560|110142373|101755066|101755180|110146004|110155763|110156315|110156531|110156886|110156895|110157957|110157983|110158013|110158042|110158097|110158139|110158152|110165613|110167140|110167185|110167218|110167368|110167386|110168471|110169027|110169405|110169576|110171767|110173910|110174400|110174549|110174586|110176209|110180397|110183163|110190170|110193100|110198619|110198744|110200324|110200338|110211606|110219299|110222875|110223015|110226140|110227538|110237370|110237429|110238007|110238501|110241428|110241446|110242012|110242298|110242812|101856284|101856295|101856413|110246090|110247796|101860664|110251509|101866435|101868508|101868976|118657843|110284759|101896584|101896612|101896640|101896698|101896704|101896712|101896733|101896740|118677807|118690932|118694775|101926423|118720520|101958461|101969747|118747506|101971760|118771392|118779213|102002807|110396934|118789122|118789288|118798666|102025979|118806810|102036928|102036939|102039816|118820033|118843328|102076878|102076892|118861192|118861202|102088758|118881072|118883381|118884894|118885131|118885527|102119980|102153404|102160931|102160996|118938428|118938445|102164293|118941837|102182125|118987626|118987702|118987715|119010953|119010983|119012638|119015586|102248714|119027668|119028532|102261872|119042421|119042464|119042519|119042862|119045406|119049024|102273538|119068548|102299535|119083713|119087823|119092316|119092848|119092887|119098752|119098980|119116413|119127165|102364910|102366440|119146167|102373920|102374020|102376736|102390489|102390778|102396396|102396570|102399436|119176808|102401230|102402984|102404195|102404204|102404249|102404371|102405196|102408506|119185938|102410054|102410135|102410205|102410815|102411757|102413219|102413394|102423585|102423709|102424212|119209241|102439101|102446770|102507016|102507131|102518856|102519792|102519842|102519886|102519941|102519971|102521401|102521739|102526080|102528714|119332695|119342858|119349365|119361941|119362294|119362495|119362672|119363982|119364602|119365818|119367927|119368982|102597720|102597889|119379785|119379848|119380092|119380119|102603147|119380407|102603433|119380653|102603641|102603978|102604220|102604410|102604463|102604524|102604656|119382256|102605118|102606074|102606180|119383481|119383510|119383629|102606960|102607309|102609427|102609513|102609519|119387435|119389979|102614282|111006206|102624126|102624213|102624409|102625929|102626058|102626701|102628108|102628116|102628265|102628470|102628617|102629123|102629195|102629238|102629290|102629841|102629912|102630193|102630574|102630766|102631091|102631148|102631748|102632001|102632029|102632059|102632165|102632242|102632647|102632748|102632873|102633084|102633185|102633253|102633455|102634314|102635011|102635026|102635456|102635500|102635847|102637300|102638379|102638650|102638745|102638829|102641062|102641189|102641255|102641397|102641482|102642042|102642269|102642551|102642641|102642772|102642956|102643848|102643865|102644913|111151836|111151838|111154904|111167645|102781980|111191815|102951958|102953253|102953412|102954864|102956197|102957058|102957255|102959713|102960697|102961645|102962849|102962932|102963988|102965811|102966755|102967776|102974587|102974795|102975586|102977828|102980393|102980969|102981179|102981903|102982469|102983155|102983157|102984268|102984461|102984560|102985298|102992678|102994581|102995209|102995366|102995795|102996772|102997764|102998488|103000185|103003754|103004167|103004759|103006261|103006559|103007379|103008345|103012295|103013753|103014366|103015437|103016144|103016722|103018186|103018601|103019270|103019434|103019696|103370484|103372439|103372696|103375056|103375261|103377855|103378895|103403918|103418443|103419263|103422006|103442151|103470322|103486097|103567831|103658015|103692896|103767743|103775662|103775696|103777294|103778795|103791029|103806237|103816294|103838973|103840197|103840249|103840532|103840657|103840981|103840989|103841000|103841040|103841061|103841216|103841395|103843561|103843760|103843774|103843823|103844072|103844093|103846985|103847014|103847701|103847771|103848776|103849131|103849961|103850004|103850072|103850082|103850086|103850547|103850975|103851363|103857391|103857740|103859514|103860031|103860623|103861339|103862701|120641827|120642339|103865998|103866006|103866085|103866097|103866219|103866269|103866435|103866443|103867460|103867617|103867704|103867869|103867885|103867984|103868552|103870564|103870746|103871276|103887286|103889414|103895705|120685941|120686062|120686070|103909377|103920668|103920922|103927906|103938562|103947209|103961489|103968659|103968663|103969111|103969577|103970014|103971603|103972580|103973461|103973506|103973660|103973710|103973771|103975216|103975309|103975386|103975399|103975423|103975448|103975480|120766886|120775045|112388179|120783037|112395328|120786450|120786471|112420288|112420351|112423188|104047433|120828082|112447191|112448079|112448169|104059918|104060007|104060011|104063711|120855398|104143143|104144821|104154624|104171218|104182520|120967618|120970251|120971866|120972654|104195696|104196818|104197884|104197974|104198032|104198048|104198077|104198089|104198362|104198421|120975940|104198821|104198935|104198944|104198960|104198985|104199053|120976407|104202547|104202588|104202678|104202720|104203420|104203498|104203592|104205060|104205159|104205174|104205352|104205944|104205949|104205965|120983445|120983478|120983511|104207170|104207181|104207203|120985909|120989097|120991010|120992090|121033786|121068675|121068707|121069858|121069873|121070845|104294505|121073265|121074143|104298292|121075534|121076370|121076400|121076434|121077199|121077212|121087770|121088886|121089320|121089845|121090930|121091174|121091856|121092807|121093175|104327290|104339826|121155584|121155668|121178889|121180381|121180399|121180720|121212904|121213637|121213692|104462791|121264749|104508337|104508733|104544124|121331492|121332229|121332376|104556091|121333846|121334115|121334123|121334140|121334172|121334198|121334207|121334243|121334270|121334765|121337015|121337047|121337101|121337122|121337136|121338600|121339143|121341898|121342144|121342181|121342319|121346423|121346429|104587907|104588243|104606031|104606044|121392643|121404970|121412147|104644266|104644274|104644281|104644325|104644873|104644874|104644880|104644885|104645088|104646595|121491847|104719174|121496665|104767492|104767893|104782938|104865553|104865760|104867175|104869029|104870193|104871677|104877760|104883092|104883840|104888064|104888068|104905075|104910004|113299759|113299761|113299994|104911828|104913124|113301944|113305578|113305592|113305732|104918329|104918373|104925150|104925152|104927148|104927821|104930765|104930850|104930879|104931978|104937700|113326955|104938968|104943818|113332443|104944562|104945833|104945885|104947093|104948876|104948956|104949204|104949280|113341818|104954911|113345415|113351220|113352806|113361933|113363670|104978692|104990273|104990862|104995775|104997978|104998332|113388535|105003822|105003824|113394189|105007176|105009510|105010077|105010382|105013600|105014603|113406092|113421181|105033161|105033806|105034660|113424244|113424273|105035980|105036736|105037337|105037726|105037816|105038427|105039341|105040465|105040667|105041652|105046712|113438177|113438223|113438354|113439125|113440913|113454962|113459847|113470135|113489429|113492210|113494664|113511831|113514055|113514552|113516070|113516141|113516402|113517250|113530387|105154143|113549236|113550345|113554798|113558272|121947604|113562820|113566032|121955215|121955268|121955279|121955352|121955380|121955411|121955421|105181048|113578529|113587530|121986839|113599707|122005264|113617071|113620833|113624333|113632032|113635343|113636219|113636232|113636316|113636399|113636536|113723586|105345016|105453721|113928194|105680720|105682970|105744620|105745713|105745855|105745962|105746059|105746631|105746696|105746765|105746769|105746771|105746880|105747260|105747294|105747964|105748075|105748133|105748147|105748416|105749244|105749266|105750056|105750436|105750462|105750537|105750717|105750967|105751010|105754021|105765728|105765868|105765895|105765912|105765932|105814367|105824791|105824805|122609761|122614971|122628348|122628372|122631892|122661969|122668870|122668887|122672303|122673540|122674966|122679450|122727215|122740706|122754382|122759067|122769162|122786414|122787275|122788469|122790928|122791591|122791781|122792534|122792556|122791855|106123905|106125561|106141228|106149640|106152173|106152356|106152470|106152497|106152578|106152599|106167990|106171708|106172907|106174887|106177620|106195226|106198773|106203928|114602998|106217293|106220303|106221601|106226905|106231611|106236700|106246773|106247154|106250670|106263809|106263949|106264853|106273789|106276053|106276359|123054529|106292885|106292887|106298016|123089925|123100604|123101354|123101356|106340555|123123097|106367413|123145996|123154499|123162480|123162494|106401642|106408229|106426530|106427726|106428457|106428495|106440704|106455587|123233391|123233399|123233411|123233417|123233443|123233727|106457678|106458039|106458083|123235332|106459951|123237237|106466728|106494957|123276670|123276690|106501194|106503062|123283300|106507996|106534486|106535751|106551731|106551752|106551804|106551911|106551942|106562898|106583797|106590045|106590448|114984112|114985089|114985101|114987723|114989140|114989213|114990262|114992898|114992911|123525844|123539109|123550987|123560502|123596165|123654376|123654383|106918210|106919123|106925118|106927797|115347191|115407827|115411995|115419636|115430306|115430355|115480326|115482863|123890139|123890673|123896157|123898121|123900015|123900770|123901132|123901250|107126133|123903631|123903720|123907091|123907906|123910046|123910701|123910741|123918748|115533112|107154049|123931450|123933212|115546786|123935443|123935483|115547827|115548284|115548555|115548634|123938196|123938372|123940310|123940368|123940518|123944739|123946592|123949229|123949533|123949733|123949794|123949818|123951186|123951662|123951906|123952065|123952250|123952371|123952406|115565210|115569679|123959613|123961866|123962464|123963665|123963842|123964001|123964018|123965511|123965542|123965552|123965588|123967290|123967318|123967412|123969713|115581804|123971058|115583708|115583713|123973332|115585290|123974230|123975092|123975190|123975641|107198713|123977545|123979215|123979452|115591115|123980648|107203450|123980701|123982298|123982423|123982671|123983967|123984494|115596736|123985654|123986325|123987272|123987309|123988127|123988342|123989988|123990330|123992147|123992175|123992360|123993224|115607093|107219586|115615007|115620439|115623141|107246272|115638871|107262288|107266984|115659297|115660217|115660253|115660255|115665681|115666060|115666693|115666812|115667253|115668374|115669768|115677474|115687201|115691500|115691804|115692084|115692710|115693666|115707131|115707138|115708230|115709794|115709807|115712603|115728507|115731422|107343418|115735865|115737783|115737868|115739198|115747745|107360215|107364726|115755501|115756209|115767556|115767640|115774387|115786370|115789702|115790183|115790961|115795633|115799799|115809827|115821499|115824992|115830756|115835730|115836920|115837437|107466193|107466768|107467330|107468042|107468314|107468911|107469047|107470414|107476231|107476813|115874520|115875707|115890104|115893722|115898149|115898173|115911245|115922527|115922547|115964300|115986031|115986054|115986173|116078664|107694384|116083133|124475457|124481534|116099991|116110491|107729957|107733038|107755007|107770771|124562178|107792551|124570375|107796192|116191454|124583617|116199136|116204945|116205461|116206812|107838063|116231569|116233310|107845890|107846500|107847101|116238705|116239664|107851251|107851324|107851676|107851871|116240790|107852452|107854954|107856244|124634594|116252880|116253307|116255437|107868777|107869285|107869439|107869475|107870032|107870244|107870255|124652280|116269107|107885418|107885487|107885507|107885661|124667062|107895483|107904663|107906177|107906770|107911539|107912903|107913156|107913463|107916133|107916448|107917230|107920940|107921803|124703045|107925957|107928143|107928386|107928721|107928798|107932205|107935673|116325969|116334418|107946161|107946370|116336011|107947491|107957961|107958277|107960262|124738823|107962973|107966039|107971159|124753455|107993460|124777172|108003955|108031325|108033246|108035850|108041025|108043860|108073022|108095961|108096082|108097369|108100714|108101030|108101958|108102851|108103198|108103293|108104395|108105210|108106557|108109760|108111779|108116453|108117159|108118960|108125310|108128760|108131839|108132115|108133457|108134058|108134110|108135235|108135331|108136393|108138198|124920460|124920497|124920573|108145788|108145797|108146741|108146784|108147243|108147264|108147915|108147980|108148126|108148394|116537804|116539252|116539298|116539306|108156755|108158216|108160796|108165400|108167365|108171554|108173056|108173113|108176658|108176968|108177292|108177314|108178338|108187766|108188482|116579865|108192834|108193022|108199036|108199072|108200986|116589648|108201332|116591308|108206559|108212299|108223510|108232796|108233024|108234784|108235087|108242643|108244789|108244980|108246323|108246408|108246415|108247576|108248360|108253841|108256078|108263786|108263823|108268936|108270187|108272628|108272658|108272851|108277586|108284131|108284862|108305661|108312988|108313126|108314503|108315948|108317278|108317772|108317796|108318667|108332870|108333312|108335894|108337358|108337610|108339463|108339476|108339487|108339496|108341323|108346034|108354302|108354328|108354508|108360354|108360455|108360807|108362904|108363017|108366340|108366364|108366556|108366596|108372257|108372360|108372725|108373517|116768911|108387211|108387394|108388235|116776926|116778862|116782260|116783865|116784054|100009322|100009853|100010698|100011261|100013272|116791528|116791740|116792714|100016483|100019674|116797907|116802347|100025554|116809985|116810504|100036134|108429119|108430277|108430796|116820064|116820855|116822921|116822946|116826405|116826412|100050959|116830578|100054961|116835065|100058713|100058808|100058901|100066565|100066705|100066892|100067000|100067031|116845064|100068047|100069516|100070574|100071124|100071427|116851705|100075096|100075201|100075208|100075567|100076627|116854738|116854934|116858568|116859012|100082277|116859848|116859883|100082868|116860950|108472964|116861694|100088917|100089748|100089917|100090989|100093144|100093222|100095176|116874208|116874713|116874721|100098307|116875831|100099925|100100234|116877899|116878766|116878920|116879164|116879371|116879421|100103049|100105124|116886089|116886173|100109390|100109747|100110831|100113655|100114970|100116321|100118369|100120744|116901663|100124509|100124555|100126455|100131250|116912022|108530494|116921527|100146832|100146944|100148292|116928380|100156466|100164348|100165368|116945067|116950023|100174364|100175649|116954090|116955984|116956460|116960677|100183962|100184054|100184828|116962634|100186975|100187043|116964793|116968122|116969784|116973548|116973971|116973989|100201717|116982097|100208720|100211997|108604242|100216597|100216605|100216707|100216733|100216875|100216922|100216970|100217657|116995234|108608767|100221434|100222013|100227647|100229485|100230022|100230063|100230074|100230298|100239380|100241046|100242749|100242779|100243262|100244277|108633915|100248096|100249200|108643423|100255053|100255276|100255409|100259031|100259497|100259522|108650220|108651255|117052115|117052453|108664568|108671106|108675456|108685706|100299963|100301825|117080648|117080674|100303480|100303490|100303535|108701747|108705718|108708040|108708239|108710052|108725259|117114406|108730341|108730380|117127084|117127364|108746557|100358222|117140308|100372102|117154589|117154605|108774483|117176515|100401386|117188276|108802448|108819304|108821021|108861399|108872810|108877562|108885378|100498782|100505365|100506218|100506585|100506587|100516183|100516272|108905850|100526023|100526671|108915628|100527363|100532680|117312839|117314615|117319658|100553189|117331639|100555361|100561421|100566487|100569060|117349314|100573941|100574963|117352180|100575415|108964746|108965268|117354369|100577328|100577550|100577875|100577889|100577899|117360689|100583930|100588783|100593138|117371709|100600210|100606266|100607600|100607803|100615612|109004761|100619591|100631319|100633094|100636059|100636542|100637201|100637501|109026786|109028595|100640770|100642404|109036719|100652614|100655895|100821948|117693948|101036778|101149550|109691080|101419863|109823682|101441685|101468999|109951098|101619535|101619620|101625508|101627398|101627453|119388608|119393183|103807526|103840490|103840501|103841114|103847656|103849995|103850506|103852379|103852391|103865953|103866308|103866321|103867575|103876436|103878038|103901695|103921160|103975338|104059943|104198388|104198782|104198887|104202344|104324595|104460604|121334051|121334061|121334286|104946352|113441597|113475880|105750765|106116924|123952197|123969967|123970673|123975634|123986100|123988016|115692744|124600078|107881761|108180960|116589415|108335898|116802401|100090166|116881178|108749762|109322266|101155951|101233417|118338591|101593297|118516626|102381383|119353688|119368405|102628124|102628304|102905394|103928520|103973397|103974018|120977462|120983804|113375833|113479800|113558310|105453619|122754365|122787597|122790949|114641509|106918224|115680800|115692168|115737959|115743088|124553146|107792342|124673568|124695678|116783741|116784721|116855201|116870754|100093913|100135171|116917503|100251765|100636496|101006787|101192037|110086021|110086032|110086189|118928052|119129566|102516742|103854217|103867007|103870456|103870505|103905390|103914841|103935468|103973360|103974291|104197426|104660988|113321910|113322064|107172902|123986009|115667182|124623738|108387518|116786674|116824025|116828240|116854770|116860483|116870923|116870941|116879096|116882953|116917483|108829247|109383004|102607219|102631942|102632689|103971301|103971316|103971388|103971469|103971485|103971492|103971501|103971543|103974059|103975024|103975036|103975117|103975278|107119832|100123002|100182123|109282035|101006772|118635960|121212460|113562804|123974479|108247449|108295223|100028742|116860591|100258278|100304241|100634230|118766701|103019498|104783910|105754161|115462736|115585042|116784844|116794297|116816857|116819856|116819883|100215605|100261226|100924450|100973041|117961361|109836242|104199665|105747039|105748443|105749993|101149516|103840716|103868697|102629318|113636862|103915488
foot.n.02	foot.n.02|yard.n.01	109062255|100932997|100933440|100933464|100934215|100935058|100936983|100940902|100940924|100950939|100989895|109683182|109683203|101438002|101444053|101451456|101460576|101460602|101460709|101460726|101791533|102015406|102015414|102015426|102015431|102015440|102015449|102015466|102015476|102015511|102015534|102015874|102015972|102015982|102015992|118863069|102185634|102186830|119165490|120553462|120575122|120575556|120575562|120575633|120575660|120576053|120576135|120576164|120576644|120576660|120576664|120577443|120577495|120577676|120577684|120577699|120577736|120577747|120577755|120577789|120577978|120578071|120578204|120578499|120579150|120579159|120579489|120579600|120579684|120579694|120579702|120579711|120579717|120579729|120579825|120579870|120579886|120580028|120580316|120580342|120580822|120831556|120831689|104072328|104101417|121334215|104644239|104644365|104644376|104644392|104644474|104644952|104658680|105069357|113465348|105123007|105178164|105264761|105266095|105266190|105266268|105266332|105266389|105266567|105266714|105266872|105267084|105267157|105267274|113671432|113673628|105316270|105332816|105373326|105373658|105373714|105448482|105448500|105449097|105456525|106803939|106804043|106804059|106820656|106820662|106926268|107063045|107098634|115492047|115536393|107160684|107160710|107181958|115659341|115662446|115662462|115662479|115664557|115670696|115670942|115671059|115688140|107307816|107307861|115722324|115724097|115728224|115728533|115728539|115731902|115732151|115732507|115732765|115732968|115733482|115735677|107355198|115792116|107457568|107476087|107476397|124321004|107567085|115975784|107592235|107600296|107602628|107602646|107613040|107627833|116058533|116058591|116058600|107754428|107754444|124571351|124571390|107804926|116194362|116194391|107814608|107835873|116241044|124662398|124765900|116868757|116878021|108577574|108577640|117011635|117044067|117044179|117049691|117050149|117089789|100358030|100367103|117154363|108791446|117200351|108815932|117219032|117219047|100561931|109017307|118657349
foot.n.03	foot.n.03	100808694|117638764|101662751|110078675|110163228|118880705|102518846|102636902|102637280|113921410|113922679|113926322|113928031|105765710|105765838|123157475|123539162|107147655|123969383|123989252|115660205|115721543|115726694|115732828|115747828|115760362|115763663|107705676|116812318|116862147|100109258
metrical_foot.n.01	metrical_foot.n.01	109322084|109881304|109881316|109881433|102077057|104644168|104644177|104644257|104644417|104644439|104644558|104644724|104644899|104645042|107467128|107467349|107467372|107467385|107467669|107467720|107467776|107476114|107476330|107476386|107476490|107476544|107476712|108976417
heel.n.02	heel.n.02	100846529|101086120|113320324|113362081|113514861|105154636|113573638|122674961|106916737|107098314|107104155|107194254|107202278|123982373|107304039|107304128|107317858|108070160|108171569|100052120|100101514|100195906|100209959|108783554|100459618|100606965|109003373
toe.n.01	toe.n.01|finger.n.01|big_toe.n.01	101197778|101468007|101481356|101926137|119362375|102614950|102638129|103012915|103846523|104202632|104204287|104205100|104869078|113320801|113548885|113614043|122653566|106542286|123950654|115737980|107866587|107866605|100343194|108785932|102643698|123133418|122777147
foundation.n.03	foundation.n.03	117592776|117638782|109909929|109993821|102637270|102637310|102637313|102637327|102644005|120831284|121338379|104676210|115625967|115660247|115660387|115660397|115660401|116806675
footstep.n.03	footstep.n.03	118937637|113409072|105153348|107756187|100299976|117180025|117210553|100486877|100521971|100534166|100546924|100584620|100616448|100625425|100628825|100655753
foot.n.07	foot.n.07	100810410|102993021|113713618|122658741|114655086|124481794|116118163|107921697|124777037|108065985|100086439|116927090|117129565|100589684|100652970
step.n.03	step.n.03|pace.n.04|run.n.07|dance_step.n.01|footstep.n.02	100794954|100852667|101204450|101211587|101664164|100505906|100528013|100532493|100537112|100551353|100605001|100617739|100621245|100640469|102381404|102956031|116853804|100125868|108565456|100545372
