sign.n.01	sign.n.01|marker.n.02|indication.n.01|token.n.02|evidence.n.02|trace.n.02|symptom.n.02|token.n.01|argument.n.01|symbol.n.01|clue.n.02|seal.n.05|mark.n.06|imprint.n.04|hint.n.02|proof.n.02|milestone.n.01|mark.n.10|stamp.n.03|mark.n.04	117453500|117466114|100693040|109084925|109084950|109085192|109087473|100704428|117487454|109112832|100729162|100755749|109167236|109167406|109181784|100801717|100806577|117589769|117598916|117607670|117612540|117612572|109239009|109241855|117640698|109260571|109305601|117694590|117694631|117694641|100919777|109321068|109321159|109321199|109368195|109368239|117765449|109396354|109398628|101010831|109402962|101279603|101279613|118173624|118309941|118329765|118329798|109960642|118366488|101590598|101600858|118411470|118420097|118425315|118435960|118436717|118440435|118450802|118453133|118457952|118462733|110089094|118478833|110097521|110097525|110100383|110100429|110100439|110100443|118491994|110106123|110106558|110116442|110116462|110120692|110134443|110134712|110134716|110134723|110134732|110142860|110147551|110150911|110150997|110169726|110193631|110199587|110242281|110242325|101873415|101874269|101931180|102071274|118883389|118886239|102174842|102184127|119006287|119006872|119008410|119017899|119017954|119029533|119029587|119037066|119037096|119037113|119041408|119041492|119041497|119041589|119046241|119046253|119046257|119058803|102324849|102430617|102601828|111190017|102916609|102917218|103127456|103250620|103323040|103458550|103517516|103517520|103537898|103538247|103538404|103538492|103538539|103538589|103542428|103768757|103771390|103772339|103775954|103795047|103800890|103807541|103813688|103841959|103842067|103842220|103842293|120668137|120673501|103899776|120681245|120681490|103906845|103907438|120693438|103937763|103944043|103944106|103944150|120726156|103953817|103954375|104015862|112416101|112421658|112424220|104112566|104113270|104131500|104131542|104131581|104135451|104137011|104147999|121033948|104305435|104359704|121142747|104466707|104466801|104466834|104466857|104466907|104466938|104467784|104467947|104474272|104474282|104475047|104475109|104484415|104486279|104487143|104487461|104487485|104487521|104489352|104501118|104501195|104505645|104508225|104530172|104554191|121377444|121377498|121377804|121377821|121377910|121377981|121394739|121406622|121406859|121411631|104654787|121500050|121514530|104780794|104781003|104781082|104781445|104781482|104781558|104781579|104781595|104781664|104781680|104781768|104782004|104782064|104782192|104782205|104782252|104782427|104782600|104782607|104782627|104782640|104782677|104782810|104783597|104784321|104784378|104784497|104784511|104784524|104873498|104912046|104912644|104914651|104918434|104919572|113350649|104971731|104974337|104974869|104995406|104999633|105010576|105163068|113590485|121990878|121992591|121992776|121992861|121995597|121995716|121995746|121996210|121997106|113627439|113639498|113642222|113642606|113642741|113644111|113663334|113693063|105312266|113730619|105418335|105426433|122718132|122676842|122702398|122718784|122718819|122718868|122718907|122718917|122718934|106113775|106113968|106114072|106139207|106176449|114635218|114637763|114657653|106356250|106416409|106451300|106479039|106502492|106504471|106548662|123332649|123332986|115252871|115252993|106902530|106932109|107018156|107018160|107089968|107090166|107106363|107107513|115497171|107113336|107114401|107160955|115564037|107193891|115593847|115662268|107296319|107297270|115752417|115813417|115826864|115826995|115827154|115882335|115955846|107674271|116069947|116073818|124482092|107813925|107851551|116244491|116264389|107888161|107895398|116286847|116295708|107971270|107971685|107971706|108014673|108093414|116546251|116558326|116558343|116558362|116558513|116558546|116558576|116558591|116558655|116558703|116559725|116559893|116560037|116560073|116560080|116560089|116560217|116560283|116560290|116560319|116560343|116560352|116560359|116560376|116560382|116560399|116560410|116560520|116560528|116560537|116560544|116560600|116560639|116560664|116560688|116560699|116560724|116560740|116560751|116560796|116560823|116560886|116560960|116561083|116561090|116564912|116564921|116564942|116567437|108184097|108184130|116573679|108205237|108208423|108208621|108208626|108248121|108248174|108253642|108262119|108262487|108262839|108276317|108282973|108308777|108310539|108316969|108328659|108328907|116840336|116840386|116961729|116969759|116976689|116978970|108590735|108590742|108597941|108598046|108600561|108610837|116999952|108655337|108660117|108668250|108685656|108686733|100312597|108715374|100352075|108746682|100370821|108768036|117156666|108768102|117157074|108789627|108806992|108810810|108815176|108818326|108848082|108876601|108879758|108898549|108910713|108947732|117356586|108976096|108976797|108984409|100615077|109028770|109035459|109062568|100946160|117764894|109388405|109394302|117795946|101066215|101272339|101483392|118313177|118329781|118350636|118354857|101583326|101638349|118439101|118445390|118450813|103137547|103250736|103280047|103794378|103903970|103908870|120781362|120985097|104351274|104474697|104555728|121407545|121408561|121408674|104644420|104644440|104781536|105264649|113674196|106193649|106193708|106316735|106528334|106786237|106922920|115575901|107331562|115722162|115751841|116013742|107728574|116126472|107823992|107825573|107831496|108296294|108321270|108321336|108342913|116824229|116864196|116864231|108888808|100670116|100710181|100789912|109306840|109306961|109349063|101128762|101257335|101257361|101279377|118319919|118349094|118386547|118410911|118412302|118413263|118416964|102437432|102520741|102916566|103117951|103158342|103311551|103797294|103842595|103850140|103885159|103901016|103901057|103969736|104015306|112416069|112423296|112425230|104222903|104267589|104342242|104370005|104483953|104484232|104485240|104488017|104488026|121393166|104717993|104783170|105207332|114646080|123132838|123345405|123544261|123561150|107237790|107359740|107424246|116184013|117341856|100660051|100674885|100720995|100781174|109396385|101274375|101280810|109979364|101606183|118409391|118447308|101792494|102150033|102174656|102361070|102362953|102377668|103346698|103663907|103663967|103664009|103664266|103664341|103664361|103664543|103664592|104187200|104187771|104291793|104294680|104301859|104469734|104469854|104515348|104515359|105036532|113489665|113528101|122008387|122008440|105269755|106129190|106405195|115661486|107364676|108084957|108098426|108123546|108266264|108532737|116957693|100511700|108932066|100675537|100695338|101151326|101267753|118175849|118447219|103345978|103356990|103627278|103800807|103970958|104195678|104201284|104238833|104484578|105456490|114637562|114638257|106803857|107073864|107237735|107536668|117313729|101275486|101275515|101275540|101276635|118416087|114639534|115593692|115689671|115711141|115735445|115735503|115740460|115740574|107530828|107580101|107588296|118438280|102523019|102528652|119350334|119354737|102594326|102611126|103095804|113490037|109504818|109836281|110218046|104291403|104474682|106405214|103413307|103468436|107736247|100310715|100396826|104105957|106353190|106353197|123655101|115543227|100826344|101275403|122731047|107144529|101326651|103259386|103259635|100663956|118670862|101762680|101762727|104065865|105050522|100823668|124653494
point.n.01	point.n.01	117800789|103543487|103614453|103971162|104133989|104133997|104134059|104134426|104134661|104134833|104252913|104268054|104268224|104268561|105581842|105860070|105860082|105860229|105860253|105860503|105860506|105860720|105860734|105860746|105860765|105860865|105860877|105860893|105860972|105860991|105861066|105861133|105861159|105861747|105862297|105862344|105862618|105862622|105862634|105862718|105862843|105863017|105863096|105863114|105863125|105863141|105863290|105863314|105863338|105863437|105863549|105863645|105863829|105863863|105865037|105865682|105865820|105865842|105865867|105865890|105865993|105866136|105868195|105868208|105868224|105868238|105868257|105868316|105868426|105870083|105870615|105871157|105871179|105871475|105871732|105871753|105872042|105872434|105874412|105874468|105874483|105874781|105875124|105876432|105877528|105877577|105877860|105878568|105878703|105878897|105878944|105878949|105878970|105879249|105879761|105879798|105879817|105879861|105879913|105879951|105879970|105880048|105880060|105880103|105880131|105880391|105880416|105880498|105880552|105880649|105880655|105880723|105880747|105880767|105880847|105881157|105881177|105881262|105881455|105881461|105881474|105881488|105881518|105881539|105881557|105881693|105881698|105881745|105881762|105881787|105881812|105881903|105882001|105882199|105882259|105882278|105882386|105882414|105882463|105882497|105882529|105882555|105882582|105882591|105882621|105883639|105883704|105883992|105884005|105884021|105884083|105884227|105884490|105885416|105885432|105885436|105885500|105885597|105885640|105885794|105885898|105886300|105886978|105887583|105887589|105887678|105888007|105888048|105888439|105889316|105889354|105889372|105889678|105889943|105889949|105889984|105890007|105890601|105890712|105890733|105890926|105890957|105890987|105891019|105891033|105891054|105891253|105891400|105891422|105891548|105891556|105891685|105891851|105892223|105892284|105892547|105892712|105893056|105893221|105893947|105894081|105894651|105894848|105895014|105895044|105895201|105895216|105895374|105895479|105895512|105895531|105905568|105907476|105907941|105908413|105909491|105910068|105910997|105911863|105911943|105917982|105954438|105963139|105963333|105963450|105963590|105963610|105963645|105963763|105963785|105963838|105964379|105964429|105964560|105964582|105964635|105964769|105964775|105964789|105964848|105965110|105965134|105982532|105983941|105985355|105994960|105995002|105995112|105995126|105995598|105995628|105996001|105996883|105997234|105997239|105997265|105997280|105997487|105998002|105998430|105998460|105998495|105998748|105998775|105998803|105998815|105998837|105998890|105998906|105998928|105999151|105999343|105999362|105999983|106000234|106000510|106000593|106000768|106000798|106000813|106001045|106001504|106002375|106003706|106003729|106003764|106003784|106003828|106004319|106004403|106005536|106006129|106008058|106008684|106008708|106008744|106008787|106008800|106008896|106009821|106009984|106010469|106011506|106011567|106011623|106012413|106012481|106012772|106012792|106012956|106012973|106012991|106013007|106013238|106013254|106013270|106013313|106013363|106013379|106013408|106013425|106013546|106014411|106015400|106015418|106015436|106015455|106015480|106015498|106015540|106015576|106015594|106015612|106015630|106015662|106015679|106015702|106015735|106016387|106017145|106017775|106018353|106018646|106018691|106018708|106019109|106019127|106019255|106019429|106019489|106019515|106019994|106020186|106020204|106020827|106020877|106021246|106021646|106022090|106022480|106022926|106022931|106022984|106023025|106023084|106023112|106023129|106023832|106025372|106025997|106026864|106027956|106028602|106028617|106029754|106030135|106030320|106030859|106031157|106031613|106031679|106032031|106032075|106032709|106032962|106033454|106033477|106034618|106035248|106036227|106113171|106113187|106117808|123078850|106311130|106311159|123165863|123166644|123166655|106426347|106437752|106437801|123219985|123240323|123240336|116584090|116584106|116584129
signal.n.01	signal.n.01|sign.n.09|gesture.n.02	109088119|117592178|117592696|117625736|117625791|109396544|101010767|109402822|101041108|101206578|101211889|101224679|101246576|109652797|101339674|109738403|101511373|101568745|109979266|109979441|110023712|101688217|101688867|110108740|110147397|110147658|110150447|110150661|110155711|110165344|101785919|110186814|110192474|110217583|110243119|110244452|118634965|118636756|118637746|118638513|118641504|118643367|118644374|118651830|118651880|118653001|118655347|118657830|118666729|118671138|118671567|118672234|118672434|118684025|118684124|102247698|119039951|119041675|119046577|103477916|103477926|103487737|103517510|103517512|103538370|103538382|103538509|103538543|121034024|104474300|104487402|121352487|121405369|104643554|104644247|104644270|104644296|104644315|104644336|104878415|104878453|104878562|104882604|104919785|104932673|104977410|104977435|104980942|104994442|104998190|121992656|121996806|113657127|113671987|105673733|105775250|122718806|106126246|106374609|106413084|106502517|115342391|115421876|107097590|115498190|115498674|107113889|123895053|107125911|107175367|107194396|107222144|107270475|107278973|107371718|115868356|115882205|115883119|115955882|115955920|115965671|116000252|116101105|107736031|116190412|116214383|116217700|116229849|107883055|116288763|116296034|116296078|116296653|124696680|116558631|116558663|116558694|116560130|116560565|116560591|116560917|116560922|116560927|116561045|116561057|116561107|116561133|116564926|116565018|108253045|108260158|108280201|108379916|108379934|108385925|108385963|108385993|108386022|116777677|117011914|117011937|117012017|117012054|108624368|108625440|117017717|108709487|117110550|117110592|117112600|117116659|117119230|108736293|117149025|117151243|100382918|100395155|117192881|108820305|108835910|108869637|108871904|108872075|108876083|108965050|100613572|109020227|109024378|109026530|119040081|117314522|103923795|104643723
augury.n.01	augury.n.01|omen.n.01	109052143|109052916|117472267|109087556|109167532|117582185|117582555|117593682|118177606|101688318|110097508|110100450|110106446|110116472|110121035|110123801|110125339|110125755|110142552|110142638|110149381|110149501|110152422|110156612|110157184|110157582|110165782|110167429|110168224|110169109|110169850|110174476|110175216|110205971|110243092|110243881|110246378|101913428|101913567|101942916|102007888|102111060|119011606|119041547|119046264|111173037|103268208|103268232|120664439|120684022|120688467|104127822|121036387|104501419|104501423|121339326|121377355|121377837|121405097|121405849|121406866|104781436|104782094|104784827|104784935|104912632|104914534|104918095|104918110|104971989|104994754|104999639|105007658|105009757|105014962|121941513|105198697|121983314|121995704|122009576|113730644|106435019|106480932|114983379|106902570|106932540|115478295|115478402|107090308|115526711|115626803|115642861|115649964|115662735|107355912|115749458|115827302|115829374|115880242|115880361|116130356|116175848|116176115|116192653|107892737|107892812|116325610|108035009|108116194|108119506|108121114|108128882|108136814|116558813|116560236|116560268|116560788|116561019|108185346|108186192|108248879|108253873|108301480|108318855|108358297|108358359|108369122|108372136|116887263|116920144|116965680|108621128|108634859|117076449|117140207|108860461|108879788|108914481|117328247|109022737|109035393|109055559|109068597|109068732|117612652|109321737|109393953|109394227|118180563|109912311|101524552|110011534|118458051|118664943|118669633|118694648|102163100|119067467|119080466|103420253|103842646|103864851|121339520|121340205|121340217|121340226|121340260|121340271|121340293|121340308|121340327|121340356|121340385|121340470|121340534|121340738|121340767|121340861|121340891|121341103|121341286|121341350|121341491|104657404|104688718|106861472|106861676|106861932|106881488|106881525|106902483|106902658|106911283|106932711|115407813|107073279|115462597|107077219|107087238|107090277|115492694|107108772|107130845|107131366|115539343|115541187|107160550|107181914|107280278|107283039|107296862|107352163|107360894|115778964|107428980|107825879|107845836|108562663|108583974|108584085|108619406|117023843|117076313|108688891|108740829|108755649|108759273|117157103|108768630|117164067|117164759|117164776|117164982|117165024|117165050|117186515|108818686|117228251|108883483|108883623|108891350|108891974|108893215|108893264|108897583|108897614|108897993|108910601|108964626|108992459|109001261|109036733|109049407
standard.n.06	standard.n.06|flag.n.01|national_flag.n.01|ensign.n.03|device.n.05|crest.n.04|coat_of_arms.n.01	109053992|109054212|109089541|101082340|101447204|101588061|110006493|110021493|118448274|118687765|115386756|115395758|115453508|115481282|115485338|115489972|115508122|107135870|115530420|115532565|115532642|107157920|107172489|107206599|107206660|107206674|107216804|107242450|107270787|107276987|107283102|107288380|107293773|107300453|107300680|107300684|107315945|107323098|107323113|107325731|107347202|107347215|107347363|107366521|124317981|124530813|124541535|124542849|124543552|124543584|124567339|124575764|124575862|124591053|124614973|124616078|124616320|124622478|124625305|124625357|124625454|124631668|124631813|124640401|124641920|124654981|124655034|124689212|124707322|124725531|124725543|124725561|124725575|124741452|124741557|124750440|124757794|124778493|108119432|108250587|108250862|108294044|108294376|108605853|108605862|117003541|117005245|117005304|117011364|117011397|117039832|108668900|117062780|117063423|117088316|117088523|100319437|117119253|117119267|117125124|117125795|117129604|117129732|117145584|117145686|117145712|117145812|117147872|117152629|117152838|117158068|117187079|117194730|117197043|117205060|117220626|108835705|117233080|117236415|117236615|108908878|117315128|117327642|101246571|118653745|118653779|115342241|115342324|115374920|115506198|117223567|117351761|101564303|101567419|101567433|116119761|116228918|108773069|108767898|117223513|117234044|100640960|120993544|116805800|100613589|100906615|115647324
proof.n.01	proof.n.01|evidence.n.01|confirmation.n.01	100678944|100688459|100691992|100707534|100715555|100765200|100773438|100773768|117598973|117609148|100835858|109399269|101128807|109695313|109792775|109910284|118369659|118862954|119207855|102524654|102527449|103103995|103108038|103108054|103151228|103156927|103173099|103218719|103226771|103227130|103252789|103262006|103271391|103312706|103323213|103324668|103329546|103342453|103346445|103424434|103429415|103537775|103578893|103591261|103683271|103767560|103771711|103773537|103780696|103793166|103800552|103815512|103818214|103846020|120641579|103886482|103892868|103892972|103912913|103917920|103933885|103952550|104147193|104185417|104237816|104287926|104314464|104368803|104522508|104522595|104543145|121426087|104657048|104661452|104661645|104674319|104688744|104692534|104692767|104712105|104714730|104752308|113352410|105173365|105300433|105329070|105435894|114655699|106496715|106550745|106557242|115454576|107085626|107239585|107534181|107611251|107615910|107644990|107671424|107711200|107727298|107731504|107735981|107755170|107788750|116560834|108704796|100330987|108778566|108825092|100487699|108952356|108973422|108973570|100714365|109306296|103362434|103381366|103772628|104118112|104150840|104286399|121420429|123123380|106926340|107138968|115565491|103405999|105304220
symptom.n.01	symptom.n.01|sign.n.06	109331159|102507334|102518452|102518564|102518705|102518732|102519981|102520715|102520826|102521666|102522142|102522403|102522411|102522431|102522585|102522599|102522816|102522903|102523115|102523444|102523954|102523984|102524033|102524095|102524132|102524191|102529083|102531325|119338277|119341575|119343594|119349327|119351086|119359054|119361182|119365070|102596562|102596799|102596828|119378308|119378323|102619759|102628185|102629795|102630825|102631836|102639932|102641474|102644222|102651490|102652255|102652767|102653659|103908061|103921275|103921473|103942744|103944307|113540677|106183956|123335743|118110359|116560309|116560969
point.n.02	point.n.02|topographic_point.n.01	117587252|117593369|103820548|103820599|103820671|103840965|103841020|103841050|103891638|103946505|103949633|103968616|103968670|103969982|103970598|103970783|103970865|103971219|103971665|103973170|103973398|104111585|104133790|104155918|104206190|104267871|104267996|104674472|105445247|105965127|105998398|105999766|106027125|114641746|123073229|123116988|106352498|123173686|115251292|115251628|107524478|107540879|107550987|107554902|107557560|107559438|107565580|107567195|107568174|107570941|107575285|107599074|107655426|107714753|107783883|116584149|105266316
symbol.n.02	symbol.n.02|emblem.n.02	117481703|117558601|109229640|118333383|118383688|119100856|103164730|103197750|103417736|120672026|104027916|121258818|113455989|113492918|105769872|106179399|106180899|106181568|107677001|108031801|109943086|109960720|109979300|106295699|106525876|123652813|123655117|115568107
standard.n.05	standard.n.05	109082926|110045633|119032279|119047997|107315984|107362430|107362506|124567291|117145958|117145972|117236634
