size.n.01	size.n.01|magnitude.n.01|enormousness.n.01|extent.n.02|largeness.n.03|size.n.05|extent.n.01|dimension.n.01|acme.n.01|width.n.01|area.n.06|smallness.n.01|size.n.02|depth.n.01|narrowness.n.01	109071988|109091069|100720260|109116854|100754328|100773087|109167669|109170645|109180819|109229772|109245399|109266833|109277396|109277786|117681112|100907672|100909954|100924805|100924933|100926940|100928393|100940001|109350575|100968683|100987658|100994824|117800586|117805374|117806312|109680168|109701829|109702575|109712887|109714728|109714827|109715079|109718063|109720293|109722371|109730405|109734410|109766808|109766942|109767682|109769678|109771972|109772284|118173092|118173518|118180192|118180225|118180360|118180374|118181023|109801949|109802030|109812790|109815964|109817000|109821268|109823738|109826485|109833315|101450292|109851366|109852536|109852631|109853678|109856559|109889232|101518168|118296831|118320707|118337703|109965943|109970605|109971415|109971432|109973215|118372948|109985068|118373882|118375857|118377559|101609386|110009059|101622442|118400809|101626300|101626330|101627441|110021067|110023610|101635028|110035316|110036392|110036608|118427061|110043588|118446822|118447043|118447254|118450765|110069014|110069778|101684566|110077339|110078452|110082280|110084738|110085440|101697510|110086176|118475698|101716509|101717511|101781707|101819531|101838074|101898971|118720853|101976893|118758990|118771889|118777153|110389328|110390411|110390646|118779295|118781117|118781540|118781652|118784419|102011365|110400006|110400089|102011534|102011588|110401636|110412787|110413085|110413782|118805599|102084898|118875455|118882832|118883312|118883589|118887907|118896404|118897247|118901500|102169334|102186162|102186942|102222583|119079399|119097282|119106456|119113617|119113650|119117232|119117439|119119313|119122408|119124804|119125562|102358326|119138146|119140972|119142224|119148233|119149434|119155174|119161481|119167361|119167842|119168087|119169224|119169294|119170055|119174564|119178724|119179631|119181199|119182881|119184106|119186759|119187548|119191047|119191403|119191476|119203068|119203421|119210199|119210305|119210823|102515884|119334999|119363082|119363121|119364494|102595235|119375188|119386643|102611669|111153532|111153786|111155507|111155739|111155816|111156722|111163775|102779675|111175157|111175309|111186567|111204132|103476386|103480932|103488029|103570156|103612613|103628608|103628625|103628793|103629412|103629589|103631779|103632403|103634459|103634523|103634773|103634950|103634984|103638496|103639070|103639292|103639440|103641692|103643342|103643425|103643461|103643621|103643988|103765022|103765775|103770062|103772566|103775261|103775312|103776793|103780375|103782743|103784380|103785294|103785804|103786353|103788231|103789539|103789617|103792320|103793119|103793142|103796699|103796727|103797019|103797043|103797081|103797228|103797323|103799173|103801641|103805171|103805192|103805242|103805312|103805528|103805627|103805653|103805734|103806106|103806823|103806996|103807042|103807087|103807362|103807657|103807744|103809308|103809641|103809865|103812855|103812887|103813388|103813415|103815365|103815702|103818159|103840913|103844200|103844327|103844401|103845378|103846168|103849582|103853048|103853782|103853843|103853982|103854025|103855070|103858214|103861650|103865172|103868977|103869533|103870903|103870912|103872552|120650187|103873318|103880071|120657445|103880697|103882327|103882855|103883894|103886541|103889216|103890764|103891071|103891377|103894890|103895379|103897198|103898379|103899889|103903066|103904231|103905609|103906756|103909994|103913396|103913410|103913666|103913801|103914223|103914236|103919966|103922842|103923901|103927146|103929066|103929878|103930215|103930293|103930308|103930419|103930534|103930684|103931392|103934680|103939676|103939879|103967482|103967897|103968091|103972679|103972943|120761151|120778475|112394535|112397037|112397061|112405317|112428061|104106955|104107248|104111448|104113686|104113775|104116658|104116798|104116807|104116816|104117123|104118774|104123712|104126324|104135053|104135089|104146383|104148516|104149844|104151676|104152158|104153536|104156346|104157697|104182151|104182928|104185166|104186678|104190171|104190418|104190481|104191216|104191330|104191453|104197835|104201979|104202595|104202626|104205045|104205062|104207394|120985159|104210006|104210146|104226932|104227736|104236926|104252557|104252576|104257433|104292449|104301384|104301836|104308798|104317605|104358200|104358470|104358727|104359324|104359434|121229735|104461444|104469577|104470078|104471654|104518997|104543937|104555733|104643948|104643979|104644287|104644310|104644449|104644638|104647765|104648083|104653049|104659909|104664236|104664788|104666180|104668676|104670650|104671283|104671514|104672465|104672579|104673169|104673253|104674080|104675333|104675856|104676005|104676103|104676491|104677408|104678036|104678713|104679563|104679920|104680119|104680326|104680466|104681340|104681452|104682342|104682508|104682628|104682780|104683001|104683775|104685241|104685409|104685533|104685806|104691749|104694356|104695172|104695583|104696269|104696289|104697512|104704016|104704469|104705092|104706252|104707686|104708447|104711779|104712383|104722290|121512222|104752568|104753349|104754023|113335088|113339724|113340493|113346510|113370608|113386631|113431481|105045558|105046022|105046179|105046194|105046350|105049812|113486346|113492023|113554421|105179360|113567978|121960421|105183464|113572078|121960967|113576784|113580358|105213084|105217079|105221091|105228007|105238708|105252815|105295204|105295231|105297800|105307174|113697196|105311673|113701134|113707488|113707597|105326903|105327173|113730098|113731342|113731754|105349205|113759256|105410087|105433106|105448571|113921948|113924431|113924626|113924867|105747781|105765233|105766030|105766501|105766952|105767827|105825179|122608738|122608747|122713151|122725549|122725570|122726063|122726522|122726680|122726695|122726851|122730340|122730371|106114405|106125475|106188694|106251047|114663114|114663888|123074087|123079628|123079751|123131114|106383452|123164562|123251466|106509992|106523426|106734855|106736399|106748973|106754496|106758952|106771207|106792166|106793790|106795478|106795680|106795742|106802162|106804066|106804085|106819913|106828731|106830953|106842986|106844527|115236542|106850911|106854229|115244802|106858198|106861824|115261184|106877338|106882210|106885733|106895134|106896704|106901759|106902503|106911231|106921709|106924708|106925005|106925017|106925596|106926320|115336600|115360589|115367023|115367961|115368052|115368505|115388335|115397273|107049835|107052382|107053739|107053990|107067964|115461055|115469352|115479569|115496003|115497565|107138192|107144412|107144516|107145465|107149095|115545391|115565259|115565290|115567823|107181871|123960208|115577427|115577459|115577674|115579788|123968461|115580142|115583240|115583706|115590627|107202374|115601272|115603311|115606987|115608792|115625943|115632379|115649381|115661351|115662143|115664183|115667411|115667958|115673340|115696285|115707302|115708697|115711838|115712697|115723879|115726102|115727371|115727511|115729350|115731606|115732080|115733798|115735927|115739436|115741136|115742795|115747042|115747079|115747751|107360281|115750850|115756112|115757000|115766981|115769087|115771250|115771394|115772455|115791566|115791621|115794585|115795126|115795163|107477816|124742684|107531170|107532308|107554299|107554319|107555060|107556597|107564700|107565326|107565861|107567380|107567407|107569015|107574839|107575931|107576684|107578228|107578294|107578325|107578370|107590117|107591157|107592248|107598031|107598935|107602657|107603630|107606131|107613318|107616423|107618886|107640740|107641410|107677161|107727335|107744501|107748828|124531079|124531272|124540932|124541062|124546143|107770829|107770859|107777827|107788266|107788298|107788345|124566099|107789221|107791661|107800227|107800277|107807197|107815819|107818210|107819411|107820330|107828567|107831591|107832074|107833171|107833226|107833901|107835761|107837183|107837959|107837974|107839344|107840705|107840715|107842190|124622740|124626571|124661654|124667614|124680386|124683085|124692393|124698148|107936625|107937443|124750201|124915866|124920502|116537721|116537848|116578492|116581635|108337098|108380459|116776480|108387929|116778040|116779815|116780724|116782750|116792614|116793017|116793057|116793843|116798089|116805931|116811816|116811825|116812474|116812584|116822353|116824632|116834824|116838213|116839265|116842566|116855465|116856191|116856454|116860233|116860731|116862441|116862611|116863966|116864469|116865396|116867198|116869465|116869993|116871687|116871769|116871884|116872664|116872889|116873178|116874046|116874699|116875129|116877573|116877675|116878163|116878494|116880708|116880771|116881048|116881429|116881476|116882949|116883653|108538655|108539324|116942581|116944861|116946387|116950013|108565249|108567754|108582547|108582552|100211801|116992280|116995419|108632303|117021468|108658714|117053188|108672696|117064830|117077755|108694587|108714134|117117587|108734397|117144555|117205818|117212198|108884000|108884025|108894347|108903151|108905577|108916479|108919086|108928656|117317647|117330986|108998489|109004354|109005437|109024034|109043266|100670520|100670717|109072300|109084691|100700633|100707307|100710829|100713559|109122557|100756940|100765381|100767990|100778377|109191062|117617551|117626802|117631864|117637471|117640540|109257328|109267780|117677790|109306978|109330307|101064623|109648080|109648121|109651148|101432128|109827176|109867168|118304979|109945726|101590050|118376834|118377540|118427131|118435280|118442067|118450701|118460499|118486082|101712948|101800362|102148154|102150428|102152713|102158269|102185612|102186654|102231292|102271088|102271772|119347756|119369535|111151045|111151580|111151708|111153873|111155629|111155720|111155777|111159061|111159114|111159809|111166506|111174518|111174526|111175870|111176992|111177860|111180089|111180119|111188910|111191925|111192319|111192426|111205603|103035033|103101425|103542571|103542577|103543363|103543451|103554700|103568576|103568585|103568597|103568627|103568657|103575058|103581123|103581754|103581991|103582022|103584279|103584828|103584831|103586392|103586557|103587888|103612154|103612185|103612192|103612217|103612243|103612393|103612515|103612643|103612692|103614834|103614956|103614962|103614983|103615054|103635150|103636252|103657976|103657981|103664620|103678545|103819018|103819852|103819858|103819869|103820052|103820090|103820198|103820224|103820283|103820318|103820336|103820365|103820375|103820376|103820498|103820505|103820642|103820710|103820768|103823399|103823416|103823428|103823727|103823762|103823768|103823805|103823818|103823834|103823914|103824076|103824435|103825468|103825533|103828662|103838088|103848786|103852307|103853233|103860649|120640747|120644113|103872458|103911782|103947133|103950070|103950156|103951040|112396320|112400594|104012828|104014594|112405159|112405264|112405295|112405961|104022032|104022183|104027828|104027845|104030621|104030627|104030704|104030754|104030790|104037516|104041958|104042276|104042279|104045179|104045196|104046495|104046674|104052229|104071548|104072143|104072281|104072362|104072365|104083483|104083504|104083549|104084299|104084321|104089057|104089086|104089099|104089109|104089405|104092534|104092591|104092602|104092625|104093019|104093034|104093046|104097800|104097817|104098517|104099223|104099231|104099344|104099737|104099796|104101199|104101414|104101669|104103805|104103854|104104039|104104854|104110296|104132344|104132349|104185039|104208282|104209213|104209528|104210242|104210447|104218031|104222697|104223337|104223420|104223541|104223625|104223648|104223734|104225319|104225376|104225502|104225592|104225652|104225781|104226329|104226378|104226387|104226394|104226519|104226557|104226566|104226583|104226607|104226717|104226964|104228006|104228012|104228039|104228048|104233185|104233488|104233761|104235859|104235864|104235872|104235921|104236326|104241715|104243641|104243654|104245866|104245891|104246290|104246305|104246664|104246791|104246939|104246956|104246977|104247002|104247055|104247186|104247193|104247202|104247231|104247266|104247300|104247480|104248351|104248423|104249825|104250441|104250450|104250487|104250719|104250752|104251037|104251053|104251143|104251222|104251247|104251500|104251942|104252219|104252976|104253104|104253645|104257700|104265167|104266300|104266512|104267112|104269816|104270678|104270866|104271023|104271167|104271192|104271196|104271218|104271561|104271827|104271831|104271848|104271901|104286992|104287418|104288229|104288237|104288357|104288435|121088200|121088226|121088256|121088675|121088702|121088746|121089687|121089709|121090183|121090201|121090227|121090697|121090723|121090747|121090772|121091182|121091205|121091673|121091697|121092187|121092640|121092665|121093092|121093115|104347683|104358382|104358400|104358409|121184874|104465465|104494276|121275156|121275788|121276406|121276471|121282560|121282857|121282946|121283049|121283190|121283643|121283697|121284831|121288098|121290327|121290398|121291538|121295000|121295022|104531325|104531369|104531381|104544783|104546929|104546992|104547027|104548398|104550515|104550927|104552538|104552674|104553123|104563370|104563377|104644272|104644966|104645001|121520475|113318368|105046215|105046514|105046559|105047515|105047614|105054052|105124375|105128729|105190339|105197091|122007313|113652396|113654018|105280243|105285554|122637011|105349432|105358455|105361030|105896181|105896182|105896209|105896284|105896345|105896396|105896605|105896633|105898462|105898756|105898772|105898801|105900394|105901726|105902077|105902581|105902703|105902942|105903113|105904193|105904225|105905097|105918316|122697045|122725411|105948547|105948702|105948742|105949003|105949006|105949012|105949033|105949149|105949273|105949314|122726716|105949515|105949611|105949660|105949662|105949674|105949688|105949793|122727015|122727061|105949868|105949969|105950088|105950089|105950131|105950151|105950153|105950186|105950440|122728022|122728119|105950983|105951096|105951121|105953012|105953019|105953034|105953670|105953695|105953884|105953909|122735557|122763231|122763240|122763615|122764184|122764425|122766470|105995065|106003585|106011738|106021072|106109970|106112521|106120050|106142888|114555960|114556847|106172451|106200954|106203427|106232753|106234321|106234416|106234741|106235681|106248426|106274102|106274278|123062976|123062989|123063751|106292426|106292445|106292623|106292736|106292858|106292897|123071663|123072165|123072177|123072228|123072341|123072473|123072959|123073066|123073291|123078737|123078774|123078834|123079146|123079200|123079401|123079410|123079672|123079704|123079790|123079813|123079850|123079919|123079930|123079987|123080044|123080128|123103397|106329759|123107826|123112757|123113106|123113112|123113116|123114608|123114654|123114724|123114751|123114785|123114819|123114826|123115061|123115065|123120058|123120064|123120071|123120179|123120199|123120212|123120527|123120620|123129039|123129408|123139698|106373252|123161750|106386066|123164723|123165227|123165612|106388508|123165752|106391788|123175842|123182609|106409414|106410735|106410807|106414266|123191515|123196014|123196055|123204930|123205040|123205418|123206122|123206205|123206336|123212704|106436084|123213832|123213846|123213853|123216902|123217265|123221006|123221103|123221114|123221131|123221161|123221184|123221197|106444099|123223219|123227117|123228192|123229155|123229429|123229432|123229476|123229493|123229499|123229503|123229566|123229574|123229583|123229609|123235155|123235215|123236739|123238141|123238147|123238151|123238161|123240203|123240210|106466607|123252605|123261096|123266265|106507271|106523181|123323107|106577449|106577619|115043483|115043513|115043870|115043888|115044445|115044488|115044764|106734825|106739132|106741982|106746467|106751009|123542443|123548873|123551125|106777778|106784065|106792154|123570387|123570437|106795264|106795756|106795858|106803972|106807923|106812255|106828550|106829583|106830349|106835549|115234602|106851510|106855362|123637491|106863198|115253225|115255148|115258432|115259992|115260056|106874391|106874413|106877058|106879299|106880344|106881743|106882262|115272492|106900050|106909735|115360148|115411701|107059232|107097243|107100467|115512321|115512991|115521098|115523034|115526571|107241380|115647748|107265302|107284535|107299903|107353425|115836327|115850356|115861969|115864500|115924832|115925025|115925315|107564159|107565606|115980160|115985569|115992929|107631732|107668294|116064740|107721482|107738672|107745199|107765991|116170326|107786969|107791259|107792875|107792934|107800132|107802362|107809728|107812219|107812484|116209579|107829188|107832950|107834909|116233518|116233960|124660106|116273845|116274255|124662928|116274360|116284130|116295046|116304944|116567902|116567907|116896493|108559349|108580308|108581987|108598953|108602420|116999422|108615469|108615594|108621800|108626565|117016776|108629022|108629626|117030942|117035570|108659975|108672264|108672897|108672976|108677201|108691315|108692220|108700906|117100775|117104037|108729009|108732433|117124339|108739149|108743816|108747370|108763683|108779252|108807339|108853907|108864339|108864740|108869009|108904745|108907048|108912834|108959786|108970789|108976434|108998923|109005318|109044667|100695195|117562368|100908769|117954682|109744893|118175544|109925587|101718356|101797788|101810071|101810076|101818766|110209433|101824161|101825292|101839413|101943359|101965849|102216839|119002022|102273893|119369522|111192452|103618982|103638961|103638994|103639050|103681688|104155493|104210066|104210314|104234513|104267107|121074271|121143352|121202151|104468103|104474191|104494199|104494228|104494319|121434856|121507737|104921123|113468322|113601784|106111108|106154526|106156740|106165790|106187547|106238711|106273305|106286035|123085889|106326882|106395286|123175234|123207013|123207041|123209115|106581748|106584717|106759928|106764906|115257974|106923345|115376845|115394165|115510803|107125166|107165122|107174486|107186896|107190541|107249241|107336227|115770017|115824019|115846807|107465423|107470634|115867823|115872930|115915257|115923198|115924649|115979933|116057520|116057892|116103226|116179039|116192343|124598725|124601306|116245230|116290731|116304021|116304660|116312952|108187284|116988732|108630027|117036931|108668390|100309378|100358748|100374829|100453088|108970515|100598119|117468268|100978605|101307450|109920742|118435163|118464557|110415663|102184238|102228646|119074132|102592885|102594681|103477099|103614857|103616970|104236956|104644326|105044767|105141308|105160285|105177787|105213338|105238682|105310295|105385957|122725266|106509938|106803802|106860086|115249498|106896109|106896482|106898397|106899755|106914607|107058967|107059086|107069394|107144618|107158326|115562264|115626759|115721919|107359037|107526552|107547422|107554928|107565616|107565787|107567158|107568570|107569216|107575039|107602745|107631808|107725510|107779691|107810517|107832405|107841240|116578223|117207372|108902444|100519549|109022109|101962696|110401646|102647069|103805329|104174381|104518042|104518223|115802155|115824326|115824514|115831796|115835404|115837957|115838095|115838466|115850319|115850344|115864692|115922162|115985609|115985625|115985662|115986358|116025112|116057751|116057880|116128836|116181465|116194538|116194987|116233856|116266540|116269186|116273359|116293583|116299601|116300812|116301952|116304746|116305856|116887886|116896862|116900183|116925373|100376418|102313116|102313167|103805109|103809940|104182084|104185015|104699011|113923955|105746399|122692640|122790800|106803847|106914507|106914549|123954598|115601594|115727065|115732940|115779525|107554674|107716535|116770177|116773929|116817784|116865699|100247600|117336765|117464604|100970246|103426117|113536813|113569161|106375293|107191322|107644410|117334704|117799941|109653384|103968919|104155637|104338924|105298315|123532088|107527323|100353380|117943341|112414514|121439064|116056998|116128576|101634083|103863630|107706269|107730720|103615803|105267456|105333300|123080294|104234522|104234664|123072488|123554683|102232553|104645188|105220996|115844889|116288920
greatness.n.01	greatness.n.01|magnificence.n.02|importance.n.01|magnitude.n.03|nobility.n.02|largeness.n.02|sublimity.n.01	100687449|109078880|100711941|100712287|100754719|100759430|117565742|117567782|117586411|109198407|117594477|117607975|117613671|109239186|117640777|109266723|109266879|109267098|109267396|109274166|109309104|109331281|101084684|109504004|109504505|117944351|117946690|117954008|117955410|117957837|101343328|101350919|109774432|118305595|118364493|110003367|118411414|118413828|118423177|118440761|118484164|101712806|101712815|101713350|101713419|101713439|101713480|101713526|101713540|101809794|101810064|101810300|101810307|101818657|101818865|101818879|101818885|101818917|101818932|101818951|101818996|101819074|101823542|101824172|101824220|101824248|101982951|101991832|102186182|102255812|102320193|102916496|103348266|103389656|103680775|120642327|120647382|120878174|120881313|104159594|120944687|121136277|121136661|121183259|121200495|104475059|121268332|121367858|121491557|121507768|121958780|113572325|121961932|105255669|105280351|105333612|105361897|105363706|105378384|122764275|106113876|106163134|106181876|106203257|106216661|106284376|106289755|123083335|123129607|106376246|106376268|106381972|106383862|106385271|106409514|123197198|123228315|106463555|106513898|106523367|106541141|106541594|106543376|106576994|106584238|114991178|114995469|114995550|106832298|106900115|106914333|115358036|115426744|115427349|107116887|107137114|115569998|107192581|107257230|107329883|107333961|107344425|107350908|107353011|115813854|115818592|115824729|107467449|107496315|115965335|116157625|124641353|124670843|124684121|124723573|108166049|108184428|117001995|108621660|117012958|108675123|108683160|117105387|100335528|100340953|117128428|108744078|100417566|108824730|108828325|100449183|100450213|108840699|100468558|108887547|108933886|117372195|109016935|109029355|100687151|109126746|117730054|101049665|109508500|117944125|117945096|117945411|117945939|117947661|117947689|117947780|117950129|117950186|117952817|117953877|117955175|117956168|117956287|117956480|117956626|109652918|109653892|101591874|118461124|121392394|121473166|121509580|121510126|105167213|114655924|123053020|107467307|116053442|116194752|116277982|108611409|108613251|108673387|108690556|108756914|108917293|108998890|109030337|100688200|101112752|118317844|118461791|118476118|103320847|103665454|105166545|105238651|105283434|105340906|114640025|106273129|114662863|106422895|106469077|115253928|106869288|115514901|115797620|107576766|116071589|100688647|100722141|103568489|104493354|104506564|123070449|106296966|123079231|123079235|123114774|123164664|123220977|123229224|123229229|123245845|123245852|100698694|117948237|117954975|107467045|108619851|108647290|108879633|109054592|109013689|117946303
order_of_magnitude.n.02	order_of_magnitude.n.02|scale.n.02|proportion.n.01|proportion.n.04	104225323|104226640|104226642|104226700|104246292|104246862|104247293|121276484|121281773|121282201|121282423|121282689|121282707|105896221|105896234|105896366|105896497|105896518|105896529|105896555|105896568|105896577|105896587|105896607|105896620|105896639|105896695|105896717|105897270|105897840|105897841|105897870|105898121|105898123|105898152|105898158|105898449|105900418|105900678|105900680|105900693|105901529|105901737|105902088|105902592|105903129|105903177|105903467|105903521|105903820|105903847|105904051|105904638|105905115|105905721|105948730|105948738|105948782|105948789|105949054|105949058|105949093|105949103|105949248|105949251|105949260|105949287|105949354|105949635|105949834|105950199|105950233|105950465|105950479|105950483|105950546|105950570|105950997|105951077|105951092|105951152|105952433|105952472|105952674|105953702|105953736|105953824|105953916|105953951|105954091|105976402|106007004|106011766|106011774|123078785|105193330|106803668|106819770|106826903|103938767
stature.n.02	stature.n.02|height.n.01|tallness.n.02|highness.n.02|fleshiness.n.01	100868677|100918772|100944798|109388636|101507020|110022825|118435134|118461575|110080126|101713471|118869918|118891120|118895626|102514957|102517199|102517543|103770455|120983841|120993068|104323098|104323295|104329509|104469265|104469475|104469518|104647643|104667645|104669843|104676243|104676479|104718240|113327709|113345411|113370182|113484071|113586212|105265056|105273483|105281171|122634415|115244647|115244874|115261419|115261702|107082937|123935336|107176520|107196922|123976531|107203254|123993554|115728528|107599329|107632930|108336803|108336846|100119892|108539638|108542363|108547523|100239031|100239051|100257813|108687329|108744656|108850211|117323172|108994649|109278978|100910409|101640689|118474315|104722330|105265038|105296242|105306260|115634864|115669603|115670073|115672530|115731899|107661616|107971130|116969779|117093994|100324882|108881994|115873525|115884189|115884572|115907305|115909943|116041970|116071857|116096213|116209935|123053055|116909814
length.n.01	length.n.01|distance.n.03|extension.n.09|length.n.03	100979051|109757809|109970557|102594981|102609667|103854623|103861455|103922699|103941145|121185224|121276235|113342764|105148504|105173872|105178476|105373336|105446023|105766604|115241909|115494781|116057648|107725470|116131054|116164812|107819458|108381611|116773956|116862008|116868249|116908863|103615180|104237246|104237270|104237289|104250106|104250140|106744715|107525783|104091475|104223932|123073075|123235186|123244992|123282128|123282178|123282215|107469512
stature.n.01	stature.n.01	109058531|101381847|101545574|101547640|118376757|118395859|101894981|101914742|102366863|104470330|121340989|105148739|113709456|122789212|115357151|115714320|107897900|124703199|100038687|116955103|108700799|108819483
duration.n.03	duration.n.03|duration.n.01|duration.n.02	102323643|104295227|121185250|121185311|121263962|121288000|121288473|121294352|121294576|121294815|104643485|104643891|104644550|104644711|104644878|104644983|104645138|104645240|107465484|103968515|104643606|104643915|104645101|104645192|104645235|104645304|104645351
bulk.n.03	bulk.n.03|mass.n.01|bulk.n.02|volume.n.06|weight.n.01|amplitude.n.03	109737941|110081611|102625362|103899829|104182092|104184878|104207382|104549724|104664209|104781743|123114745|123163139|123163552|115913950|108328262|116944878|103616194|103616337|103616382|103616394|103616405|103616415|103638393|103640183|123203148|123245437|105342532|123073120|123073627|123134137|106740962|106870510|108328270|106908838|108558502|108767981|113387268|115268921
measure.n.02	measure.n.02|amount.n.02|number.n.01|quantity.n.02|plenty.n.01	102228322|103622146|103639360|103644370|104128109|104210281|104226693|104694149|105209498|123165120|115992224|100374876|100443978|102297374|119372078|119389295|103690265|104114703|104225668|104225688|104237371|104323315|108812943|113386663|115418799|123073593|117168452
cubit.n.01	cubit.n.01|span.n.04	109767223|109863365|118893344|113341611|115835541|116096203|116794484|108596520|117366335|119179793|104147025
