goal.n.01	goal.n.01|aim.n.02|purpose.n.01|final_cause.n.01	109055093|117453089|117457160|117478419|117481210|117499602|117499734|109112472|117503783|117503831|117503851|117503873|117503943|117503959|117504079|117504097|117504121|117504178|117504220|117504262|117504493|117504503|117504610|117505258|117505294|117505383|117505886|117507137|109118883|117514025|109135102|117524365|109141538|117531373|117533472|117544845|117544997|117545070|117547577|109171325|109171330|117570285|117570479|117570682|117588152|117618723|117622111|117626773|117630375|117639402|117639585|109265074|109270033|109272524|109275062|117671879|117671896|117671927|117677096|117682506|117689810|109306666|117734135|109351683|109355077|109361964|109398064|117984584|117984588|117986730|117992092|117992147|117992160|118005147|118010088|118013992|109657683|109909224|118308801|109922868|101670105|118458948|118458956|110205371|110213176|110218137|110230480|110287338|101976037|101976102|101999709|110412393|110412438|102049610|118940312|118940492|102181611|102198218|118997507|102251472|102305912|102327710|102363443|103358941|103574718|103575530|103575535|103588346|103630830|103630841|103665562|103667013|103667149|103668815|103668883|103668895|103669209|103669212|103669434|103669744|103675289|103675297|103675363|103675392|103675765|103675839|103676175|103676217|103676275|103676297|103676327|103676703|103676974|103676981|103676983|103677046|103687157|103687162|103780064|103783155|103783268|103802305|120656833|120658419|120658453|120662242|120662407|120662656|103948389|104017114|104025943|104026586|104026603|104026611|104026829|104039814|104039835|104046502|104068585|104068590|104068626|104069704|104069711|104069812|104069822|104069858|104069927|104069932|104082014|104089998|104163924|104170557|104172083|104215587|104216095|104216116|104216375|104219726|104219802|104219807|104220500|104220594|104220696|104268292|104287754|104287801|104287807|104297149|104298060|104298067|104302105|104302121|104302129|104302141|104302144|104302230|104302403|104302409|104321474|104322953|104357272|104357353|104357841|104362873|104362883|104362920|104362926|104364041|104364294|104364382|104364807|104365237|104365242|104365253|104367309|104367862|104367985|104367993|104369553|104369571|104369581|121179207|104467790|104470474|104470481|104471169|104471180|104471722|104472002|104472688|104473637|104473655|104473776|104476437|104476442|121267811|104493279|104494246|104506516|104510989|104512562|104515300|104543855|104554825|104554834|104568713|104568718|104568732|104568745|104568896|104568902|104568941|104568951|104573644|104573648|104573658|104573667|104573704|104573713|104573715|104597663|104603351|104603365|104609153|121388025|121435635|121471016|121471336|121476046|121479374|121479430|121481997|121531262|104775513|113406391|113431106|113431150|113431258|113431732|113432144|113433249|105049281|105053188|105053551|105053730|105054831|105166422|113577427|121967937|113579475|113583089|121986276|105209294|105319205|105346933|105367562|105388469|105446148|105446185|105452606|122608452|122629292|122629322|122629334|122629388|122630209|122657476|122685913|122686213|122686376|122694333|122694778|122694817|122694950|122699131|122713246|122720052|122720184|122729806|122734674|122735323|122736215|122736353|106122275|106123571|106131491|106144912|106145085|114556551|114556556|106178917|106195013|106213690|106214017|106215795|106225561|106230232|106232690|106233440|106235090|106240106|106252681|106253550|106266630|106266755|106267177|106277862|106278025|106278201|106298473|106303375|123086560|106310746|106341889|106351315|106363073|106373883|106386162|106399532|123192004|106440649|106441153|106465156|106467044|106467081|123265401|106497149|106511094|106525376|106533770|106543273|123546285|123546296|123546347|123546396|123549965|123549974|123550022|123551846|123568022|123568167|123569894|123571375|123571872|106817595|115235215|123891244|123895976|123994912|107283477|115847864|107477331|115897425|107530522|116169935|116232507|116280963|116535009|116548390|116549007|116550473|116802310|108568156|108570348|108570528|100234502|108642435|100299028|108713700|108742514|108788291|108801638|108950866|117371496|117379600|117948661|111188029|104024685|104296072|104328429|104346157|105157379|121956203|105272608|105355694|105383701|106179050|106209271|106278234|106279444|106378405|106383936|106409630|115233662|108970991|117502697|109119080|117514572|109171203|117618277|109359616|110391756|121546594|113529541|113546547|113546954|106428521|107532435|108610930|108932736|103762366|103762413|120659680|120662382
end.n.02	end.n.02|stopping_point.n.01|termination.n.01|terminus_ad_quem.n.01	117458635|117471670|117498089|117510894|117527769|117536622|117536688|100792153|117570582|117572631|117577602|117579829|117591226|117607882|100862534|109265252|117673092|109291800|100948232|101002604|109503120|109536279|117993247|101372338|101412681|101486552|101590780|110008607|118405302|110024757|110029740|101669914|110095790|110106265|110106290|110120876|110124417|110157888|101776459|110193353|110197390|110223354|110223497|110224364|110224578|110238186|118726075|102110163|102118740|102178360|102227100|119012838|102292880|102305733|102402317|119333134|119352234|102646553|102646596|102964175|103604675|103619089|103776341|120658070|120694098|120728847|120759784|120827049|120830167|120848514|120856716|120874796|120875900|120877921|120879006|104117242|104119785|104126516|121068062|104294943|121073199|121152726|121190434|121190589|121192016|121192539|121199356|121199427|121214744|121217297|121232265|104473208|121256554|121258604|121261602|121268616|121290498|121292499|121292571|121394116|121438413|121438419|121455952|121456472|121456781|113338190|113431504|105056613|113465012|105118906|105121841|105135208|105136215|105142240|105144347|105170624|113573395|105195689|105218366|113729995|105373166|105379008|105405911|105435848|105771103|122651694|106116467|106116483|106116546|106116556|106125246|106230572|114659803|106350425|106363102|106419810|123197026|123199301|123321245|106595157|114989711|123552959|106776719|106784665|106791610|106795358|106797562|106801971|106803314|106817083|115273692|106920533|107101555|123897496|123898016|107121511|123902147|107136363|123914369|123916766|123918417|123921016|115543156|107196970|107205745|115611972|107254741|107281652|115679658|115730473|115732279|107350068|115895212|124305097|124305307|124312847|107648085|116048474|124480915|116112971|116168202|107856004|116300847|116303530|107930012|107969714|108103242|108112230|108160107|108184980|108187807|108340367|108365282|108365357|108370149|108374600|108375617|116821368|116831952|108559603|108578946|108579233|108587434|108626078|108629299|117024701|100252664|100256402|117037324|100304969|100354317|117153007|108767620|117164559|108783247|117222244|117240183|108904816|100537847|108928870|117334804|108959738|108974718|117378709|117378719|100629198|100629203|109020483|100632789|117536506|118491123|101862652|102227299|119358579|119362891|104062984|113338138|113526523|113549805|106876494|123963692|107548102|115966085|115987510|116178151|116287768|107961077|100113633
legion.n.03	legion.n.03|host.n.05|company.n.02|division.n.01|battalion.n.01|infantry.n.01|section.n.11|regiment.n.01|troop.n.01|troop.n.02|army.n.01	116040077|116040219|116990871|116997529|117007070|117016809|117060665|117085602|117090318|117093403|117095158|117095331|117098120|117119132|117123489|117123651|117126003|117126177|117128350|117129650|117130366|117130773|117131926|117132218|117135471|117138819|117138839|117139432|117141817|117142434|117142638|117143006|117143060|117144003|117144042|117146824|117149019|117152288|117152834|117155607|117157519|117170418|117170596|117174601|117175123|117175197|117175377|117175404|117175497|117175733|117175987|117176431|117177495|117178148|117178158|117178190|117178663|117179247|117179434|117179489|117179519|117179561|117179790|117180159|117180490|117180502|117180710|117181067|117181259|117181553|117181656|117181678|117181702|117181722|117181770|117181826|117181988|117182119|117183043|117183059|117183189|117183327|117183402|117183504|117183846|117183855|117184153|117184302|117184348|117184362|117184672|117184755|117185319|117185480|117185494|117185943|117187064|117197049|117197104|117197181|117197197|117197213|117197223|117197246|117197280|117197416|117197944|117198155|117200046|117200151|117202368|117202588|117202605|117204670|117205140|117206215|117206563|117209180|117209197|117211437|117213311|117213330|117213826|117214181|117214910|117215379|117216620|117216926|117217062|117217316|117217498|117217658|117217713|117218205|117218241|117218921|117219182|117221094|117222464|117222954|117223061|117223777|117223787|117224663|117227622|117228110|117229705|117231551|117231635|117232571|117232719|117232788|117232906|117233949|117234318|117234372|117234752|117235916|117236867|117237105|117238790|109012388|109021673|117006705|117015021|117125739|117126242|117137616|117149179|117149896|117152677|117152819|117166409|117175341|117181982|117185511|117197323|117197619|117211059|117217283|117222390|100896666|101036716|101052489|101053787|116037895|100061619|105320442|107098471|107270490|124583132|101078671|118639951|105321260|116191090|117055671|100338656|100349662
end.n.03	end.n.03|end.n.05|ending.n.04|beginning.n.03	117457110|117457127|109075087|109079293|100723130|117505363|117527262|100932430|100949685|109355019|117799902|101076692|101083598|117956750|101304457|101445696|101477396|101482293|101550680|101572196|118360514|118360534|101602886|101602920|101603763|110018426|110028964|118425416|101662123|110055292|110108961|110187979|110200291|101820309|101829784|118934918|118935525|118983771|119003343|119012876|102363570|102391683|102467044|103552133|120647948|120663241|104068634|104220530|104295192|121183749|121227484|121233522|121249739|121250642|121261767|104597693|113298932|113319502|113356055|113386286|113479787|113500941|105116122|105136368|105154773|105165587|105166750|105216137|113627788|113630106|105260174|113682705|105295051|105351320|105381027|105409412|105435415|105457840|105462136|106125238|106161153|106205607|106224592|106230029|114653820|106323513|106323541|106415486|106430234|106438401|106475776|106485501|106521260|114986401|106738152|106743306|106743940|106743991|106767268|106771006|106771674|106772434|106774133|106790984|106792883|106793692|106810233|106826263|106829773|106832123|106853185|106859075|115272437|106903644|106913400|115397409|115498617|123904044|123914292|115529328|107278493|107280162|115770332|115875154|115886974|115897552|115941444|115959016|116124634|116134944|116258264|124671301|116299400|108097537|108398495|100010477|108508166|108604322|117005072|108634446|117035927|117060309|117072941|100302535|117085969|117087695|108744172|117150668|117154338|100381721|117185804|100422418|117214460|100442665|117219898|100456025|108874624|109043907|100757345|117570460|117590912|117951400|109718839|109839221|118299819|118300176|118431575|118753963|118865878|119001281|119013703|102304866|119333118|103462761|103783235|103783378|112430173|112437002|112440072|121189497|121236122|104505934|121426807|121493195|105012746|105012922|105053272|113550720|105162353|113565188|105462021|122691393|106235575|106436358|106439395|106525719|106525730|106847374|107246529|107428851|107431771|107494373|107558312|108122783|117043206|109174216|109270306|101724560|105248310|106909919|115636818|107278823|115899907|115904229|115953966|115955611|116312442|108587801|108598315|117039761|108657867|108663103|117222340|117329960|121213454
end.n.06	end.n.06	117455001|100687014|117479530|117504148|117504275|117504294|117504363|117504400|117504472|117505332|117505903|109118798|117527196|117527237|117620146|117631296|100863810|101033642|118313895|118425197|110059665|110112660|110187954|110230113|110231965|102251524|119187668|119294911|102925930|103001712|103322703|103536512|103668834|103668982|103669058|103670060|103676293|103676887|103676902|103685839|103687172|103691521|103692150|103694945|103778587|103778597|103808136|120655986|120662250|120662270|104025318|104025405|104046516|104046522|104046561|104070616|120848254|120874730|120875755|104136887|104137748|104174841|104215599|104215612|104215645|104220039|104226120|104228665|104249426|121069142|104298031|104364091|121182658|121182728|121212109|121262919|121264297|121284775|104554847|121341636|104597602|121489985|113352652|113407285|113431300|113431345|105055763|113499503|105121550|113534309|113574638|105355248|122629330|122680005|122680502|122686288|122722171|122724031|106118513|106131863|106144254|106173176|106291004|106392844|106462010|123283570|106548398|106737399|106764932|106836544|115257750|106895456|123896078|123901582|123905545|107228755|107279429|115702086|107314304|107326814|115932892|115963040|116001477|116004080|116048253|116201313|116202928|116205541|116300667|116308620|116536355|116549021|116549045|108161598|108171891|108174057|108174954|108175006|108183560|108186441|116586973|116818629|100048358|116825888|116903162|100208683|116997241|108646884|100298800|117076451|117078518|100303046|100303873|108801503
end.n.01	end.n.01|extremity.n.04|point.n.15|vertex.n.02	100834891|100861591|118106844|109873498|118303495|110202415|101834011|110224303|101950850|102042321|102373987|103613088|103617711|103625744|103763638|103783222|103783352|103783442|103854423|120658457|120658473|120658475|103940743|104029106|104039933|104046678|104047810|104073936|104073951|104090105|104191079|104191281|104191303|104201600|104226116|121089138|121090600|121090640|121092601|121093047|121221697|121224943|121233889|104473218|104506495|121288689|121290970|121341661|104597599|121528242|104907031|105054607|113573149|121983020|105235533|105235602|113663194|122668764|122686010|122789500|106112677|106112711|106195584|106204018|106227447|106291015|106291033|106291120|106380661|106430208|106430215|106439313|106456877|106466164|106532589|115243204|107429646|115838047|107617623|116170308|107833231|107854488|108013379|116859453|108510752|117609783|103843218|103855747|117078349
consequence.n.01	consequence.n.01	117465617|117465703|117478502|100720017|100768844|117949927|101648390|110055237|110071007|110249105|119072407|102298639|102993904|103560314|104220420|104294885|104294906|105043377|113432098|113490677|113521592|105134640|105135804|105165943|105173830|105197428|105204219|122006001|105260996|113667341|105281522|113679618|113706889|105322255|105349034|105357990|105359329|105372922|105459637|106239709|115233515|106862829|106870839|107090298|107098024|107119012|115542039|107185478|107209072|107230743|107284013|107285980|107292092|107301315|107314780|107333408|115879854|115894842|115957677|116021441|116125726|116140501|116146898|116179257|116248189|108095405|100018878|100048407|100059365|100087759|108526438|108548979|117000181|117018315|117033416|108645517|117069778|117084704|117088712|117101424|117113822|117149867|117199558
result.n.03	result.n.03|fruit.n.03|wages.n.01|sequel.n.01	117453234|118292593|118360790|101654086|118630125|102370322|102380221|102403491|111179740|103343736|103419661|103568779|103780414|103800922|120660421|104188759|121406480|113487858|105125367|113527329|105260955|105340969|105373260|105675967|106735088|106746786|106821459|106823948|115395855|115464011|115464658|107087786|107110093|107127378|107133547|107153774|107173297|107178095|107195831|107195984|123988436|107222535|107232509|107257536|107272735|107276065|107291783|107293384|107303390|107349582|107372700|100108641|108822417|108891598|117333515
cab.n.03	cab.n.03	117557254|109883737|101616654|101617526|118985722|103445955|103480481|103596002|103602113|103604422|120785281|104164776|104348260|121138193|104497036|121342104|115346522|115348340|115349762|115371075|115397901|115411454|115456734|115473414|115473529|115482943|115516108|115516223|107174704|107200514|115990249|115990484|115990530|115990571|115990643|115990846|115992588|116003599|116065868|117186768|117204172|117225915|108864466|108930484
magistrate.n.01	magistrate.n.01	117675558|101588985|118452300|118800415|118849416|118855247|106385208|106391579|106559344|106581456|106583096|106585549|107091310|107168712|115615081|115638100|107291235|115747596|115752841|108604085|108626685|117025411|117030398|108647539|108670459|100318699|100377829|100390401|100390873|100404724|100434524|100453236|108842507
