shape.n.01	shape.n.01|form.n.03|shape.n.02|form.n.10|form.n.11	109116852|117531124|117592182|109242858|109317372|118109476|118109517|109771256|109889652|109898027|109900664|110000597|110020441|110020476|101735634|101738818|101744645|101744698|101816269|110395446|110413966|102153626|102160752|102160759|102160784|102168240|102168509|102175253|102175272|102175332|102206867|118993037|102251940|119066984|119092284|119098289|119101156|119101170|119114351|119114363|119170668|119182891|119190511|119205010|119206336|119208272|119208325|119211063|119355934|102593209|102602997|102607185|102612124|111151625|103566360|103625339|103626262|103628224|103629246|103629295|103630022|103630056|103631131|103631166|103631714|103631820|103632333|103633533|103634114|103634620|103634752|103634863|103638453|103638458|103638474|103639128|103640978|103641523|103641735|103645943|103646192|103795519|120575189|120575468|120577855|120578020|120580025|103804366|103838070|103847032|103853985|103854285|103854597|103866750|103894364|103909293|103929569|120752073|120773428|112391420|112396178|120788910|104018746|104031112|104055682|104055812|104063511|104063755|104075834|104102764|104105414|104113691|104113746|104128118|104128337|104132269|104132326|104135268|104150393|104160754|104193900|104201795|104210601|104215192|104223005|104223162|104233526|121208546|121235704|121247121|104525924|104526197|104585383|104647826|104652592|104659906|104668887|104673049|104673156|104675861|104682860|104683526|104683663|104695169|104695587|104697514|104699371|104702575|104703096|104708453|104712579|104724996|113355957|113387579|113431475|105044850|105044862|105046018|105046027|105047509|105129676|105148223|105179363|105232512|105267604|105281047|105326764|113759266|113921962|113922232|113924813|113925572|122642603|122642738|122692054|122711688|122725350|122725362|122725547|122726518|122726527|122728016|122753431|122753482|122753955|122769678|106145847|106168971|106188292|106193457|106200538|106253485|106263292|123058516|123072238|106332243|123112753|106343041|123151138|123168158|123217263|123228006|123233823|106466603|123329726|114994001|106860779|115251115|107065001|107079253|107109711|107135270|115565737|115572764|115577664|115583246|115590520|115661254|115672811|115688426|115690698|115708695|115719092|115732910|107358961|115766141|115767454|115779148|115779561|115781460|115785126|107552601|107556714|107564156|107565682|107569212|107570501|107718789|107790913|107801093|107804970|107823988|107824292|107826186|107831811|107837179|107837972|107838492|116273413|124704170|124752686|116767655|116840333|116843086|116848800|108544687|108564634|108565489|108625791|108634528|108717025|108724444|117330983|100585487|109117170|100736617|117522616|117558607|117565773|109194947|117592582|117593272|117601810|117607047|109266693|109291465|109306210|109312940|109313396|109350518|109529853|118010156|109705659|118112302|118112701|109728911|109731924|109896008|109898011|109963272|109968605|118376828|118405202|110020413|118452238|118473857|101700357|118516866|101781705|101792311|101794929|101812770|101841475|101841527|118657225|118754360|118774479|118804061|118810752|118824026|118845542|102083981|118862630|102125398|102164592|102171007|118981257|118992985|118993090|118993181|102223611|119002019|119016875|102244092|102249741|102250185|102328462|102382162|111154497|111154583|111155769|111162227|111162248|111162371|111162644|111162738|111162850|111162993|111164029|111174421|111175867|111205187|103182493|103502823|103567136|103641610|103838409|103856560|103859799|120640753|120644131|120649408|103949072|103952792|104090217|104131312|104135348|104144713|104193929|104285701|104287200|104370009|121230370|104458051|104479403|104518826|104521354|104522818|104524904|121348251|104651584|104654009|104670108|104670287|121447560|121448572|104673672|104675813|121475769|104701453|121496041|121506062|105117173|113566758|105448435|113922160|122711613|122760441|114550192|106173478|106210965|106243354|114635556|114636573|114641414|123039197|123039217|114651495|123054773|123056685|123065749|123069872|106314611|123096138|123103158|123112687|123112714|123113002|123123146|123135091|123142795|123148677|123155711|123155800|106379351|123195816|123223177|106451169|123266375|123337737|106566005|123557352|115241295|107020951|107060746|107060980|107066289|107072320|107109443|115531099|115618543|115626962|115650491|115688088|107334897|115742091|115771516|115772297|115791022|115813061|115827493|115848712|107467059|107467217|107475020|107539321|107555755|107565243|107567377|107568560|107575374|107599011|107602396|107603625|107623926|107628019|107628053|107648395|107648545|107718603|107720187|124534486|124561966|107791363|124613450|124658072|124663898|124664002|124668250|124675022|124677144|124770511|124770522|116801195|116835826|116866299|108691020|117154772|108893203|100568614|108970884|117367557|109037400|118371437|119171904|119178055|119191659|103641141|103829115|103853840|103894489|104018728|104653053|104671251|104707689|105270726|108830329|102223653|112401513|107060878|107469848|107470707|107475847|107477773|116562075|116562702|122720451
figure.n.06	figure.n.06|solid_figure.n.01|plane_figure.n.01|plane.n.02	117460677|117555966|117556045|109313355|109316464|109394939|117801626|109650988|109763810|109877308|109894669|109898064|109900354|118450895|101990034|102011989|102011997|102012189|102012194|102012342|102012368|102012375|102012423|102012542|102012895|102012907|102166540|102166576|102169790|119045660|119294982|102605437|103497844|103519433|103541103|103541111|103541121|103541135|103544701|103551670|103552218|103556551|103556558|103556563|103562831|103574035|103626348|103626408|103626519|103626566|103626573|103634320|103638658|103638662|103639148|103639194|103639204|103639219|103640883|103641722|103654166|120576121|103819941|103827689|103827706|103827830|103951038|104026469|104042136|104045477|104048733|104050439|104056233|104099202|104124117|104131341|104214963|104215319|104239789|104239835|104255874|104255987|104255999|104530953|104530961|104530971|104533214|104533264|121405968|121497395|105046123|121997739|105581873|105671413|105860203|105860233|105860291|105860349|105860384|105860413|122642586|105875189|105878533|105878629|105890328|105890331|105890341|105890353|105890357|105890376|105890394|105890416|105890439|105905390|105905456|105913588|105916149|105916641|105917026|122701604|122726623|105982716|122763230|122763301|122763314|122764201|122766208|105995176|105995258|105995348|122774759|106023056|106024572|106024924|106025417|106025729|106026053|106027518|106034302|106035832|106036168|106036172|106036348|106113279|106113303|106117803|106142488|106237241|106311126|123125662|123207600|123223232|123229181|123229187|123229395|123229553|123229813|106457985|123243921|123283260|123322795|123539726|123592806|123595257|107087900|115835830|115923006|107541278|107546617|107552285|107552334|107554358|107554371|107554914|107556838|107565652|107565757|107567156|107567402|107567435|107567835|107567934|107572760|107603088|107603155|107603176|107603351|107603368|107623944|107675019|107723172|107749935|107782051|107783853|107786279|107798117|107824308|107838559|107838842|116248688|116537718|116797834|108883992|103639177|122767767|105995037|105995053|105995117|105995131|105995398|105995408|105995420|105995432|106022993|123345780|103626302|104065969|104094449|105860215|118105964|103626286
figure.n.01	figure.n.01|chart.n.01	117952172|102112757|103496891|103497537|103497693|103498709|103498747|103498840|103498927|103499106|103499798|103499842|103499859|103499877|103500014|103500033|103500051|103500057|103500118|103500181|103500231|103500298|103500335|103500371|103500385|103500401|103500603|103501078|103502005|103504753|103506833|103506839|103508809|103508815|103509356|103510099|103510167|103510196|103510205|103510213|103510818|103510883|103512036|103512151|103512261|103512372|103514032|103516383|103516406|103516879|103516906|103518649|103518661|103519016|103519375|103519469|103519777|103519872|103520831|103521719|103521915|103523963|103527046|103527358|103527401|103527792|103527806|103527852|103528540|103528566|103528778|103529083|103529488|103529507|103529648|103530607|103530816|103530908|103531181|103531627|103531810|103532059|103532163|103532486|103532503|103532743|103534368|103537729|103537927|103538209|103540445|103540461|103545560|103545977|103546017|103546778|103546797|103547011|103547690|103549401|103556204|103556223|120574754|120575449|120575695|120575850|120576144|120576464|120576856|120577158|120578161|120578281|120578738|120580285|120581173|112403789|112403899|112403911|112403928|112403959|112404061|112404071|112404278|112404309|112404348|112404467|112404650|112404826|112404896|112404981|112405001|112405015|112405051|112405353|112405678|112405775|112405829|112405855|113323403|105874824|105983407|105984188|105984876|105985474|105985969|106031910|106033358|107049586|107473817|121203013
digit.n.01	digit.n.01	117460689|109291248|109317303|117950016|101425208|101989963|102014309|102116389|102122740|103497631|103498781|103499983|103500426|103500689|103500833|103501266|103501830|103502272|103508088|103509006|103509062|103509333|103509409|103509503|103509712|103509777|103509916|103510618|103510630|103510649|103510664|103510804|103512057|103512083|103512224|103513189|103513823|103513909|103515915|103516274|103516428|103519000|103519092|103519522|103519945|103519959|103519982|103521400|103526963|103527166|103529562|103529615|103529795|103529857|103529983|103531329|103531420|103531462|103531583|103531673|103531755|103531804|103532025|103533474|103537380|103537396|103537412|103537439|103537577|103538151|103538601|103541128|103541637|103545925|103546414|103574058|103574071|103581777|120581040|103819657|103819698|103828186|112403560|112404421|112404704|112404715|112405075|112405744|104028692|104028697|104072941|104072944|104173365|104548488|104548535|104548564|104548581|121997817|121997821|105905413|105905420|122763243|106034908|106117751|106117783|123317948|115044761|115044790|115044866|115044939|115712087|107462857|107469909|107474139|116583962
position.n.04	position.n.04|carriage.n.03|pose.n.02	100747486|101388087|101425542|101635213|118438422|118439277|101735429|101869182|101926413|118773117|118806836|102036848|118881332|102201521|102201549|102201573|102201647|102201750|102201972|102202193|102202235|102256403|119178336|119336774|119336783|119350170|102599789|102600023|102600389|102600613|102600625|102600678|102600717|102600738|102600767|102600898|102601028|102601121|102602975|102605550|102605584|102617477|102619114|102619691|102628428|102628559|102628596|102630219|102632400|102634787|102639655|102640097|102640568|102642678|102644462|102645017|103846765|112406214|112406232|112406267|112418251|120970914|120971367|120977877|120979930|120985485|120989884|120990132|104257687|121945790|113691676|122695729|122790183|122792152|123153670|106856010|123653622|107208678|115619850|107266964|115737861|115788655|115789747|115790604|107795680|107796158|116216468|116894014|116953953|108566004|108618364|108719010|108755949|108793539|108839014|108896627|108967199|117368519|117368550|109024559|101631870|102201450|102201496|103381417|121491870|115569897|116900197|117367052|100596490|101388245|115443509
configuration.n.01	configuration.n.01|design.n.02|plan.n.01	119186956|103850432|104171322|104171377|104171624|121191312|121191404|121192003|121192428|121199802|121200536|121200586|121201578|121201648|121201773|121201803|121201839|121202134|121202163|121202323|121202391|121202423|121202867|121207249|121207991|121208783|121209191|121209220|121214793|121214965|121216693|121216767|121216978|121220593|121222938|121234918|121235235|121235721|121241060|121241284|121243400|121243436|121245317|121245370|121245426|121245453|121245547|121245839|121247070|121247235|121253758|121255626|121263390|121264310|121264786|121266509|121267029|121267627|121268291|121268945|121271325|121271346|121272987|104643767|123153353|123153360|123153505|123153514|123153642|123153903|123154363|123252973|123252992|123253001|123253018|123253041|115262373|115266490|115266643|115270376|107464688|107554302|107555071|107556599|107568064|107568497|107582675|107590111|107590761|104155633|105296347|113757840|123260060|115486560|115568921|124481928|124668051|119067010
attire.n.01	attire.n.01|habit.n.03|dress.n.01|costume.n.04|gown.n.05|disguise.n.02|costume.n.01|garment.n.01|uniform.n.01|costume.n.03|array.n.03|habit.n.05|clothing.n.01|costume.n.02	109240217|109251719|109251842|117695535|117754137|117754152|117759359|101545588|118333954|118333994|118334418|118334625|118334974|110001009|110017183|110022922|110027923|118454144|118478143|118478166|118504898|118821107|118825238|118826273|118829620|118836928|118879431|118980533|119000371|120832252|120974869|120982759|121448543|113411968|113412243|113419975|113420406|113426153|113429121|113501432|113517735|121990308|113605527|114640516|115400972|107079854|115483526|115503137|123909800|107153573|107165786|107264740|107349295|124318561|124557144|124593477|124599816|124602275|124631968|124643006|124655053|108534238|108546814|108644958|117194623|117236730|108848443|117237525|108872722|108948905|108955423|108987662|109007960|115857794|115895118|115955006|115977651|115977706|115977783|115982439|117753886|110029196|118792209|118792475|118825208|122675594|110029331|118504494|119000414|117236697|118664540|115939688|115939719|124533092|109998786|110009781|117184905|113464942|113471050|108803364|115932040|124591283|117073011|109998844|117352832|118461266|118835507|121327132|106540052|114554815|115978229|110029163|117188165
appearance.n.01	appearance.n.01|expression.n.01|figure.n.08|semblance.n.01|countenance.n.01|look.n.03|persona.n.02|color_of_law.n.01	117757948|117961459|109925918|118343456|109963317|118371922|110017210|110029273|110029457|110030607|110031468|110033308|110039018|101693540|118504228|118642778|118864074|118940163|102639763|102654288|104032964|121327372|104705061|113299803|113428285|113428429|113575728|113575843|113584597|122788165|106164633|106171913|106451897|106464987|115432183|123912442|115649309|115790031|115790212|115790855|107539233|124545101|116193144|116230779|116273198|108381586|116869429|108668047|108685139|117110824|117191927|117330033|117339658|117352953|109019196|118376042|119068404|107294558|115752144|116999802|108932817|117950479|117950610|101787884|106148908|117323942|113391108|115509953|108773327|109125967|108677821|113409184|107197012|117546643|118827268
kind.n.01	kind.n.01|type.n.01|category.n.02	109232321|101800682|102210821|102503268|111005408|103566456|103567140|104352294|121234396|104506077|104673702|113652553|114651612|114665489|107089415|107089533|107154352|107164407|107185227|107241634|107331403|115787420|107494003|107496616|124319543|116093894|107770552|124573108|124753313|108561158|117128814|109006071|104070825|120981004|114660424|107527087|104048863|104050292
human_body.n.01	human_body.n.01	117597641|101371345|118376626|101787752|101876080|102012466|118993045|119009928|119042272|102328413|102597949|102597968|102623613|102633062|102640146|111162744|103574121|103824566|104171363|120977486|104643114|104643127|121447256|115680713|107640737|108246431|100498177|117320450|117367678
