mind.n.01	mind.n.01	117451964|117453723|100676829|100677345|117455660|117455706|117457246|117458183|117458213|117462971|117467139|117468517|117470083|117478470|117486614|117486617|117489758|117491322|117491477|100718252|117500158|109112647|109115563|109122165|117511587|117513955|117514337|100740465|117519421|100743718|100746888|100747578|117525382|100750063|100750457|100752260|109140991|117530436|117531594|100754711|117544714|117544725|117546926|117546936|117546939|117547285|117547296|117547348|117548634|117549251|117549256|117550279|117551022|117553629|117553636|117554758|117554787|117554821|117554859|117554875|117555227|109166787|100779124|117556667|117561990|117562882|100786659|117564958|117564990|117566119|117568937|117568965|117570230|117571452|117573713|117575102|117575789|117575812|117576749|117580604|100807234|117590163|117590192|117591551|117593786|100822864|117603338|117608914|117611964|117613179|100836849|100836904|100836910|117615036|117617054|117617065|117617066|117617454|117619390|117625143|117629203|100856186|100857218|117636264|117638517|109266922|109266925|109266928|100878874|100879303|109287567|109287942|109288440|109304028|100928284|109362276|109362285|109401996|101080646|109506614|101131673|101146230|101156197|101159215|101177349|101192504|117985441|101214242|118003560|118003565|109648983|109651574|109695711|109753250|101367038|101367596|109778935|101401131|101424626|109819045|101459587|109868922|109871148|109876386|118292090|109909085|118302951|118303722|118303808|118309981|118366841|109979686|101647579|101653026|101655175|101655943|101656021|101656190|101656787|101659596|101660523|110049131|118438994|118439002|101662508|110052640|101665565|101666640|101669197|101670802|110062659|118451676|110063755|110065725|110066647|101678075|101678521|101711342|101711366|101711381|118501567|101725047|101725090|101726469|101729102|101731943|101732797|118510297|101737576|110146099|101780936|101780955|101780994|101781041|101781102|101781128|110185577|110188483|110188530|110191022|110193415|110194112|110194121|101812269|110210574|110210662|110214595|110217423|101829674|101830245|101830398|101830419|101830491|101830657|101830692|101830711|101830738|101830802|101830841|101830877|110219660|110220867|101832975|101833004|101833094|110221703|101833126|101833819|101833867|101833885|101833985|101842995|101844127|101844324|101845827|101846013|101846057|101846225|101846471|101846510|101846525|101846583|101846659|101846685|101846856|101847060|101847094|101847129|101847169|101850920|101850951|110244901|101874277|101875425|101875444|101883598|101887693|101899189|101899212|101931978|101937836|118726068|101969749|118748042|101971762|118749954|118765240|118765252|118765279|118765297|118765598|118768666|118768678|118768686|118768706|102001635|118803932|102039420|102039541|118822095|102045003|102047276|118831110|118831126|118831137|118831160|118854426|118888103|118897697|102123307|102158971|102174458|102176639|102183356|102200747|118983081|118994156|119001929|119001947|119001967|119001988|119002096|119002112|119002220|119002352|119021181|102245706|102245720|102245737|119030431|102259824|119052184|102281932|102285853|102292390|102294540|102312874|102312902|102312910|102312948|102314048|102314561|119096444|102322209|102325171|102409253|102409329|102441002|119295355|119384501|102965010|103021139|103103346|103353618|103376165|103592099|103668140|103688158|103694617|103694652|120642574|120649204|103948322|103948336|103948871|120750948|112391640|120783592|112396760|104018871|104020750|104023734|104049746|104056780|120837346|120854628|120854644|120854733|104082629|104086302|104087285|104088133|104088212|104090546|104090741|104091258|120876005|104104560|120965205|120965212|120965242|120965269|120965280|120965292|120965407|120965423|120965510|120966027|120967030|120972526|104210419|104217097|104217234|104270451|104350540|121135692|121140696|121146789|121212364|121229263|121233691|104458081|104458242|121244284|121261644|121327313|121340981|121340998|121391747|121392787|121434960|121468537|121473959|121474146|121476168|121495453|121500166|121513059|121513142|121514014|121522137|121544171|121547133|121547591|113338157|105043532|113472844|113520534|121943139|121943142|121943155|105183565|121990705|121991424|121995565|121997007|105229368|105235546|105237393|113648255|113664913|113692007|113733390|105404067|105687144|105775541|122609892|122613812|122620348|122620403|122631561|122642493|122710672|122718754|122718758|122720772|122762519|122762848|122762873|122765435|122765484|122765639|122765894|122772627|122773067|122773626|122775884|122777796|122790422|106113528|106113555|106114770|106115142|106115490|106115502|106115537|106115894|106124027|106124047|106124172|106124822|106124840|106124850|106124876|106125900|106126060|106126231|106126258|106126269|106126297|106126393|106126525|106126577|106126627|106126748|106126799|106126835|106126856|106126875|106126884|106126914|106126934|106126989|106127005|106127133|106127143|106127208|106127534|106127621|106127679|106127719|106127726|106127741|106127751|106127760|106127820|106128038|106128280|106128373|106128398|106128925|106130760|106131321|106131805|106131828|106132041|106132075|106132163|106132375|106133041|106133765|106133798|106133958|106134104|106134316|106134740|106134853|106135182|106135296|106135373|106135426|106135440|106135477|106135492|106135512|106135530|106135563|106135637|106135720|106135724|106135750|106135788|106136034|106136141|106136261|106136376|106136388|106136474|106136522|106136592|106136652|106136692|106136703|106136738|106136754|106136772|106136795|106136830|106136838|106137014|106137079|106137088|106137118|106137126|106137179|106137294|106137517|106137790|106138074|106138226|106138408|106138445|106138499|106138514|106138574|106138583|106138616|106138646|106138667|106138713|106139141|106139368|106139652|106140115|106140862|106140909|106141020|106142615|106142754|106142781|106142904|106143613|106143641|106143665|106143676|106143745|106143790|106143868|106144067|106144219|106144336|106144526|106144562|106145028|106145108|106145165|106145195|106145282|106145647|106145719|106145745|106145766|106145796|106145807|106145822|106145919|106145989|106146106|106146199|106146867|106147165|106147573|106147707|106147716|106147922|106149972|106150007|106150242|106150462|106150625|106151224|106154024|106155709|106155844|106155876|106155887|106155912|106155935|106155973|106156147|106156172|106156187|106156229|106156873|106156899|106156952|106157025|106158785|106158802|106158853|106158858|106158957|106159000|106159027|106159051|106159318|106159353|106159388|106159418|106159432|106159440|106159673|106159834|106160603|106160616|106161006|106161090|106161598|106161789|106164973|106165100|106165298|106165488|106165773|106166123|106166127|106168679|106168880|106169481|106169750|106169985|106170097|106170399|106170547|106171448|106171757|106173396|106173955|106175841|106177686|106178333|106178410|106179589|106184742|106184779|106184801|106184816|106185808|106185924|106187007|106187146|106187443|106187716|106188021|106188065|106188203|106188256|106190113|106190241|106194901|106196008|106196056|106196147|106196381|106197143|106197222|106197280|106197314|106197347|106197374|106197417|106197864|106198731|106200677|106200720|106202040|106202061|106205281|106205661|106205836|106206800|106206854|106207116|106208459|106209676|106209820|106209828|106209959|106212500|106212555|106212676|106215257|106216079|106216376|106217474|106218259|106221103|106221252|106222047|106222202|106223022|106223147|106223654|106224053|106224468|106224863|106225000|106225372|106225399|106225580|106226561|106231668|106232001|106232797|106232979|106233206|106233290|106234206|106235294|106235941|106236927|106237566|106237985|106238128|106238887|106239569|106244584|114634276|106246599|106246731|106247516|106249360|106249744|106250497|106250698|106252449|106252733|106253619|106254255|106255878|106257785|106259402|106259491|114648110|106259521|106259752|106262547|106263318|106263527|106264469|106264745|106265604|106265647|106265693|106265907|106265977|106267888|106267960|106270236|106270279|106270306|106270319|106270732|106271465|106271856|106272111|106273040|106273711|106273935|106274685|106274793|106274940|106274943|106275173|106275709|106276062|106276130|106276157|106277280|106277598|106277875|106278509|106278944|106279084|106279491|106279952|106280247|106280504|106281540|106281765|106281929|106281949|106281987|106282011|106282761|106283075|106283401|106283475|106283744|106284856|106287198|106287782|106288957|106289666|106290197|106290437|106290942|123070291|106294803|106297511|106297582|106297675|106297770|106299234|106299320|106299691|106300270|106301063|106302299|106303381|106303618|106304190|106305034|123082404|106306346|106308222|106308388|106308442|106309000|106309461|106310212|106310845|106310857|106310966|106313672|106315680|106315798|106317365|106318557|106319653|106319878|123097439|106321036|106321117|106323892|106324558|106324598|106324782|106324810|106324845|106326188|106326464|106326880|106326912|106327234|106327922|106329136|106329889|106332033|106332227|106332339|106332511|106334657|106335652|106337829|106337842|106337910|106339962|106340586|106341394|106342719|106342879|106343234|106343248|106343356|106343420|106343476|106343534|106346125|106346188|106346221|106346554|106346706|106348237|106348584|106348619|106349604|106350109|106351896|106354039|106355523|106363622|106364250|106364600|106365689|106365767|106366308|106366583|106367363|106367453|106367593|106367884|106369370|106372716|106375390|106375502|106375907|106376178|106376191|106376687|106376939|106380207|106385950|123163428|106386656|106394373|106394534|123176392|123176416|123177125|123177342|123179234|106402369|123184524|123185135|106410865|106424681|106424695|106427788|106432334|106435099|106436267|106438256|123219156|106442589|106443962|106446906|106446933|106448602|106457802|106457873|106458484|106458731|106459054|106464431|106466414|106466954|106471166|106481647|106483308|106489777|106490549|106495029|106495218|106496281|106501710|106501748|106503655|106507470|106522634|106525561|106527735|106531225|106531287|106533892|106540607|106542563|106553603|106565321|123343361|106570505|106579547|114988759|114994063|123539415|123539439|106788190|123566196|123569343|123569346|123588865|123588875|123588916|123589730|123590453|123590607|123590642|123591617|123651981|123652307|123652370|123652455|106927031|115437044|123894754|123910782|123911028|123930683|123943379|107171041|123948906|123950901|123954981|123955134|123957211|123959461|123968943|123976838|123981792|123983164|123985583|123985822|123986283|123992637|115631777|107284207|107364273|115798356|115850955|115858267|115892501|115919284|115985355|116008624|116066916|107703747|116139214|124547706|124563714|124590947|124592365|124612391|124612865|124616126|107844990|124627609|124634814|107858731|124668370|116304236|116311826|124703924|116330385|116330470|116330803|116336149|116337186|124727427|124741019|108020074|108094172|108156380|108158248|116549751|116549770|108169474|108179674|108183748|108185855|108249719|108263380|108351686|108399703|108400317|100045800|100049188|100075291|116856888|100083858|100129993|100138432|100139697|108545058|108545075|108579830|100211089|108609557|100222016|100240462|100243679|100246947|100251387|100258950|108654156|100298409|100298415|100298431|100298681|100298713|100298947|100299355|100300666|100300776|100300793|100300927|100300943|100301278|100301447|100301606|100301758|100301776|100302751|100302837|100302959|100304911|100305943|100306462|100307213|100307485|117109548|117156845|100435674|100441558|100458265|100531071|100572057|117370230|117371043|100594896|117373496|100599114|117376635|117378012|100601366|117379702|109030463
reason.n.03	reason.n.03|intelligence.n.01|understanding.n.01|mind.n.07|brain.n.02|realization.n.01|comprehension.n.01|sense.n.05|brightness.n.02	117467354|109319171|109401877|109652434|109869138|101704859|118492176|110213353|101833793|118779809|118795662|110421588|118824669|118824688|118824740|102088220|102115579|102115736|102116796|102116804|102118024|102142665|102159998|102160012|102160954|102161883|102162813|102165558|102167137|102167168|102182218|102194154|102198394|102213203|102213253|102215441|102222053|102281419|102282542|102284344|102284491|102284660|102284702|102285663|102304916|102306443|102306458|102306514|102306605|102307127|102308633|102308823|102309386|102329076|103565509|103566625|103566642|103566665|103566698|103566734|103567119|103567165|103567183|103567217|103571276|103571316|103571938|103572954|103573324|103574002|103583732|103584419|103584431|103584993|103585045|103585182|103585189|103585257|103585293|103585380|103585520|103586372|103586539|103586702|103587247|103587324|103587336|103587479|103587673|103588378|103693090|103694609|103785064|104155559|120965970|120966592|120966840|120966935|120967758|104239251|104299402|104326872|104365382|104470537|104470541|104471694|104508153|104550601|104569927|121526231|121526289|113299936|105259382|122663895|122691539|122691875|122691902|122713434|122765074|122765486|106110105|106110146|106111595|106126378|106126737|106127601|106138119|114556669|106187026|106187538|106209678|106212798|106228301|106250783|106274004|106298688|106308460|123091869|123106988|123107006|123107190|123110295|123110772|123126252|123126998|123127085|123137010|123143978|123166841|123175203|123181146|123181644|123181652|123182309|123190568|123190645|123190724|123190735|123192475|123195302|123195338|123196458|123196566|123196908|106424613|123202901|123203566|123203696|123212111|123214680|123214701|123218369|123220227|123222593|123222612|123222617|123222648|123222663|123222757|123222828|123223348|123223357|123223419|123223658|123223727|123223990|106448619|106457786|123236448|123248129|123248135|123253180|123253826|123254087|123254099|106477222|123255443|123257838|123265463|123272850|123281684|123283596|123283766|123318923|123323055|123323137|123342211|123342390|123342443|123343336|123344926|123546342|123546351|123546793|123546812|123548476|123548542|123548550|123549675|123549961|123561393|123562569|123563029|123568325|123569324|123572272|123596328|123632764|123632931|123634941|123634974|123634991|123635010|123635083|123640353|123640430|123640437|123640449|123640824|123992759|123992930|124482320|116329641|117457657|100710378|100722454|100748704|100760502|100780813|117558058|117559690|117568204|100832510|109261627|109267790|101150763|117983100|117985283|117986047|117986791|117986820|117993099|117995917|117995926|118002309|118009333|118013077|118013736|118013758|118014436|118014447|118310477|118328575|118333009|118357840|118357917|118362883|118371041|118376369|118397371|118424102|101660271|110080771|101711612|101711701|101711743|101712005|118490358|118495898|118496991|118512215|101773147|101902538|101902695|101904025|101936281|118763234|118763255|101986854|101986872|101986924|101999914|110402244|102017768|102108729|102114803|102116766|102124475|102208130|119011865|119026477|119048131|119048305|102327159|102328390|102328444|103203026|103407159|120640875|103925652|112386393|104024579|104171073|104200057|120985169|104218643|104218705|104219696|104299372|104365250|104365308|104365354|121177917|121255706|121284491|104544743|121340969|121453168|121515266|121523496|113403789|113478287|105155042|105158654|105303450|105376648|122637295|122682228|122691942|122702164|122702170|122765386|123056111|123067982|123091576|123091778|123091783|123091949|123091950|123095242|123095306|123107288|123107292|123125457|123126051|123126057|123163855|123187772|123201696|123221842|123222328|123222375|123230975|123231002|123236432|123236628|123240399|123240582|123244668|123251779|123251783|123251789|123257616|123257875|123268476|123894562|123954491|123987139|123989700|116553024|116553047|116553133|116567255|108530403|108929934|109015540|100705301|117484428|117484438|100763075|117564111|100794981|117679410|109400273|109400571|109400573|117992945|117996756|117998329|117999786|118001053|118008649|118010198|109952140|110072469|101692441|110199439|110199456|110199466|110199523|101842917|110243248|102021994|102022161|119012035|102291802|102502329|103013524|120640700|120642402|120642531|120657210|120657548|120658559|120658622|120658712|120665283|120728609|120729002|120967911|121351678|121351690|121392367|121403193|121419459|121457379|121458966|121462115|121465433|121466422|121484583|121491424|121492188|121492298|121507794|113522553|121955782|121955802|121955815|121955826|121956130|121979744|121991854|121997057|122670609|122708431|122763496|122764231|106375441|123179268|123179885|106547700|107469196|116330005|116330342|116331682|108178413|108197162|108264251|116777192|100072355|100089307|116901505|117080670|108904323|108906050|109077264|101152216|101652298|101660022|101827431|101832829|101833782|101844434|101899256|103693687|120965335|120965354|120965550|120965559|120966035|104515251|105062072|122764763|123082525|123106837|123106843|123110040|123130410|123134897|123182297|123184438|123186136|123186164|123186193|123186200|123187972|123187975|123188664|123190678|123191366|123191419|123196501|123196506|123196539|123197162|123214674|123218402|123222784|123223013|123223695|123223770|123223910|123223956|123248337|123248416|123257223|123257233|123257549|123257557|123257606|123259113|123259569|123260262|123260476|123263334|123265413|123265492|123267653|123267658|123268469|123268917|123280489|123281107|123342976|123529538|123548232|123566450|123569401|123569421|123580230|123632509|123634802|123634804|123639749|123640109|123640202|123640342|123640421|123640423|123640491|123640692|115638862|100821180|100839064|101231474|101623662|110055298|110058574|110060120|110060299|110064391|110066264|101728895|101855777|102039571|118854972|102243217|102980115|121342606|121344654|113596542|122616020|122695513|106118639|123953951|123965063|100052702|100297992|100299513|100301829|100303412|100303817|100304056|100304234|100306176|100308165|100494449|120975851|105154925
common_sense.n.01	common_sense.n.01	109120417|109122919|109124561|109125164|109135034|109135171|109166154|109166347|109168934|109170093|109170799|100785579|109180121|109187004|100817194|100817255|100822452|109215076|100836825|100840048|100858204|109274822|117683637|109335180|109346943|109358986|109368706|109506105|117966160|101199195|101203300|101223650|101230619|101230856|109689261|109696464|101390456|118388409|118410768|118415305|118428296|118436110|118443138|101683225|101691279|101696202|118483269|101709524|101713244|101742351|101846576|101872890|101885061|101886016|101928120|118720833|118720890|118721951|101946485|102004261|102005478|102017744|102017753|102051242|102061721|102110334|102110355|102181048|102218086|118998538|102229783|102280821|102287451|102294829|102319384|102320185|103036840|103347227|103349078|103352540|103357623|103455194|104353662|121346062|121346107|121346166|121346184|121346239|121346255|121347393|121367877|113298332|113317865|113354453|113373338|105063243|113551672|105166452|121945221|105173590|105331301|105346885|105739745|122611658|122650705|123557629|106928024|107156698|123934697|107195421|123989078|107334938|124603957|108620609|100253565|108755896|108800211|108892553|108893780|108898786|100514407|100524760|108939233|109001763|100631801|100631943|109031984|109032128
attention.n.01	attention.n.01|attentiveness.n.01|mind.n.05|eye.n.03|notice.n.02	100669337|100707169|100714882|100722167|100722567|100729915|100731253|109120843|100736849|100738109|100742940|100756639|100757566|100766008|100781890|100783565|100785004|100786170|100786233|101109807|101111491|101120909|101125748|101145822|101152960|101153417|101271402|109735275|101352635|109763209|101464330|101509028|101517809|118312050|118314625|118315657|118316655|118353948|118375973|118379774|101679053|101690451|101690693|118483833|118503031|118512479|101743641|101775293|101786260|101789215|101792437|101806052|101809424|101862626|101904666|101913483|101924551|101936646|101942867|101943060|101947176|102002983|110402231|110411913|110419584|102035130|102048519|102075318|118941017|102183461|102215511|119000825|102310558|102438866|102446941|102489631|111168884|111169392|111170200|111171885|111203826|103040768|103087488|103165268|103184692|103214101|103243639|103299054|103306984|103314542|103351916|103384474|103403827|120749448|112401877|121193993|121214123|104511295|104915110|113517407|113531769|105196337|105263257|105354785|105355891|105391561|105398768|105436730|105444134|106289314|115378149|107368411|107368468|100626739|109082325|100729544|100749001|101351670|118319951|103259342|103292432|103347507|107168673|107205932|107238768|107272927|107279411|107296556|107322158|107366958|124686033|108028302|108169428|108879426|101138257|101834663|103479545|100081372
thinking.n.01	thinking.n.01|idea.n.01|consideration.n.01|reasoning.n.01	109115616|100776517|100783081|101501737|101664170|102159712|102165283|102165294|102165321|102165369|102192730|102446442|103003953|103004033|103583877|103584984|104036933|104088499|104088815|104090693|121435570|121506790|123044670|123044711|123045717|123046554|123053086|123055462|123124070|123169554|123175621|123176601|123180870|123180880|123180937|123183667|123188202|123191815|123193128|123199901|123223021|123223025|123260843|123265231|123269041|123640640|123995554|124604066|124671986|100007383|100051813|100077982|100084000|100105846|100106699|100116523|100133848|109113730|100792865|100849315|117630992|117952864|117956413|101187220|101548646|118374433|101654677|101660301|101848240|118875418|102129325|102424174|102955482|102977163|102988738|103362426|103694511|104088903|113419126|113522744|121950715|121988249|121988439|105739541|122613751|122710397|123180008|106539700|123898567|123935596|123943836|123983796|107478254|116032146|124626079|117050757|108887977|100608097|100647534|105210661|113659382|107629135|124567091|100913866|105293515|123179767
meaning.n.01	meaning.n.01|sense.n.02|intent.n.02	109112298|118789244|118815849|112440306|120976767|121370944|121378036|121378080|121423115|121434093|121436603|121436707|121451550|121488947|121488960|121501729|121515084|121515134|121523542|121538830|105043457|121943366|121945012|121945145|121950481|121953006|121956992|121960230|121966278|113589407|106214189|106226210|106264527|106457709|106547816|107018051|107478290|108621020|100408190|108917771|108917785|117599848|117608192|117951345|101867122|118831651|121946539|121962194|121971818|105425376|122787260|106190396|115363537|107460619|107471699|116782443|108973049|108973983|109789061|119011931|105319964|113716410|107802215
purpose.n.01	purpose.n.01|mind.n.06|aim.n.02	100864098|100874982|100951626|100960212|100962308|101072560|101081445|101087423|101558658|101865253|101887514|101895046|118757921|118821940|118850164|118855748|102374779|111161710|102952854|102958157|102970954|102989887|102993096|103099228|120990418|113653566|106267834|114990579|123989548|123992776|116126789|124587109|124634990|124638428|124642971|124700940|108396126|100041484|100142515|101462877|101679875|101691946|102063121|102979299|122664936|124677130|124714381|100136795|100298852|109047011|118759973|118785949|113686610|113692664
heart.n.01	heart.n.01	100836075|100868671|100878097|100880176|100941471|101184572|109696866|109990574|110066132|110066192|110073082|110081232|102003920|102968067|102979878|102991828|103590661|106232831|106320518|106590286|123935173|123964937|123984519|116067994|108249827|108398762|100129909|100242208|100243112|100253011|100298395|100300755
sense.n.03	sense.n.03	109237375|109318549|117956654|101225784|109869189|118501976|118501987|102017777|118854589|103584552|121523271|106135432|106145222|106146377|106213786|106294987|106408986|123200534|123248325|123248326|123640388|100174974|117374835
soul.n.01	soul.n.01|spirit.n.01	109400341|117986783|118779224|118779240|118779263|118836589|102373270|102964101|102983944|103078468|103566679|103592056|121435521|121506841|121522964|121523907|106142495|106246536|106346759|123136556|123181036|106530982|102964395|120854990|100242997
