voice.n.02	voice.n.02|part.n.11|tune.n.01	117454395|117464159|117468513|109085757|117483250|117483923|117484270|100737492|109137114|117536195|117536268|117536300|117536521|117536540|117551542|117552471|117558959|117560487|117564342|117566031|117571289|117582326|109194268|117583256|100807932|117585166|117585177|117585212|117585722|117596520|117607959|117608368|117614999|117615748|117615805|117617094|117621270|117624460|100866626|100866644|109258344|109277080|109277106|109290914|100905052|109299691|109308866|109308907|109309086|100924659|109330807|109344277|109360635|109372082|109388559|109396509|109398704|109400163|109400189|109400209|109400311|109402148|109402457|101150593|101151181|101155734|101164653|101164656|117947016|117962477|117972549|117972617|117972630|101216162|118012913|101325092|109724202|101367268|109794583|109851916|109852066|109864668|109867688|109881851|101493974|101534504|109923431|109950294|118368853|118373538|118373894|118393388|101637794|118426983|101650263|118429198|118437303|118438983|101665492|101669588|118448009|110090673|110091151|110097112|110101081|110110054|110110123|110110991|110111265|110113742|110117136|110123190|110123251|118512550|101735465|110124613|110126561|110127363|110131248|110132608|110132631|110134664|110139509|110139548|110141406|110144749|110144758|110145154|110150009|110150066|110154974|110155008|110155245|110155449|110156517|110157395|110157432|110165155|110166877|110168991|110169547|110169602|110169737|110170468|110170526|110171510|110171540|110172344|110172376|110174581|110174604|110176285|110178561|110180494|110180539|110180657|110180801|110182098|110183115|110183349|110199307|110199337|110199388|110216711|110223370|110223508|110223723|110227648|110227768|110232579|110232604|110237271|110237313|110237384|110238783|110238855|110238954|110239197|110239431|110239456|110239571|110239689|110239725|110239812|110240076|110240256|110240591|110240812|110240826|110241134|110241463|110241479|110241493|110241577|110241603|110242026|110242114|110242271|110242523|110243304|110243309|110243314|110243320|110243444|110243515|110243633|110243713|110243794|110244122|110244525|110244541|110245176|110245242|110245785|110245856|110245959|110245989|110245994|110245999|110246286|110246949|101873431|101929673|101951482|101960509|118792395|118796226|118829034|118867548|118868411|118869726|118891410|102123275|102194977|102201314|102205350|119006409|119006518|119012406|119017393|119021086|119023404|119034830|119034858|119036021|119036025|119037975|119037978|119039542|119045129|119051234|119051254|119058148|119070530|119093514|119113659|102372363|119206171|119335477|111155103|111177328|111177333|102984491|103008260|103015808|103394064|103401906|103403920|103418445|103419265|103422319|103427048|103578371|103578381|103578525|103578644|103812614|103816574|103816597|103816604|103817065|103817391|103817494|103849173|103874252|103874615|103874689|103876592|120663644|120666407|120666536|120684403|120686320|103925255|103928647|112406107|112418042|120830144|120831448|120873834|104151997|120943591|120943612|120945507|104181906|120971399|104223717|121034333|121034358|121068500|121068531|121069539|121069553|121071283|121071395|121073115|121073175|121075720|121076253|121076273|121146267|121146319|121146525|121146730|121148803|121212035|104544804|121379630|121380244|121380400|121380429|121380817|121381418|121381695|121390611|121390643|121406817|121407518|121409868|121412500|121412556|121412603|121412616|121412648|121412711|104643664|121422863|121460251|121468967|121471589|121472770|121543926|121546141|104874778|104874831|104875773|104881591|104885569|104885689|104886607|104889826|104891665|104901429|104901499|104906274|104912651|104923557|104923791|104923852|104923946|104924464|104925940|104926566|104926981|104933170|104933201|104941049|104967658|104971475|104972010|104976836|104977239|113370829|104990162|104992301|104992315|104992817|104992898|104992989|104993875|104993898|104993940|104993982|104993998|104996914|104999711|105000129|105003049|105004873|105004876|105004931|105007617|105007971|105008250|105008336|105008606|105008656|105008801|105008954|105008999|105009735|105009845|105010280|105011344|105011521|105011595|105011910|113411018|105040117|105045912|113443625|113453786|113469782|113474114|113475976|113555486|121949027|121974507|113586654|121987665|122004209|113674811|105752866|105753190|105823990|122619000|122646759|122682301|122706008|122726409|122774323|122774484|122774582|122774722|122774771|122774824|106138918|106139919|106144773|106145581|106158820|106186069|106186695|106200498|106209244|106222243|106226711|106237558|106237836|106241458|106241513|106246698|106265524|106269795|106272710|106272849|106273011|106283022|106284633|106287868|106290499|106290954|106297572|106314422|106333745|106335072|106340261|123126121|123126137|106355206|106355288|106364707|106369139|106380842|123159771|106384091|123178319|106404636|106405575|106427148|106431278|106432006|106433513|106438338|106438390|106439062|106439117|106439168|106454478|123240651|106467515|106483302|106545161|123322547|123323020|106566989|106569629|106590729|106591620|114983186|114983842|114990408|114990644|114991586|114994006|114994009|114994232|114994323|115042723|115042864|106737051|106742352|106759807|123561383|123564353|106876854|106895522|106908851|106914254|107076093|123889546|123890970|123894439|123894448|123895506|123895956|123896576|123898806|123899115|123899386|107123375|123901960|123903092|123904735|123911743|123911862|123912228|123913840|123913853|123920891|115546610|115547978|115548887|115550087|107173180|107173228|107180817|107219564|107245804|107268013|107280285|107309194|115721248|115806117|115826497|115834660|115847661|115936520|115982365|116013796|116111580|116124610|116140740|116144861|107852644|107863688|107867648|107868085|107873544|107877037|107880891|107883394|107884251|107884363|107886805|107887925|107888950|116278259|107893418|107894164|107896786|107897430|107905363|116296193|116296197|116296201|116296207|116296214|116296220|107908309|107908644|107908687|107909254|107912862|107918449|107919359|107920032|107921993|107925257|116315541|116315587|116315613|116315623|116315628|107928438|107931683|116325421|107939748|116336740|116336747|107950195|107950224|107950255|107951205|107953386|107958110|107960671|107969764|107970274|107971087|124763234|124764902|107997282|107997294|107997305|108003487|108006217|108014497|108023885|108027679|108028652|108028678|108030785|108031882|108039124|108039305|108040468|108043332|108043930|108044117|108044928|108061510|108063416|108063483|108077177|108099923|108100263|108102786|108102908|108105408|108106054|108106071|108106076|108106081|108106109|108106115|108106126|108110439|108111649|108111756|108113674|108113903|108117337|108120128|108120134|108120385|108125674|108126144|108128111|108128181|108129497|108134706|108138566|108146115|108146124|108157261|108157514|108160951|108163458|108163824|108163831|108164577|108166480|108167599|108168221|108170028|108179933|108179937|108179948|108179955|108180340|108180679|108182645|108184745|108189478|108197258|108199050|108209458|108210281|108210337|108211813|108222783|108223621|108228273|108228464|108229826|108230807|108232012|108232140|108235981|108236827|108247613|108247711|108250866|108252144|108257421|108257522|108257530|108258482|108258870|108258901|108259111|108259410|108261180|108263288|108264464|108270211|108270219|108272258|108272364|108275631|108275635|108275999|108276003|108277328|108277546|108278307|108278528|108278662|108279073|108279406|108279417|108280739|108281415|108281737|108281743|108282601|108286559|108286562|108286565|108286568|108287740|108290000|108291768|108291771|108292224|108294134|108294909|108294919|108296764|108297309|108300341|108302404|108302407|108302410|108302413|108302416|108306121|108307325|108307764|108308579|108310160|108310207|108310416|108310817|108310832|108310835|108310838|108310841|108310858|108311002|108311235|108313639|108317663|108318299|108321148|108321631|108328169|108328217|108330292|108334785|108334818|108345890|108352321|108352367|108352391|108352713|108357491|108357872|108360047|108362108|108362235|108370033|108371884|108372491|108374028|108374157|108374804|108378265|108385920|108386020|108386912|116811710|116838085|116838140|116877108|108507889|108509139|108509853|108509874|108511407|108511442|108515578|116942881|116948095|108560901|116965002|108579108|108582865|108592028|108605471|100238033|100243012|100249240|100260836|100307576|108725510|108753565|117163178|108802212|108858978|108877342|108885840|108944708|117338683|108951753|117349196|117349216|117352978|108965029|108966616|117356837|117356857|117356974|108974171|117373650|117373796|117378201|117379887|100637408|109027266|118880246|115044718|108126738|103929041|123230189|117368197
voice.n.01	voice.n.01|sound.n.01|voice.n.09|voice.n.06	117452143|109084904|109112070|109114016|109118141|109121554|109125970|100747896|100757420|117536145|100760863|100766266|109190115|117589204|109201525|117604800|109243998|100866903|117679312|109304231|109304374|109311441|109311489|117701777|109321654|117715557|109330335|109330723|109330757|109330844|109331027|117726803|109360437|109360451|109387880|109387903|109400678|101062743|101111314|109507941|101139347|101142474|109536009|109536021|101155766|101155911|101168431|101172473|117950672|117950720|117950876|101177561|117962507|117964290|117968528|117980295|117980859|101212313|118010259|101241978|109649752|109652149|101298944|109724135|109724608|109774732|118176781|118178254|109802918|101423884|101430148|101432254|101454298|109852333|101500644|101507037|118294648|109929505|109938194|109958339|118373568|118377155|118391973|101638271|110027352|101657360|101658014|118437129|118437132|118438416|118439019|101663864|101668578|118468596|118482559|118488614|101720339|101735516|110148310|110150247|110155028|110173133|110173321|101787760|101787761|101806228|101806339|101828863|110232977|110237381|118633053|110245805|101863363|118646691|101913407|101933825|101958351|101958367|101960501|101960833|101967181|101973131|118779838|102006357|118792251|118793505|118793528|118795680|118795827|118801790|118845784|102075708|118857958|118869000|118872832|118879253|118879321|102115227|118893097|118898010|118904404|102136515|118934259|118945801|102205394|118999811|119091961|119092016|119100447|119114017|119139540|119151733|119161047|102396483|102423947|102501038|119338631|119379210|111185484|102906491|102961519|102984156|102998410|103005801|103006564|103013050|103073826|103074966|103076697|103095159|103095872|103096435|103107508|103115174|103126077|103126086|103197153|103321578|103395255|103407429|103419320|103420223|103427158|103649292|103687080|103767570|103771359|103809186|103809203|103809265|103810270|103810330|103816429|103816771|103817321|103817420|103817450|103817515|103817670|103817686|103817718|103874204|103875191|103876449|103876464|103878317|103880690|103880768|103880796|103880970|103880989|103881028|120666492|103905509|103905562|103905567|103905714|103940828|103940878|103954701|120774027|112417603|112443857|120879657|120879660|104145791|120978245|121036870|104285720|104291579|121152547|104489310|104502048|104505835|121327667|121328788|121348563|121389995|121390039|121403952|121405234|121405971|121406766|121461546|121509586|121510128|104767901|104768568|104768709|121546000|104781916|104875045|104879466|104881989|104891055|104891056|104892637|113299944|104912413|104913310|113304416|104923391|113319932|104933189|104933196|113324009|113324852|113327092|113357825|113371125|113372674|113389298|113434151|113438197|113471052|113477326|113477909|113490043|113503038|113508864|113521376|113530760|113532764|113533176|121939886|113565777|121960427|121960969|121975824|113590459|105348497|105436361|105770622|105773455|105814384|105822688|122649004|122650039|122653713|122678657|122682324|122760215|122774874|122774900|106120069|106123249|106123864|106133981|106145869|114549193|114549221|114549255|106171537|106211561|106223447|106225845|106246415|106246421|106246426|106246500|106246940|106258292|106269434|106272903|106276415|106306533|106306562|106306576|106306646|106311336|123098213|123100582|106343094|106343173|106343205|106389033|106395315|106420026|123205698|106438357|106499141|106523435|121212528|106539437|123321764|106544999|123331992|123333805|123337625|106583700|114984416|114984914|114989158|115042616|115042660|115042694|115045991|115046258|106744514|123525827|123538855|123564603|123565212|123565224|123567137|107018113|115436506|115442501|107076220|115469985|123898428|107153807|107162495|107172761|107173245|107173265|107175370|107267980|107268036|107268081|115669473|115715012|115813395|115850864|115850903|107462537|107465556|107469753|115871671|115894181|115954865|116115010|116124642|107847063|107870607|107880272|107891271|107901074|116290039|116292556|107905353|116294646|107907355|107907361|116296315|107908620|107919279|116312061|107926312|116315607|107952994|107963212|124764706|108043387|108061351|108105648|108111041|108114601|108119737|108127301|108147476|108164484|108164639|108164644|108165352|108167889|108168113|108181284|108257317|108258476|108258557|108269287|108281740|108281746|108291774|108291777|108292446|108300311|108303320|108351995|108358883|108360012|108373437|108374799|108374875|108378804|108385941|116816218|116816231|116823589|116843193|100066769|116845207|100098851|100106268|100116889|100119899|116901906|116906984|108539697|108557725|100184024|116979022|108600644|100216920|108605855|116995270|100218352|108610558|108611036|108624905|108630745|100254655|108646176|108648152|108660590|108663268|108677825|108691632|108713368|108719152|108723844|108725484|108735376|108738111|108745548|117163449|117186548|108822032|108855229|108857802|108881490|108900994|100523485|100534521|117314351|108926673|117316131|117320139|117320447|108932819|117323180|117324306|100566382|117349110|108960847|108961055|117356890|108973039|108973295|108974096|108974195|108977734|108980134|108980302|108986735|108986930|108988968|108994843|108998113|108998319|108999438|109001145|109027941|109051879|109167314|117583179|109204651|109230918|109239378|109244009|100924568|109386639|117781152|109399402|117797379|117797661|109724150|101424254|109830839|109835292|109851135|109853646|109858753|109965104|118437975|118438779|118439147|118516918|110165012|101828787|110241055|110241060|101920909|102109821|102153918|102207256|119009038|119015407|119084304|119086091|119101504|111006476|111178958|103495139|103578332|103629446|103874845|103874985|103903629|103936292|103941878|103957836|104040488|104040494|104072376|104072377|104154427|104292937|104503317|104566370|121462825|121465392|104780383|104781876|104783783|104784485|104923931|104930175|104957451|104959460|121963954|113660429|122621631|106124074|114555582|106239510|106246514|106246890|123051856|106327198|123162056|123178323|106429226|123230577|123231448|123239608|123240769|123240781|123240787|106881060|106902616|115408267|107091195|107463906|107464199|107464463|107465318|107465720|124574388|107837870|107889203|107890874|124673136|107897151|116296140|107914069|107914486|107921524|107931704|116322693|107946160|107950657|107960260|107960482|107960485|107960488|107964579|107985545|107986196|108008035|108065542|108111807|108117339|108126745|116539540|116541727|116542994|116543094|116543130|108161648|116555205|108209546|108223186|108224970|108229686|108229696|108234996|108235331|108235457|108247499|108253052|108255422|108259686|108279147|108279183|108280600|108282130|108282504|108283321|108293152|108294888|108295215|108295700|108299861|108307339|108317638|108317647|108318314|108318326|108318332|108321619|108333839|108333946|108333988|108337194|108338144|108338170|108338937|108345894|108354935|108362910|108362914|108362988|108366985|108367044|108367116|108367263|108388659|108388702|116790306|116825562|116832941|116927647|108780209|117179842|109026479|117536138|100786748|117573090|100833466|117617037|117617119|100848536|100860699|100865850|117688986|109400322|117959146|109815484|109815496|109831625|109850443|109879169|101662807|118453227|101711853|101735325|101978970|118874017|118887927|111177215|103874198|103953810|121327673|121505330|121505338|113299783|105043358|105153154|122682355|106168920|115437074|123905195|117473882|117541801|109169072|117583314|117629715|117629829|101435313|101684863|110146601|101913113|119037970|119051309|103460447|103954749|121505368|104912621|104912630|106144750|106190294|123563377|107897274|107908503|107931712|108275994|108307161|116906885|117356862|117356869
language.n.01	language.n.01|speech.n.02|natural_language.n.01|talk.n.01|conversation.n.01|language.n.05	117456769|117464059|117475483|117475524|109117064|117600689|117638215|109307636|100920544|100922754|100968659|100979745|109680778|109755215|109795346|109796866|109800556|101471364|109919041|118391053|118395961|110024106|110046322|118445133|118454133|118461271|101725752|101730194|101730241|101733403|101750772|118687834|118751558|118751618|118752139|118849781|118863429|118879546|118887139|118986251|118986311|118986337|118987356|118995699|102321194|102321242|102321252|120727200|104029421|104072216|120993720|121446483|121448868|121480335|121497660|121499544|121523635|121533763|121550212|104879323|113376793|113478814|113504656|121950047|121950076|105182013|121962126|121963502|113640035|113654127|113660843|113687695|105764059|122681170|122681266|122681273|122682617|122708085|106156096|106258150|106258842|106258911|106259172|106269645|114660853|114660983|114661314|123345075|123575574|115367268|107067238|107067405|107088265|107088304|107088375|115757692|115760742|115785157|115802937|115984617|107756052|107848789|124631951|124715755|124727739|124757985|124757995|108090674|108093270|116767454|116789967|116790262|116793036|116794041|116802361|116802630|116833438|116841388|116843118|116843136|116846159|116900844|116919498|117149468|117185683|100418469|108823993|100449528|100451016|100785563|117564559|117587528|100893540|100922535|117734145|118333371|118449453|118482773|118492105|101733469|101767771|101963093|118751658|118766428|118863411|119002287|102247595|119044613|102391387|102398696|119383559|111155342|111184003|103091323|103350462|120655952|112415084|112417566|112427782|104059824|104085995|104100447|104257439|121328211|121475125|121475216|121522942|121534787|113327004|113335403|113470617|113548985|121963348|121964545|121989698|121989785|113660827|113725233|122682417|122754254|122757966|106163449|106187687|106227998|123042473|106286028|123136756|123224290|123564173|123564374|123564415|106796787|107069175|115629071|115647710|115756952|115795116|115799753|107429688|107462711|107463464|107463707|107463762|124599241|116334628|108085607|108085891|108086056|116794123|116800419|116856985|116871624|116871781|108589765|100251679|108651677|108785883|108830267|108933235|117345714|117357561|117363517|117366096|109003775|109047159|117475695|109254449|109262939|118482685|118755709|118766366|118766911|118767872|118772903|118774006|118828757|102184634|102184650|102243378|119045088|119070596|102332622|121374250|121416452|121416472|121480278|121480631|113443140|122654141|107067455|115586598|115797967|107575342|116153877|116154836|124558175|124558550|116175522|124581311|124582807|124584609|124591576|124622969|124639376|124641179|124648169|124652036|124653485|124657906|124716129|116335216|116337252|124728795|124745418|124751137|124780167|108093442|116782438|108582583|108823298|117235529|100628176|123589406|116539523|101973200|106416692
word.n.01	word.n.01|name.n.01|term.n.01|title.n.02	100673245|109113415|117503740|117511075|109187815|117615634|109268236|109276450|117680690|117691127|100914035|109305240|117703550|117709757|117709823|117726817|117726824|109352132|117743570|117743580|117744642|109359260|109504110|109507121|109508088|117957141|109647063|109652622|109685328|109695725|109705497|109735306|101373014|109858153|109883789|118297606|109929742|101734911|101758549|118724899|101972855|118786824|119008456|119056469|103100399|103275311|103431651|120675500|112401521|112408291|112408306|112408753|112408909|112408922|112430026|112443457|121347473|121374061|121374103|121374688|121445901|121446512|121457562|113435057|105055332|105056077|113474048|121953619|121953644|121953670|121953702|105325510|105387531|122724548|122736856|122760091|106156696|106196544|106232811|114646805|106312600|123136653|106374595|123273220|123335481|106898912|115442927|107159546|107162230|107230568|107314564|107322929|107323914|107344997|107367332|115914969|107621383|116123153|116164787|116216469|116218576|116253532|116292414|116790521|108512361|108584424|108651594|117176873|108796093|108811734|108817856|108840073|108914712|108915489|108930094|117326494|108998354|100615824|109742642|121964555|106239046|123273195|115751938|108622550|109114312|121506285|122724735|107263975|116567571|121964415
utterance.n.01	utterance.n.01|cry.n.02|cry.n.01|speech.n.03|lament.n.01|croak.n.01|scream.n.01|ejaculation.n.01|clamor.n.02|groan.n.01|yelling.n.01|bellow.n.01	117452761|117453731|117491869|117494842|109114818|117518613|109137253|117551341|117551397|117568713|117572911|117588180|117596579|109264143|109304803|109308351|109309753|109312053|109319053|109354557|118450061|101973157|118980076|119333089|103578600|103818701|121153380|121155930|121370933|105043778|105126627|121940804|121966267|122007193|122682590|106237862|123135096|115708827|107463666|116539499|116539574|116557264|100122628|100151770|108558199|108574344|108657493|108674308|108713042|108786965|108978031|117372466|117377801|109036446|109039729|100869917|118305494|118439275|118787061|119098781|120878033|104891389|113349937|105161732|122001940|123086142|123591132|107170362|107220061|107246427|107262731|107367257|108556118|108562881|108564493|117051990|108663413|108691696|108774697|117176532|108891111|117316371|117363513|108985101|109063345|109082661|101062598|101062605|101062821|101503061|110006992|102297568|119095559|120944046|113495291|106246912|106388663|106542291|115568761|123966845|107282094|124641712|108097600|116539694|100076538|108563257|108592326|117007966|108643277|108646297|108746233|105041060|106518349|108556795|108694912|109042415|109411765|102305806|123902537|103874752|103916861|104503334|105752515|113467002|108910410|107212928|116143703|100851289|117972566|119085230
note.n.03	note.n.03|trill.n.01	109216338|117781268|117781331|117781464|117781656|117790156|117796166|101863321|102075688|103874872|103875149|103913775|103928148|103929195|103929881|103930039|103941312|103941323|103941367|103941561|103941629|104161182|104565111|104565173|104565962|104566221|104566258|104566379|104566468|104566596|104781944|113331865|105752903|123098479|123532446|107651592|116870974|116871035|100098836|116965961|100218147
phone.n.02	phone.n.02|syllable.n.01	117703479|100998549|109852780|101737119|103874671|103875010|103875078|104032209|104040506|104072265|104292916|104292929|104292999|104293006|104293057|104293064|104293098|104293108|104293114|104293145|104293150|104293188|104293198|104293219|104293259|104781899|113355162|106175951|106239292|106375826|123197639|107018301|107018450|107018459|107463488|107466287|115983642|107776300|107776303|108279810|103051381|103292984
saying.n.01	saying.n.01|dialect.n.01|accent.n.01|enunciation.n.01|slang.n.02	117458111|117486564|109113457|109114339|109114458|117511193|117629961|109264129|109264232|117686085|109655285|109737043|112401758|121447252|121533956|122642033|122716502|116546672|116546788|116547054|116547074|116547392|116547935|116548086|116548188|116548216|116548404|116548870|116551065|116565365|116900823|108568030|108789733|108985687|109167704|109307603|101456419|118314336|118357554|118360286|118454044|118454102|101679004|118467833|101695894|101725964|118687560|102197841|113423928|113716391|105762850|122618741|114660938|114661033|114685209|115579924|115602811|115608742|115654668|115664426|115726645|115763999|108739284|118747578|118818489|103114685|113358144|113419753|113499280|113546367|113552288|122650482|113404527
sound.n.03	sound.n.03	117558521|117615674|117781284|117797571|101366846|101828707|101920456|101920896|101976919|102165601|102165641|102188156|111179048|103582595|103582601|104083438|104083520|104083580|104565555|122689008|106135525|106136303|106145946|106158689|106193470|123052640|123230570|123239516|123239526|116542637|116575689|116575703|116592489
manner_of_speaking.n.01	manner_of_speaking.n.01|tone.n.01|note.n.04|parlance.n.01|intonation.n.01|tongue.n.04	109052567|109088099|100754142|100979404|101004288|101035469|101036479|118439095|118454262|102074189|102075088|118879541|104036504|113355820|113355912|113531623|121961954|105815006|114557594|114604676|123261924|123536431|115373203|108430593|108534236|108630378|108751262|108848445|108926300|108955421|108960804|108960867|117513329|118343470|110208167|103145862|103155915|103880867|108725428|108877559|108944003|109002731|103929892|116336262|114636018|114661137|113482509|108714675
