food.n.01	food.n.01|nutriment.n.01|comestible.n.01|commissariat.n.01|foodstuff.n.02	117458962|100685081|117482745|117491273|100720068|117497315|117498666|117502627|117502670|117503717|117508420|117509485|109122586|117511374|117512426|117512928|117516611|117516824|117516947|117550118|117560012|117560652|109172378|109172566|109172578|109172610|109172672|109172916|109172987|117561721|109173157|109173282|109173307|109173335|109173388|109173478|109173513|109173600|109173629|109173763|117563906|117563933|117564759|117564772|117565113|117593223|117593968|109209335|117601351|109216043|117613571|117613836|117614183|117614550|117614571|109242327|109243764|100865714|109259152|109275411|109276775|117668997|117669049|117671066|117674310|117675968|109290403|117679021|109292466|117693281|100923842|117702961|117703581|117709476|109333127|109333737|117726286|100949299|117732233|117737949|117738529|117738622|109350765|117749689|109362027|109365705|117764082|109397305|117959392|117960928|117963630|117967191|117969974|117977375|117977441|109591524|117980757|109592802|109593454|117994449|117995386|118008748|109654220|101293102|109685172|109685196|109685284|109685357|109685573|109688076|109690338|109694533|109701039|109701131|109704031|109704057|109715712|109715832|109718316|109719615|118109857|118110072|118111362|118111381|118113366|118113473|118113593|109726534|101340801|109734098|109735848|109745386|109746503|109747897|109747912|109752308|101369546|101372777|109764837|109765453|109770039|109775274|101395579|101395991|109795599|109795619|101407469|101407756|109801980|109807994|101419470|101419483|109814861|109818195|109819165|109819228|109819286|109826201|109826340|109835821|109851326|109851438|109854652|109862419|109863921|109864955|101478965|101493195|109899484|109918514|118312926|109925895|118319566|118320861|118325188|118336414|118336917|118339130|118339280|118339382|109951112|118341125|118347138|118356303|109973552|109976558|101609763|118389530|101624180|118404584|110016489|110034284|110043155|118433323|110045244|110045296|110045873|118439495|118446062|118446189|101677828|118465484|118476940|110090874|110093164|110095551|118490000|118494118|118494172|110106883|118500831|118508330|110135724|110148561|101774227|110165844|110170778|110174749|101794577|110184143|110184160|110184202|101799730|110224133|110224153|101861258|118685625|118726146|101951085|101959896|101962786|101962811|101963113|101963149|110391419|110391603|110400505|110405646|110405804|110407121|110411279|110414323|110414939|110415335|110415441|110415459|110415524|110417802|110417970|110420611|110420667|110422474|102065714|118857222|118857422|102109207|118896854|102160845|102160873|102163508|102164087|118941582|102175106|102175109|102176105|102178255|102179160|102180687|102181551|102183656|102184021|102184941|102189699|102191108|102209888|102209929|102214403|118995741|118995826|102219803|102229323|102246556|119024831|102265380|102265499|102267344|119050210|102288848|119078728|119081260|102305362|119082751|102310956|102311677|119098336|119138601|119154491|119184614|119193762|119194844|119195646|110857479|110857567|102503532|102503596|102503729|102504281|102504430|102505432|119295378|119335484|119336505|119351332|119352517|119353596|119357488|119358358|119358662|119358983|119359109|119359533|119359841|119359998|119364720|119365760|119366128|119367493|119367548|119368211|119369617|119370491|119370637|119373951|119373962|119374704|119375160|119375166|119376246|119377732|119377743|119378169|119378544|119378804|119379305|119379711|119380465|119381504|119381517|119382314|119382342|119382374|119383174|119384415|119386904|119388508|119389129|119390014|119390270|119390335|119390372|119390552|119390716|119390990|119391401|119392253|119392435|119393963|102645691|102646105|102646114|102646122|102646266|102646728|102648415|102648985|102648990|102653406|111154311|111158063|111161026|111168920|111180881|111181415|111181481|111182539|111192658|111194442|111200094|103352532|103573904|103574423|103574432|103579139|103589280|103666511|103668238|103670295|103671228|103671953|103682194|103692163|103763980|103765093|103768400|103785027|103788906|103796136|103796148|103797762|103802094|103803283|103806707|103806732|103816387|103816395|103816404|103818026|103818038|103824204|103824660|103829111|103835083|103835137|103838524|103839302|103839798|103839849|103840185|103840367|103842781|103849504|103854823|103863564|103866054|103871451|103871997|103873929|103876100|120653879|120653958|120654629|120654679|120654993|120655280|120655310|120655322|120659844|120659869|120659889|120659899|120659986|103883651|120661276|120661525|120661980|103885366|103889245|120666990|120667024|120667346|103893655|103893702|103893735|103893976|103894339|103894664|103896129|103899098|120683159|103910539|103911111|103911252|103911300|103911637|103911902|103912499|103915211|103915433|103915605|103916161|103916213|103917928|103919461|103919537|103919893|103920949|103920973|103922578|103924246|103924284|103925425|103926740|103927275|103927703|103931249|103931720|103932200|103933337|103934903|103934985|103936488|103936521|103936574|103936620|103938867|103940427|103945825|120725175|120725193|120725700|120728564|103952823|103961295|103961396|103961427|103961539|103961719|103962903|103962934|103973585|120757857|112385156|112387066|112387372|112391346|112391356|112392041|112394817|112394860|112394886|112396637|112397707|112423047|112423082|104041214|112441629|120830372|120835522|104118596|104118996|104119002|104119047|104119690|104120421|104120503|104146138|104163716|104163761|104163788|104163802|104163815|104163858|104163881|104171145|104172296|104180933|104181102|104181424|104183043|104183171|104183285|104183406|104183472|104183494|104183521|104186283|104187499|104189278|104189342|104190327|104190572|104190640|104190660|104190745|104190775|104190814|104190842|104190888|104190908|104191049|104191112|104191122|104191344|104191422|104191591|104191596|104193134|104193144|104193395|104193819|104193968|104196027|104196360|104196568|104196843|104197172|104197200|104197781|104197909|104199516|104200755|104201209|104201583|104202951|104204312|104204367|104204419|104206700|104206744|104207125|104219322|121033828|121034825|121035201|104300778|104300788|104300808|104300814|104300838|104301026|104301196|104301211|104301553|104302453|104302507|104311097|104311126|104311225|104322296|104326708|104329751|104329896|104333106|104335412|104359982|104360207|104360364|121147572|121153367|121211351|121218210|104457832|104458853|104459583|104460764|104460788|104460822|104460843|104460853|104460878|104460920|104460964|104460999|104461018|104468786|104476968|104476977|104489060|104516079|104516092|104516142|104516296|104516976|104517108|104518387|104523158|104544641|104544691|104547993|104548068|104548117|104549306|104549362|104549529|104549570|104549855|104549893|121327246|121327270|104550283|104550301|104550354|121328799|121328972|104555297|104555303|104555676|104555723|104556208|104556581|104556616|121342262|121343526|104593058|104593090|104593104|121440665|104678069|121459055|104681976|121459365|104682153|121459856|121460853|121461242|121465582|104707940|104711413|104715448|121519531|121530106|104752920|121541224|121541510|104775142|104778887|104909873|113306122|113306229|113337642|113337653|113350919|113393871|113525700|105148661|121952015|121956081|121956101|121959731|121959930|121971082|121971102|121973562|121973879|121974100|121975120|121975254|121975516|121979899|113607274|122005170|113641239|105259880|105290770|105350215|105354361|105362324|105362351|105439487|105448303|105681599|105681662|105682155|105682278|105682370|105769386|105769708|105769751|105770058|105771250|105821604|105821616|105823383|105825741|122637306|122670946|122679479|122696156|122700482|122717795|122778878|106112316|106112616|106119719|106120006|106121077|106123014|106123480|106124459|106126485|106132588|106132651|106153713|106154397|106154744|106155218|106155305|106155659|106160982|106173084|106173119|106173137|106173350|106177792|106177793|106177827|106180797|106187116|106189356|106189408|106189419|106200046|106200072|106203804|106203855|106218991|106220864|106227776|106228341|106231548|106231569|106232550|106241990|106254114|106271729|106272085|106272123|106292061|106295203|106299122|106302400|106303723|106304570|106308407|106312553|106312680|106331121|106338682|106339097|106340651|106344332|106344500|106344996|106347279|106348806|106356781|106358495|106363771|106364132|106366175|106366214|106366650|123147925|123152816|106376351|106379429|106395083|106396036|106397108|106397678|106399358|106400309|106401121|106401458|106402772|106408049|106409741|106411561|106412224|106412608|106412757|106412814|106412969|106413041|106423428|106423983|106424058|106432549|106432596|106434703|106434767|106435034|106435128|106435159|106435187|106435202|106435249|106435281|106435350|106437220|106437227|106439016|106449557|106453657|106453690|106455503|106456658|106458913|106458938|106461368|106466498|106472359|106476269|106476908|106476953|106477020|106477089|106478120|106478425|106478476|106478850|106479568|106479717|106479940|106481576|106481907|106482733|106484275|106487243|106489656|106490832|106492552|106492555|106495800|106495886|106495930|106495956|106496040|106496097|106497156|106497807|106497906|106501803|106502545|106515183|106517879|106517930|106519253|106519275|106519358|106519512|106519516|106524508|106529890|106532197|106532546|123317320|123318070|106541159|106541192|106541215|106543252|106543804|123322473|106545261|123328538|123328697|123328762|123329006|106552800|106553140|106562659|123340462|123340789|123340811|123341135|123341232|123341455|106583048|106584101|114982745|114982795|114982843|106737093|106741913|106754887|123537112|123544866|123546027|123546128|123546390|123547075|123547085|123547447|123548083|123548143|123549118|123549433|123549458|123549864|106773019|123550531|123551062|123551469|123552327|123553663|123553675|123555351|123556288|123557008|123557054|123557546|123557584|123562109|123563909|106787150|123566941|123568015|123570944|123571125|123571497|123571518|123571524|123572892|123572998|106795830|123573240|123576705|123576894|123577076|123578601|123579468|123580316|123580410|123580966|106811887|123589705|106833085|106844464|106845254|106845329|106846388|106848166|106853954|106856747|115249191|123654562|115273426|106908623|106914897|106917647|106922383|106933203|115368659|115373132|115388401|115388594|115389306|115414340|107054791|115449134|115459983|115462224|115464390|107095803|107095873|115485771|123892813|123896992|123901843|123905144|123911570|107175707|107178936|115591343|107223458|107227182|107262878|107291376|115690857|115692778|115714473|107352594|107352674|107357367|115760186|107372681|115777471|115785246|115802339|115819491|115820731|115822910|115826051|115830573|115831396|115831686|115831961|115832029|115832041|115833092|115841370|115842544|115842982|115847760|115847770|115852206|115862058|115862777|115870548|115875495|115883575|115895335|115895395|115899690|115900634|115905570|115905633|115909510|107526974|115936479|115936830|115937135|115943413|115943762|115943945|115943977|115963558|115966885|115966970|107578559|107601982|107612888|107615937|107631765|116030042|116053959|116054072|116085329|116098248|107710831|116100803|107733913|116125922|116131826|116134615|124531311|116164178|116171855|107792363|107798255|124575601|124576478|116188761|116191191|107806831|107817913|116207109|107818541|107818654|116212859|116213223|116213347|107832094|116224455|124623711|124626824|116250114|124662345|116281920|116282068|116282192|116282586|116285830|116286585|124676553|116292743|116292787|116293027|116293169|116293462|116293499|116296416|116298475|116299872|124691975|116304571|116308798|116309096|116310422|124718687|124718718|124722238|108027137|108060539|108067720|108076675|108128397|108131270|124913315|124913361|124913392|124913454|124913517|124913579|124913621|108137364|124915707|124916065|124916094|124916099|108139494|108139701|108139878|124917246|124917602|124917824|124917840|124917868|124920226|124920271|124920418|124921666|124921760|124921794|124921807|124921829|116536300|108147776|116538138|116538358|116540973|116543446|108156203|116550897|108179858|108188606|108188942|116586664|116587593|116591214|116591297|108205870|116769443|116769514|116772794|116772986|116772997|116774119|116775301|116776869|116778779|116780002|116780556|116781716|116781959|116782129|116783230|116785149|116785466|116785537|116787303|116789189|116789282|116793401|116797359|116799685|116800810|116801101|116801521|116801597|116801723|116803958|116804271|116806108|116807457|116807523|116807598|116809236|116811882|116813041|116813874|116813932|116813980|116814002|116816990|116821173|116821357|116821380|116821517|116824050|116829523|116832780|116832846|116832853|116834001|116839432|116839461|116841437|116841839|116844030|116845256|116845288|116847786|116849016|116849126|116850009|116851356|116851438|116852728|116853325|116853352|116854426|116857997|116860612|116861460|116861465|116863106|116865427|116874366|116879196|116880878|116882484|116882539|116904064|116921483|108544408|116949613|116953522|116960394|116982184|116982616|117004804|117009230|117009839|117011012|117011024|117012124|117012635|117038308|117038677|117044097|108658074|117048331|117055673|117087400|108715454|117144387|108788803|108789213|108789906|117194441|108812563|108831740|117229738|108853364|100478909|117341335|117348212|108964578|117374594|109003677|109010389|109027834|117450830|117450894|117452875|117455782|100684648|117482757|117498625|117498864|117508477|117598247|117598280|117598362|117623993|117625760|109239371|109281814|100923757|109351404|117953544|109593422|109593484|109695907|109704220|109706796|109721990|109722015|101410007|101419212|109808258|109837807|109837944|109838096|109838146|109838182|109838412|109843701|109898080|118291836|118319525|118327872|118338220|118356193|118373642|118373748|118373789|118389556|101697766|101876763|101879788|101906538|101906579|110390838|110390869|110391128|110391211|110391674|110391925|110391989|110392032|110392038|110392052|110392087|110392096|110392138|110392142|110392145|110392156|110392170|110398078|110398514|110400813|110403811|110404304|110404318|110404363|110405771|110405860|110406283|110407910|110411309|110412414|110415507|110415577|110416082|110416147|110416170|110420174|110420304|110420462|110420581|110420658|110420853|110421208|110421785|110421838|110421999|110422104|110422245|110422294|110422500|110422593|110422701|110423350|110423916|110424336|102043578|102043602|102043629|102142608|102142654|102164433|102176721|102177951|102178771|102179270|102183696|102185450|102186680|102203392|102206261|119008235|119024841|102253578|119039145|102264879|119056560|102315544|110858033|102503883|102506439|119352415|119352468|119352572|119352591|119360735|119364131|119374174|119374973|102600104|119386475|119393407|102619532|102640472|111149579|111155072|111159600|111159619|111159969|111161998|111169979|111170401|111180374|111180434|111180487|111180513|111180540|111180639|111181096|111181325|111181359|111182530|111182682|111189116|111191139|111194637|111196382|111196703|111196732|111196784|111196805|111197463|111197673|111197706|111197788|111197840|111197874|111197886|111198020|111198051|111198058|111198075|111198101|111198114|111198128|111199227|111199253|111199404|111200074|111200941|111201086|111202850|111202972|111203183|111203925|111205818|102915723|102915725|102915879|102915938|102915943|102915948|102915973|102916256|102916261|102916310|102916312|102916319|102916320|102916329|102916344|102916415|102916695|102916706|102916723|102916738|102916801|102916805|102916816|102916827|102916887|102916901|102916911|102917093|102917166|102917172|102917245|102917287|102917333|102917337|102917343|102917359|103300929|103342470|103572413|103573033|103573865|103575089|103575159|103575167|103575189|103575236|103575256|103575266|103575296|103575323|103575381|103575393|103575415|103575484|103575524|103575582|103575603|103588246|103588569|103644244|103671372|103763971|103769736|103769825|103769894|103770015|103770035|103770179|103770211|103770284|103770307|103770562|103770748|103770769|103770841|103770867|103770945|103770967|103771032|103771804|103772213|103772310|103772330|103773714|103773734|103774386|103774401|103775392|103778664|103778826|103779152|103779557|103779676|103779825|103780041|103781218|103781427|103781435|103781481|103781496|103781582|103781636|103781650|103781654|103781661|103781698|103781731|103781946|103783763|103784969|103784986|103785144|103785174|103785259|103785688|103785916|103786045|103786084|103788960|103789027|103789234|103789258|103789283|103790189|103790780|103791093|103791109|103791123|103791171|103791657|103791742|103791883|103791899|103791936|103792094|103792145|103792166|103792658|103794209|103795701|103795753|103798087|103798473|103798529|103798553|103798616|103798745|103798909|103798960|103800907|103800952|103801105|103801339|103801468|103801531|103801573|103802069|103802105|103804320|103804332|103807408|103807745|103807810|103807840|103808469|103808513|103808544|103808846|103809102|103809117|103809385|103809414|103809651|103809669|103814020|103814856|103814980|103818187|103818380|103824985|103838671|120653984|120654006|120654014|103876807|120654143|120654236|120654413|120654429|120654455|120654509|120654743|120654781|120654787|120654839|120654976|120655083|120655419|120655432|120655459|103883355|103891777|103896354|103924078|103934977|103938211|103961370|103961991|103962464|103962595|103962642|103962696|103962886|103967220|103968038|103969320|103969410|103970114|103970121|120786110|104017367|112406951|112407071|112407093|112407119|112407187|112407248|112407306|104029585|112434919|112439149|112442521|112442596|112442612|112442685|112448409|112450583|112450770|112450795|112450886|104118564|104137119|104137294|104163104|104182842|104186256|104187723|104188019|104188096|120965495|104191449|104192715|104193073|104193085|104193263|104193274|104193314|104193331|104193352|104193384|104193812|104195571|104196598|104197384|104197730|104197765|104201053|104201503|104202183|104202270|104203855|104204890|104205298|104219771|104231590|104301125|104301152|104302653|104302665|121137017|104458865|104459608|104460716|104463597|121289208|104516725|104516793|104547560|104555347|104555867|121417173|104646249|104650576|121428735|104652336|104652375|104652405|104660245|104688864|104707557|104713871|105082921|121955841|105181758|105681183|122621618|122762387|122762407|122762428|122762497|122767588|122767637|122768764|122769265|122777085|122777671|122778248|106112488|106126641|106126643|106146113|106153779|106175833|106178621|106179838|106182713|106188753|106188881|106212220|106212377|106212424|106220680|106220879|106261614|106278647|106282745|114684754|106304361|106321242|106323851|106335277|106340700|106343756|106356740|106392291|106392421|106425913|106428340|106456029|106459021|106466484|106479890|106508819|106518727|106518933|106519223|106519625|106554587|106554792|106555149|106555207|106555217|106555535|106555601|106555622|106557629|123541929|123542999|123543226|123545219|123545758|123550323|123551051|123552866|123552946|106777742|123556589|123556709|123556733|123556791|123557661|123557996|123566594|123568157|123573289|123578825|123579646|123580143|123580196|123580220|123580360|123902245|123913583|115830438|116040183|124580458|116208127|124691608|124691884|124718135|124729400|124911357|124911571|124911598|124913257|124913261|124913433|124913756|124914160|124914168|124914861|124914871|124914942|124915047|124915584|124917789|124921928|116813950|116854256|108545359|108552194|108555787|108563085|108577604|108642958|108667117|100309363|117194210|108893772|108957027|100589495|109049583|109868842|110391978|119380907|107075739|107075746|100376090|101563737|105142390|102268040
provision.n.04	provision.n.04	100840673|109715585|101512919|118641061|118644659|118647947|118652209|118669956|118678284|118680813|118685658|118692516|118697989|119065265|105182385|106454506|106806098|106821988|106822020|106823584|106836825|106836862|106929292|115334823|115393861|107158655|107176081|107198379|107200837|107227486|107229325|107236856|107253022|107253174|107272310|124694823|107291255|107293068|107295652|107295695|107304582|107314018|107317195|107317946|107318407|107318539|107329548|107353076|115807060|115832556|115999207|116010627|116011410|116038012|116142915|116144171|107793184|107793685|124605067|107836854|116268740|124673827|116301409|116301480|108001734|108585195|116989495|117007290|117015888|117028792|117048347|117086655|100311114|117097361|117123948|117126354|100424283|117202537|117204771|117208543|117210123|100435783|117219397|117234852|117239360|108909218
breeding.n.03	breeding.n.03|fostering.n.01|cultivation.n.01	117451437|117456600|100835184|109258914|109301381|100914227|109308361|101692204|101789850|101790912|101927584|118864691|102094653|102109253|102115915|102156354|102180370|102193909|102196550|102215588|102215713|102229120|102230810|102245500|102246272|102254115|102259381|102276550|102276586|102294625|102294841|102316457|103459349|103923973|103927155|104333047|104366361|121197560|104775033|113682955|114662320|106763106|115235070|107086626|115515502|115515588|115590758|107219393|107257820|124476974|116804623|108742374|108947004|108970609|109046537|102297558|104651531
raising.n.02	raising.n.02|education.n.05|upbringing.n.01	117477852|117501201|117559835|117577797|109287594|118309228|118330836|118394973|101715872|101794422|101894358|101894389|102043322|102085149|102087638|102092235|102095205|102109300|102144888|102156438|102156507|102180184|102198227|102198360|102246436|102247845|102269112|102292083|102309270|102364898|114638768|115426081|107140589|107166522|107167288|100556191|100557341|109079704|109397976|109402160|101794955|102081450|102088080|102094150|102130582|102133276|102150243|102156257|102216061|102291483|102306253|102328788|105142176|122739622|115390000|116076088|109124633|117522564|101894007|101910283|102198288|105062123|122792396|123135835|106930641|107162682|107167166|107845430
support.n.06	support.n.06|maintenance.n.02|subsistence.n.01	100688904|117623958|117624998|100863619|101325726|118323367|118348660|101686922|118848897|102127251|102183672|102267451|103574466|103596119|103602904|103838578|103911683|120786131|121386752|121386897|121388297|121388350|121388395|113432160|113432169|113532084|121973225|121973720|122720292|107077760|115934971|116767240|108699404|101542143|118375572|101617279|101618066|101771711|103033048|103182364|103212961|103310704|103480413|103595989|104310844|104469828|122722922|115971363|116080291|124651462|100309848|100471464|100770827|109207468|109796717|103924152|104193656|121386834|106877735|115348239|115408734|107352637|107454743|116279279|116279477
meat.n.01	meat.n.01	117459907|117530665|117588318|109398043|109697370|109699978|109746439|109765392|121138910|121428779|121440746|121462279|123576803|123896950|115897416|115911772|115963658|115978129|116212718|116212814|116293328|116329953|116331460|108042623|108095207|108187419|108188598|108190431|108207744|108369369|108369711
nutrition.n.01	nutrition.n.01|growth.n.01|increase.n.03	109172960|102090145|119350856|119357913|111194972|103572218|103572969|103574979|103575108|103814888|103817832|120653925|103905987|103962057|104181307|104193416|104193636|104195922|104196127|104196476|104197154|104458763|104459521|104544629|104550392|104555505|124913643|124913753|124920827|122660987|116848178
supply.n.01	supply.n.01	101601641|102246794|119075124|102505451|104166773|105678754|106844491|106922667|115337952|115368914|115378955|115492935|124627011|124712830|108559007|117014350|117016160|117058068|117097379|117202282|117212421|109006509|109021707
food.n.03	food.n.03|pabulum.n.02	117565463|117614863|120725714|120878716|121519487|121530300|121971059|106153193|106153820|106189729|106204339|106223689|106279750|106288622|106303747|106437037|123539567|123590621|119384829|119388978
meal.n.01	meal.n.01|viand.n.01|dinner.n.01|dish.n.02|breakfast.n.01	109084702|117969736|109684577|109684700|109684775|109697596|119194281|103952801|123334681|123911538|115876449|124917140|108387063|116816275|116823097|116867903|105259908|107098528|117970742|109744578|116101233
