art.n.03	art.n.03	100665035|100671817|109060881|117450996|100674339|117453327|117453616|117453949|117454038|117454342|100678859|100679372|100679534|117457011|117457046|117457203|117457263|117457845|117458170|117458595|117458673|117458717|100683493|117463680|100687228|100703160|117480428|117480453|100706180|117484520|117484955|117486820|100712917|100722230|100736195|109135191|100747186|100747384|100748607|100748669|100749155|100751636|100752777|109141546|117538450|117548511|100780163|109171306|117560052|100788783|117572629|100795483|117578492|100806576|117598381|100821325|109213348|109213358|117603942|117605049|117606362|117611725|117613277|117613634|117614095|117623951|117629146|100875737|109266060|109266072|100878708|100879092|109271969|117677335|117678475|117678806|117678825|117682322|117682472|109298578|109302989|117693015|109306849|117696152|117700034|117700110|117706569|109320569|109322495|109322529|109322624|117712553|117712608|117712727|117717370|117726339|117726371|117754140|117754144|117763797|109396391|109527970|109528392|117943622|117943651|117943876|117945366|117950263|117955229|117955248|117958124|109592903|109593674|109593976|117987053|101214149|117992068|117994506|117995645|117995665|101218891|101220484|117999949|118002961|118010404|118012707|109680507|109684238|109688809|109701345|109726674|109726754|109732634|101348815|109739443|101363218|101363422|101369218|101370823|101371816|101391349|101391370|101392093|101392336|101392894|101395702|109785629|101402561|101402668|109792608|109794035|109794052|101405903|101406063|101406107|101407352|101407879|101407895|101407910|101408312|101417452|101417762|109807802|109808110|109808220|109808284|101420135|101420156|101421206|101421990|101422815|101426150|109817898|109832488|109833744|109846904|109846932|109847032|109847173|109847358|109849122|109858867|109859041|109859501|109859508|109859630|109859653|109885315|101512721|101512852|101514330|101515702|109907580|109908182|109911455|109922687|109923683|109931520|109933895|118329690|118329990|118330649|118333316|118333422|109953446|109955542|101570848|109960286|109960556|109962235|109962552|109965183|101577157|101579850|101580806|101582491|109975563|109975886|109975935|109975992|118366260|118372469|109987089|118375979|118376228|118376795|118376953|118377431|118377533|118377659|118378096|118378165|118382831|101642446|101643225|118430491|118433547|110047511|110047534|101660786|118438325|118439451|101662996|110053647|110054842|110055697|110058809|110058914|118452992|101676754|101678176|101679969|101680995|110081555|118483090|118483935|118486097|118493331|101716263|101716284|118510844|118511596|118511806|118512674|118512804|101735660|118513030|101736200|101737725|101737751|101744183|101744444|101745054|101745081|101745336|101745506|101764498|101764519|101765613|101769202|101769263|101770538|101770558|101771239|101771285|101771396|101771609|101771726|101771806|101771868|101771906|101772194|101772739|101773149|101773693|101773724|101774448|101774658|101774702|101774722|101774950|101774979|101774996|101775315|101775497|101775513|101775557|101777431|101777771|101777800|101777817|101782443|101782479|101782497|101784198|101786939|101787328|110177171|101788852|101788947|101788984|101789049|101789234|101789243|101789454|101789468|101789487|101789492|101789561|101790971|101791777|101791840|101792034|101794622|101794996|101795232|101795282|101795325|101795493|101796695|101796715|101796732|101796846|101797065|101797195|101797224|101797290|101797509|101797552|101797600|101798277|101799285|101799524|101799637|101799689|101800042|101800070|101800320|101801120|101801234|101801288|101802195|101803125|101803636|101803923|101804046|101804058|101805029|101805567|101828795|101829680|101843118|101843165|101843347|101843709|101843901|101843922|101844038|101844159|101845194|101845195|101845397|101845636|101846884|101852985|101859482|101874213|101874450|101878929|101880233|101880291|101880311|101880328|101880342|101880417|101880585|101880635|101880685|101880875|101881201|101882355|101882499|101882654|101882837|101882866|101883052|101883316|101883424|101883452|101883619|101883632|101883900|101883958|101884072|101884094|101884120|101884360|101884381|101884414|101884849|101884867|101884948|101885149|101885648|101886386|101889002|101889059|101889138|101895703|110284513|110284528|101895939|110284554|110284595|110284603|101896030|110285261|101896682|101896779|101896869|101896884|110286312|101897736|101897749|110287344|110287360|101898779|101900490|101900491|110290130|101902318|101902330|101904475|101908471|101908575|101908607|101908664|101908937|101909222|101909241|101909344|101909755|101909808|101909836|101910067|101917906|101917909|101919650|101919675|101922148|101923631|101927416|101930136|118720734|101943680|101948261|101949528|101950048|101950105|101950190|101950213|101950260|101950277|101950390|101950416|101950597|101950826|101950893|101950904|101951005|101951070|101961097|101961208|101963027|101963164|101963191|101963246|101963313|101963478|118746670|118746811|101973665|101974551|118753738|101976976|101977057|101977140|101977239|101977250|118756420|101979499|101979733|101979777|101979793|101979808|101979827|101979953|101979959|101980044|101980239|101980521|101980560|101980666|101980698|101980839|101980888|101980948|101981372|101981704|101982018|101982127|101982192|101983022|101983120|101983268|101983280|101983384|101984145|101984219|101985329|101985336|101985526|101985536|101985894|101986142|101986875|101991218|101994385|101999849|101999858|102000117|102001183|110390317|102002430|102003691|102003773|102003786|102004285|102004482|102004731|102004831|102005000|102005391|110394252|102005664|102006807|102006829|102006876|102008206|110402010|110406402|118795700|102018609|102018668|102019070|118797756|118799013|102022587|102022723|102022873|118808607|102034484|102034588|102034806|118813468|102037222|102037243|102037514|102037816|102037830|102037937|102038380|102038679|102038725|102038738|102038839|102038851|102039149|102039275|102039445|102039509|102039521|102040264|102040364|102040628|102040640|102040645|102040690|102040695|102040750|102040820|102040855|102040863|102040900|102040904|102040957|102041078|102041122|102041413|102041475|118818716|102041680|102041729|102041813|102042112|102043745|118825385|102048727|102048781|102048799|102048833|102048862|102048865|102048974|102049000|102049027|102049243|102049371|102049393|102051782|102051816|102051834|118831990|118832024|118832102|118832199|118832257|102055657|102055681|102055711|102055756|102055785|102055820|102055840|102055857|102055865|102055867|102056012|102056036|102057572|102057619|102057631|102057737|102057805|102057817|118835896|118835908|118835949|118835991|118836025|118836058|118836071|118838685|102062555|118840957|118841308|118844259|102067614|118845087|118845264|118847636|118849885|118851154|118851480|102077792|102077881|118856456|118856468|118856482|118856622|118856756|102079588|102079947|102080151|118857659|102081319|118867014|118869201|118872000|118872137|102095251|118872537|102096026|102096330|102096415|118875807|118876622|118877964|102108032|102108220|102109853|102110751|102110796|102116615|102116735|102118460|102119897|102123801|102146546|102146694|102146961|102147142|102147529|102147773|102158501|102190292|102190657|102194219|102202299|118982401|118985338|118985459|118986151|102209258|102209312|102209808|102209955|102209967|102210164|102220398|102220413|102224030|102224340|119001716|102233625|119011878|102240490|102249183|102256772|102261364|119048865|102276759|102276820|102281319|102281431|102281537|102281559|102281625|102282513|102282539|102286472|102292302|102292474|102298711|102298754|102308553|102310220|102310330|102310434|102311158|102311168|102315369|102316007|119094030|119095092|119100924|119105046|102372975|102373846|102375239|102375436|102391831|102392278|102427830|102438626|102459317|102503111|102503324|102503437|102503905|102503944|102505557|102505649|102508096|102509869|119294139|102518059|102518238|102524898|102524949|119354025|119364003|102600592|111004699|111005658|111005803|102624551|102637134|102653954|102653983|102654082|102654190|102654236|102654365|102925922|102926398|102926618|102926686|103021572|103395232|103407371|103430774|103515039|103515217|103555317|103666105|103769409|103777401|103781916|120640286|120642984|120643993|120644040|120644460|120644879|120646580|120650634|120662157|112384179|112385049|112385819|112387460|112390246|112397746|104015461|104015491|104015501|104015512|104015592|104015600|104015631|104015719|104015877|104015942|104015971|112412905|112412913|112413049|112413393|104026686|112416048|112417031|112417299|112422460|112422469|112424696|112425438|112432177|104049748|112438781|104050814|104055209|104056149|104056720|104056733|104056744|104056903|112452830|104065039|104067184|104067226|104067968|120851691|104081504|104086556|104086734|104090311|104159280|104170940|120971007|120985665|120986809|120986937|104214592|104215703|120993965|120994534|104219683|104219830|104285710|104288183|104288644|104295938|104298750|104301378|104301487|104302103|104302970|104311576|104311850|104315946|104319793|104322045|104322950|104323132|104325844|104326929|104329925|121137617|104367614|104371005|104464155|104464164|104465279|104465478|104465682|104466230|104467156|104468343|121263053|104493804|104493812|104493828|104502382|104510514|104512160|104528385|104532574|104532602|104533679|104534256|104534347|104534394|104535428|104544102|104544107|104544155|104544451|104563592|104564613|121347515|121348193|121349607|121352601|121352953|121354729|121355444|121357047|121386950|121459189|121459204|121459270|121460292|121460393|121462770|121495602|121528064|104775510|104866396|104867888|113299275|113299315|113299382|113302537|113316371|113316422|113316858|113372980|113373066|113427895|113428027|113428318|113430109|113430392|113430435|113430583|113430734|113430756|113430778|113430846|113430919|113430948|113431027|113431934|113432039|113432096|113432151|113432283|113432357|113432480|113432625|113432633|113432867|113433282|113433662|113453116|105065718|113515735|113515756|113517017|113527715|105149587|113539971|113540187|113540508|113540682|113541098|113542070|113542392|113542641|113542861|113543855|113544006|113544214|113544329|113546037|113553059|113562652|113564020|113568273|113568561|121973699|121973714|121973748|121973886|113585625|121974380|121974550|121974657|121974893|121977063|105296507|105335274|122645538|105360828|105686940|105765323|105766060|105769783|122621882|122640341|122645596|122680208|122684209|122684253|122696042|122714319|122761496|122764166|122784641|122784828|106114907|106115165|106116085|106116518|106125219|106125636|106129050|106129122|106132349|106141358|106143718|106148659|106159602|114549238|114550423|106165751|106165997|106175014|106175018|106179020|106179142|106182238|106183487|106183535|106183895|106183965|106184009|106188555|106188960|106191502|106196116|106197087|106200286|106209694|106215781|106220784|106224359|106230666|106230752|106232340|106235182|106236664|106245743|106245744|106245776|106245808|114637496|106253547|123043805|123048272|106272436|106272444|114663977|106277367|106280305|106293152|106293397|106294011|106295739|106302865|106305234|123087421|106310724|106310778|106310834|106310941|123096060|106323299|106323431|123101234|106330416|106332831|106334432|106338565|106340752|106353547|106354569|106355971|123134317|106358577|106358998|123136584|106361497|123151871|123151875|123155680|123156163|123156621|106388544|106390413|106402071|106406039|106417583|123195400|123195408|123195437|123203565|106431573|106431855|106432458|106443578|123230185|106499076|106505543|106505544|106536156|106537062|106538696|106543078|106544250|123332446|123336131|106559141|106571825|106573954|106595809|114989706|123544190|123545716|123555060|123567073|123572821|123574849|123576618|123579297|123579309|106827128|115234508|115236295|107018009|107018043|107068578|107107532|107138244|107138872|115579773|115604445|115636648|115680893|115695672|107425565|107430055|115823508|115839523|107452453|107459596|107477236|115894765|115895481|107529322|107571329|107668546|124475656|124475675|124476680|124476825|124477369|124478790|124478945|124479073|124479115|107703658|107706042|124528844|107761450|107762727|116152122|107773183|116167782|107780666|107807215|116212630|116304707|107936944|124728467|107994055|116536279|116536329|116536340|116538955|116539005|116539356|116550875|116569727|116570531|116571215|116587023|116587029|116590445|116590457|116590484|116590497|116590539|116590592|116590603|116590611|116590766|116590771|116590804|116590812|116590832|116590870|116590948|116590992|116591395|116591401|116591420|116591449|116591477|116591543|116591575|116592241|116592259|116592320|116592338|116592366|116592391|116592452|116592500|116592533|116592830|116592917|116592957|116592989|116593160|116593172|116593190|116593227|116593509|116593566|108353229|116772579|116797127|116832382|116865168|116887038|116898725|116900114|116900137|116907651|116910594|108550653|108557859|108566746|108566904|108569467|108576978|116968584|108588628|108611466|108613031|108613146|108613205|108616103|117016125|100246650|100246974|100247140|100249517|108664101|108666405|108689564|108689706|108689833|108690513|108713030|108720061|100333537|100342647|100351177|108766884|117167983|100403040|117216285|117221416|100445292|100452557|108847642|100488226|100492994|108899874|100512714|108910744|100532684|117360528|117364940|117366158|117367812|117367979|117368709|117376462|108994243|100611260|100612571|100628777|100657481
art.n.01	art.n.01	100678757|100683571|100689065|100696786|100710413|100721426|100747844|109141350|109141381|109141476|109141530|100767526|100767595|100777587|100779098|109210216|117605316|117606343|117606347|117613400|109265664|117681346|117685344|117731176|117753729|117753884|117758946|109392740|117951084|117955164|117994511|118010873|101235213|101417834|109962350|118375025|118375062|118376063|118377892|118400058|101738985|101744461|101745543|101755983|101770383|101771132|101776254|101787580|101792091|101797113|101797962|101798200|101803703|101843611|101843630|101843982|101844180|101882056|101883557|101885443|101889111|101895686|101895973|101896807|101908755|101909262|101909291|101909765|101911250|101919559|101923583|101961917|101979859|101980020|101980458|101980483|101980493|101980591|101982053|101984097|101985178|101985212|118764899|118794831|102019984|102022568|102028470|118809831|102038690|102040489|102040716|102041526|102048335|102048759|102055918|102055924|102055932|102057407|118851095|102084309|102110774|102111005|102119780|102119804|102119839|118939243|102189165|102206342|102209583|102233582|102281441|102281480|102281523|102292290|102311204|119092759|110850315|102524471|102600408|102600671|102926552|103560323|103585236|103619546|103776885|103777201|103777405|103781894|103781920|103808144|103835694|120643944|112384314|112413076|104039563|104056784|104086729|104138163|104159218|104170400|104170460|120968333|120968369|120972205|120977231|120990959|104214813|104214834|104215513|104215656|104215770|104219864|104220196|104285727|104286035|104290217|104296109|104311744|104311843|104324583|104326910|104364122|104367646|121193490|104465107|104465435|104470301|104470991|104493652|121289151|104532454|104532553|104534122|104534283|104563807|121459238|121459995|104755123|104755675|121548448|113427789|113430258|113430269|113430361|113430477|113431917|113432306|113432433|113432968|113433046|113433786|113517376|113543931|113562772|113563283|121974317|105335778|105461078|122633233|122633554|122646042|122784508|122785589|122785924|122785930|122786052|122788682|122789205|122789960|122792107|106234630|106235140|114651183|106272273|114663332|114663361|123054610|106280357|106290709|123069662|123069675|123069682|123085441|106310692|106310973|106341796|106359056|123151841|123152044|106385648|123195541|123195566|123195660|123195750|123195904|123195912|123200179|123203104|123203108|123203302|123203545|123203549|123204056|123230140|123230270|123230836|106557781|106558721|106558764|106559006|106760033|123541957|123567129|123573428|115780470|107569276|107571227|107671522|107766945|116170345|116556338|116587065|116590620|116590776|116591555|116926633|108657012|108692072|117084364|117366179|117367553|117367874|117367907|117367938|117367988|108994093
skill.n.01	skill.n.01|craft.n.04|skill.n.02|aptitude.n.01|genius.n.04|priestcraft.n.02|ability.n.02|inventiveness.n.01|invention.n.01	109060951|109116525|109120905|100787699|100802398|100811166|100816314|100821054|100821264|100821265|100822550|109213609|100840352|100841519|109242548|100878548|100891302|117753505|117968423|117968766|117972036|101219061|109688177|109780560|109780579|109789111|118180217|109807030|109808867|109846315|109847446|109848286|109848436|109848630|109859497|101521928|109923237|118324950|109958334|109975735|118375598|101622198|110012028|101650835|101722122|101722127|101722153|101722233|101722238|118512429|118514114|101839042|101895129|101927219|101930213|101963099|101963145|110404928|110404964|102044791|118860993|118888236|118893419|118893889|102196637|102196684|102199741|102253081|102264495|102321610|102375488|102379493|102411627|111193293|103012069|103158309|103346143|103564788|103564798|103693413|120643534|120754959|112384612|120774497|112387199|112391811|112391928|112391966|112392091|112396048|112421723|112423878|112434978|112448416|104174712|120983346|120990481|120990595|104351393|104359536|104363309|121554269|113306107|113351469|113352675|113521895|113544093|113562454|113585507|121986503|121999066|121999099|121999104|121999126|121999139|121999181|122005767|105763988|106124375|106149090|106149198|106155179|106167972|106182221|106203256|106204051|106220574|106222765|106224375|106224671|106227132|106253408|114647349|106274522|106274725|106275058|106278711|106293298|106299029|106314688|106323445|123137845|106428186|106477091|106477891|106485767|123272354|106524745|106545685|106551368|106771690|106782783|106790811|106790887|106926770|115337056|115360936|115498246|107138640|123940205|115565286|123985835|123986072|107297633|107355375|115920362|115921654|116053842|107848707|124695351|124751262|124766092|108187915|108388199|116778162|116891969|116921600|108546378|108608642|108618908|108651800|108660707|100351188|117235387|100542383|117322610|108993072|117512402|100926026|117719566|109770946|109886769|109981998|110023893|118453057|118694410|102240568|102266937|102268289|120725658|120771158|113369739|113369855|113370215|113480526|113562961|105223333|105272025|105766526|106919135|107079833|115569286|115603364|115620563|115669207|115711858|115712622|115729356|115739442|107368682|115796970|115986371|116057754|116305025|116915407|116928725|109043278|100961354|101652153|101656064|101739034|101802681|101804100|118630355|101962010|102067865|102079276|103693528|112386125|112391556|112391726|113318044|121942036|121949542|121949770|122001012|122662301|106317251|106379654|106552950|106932685|107770847|108473659|108555189|108652287|109304083|101223445|101859421|118674090|110401411|102327944
art.n.02	art.n.02|painting.n.02|sculpture.n.02	117454230|100684672|100684697|100688615|117467110|100748824|100768566|117574199|117574219|117604296|117613329|109233275|109266727|117682136|117700049|109330965|109504354|117956811|101192091|117990486|118003016|118010868|118105895|109759251|101387779|101407561|101407570|101417504|109846592|109847248|109859013|109859456|109922771|118375807|118378330|101731927|101745860|101771684|101774365|101775867|101776014|101778257|101787031|101787064|101796960|101797250|101799629|101807076|101828402|101843307|101843332|101860452|101882429|101883516|101889012|101889091|110284952|101897706|101979988|101980602|101980620|101981520|118765387|102007814|102070495|102084274|102101127|102124089|118946160|102188225|102200655|102206922|102209735|102209830|102281217|102281269|102281490|119094079|102386713|102525011|111004913|103536533|103569134|103774179|103798196|103798210|103801932|103818467|103835735|103835760|120643982|120644403|120644889|120726567|104016055|104026769|104067176|104086446|104086459|104162818|104170918|104171960|104214210|104219592|104219603|104219622|104325390|104329915|104470324|121357384|121459281|121459372|113432591|113540572|113543784|113554056|122712365|122785977|122787934|106138885|106200472|106235157|106256122|114663209|123078022|123088896|123123187|123151986|123195365|123195371|123195536|123220452|106476961|106532555|106559045|107154731|115567286|107456269|107470666|107477323|115986275|107668287|124476746|107766037|116926056|100159351|108565600|108800073|108971797|117364784|117367544|108994186|108999413|109014918|123095690|116912446|123202116
trade.n.02	trade.n.02|profession.n.02|occupation.n.01|employment.n.02|handicraft.n.02|work.n.01|function.n.03|employment.n.01|undertaking.n.01|labor.n.02|career.n.01|business.n.06|manual_labor.n.01|masonry.n.03	109059118|100684879|109135296|100755245|100772993|109261673|100939520|100939573|101014719|101138735|101171354|101238035|109688185|118105929|118111774|109757556|118176418|101422043|101426518|101540054|109933697|118327879|101552140|118331156|101563904|109953331|109953358|118348692|118348787|118349995|118375100|101633716|110055354|118452066|110068069|110068416|118503264|118503274|118503591|118503624|118503966|118511115|118511377|118511988|118512078|118512102|118513406|110177332|101853233|101853240|101856760|110245776|118639211|101930928|101965180|101982727|102057705|102067747|102084228|102215654|102253266|119037595|102266972|102267022|102267048|102267054|102267082|102267111|102267215|102291970|102372555|102476209|102476239|102476306|102477168|111165297|103247308|103280302|103280309|103381542|103452891|103452924|103689428|120771526|112384692|104311085|104322367|104322401|104328045|104358065|104360055|104367283|121178761|121178791|121183334|121193696|121203088|121256070|104693468|104694849|121496952|104726482|113305217|113306045|105040764|113429740|105067027|113540418|121973794|121974245|113605660|113623094|105259114|122637231|122672771|122787199|123044906|123124168|123202123|106595172|115441234|107091295|107097001|123892228|115567193|107209343|107291192|115786271|124483307|116171827|116172391|116174115|107793155|124581812|124638004|116313586|108206654|116779660|116862968|108474896|116904659|108566806|108566925|108576992|108577061|108577763|108608084|100250023|100514383|100657290|100667761|100745863|109167355|109204869|101430009|101430287|101430327|109926492|118324528|118380076|118380508|118397596|101626491|118511575|101802385|110285702|110287312|110287434|110290074|110290092|101961368|118776071|118793097|118847216|118877684|103035614|103204511|103333071|103396319|104369177|104474714|113317872|113336151|113400028|113404312|113410042|113415912|113428845|113429866|113429969|113429998|113430183|113430509|113432006|113432780|113432950|113436127|113479923|113518247|113598124|106178872|123065618|106306371|107137914|115549320|107424952|109014594|100865392|100939374|101180699|118322452|118504441|118694488|102155686|102475467|103280334|103282869|104725733|113306007|106505417|107793436|121234741|113361717|113501623|106223974|106536205|116898587|101611423|118782744|108847623|117367690|121203166|113367589|113414929|100922349|120644597|109975667|106188626|110396820|102065964|123088923|106338474|118483740|103210877|123528373|115767441
work.n.02	work.n.02|handicraft.n.01|product.n.02	100854729|118455488|120644832|104929723|106353855|115556888|115568842|115572266|115582698|115586568|115589860|115593074|115597635|115665187|115665338|115670840|115675471|115681185|115681779|115682416|115685886|115686104|115686974|115691798|115696674|115709049|115710494|115741592|115764034|115764929|115772495|115796944|116890528|118406019|118813597|102372829|104360210|121502624|121504095|121504229|113501159|115678262|117368847|117368897|120644293|120644807
science.n.01	science.n.01|discipline.n.01	109379068|109379113|109808142|109846489|101740594|101750246|101802627|101802654|101807394|101807889|101829276|101852873|110856945|103668732|103671278|104016035|105291443|122693179|122698961|122762856|123089518|123124235|123137877|106571832|103538706
ruse.n.01	ruse.n.01|trick.n.01|device.n.03|maneuver.n.04	100683154|100712138|100875491|117950125|103105198|103124968|103125113|103184317|103412466|104152403|106146246|106146407|106406124|106491156|106522779|106561941|115686170|116080764|116162173|116853776|117085806|117173254|117179075|100877465|109721617|109753580|118509088|118678036|118828615|118867778|118885910|103155943|103221124|103223358|103388818|103412612|103425740|120975197|106183612|115688592|115746354|100247026|100248789|117337981|100605388|100634700|117517181|118646476|118846226|118846250|103412016|115805080|108530991|118630909
rhetoric.n.04	rhetoric.n.04	109531688|101882469|101883363|106771572|107424173|107424235|107424419|107424922|107425162|107425535|107425634|107425798|107426002|107426047|107427273|107427305|107427406|107427495|107427844|107475992
craft.n.05	craft.n.05|brain.n.02	100823226|109998729|101622794|110056662|110068389|110086600|118481341|118516427|105065212|116010442|124709923|117322471|100583882|100878866|101161559|102411137
