universe.n.01	universe.n.01|earth.n.01|nature.n.03	117452544|117456508|117460697|117461277|100684484|117463381|117464146|117486003|117488829|117491485|117497025|117500395|117500406|117509525|117515294|117516175|117517416|117517586|117524266|117524678|117526959|117527459|117527464|117530619|117531673|117533401|117533440|117537452|117538837|117538889|117538935|117539754|117540699|117541186|117550761|117551010|117554805|109169401|117558188|109169714|109169718|117559343|117559498|117559503|117561040|117561070|117561087|109172629|117561387|117561417|109175539|117566323|117566519|117566580|117569692|117569765|117569799|117572230|117572263|117572272|117572426|117572689|117573721|117574928|117582996|117584876|117584881|117586117|117587696|117590802|117591224|117596220|117597249|117599089|117599946|117601283|117602064|117602368|117603014|117603484|117603899|117607012|117607651|117608002|117609343|117613296|117615776|117617711|117625272|117626714|117627033|109239862|117632669|109257147|109275380|117671441|109283236|109284413|109284589|117674084|109286694|117675451|109287261|117677717|117690534|109312874|109312929|109313664|109313749|109313801|109313893|109313937|109314112|109314458|109314747|109314910|109315179|109316129|109317230|117718815|117724340|117724363|117752034|117752038|117752401|117752900|117762752|109379384|109388901|109391730|109392521|117945955|117946038|117954757|117954799|117983331|117983396|117983403|117983854|117984031|117984484|117985210|117986411|117987457|117988732|117988740|117988794|117988844|117989511|117990399|117991198|117991303|117992015|117992024|117992060|117992570|117994290|117994992|117995688|117995694|117995699|117995804|117996042|117996072|117996851|117997366|117997368|117998140|118000168|118000853|118001003|118001126|118001148|118002885|118002912|118003143|118003167|118003279|118004665|118004951|118005319|118005725|118005889|118007213|118007321|118007931|118008350|118008521|118008531|118010148|118012974|118014169|118015005|109658020|118111729|109783101|101396284|109898086|118309873|118310092|118310237|118310294|118310379|118374010|118374074|118378436|109990163|118404432|118405944|118405989|118433903|118450212|118451148|118451760|118451934|118452053|118452162|118465080|118476894|110091329|110091849|110098603|110100903|110106387|110107618|110108045|110116939|118509574|110123707|110132386|110135174|110146340|110146344|110146349|110146356|110146724|110148006|110148037|110148041|110148047|110148088|110151080|110151448|110151958|110153046|110153394|110154179|110154185|110154869|110155614|110155905|110156210|110157201|110157443|110157738|110157775|110157781|110157885|110158963|110159003|110159096|110159204|110159272|110159671|110159684|110159688|110159698|110159708|110159715|110160255|110160452|110160457|110160558|110160661|110160677|110160739|110160773|110160779|110160853|110160873|110160898|110160938|110160946|110161046|110161091|110161098|110164350|101792765|101792856|101793545|101794032|101794149|101794351|101794445|101794680|110185382|110186268|110186455|110186885|110187322|110187350|110190588|110193714|110193727|110194035|110194522|110194741|110194805|110195149|110195234|110195243|110196185|110196475|110198330|110199375|110209008|110209012|110209146|110209543|110209754|110213749|110214633|110214639|110218314|110218896|110219686|101833135|101833503|110223648|110225867|110225994|110226690|110227248|110230666|110233219|110234045|110234051|110234057|110234073|110234098|110234103|110234423|110234775|110235020|110235046|110235058|110235163|110235540|110235551|110236082|110242125|110242995|110244886|110253253|101874979|118779009|118779133|118779236|118779474|118779571|118837761|118837796|118837822|118837903|118847555|102159594|102160136|118982951|118984164|118984303|118992980|118993715|118993753|118993820|118995528|118996200|118997557|118997706|118998157|119002599|119002648|119002700|119002794|119011973|119017119|119017714|119017866|119023599|119023683|119026784|102258691|119047445|119047470|119055033|119055042|119056546|119088699|119088794|119089709|119090344|119091178|102314755|119093027|119093824|119096823|119097024|119097275|119097427|119097589|119097702|119100285|119100410|102501171|103210162|103343937|103615298|103616805|103618282|103618661|103618852|103620470|103621041|103625489|103627101|103633664|103636738|103636762|120640758|120641442|120641465|120641884|120641908|120641918|120641944|120641955|120641962|120641972|120641995|120642027|120642051|120642092|120642101|120642184|120642723|120643090|120644212|120644231|120644244|120645445|120645488|120647632|120648971|120664370|120664625|120664633|120669506|120670902|120679936|120680897|120683046|120683234|120684445|120686227|120689727|120689976|120691683|120693787|120726301|120727618|120728594|112406021|104022136|112436597|120826466|120827418|112442159|112442416|112442546|112442592|120831295|120832046|120832062|120839465|120849497|120853809|120878079|120878494|120878645|104106705|104106925|104107814|104110794|104116635|104118797|104119747|104155902|104159335|104159404|104159880|104159899|104159990|104160482|104160543|104160819|104160943|104161425|104161562|104162124|120944804|104171113|120965361|120965606|120965611|120965690|120965791|120965807|120965910|120966075|120966167|120966468|120966531|120966821|120967349|104217178|104223439|104225826|104233944|121031444|104258830|104258842|104260369|121070708|121071157|121071459|121071773|121072431|121072540|121073695|121073981|121074215|121075052|121076716|121078518|104357919|121140019|121140174|121140408|121140413|121140615|121140640|121141033|121141447|121141941|121142160|121142173|121142407|121143389|121143927|121143989|121144166|121144205|121149488|121150163|121150931|121152186|121153005|121153023|121154408|121156133|121156446|121156485|121156634|121156697|121158158|121159246|121159303|121179480|121180596|121181163|121181408|121202686|121212358|121262373|121265744|121266247|121284856|121288774|104517202|104517228|121338826|104563932|104564022|104564857|121348461|121348831|121350551|121350898|121352123|121367871|121367889|121372760|121372769|121372840|121372856|121372888|121373810|121373875|121373978|121378669|121381616|121381716|121386562|121387605|121401064|121411139|121411162|121411387|121411392|121422236|121427421|121427486|121433854|121434860|121438402|121438415|121438962|121441799|121442201|121443038|121443527|121443725|121450450|121450486|121453318|121453591|121454170|121454188|121454794|121454923|121454943|121454998|121455022|121455442|121455463|121455893|121456843|121456996|121460109|121460178|121460271|121465733|121465961|121467095|121468071|121469224|121469542|121469560|121470759|121470800|121471409|121472843|121485603|121485608|121485689|121485694|121485740|121485745|121486656|121486871|121487016|121487272|121492526|121494342|121494844|121495473|121495656|121496203|121496210|121496639|121500710|121501643|121501669|121501808|121502181|121502747|121504379|121504420|121504473|121504484|121504549|121504568|121504752|121504767|121505013|121511518|121511536|121511756|121514131|121523384|121525946|121525959|121525985|121526015|121526778|121528162|121537054|121537092|121537431|121540045|121544160|121548097|121548116|121553698|121553813|121553821|121553827|121553842|104873994|113374129|113386798|113387124|113421093|105045105|105045142|105045177|105048021|105048105|105048501|105049532|105049719|105050016|121941343|121942009|121943874|121947947|121948743|121949690|121949829|121957503|121957524|121957546|121957611|121957665|121957676|121957684|121958616|121958809|121958943|121961896|121961908|121967623|121969736|121969800|121971579|121974335|121974365|121974434|121974528|121980055|121991164|121998825|121998842|121998850|121998890|122000586|122001236|122002887|105334119|113728672|105772276|105774432|122730060|122607360|122609011|122609878|122630548|122642774|122642851|122642949|122643031|122643248|122643288|122644150|122673025|122691119|122691134|122691583|122691754|122691817|122691872|122691954|122692048|122692111|122692184|122692209|122692246|122692264|122692275|122692331|122692368|122692375|122692418|122692446|122692485|122692503|122693011|122693065|122693160|122701639|122701672|122704189|122707559|122707769|122707779|122709030|122709157|122709213|122709626|122709695|122710325|122711439|122711661|122711675|122711958|122713123|122714612|122719682|122725606|122725643|122725678|122728529|122728593|122729011|122730248|122730539|122761542|122761547|122761641|122762270|122763123|122763499|122763576|122763875|122763891|122763901|122763924|122764049|122764073|122764086|122764172|122764197|122764294|122764371|122765030|122765135|122765388|122765412|122765585|122765606|122765627|122766477|122766806|122766996|122767004|122767281|122767295|122767306|122767329|122767368|122767386|122767510|122767554|122767578|122767599|122767639|122767650|122767739|122768074|122768081|122768126|122768377|122768472|122768780|122768988|122772769|122777535|106109858|106109865|106109888|106110018|106110316|106110343|106110468|106111137|106111298|106111329|106111967|106111977|106113426|106113741|106115134|106115780|106115852|106117090|106120839|106122055|106122374|106122830|106124603|106124627|106124676|106124762|106124803|106124918|106124956|106124968|106124972|106128054|106133501|106133658|106133668|106141804|106141827|106141831|106141959|106141963|106143711|106147504|106147508|106147966|106149050|106149128|106149289|106154910|106162726|106162877|106167051|106167165|106168512|106168635|106169092|106169096|106170469|106170479|106172542|106175109|106181438|106184825|106186396|106187505|106187550|106187589|106189405|106192149|106192179|106194086|106194611|106203520|106206734|106209873|106211897|106213527|106213768|106214762|106215656|106216112|106216251|106223408|106230780|106231085|106231129|106232185|106232198|106232450|106233199|106233457|106234523|106237193|106237536|106237612|106237878|106238375|106242549|106244908|106247283|106247902|106252526|106257209|106257240|106257273|106261656|106263874|106263891|106263925|106264015|106266192|106268326|106269916|106272369|106273479|106276384|114665337|106278068|106278338|106278454|106281123|106281578|123060947|123061170|123063438|106286322|123066812|106289603|106289703|106289732|106290406|106290445|106290503|106291817|106292218|123069735|106292947|106292972|106293103|106293127|106293995|106295560|106295721|106295750|106295761|106296163|106297633|106297816|106299656|106300726|106302454|106303871|123081656|123082193|106305348|123082815|123083514|123083577|123084494|123085025|123085038|123085504|123085667|106308585|106308636|123087193|123087205|123087211|106310322|123087576|106313772|123094241|123094248|123094250|106318844|106319391|106322815|106322981|123102680|106326920|106327046|106327591|106327718|123105472|123105500|123105561|123105630|106328503|106328537|106328549|106330208|106333771|106341146|106342283|106342780|106342835|106343410|106343462|106349503|106349566|123127602|106351789|106352324|106352453|106352524|123130721|106353599|123131364|106354269|106355628|106356489|123134271|106357536|106357600|106358346|106360072|106364605|106366909|106366922|106368386|106370424|106370557|106371070|106371146|106371158|106372636|106373612|106374411|106374643|106375114|106375173|106375227|106375461|106375526|106375682|106375958|106379924|106380142|106380176|106380292|106380388|106385960|106390131|106394216|123174806|123177544|106403175|106406263|106407177|106409866|106412584|106412886|106413314|123191111|123191117|123191123|106417367|106421025|123198583|106422706|123200108|106423024|106423662|106425034|123202944|106425781|106426090|106426473|106426644|106427518|106430807|106430990|106431733|106431804|106433413|106434959|106435182|106435193|106435223|123214310|123214338|106438097|106438583|106438991|106439749|106439912|106441174|106441636|106442064|106442182|106442256|106442339|106443355|106443945|106444954|106446682|106446763|106447735|106448314|106448480|106448770|106449787|106450763|106451357|106451527|106451615|106455813|106458313|106462188|106463651|106463777|106464254|106467397|123244882|106470131|106470607|106470960|106471030|106476437|123253809|106476993|106477010|106477402|106479660|106479664|106481225|106481335|106483233|106483708|106483775|106495136|106495138|106495333|106495394|106496031|106503249|106504082|106507374|106513814|106514423|106523111|106523325|106523641|106524150|106526023|106526048|106526218|106543613|123323060|106548572|106548706|106548712|106548752|106548799|106548956|106549010|106549077|106549112|106549149|106549162|106549203|106549333|106549453|106549518|106549617|106549693|106549713|106549903|106549931|106550072|106550172|106550234|106550360|106550844|106550860|106550968|106551028|106551136|106551237|106551615|106551862|106551881|106551893|106551917|106551928|106551948|106552003|106552027|106552080|106552106|106552200|106552277|106553434|106553497|106553533|106553573|106553699|106553804|106553848|106553907|106553918|106553986|106554057|106554093|106554252|106554550|106554619|106554742|106554888|106555013|106555283|106555313|106555354|106555640|106555774|106555838|106556268|106556328|106556346|106556398|106556617|106556701|106556713|106556743|106556916|106557329|106557339|106557709|106557738|106557890|106558273|106558527|106558670|106558734|106559067|106565758|106568271|106575376|106575560|114995806|123533486|123533490|123533648|123533651|123548846|123558603|123558628|123558658|115256385|115256889|123651885|123651983|123651993|123652293|123652452|123654347|123654364|115340440|107069918|107083054|107108155|123890867|123908810|123918295|115544425|107364594|115798676|115798967|107526069|107546553|107558502|115952039|115964250|115967823|115967902|107598413|107703704|124482304|116115079|116174151|107813861|107832761|116282988|116331923|116337715|108085643|108085938|108086844|108090123|108091229|108152463|116551477|108182762|116571681|108183236|116572120|116572154|116572325|116572785|108184973|108185613|108185735|108185923|108186498|108186597|108187236|108189493|108189988|116582687|116583388|116584083|116584160|108197516|116840304|116907918|116942565|108559329|108564644|108564690|108565950|108917173|117354904|117355420|117355563|117355952|117355963|117368919|117369037|117369042|117369753|117369775|117369997|117371395|117372322|117377173|109004784|109032263|117455260|117466711|117509398|117509595|117514438|117517497|117565935|117567222|117567234|117567291|117585846|117611827|117612192|109257258|109257263|109281348|109282237|109283492|109283997|109288529|109312534|109312608|109312806|109312823|109313014|109313219|109313493|109313604|109313850|109313915|109314470|109314635|109314715|109314723|109314770|109314972|109315007|109315022|109315473|109316052|109317177|109317333|117790464|117996330|109897999|118310413|110121479|110135863|110150672|110160889|110161970|110177052|101794001|110193740|110212597|110232154|110232781|110234966|118988429|118998092|119040505|102310925|103618406|103618563|103618622|103618867|103619318|103650352|120641978|120642002|120642109|120642113|120642142|120642743|120644110|120648688|120657693|120727491|120727511|120727519|120843162|120854573|120854616|104107795|104112329|120965707|120965824|120966150|120966326|120966430|120967484|104215206|121140444|121140834|121148730|121150184|121150273|121158179|121159769|121159779|121159878|121344234|121372776|121438852|121441378|121472885|121500441|121502641|121504363|121504432|121504456|121504519|121526805|113431478|105049615|105049629|105049633|105049640|105049664|105049765|105051938|113518493|105446583|122691998|122692493|122692594|122692884|122708105|122728613|122730143|122730157|122730161|122730168|122730192|122732473|122761648|122764189|122766493|122766590|122767324|122767562|122767989|122768001|122768026|122768064|122768139|122769194|106115991|106119382|106141818|106162924|106169199|106173012|106173030|106231901|106233367|106264415|106282072|106288371|106293136|123085311|123085640|106325082|106343786|106353876|106370664|106373482|106375317|106379982|106379984|106409989|106422623|106422934|106439524|106447908|106476367|106480484|106492989|106495287|106552287|106554479|106554959|106556588|106586101|123652714|123654413|106915158|123901195|115798470|115851149|107527369|107562215|107564574|107574640|107574786|107574866|116167975|116167995|107832646|116896488|108510912|116902903|116908644|117335188|117359365|117369953|121352935
decoration.n.01	decoration.n.01|adornment.n.01|jewelry.n.01|jewel.n.01|embellishment.n.02|necklace.n.01|jewel.n.02	109052777|109189380|109212869|117605136|109253515|101155497|117951443|109767545|109769290|109770885|109770969|109782804|109782877|109782907|109794500|101446345|109914865|109916781|118318728|101547621|109962239|109967859|109979252|109979296|109979617|109979626|109981222|109988532|109988547|101615100|101615757|110016557|110020444|101632603|101718769|101799549|101799879|118635161|118720231|118810801|118811301|118811323|118849974|118999358|102237735|102251071|119063449|102359514|102359529|102359540|102409203|102413002|103141229|103211027|103301806|103394247|103441144|103443224|103602008|103681662|103681667|120786390|120788039|104166900|104166959|120982687|120984760|104294264|104294759|104310574|121178691|121178752|121178846|121241141|121241259|121241989|121242375|121242880|104511561|104605663|104692966|113317097|104933826|113494405|113546836|113638838|113655993|105269734|105293955|113723034|105370063|122616708|122656149|122672505|122677084|122761431|122786465|106113502|106114277|106167881|106168121|106171397|106171851|106204975|106229013|106276004|106276027|106276552|106332301|106339984|106348023|106385659|106394485|106394503|106419286|106433769|106443906|106453755|106511385|106567210|106585247|123541960|123544913|123572064|123576972|106846955|107021883|107100346|123907262|107135424|107135547|115570481|115574372|115631320|115660502|107323765|107375201|115809341|115833180|115835433|115836314|115838102|115838634|124311773|115925183|107537719|107585620|107591916|115993586|116002324|116020519|116022314|116024978|116041165|116042968|116043431|116045235|116052660|116059790|116065000|116078533|116079143|124481893|107768197|116178322|116191711|116196304|116203447|116207541|116294193|116298984|107910999|116304773|116304807|124704484|108041043|108060305|108061179|108081107|108084017|108199061|108208662|108246471|108246547|108246594|108268784|108274038|108277805|108279379|108320486|108325163|108332269|116787237|116798573|108472246|116886333|116889943|116890578|108507799|116902409|116914205|116915725|108543648|108584273|108599419|117084368|117089294|117093336|108754437|108777152|117213914|108845213|100483777|100496296|100497347|100498730|100530876|108921442|108921456|108928795|117333587|100580932|108973247|100587881|100592106|109014019|100675677|100704509|109110201|109110885|109166326|109211484|109255249|109263752|109304881|109306215|109350399|109537984|101504809|118318770|101586778|118381575|110014662|118413100|101649067|101651820|101663746|101718801|118513257|118517370|118788623|118810913|102067299|102162908|120647679|104362327|121190680|121190779|121191346|105218600|114640388|114651272|114666445|114685277|123589747|115246478|115247540|115268307|106909535|115503647|115535186|107269676|115660726|115731912|124475959|124475964|124570915|124776033|108612806|108639428|108782675|108782718|108872402|100486886|108882006|108882139|108885254|108914751|100531167|117336172|100573432|100573491|117350950|100603270|101595667|101616227|118940782|102449284|121178918|121203487|105458984|106909594|106910248|123902491|124621951|117192385|117193383|117342780|109381028|101407149|101525488|101559888|101566396|113333370|113442320|105139204|115743438|118422339|113428788|107826289|109083472|118926806|101566430
populace.n.01	populace.n.01|world.n.02	117459127|117466009|117466064|117466275|117480569|117523221|117559486|117696621|118422199|110101671|110149258|110151922|110159286|110160020|110161005|110161561|110190537|110193597|110193609|110203215|110229648|110229661|110233767|110234695|110235062|110235269|110235883|120680319|120680532|120726198|120727566|120728945|120846732|120856235|120878182|120878281|121077952|121144279|121150321|121153472|121154678|121355074|121368858|121369493|121371468|121394370|121408491|121418552|121419024|121427282|121427826|121438354|121443854|121457091|121471177|121486296|121512042|121529448|121536157|121545547|121553797|113404245|121945429|121970128|106350836|106361845|106427441|106451517|106466055|106476305|123320673|115546691|124648126|108184256|108184680|108187676|117512043|117558710|117558868|117598150|109313706|121367854|121373020|121373336|121387043|121545760|105767334|116120878|108510941
orderliness.n.02	orderliness.n.02|order.n.03	117549216|101063108|101082351|117959801|101191712|117988747|118319398|118325690|109960694|102001373|102001419|102001444|102001468|102002464|102002487|102002503|118789336|118903657|119068969|119070461|111194080|102958413|102961212|103597057|120644009|104018013|121179963|113384398|105122864|105126647|105153102|113697499|113700234|113700479|113712204|113722548|106111788|114650780|123041520|123041818|123041834|123041841|123041863|106296095|106428169|106455410|106547026|106547576|106552228|115364787|107133214|107181403|107278088|107278357|107371898|115783307|124541666|124575084|124624176|124631536|100056025|100064364|108661712|100303182|100336428|100351833|117129587|100368272|117145646|117149363|100398090|100431429|100475786|100537642|109020211|100643355|109263345|109263727|109529858|118427284|118724944|122704297|123155370|115341974|115390375|115433938|107088279|107122752|107200092|107233506|107237952|107334979|107351719|115847303|115854387|116118571|108587827|100336449|108784626|117203085
worldly_concern.n.01	worldly_concern.n.01	117459834|117490811|117515083|117523592|117545608|117561814|117588354|117589302|117621625|117742649|118003825|118006436|110157319|110160548|110161907|110194467|110196195|110196222|110196261|110201601|110203818|110214408|110228832|110233043|110235355|119051354|120667425|120680337|120691478|120691582|120692072|120692104|120694115|120725279|120727612|120728805|120875793|120875806|120878559|121031690|121068104|121079246|121079308|121351105|121353459|121367840|121371246|121371276|121386588|121471136|121471261|121489589|121496632|121504463|121519193|121525852|121537039|121537075|121537082|121966589|121969604|123890038|123893167|123896834|123902988|123907294|123918439|123918521|115547278|108187800|117374110
world.n.03	world.n.03	117558238|117558780|117587203|117589334|117599958|117599960|109285487|109286974|109287202|109314370|117713153|110408858|102502411|103637102|120965416|121487263|121502586|105049603|121959154|121961973|122730129|122767728|122777564|106110576|106110657|106111211|106111234|114640267|106263828|106268404|106281035|106291384|123070910|123082065|123082074|123082112|123087250|106311029|123097764|123127159|106352400|106352547|106376205|123175225|123185784|123185792|123185799|123201593|123201600|123203805|106427078|123215907|123270547|123637477
disorderliness.n.01	disorderliness.n.01	120985439|113563696|105221478|105257313|106797467|107079022|115647840|107270003|107278126|124624521|124632613|124632785|124642049|124658995|124685143|124748901|108649009|100373950
attire.n.01	attire.n.01|finery.n.01|dress.n.01|apparel.n.01|array.n.03|clothing.n.01|gown.n.05|garment.n.01|covering.n.02|costume.n.04|suit.n.01	109167916|109174295|109367939|109656592|118874399|112388462|113729483|106917652|115458400|107108723|107725620|107842529|108042818|108268790|108913948|100818353|100898297|100941919|101412585|118334828|103455311|113301079|113467134|105082027|122665758|115268511|115813667|109913643|101894839|113667732|105437253|107727520|107794094|107801960|100636020|101894806|118864045|106919438|115612339|107361135|115978306|117477699|109252520|101457724|107846387|108830182|102371125|106920675|106929154|116084496|100489938|109174177|118632069|107154452|108639864|101004096|102371236|106347613|116911644|109861809|107606965|100505666
beauty.n.01	beauty.n.01	100880492|118427654|104362119|123085945|106568272|115567821|115580145|115661599|115733567|115747049|115761274|115778347|116054629|124751524|108035597
kind.n.01	kind.n.01	107067636|107105558|107135132|107147139|107154825|107163963|107191616|107238729|107280696|107330469|107337946|107338100|107350263|115860320
