matter.n.03	matter.n.03|substance.n.01	117459416|117484672|117484676|117484680|117495384|109117010|117509383|117557346|117569206|117569237|117571882|117610966|117613368|117637358|109284371|109286526|109287771|109291580|109308982|109309039|109312851|109313912|109313944|109313971|109314413|109315158|109315571|109315696|109315768|109316020|109316040|109316674|109316730|109316888|109316958|109317174|109317481|109317510|109320472|109320500|117716608|109362712|117774294|117775066|117775088|117792589|118005900|118013610|109649394|118724484|110401846|110401873|110417156|110420997|110421028|110421688|110421873|110421915|110421954|118981453|118993709|118996198|119088998|119094156|111165670|103566122|103566144|103572123|103572157|103573576|103573608|103575075|103581018|103581228|103582190|103584876|103584977|103585170|103585186|103588302|103613877|103619562|103619679|103619704|103619745|103619801|103619858|103619863|103619898|103619925|103619964|103620007|103620016|103620073|103620467|103643362|103643470|103644134|103645113|103645144|103645162|103645182|103645232|103645324|103645596|103645613|103645753|103762418|103762702|103769499|103773150|103810194|103819203|103819427|103821607|103822713|103823126|103823448|103823605|103823633|103823915|103824518|103824546|103824590|103824992|103824999|103825006|103826587|103826650|103826664|103826813|103826822|103828245|103829567|103830178|103830329|103830342|103830416|103832877|103834606|103834646|103834663|103834717|103834789|103835139|103835146|103835649|103835713|120640669|120640680|120640708|120641057|120641406|120641479|120641494|120643837|120643852|120643902|120643959|120643979|120643999|120644059|120644068|120644088|120644342|120644373|120644409|120644886|120645476|120645506|120645543|120645546|120645558|120645570|120645990|120646700|120646785|120646883|120646893|120646911|120646945|120647253|120647405|120648166|120648188|120648247|120648362|120648384|120648388|120648539|120648923|120649385|120653651|120726533|103950937|103967072|120750945|104017087|104019422|104020402|104021026|104021382|104023796|104023798|104024389|104025760|104025774|104026272|104026310|104026780|104028966|104029131|104029266|104041063|104041161|104042095|112431874|104044393|104047719|104047786|104048854|104049870|104049884|104049955|104050061|104052412|104052431|104052459|104052516|104052606|104052665|104052707|104052739|104052754|104055081|104055138|104055421|104055644|104055673|104055756|104056220|104056292|104056548|104056574|104056624|104056688|104056961|104057046|104057316|104057329|104057343|104057374|104057452|104057460|104057554|104057627|104057647|104057731|104057871|104057982|104058094|104058131|104058134|104058245|104058264|104058969|104059031|104059096|104059150|104059288|104059369|104059817|104059827|104060226|104061228|104061324|104061857|104062963|104063238|104063250|104063252|104063425|104063460|104063828|104063950|104064348|104064598|104064820|104064876|104064947|104064973|104065033|104065194|104065219|104065436|104065529|104065562|104065569|104065595|104065607|104065824|104065895|104066196|104066257|104068420|104068423|104068488|104069101|104069119|104069220|104069448|104069779|104070349|104073536|104073704|104076401|104076844|104076897|104076907|104077004|104078368|104078858|104078873|104086220|104086289|104086309|104086317|104086359|104086490|104086504|104086967|104087054|104087392|104087415|104087442|104087659|104090697|104090736|104091175|104091393|104092782|104098631|104098662|104098771|104099394|104099419|104101179|104102129|104102204|104103857|104107842|104123339|104125939|104130644|104136247|104136267|104136834|104136978|104138755|104144042|104144054|104144202|104144256|104144378|104144391|104144490|104171081|104171743|104171748|104172419|120965344|120965699|120966550|120967043|120967107|120967421|120967595|120967641|120967944|104209707|104209721|104212892|104213664|104213682|104213699|104213993|104215407|104215425|104215432|104215490|104215527|104215555|104215791|104215838|104219796|104220659|104225738|104226268|104226340|104226729|104227764|104228091|104228097|104228186|104228228|104228458|104228640|104229182|104229750|104230058|104230138|104230198|104230977|104230987|104231913|104231931|104234415|104234443|104234468|104234488|104234544|104234576|104234675|104234682|104234752|121140078|121140092|121140138|121140633|121140793|121140830|121142391|121143867|104545945|104547420|121348242|121348321|121348588|121348611|121348620|121348778|121348829|121350562|121350566|121350606|121350644|121350811|121350838|121350860|121351202|121352220|121352258|121352879|121354066|121374332|121425129|121425136|121425390|121425504|121427250|121451272|121451282|121453753|121453799|121454118|121454145|121454278|121454845|121454902|121454914|121454927|121454968|121454975|121455105|121455939|121456318|121456360|121470885|121492930|121498771|121498784|121510175|104751060|121949566|121963582|121969573|121972409|121972417|121972672|121972784|121980638|121998116|121998206|121998365|121998380|121998386|121998402|121998415|121998424|121998466|121998496|121998514|121998526|121998550|121998578|121998589|121998663|121998727|121998802|121998816|121998838|121999305|121999339|122000131|122000257|122000375|122000637|122000649|122000689|122000743|122000867|122000964|122001047|122001229|122001251|122001281|122001310|122001323|122001339|122001356|122001375|122001401|122001512|122001588|122001597|122001692|122607283|122608430|122642489|122643192|122691213|122691340|122691595|122691667|122693229|122693242|122693257|122756063|122761957|122762216|122762222|122762512|122762552|122763489|122763501|122763533|122763556|122763795|122763913|122765498|122765615|122765739|122765771|122765793|122765829|122765876|122765910|122766279|122766517|122766638|122766772|122766856|122766862|122766870|122770639|122774801|122775891|106125042|106131395|106131815|106139283|106197569|106204719|106204906|123042113|123052224|123052431|123052516|123056742|123056875|123057172|123057330|123057405|123058180|123058549|123058673|123059001|123059210|123059246|123060127|123069553|123069844|123069861|123070065|123070281|123070550|123070722|123070898|123071277|123071591|123071659|123071905|123072045|123072052|123072206|123072213|123072305|123072475|123072507|123073006|123073030|123073261|123073439|123073852|123074700|123076021|123076141|123076156|123076749|123077847|123079051|123079053|123079093|123079102|123079176|123079277|123079464|123079539|123079549|123082171|123084868|123085100|123085678|106313653|123092436|123099782|123100304|123105949|123106024|123109336|123109379|123110698|123110706|123110720|123110760|123111281|123111750|123111947|123112020|123112751|123114763|123114894|123115143|123115520|123115593|123115698|123115724|123115862|123115919|123115959|123123106|123134684|123137559|123141989|123145484|123145541|123160790|123163122|123163487|123163782|123164063|123165854|123166405|123167298|123168720|123168739|123177626|123185568|123195585|123195925|123195932|123196365|123197993|123202444|123203007|123204543|123204575|123204667|123213241|123213345|123213578|123213676|123214215|123214266|123214396|123214898|123215203|123215222|123215241|123218395|123223577|123224609|123224624|123224855|123224894|123225037|123225040|123225249|123225336|123225480|123225580|123225592|123225610|123226125|123226686|123226752|123226960|123227059|123227209|123227773|123227791|123229851|123230156|123230160|123243478|123243651|123243674|123243791|123243878|123243893|123245333|123245433|123247560|123255766|123256030|123264374|123264968|123264979|123266895|123266930|106494657|106543576|123526940|123572163|123572712|123577269|123595231|123595238|123595249|123595269|123596344|115253854|123651756|123653291|123653296|107364603|107693943|116213611|116243508|116549181|116549224|116549229|116549261|116549337|108186501|108188423|116578581|116833546|108555861|108602541|108667080|117364802|117366192|117366201|117366245|117367559|117368772|117369109|117369209|117369695|117377101|117379293|109245112|109282403|109286666|117946890|103911116|104055120|104063319|120992592|104523363|104774856|104774864|122716757|106153221|123169028|123194910|116543167|116565338|116782274|116791047|116832887
material.n.01	material.n.01	109089059|109140382|117531481|109172728|109215701|109229420|109239641|117639112|117639571|109266506|109266740|109286967|109286994|109287259|109287428|109287505|109287531|109287554|109287591|117678794|109290852|117682179|117692588|117692764|117693242|117706850|109320940|109321986|117716589|117719609|117728589|117751972|117757226|117774854|117784806|117798862|117802451|117986984|117987002|117998025|118002021|118009218|109733196|109802598|109923652|118375844|109987894|118377448|118378183|118378341|118378388|109998997|110023889|118422549|110042282|118451448|118451467|101842577|118665257|118724374|118759162|118762312|118773877|110389447|110401708|110401746|110402053|110402059|118798556|118844175|118844185|118844206|118844302|118868756|118981269|119097678|119102063|119199807|119201729|110857692|119371671|111152971|111162264|111163676|111163692|111163783|111192421|111197422|111200437|111204227|111204582|103572461|103572465|103572615|103573597|103573721|103579462|103585211|103585239|103640163|103641033|103642368|103762389|103763044|103768994|103769306|103769435|103771807|103771974|103772905|103772981|103773139|103773212|103773712|103773843|103773946|103773973|103774014|103774070|103774101|103774151|103774230|103774892|103775116|103775157|103776447|103778731|103780183|103780269|103780435|103781691|103781985|103782099|103782537|103785076|103786936|103787953|103789432|103791085|120574818|120575024|120575809|103799978|103800301|103801114|103801537|103803856|103804171|103804416|103805474|103805500|103805684|103806010|103806213|103806317|103806530|103809456|103810457|103816571|103822080|103822148|103822316|103830070|103835331|120726592|103967532|103968050|120757057|120772920|112396436|104017654|112406746|104018525|104019069|104019326|104020214|104020633|104023780|104024836|112420566|104040013|104040338|104040915|104047857|104047870|104048102|104048804|104048822|104057865|104058389|104058408|104059415|104059421|104059426|104063497|104063540|112452334|104064056|104074122|104074350|104091660|104099348|104099371|104109136|104128190|104170526|104170925|104171164|104171266|104174915|104183973|104183994|104186006|120981015|104205289|104214758|120992392|104215658|104216288|104216594|104220366|104255980|104256051|104300665|104358043|121138056|121139493|121140171|104461766|104461854|104461945|104462040|104521283|104521309|104523338|104525781|104525800|104526008|104526077|104526190|104526226|104526789|104527611|104547548|121420836|121439464|121449283|113369737|113553019|113553065|121956354|121956506|113579920|121988152|122710642|122719154|122762354|106121488|106121547|106122065|106122400|106126947|106127091|106135037|106137184|106160125|106161110|106166618|106167944|106169576|106169635|106169694|106188967|106189496|106201258|106210641|106221782|106225810|106225965|106230973|106231123|106231843|106244026|106245616|106245750|106245796|106245860|106247307|106248672|106253474|106263143|106264544|123044100|106276023|106277371|106282743|106292055|106293220|106293242|106293280|106296623|123078453|106302206|123079639|106305791|123085484|106309080|106321021|106349074|123148724|123155222|106383061|106383245|123163765|106404303|123194928|123195786|106419301|106424303|123202126|106425019|106425169|106425418|106427613|106427775|106432454|106440629|106443905|106447071|106447149|106447168|106447302|106448651|106450117|106452091|106460850|106462564|106465907|123245314|106531972|106538109|106555409|106567189|106580240|106581443|123580622|107160730|107368678|115792321|107456273|107459617|115915089|115921111|115921310|115921688|115924967|115934207|115975770|115985677|115986336|115989023|116022957|116055301|116057762|116170332|116181357|107800270|107818353|107833179|116237601|116239366|116239633|116247424|116250193|116269140|116269173|116283388|116284113|116284966|116286762|116291358|116292214|116298538|116304764|116329885|124910354|124910482|124910551|124910559|124910621|124911290|124911531|124914161|124918937|108613125|117050243|117053155|117099941|117100946|117100968|108740084|117132150|108753148|117197492|117200399|108876841|108887314|117353095|117364693|117364990|117365382|117366345|117372636|109051147
wood.n.01	wood.n.01|brushwood.n.01|log.n.01|pine.n.02	109060687|109115569|100872243|100873351|100876795|100929151|100986472|101017451|117971804|117977193|109711748|109711854|109746266|109770798|109771564|109783227|109832931|118371503|101634319|101642141|118632516|118633982|118634051|118635842|118643204|118645014|118650446|118658240|118662894|118669262|118669348|118680363|118862682|118902752|102173666|102182599|102237700|119031344|119081632|119085615|119090637|119097206|102388072|102961039|102968201|102985026|102985604|103005477|103008788|103260753|103260857|103371044|103829071|120652934|103885994|120747704|104088051|104149027|104149273|104149672|121289252|121357955|104675097|104679435|104690037|113301429|113339089|113343521|113344601|113345675|113348964|113350176|105035057|105192644|105213384|113670152|113670392|113670512|113699797|113704200|113760205|105673699|105673714|105673751|105825837|106188638|106189061|114652473|106424153|106432417|106445862|106538401|106576231|106826979|106829382|106924891|106924997|115337108|115361749|115415887|107077238|107080436|107084017|107093138|107103201|115501886|123947102|123993457|123993482|107374686|115774252|115835209|115872251|107582572|107597019|107597364|107597392|107600282|107608103|107611617|107616704|124585753|116224146|116236347|108249964|100039761|100039777|100063764|116855129|100119763|100120269|100120393|100120492|100120699|100120980|100132596|100133665|100155238|116956002|116956765|116956786|116970731|108622806|117014307|100238287|100242175|100248198|100254419|100255167|117093987|108723128|100348758|100348779|100372119|100380771|100380889|100381629|100636108|109036149|100875538|101031550|101462766|103884740|107180838|107271750|115726346|100531282
forest.n.01	forest.n.01|forest.n.02|brush.n.01|vegetation.n.01|underbrush.n.01|greenwood.n.01	109172702|100802755|117583132|100821988|100853775|100876727|100911985|109350678|117946179|117962434|117971824|117972314|117976958|117980907|118009597|109851130|101474497|118314226|118339418|101641960|110042948|110043264|101656262|110081736|110085430|110086459|118644614|118658059|118690577|118690716|118690729|118696462|119082141|119101047|102967932|103368237|103931365|120979787|120988430|121137953|104504059|104661780|104661969|113343061|113343691|113344162|113344490|113347908|113441285|105152115|113635328|113649241|113714063|113714090|122754781|122755610|106122977|115337719|115379366|107080402|107129586|107136128|123942655|123946819|123955616|123962695|123967063|107194111|123974010|115628819|107271216|107289312|107295143|107303032|107526735|107585141|107606161|107616263|107616463|107716884|116108010|116108393|107733876|107758489|107767880|116236299|116264336|116306936|124728095|124755527|124764121|108180756|108398449|116789050|116832669|116838340|100082577|116870969|100157108|117008656|100240719|117018312|100255145|117061286|117062906|108694487|117101588|117205399|100509429|117368072|100634784|100637831|100638311|100646994|109254196|117946450|117972716|118373544|118377157|110047654|102185327|102218696|119079037|102411376|102960526|102994348|103014101|103367344|103367497|103368295|103370296|103370678|103370964|103371300|103372372|103375831|103495129|103928795|103931436|120987737|120988495|104651637|104658163|104710647|113319312|113339664|113343248|113344854|113350084|113472401|105445828|113921560|113925120|113928682|105827337|122760158|115368496|123939635|123940363|123977594|123985898|107532111|107597137|107612942|107613062|107616249|107634037|107755863|107783802|107789925|107790023|107795543|124687189|124744008|100024977|116812343|116813108|116818553|100056908|100067221|100089943|116871618|100109699|108622899|100242102|117061529|117061562|117063209|108712502|108752605|108802350|117191467|109007029|101182463|101462795|110078360|103932578|123324876|107326408|101421824|104661862|104661952|104662537|113384335|101641391|104716167|106593183
topic.n.02	topic.n.02	117626518|117670769|117672680|117678807|117685424|117692826|117702246|117716107|117717724|117727696|117743670|117748876|117748895|118000441|118003012|118004835|118009096|118009270|110388609|119294396|119294417|103566034|103612381|103623939|103631513|103645169|103819159|103822728|103823569|103823827|103824646|103825059|120649472|120686218|104020782|104042611|104043550|104050899|104055710|104057512|104058084|104058240|112448803|104062617|104062653|104064005|104064366|104064916|104065469|104065507|104065946|104065960|104066624|104069073|104076660|104076667|104077900|104079665|104086106|104086349|104087370|104100804|104101045|104101741|104104884|104215700|104215739|104215797|104218805|104218841|104218952|104220425|104220575|104220598|104220806|104226250|104228335|104230011|104231040|121159234|121348569|121352588|121352798|121452574|121453174|113386490|105149267|121999283|122000878|122000918|122001190|122001479|122001486|122704163|122762306|122784621|106114350|106150357|123075196|123076694|123100328|123133787|123198014|123214150|106494672|123334887|123555055|115896035|108081603|108614715|108690549|117376705
lumber.n.01	lumber.n.01	100958855|101285561|109771689|118372729|118375568|110037210|118464616|102186689|102186862|103260706|103262550|104151594|104358978|104689002|104690182|104693149|104693413|104694384|104717805|104717835|105177135|113685645|113698480|113729618|113731432|106182421|106412064|106766641|106826915|107069741|123947392|123957492|123980798|123983446|107375224|115948477|107631762|107714645|107733359|116156207|116156553|107779078|107779716|107805269|107806236|100189256|117044531|117044568|117103544|100353740|108769634|100387457|108815985|117232293
tree.n.01	tree.n.01|shrub.n.01	117498779|100968463|117962401|101640513|101640973|118658323|118690676|104679234|113346453|113346689|106112552|106128437|106450331|106552983|107130191|123941217|115567386|115755237|107375274|115848287|107584601|116039971|107814736|116271302|116286812|100156461|108667013|117085083|117144325|101441563|105321426|107779583|108540213
material.n.02	material.n.02	109272518|117685676|117687651|117687680|117688938|117693298|117753897|117753903|117993776|118390754|118457213|119211638|112389561|112407320|104051331|104144899|121140182|113370244|105451153|123071977|106303292|123243557|107684139|116548686|116548819|117159501|108831895
fuel.n.01	fuel.n.01|firewood.n.01	109307370|109330180|109346129|101318548|102268103|111159648|120987878|105050061|105318724|105318755|105342390|106256619|106321049|106360662|106365019|106404581|106423311|106461320|106501223|106503272|106503752|106519980|106562823|107617473|107627257|116238934|111158202|107133864|100170081|100173839
matter.n.01	matter.n.01	103823710|104052616|104065976|104085260|104090150|104101879|104226760|122620347|123074249|115234617
