birth.n.02	birth.n.02	117462294|117463029|109081458|117471258|117471983|117472391|117474370|117474405|117475744|117476188|117496588|117497829|117508737|117510221|117510681|117517391|117517454|117520486|117520803|117520817|117521646|117521657|117521668|117521733|117521738|117522283|117522650|117522709|117522714|117523617|117527710|109176020|117565108|100793703|117570962|117572163|117595212|117599001|117602610|117615829|109232388|109236744|109236747|109258909|109260569|109281269|109286713|109289916|109308359|101016243|109411938|109412542|109529198|117998884|101383263|109776364|109886297|118293105|118351225|118434613|118451995|110090114|101707310|101728928|110124035|101793408|101793966|101849688|118630724|101875827|101894383|102094664|102118645|102128257|102155323|102163282|102163597|102181580|102182361|118994444|119017782|119025387|102265478|102294550|119082466|119083002|119093438|119093713|103459347|103460617|103653399|103809696|103810231|120645108|120650793|103909364|103933896|120789125|120984554|121139514|104365852|121178026|121183180|121183261|121183618|121183889|121184003|121184040|121184158|121184681|121185118|121186115|121186786|121186891|121187470|121187686|121188049|121188207|121189789|121189796|121189837|121190023|121190243|121194356|121195137|121195268|121195336|121195359|121195454|121195773|121195924|121196005|121196196|121199264|121199728|121199751|121200168|121200189|121200215|121200249|121200269|121200359|121200475|121200497|121200521|121200531|121200660|121200696|121200708|121200755|121201484|121202153|121202363|121202474|121202960|121203024|121203031|121203232|121203342|121203805|121203852|121203899|121203940|121203964|121203980|121204046|121204063|121204251|121204353|121204437|121204542|121204592|121204702|121204772|121205056|121205460|121205609|121205637|121205768|121205895|121206114|121206313|121206473|121206689|121206944|121207484|121207648|121207679|121207815|121207861|121207943|121207974|121207988|121208146|121208252|121208461|121208502|121208542|121208670|121208751|121208805|121209108|121209157|121209169|121209340|121209475|121209578|121209753|121210895|121210922|121210995|121211116|121211121|121212187|121212942|121214273|121214707|121215096|121215543|121216949|121216987|121217294|121217342|121217764|121217970|121219484|121219499|121220515|121220865|121221130|121221137|121221394|121222140|121222194|121222816|121223182|121223330|121223941|121224515|121224571|121224954|121225100|121226227|121226253|121226753|121226989|121227023|121228155|121228187|121228609|121229527|121229622|121229630|121229697|121230515|121231638|121231648|121232313|121232404|121232633|121232675|121232797|121232967|121233051|121233069|121233938|121234150|121234433|121234509|121234597|121234669|121235098|121235124|121235241|121235480|121235555|121236446|121236870|121237068|121237197|121237234|121237568|121237671|121237858|121238006|121238154|121238442|121238509|121238690|121238815|121238974|121239633|121240755|121241056|121241120|121241521|121243426|121243447|121243569|121243756|121243799|121243953|121244068|121244125|121244328|121244458|121244466|121245545|121245651|121245979|121246034|121246350|121246381|121246434|121246926|121246939|121246960|121247069|121247126|121247283|121247295|121247607|121248734|121250490|121251327|121251646|121253021|121253250|121253296|121253310|121253379|121253739|121253957|121253980|121254203|121255467|121256020|121256942|121257082|121258315|121258338|121259117|121260053|121261513|121261541|121262265|121262491|121262522|121263366|121263417|121264312|121264537|121264606|121264630|121264650|121264867|121266087|121266118|121267001|121267472|121268029|121268290|121268334|121268351|121268386|121271064|121272744|121273139|121273235|121273399|121273661|121273674|121273732|121273742|121273773|121273783|121273903|121273985|121274010|121275049|121277100|121277207|121277805|121277842|121277898|121281860|121282528|121282764|121284686|121284849|121285705|121285740|121286612|121286638|121287718|121287748|121287823|121288278|121290623|121290722|121292933|121292943|121294543|121294612|121294781|121294925|121295015|121348788|121349231|121349746|121350268|121376890|121376969|121376972|121377026|121377365|121377557|121377774|121377931|121378544|121378840|121379342|121379382|121382696|121382874|121383021|121383186|121385210|121385528|121385791|121385850|121385886|121385975|121386042|121386248|121399098|121400800|121411662|121411666|121415499|121425981|121425995|121509981|121521818|121535682|104894610|104902130|104929718|113407076|113518535|121941586|121960821|121991106|121992556|121995242|121995270|121995470|121995492|121995775|121995821|121995841|121995900|121995917|121995926|121995940|121995951|121995982|121997801|121997843|121997969|113690790|113734275|122618615|106114004|106114120|106116113|106148103|114549530|106168696|106169203|106170855|106175829|106189771|106195917|106206456|106254509|106255417|106255466|114663684|106275867|123103351|123105660|123107261|106333245|106336007|106338414|106338678|106343681|106343754|123123833|106352730|106371115|106377318|106381716|106417003|106420204|106450686|106463674|106469933|123253838|106485068|106513809|106514397|106517862|106524789|106527790|106533688|106533697|123316462|123319635|123319698|106555728|123334347|123342771|106572284|123526045|123528980|115243083|115243143|115248125|115248517|115252370|115254760|115254764|115255168|115255609|115256141|115256192|115256730|115257271|115257571|115258126|115260908|115267175|115267181|115267189|115271171|115271248|115271261|115271270|115271567|115271591|115273853|115274540|115274647|115274754|106904238|106914331|107086624|107117566|107139703|107154655|107167285|115569515|115569706|115594353|115614078|115621562|107257818|115785770|115801260|115801512|115804566|115824067|115824537|115825010|115876481|107658668|107680179|107692201|107703943|107703957|116153593|107773544|116170831|107793513|107795098|107795334|107884932|108184646|108184764|108218527|108324953|108530350|108530421|108539913|108541302|108542302|108545002|108554015|108564796|108586245|108644345|108679661|108756056|108763948|108764008|108764045|108876512|108876655|117363121|117366010|109015945
genesis.n.01	genesis.n.01|origin.n.03|creation.n.03|beginning.n.01|onset.n.01|cause.n.01	117461275|117506705|109290832|109313638|109317178|109390261|109390310|109391728|109591268|101699888|101700014|101730813|101747813|101779692|101779980|101827948|101832451|101834205|101842445|101842609|110388142|110388146|110388400|110388989|110389355|110389578|110389587|110389779|110390904|110390935|110391055|110391893|110392351|110402694|110402851|110403339|110406054|110406127|110406158|110407458|110407635|110407873|110408803|110410976|110411264|110411553|110412024|102061834|102106890|102121668|102124099|102159778|102164555|102167964|102170868|102175158|102283315|102316188|119094535|111154136|111154866|111158007|111162140|111163391|111164103|111164538|111164740|111165151|111165696|111171631|111173717|111174302|111182213|111183636|111183837|111185126|111188146|111188612|111189538|111191974|111193058|111193408|111195092|111195103|111197796|111198036|111199474|111199865|111200027|111200090|111200160|111201226|111205395|111205445|111205722|103574484|103613854|103621147|103623563|103625965|103634588|103635207|103635271|103637640|103638862|103639912|103640137|103643607|103657570|103767822|103777680|103785840|103810204|103885734|103934177|103948053|103966788|104017676|104017812|112406906|104021060|104021112|104021773|104022009|104025280|104025297|104029087|104031210|104036690|104037384|104038768|104040753|104043678|112434835|112435367|112436389|112436924|104050569|104051311|104055198|104055935|104056102|104056131|104056413|104056628|112448461|104063291|104064825|104065371|104065440|104074348|104078786|104084766|104084785|104085022|104085283|104085303|104086059|104086561|104088272|104091330|104091430|104099546|104101815|104102661|104104274|104105224|104106337|104112448|104123342|104123382|104144911|104159062|104170350|104174479|104212820|121143987|121145423|121156632|121158178|104463017|104521324|104545952|104546778|104571925|104574286|104575896|104579898|104579968|104579995|104661735|104661995|121455234|121499324|104874059|105680441|122692326|122701967|122762118|122765744|122766710|122766776|106111620|106118043|106125262|106126038|106126213|106191655|106296274|123082752|123117518|106353205|106495191|106554940|123334737|106569116|123632846|115253953|123652789|124910514|117538705|117538883|117580422|117602457|117605786|117608333|109258933|109285219|117686255|109315656|109315800|109333270|109853450|118457230|101725862|101746577|101835299|110406193|110406913|110407182|110418440|110420810|102038269|102067515|102159095|102165755|102167787|102171009|102209132|102282429|102283969|119089565|102313711|102315929|119356561|111170645|111171251|103798706|103799363|103799681|103799727|103799748|120645137|120645377|120647778|120647979|120653195|120658911|120659543|112397936|104016601|112431324|112431916|112434058|112434387|112434395|112434532|112439193|112442975|112443054|112446195|112453158|112453204|112454412|104108996|104113374|104113566|104114543|104117506|104118179|104126107|104147032|120968367|104223104|104345734|121140314|121140401|104468283|121350633|121355095|121455916|121455982|121455997|121456014|121456039|121456152|121456200|121456275|121456287|121456309|104718068|121501646|121502180|121548335|113519434|121998757|105258912|122606931|122707140|122765081|106169542|106269479|106269570|106289627|106317316|123110678|106358982|123189653|123203150|106434969|123221158|106465739|106470957|123260948|106546988|123533871|123534167|106860803|116274717|116537337|116555489|116787317|116834220|116864764|116871858|108887320|117452545|117504799|117539741|117602120|117602372|117602944|117608001|117614954|109260942|109285488|101832541|120657669|120658282|104018108|121150932|121153006|121501622|121501789|121501821|113515658|122713239|106110330|106111179|106112539|106112866|106114984|106115348|106115663|106115781|106120640|106124344|106124809|106126054|106133493|106134359|106147043|106148009|106186777|106205464|106213437|106213556|106216250|106237081|106243196|106250879|106252945|106278339|106292548|106293616|106299289|106319700|106322823|106327592|106327596|106328018|106328538|106328550|106371071|106380128|106406282|106406373|106422162|106422624|106422690|106422925|106424535|106435183|106451950|106452529|106476438|106476994|106495865|106524121|106524144|106524539|106533014|106538931|106549116|106549457|106556952|116133816|109402321|109711479|105056084|106214452|106302589|123093509|106531956|108085948|116894279|112395346|106110489
generation.n.02	generation.n.02|coevals.n.01|generation.n.03	117550436|117571462|117587468|117669975|109287003|109287011|109287595|109287748|109288450|117677755|109387376|109387614|109390278|101700331|101807627|101861422|110402156|102082607|102095101|102163212|102168847|102181954|102286851|102286919|102287602|102312379|103637067|103640734|103762481|103762995|103768376|103769170|103771572|103771972|103772281|103773024|103773183|103773750|103774840|103775007|103776167|103778596|103780073|103782517|103788401|103791787|103794054|103794409|103795287|103796614|103796692|103797180|103797242|103797330|103797423|103797440|103798380|103798806|103798818|103799311|103802602|103897924|103950978|103960423|104026950|112434191|112434637|112434772|112435335|104048628|104048650|104048787|112442510|104055068|104055429|121139553|104463130|104492600|104493590|121501330|121527529|104876616|104878795|104879293|104879524|104879836|104889204|104889337|104898519|104898699|104899352|104914353|104914380|104962333|121961854|121961870|122710644|122711468|122777621|106113464|106121813|106155826|106164821|106189320|106191070|106216713|106216859|106253142|106326641|123113271|106372832|106423386|106446835|106494573|106525266|106540319|106555301|123571090|123592192|115798234|107726627|116170374|107886369|107976379|107978051|107978952|107980689|107980731|107980851|107981738|107982126|107982645|107992526|108085944|108182760|108190234|117528337|117548107|117549302|117566201|117603504|109283986|109284036|109288506|109401733|110089791|101774884|101780748|101842488|101842698|101842759|101842765|102121012|102124365|102137817|102224641|102291927|103641121|103779478|103802476|103840477|104085319|104104268|104207441|104530371|104530380|106206552|106261693|106303422|106371547|106371656|123592151|108186817|108187683|109319293|109898332|102162285|103886289|104021321|104021334|104069658|104070804|104092603|104092694|104216992|104521370
birth.n.01	birth.n.01|beginning.n.02	117509361|117509556|117509648|117509753|117509884|117510119|117510304|117510586|117514549|117517475|117517624|117517645|117521432|117522662|117522847|117522892|117523755|117523888|117523910|117524095|117524262|117525330|109229638|109243549|109279336|109281384|109287356|109288587|109301385|100936382|109330239|118005750|118005759|109879689|101609405|101699625|118724323|118724338|102161140|102162775|102163746|102165853|102166327|102167345|102292081|102311220|110852195|103588228|103810155|120659158|120965697|121183949|121187427|121202173|121206299|121208066|121226354|121226398|121234449|121238112|121247028|121259665|121260170|121291156|104517200|121425958|121479596|121480292|121543025|121550082|121964297|105259687|122777441|106110279|106166282|106170184|106217090|106221833|106226240|106260761|123041054|123041061|123041071|106264403|123043873|106266947|123060301|123067330|123085983|123090430|123103168|123103724|123106138|123169347|123171226|123171289|106447429|123232445|123233183|123233609|123234408|123255453|106490582|106500148|106518030|106543660|106550406|114994194|123587352|115234829|115254743|115254779|115254794|115259391|108319151|108541171|108541337|108602535|117322858|101875505|104120611|106556912
generation.n.07	generation.n.07|reproduction.n.05|reproduction.n.01|parturition.n.01|sexual_intercourse.n.01|childbirth.n.01	117523130|117558330|109236730|109281609|109282413|109286422|109316578|109708002|118451806|101700223|101794767|101842583|101842736|110406262|102115911|118935678|102168272|119097364|119357706|119357844|103637748|103640321|103762454|103763014|103763035|103763115|103763907|103766746|103769595|103772465|103774854|103775170|103789544|103789677|103793589|103795851|103795865|103798845|103799187|103808719|103839969|103855183|103876879|103886389|103886427|103889588|103891365|103891547|103892443|103894574|103894922|103895779|103903358|103905150|103905193|103910522|103961810|104041171|112434847|112435387|112435397|104061253|104061268|104061285|104063380|104065919|104101845|104193410|104193443|121139720|104516916|104530393|104571941|104571956|104571961|121378556|122762170|122763506|106111909|106114858|106121134|106122913|106123706|106126007|106138832|106164029|106178111|106286334|106293690|106294137|106423696|123569898|123572042|123654054|116572767|109351233|109351534|109385528|109593036|102241686|113689715|105684115|106164495|106215168|106303523|106452524|106494626|106516791|116771123|102224824|103938081|104175338|104645618|104645703|104645735|123069382|106476578|117498598|117517882|117524060|117963693|102043698|103882025|104366087
production.n.01	production.n.01	117548505|117548596|117559036|117559915|117560512|117591208|117943720|101789755|101796927|101797149|101797799|101799349|101842567|110408945|102086977|102162034|102169654|102178597|102181643|102245491|102245499|102282551|102299553|103515897|103560309|103671518|103688779|103774587|120641441|120656775|104135465|104163472|104220260|104575932|121455687|105045388|122621632|122693515|122725896|106112350|106112627|106114820|106178121|106201987|106269621|106282984|106323827|106330152|106336648|106340452|123155088|123198947|106426599|106445401|106470996|106486662|106532768|106552799|106553048|106553127|106556516|106556524|123597427|124915615
universe.n.01	universe.n.01|nature.n.03	117566547|104017452|122642787|106121662|106122790|106147371|106165340|106167812|106175005|106175214|106175224|106175741|106175768|106179447|106189980|106202567|106209299|106219069|106233625|106234059|106234210|106235417|106242438|106242509|106244430|106244707|106257688|106294086|106296119|106310331|106327031|106327632|106355674|106355884|106359381|106361054|106367552|106452662|106528107|110229358|124910457
growth.n.01	growth.n.01|development.n.02|growth.n.02|increase.n.03|evolution.n.02|germination.n.01	109288870|103772514|103773902|103776340|103776807|103782816|103783350|103784262|103791727|103792600|103792748|103792839|103792877|103793068|103799047|103808963|103809049|103809951|103810718|103810744|103842173|103872769|103894152|103894198|103896268|103905419|104170808|104171476|104193116|104204744|104684372|104704124|122606671|123321389|115662903|124910447|108189085|103674256|103783886|103800205|103816000|104170864|104171003|104193043|104205020|104360577|104365316|124910437|102220906|103674218|104215007|104298039|104704217|104710957|123338080|102214312|104685030|104170747|104170778|104716110
being.n.01	being.n.01|occurrence.n.02	117569713|117603621|109315757|109315950|109316008|109316137|101842461|118809858|102286662|119089656|102334063|111157854|103777516|103810609|120645306|104116917|104238810|104238825|104239592|104301105|104301118|122717414|122719030|106148474|123067338|106294118|123082603|106307296|106366998|106443209|123250900|106477482|106553622|123341510|108667075|108667275|110406606|103822542
virgin_birth.n.02	virgin_birth.n.02	121177912|121191992|121200673|121206781|121206786|121217403|121218762|121224834|121230608|121231367|121234538|121234904|121235496|121236573|121237783|121237889|121237934|121237966|121245235|121245290|121248596|121248623|121251140|121253705|121263777|121267015|121288129|121991427|115270907
