face.n.01	face.n.01|face.n.07|countenance.n.03	117451118|117451154|109073307|117462902|109075270|109075290|109076315|117467469|117467471|109079023|117491610|117494086|109114137|109126026|109126294|117538903|117538930|117543396|117546224|117550519|117551620|117553296|109168915|109170124|117558940|117559668|117559673|117560038|117566010|117566225|117566227|117570180|109188888|109195064|100808105|117586032|117586404|117595498|117595500|117595847|117603195|100838820|117620305|117620307|117622980|109245714|109250542|109260557|109266341|100880395|109278059|109278061|100898777|109288567|109288581|117685314|109307985|109308044|109330339|109330950|109330991|109331019|109334680|117734201|100958606|109357879|109362590|100975020|109368309|117757952|109381833|109403559|101016821|117804969|117804993|101142534|101151767|101155674|101175802|117960162|117960903|117960973|117961957|117962095|117966300|117977636|117979761|101219929|117999425|101239870|101242312|109695286|109715378|118106173|118106867|109723136|118111995|109723506|109773095|101388011|101388083|109782514|118174949|109790277|118180220|118180242|101425237|101426484|109859195|109894709|101509486|101522537|109913513|109922187|109925418|118316071|109929308|101545717|109942160|109949829|118339088|101567872|109986699|109986722|109989581|109989635|101601299|109997071|118395659|101628185|101632620|110030359|110030860|110045023|118434769|118438123|118438173|118438231|118439391|101669464|110070568|110081137|110084118|110084944|110092938|110092964|110096364|110101009|110101108|110101793|110108542|110109129|110110826|110122523|110125699|110127886|110130128|101743506|101743568|110132982|110132994|110133015|110133206|110139557|110166152|110168359|110168362|110169353|110179201|110179438|110182587|110199663|110202319|110202325|110202403|110202492|110202646|110204863|110205465|110214274|110216083|110216336|110217303|110225834|110228647|110231451|110239023|110239993|110240297|110241025|110241028|110241420|110242161|101854039|101854425|110246765|110247681|118636597|101862759|118647844|101876664|118654697|101897601|110288213|118681448|118688071|118691519|101944074|101965814|101965864|101965870|101965993|101966810|101967429|118750165|101973843|101974975|118773065|118794170|118802958|102025975|102041207|118828951|118867878|118874001|118895741|118899662|102147628|118928874|118932652|118935438|118937352|102164759|102165114|118945734|118947140|102176045|118988235|118989196|118989235|118989722|118991327|118993065|118993105|119005403|119010386|119010494|119010767|119016117|119025602|119025604|119025675|119026723|119027639|119033245|119033327|119050950|119054526|119054528|119054875|119109382|119115601|119128999|119133335|102360929|119139588|119141311|119143190|119155653|119163512|102389775|119182456|119187609|119203688|119204486|102427659|119208392|119211085|102439097|102495103|102511231|102518419|102518654|102519060|102519221|119333721|119338714|119348020|119354659|119363245|119363962|119364274|119365814|119369930|102596895|119379685|119386764|119393854|111170791|111186206|103000516|103014530|103014723|103014863|103096062|103232194|103311783|103318552|103345929|103383203|103409316|103420870|103422055|103423168|103430412|103431161|103443769|103455296|103485957|103485962|103490477|103638263|103638267|103767719|103767739|103767800|103771098|103777237|103782132|103803335|103803343|103837849|103837851|103841891|103842988|103843531|103849135|120645182|120645917|120664932|120669212|120680103|120680125|120682837|120685282|104049900|120830619|120874905|120877897|120881589|104143139|104144542|104154130|120943983|104171214|104181882|120969148|120969249|120969273|120970581|120972026|120978795|120979305|120979572|120990101|121034688|121035574|121035763|121068126|121070811|121074448|121074479|121075102|121087644|121091484|121136068|121145573|121145592|121146582|121178879|121212444|104512832|121332012|121332057|121392099|121447345|121447369|121447410|121459037|121464679|121491842|121498289|121498301|121499801|121510219|121518236|121520706|121523522|121523552|121523568|121527827|121527829|121543055|121543685|121552931|104874142|104874799|104875100|104878691|104882118|104882404|104882760|104883818|104896468|104896766|104896773|104897837|104898024|104898649|104900563|104903610|104904493|104904549|104905129|104905256|104905949|104906012|104908987|104909016|104910021|113299771|113299825|104911868|113300563|104917825|104926516|104933632|104933711|104934237|104934297|104934448|104934618|104934910|104935073|104935099|104935165|104935204|104935215|113324003|104944829|104952179|104953667|104953846|104953913|104953960|104958992|113358425|104970760|104971570|113360890|104972493|104973541|104973947|104974494|104976592|104978082|104978860|104979858|104986040|104987246|104989780|104990786|104990995|104991909|104993050|104993421|104993423|104993492|104994687|104995131|104996184|104996265|104996312|104997797|105002974|105005183|105006062|105007181|105008734|105011313|105012483|105012528|105012579|105013306|105014656|105014955|105014957|113416827|105062715|113455961|105069611|113463569|113467297|113474729|113481000|113485308|113496742|113508875|105154254|113555442|105175896|105183830|121961058|121961783|121961828|121973545|121978988|113616035|113618471|113619456|113620858|113622889|113622925|113623615|113629552|113632417|113655606|113655715|113678913|113685048|105325492|113733357|105361640|105364463|105366293|105378338|105408742|105412899|105426647|105430411|105682538|105688243|105742895|105822681|122652085|122661738|122667998|122760530|122785811|122787409|122787567|122790392|122791986|122792440|106121196|106121690|106127042|106127238|106127647|106127672|106138258|106141425|106153754|106158462|106161918|106176139|106181044|106186790|106191831|106192258|106192845|106193794|106193835|106194106|106194172|106194388|106197948|106202119|106202134|106205212|106213028|106223394|106224534|106226854|106231725|106245458|123040203|123053067|123054687|106280793|106287412|106299621|106299623|106309758|123087458|106313105|106313151|106313266|106316540|123094403|106323072|106325802|106326413|106328946|106333419|106334687|106335523|106343491|106355196|123141749|123164925|123165074|123253850|123259991|123260454|123262918|123262979|106503649|106546067|114982340|114982851|114984716|114985546|114985777|114985911|114989224|123575408|106822799|106840052|123652113|115269963|106895726|106905434|123909807|123916782|123930556|115544201|123935238|107160064|123941474|123951078|123951706|115580454|115582587|115586245|115590879|115591109|123980835|115601418|115603442|115603849|115623138|107296591|115687198|115687647|115690328|115691495|115692078|115708225|115709801|115712595|115728500|107358163|115747738|115752142|115753909|115788036|115789706|115790625|107457748|115857727|107478574|115870251|115875996|115892398|115893350|115902337|115903429|115940607|115953422|115955014|107585615|116000553|116013624|116103956|116114853|124529021|116158667|124566500|124570764|124571173|124612597|124623016|107851196|107852423|124629984|107853326|107853433|124641434|107868096|107869819|107869826|107870640|107871003|107871005|107875347|107877365|107880832|124660802|107884869|107889306|107889533|107889588|124668290|107895497|124674176|124674440|124674603|107897485|107899781|124677810|107902735|107905109|107906167|107906759|107908388|107911649|107912301|107912315|124691959|107916192|107920195|107920836|107920907|107920920|107921039|107921246|124701905|107924963|107925250|107925284|107925784|107930443|116319193|116319260|107931206|107931411|107932252|107932447|107932480|107932505|107932589|116324926|124718734|107942846|107945343|107949616|107950595|107950685|107951188|107951572|107958103|107961514|107962881|107965317|107965817|107966329|107968541|107970129|107975681|107984240|107986465|107989213|107989393|107989531|107994396|107996283|107997397|107998713|107998797|107999157|108000754|108005758|108005856|108006184|108009653|108011718|108012857|108014009|108014581|108014980|108015729|108017484|108022414|108026989|108031966|108032023|108032166|108036420|108036913|108037284|108037946|108038330|108040435|108041611|108042061|108042322|108043765|108043845|108044858|108046481|108046656|108047021|108047034|108050618|108050868|108062735|108063789|108064372|108064651|108067933|108068526|108073024|108085553|108097987|108101311|108101582|108101762|108102642|108104522|108105669|108105683|108106303|108107518|108111036|108111160|108112988|108116836|108117534|108117711|108122742|108122965|108123923|108124232|108127238|108128224|108128421|108128588|124910424|124910698|124911033|108136433|108138845|108148444|108157580|108157581|108166840|108167328|108168190|108170126|108170175|108171899|108172289|108173348|108175150|108176782|108176943|108178947|108179081|108181328|108183910|108191843|108196060|108197390|108197831|108201321|108204521|108204523|108209470|108211795|108219765|108220399|108226075|108227243|108229718|108230094|108231783|108233276|108234774|108238702|108243774|108244600|108246465|108247569|108248853|108252337|108255884|108262384|108269218|108270464|108270899|108272178|108272742|108274357|108275003|108276924|108277667|108278258|108281314|108282922|108282983|108285090|108285787|108286281|108287218|108287998|108289371|108294824|108297150|108299617|108302245|108303629|108304985|108307029|108307368|108307432|108308212|108310116|108312878|108312906|108313414|108313516|108314021|108314514|108316033|108317259|108317308|108317329|108318188|108318193|108318220|108318654|108318783|108318841|108318959|108319764|108320438|108320532|108321078|108321389|108321834|108321839|108321842|108321848|108321851|108322042|108322047|108322804|108322963|108323777|108324053|108324099|108324167|108324209|108324235|108324858|108324883|108329374|108329376|108329676|108329736|108329791|108330161|108333177|108335421|108335638|108337543|108339799|108341880|108343128|108343160|108343268|108345094|108345098|108345953|108346769|108347140|108353075|108355343|108355889|108359647|108359802|108361557|108361874|108361993|108362040|108362343|108362884|108362996|108363178|108363818|108363852|108363874|108363953|108366300|108366749|108367904|108373474|108373504|108373786|108373906|108373957|108374263|108374772|108374890|108375070|108375731|108375769|108375792|116784816|116801028|116808865|116808926|116818993|116822090|116822374|116842146|108473025|100097221|116875486|100100442|116879040|116879053|100104486|116889426|108509709|108509775|108509828|108513028|116909952|116914840|116921735|108552909|116964961|116982084|108595125|100211574|108604579|100216754|108625684|108625980|100241527|108634809|108635485|108641398|108656610|108660764|108668288|108672999|108678210|108702272|117103580|108735367|108749574|117148605|117148622|117149044|108765790|108766865|117163687|108780013|100422668|108815154|108820448|108824629|117228268|108848413|108852171|108863646|108872114|100485448|108874301|108876055|108876606|108876765|100488895|100491023|100499008|100510914|108902599|108902668|100514605|100518098|108910235|108910310|108915522|100529221|117312757|108926650|108927087|117319405|117319407|117320435|100555208|117336375|100560462|108949082|108949931|100564951|117342380|117343623|108956432|108957601|100570982|108959729|108960162|117354373|100579574|117366828|117372211|117372689|117373066|117375925|108990165|108992507|108992703|108992814|108993302|108998072|109002439|100616157|109005950|100617599|100621324|100625119|100637010|109025804|109026777|109026978|109027014|109027936|109028076|109037936|109047442|109288586|117958787|101215602|118180981|109853158|101627780|101640491|110085034|110085121|101854053|110242680|101854394|119008765|119118304|119138289|103771090|103849741|103849814|103850460|104145547|121074438|121074459|121074463|121074467|121075283|121079467|104651159|106125568|106193873|106251057|106324149|123654704|123654773|107371618|107791587|107819391|107984237|108198779|108224713|108260536|108317332|108317335|108317342|108317349|108321856|108321861|108322020|108345107|116789974|116798451|116812807|116822249|116837661|116848759|116848847|116878877|116962459|109123010|119337358|119343711|103842618
countenance.n.01	countenance.n.01|face.n.03|expression.n.01|appearance.n.01|complexion.n.04|figure.n.08	109058562|109063485|109067889|109084908|109090320|109114023|109114068|109184374|109191002|117580680|117586536|109257488|109301505|117718145|109330710|109344268|109398855|101157477|117998557|109689423|101308497|101520946|118315353|101549477|101567198|118426439|118498295|110132482|110165466|101788586|110289080|118784285|118802632|118853800|118855424|118857741|118859716|118926490|118932108|119027133|119035185|119057305|102389065|102518441|102518505|102518546|102518572|119333062|119333748|119342396|119344900|119348774|119383918|103017176|103019161|103431490|120680004|120680022|112415620|120984003|120991979|121034699|121073619|121074905|121357190|121384125|121495209|121495253|121500477|121518242|104875378|104885276|104894300|104896229|104901804|113318669|113359112|113386406|105009850|113435426|113557758|105763341|122612653|122678170|122790553|114557591|106470391|114995264|106916245|123896693|115545421|123946053|107176735|107197005|115742810|124321782|115975301|115976659|115978296|115978341|115983971|124562407|124566816|124578632|116204644|124594186|116208842|116211745|107833740|124641346|107886950|116320832|116320873|124717037|116332288|108033119|108038032|108041119|108041344|108041605|108043485|108044839|108085050|108097181|108098071|108104004|108107436|108110841|108151626|108157557|108161619|108162129|108162134|108163267|108169110|108170825|108178590|108189219|108195502|108195918|108195934|108198306|108198339|108200951|108201021|108201125|108204952|108205458|108246237|108250999|108258028|108317909|108334917|108361702|108365183|108367414|108373621|108515513|116921753|108539646|108581929|108585400|108585917|108610538|108626455|108646179|108646994|108670867|108677822|100331472|108730296|117121777|108738139|108743282|108745552|108754867|117162963|108776238|108793598|108817837|117209911|108868368|108881427|108917682|108925626|108926303|108933150|108955677|109003727|109042558|109047383|117482783|117538948|117561549|117595746|117620578|117620691|109239515|109281349|109367342|109656629|109728097|109923927|109927684|110100421|101742009|110136387|110199149|110204436|118941832|119015127|119379855|103012463|103629132|103777252|120665247|120690100|121070959|121074451|121074455|121074475|121074482|121074495|121075088|121075144|121075167|121075199|121088104|121089150|121089629|121090155|121090670|121091152|121091645|121092159|121092613|121093064|121484542|121484597|104773905|104896243|104903458|104920645|104921814|104998385|105050284|122730811|123051889|123052813|123159050|123243346|123908407|115620555|107855887|124658228|116274965|107894796|107924283|107927470|107949466|108035845|108038953|108104878|108107667|108121899|108121959|108122142|108128449|108175389|108235136|108235168|108239142|108240594|108240599|108279514|108317884|117354701|100579331|100581896|117372218|100647164|109123616|101191666|117998062|101568375|101665196|101719831|118639709|118877128|118999327|119068237|103015761|103208092|121499800|104894363|104934228|113353991|113356756|113485761|123912525|108106714|108116647|108148419|116771221|116889522|116926967|108625526|108811736|108855523|100488540|100509822|100615084|109023753|109047327|110203090|102654293|120829324|123058956|107903232|108083304|119134530
person.n.01	person.n.01	117506011|117546278|117593040|117599048|117599062|117668975|109358193|117951892|109760468|118291643|118295474|118296129|118296255|118296594|118296611|118296676|118301131|118301172|118301802|118301805|118301819|118301851|118301948|118302421|118304756|118306515|118306521|118306539|118306619|118307315|118307352|118307599|118307692|118308139|118308539|118308739|118311362|110104833|110119941|110142035|110201557|110236842|118724595|118987852|118987865|118987873|118987901|118987952|118988161|118990645|118990952|118992384|119006815|119015320|119053609|119294708|120670246|120670427|120679465|120687780|120724290|120724436|120875847|121146696|121146710|121190578|121190695|121235957|121238827|121240058|121240501|121240586|121252358|121264719|121272273|121409208|121414822|121433426|121470003|113324477|104953270|104953277|104989426|104989442|104997572|105002014|121952565|121994450|105362655|122626806|122640330|122640687|106200890|106200977|106216309|106430671|106459577|106459585|106488911|106498599|106506763|123559439|106822270|115255375|115268239|115269644|115269664|107020943|107140258|107344112|107465896|107496801|107533074|124475311|124475496|124476239|124478665|124479871|124480511|124481069|124481445|124481462|124481520|124482341|124483421|124483445|107708236|116187094|116272987|108005543|108038845|108042696|108122433|108152859|108154626|108155864|108158038|108171332|108174629|108178180|108178957|108184420|108192113|108192175|108194259|108205007|108205011|108243475|108249392|108359758
side.n.04	side.n.04|front.n.01|surface.n.02|side.n.01|surface.n.01|forefront.n.01|front.n.04	117466758|117494555|117549182|117564076|117633185|109387915|110177099|118988892|120667707|121074813|121475227|121475269|104874122|104875557|104876581|104877100|104877516|104877775|104877911|104879476|104879516|104994611|104995026|105000203|113570767|121989797|121989839|121992396|106120817|106126793|106154338|106191824|106192251|106202103|106213115|106258228|106258302|106258340|106323962|106324102|115581810|115585158|115781283|124668310|107895869|107902066|107945986|124724909|107963020|107998329|108036101|108038516|108099348|108163475|108175707|108181632|108197091|108224474|108226163|108226223|108268927|108281849|108282797|108286431|108297191|108325007|108335730|108339103|108341113|108342429|108342887|108357592|108361192|108373118|108511483|116920240|117379234|101566166|119068698|119069390|104896985|104928333|104930219|104975936|105123168|105266238|105266634|105313804|105326203|106911474|106914793|106914815|115393638|107160740|107175447|107861182|107911745|107936208|107936230|107936596|107939990|107996164|107996355|108291239|108344724|108344921|108349027|107909591|108221386|108257347|107859208|108015756|108064686
presence.n.02	presence.n.02	117546167|117586183|110168030|110202034|110204768|118990900|120682874|121031355|121073443|121073771|121146289|121404125|104875563|104875625|104882262|104891265|104903222|104906074|104911472|104995446|121945355|121945366|106142274|107886835|107887530|107900297|107901190|107903016|107903166|107906901|107915149|107915368|107921252|107931198|107936904|107942921|107943096|107959362|107966088|107968877|107968931|107974357|107974769|107975186|108017955|108035783|108035987|108041368|108041754|108042132|108042720|108042744|108042990|108099577|108100818|108102832|108113024|108114297|108131712|108138344|108149016|108156555|108160937|108162150|108166874|108193724|108218506|108221619|108233063|108233475|108253214|108301746|108309536|108371175|117157177|117362096
character.n.03	character.n.03|personality.n.01	117669180|117669688|117729648|117746415|117764720|121375574|121452687|121523170|113520395|106164407|106211452|123097080|106430692|124480954|124605958|118307411|121402944
fictional_character.n.01	fictional_character.n.01	109272541|117689385|117696775|117944828|117952072|117952191|118291551|109957062|118384888|119294312|119294441|121249182|121255790|107496020
brow.n.01	brow.n.01|feature.n.02|cheek.n.01|chin.n.01	109058022|109123242|118935382|102269006|103904014|113631581|113714961|122786429|106160963|123529541|100488156|100543857|101136050|104370974|108630723|108814716|100498179|117314329|108926357|117335662|108960615|109027994|109688019|118988212|120976788|113404569|113546845|124737027|100211418|116914317
head.n.01	head.n.01	109086017|100925968|109809968|101628258|104146389|104154758|120993756|116770121|116856388|116920328|100255825|100638728
mask.n.01	mask.n.01	109767909|109974907|113374800|113517713|113517755|113520437|113566801|105273435|115723106|115723114
