season.n.02	season.n.02|season.n.01|summer.n.01|winter.n.01|time_period.n.01|season.n.03|duration.n.01	117560473|109185555|109196799|109199918|117592815|117593294|109234882|100869640|100873264|100885148|109275536|109285568|109289092|109289806|100902834|100914342|100914372|100914397|100917531|100925333|117727226|100958012|117735973|109350369|117743009|100990365|109380395|101033456|101057086|109504174|101150708|101156177|117961812|117963998|101187438|101187590|117969415|109593543|117988500|118004114|118004670|109647899|109681298|101293088|109697145|109700140|109704668|109712995|109716365|109720017|109720061|109726543|109736431|109749840|101361240|101386680|101395589|101395638|101401239|101406683|109802213|109810786|109817257|109822532|101441018|109844503|109898423|109905164|118310099|118310112|118310120|109928274|118323091|118325591|118337533|118337995|118338025|118339277|118341251|109982755|109983995|109984083|118373827|109985292|109985324|118388571|101614663|118402564|101635861|101637884|101638667|101639655|101640277|110029140|101649337|101669570|110059152|110066482|110067481|110067646|110077039|110077227|110082079|110083633|110084797|110089161|110089665|118493482|101717305|101729771|101730431|101730444|110150193|110203775|110216074|101832080|101833776|110222440|101853287|101853359|101853415|101904706|101962731|101972014|118764117|118771975|118773675|118776886|110395229|118785362|118787236|118789511|110407989|110408748|110410327|118805666|118813578|118835984|118836522|118867905|118868106|118880921|118881404|118884816|102109213|118889699|118893810|118894210|102117585|102121948|102134749|118932199|118944370|102176141|102181876|102184176|118982193|118997721|102237381|102237392|102237655|102245123|102249875|102260213|119037725|119040177|102266217|102273284|102280047|102281410|102285118|102287604|102287790|119078613|102303225|102310466|102310953|102314613|119097306|102329922|102501431|102509461|102509814|102509902|102510219|102510516|102513868|102514094|102514407|102514528|102515013|102515119|102515429|102515848|102517209|102517317|102517588|102517799|102517838|119295128|102517934|102524082|102524106|119338811|119340516|119342504|119343002|119344853|119345543|119346088|119346098|119347913|119358997|119359246|119360642|119365200|119374492|119378396|119379562|119383218|119386141|102609266|102609281|119388884|102633335|102645142|102645571|102645825|102646660|102647093|102647101|102647147|102647157|102647330|102647667|102647727|111180495|111200187|102906475|102970926|103033630|103033711|103043282|103050707|103058598|103210169|103300850|103376244|103459328|103764190|103784049|103787849|103791487|103793309|103799253|103814644|103816330|103816348|103837620|103839032|103862537|103865268|103878914|103878957|103879000|103879631|103879673|103880348|103880525|103881694|103889599|103889623|103889998|103892608|103895490|103895661|103896511|103897941|103898620|103899127|103902501|103904352|103904714|103911032|103916230|103916616|103917726|103917825|103919258|103919278|103922025|103923421|103927970|103938632|103939619|103939983|103940694|103941306|103941431|103962954|104014308|112424158|112433873|112434010|112434097|112434142|112438590|112438657|112438944|112438970|112440262|112440493|112440530|112440764|112440802|112440855|112441120|112441129|112441187|112441230|112441390|112441443|112441554|112441796|112441960|112442082|112443300|112443415|112443492|112443601|112443617|112443765|112444817|112445674|112445734|112446347|112446379|112446612|112446728|112453949|112453957|104106207|104112816|104113266|104113839|104114190|104116684|104122639|104123697|104123899|104126355|104127081|104148880|104151444|104153696|104159574|104161033|120968354|120970242|104195193|120988261|104365882|104461747|121256489|104483892|121344247|104652094|104658079|104658228|104663420|104664540|104665701|104671223|104675829|104677805|121457130|104684672|104687602|104688335|104689132|104699962|104700394|104700448|104700469|104700725|104700869|104701064|104701081|104701161|104701208|104701337|104701387|104702444|104702456|104706526|104706546|104706615|104706692|104706790|104706845|104708153|104709254|104709328|104709450|104709610|104710188|104710871|104714212|104716807|104717031|104720441|104726770|104778229|104778275|104784313|104853060|104853062|104919613|113346313|113374254|104998079|105014381|105014392|105014412|113527779|105146581|105186451|105194737|113618126|113656373|105314656|113703380|113703454|113719061|113719075|113719854|113722450|113731986|113732320|113758279|113761105|105394012|113926461|105745350|105745382|105747696|105749652|105751146|105751152|105752037|105752980|105753561|122609019|122618011|122623204|122642979|122645535|122709447|122772577|122788804|106113457|106113783|106114027|106114109|106116839|106118750|106122996|106123500|106124387|106195082|106204774|106237210|106275686|106277810|106292868|106293751|106302905|106329768|106341048|106342567|106359119|106362475|106371127|106375161|106407256|106426917|106426968|106428369|106446824|106447935|106451035|106454252|106456383|106458393|106465509|106470905|106476869|106479184|106480471|106502035|106509072|106509717|106510025|106510093|106515706|106526480|106531815|106531950|106538185|123329058|106552881|106556377|106557948|123558908|106842750|115233788|115235977|115236033|115239184|115239320|115239646|115239761|115239984|115244415|115249272|115251210|115251403|115251573|115251719|106864840|123653551|106922682|115329384|115413148|107069328|107069850|107073771|107078345|107081211|123951373|115580501|123973275|115591016|107212099|123992044|107223765|115709980|115711172|115714989|115730922|115736770|115737058|115757344|115766420|115798904|115804027|115856743|115923568|107549537|115961128|115974553|116103984|107733869|124534036|124536024|124543427|124576804|124579690|124579774|124594961|124598883|107828435|124617690|124617790|124619071|124619446|116234627|107849082|116247780|124651017|116265836|124680410|124691671|124708972|124729238|124729984|107957666|107957702|124741074|124755360|124759005|124759589|124760587|124764339|108175160|116577072|108207222|108218709|108241083|108270181|108363541|108376797|116773366|116773703|116783238|116783521|116785204|116786240|100013292|100013305|116791936|116797821|116802837|116814008|116819010|116823809|116825630|116829368|116829736|116830513|116832023|116837365|116854316|116854363|116857818|116862595|116863442|116863717|116865047|100088936|116871270|116880019|116890663|116909506|100177008|100180381|100193463|108597643|108597786|108614474|108619274|100236390|100239190|108630339|100242119|100242126|100243166|117025258|100254332|100254670|100254756|100255743|117038682|108722940|108734314|100376101|117164135|108783143|108787288|108797378|108800219|108800350|108810328|100424473|117205366|100430902|108843702|100485812|108892173|108905213|108908353|108913408|108917251|108927567|108940788|108970375|108997011|108998864|109021135|109035640|100969459|117755026|109726158|109883270|101614706|101635357|110059178|118631545|118795467|118810332|119295073|119383968|103027923|103317127|103791442|103855485|103855646|103855663|103878003|103878182|103878281|103880296|103900653|103916750|104520450|104689360|104716984|104780107|105154440|113719156|113760620|122733622|122733633|122733638|106118467|106167189|115374421|107455393|115871876|107848747|116238150|116808401|116868523|116872963|116876557|116879774|100255666|100260988|108747740|108850628|108852475|117327551|117963048|109917311|119388654|103936449|112420588|112420688|113331485|113607277|115586636|123982228|123991511|115607389|115692732|115780356|115794957|115869584|124604683|124619401|116262035|116779026|116798585|116802758|116823987|116829680|116894353|108659404|108667917|109033514|100917200|101254343|109750777|109865553|118905257|102424104|119336343|119366314|112416253|105163124|115725031|115725924|115730811|115757892|115794778|115841726|124675152|124759729|124759774|116906336|100255024|117051544|117143763|101187482|101421269|103898039|103904853|103934621|112452554|104123661|104780695|104781179|104781427|118786406|103144249|104968290|105034498|107455784|116116038
hour.n.01	hour.n.01	109062199|109127035|117530989|117595442|117616369|117616429|117676968|117678980|117692945|109363377|101057356|117994969|118003214|109653622|109680430|101395502|109830550|118399045|118426521|110050950|110094210|110101339|110103103|110106855|110106956|110108589|110122034|110129993|110133600|110136054|110136183|110144146|110155886|110167315|110178568|110200411|110206965|110242057|110244990|110245432|110245697|118793998|110414292|110414348|118932349|102245793|119067595|119074106|119074260|119074440|119107873|119113642|119146770|119148529|119170437|119178045|119178340|119185892|119191762|119199562|110853867|110854065|119369361|119379788|103343311|120692678|112395762|112414001|112423621|112423799|120827647|120844898|120844906|120942816|120943371|120943393|121075388|121077481|121183973|121184247|121184294|121184564|121184585|121185045|121185226|121185282|121185339|121185360|121185388|121185467|121185474|121186462|121186484|121186626|121187037|121187088|121187094|121187100|121187106|121194336|121194361|121194378|121194394|121196996|121197129|121221974|121221983|121227895|121232475|121232540|121232553|121232565|121232590|121232603|121232615|121232627|121232669|121232682|121232897|121232910|121232917|121232929|121233151|121244771|121244903|121244908|121244916|121244921|121244979|121244998|121245034|121259501|121259813|121260654|121260663|121260672|121260681|121260690|121260699|121260708|121260733|121260741|121260749|121260756|121260766|121260775|121260784|121260801|121260811|121260819|121260825|121260835|121260844|121260852|121260868|121260877|121260886|121260895|121260904|121260922|121260943|121260952|121260961|121260967|121260973|121260982|121261000|121261009|121261018|121261027|121261035|121261044|121261053|121261071|121261079|121261087|121261095|121261103|121261111|121261120|121261129|121262685|121265715|121266478|121266489|121266622|121266631|121266642|121266657|121266667|121266674|121266682|121266688|121266726|121266879|121267129|121275074|121275082|121275126|121275160|121275166|121275726|121275802|121275806|121275873|121275880|121275910|121275919|121275929|121275938|121275963|121275970|121275995|121276001|121276010|121276021|121276027|121276036|121276048|121276063|121276109|121276121|121276144|121276158|121276165|121276339|121277165|121277190|121278334|121280221|121280401|121280576|121280907|121281153|121282358|121282536|121282586|121282591|121282834|121282879|121282884|121283121|121287088|121287132|121288475|121288560|121288561|121290618|121291162|121291577|121294293|121294354|121294451|121294488|121294490|121294578|121294596|121294603|121294637|121295010|121327448|121330925|113344296|113527926|121996327|121996346|121996386|121996461|105353716|122648251|106324312|106368861|106368876|106408872|106444804|106486094|106489500|106568548|106576316|114982904|114990799|123576628|115240726|115248525|115248541|115252761|115254462|115257971|115259737|115259798|115259830|115259881|115259914|115259983|115260042|115260228|115260337|115260379|115260474|115260496|115260723|115260756|106914055|115340529|115340620|115340636|115366469|115366498|115381197|115405449|115417031|115473038|115489847|107113919|123895626|123915232|123915235|123919475|107343551|115855594|124325524|107551278|107568230|107573629|107573704|107573875|107574053|107574120|107574203|107574272|107574337|107574523|107599461|107650749|116115901|116132366|116143314|116178512|107794035|107803174|116225332|116256108|116280015|116283964|116295886|124764815|108096734|108195045|108357365|108357486|108357712|108358816|108364886|108369624|108370101|108370459|116808174|108561107|117000935|117018338|117057145|108669474|108671101|117059974|108671727|108671951|117117708|117117722|117117867|117125940|117142097|108759180|108872490|108937097|117340759
hour.n.02	hour.n.02|clock_time.n.01|noon.n.01|midnight.n.01	117514468|117522768|117533410|117536107|109187250|117602747|117629266|117668814|100899407|117692953|117692957|109307945|117722933|109359457|100993341|101040166|109509768|101227619|109689040|101349600|109767460|118175937|109799364|101422089|101552066|101553767|101558124|101590677|101590700|110002637|101664694|118480584|110101553|110102954|110102993|110103069|110106695|110107178|110110035|110110043|110110050|110120825|110121212|110121986|110123060|110123171|110123180|110123186|110123962|110125827|110135508|110136034|110137115|110141977|110143299|110145127|110145137|110145919|110148845|110149449|110149462|110149476|110149999|110150056|110157374|110157383|110157868|110160578|110162350|110162679|110165189|110165884|110171335|110171456|110171848|110176105|110176369|110181551|110194775|110234125|110234145|110238327|110241181|110243458|110243731|118690836|118747308|118932428|118933288|118940404|118944115|119066683|119071888|119073142|119073298|119079269|119081231|102402637|102505260|102520137|102648736|102979844|102981793|103321616|103321795|103358638|103379954|103486375|103881725|120686539|112414057|112414463|112414721|112414784|112414915|112414947|112415596|112422363|112422809|112422822|112422841|112422887|112423432|112423846|120827582|104130928|120942782|120943358|120943447|120944372|120945168|120945499|121032696|121034760|121036813|121069459|121076921|121184088|121184114|121184180|121184340|121184385|121184401|121184515|121184727|121184996|121185001|121185006|121185055|121185062|121185300|121186468|121186778|121194707|121194989|121197068|121197192|121197226|121197276|121197351|121244207|121244215|121247560|121255859|121262588|121275056|121275170|121275181|121275195|121275218|121275270|121275304|121275824|121275834|121275886|121275894|121275900|121275906|121275915|121275925|121275934|121275943|121275981|121275985|121276098|121276140|121276952|121277904|121278507|121278634|121278762|121278893|121278961|121279060|121279172|121279420|121279622|121279810|121279966|121280240|121280761|121281115|121281701|121281853|121282322|121282331|121282344|121282509|121282524|121282531|121282792|121282812|121282823|121282830|121282991|121283016|121283149|121284833|121287368|121287708|121288017|121291174|121291187|121291470|121291507|121292048|121294129|121294218|121294628|121294789|121294889|121326760|121335610|121344701|121390556|104916529|104917122|113377882|105040032|105189660|113592875|121995171|121996356|121996361|121996445|121996473|121997848|105292973|105293013|105295584|105305778|105323010|105751825|105776676|122702709|106267076|123325708|114982721|114982768|114993890|114995966|123545453|106812169|106823431|106843937|115248478|115248508|115254351|115254376|115259616|115260644|115260679|115260693|115260733|106898134|106914037|115340596|115340605|115372088|115399776|107100089|107106539|123898864|123902899|115544980|107273169|107303925|115723953|115751770|115879975|115896711|115904313|115914563|115943749|107573999|107596940|115987429|107599234|116023110|116065586|116113141|116143202|116144034|116145738|116145781|116146175|116212640|107835034|116225317|116242009|116242108|116285475|116288412|116288696|116289036|116290711|116290824|116291178|116291525|116294286|116294376|116295967|116300014|108026744|108096707|108364546|108366982|108367027|108367300|108374429|108386439|108386941|100113635|116891904|116901785|108541306|108541407|108541444|108562748|116979537|108592166|117012272|117014721|117017522|117018329|100249813|117076825|117076837|117076856|117076877|117076965|108693139|117083382|117113752|117118379|108770738|108778343|108818041|117210348|108894306|108929668|100635019|109024017|109024783|109079001|101285077|101353965|101401206|118651250|103893757|121281108|121344588|116324791|110251443|107930251|103312918
time.n.04	time.n.04|time.n.02|time.n.03|hour.n.03|high_time.n.01|moment.n.01|day.n.02|while.n.01|day.n.06	109112950|117535893|117535908|100821942|100882104|117755202|101006340|109403265|101015054|109506450|109507843|101131629|101165291|101186852|101213343|101233823|109717583|109719732|101335584|101351269|101383135|101404351|101418645|101418657|101422125|101434304|101439675|101439782|101450206|101459091|109847960|101461681|101469683|109860975|109866740|101479740|101484858|101486502|109882220|101494314|101501709|101532437|109948388|101580228|118396924|101657208|101678634|101688987|110099274|101718868|110137556|110191598|101845563|118631653|101936715|101979309|102022297|118805960|118810409|118839844|118842951|102099520|118926066|119073271|102395152|102399183|102649876|102972415|102981829|102990457|103764561|103795600|103806623|103896226|103905238|103918691|112397088|121292732|104516151|104672846|121462393|121466830|104892513|113300679|113370524|105052516|113498229|105119551|105166846|105367842|122669041|106474660|106807684|106871406|115760216|115880141|115996050|116107006|124630418|107856921|124644943|124648571|107885011|107952400|107963232|108172373|108172389|108175212|108351751|108361571|108361617|108362516|108364291|108364418|116892793|100180662|100181050|100194425|100198909|100206042|100218056|100225937|100248665|100256406|108729004|100455299|100502670|100575088|100575158|117382050|100616669|109059790|117531027|109188071|109193392|117624995|117964006|101220946|101231939|109996309|118689333|119024145|119054654|119072433|119073230|119074212|102314207|103931662|112452921|120943940|121288276|121288283|104516748|104657937|113399052|123322423|115260626|107104500|123889977|123893022|123897883|123903251|123903461|115708255|115710776|115924280|116149926|108087040|108180544|108789779|108805099|117320242|109165656|117582925|109242760|100867851|109535893|101152896|109851817|101704130|101868520|102104228|118886485|119065564|119211496|103887460|103890153|103890942|103899601|103899652|103899761|103916630|112387297|113703364|106119480|115628775|115677673|115828328|115870525|115878028|116241806|116244732|116263316|116810323|108567434|100343631|100447622|108887729|117354569|108992400|109009873|117995461|117998309|110095736|110100146|110108686|110108872|110144047|110147268|110148882|110152401|110153243|110157266|110159897|110159929|110160279|110160386|110180631|110238525|121508288|113467042|121976683|123904283|123918096|123996707|108094699|108364531|117547119|109593834|101461986|101508178|118401521|118810658|102104030|118930162|120991216|109216786|117983233|117983431|118369392|121075240|105822869|108606810|108745245|109764609|108197777|121334233|123902689|109649082
beauty.n.01	beauty.n.01|appeal.n.02|comeliness.n.01	109302100|117705335|109688925|101368892|109763168|109777585|109782931|101425916|109913404|109924909|109927507|109927562|109936511|118326730|110027973|118747595|118749067|118750678|118775168|118832627|118867470|118868824|118876632|118881520|118887902|118893414|118896730|118898100|118898375|103392170|120975447|120977203|120979501|120980475|120980980|120984445|120984963|120985119|120992303|121410856|121479543|113472927|113473028|122690923|122784590|122785149|122791103|106236302|106322299|106418062|106451997|106462871|106465700|106486888|106516779|107086353|107344347|115843250|115852079|116054468|116769158|116769185|108397329|116788135|116859733|116876703|116914480|116916801|116919851|108570850|108730855|108788307|108839967|108910261|108950254|108994688|109014002|109022100|109027976|101866134|118749255|118813411|118853102|118879606|107365167|108652946|117985122
time.n.01	time.n.01|time.n.06	109087565|117693484|117723943|117762875|118004167|109715179|101507022|118500363|118666006|118674620|118685520|102524326|103311015|103313219|103597970|103894991|103898149|103904278|103920096|112433902|112438619|112452975|120975353|121074734|121292788|104516269|104516539|104516731|104516931|104950912|113718357|122664382|123565949|115248969|123909338|115628612|107794325|107825503|116215460|107831537|116228110|116292822|107950864|107960310|107960943|108399681|108551474|108551476|108797815|100640373|120978514
spring.n.01	spring.n.01	109089150|101157028|118009589|110078083|119340248|103799273|103918210|113413225|105160051|105174840|105196677|105245866|105249109|105341543|105408481|114636754|106456493|106519694|106792219|106808588|106913859|107161472|115709380|115904243|108612208|108621984|108744722|108745754
year.n.01	year.n.01	100819598|117975269|109717915|101338758|109766986|103804232|103897373|112441967|112442116|121194635|121221957|104706733|113457207|105252222|106114089|106549767|123338907|106834883|115749973|116772015|116863559|116885677|100138564|108571139|100214951|108720926|108748064|108972068
day.n.01	day.n.01|day.n.04|evening.n.01|night.n.01|afternoon.n.01|day.n.03|date.n.01	101211573|101472130|110115158|118938610|102254341|102648744|112421968|112452540|121186525|121187080|121194814|121244898|121260913|113635297|105367803|115792834|116144216|116295865|116788403|100234656|100445797|101637441|110074807|103880115|121184205|121184491|121331207|105230530|105233112|105367306|107278295|108880188|108980129|102975893|120943288|105228560|105753161|106560540|106756726|116067883|107839990|100878152|101081423|119066430|121288005|116107960|109055739|112422562|123327540|112415030|115447350|100196606|121194871
age.n.03	age.n.03|age.n.01	101093997|101120537|109994733|101793192|118809989|118932255|107177773|115605896|115712634|115857102|116076102|116094484|107795986|116196103|116829214|108845623|108850215|108997400|101187306
