topographic_point.n.01	topographic_point.n.01|place.n.02|point.n.02|position.n.01|post.n.01|station.n.03|site.n.02	107682668|124680165|100380208|107227461|116013697|115771430|107070626|116306914|100407647|124574216|118680501|100418256|124577960|101502302|116816648|107081238|101470177|107107827|107084102|115844204|115591728|108987016|120764975|112446537|116233666|102637063|107673728|101312927|107318378|106251071|124699139|100456479|116020086|115597044|124766756|106776373|103397189|107075074|113694208|115620981|100438805|109917950|124620624|110013334|108794039|113332055|100347291|123547572|113708788|117972267|107662751|100424468|124767124|106144463|106385665|107824299|124550008|116022069|124713032|113719781|120729125|110008133|116212647|117230291|118787617|101360078|107669634|107064539|103302717|110108487|100438314|116911105|107079514|115864292|101473417|101299245|115630456|108951541|100344101|112449470|108694503|116215890|124605857|115605625|115619428|109917868|124578406|115627542|104148269|116870595|102305317|113717310|107180547|103481704|108881684|116038827|107749615|107730511|116921458|100377307|107088855|117021465|115777395|107084518|120763731|105218424|107075106|124326260|107075853|105244181|101294875|108813850|100376508|113661195|101559553|121531543|124653448|105218757|101051251|115740379|100429730|118806748|105225013|100324778|118643850|107076036|115646520|107183323|124729248|116033722|100375813|106818845|107289269|107074441|105676540|124535572|113695235|107193625|124537384|107740403|118844437|113664931|114684573|101869105|118782034|109195864|124543313|116037856|106203655|113713727|124626894|107667100|107088767|100396693|100357470|107063399|107372514|101490473|100375843|115609242|115721443|124682120|123547622|124537237|106450367|107083902|113688528|101348581|108538735|124578946|115826517|100476737|100365623|107762437|115830894|117583623|108739988|122748732|113473420|115731919|103387365|100455445|101003874|124578015|107099875|106462122|115758304|116812532|108474017|115578005|115588634|124636468|103075323|109120073|107084581|115378316|119346517|107306839|107741992|101484378|101356720|118679919|117047014|108694470|100460727|124759846|107186419|115710343|101356025|115849529|107687790|112451668|113703742|117365250|117501873|116909563|115578838|112437205|107075475|101288095|115751994|115720219|101579750|100958693|116039382|124736029|120576238|101025014|107069809|100389953|116248609|107120668|115874475|115625992|117094295|124575639|124604100|124546313|100979662|115722134|115475219|115373477|115912531|107755252|108604395|113758245|107649930|107302965|115618892|115599931|115619648|107329523|106370077|115720873|115622095|124719960|103059919|100371933|124742205|107224321|118773083|118779831|124653607|107710876|118427961|115477932|101461318|115828862|123576636|115865183|107075339|124642784|115997374|115537216|107820963|124579738|115640482|102627855|101470923|113698083|101492867|107064889|115448187|117006111|104726169|124742863|109190959|116022897|107754267|109917292|115609295|124679973|101274957|100393451|115946257|116047172|116186459|119190349|104715877|124638211|124683128|100458701|120785838|113696797|115825724|107755320|107082977|101538542|122748931|124642542|115592929|116034409|107356147|115755124|115736680|107374226|124625267|117189443|116264734|107222029|117089045|106459965|107705552|100406170|102357812|109195628|107288820|124596062|100412046|106234066|107302601|117314225|115659252|101473628|124707475|116306205|115799829|115755878|116087210|115470035|118883859|109110267|100932635|124562190|115619785|115654657|117157373|100319839|107704847|115599612|124773773|100354639|124672798|105678876|115872255|107714532|115462063|101020324|109023258|124536570|115593878|113661084|105222416|106775974|115724866|100317905|113694136|124773510|107749521|105678592|109763790|100463135|107174314|115758620|107194274|115863991|107101748|101639558|107075899|109184790|115745277|121461395|115374802|123554901|124758020|116039292|117125966|103489324|101303253|107692014|106418980|103131385|107808532|124665434|103315365|103131257|107748742|118894928|115792297|113670112|107688762|124576797|124605536|116788654|113698809|107625136|113673180|119159987|118775428|107649544|117951958|108843059|115414457|117122169|103300796|124581961|118650510|105222436|119001464|124625169|106802170|116786844|124711594|124669549|124545713|115593539|101452951|116011713|107695650|124617140|106779314|120778956|107684908|105676127|106422001|108796293|112452777|115731613|107269020|115691414|116191969|106122424|104723553|115728374|101316828|100955727|116181107|116032862|120747878|120760989|115809961|115610758|107806140|100335573|109824145|115728061|110121917|100375880|124606617|101486168|116309024|107734153|101470099|115688071|124549699|107660067|117566706|124623597|119155843|101305055|100372658|100367777|115733987|106204189|121259653|101299970|108550021|101321903|112450400|115606540|102616970|115591006|107688872|115628930|124604686|115617778|101058493|117055331|103485533|115707467|115398482|108851829|119065579|107267594|107716966|100456579|115651191|107295440|108861174|124533413|116035571|124537451|109506414|115702889|115862023|100977330|107613759|115777008|124711153|103432742|107587702|117066103|108791276|115795383|124681977|124571077|108721512|113762565|107200904|124627983|119068876|109067034|102357905|103478438|119187016|124763214|107749045|103919928|101200486|107684267|107720288|124559994|122748623|107682871|115719060|115499678|101349821|107695845|109059686|115633248|107374861|124651116|115734073|115626550|116106039|104782313|115629044|100910912|107252182|100380703|124551016|124634122|124606709|124612977|103489380|103476437|102617698|106553096|124778320|101071012|101464616|115627617|118942200|109307826|112451940|124583900|113466043|113705270|116854464|115710587|106757842|115807033|101627691|105824602|113695510|100979694|116928400|120976483|100977344|104310242|115791559|113686500|107762305|117144908|116098783|106234764|115378071|101040985|103477812|118854476|108680386|117140349|107691115|112451370|118859806|115737372|116053287|115829241|124534105|100372071|115418097|107601632|107072946|118756895|115997098|118865477|117996390|124682597|118648977|107667982|106512999|124607806|120760143|113660864|115461544|107144491|115457573|104718606|109715607|116189648|107286320|113693743|107692825|122748435|115602335|101523982|115726608|103485080|124777472|124658340|107283091|124535589|105365643|101436208|104751965|107684960|102022943|101487948|112450686|115377004|119343490|108717009|106776626|109058970|116826703|100383480|108667173|105825788|113303246|116218731|101325214|115574895|119151358|100388875|107284418|100454343|108903371|116035668|107679689|107087014|103482876|117022831|104152571|100417280|122676977|103387323|107287257|102506951|103478920|124705608|115639002|118342134|115578369|100467706|102519708|100339170|108701608|101485181|124631413|106773942|106544503|106518109|107362580|107161337|107808559|124616675|124539851|101324981|107158976|116209876|117006013|117026779|115605853|109035887|101463770|116855356|100375417|124691483|106192008|122770137|107662725|107288588|113674001|116015133|106422407|119374907|115607265|105252511|100942974|115779930|112451337|124605044|116783871|116179682|106837070|100376623|100450477|121467096|115649166|113695472|100476261|106297911|115725199|106266345|101492785|116262408|100454432|124659733|120989960|118814883|124562088|115720971|124630236|117217159|107702809|115721284|115864200|107616504|116859371|107203300|107748442|112451962|116018584|107178421|107754399|116829936|118676677|101515552|107828427|118784452|107811495|115609223|108555576|101464736|115433635|100375732|107103040|124691452|103481732|115889734|101469461|107079137|118650608|113685262|107061396|116017691|115723544|119084974|106497822|115646135|115605611|115813621|115713604|118768356|100400657|107074479|124612263|115593194|115721581|108860792|100428461|103593072|115738905|115797228|107160509|113707887|117038689|109687302|101274880|107695352|108608750|117205249|100430080|100447635|120774264|124692056|115901382|122625411|124591646|101485873|115372731|101305706|124742256|100377145|107684539|109074122|115626388|115717337|100395804|107076339|105678665|106530977|115806167|115999201|124610834|102121544|103898299|106491759|108753134|100327655|105219320|101576209|107075663|124691207|105680089|123547657|115624089|118782349|107692543|116064759|108544630|115734865|115834159|102612918|116054923|124690057|100340075|124659165|107757096|106438470|102235633|115755296|109023373|117055157|107177331|115730681|101468091|117154754|117020082|101212160|115734558|117154611|124626349|100383043|100412012|104677786|105248871|107185982|124684442|107157617|108992165|124576084|104151963|121358045|101476250|118684248|102631874|112451992|100327638|115874642|100395750|106775006|124609436|107127313|115734349|109020641|113461765|124679944|116790479|117572610|116011760|124546909|113303249|101319881|116018043|124683020|116105902|115901791|115393437|113758267|117363894|115793451|107232268|115841605|107081776|115653129|112437472|107617460|100393526|116038565|124698175|107079783|115651959|101473472|119069490|124609732|113719032|107093113|101492370|107742551|122631844|107693541|119382702|105218462|115578050|115950991|113698839|107341419|101299589|124753619|124676298|124605288|116035542|115617755|115738679|124701716|113463874|115918801|124559455|116849887|120994288|105326256|124540264|113762530|108565292|124651790|115868389|108684482|100316789|115602013|105678630|115728181|115923363|106194071|112421525|104148262|124716452|113390306|107182906|119187367|119173050|107084043|116178545|115607802|117101727|101311175|124595890|105678841|116813804|113304754|123537953|107695750|113694973|105224024|120777478|124766436|115830612|113702633|107715330|124581381|100882414|115777335|106798954|103489359|116018545|111158507|116190295|124553128|124742585|115594937|119169064|124777256|124559080|124612244|124576440|103468887|113726311|107372275|107692413|111159742|107075367|101501703|124574303|113759719|100393700|104152185|108780781|108694526|106192007|109061690|100434990|118881432|107693315|115529274|118895190|118659951|109317748|117012678|115871250|100400445|124684988|107604405|116045769|124592603|111196428|105430485|105239246|109708125|107733024|109754695|118881543|113695972|116772965|103593451|107084465|124317599|109035836|115628831|107064190|117012855|105219541|117963784|106508899|113719818|124742240|116120172|111162133|107366928|107279831|101020182|115600004|100339767|120943303|100461151|106441894|124545099|115443898|101575366|107644117|113695048|124634030|108858688|107088136|106850999|109041939|100433468|101474091|124625073|124569700|107245835|115719510|107673549|107774804|107287515|124675926|104661032|118657076|106417217|118370437|117160912|107077188|118682676|107663684|100388540|113697472|100401006|113713764|107813972|113473128|104682842|115580781|115867257|119162632|124707964|115722023|115565127|115750758|124552226|107120803|107185347|100933526|103485554|107757226|105186070|115339886|107757292|105222507|106504680|111197965|107097264|106887722|124610797|100442953|107099493|107063827|106542746|108606021|121947668|100403780|124633922|116008211|113697836|113473394|107325993|113661891|116281037|101440692|101471310|100467473|115468268|116039422|115566170|123525875|113497838|118341942|102437915|116070607|116032838|106256500|100909006|118844466|124562125|115599856|106896277|107100135|101550778|115745532|117976000|115354868|115386447|107082902|106494870|119071025|100376285|115366715|124646794|101550708|107283239|124669032|102446482|124690742|115609467|113694244|101305102|118315268|106907427|116008192|118650537|100417530|109061762|108573984|116076587|106851164|115883074|115619449|113695376|106390949|108828766|107289809|108813739|107692979|115444397|103300768|100909018|107326043|124747881|113497351|107295088|113658044|107302681|109032098|115618537|108605652|108814007|101526914|101486143|115999321|124694929|116237568|107193644|115811067|101486511|116215054|108829194|100371038|124567378|103483580|101464114|115531889|115392627|115469791|115515673|103480783|107285688|103481693|115398291|107284988|108539197|107371334|107303450|106230068|107078943|120575904|102615043|115415256|107280042|118639746|118673384|103405413|108870258|107690153
country.n.02	country.n.02|state.n.01	124614125|124592281|107744769|116024350|115850159|124586843|123535642|116873357|124761522|124777963|124543723|124653367|101619838|124724305|124634733|124549142|124558541|124587399|105125938|124761553|116972514|110408743|115833996|107737014|124582361|117136748|124711624|118661060|124686655|124535992|124633787|115334880|115372319|124628305|124602622|124714667|116797774|101487224|100958056|124781015|107644671|124545678|124724708|107523915|107655136|124688375|124612149|124635285|115345722|106192873|107642334|124666908|116070400|124693834|115361509|107535323|107714134|117151564|124549921|115863285|124625879|124764117|107584950|107760477|118676384|100917060|115826118|107634719|116176148|124583737|124576216|120877824|124593556|117140100|116016495|124608187|106392252|116207435|116247787|121989457|107622665|124545244|109065060|107076693|124714506|100377225|118671490|124577047|122791407|124739967|124715049|116247863|100915634|124570800|124560851|124543857|124771260|124576884|109928769|106182000|107757424|115335050|124609250|109246327|124766723|124714609|124627280|124561287|124691766|100371695|124641965|124583029|124624789|107730149|124741198|124779492
region.n.01	region.n.01|district.n.01|region.n.03|territory.n.03|area.n.01|precinct.n.01|domain.n.02|quarter.n.02|section.n.03	108598430|118667363|110019081|124582817|107067691|107724731|106268711|118369980|108883362|101010950|106123749|107074944|100402011|106231853|124771971|106283275|100918063|101328808|113306784|116859233|110410348|124691268|109077938|107073947|115486171|108656438|115543554|106262685|116874588|119064822|124727507|107062449|107565075|106231453|107600021|101188221|117098220|108904212|110037354|107075522|107617851|121145626|108822698|101049772|124676067|100444247|108770852|101286425|107075574|118337067|107061848|109999450|107317866|115407300|107566976|115616474|107064119|124744912|108736869|115373940|108540380|114635914|116792371|106339544|107314045|106259707|118750812|107086738|100380224|107088585|106281624|118759567|101040846|124714177|107077521|124676448|124590806|115458275|110040666|108898831|100342608|121351227|116107219|106521764|115388613|107068624|109999095|100917289|107591134|100371190|107067728|100314231|100424409|106259881|124758181|124543207|124768893|107063936|107341014|124549772|115542395|115388530|111197853|107076616|108818781|102623294|106167834|107316760|124320621|108789340|105815164|117115464|104713350|115656614|107604727|113650018|107635987|115556410|100454376|106571911|107601248|115566067|107539931|115689738|116881826|107590537|113669779|106558953|115656774|124536505|107721640|114641618|101385099|107594423|107592474|107625255|106299928|124621742|107601940|103916733|120772263|115716399|107584414|124680106|115616392|107639589|124662016|124657847|115784902|109693698|106868158|124584383|107071698|104714773|124724504|107634031|113607644|118469224|107666938|124714291|119103981|107548082|107629946|103931243|100942490|106298079|106161802|118435978|106392316|105438273|107608878|107069641|107565419|107547982|104721376|107202121|115656257|116802776|108808406|101149985|102268116|107578658|124762029|107844077|107592214|107611561|107626950|107611587|116881055|107601716|107604579|107068231|106546798|107745090|106226374|113699694|107577226|107661341|107616915|107556930|107742054|106577178|107602318|106888685|115655935|124743701|107068665|108836941|124745124|110012148|115465747|110044627|103634832|109049532|101465349|119334923|109049776|115427409|108833321|107305552|107067286|107228025|108793740|118339424|107088704|116781192|109998624|113345335|109044272|100693395|122614216|100339240|124759547|120765986|107531411|124582492|115335734|108401209|124603538|106415050|109245480|120768279|124762115|107730532|107817778|105986165|120767685|105991778|105984617|117331421|120770908|120782645|119177580|119151253|109999462|105975469|105983062|106835381|108582683|108540566|106452015|108401497|100388960|107307784
area.n.06	area.n.06|section.n.08	105975356|105968909|106012316|106012310|105956405|102017200|105975369|105969465|109651203|105968169|106012244|105994303|105984569|105983641|106011946|105983095|105985684|105983769|105868865|106012221|105994690|105267609|105968216|105970155|105956031|106012277|105970091|105985653|105984591|105985643|105969703|105969748|105948590|106011460|106012211|105983751|106012153|120578905|105975716|105970426|105970403|105974728|105970416|105982371|106012266|105969502|105984581|105995901|105975064|105968182|105985232|105985222|105969105|106011984|105985628|102017246|106011724|105983123|106012329|106012081|106012290|106011814|105985983|105968874|105948577|105975077|105975269|106012336|106012237|105982407|106012257|105969454|106012097|105969441|105956061|105975148|105982381|105975729|105991423|106012352|105997333|105970104|105968861|109292323|105985486|105983779|105982388|105970084|105983807|105872683|105968887|105983068|105985264|105994275|105267454|104607067|105983085|105975161|105983757|109283688|105969690
stronghold.n.01	stronghold.n.01|fortress.n.01|garrison.n.01|military_post.n.01|castle.n.02|outpost.n.03|bastion.n.02|fortification.n.01	107773641|106752282|101473244|101474342|108951485|107289077|106779160|107779840|101476226|115464749|107287125|106823653|107754541|106773706|101356306|124543670|107287188|101477277|117083469|107289171|107287272|103039734|108862358|107810789|117219282|117103620|101473607|101476104|101473886|107836802|109248731|101473443|100719816|117079968|108953615|106782300|103175984|101479990|102482790|107071630|101479786|101473539|117081061|101479917|101473366|101479862|101470624|103175956|117085189|106868093|106769434|101473517|109050966|106824050|108807872|106824004|116989354|103075686|124577739|124543923|103177850|113726251|107774561|103031693|108905422|106842256|117085169|117000239|107287226|107755731|103342872|101473395|106769451|109212513|115753093|115531781|103178198|106823633|101475578|106755109|109190448|117205799|106857682|107205794|106824277|117218560|106859193|107289433|107777803|115555763|101470553|107733932|101438920|117234854|101475209|108805689|101475936|101572573|108828742|106755362|101476055|103059799|124755388|108828865|107774455|101553222|103057898|104168361|103178911|116019683|124548725|101552892|101550897|109754716|101500821|107777599|104168628|104167922|104168310|101476486|124536034|103026859|104168330|106773796|107736752|104167941|101498677|118676485|107810188|101476215|101299114|107642515|101299151|108665459|101340183|124548706|101476473|101452479|118644796|101285430|101550621|100377028|118644804|107303843|101550512|102261050|105159992|103405374|103405356|100717947|115342337|103405464|102463884|103405342|109058914|117131036|117059810|117093309|101547358|117059582|103075645|101621803|103174688|116306295|108401024|100442980|101550403
land.n.01	land.n.01|estate.n.02|property.n.01|estate.n.01|possession.n.02	103314582|120779711|103314946|101095670|117497480|115495288|115492626|124627680|110167340|120753557|124596785|103224777|120790675|103224714|108705940|103315792|110184514|101096087|115426511|103288206|120753402|106516033|103387176|103316230|115392258|103222998|103315388|120770753|103315209|117191949|117227401|103316609|101095653|115415787|103314725|108865387|120779734|120779807|110167251|124627566|118497250|120779190|104469573|107077993|124769446|124596761|101096506|103316487|118471012|103387800|107616715|103315535|109343489|104165313|124644412|118646565|117237141|103162903|103224917|124769405|102266229|103224604|101096016|103224943|108927846|101119834|103315612|103223682|103222043|101127570|107072188|115843629|103314482|103316693|103316265|115456411|109136793|103316527|109365983|115466512|103268949|103314658|117183556|105062697|101095577|124622260|103224824|110167125|107074615|103223602|118472380|115456253|104165295|108705328|115539203|118819184|108537435|101327648|103596759|118879486|117318860|117319120|102464813|101307049|118941980|117097738|101120560|108611919|101127611|117328285|108705373|117129231|117319277|108623343|117353708|108593265|115355303|117188238|108696203|118412192|108931222|108962071|122660239|118819249|101299072|108853166|117328068|120787965|118656885|122625467|108674976|108992397|117353568|101127660|108752333|105062645|118643897|101476639|124708170|117108882|101476834|103315470|101311643|117318926|103225246|120758453|115573199|103316686|101095688|118881522|101096190|101095741|103316725|103452900|118933014|103315313|103316808|108776767|117761071|124647655|109344297|108958963|122680425|101118876|103196455|124647870|101127691|117317815|118412235|103039808
town.n.01	town.n.01|city.n.01	100339639|100440494|100354201|118672512|106896255|124770595|124708657|124767380|100393925|124587851|124733446|101040692|107301632|124658669|100415069|124649226|100389737|124727220|124736626|124734759|124733216|124702133|108089075|124744394|124721026|116989238|124723882|100352022|104168580|100311531|100401566|100414539|108536878|100353957|108090301|124702059|124545578|124544020|124777917|100318826|124561619|124770466|100476237|124658831|124642529|124747463|100375060|124733560|124588874|109270972|118655753|124713224|124584265|100338145|106775989|103177895|124700353|124726936|124738334|124733540|107366697|124742124|108729898|124546802|124701985|100325815|124739518|100418130|124727015|124729435|124739721|124778874|124768756|124612042|124732549|107121319|118637094|118856367|100363828|103078446|105448158|100318570|100315882|103060448|107827991|107680842|124688699|118672574|100399664|100318872
military_position.n.01	military_position.n.01|ground.n.05	115533669|113650386|124760693|113698146|115360710|107135895|115570634|115507573|107290214|106886923|115589301|107305343|113729245|109052700|107193783|103110929|115743766|108700630|101613222|108810305|107175887|101624782|107289300|115408419|119070888|124629157|115507814|107281958|107134355|101461865|101349668|124720122|107615356|107290449|107289140|108746970|115367820|101495533|113680485|124664837|118650568|115427614|107293677|113687375|107468647|106774514|108723095|117101595|102461589|115493939|113658896|113661368|115342300|115345815|101487519|103480760|106772839|115609047|107278111|103177876|118671935|107099805|107174650|113659945|100711767|107205749|118640668|107468661|124659539|108384093|101622229|107270555
land.n.04	land.n.04|land.n.02|soil.n.02|earth.n.02	113650647|124771821|115580694|115738471|118635931|101485286|107285588|118646922|108667882|107287763|124752005|100381497|105176587|108720052|108724571|113345978|109332611|118393331|107278710|120757208|101471268|105126767|105233221|101629591|107600763|109088270|117016242|108666854|124752308|101642319|108664375|101630283|116806963|100381276|124619115|124706156|100454621|107203444|113665821|108910625|113673498|102431611|124549014|108821464|108669076|109700865|107194208|115596652|115687879|104782324|113665946|101515450|107278632|101027097|101622548|101471698|101619073|108853583|121975669|101359083|113697108|100391402|120780167|115388118|107778566|105254537|118684496|102266011|117024852|118342258|100326625|120757179|118443644|115478715|124626456|120791183|106477932|119182629|113342001|106481067|104721817|107730318|102511567|101118295|120747952|104722565|106220634|100915171|106336731|119011531|104715206|109648162|104698362|104684955|119141112|101640870
farm.n.01	farm.n.01|farmplace.n.01	103315050|116052058|103602209|103248366|115329464|109060081|105063147|106511950|103603314|108923680|118496959|103301321|108705845|103605848|107311433|103268635|103605905|108706127|118472230|101616032|116970173|107138049|103223856|109972239|109181978|103315718|103315085|107138027|103315497|101109178|103602176|118345522|118343981|108706160|105068641|103224990|109714262|121249432|109180755|124596834|103309788|103268935|103300085|105065141|118475000|105062959|103268557|101318663|115500765|100662237|103225507|101157088|107201149|108752290
