mouth.n.01	mouth.n.01|mouth.n.02|orifice.n.01|beak.n.02|stoma.n.02|os.n.01|duct.n.01|vessel.n.01|trap.n.06|nostril.n.01|trachea.n.01	109056945|117452133|117454461|117457393|117458699|117460350|109075266|117466601|117481047|117485861|117486468|117491383|117491393|117493972|117494870|117496233|117499237|109115407|117507839|117509336|117514198|109127107|109136046|117530226|117533002|117536850|117540572|117540608|117556475|117556482|117560386|109172138|117565140|117583500|117586091|117594587|117598119|117603227|117604273|117614270|117618637|117621172|109240580|117639247|117639262|109259142|109278718|109290826|100916382|100916433|109309084|109312427|100924312|100924372|117708086|100943679|109350568|109351517|109354764|109355041|109355855|109356973|109372080|109383703|117775486|117775544|117776345|117778684|117785442|117790716|117790793|117791790|117792488|117792507|117793286|117793963|117797624|117797757|117798090|117798180|117798231|117798369|101023227|101023250|101135630|101140538|101147647|101149601|117958776|117961374|117961671|117962180|101204829|117985038|101208125|101219412|109681474|109682078|109688572|109704177|109715862|109717842|109717862|118106999|118107019|118107149|109718878|118111285|109722755|118112292|118112551|109738080|109739264|101364698|101366758|101366873|101367264|118173829|109798443|109798791|109809523|109811331|109815886|109815891|109818778|109819178|101430952|109820708|109822378|109822503|109846602|109848157|109854644|109855538|101468602|109860396|109863665|109866336|109867261|109872898|109882285|109888264|109903565|109916720|109924931|109934980|109948008|109949838|109969753|109973256|101593999|118389664|101626731|101627574|101628507|101628571|101628584|101628961|101631091|101631125|101631479|118426980|101656968|118434945|110048496|110048685|110049158|110049245|110049385|110051200|110052452|110053201|110053904|110054200|110054277|110054384|110055662|101668011|110056764|110056860|110056906|110057789|110058168|110060971|110061271|110062784|110064158|110064296|110066529|110067089|110067129|110067159|110070238|110073573|110075269|110076469|110079615|110079730|110081814|110083011|110083065|110083523|110085120|110086084|110087772|110088719|110091238|110091682|118485339|110097435|110098548|110099822|110099832|110099921|110099936|110101536|110101911|110103868|101720261|101732039|101735470|110124901|110125006|118513802|110127141|110129454|110135249|110141130|110142693|110144364|101768797|101771062|110162721|110164709|110166248|110166302|110166910|110170233|110170289|110171938|110172371|110175116|101786666|110177546|110180660|110186397|110186448|110190036|110190058|110192211|110203449|110206202|110210745|110211689|110214816|101828715|110217561|110221348|110227158|110229274|110229422|110231170|110236836|110237401|110237935|110238691|110241245|110241278|110241288|110241668|110241692|110241825|110242690|110242716|110242728|110242819|110242822|110242901|110242919|110243403|110244426|110244432|110244438|110246218|110246428|118638006|101873609|118665057|118689728|101929670|101956544|110391632|110405795|110408836|110414093|110415555|110415583|110415641|110415667|110415711|110416691|110417011|110417273|110417391|110417420|110417599|110417663|110417685|110417729|110417813|110417824|110418794|110421158|110421530|110421728|110421938|110423391|110424699|102037008|118837940|102071403|118884311|118929835|118930672|102158313|102170329|102170561|102172469|102176064|102177075|102177121|102177481|102177578|102194981|102203100|118989838|118989889|118991241|118991410|118991432|118991584|118992045|118994424|102218026|102221295|119005488|119005509|119005573|119006217|119007110|119009396|119010994|119011024|119012674|119042793|119042928|119044073|119044625|119044685|119044864|119045545|119045629|119045674|119046962|119050761|119099287|119104936|119106432|119108215|119118582|119120755|119121643|119122240|119123094|119128215|119129428|119129924|119133581|119133852|102357224|102357233|119140275|119142910|102366937|119144430|119146718|119152282|102378970|102380473|102382201|119160817|102386645|119164813|119166218|119170207|119171573|119172454|119172483|119173816|119173822|119174755|119175278|102399581|102403758|119184213|102407900|119192538|119206134|119206169|110852386|102505280|102508772|102519124|102525278|119332932|119333184|119333243|119333692|119334522|119337145|119337152|119337182|119337224|119348176|119348190|119355491|119355582|119358005|119363540|119363547|119363592|119363638|119369200|119370526|119371207|119372691|119373181|119373202|119376261|119378789|119385071|119385231|119386531|119389163|119392577|102620177|102620620|102639648|102646835|102647826|102648501|102650778|102650831|102651062|102651631|111155274|111155387|111155813|111170943|111170966|111171396|111176563|111199120|111200240|111201864|111204295|111204355|102906383|102916461|102916711|102916729|102963905|102964188|102974401|102983110|102999151|103013039|103013046|103013732|103014850|103019938|103115258|103286578|103374681|103376087|103376469|103377317|103377350|103378777|103396754|103488620|103572406|103632006|103766554|103766574|103794008|103794064|103794078|103794247|103794274|103816287|103818176|103839866|103840188|103842778|103842842|103842948|103844663|103844672|103844711|103844979|103849585|103849592|103851190|103851703|103852125|103853346|103853604|103853622|103853698|103854309|103861764|103862714|120641723|103866052|103866113|103866185|103866240|103866480|103866536|103866637|103867872|103867884|103868115|103868167|103868175|103868311|103868790|103868873|103868899|120646574|103869696|103869766|103870320|103870488|103870723|103870980|103871078|103871461|103871600|103872350|103872417|103874050|103875213|103878197|103878399|103878499|103885243|103886874|120667211|120667226|120667233|120667804|120669919|120669966|103903554|120681894|120681911|120682223|120682243|120682306|120682939|120685396|120685644|103909964|103912038|103912351|103912815|103913019|120692339|120692955|103918284|103932754|103932889|103934751|103934759|103943628|103961389|103962008|103969424|120761326|112386840|112388253|112388941|112390336|112392055|120781950|120781958|112396092|112396380|112416174|112423148|112423481|120831543|120831857|120832911|112452861|120878795|104145459|104154118|120944661|104180910|104181489|104181535|104181642|104181654|104181678|104183082|104183147|104183315|104183525|104190297|104190645|104190757|104190792|104190857|104193666|104193673|104193738|104193862|104194748|104194911|104196073|104196490|104196547|104196586|104198376|104198755|104200153|104202849|104203435|104203476|104203583|104203597|104203608|104204142|120983028|104206675|104206779|104206786|104206805|104206983|120991057|121032060|121035754|121035807|121069238|104293023|104329757|104329786|104329826|121139113|121151714|121153114|121212526|104457345|104457373|104457382|104457475|104457498|104457557|104457564|104457583|104457756|104457776|104458514|104458561|104458687|104459323|104459454|104459471|104460030|104460759|104460961|104462416|121339014|121343740|121384038|121384211|121384232|121389731|121392526|121395125|121395128|121398191|121398194|121405639|121408636|104646381|121436018|104677726|121456346|121472292|121481496|121481548|121500307|104723230|104724805|121505286|121505325|121527385|121541283|121541293|121541303|121541324|104767445|104770772|104771606|121554541|104865661|104875502|104877829|104906560|113300300|104912731|104912758|104912840|104912844|113304003|104919591|104926354|113321946|113330895|104947999|113344340|113344955|113352232|113358728|104970625|104970627|104978753|104979254|104979431|104979531|104980917|104984006|104986113|104995752|104997846|105003099|105003686|105003691|105006290|105011724|105012569|105012645|105012649|105012936|105039569|105040634|113440047|113447619|105064968|113455444|113460445|113462593|113466783|113473818|113496886|113497334|113501695|113512356|113533338|113533466|113534303|121952838|121954777|113579119|113586662|105198695|113604270|121994469|121994472|113618791|122009203|113625605|105317444|105329654|105390599|105390609|105422870|113926142|113928188|105680739|105681660|105683107|105688668|105770103|105821610|122644491|122644502|122644528|122644535|122645860|122650529|122678666|122679122|122744283|122774458|122777031|122777053|106119977|106120170|106125582|106127481|106130659|106130704|106149510|106149512|106154821|106154973|106154991|106168933|106174701|106182602|106187694|106188213|106190716|106197252|106199096|106214958|106221540|106223445|106227852|106238014|106246845|106252032|106260264|106260393|106272722|106274337|106274911|106274991|106277003|106284974|106285723|106290371|106299838|106304388|106312529|106314897|106324190|106325041|106329114|106331154|106332027|106335974|106336073|106339495|106339549|106339687|106339858|106343196|106355204|106359021|106362520|106364234|106364944|106369738|106370029|106371047|106372702|106373348|106381495|106397883|106405565|106406078|106427143|106433484|106438269|106440686|106441703|106441864|106462361|106521354|106528823|106531070|106572796|106579634|106584486|106588715|106590424|106591925|106594176|114982916|114983075|114986154|114994687|123525857|123548830|123573606|123577681|123589810|123654323|106928702|115344955|115348465|115376697|115436519|115443703|115454936|107077235|123890145|123890624|107114638|123895739|123896104|123897558|123899929|123902547|123907853|115527856|123918478|123918954|123935912|115548870|107167457|123949855|123955633|123974248|123977925|123981092|123981226|115661085|115661159|115661214|107323927|107365521|115756172|107374766|115844024|107463849|107463968|107464004|107464016|107464072|107464637|107464705|115856648|107472581|107472660|107472956|107473457|115886910|115890382|107534056|116158648|116175417|107794595|107794729|107805792|107821615|107833420|124620348|107849978|116246993|107871779|107874358|107876236|107876255|107876266|107877726|107877768|107880721|124661203|107886788|107887111|107887287|107887330|107887856|116278087|107894170|107894197|107895896|107895947|116284716|107899288|124687310|107910811|107919891|107920180|107920498|107920763|107923252|107924871|116314135|107928367|116318464|116325938|107938430|107938717|107948876|107949434|107951352|107953262|107953965|107954229|107954256|107958177|107958181|107986481|107997425|107997757|108004768|108005016|108005042|108017501|108018450|108019189|108019605|108019838|108019873|108021469|108021708|108022135|108031436|108031637|108031645|108031659|108031732|108035717|108035733|108037196|108037226|108044671|108050886|108062126|108070976|108094713|108096299|108100025|108100637|108101225|108101950|108102539|108103725|108104325|108104460|108106914|108107190|108107462|108108301|108108896|108109310|108109324|108109628|108109771|108112145|108112709|108112741|108113092|108113548|108114618|108114858|108115522|108115880|108116525|108116572|108118279|108118400|108119046|108120474|108120481|108120913|108121002|108122311|108124008|108128607|108130398|108130645|108130648|108131070|108131804|108132836|108133238|108133882|108134092|108134148|108134468|108135749|124913330|124913389|124913532|108136912|108136937|108137568|108137636|108138395|108139107|108139160|108139569|124920235|124920620|124921113|124921513|124921573|124921870|108146624|108146966|108147217|108147675|108148577|108148706|108149550|108149619|108149652|108149846|108149862|108149970|108149986|108150336|108150355|108150462|108150681|108151036|108151483|108151640|108151841|108152033|108152150|108152219|108152889|108153048|108153445|108153495|108154063|108154099|108155181|108155309|108156445|108156456|108156995|108157130|108157312|108157340|108157626|108158750|108160831|108160926|108161456|108163295|108163307|108163313|108164081|108167639|108168529|108169330|108169530|108169783|108170072|108171278|108171998|108172105|108172488|108173822|108174800|108174963|108176587|108176638|108177645|108177949|108178211|108179420|108179909|108181457|108181707|108181737|108185411|108186269|108192440|108195911|108195951|108196410|108196453|108198531|108198606|108198669|108198735|108198828|108199007|108199124|108199133|108199481|108199580|108199713|108199744|108199850|108200173|108200184|108201236|108201863|108202163|108202750|108203064|108204586|108205899|108206963|108207247|108207707|108211255|108212453|108218944|108220100|108223808|108227291|108227619|108228532|108229035|108229251|108233642|108236296|108240254|108240791|108242950|108243843|108243876|108245318|108247109|108247686|108249341|108249453|108255329|108255898|108257783|108266997|108267816|108268318|108269804|108270551|108270572|108270635|108271415|108272671|108272700|108273208|108273216|108273221|108276706|108276722|108278686|108279778|108281566|108282554|108282749|108286294|108290602|108294769|108301082|108301085|108303746|108304131|108304365|108304516|108308369|108308628|108308698|108308850|108313275|108313912|108314539|108317961|108318035|108318052|108318077|108318414|108318744|108319162|108326375|108326525|108330287|108333002|108333139|108336170|108338256|108338694|108338706|108338922|108339235|108340044|108352739|108355495|108355689|108356101|108359973|108360387|108360516|108362806|108363200|108367540|108367713|108368076|108370028|108371847|108371911|108372285|108372418|108372759|108374703|108378487|116768080|116770051|116770128|116772601|116773451|116774283|108388155|116778544|116778989|116781206|116781618|116782150|116784395|116784443|116784855|116786677|116789406|116791620|116792438|116804684|116806853|116808807|116812102|116812847|116822459|116825311|116826510|116826852|116831287|116831346|116831623|116832397|116832972|116835483|116835853|116846810|116848580|116854254|100077097|116859539|100082582|116862825|100086463|116867985|116869784|116871891|116876204|116881802|116884963|108507215|100118846|108509247|108509785|100125822|108515452|108515683|116919262|116919278|108533447|108552579|116944985|116950028|116963009|116979037|100210738|100240443|100243471|100260895|117045509|108709764|117134263|117149062|108768167|108786505|117186637|108805613|108872003|108872142|108876775|100498841|108910159|108933220|108933232|100544674|108944013|100573286|117356650|108974086|108978787|108979018|117368885|117373094|117376003|117379009|109002443|100619488|100620635|100626690|100630813|109331006|117791823|117977642|117992964|101431005|109933840|110049102|110055113|110082788|110181034|101965820|118832916|118859567|118859570|119361158|102650855|102650935|102650944|102961421|103867841|103867851|103870053|103870443|103871041|103942993|120983060|120984642|120984952|113339413|113473870|113474629|113504995|113928437|105745772|114982971|107794815|116842894|116843045|116848843|100258928|108741777|100617369|117788846|117788856|117789023|117789269|118110497|118112834|110422908|110423776|111160374|102781463|111180176|111181401|111181677|111182145|111187437|111201719|103559980|103856158|103856193|103889554|103906869|109350773|103927270|113346557|113445576|106809436|123958849|107309263|116780396|116780629|116790850|108689978|108992502|110401142|110403816|110403997|110404099|110420237|110413358|110413752|110401161|110403687|119081282|103844686|104186337
mouth.n.04	mouth.n.04	109277473|109277625|100911834|100915176|100916368|100916466|100916472|100930006|100930110|100941225|100942981|100972254|100972507|100977089|100978214|101289274|101339765|101485205|101658617|110052171|110063529|110067454|118676987|118782017|118782049|118782064|118857415|118903617|102186489|102350774|102351705|102351736|102351928|102351938|102353161|102353247|102354094|102354571|102354679|102354703|102354752|102354764|102354937|102355493|102355535|102355541|102355702|102357336|102357368|102357435|102357510|102358025|102358205|102358485|102359000|102377711|102965352|102968111|102968720|102986299|102988843|120553689|120553720|104116342|104157292|104157327|121180738|121181850|121338808|121338829|121339108|113343773|104986649|105130430|105140150|105140158|105143707|105149047|105149134|105175639|105176025|105176778|105177645|105187590|105190498|105193441|105212019|105212378|105212461|105212724|105213104|105213133|105218832|105218893|113641861|113641952|113642101|113642262|113642800|113642851|113642971|113643086|113643309|113644055|113649354|113671900|113672042|105304434|105305155|105310857|113718790|113718818|113722375|113727097|113731395|113731424|113731594|113760075|113761752|113761771|113762294|113762300|113762309|113762322|113762648|105412051|105433760|105434322|105447559|105448330|105449322|113920211|113920262|113921187|113922416|113922453|113923459|113924724|113925660|113925947|113926175|113926237|113927537|122748406|122752280|122752475|122752578|122752624|106407326|106858235|106858250|106858271|106858356|106858375|106858397|106858427|106886850|106886897|115392561|115404201|115404262|107049748|107053607|107054003|107054304|107054696|107063954|107064021|115493267|115493315|107130466|107130499|107130542|107130583|107130600|107224197|115650938|115668823|115686654|115767696|107534027|107534108|107534304|107534385|107536868|107542762|107543216|107544591|107550653|107550950|107554809|107554827|107555159|107557209|107557447|107560781|107560813|107563397|107569765|107569823|107569898|107570528|107576441|107576582|107576593|107580789|107588455|107592817|107592939|107592968|107619084|107624424|107625946|107628630|107632691|107632844|107638753|107638790|107638814|107638823|107638892|107638938|107638969|107639325|107640274|107640328|107640416|107640764|107641260|107641483|107643107|107643834|107643846|107643918|107644204|107644244|107644378|107644581|107645623|107645920|107645994|107646177|107650805|107697109|107713201|107713471|107713550|107716268|107718393|107720504|107723110|107723150|107723195|107731444|107739703|107739741|107749888|107768625|107768653|107779248|107781789|107786648|107786743|107787920|107790670|107790926|107791004|107798143|107800732|107801539|107801668|107805903|107805938|107806118|107806133|107815720|107815789|107816016|107823579|107824326|107825233|107825379|107825594|107828917|107829129|107829173|107829243|107829283|107829325|107829364|107829437|107829661|107829686|107832985|107833006|107841659|107841665|124729517|100062800|108510463|100156826|117050554|117081634|117082817|117083533|100314070|100318268|117095895|117100682|117102468|117103640|100350860|108745976|100384068|100388661|100393547|108861686|108883904|108908643|109023337|109023912
lip.n.01	lip.n.01|tongue.n.01	100797560|100823642|100827534|100838573|109230204|100857074|109265297|109268972|100880614|109289474|100901890|109299675|100965392|109361121|117946455|101176669|117960775|117960945|117968460|101194400|117972463|101201204|101231690|101377195|101377204|101377220|101434540|101509781|101598478|101661751|110058473|110066216|110080491|110080906|110082446|118482095|118493257|118504105|101767790|118793399|118806846|118806892|118849486|118856993|102099929|102134499|102135542|118935464|118937363|118937380|102363588|102363843|102379659|102394070|102501027|102979030|102990971|103000386|103004396|103007247|103007647|103007764|103012842|103020745|103107796|103115323|103145481|103376297|103377301|104015163|120971394|120972178|120994316|121138166|121153209|104864294|113325603|113423684|113443637|113469777|113477540|113501948|113530474|113532753|113532945|121964682|122649460|122697410|122697422|122697496|122791244|106595466|123946554|123989663|107461792|107464099|107472561|107472630|107837435|108114950|108115792|108250395|116767622|108512357|100131215|108568094|100242006|100243021|100243224|100297829|100299644|100299841|100302663|100307822|100485547|100498175|108888377|100506972|100508998|100514122|100515468|100517752|100519984|100526338|100536225|100543612|100554792|100570573|100574865|100611875|117516763|100771730|100797783|100799187|100803427|100813097|100816222|100858464|109355017|109652037|101366236|101509511|109954119|102014513|102381863|102401678|104194347|104194467|121143319|104610924|104768700|113501232|113532951|122708320|106188400|106318260|106460456|124557001|100508788|100518848|100558890
mouth.n.03	mouth.n.03|mouth.n.08|opening.n.01|exit.n.01|intake.n.02|aperture.n.02|aperture.n.03	117787392|117790729|117803757|117803776|117804162|101030093|118107965|109819800|101468508|109903372|101657218|110070445|118664632|118666060|118677009|110402758|110421396|110423691|102185663|102357324|102951906|102959566|102960500|102991723|102996214|103014045|103771887|103869635|103873529|103944139|104892408|104892424|104892437|104892543|104892614|104974137|105131163|105131459|105131488|105132444|105181552|113643042|113657410|113671131|113671177|113671194|113671666|105363451|113921836|122753599|106784734|115238890|115398732|115502232|115726351|107588439|107588505|107588514|107604168|107622573|107638830|107640508|116055216|107751716|107800466|116194471|116194530|107815697|107817621|107842624|107856074|116321175|108117684|108154415|108296654|108359909|108371790|116767685|108379595|108384779|116863791|108510471|117053160|117053167|100438968|100442041|100442193|100445455|100450301|100473577|100474794|117357289|100653953|117773747|117774161|117774224|117777670|117778100|117783091|117783310|117785773|117786544|117789981|117792721|117794675|109903412|119203712|119210835|103488584|103488589|103868835|103868848|104121540|104904103|104905389|105315534|105390670|101854445|110422953|110422983|119133630|119135603|119208456|111163200|111163232|111196100|111196145|103929633|120973647|104684602|113639917|105766882|107625963|107758705|108360000|100613928|110046314|110414058|110414443|107541594|107542456|117079585|110415024|103894276|103935249
entrance.n.01	entrance.n.01	100976134|100976555|100976922|100987079|101031603|101031617|101523280|112420295|112420469|105131259|105363544|106773831|106783847|106829112|106829141|115403637|107563313|107622536|107628676|107629710|107629727|107630170|107643096|107646191|107646239|107697663|107697690|107755820|107761581|107842162|107842173|107842733|107842967|117050200|117050304|117050334|117050342|108996021
edge.n.03	edge.n.03|brim.n.01	110142836|110227166|104897647|107854499|107856361|107856430|107856500|107856526|107856579|107856613|107856668|107857090|107857136|107862154|107866649|107867121|107869424|107869463|107880972|107883051|107883330|107883592|107896974|107903931|107921658|107963932|108036321|108065471|108066042|108202237|108289292|108380482|118172583|104147477|105766142
face.n.01	face.n.01|face.n.07	109079236|101056971|101641387|110236197|110236199|110236455|110236457|103015486|121178359|113481017|122668684|106822481|115407617|115475846|115502711|115851590|115967379|116142825|116261098|116299211|124749506|116802173|100032325|108630633|108852676|109001328|100654469|109045462|109925452
front.n.01	front.n.01|rear.n.02	101462130|101462154|103884709|123983351|107646416|108384823|108384935|108384956|108775640|108835347|108844820|108886183|108912003|109018642|109008869
breath.n.02	breath.n.02	109181394|109751483|119113674|119115611|119124195|119195400|104346784|121212823|113579021|107464277
sass.n.01	sass.n.01	101652060|113407870|115984694|108152882|108171985|108181214|108182713|108282447|108314623|100535861
