punishment.n.01	punishment.n.01|castigation.n.02	100663900|100664114|100667204|100670886|100685293|100686102|109078544|109079877|109082532|117480504|100729515|117509971|100742105|100793960|117574712|100798377|100800688|100801481|100802049|100803052|100822469|100831272|100840398|109265808|100881154|109280044|109332857|117744140|109378850|109379485|109379999|109381150|109385826|101005897|101018739|101082282|101103885|101157992|101159979|101237727|101245624|101263656|109657067|101271042|101271405|101272039|101278745|101292177|101297093|101307606|101309663|101339984|101354494|101354550|101354854|101373390|101398313|101398343|101439663|101440259|101457810|101479049|101479593|101488483|101488967|118292466|101559184|118357134|109998926|110010419|110038841|101675350|118459751|118460294|101704657|118488891|101711898|101718550|110236632|101850280|118649271|101909714|101989281|101989799|101990840|101991594|101991636|102009614|102070120|102070151|118853623|118861691|102093825|118887750|102151329|102153109|102153369|118936884|102182341|102182346|102187805|102194097|118980355|118981752|118983733|119000736|102238132|102239996|102263966|102265617|102269046|102269122|102269344|102271557|102272144|102273123|102274491|102275298|102277479|102278898|102288419|102295425|102304110|102304181|119086954|102332484|102364065|102403666|102428742|102430213|102436524|102437952|102438922|102439354|102440115|102440130|102446626|102447973|102450414|102452772|102452787|102452854|102453872|102470362|102471291|102474347|102474684|102478331|102478773|102479156|102479795|102482009|102482397|102483311|102483428|102484455|102484614|102484770|102486261|103063768|103074034|103099894|103102516|103105323|103105679|103119197|103121667|103123075|103131656|103140896|103140914|103142114|103142768|103143625|103147490|103149639|103150219|103150500|103150616|103152375|103153767|103154070|103156423|103156863|103158321|103160926|103167396|103168548|103170714|103171607|103175047|103180474|103189794|103193181|103205124|103221860|103226031|103277002|103277939|103279587|103281498|103283881|103287270|103312256|103312410|103312623|103314290|103321054|103330553|103337851|103362146|103394840|103419685|103421629|103428452|103432868|103436782|103440856|103443733|103481276|120639508|120639679|120640504|120658063|120659673|120660539|120660637|120662675|120762533|120832820|120975543|104310780|104478333|104478439|121327046|121368747|121368902|121466094|113355719|113464342|105161488|121975144|121985436|121990472|105224348|113616851|105229331|113622733|105238316|113652794|113721946|105380172|105406171|105432641|106116248|106149763|106193239|106193631|106194396|106212925|106214405|106226995|106236487|106247468|106248864|114651933|114653669|114653765|106267621|106267780|106269023|123055640|123082318|123094721|123098312|106329482|106373306|106379076|106388718|123171532|106398672|106408554|106414745|106415143|106431401|106431637|106441964|123241148|106468842|106481980|106483031|106485624|106486117|106487336|106489256|106490001|106494340|106494366|106496835|106497026|106497523|106500766|106512705|106524053|106528125|106532856|106559923|106565355|106568845|123560386|123578336|123579192|123590030|115373631|115411841|115435383|115441711|115441769|115442424|115443136|115445879|115451029|107082559|107085118|107103594|107104836|107125717|107153256|115559342|107171227|107176666|115582815|115586886|107198883|107199437|107205353|115594917|115611971|107241511|107244664|107244917|107256004|107256607|107259259|115650878|115654595|107269485|107276017|115689123|107301303|107310269|115700435|107312402|107320031|115744905|107365228|115762345|115765497|115770267|115796461|115802122|115815170|115847895|115847995|115848538|115866024|115871460|115873103|115879589|115881668|115883454|115893664|115893978|115905434|115905465|115909826|115917684|115918827|115919029|115932004|115932642|115933327|115939613|115948747|115951380|115954034|115980302|116000082|116011819|116032747|116033702|116081372|124478017|124478028|124478376|124478546|124483824|116099830|107728184|116126795|116131687|116132297|107765968|116170471|124577213|124603665|124610643|116225287|116254023|116263119|124653137|116281002|116310481|116313945|124708851|124710337|116331219|116332569|116780623|116835671|116850041|116853760|116886869|116888789|116899865|116919235|116924103|108536205|108545639|108553053|116947509|108565145|108587384|116989813|116992797|116993437|108605160|116995944|100252923|117034134|117036337|108661292|108662211|117052604|117091454|117093019|117093078|117093190|108726010|100343895|117135914|108759696|108765487|117165406|117165451|117178789|117183674|117185840|117185881|117194011|117212020|108824196|117218390|108842387|108887914|100520723|108915854|100532417|100538923|100544818|100549446|100550010|108938657|108939315|100562909|100571128|100579381|100581157|108984576|117377342|108998155|100617227|100620276|100621572|100622169|100622458|100632532|100632604|100635517|109025961|100639136|109039697|100656527|100658688|109050765|109051649|102223581|121470812|123135999|107124513
lawsuit.n.01	lawsuit.n.01|trial.n.04|legal_action.n.01|judgment.n.03|prosecution.n.01|conviction.n.02|verdict.n.01|proceeding.n.01|acquittal.n.01|litigation.n.01|civil_action.n.01|civil_suit.n.01|appeal.n.03|hearing.n.01|opinion.n.05|arbitration.n.02	100669189|100669536|100669743|100670911|100671348|100693799|100738629|100769599|109183381|109185372|109197655|109197675|109240121|109240127|109261206|100946586|109358756|101097679|101104751|101105744|101105817|101112754|101115315|101115422|101118512|101121713|101123498|101124554|101125980|101126353|101127438|101128719|101138357|109531934|109534050|109534102|109537200|101152089|101154331|101154470|101154493|101163205|101163307|101171311|101192372|101250501|101274064|101283925|118175033|118305003|118339294|101593091|118425529|101673287|118458795|101690142|118486601|118486606|101880479|118758122|118769007|118769756|118769854|102008859|118833279|118833483|118842224|118856907|118857076|118858396|118860368|118863808|102089214|102100267|118878971|118879204|118879215|118879844|118879854|118879871|118879928|118930749|102239655|102239698|102239876|102240058|102269537|102269935|102269966|102277571|102278857|102290396|102290602|102298392|102298720|102301598|102301747|102305078|102333710|102403405|102405351|102405844|102406405|102406471|102435361|102445674|102446488|102457527|102462389|102462410|102464673|102464839|102473256|102475112|102475231|102475581|102480776|103040096|103090526|103141943|103142148|103142201|103142476|103143469|103146370|103146495|103147072|103147191|103147286|103154736|103210241|103212211|103216660|103216687|103216762|103217283|103217407|103217452|103217568|103217819|103217831|103218482|103219527|103220337|103221923|103222302|103222800|103222852|103222904|103223608|103223876|103224160|103224181|103224798|103226286|103227180|103228122|103230858|103231071|103232132|103232345|103232374|103234028|103234069|103234079|103234692|103234746|103237064|103237869|103237946|103237979|103238193|103238947|103240174|103240216|103240313|103240448|103240470|103240530|103240550|103240562|103240613|103243436|103243585|103243643|103244111|103244636|103244692|103244749|103245001|103245115|103246133|103246210|103246252|103246277|103246879|103247075|103247179|103247921|103247949|103247983|103248076|103248284|103248394|103248431|103248577|103248747|103248930|103248989|103249039|103249089|103249109|103249173|103249210|103250048|103250061|103250121|103250390|103250554|103251121|103251167|103251360|103251627|103251943|103251990|103253002|103253056|103254545|103254558|103254644|103254719|103255634|103255644|103255874|103256479|103256552|103257256|103257538|103258071|103263798|103268806|103275206|103275249|103277999|103278522|103278682|103279714|103283534|103283616|103285768|103286645|103287363|103290157|103294092|103295336|103306929|103309653|103309691|103310330|103310838|103314316|103315684|103315817|103315832|103316020|103316174|103316624|103316645|103316822|103319715|103320567|103322833|103332355|103335140|103336014|103336422|103339538|103383011|103384485|103384556|103384806|103402628|103433233|103434325|103449479|103590162|103603363|103605728|120751722|120751960|120755512|120755525|120759221|120759258|120759298|120759529|120760767|120760969|120762029|120762452|120762830|120766989|120770390|120772342|120774377|120776957|120779631|120780999|120781075|120781085|120781414|120783148|104166562|104307138|104307648|104310712|104310743|104315069|104341249|121178200|121240112|121241467|121241875|121242300|121252035|121260557|121265854|121265931|121269212|121269337|121269651|121269862|104768622|104770014|104771206|113330485|113417238|105042397|113436575|113527419|113531390|113543528|113632648|105814165|105814211|122654972|106497576|106882032|106882074|115334149|115350541|115364057|115367422|115370351|115420186|107091597|115491242|115513763|115514359|107148561|107152904|107218853|107221162|107235023|107239822|107241920|115631901|107296073|107300088|107332632|107374053|107428643|107428785|107432930|107622005|116073422|107793989|116888620|108570059|108573428|108575799|108588149|108589410|108600450|108607453|108618539|108619703|108637423|100302149|108692775|108710106|117111094|117169751|117170050|117170160|108782277|108786500|117227786|108852816|108867696|108867755|108889105|108927534|108937420|117337180|117338552|117351075|117353931|108981124|108986396|108988897|108993189|100659360|100659784|100659816|100660555|100661051|100661107|100661472|100661651|100662267|100664056|109137694|109197828|109203528|109203909|100839865|109257774|109286637|117691425|109393150|101097212|101097608|101097945|101097995|101112141|109528554|101155220|101163370|101273992|101279866|101279982|101280629|101280887|101281129|101283364|101311722|101330974|101358174|101379621|101434767|101436109|101436162|101436222|101480717|101480723|109900425|101525807|101525926|101525992|109953275|118349700|101690157|101693007|101694096|101694146|101694299|101694316|101695402|118642088|101963060|102010197|118825633|118833470|118833814|118834557|118842384|118842936|118865271|102235261|102237919|102239932|102243829|102248586|102269434|102269579|102269858|102274972|102275484|102275648|102279413|102289944|102298359|102298427|102298480|102300175|102301853|102301866|102303375|102304694|102403492|102406157|102406890|102428695|103106827|103167012|103169328|103171472|103171652|103171945|103172043|103172060|103172150|103217873|103218892|103219345|103224622|103261201|103283824|103284342|103284372|103284505|103284516|103284960|103289435|103291728|103314269|103380598|103401763|103435155|103599875|120640076|120750856|120756460|120784372|120789533|104316139|104349802|104353316|104354823|104467823|104478618|104497169|121431296|113408445|113409418|113415727|113417044|113526199|113526242|113526525|113567752|113684664|122621042|122621292|106159656|114662339|106496946|115330609|115333786|115343004|115344688|115346416|115351512|115362378|115467673|107086576|107086591|107114909|107120939|107121042|107140961|107141321|115531359|107143832|115538450|107155054|107155100|115567257|107180188|115569480|115572924|107205113|115614212|107233918|107234510|107234734|107236062|107237234|107237704|107239221|107239619|107242099|107242230|107243040|115631886|107243400|107243831|107243912|107244768|107244858|107245093|107245553|107245592|107250899|107256159|107256190|107258998|107259036|107268484|107268696|107268846|107276067|107290273|107292460|107292797|107296197|107296310|107297008|107302201|107302292|107310262|107310287|107311174|107311304|107311350|107311366|107313742|107317635|107324024|107324049|107324263|107324857|107324994|107325048|107325128|107327475|107327588|107328768|107341706|107342452|107342466|107342679|107342757|107342891|107343170|107348247|107348385|107349242|107349580|107353917|107361189|107363833|115753427|107366564|107427680|107427692|115988380|116027643|116027746|116028072|116028128|116028207|116028270|116109531|124538837|116184445|116196574|116212019|108573584|108573711|116988243|108600940|108607399|108612320|108618439|108618570|108623652|117053702|108682060|108682288|117073202|100315896|108715655|117111354|117122550|108743075|117137030|117137657|100368735|117155235|117161739|117165726|117168428|117171918|108784561|108784582|100396303|117176669|100404771|108802194|100414358|117203425|117203815|100428855|117217187|117218145|100441116|100441124|100441188|117223409|108847297|108852715|108901181|100522137|108930155|108930174|108930958|108931536|108933290|108938752|117334258|117334512|117334666|117335408|117335567|108947827|117336522|117336616|117336699|117336976|117337076|117337237|117337448|117337546|117339260|117339399|117339526|117339919|117340598|117341474|117345180|117348908|117349496|117353425|117353967|108972631|108972664|108977867|100590085|100590218|108981184|108986303|100630038|100630048|100664458|100669068|101097301|101105414|101112565|101126040|101154517|101283963|101379378|109860341|101672579|102232201|102290431|102292255|102292586|102298445|102298508|102298611|102298628|102298903|102299863|102301699|102301718|102301969|102303989|103146339|103146763|103146780|103190264|103204847|103206538|103222105|103225649|103225670|103227302|103227929|103230904|103233820|103233890|103233970|103234008|103234043|103237880|103237904|103237971|103238412|103238852|103238991|103240166|103240405|103246005|103247962|103248058|103248149|103249135|103254419|103255528|103258711|103280593|103307010|103307205|103310772|103311239|103312322|103335914|103600962|103605217|103605234|120748070|120748968|120753155|120753621|120756150|120762616|120779721|120791097|120791165|120756178|104316568|104499180|113588004|107239798|107296090|115857220|107746147|116769242|108986971|109183447|100933606|109381845|100994138|109391051|109391099|101050435|101104897|101122809|101265318|101280074|101280084|101281220|101305812|101355188|101355925|118349822|118352088|118417202|102064343|102153471|102226467|102239960|102243795|102411614|102488593|102992537|103183040|103183200|103187533|103187687|103187727|103217476|103219827|103222202|103223945|103225353|103225578|103227489|103227560|103227687|103229816|103235345|103236339|103249977|103255899|103262480|103274133|103287666|103288468|103288481|103288607|103289483|103289925|103309720|103435186|120659885|120659913|120660380|104154612|104325430|121460876|113365273|106566248|106806887|106845843|123906351|107292919|124483864|116787687|100252695|100298058|100298131|100315841|108704963|100322403|100323446|100333064|100366620|100590268|101100697|101274093|109775032|109860347|109860385|109860423|109943743|101964741|118795789|102275343|102275365|102473377|103168974|103190333|103192361|120755101|113410321|106566121|115343307|107110763|107207657|108544667|108620089|117112100|117137341|117137492|117138352|117161044|108810373|117203644|108867845|108965686|108981087|108982046|108983718|108990099|109191591|109371356|101274224|101279910|101281056|110182569|102006070|102278691|102278874|121252348|113508238|122613844|106214527|106214531|107143907|107262517|100253024|108649090|108692756|108719694|100364900|108780319|100501571|101097166|101097368|101279939|101281088|101692096|101693392|118749024|102239760|102304639|102406486|103147825|103246850|103254604|103274898|104479177|108694101|100583184|109046835|102240010|102268486|102438842|102475263|102475290|102475829|103085529|103168915|103255423|104354714|104482757|117113232|100363987|100659460|101687641|118790469|113347399|109345172|103147272|101582353|103138141|102464483|103282263|113485501|122614237|107178093|107343132|115702640|100334155
justice.n.01	justice.n.01|right.n.07	117503283|117553735|100802417|100803651|100817795|109207259|100820349|100833751|100833963|100848277|100898693|109290928|109291293|109345313|109351163|100978971|100986416|109379060|109379090|109379858|109385210|101031306|101069455|101121737|101123171|101133831|101139666|101155416|101155433|101156372|101158652|101159058|101176514|117988726|117993317|101240818|118177818|118315193|118323991|118390927|101613983|101648377|101648939|101661836|110053854|101667651|110056666|118516024|118679135|118724746|118767049|101991310|101994247|118776376|118779268|118790101|118803910|102043549|118830744|102102804|102119044|118899125|102125198|102163483|102198396|102199665|102207855|102221974|102229274|102229722|102230374|102236356|102277407|102280577|102298672|102298805|102300622|102303263|119095611|102362161|102382809|102387550|102396837|102400033|102401561|102404647|102405077|102405134|102405188|102411108|102446836|102481777|102481844|102481908|102483474|102485725|102486223|102494817|102502766|103115894|103203123|103217096|103238066|103246164|103283558|103356175|103359204|103592297|120648777|120657243|120660005|104298420|121206808|121490563|105013826|113497271|105677035|105688831|105740694|122766820|106112932|106124425|106207513|106214514|106242281|106242420|106254348|106264610|106265093|106265410|106265756|106281576|123138690|106363688|106395612|106403993|106413691|106419754|106423045|106425678|106429142|106431314|106446050|106446742|106481747|106488322|106491708|106492328|106501590|106519101|106539413|106564913|106565395|106567062|106574913|106587400|123542041|123590121|115451352|115472223|107103703|107110353|107204123|107217829|107232869|107236090|107236240|107236259|115643760|107256291|107279721|107296578|107296754|107308898|115698581|107324372|107341297|107343636|107362083|115752548|115758806|115833546|124484229|116110897|124557456|124619928|116268118|116301656|116333956|108086702|116800337|116810104|116810112|116870142|108539580|108547796|108562601|108564923|108574749|108601772|100253089|108680906|117079281|108692524|117107644|117107769|108725942|100363869|100369672|108792987|108832948|100482985|108878725|100494506|100501960|100507132|100539056|100555613|100581702|108971610|100601266|100605451|100607003|100608850|100609438|100609596|100611330|109005066|100627992|100636877|100636975|100800148|100808349|101963217|101963271|102002837|102961278|103592276|100169916|100253145|100253171|100298773|100305258|100578315|117371798|100641270
penalty.n.03	penalty.n.03	117497497|100742075|100742536|100809681|109211455|100886861|109280142|117738240|101067235|101153932|101265286|101398359|101454790|101467259|101475817|101479366|101488476|101575343|109998157|110013556|110026541|101675217|101675249|101675275|101675294|101675324|101675428|101711949|101757634|101876006|101900110|101989293|101989410|101989426|101989592|101990531|101990791|101991554|101991696|101991738|101991841|101991872|101991892|101992005|101992137|102003477|102004142|102051016|102103896|102222910|102269036|102273098|102275121|102276132|102297254|102297315|102320143|102332472|102439389|102450441|102480131|102481947|103045798|103067479|103109565|103139535|103144037|103148080|103151434|103160988|103199584|103200530|103208297|103218449|103245367|103246594|103254885|103276920|103305181|103312574|103314060|103335065|103352254|103404961|120660974|121264286|121385270|121479351|113307225|113524065|105138332|121980415|122785663|123067237|123094687|123171392|106472080|106486597|106788838|115362331|115390329|115403253|115440408|115455089|115475388|115509808|115566453|107198607|107283343|107345741|107362538|115788467|124612022|124710208|124769491|108222435|116767805|116797752|116837962|108536198|116945326|116974851|116992502|108620158|117025478|117083807|117084302|108716451|108745253|108768661|108792587|108865728|100480658|108877441|100496404|100506941|108915816|100533999|100541235|100549538|108948979|100580944|117371867|100618043|100622176|100627238|109043180|100657114
vengeance.n.01	vengeance.n.01|retaliation.n.01|requital.n.02	100698239|109383774|109386004|109388371|101082885|101207741|109656344|101683557|118930005|102315328|102387905|102394239|102396161|103147454|103147884|103156898|103164152|103255775|103332517|104867373|105450142|106265263|106265361|106532186|115389647|107311248|115703066|107317719|115734135|107360537|115802071|115900134|115900220|115979992|116021467|116031809|116178702|124636000|116331340|116333870|116334319|116334724|116335308|116338329|108033606|108086672|108182662|108186557|108188134|117007807|108647571|108661996|108683032|117151662|108848128|108874683|100496159|100499675|100499823|100506900|100540419|100540420|100545660|100579028|108979338|117370491|100617202|100642078|109046726|100736946|100738256|110025636|118693924|103147136|114656974|106491847|107180734|107203095|107244463|107251072|107324140|107325163|116922369|102372288
atonement.n.01	atonement.n.01|compensation.n.01|recompense.n.01|damages.n.01|reparation.n.01|reparation.n.02|wage.n.01	100663521|100664505|109382774|101281518|101481413|102428995|102434810|102475311|103026484|103040135|103142597|103160432|103162979|103170405|103182970|103183020|103191692|103196384|103227631|103229516|103233954|103242843|103243992|103312167|103392407|103414023|120764563|121475938|107098110|107099599|107104100|107110463|107112657|107112684|107112763|107112826|107112874|107112916|107114955|107123461|107157441|115555257|107179210|115617804|115654154|115654173|107270124|107280935|107305094|107310343|107317761|107427168|116002276|107620959|124629317|124688076|116973643|116979937|100256820|108734739|108901093|100518512|100525187|100525849|100557162|100621815|100630095|100661269|101086852|102305253|103149133|103310114|105362939|105364668|107730519|109378483|120661715|120661736|120661757|100518498|101086777|101086937|103146690|103157871|103280006|100881115|103146320|117030694|103203646
justice.n.02	justice.n.02|judgment.n.02	100750775|100775156|101068159|101166644|101658184|101692727|118747494|118748954|101991333|118827868|102394804|102413509|102460114|102462552|102471334|102479945|103059084|103083439|103084114|103095772|103109839|103113400|103123644|103125357|103150360|103181967|103191652|103195554|103199039|103352281|103386682|103446324|103471712|106332188|106533030|107103931|115631371|107270274|107311147|115893563|124484190|124557324|116285446|116856947|100086820|108545836|117099506|100422882|100502389|100522004|100549436|100582593|117574890|102361164|107105109|100429292
penalty.n.02	penalty.n.02|retribution.n.01|fine.n.01|forfeit.n.01	109071085|100904542|101008995|101025286|101025304|101069507|101069543|101171257|101480479|101718330|101990559|101990925|101991281|101991490|101991811|102144770|102292395|119072780|102304582|102304627|102439346|103147299|103315599|120789348|113533592|122624324|114642623|115424720|107115189|107171318|107373224|124484262|108586628|108608470|100507484|100507889|100535786|117333302|100585815|100635955|101989223|101989243|101989296|102182197|102451609|102485759|103124295|103168104|103193302|120659954|113566875|115559771|115583723|107256687|107276696|115749712|117025863|100582466|109036453|101229860|109749764|103147363|106882061|107292374|107328860|116919964|108780829|108781114|100409370|100409591|108977888|108981329|108999897|109382803|100508449|100532798
judgment.n.01	judgment.n.01|decision.n.02	100867678|102226391|102226455|102404595|102406504|102970462|103119483|103289888|121429639|121466059|104872314|113352301|105013751|113409582|113689932|123953796|107236218|115685406|115945225|124479190|100101260|100243385|100251844|100252679|100252726|100252935|100252960|100253035|100253040|100303269|100364779|117169841|101250449|101250474|101333636|101691991|101692035|103223629|103256518|103603535|107092609|107121028|107331788|108712690
law.n.01	law.n.01|book.n.07	109360547|101280947|109727082|101383655|101904724|102235291|102274580|102301545|102301679|102303962|102310542|102464462|103140855|103852366|120639791|120766758|121236002|113416588|105081911|106223353|106268527|123083910|123157312|107091655|123901239|116899977|100322049|100397104|108849412|108926772|108927918|108947786|115434295
