action.n.01	action.n.01|act.n.02	117452917|109069706|117473917|100702781|100704558|100705946|100706789|100709284|100715993|117493892|109110107|109112669|117504500|117504507|117505166|100730698|109119656|117511189|117512259|100735458|109124113|100738380|100744761|109135979|109137473|109139443|100752931|100753939|117531471|117531494|117532136|100756872|117536236|100759792|100760223|100763057|100763390|100765344|117544830|117547337|117549209|100772567|117550649|100773748|100775450|100777520|117560549|100783622|100785087|100787525|109180050|109180075|109180125|109180139|109180155|117589506|117589511|117589576|117591358|117593506|117594548|117594761|117594779|117594989|117595002|117597076|117597086|117597121|117597269|117606680|117611766|117612226|117618722|117619685|117620867|117622302|109239204|109239768|117631318|100858428|109264965|109272489|109274757|109274762|109318355|109335119|109335370|117746392|117748539|109371482|109379731|109380461|109391515|109395237|109395316|109396514|109403592|109506853|109506929|109529923|117993627|117995360|118003024|118010782|118010811|118010839|109648447|109652597|109652767|109652921|109653498|109653632|109653964|109655020|109700331|109756997|109765615|109874005|101515972|118296134|118296171|118296619|118296627|118296633|118296691|118296915|118301121|118301185|118301199|118301795|118301828|118301909|118302016|118305599|118305787|118305819|118305924|118306368|118306545|118306666|118310046|118348317|110037614|118438479|101673969|101721567|101721581|101721712|101721794|101721802|101721813|118507677|101786036|101805808|101806209|101806294|101806330|101807834|101850681|101892692|101917298|101922358|101929666|101976830|101977651|101978421|101980709|101999713|102001613|102014189|102014247|102014266|102021108|102021537|102021564|102058779|102058870|102058892|102059187|102093370|102093392|102099824|102103469|102104687|102147795|102148603|102149772|102174106|102198691|102201808|118980296|118980671|118980805|118981726|118984852|118989425|118990038|118990509|118995561|118996747|118996879|118999428|102239622|102241844|119019141|102243520|102245694|102245704|119030967|102261384|102270872|119049694|102273989|102276599|102282512|102286885|102287346|102288451|102304172|102306747|102315145|119092396|102321254|111005998|111205491|103037202|103058987|103067008|103068801|103068835|103352774|103355246|103389641|103412655|103412753|103412805|103438416|103442505|103459122|103459142|103459303|103574392|103586292|103630501|103630681|103649774|103649804|103664243|103665991|103666021|103666775|103666821|103666980|103672583|103672714|103672723|103674694|103675659|103676944|103681635|103682485|103694986|103695358|103695483|103838434|103839077|120640122|120660301|120661115|120661152|103948718|103948750|120763009|120783589|104015637|112409072|104020838|104026615|104026953|104037991|104052830|120833535|120834993|104068580|104068618|104068637|104093578|104256541|104285802|104287413|104287561|104287572|104287736|104287749|104287755|104287793|104287997|104288223|104288582|104288592|104288689|104288725|104289223|104289346|104289603|104290537|104290657|104290975|104294800|104294837|104297232|104297270|104307070|104311762|104321505|104321711|104345766|104347481|104356376|104357547|104357572|104357845|104357857|104362875|104362885|104363144|104363193|104363207|104366874|104367303|104367625|104369845|121154260|121177935|121182936|121192025|121202056|121239792|121244384|104470490|104475002|104475065|104475473|121255530|121256712|121258961|104495024|104499137|104512131|104512153|121289990|121370316|121436682|121455719|121456396|121470842|121496816|121502878|121503245|121503296|121514571|121529283|104770386|105043093|105043930|105120023|105150665|105157376|113548534|105166549|105200421|105218144|105218631|122003221|122003336|122005431|105235732|105235934|105242710|105271848|105276451|105291292|105294354|105297134|105298808|105302920|105322257|105337359|105350666|105365181|105374716|105383835|105414385|105416833|105419073|105442421|105769567|105770247|105772580|122629440|122685921|122687169|122687335|122735038|106109880|106115688|106116377|106123333|106129131|106129823|106130729|106140141|106140344|106144712|106144808|106155462|106157531|106160660|114554075|106168035|106168085|114557233|114557355|106172717|106174437|106183455|106186005|106189083|106199121|106199197|106202162|106211570|106217827|106217958|106218927|106220919|106229363|106232717|106239454|106239695|106241318|106244196|106249375|106252686|106253958|106254301|106254684|106256916|106263114|106265416|106270022|106272154|123051428|123053833|106278020|123072980|123073572|106302934|106306612|106314127|106314340|106325164|106339431|106339799|106340193|106340451|123124029|123124062|106346892|123124546|123124629|106364492|106364955|106371694|106372823|106376240|106376874|123156578|123156808|123156831|123156899|123156903|106380428|106380894|106381460|106381530|106403619|106411818|106414957|106422022|123200658|106423842|106427739|106428529|106431969|106435665|106445822|106452064|106457848|106457888|106462209|106468517|106468907|106493964|123272361|123272636|106496394|106496718|106500287|106503486|106504266|106504460|106506301|106507054|106516470|106517194|106521361|106521386|106522048|106522758|106528130|106528835|106528851|106528961|106535925|106537710|106539344|123337998|106569336|106578009|106580509|123542212|123542560|123549409|123549853|123567214|123569509|123569511|123569779|123589792|106855352|106873765|106873790|106873850|115273953|106900787|106901508|106921819|106925034|106933149|106933237|115351373|115389696|115406786|123912925|107209636|107216212|107233338|107244595|107249603|107264655|107264914|107267831|107351451|107359941|115797662|115798243|115830332|115874804|107496622|107496726|107496914|115900188|115913503|115913988|107528837|115965337|107585098|115978823|116019113|116066410|116066566|116075144|124475547|124475582|116089742|124478350|107705265|116106854|107718728|116111484|116133892|116134075|116138478|116154011|116154493|124554708|116168939|116175449|116185493|107834118|124629409|124631071|116585374|116585398|116585541|116585561|116590940|108205823|116905073|116924871|108562539|108588080|108609872|108654173|108654834|108654877|108676241|100305950|108742107|100374969|108808295|108808534|108915253|117322929|108958108|108958111|108961191|108972097|117377494|117379026|108993411|117382162|109030376|109042739|109062349|100687187|100690265|117468975|117477026|117481425|100704865|100710221|100711984|100714655|117499555|100728580|109119595|109124651|117513839|117515672|117519746|100744534|100750697|117529609|100753167|100761982|100762760|100764846|100765674|100768216|100768277|117546000|100768990|117546505|100769586|100770184|100771100|100771151|100771200|100772065|100772503|100775357|100783760|109184869|109184879|109194145|109194149|109206141|100825043|109216281|109216315|117624733|109240651|109260674|109264555|109265063|109265210|109271918|109271952|109272897|109272901|109279436|109279752|117686716|117695368|109333299|109343449|109360539|117756152|109396433|101098037|101098060|109504437|109504616|109509712|109510249|109532897|117983473|117984559|117986712|117988626|117988640|117988667|117989241|117990456|117990552|117992098|117993711|117993793|117993797|117995270|117996759|117997441|118000338|118000378|118000879|118001764|118005120|118005130|118006677|118011649|118011680|118012407|118014079|118014098|118014995|101267614|101372308|101434285|109863671|118318469|118322646|118324404|101601129|101606260|118391196|101675467|118485685|110100945|101756123|110145254|101770521|101771186|110178223|101796711|110188799|110253831|101977435|102009512|102027031|102075448|118938005|118980480|118980979|118983727|118984601|102221094|118999671|119014797|119018292|102248704|119034980|119041566|119045073|102272727|119057709|119057740|119062376|119081792|119091515|119094671|110859186|119346040|103166463|103314865|103385203|103385441|103389006|103389689|103408074|103411341|103419733|103419941|103460144|103477860|103485476|120655407|120683025|120684744|103911084|120725973|120762043|112384852|120831117|120833708|120833784|120835509|120835774|120837500|120837528|120838028|120844744|120844760|120845055|120845171|120845229|120845585|120848049|120848407|120848532|120848552|120848572|120848772|120855227|120967913|104317441|104347101|104357657|121136039|121137794|121138168|121138186|121153123|121154245|121154940|121159200|121192239|121201047|121249360|121259011|104555251|121349549|121349889|121354174|121355688|121358028|121358291|121404381|121446268|121450106|121478035|121481683|121482630|121503271|121505721|121513100|121523645|121528351|121534507|121538047|121539572|104767021|121551954|121552003|105054854|113547864|113602516|121991928|105245581|105377328|105387575|105433207|105455390|105675835|122687022|122687117|122687252|122687595|122733136|122736376|122740181|114634671|114640984|114644240|114644456|114646576|114648200|114654867|123044973|114656415|114656445|114660726|114661993|123051304|123051334|123065312|123073502|123073555|123089943|123091308|123103776|123122986|123124358|123124360|123167742|106461470|123271445|123271802|123272378|123272409|123272517|123272527|123272712|123320916|114988286|114994877|106736982|106747653|106750914|106751034|106757587|106762990|106764066|106764646|123542304|106765349|123542677|106771800|123549274|123556416|106779476|123556781|123557276|123557371|106780381|106780469|106787053|106806454|106808525|123587968|123588585|123588923|123589252|106833751|106834205|106847437|106852687|106864609|106876492|106880729|106891923|106894894|106895297|106899427|106900111|106914337|106920065|106932972|115394400|115426748|115434074|107049011|107059541|107059904|107081277|107097349|107104364|107117496|123894960|123896465|123896479|123896683|123897246|123897460|123899553|123899562|123901571|123904933|123905170|123905345|123905550|123906575|123907931|123912973|123914737|107139523|115529032|123918616|123922610|115535647|107150017|107173729|107202651|107221696|107263484|107284534|107336473|107365136|115800876|115815150|115815297|115869893|107526428|115935142|115942470|116023237|116057107|116066064|116111891|124530507|124534365|124538017|116156482|116157035|116170861|124560631|124561651|124566828|124588312|124594677|124631098|124654134|124712080|124718218|124732131|124733153|124734262|124755214|108002751|108010791|108011544|108019088|108019325|108040380|108078263|108358566|116903864|108536376|108539664|108543096|108548975|108557259|108559610|108566060|108588947|108609381|108613924|108649984|108654606|108661909|108676616|108680895|108703679|108719022|108756483|108762959|108763562|108764299|108764357|108767431|108780395|108802878|108810831|108846501|108846724|108846931|108851178|108853894|108875972|108876015|108879799|108880079|108892803|108898453|108930395|108935931|117338459|100583395|100583438|117361042|108974836|108995933|109011274|109016392|109030557|109042907
accomplishment.n.01	accomplishment.n.01|feat.n.01|execution.n.06|success.n.02|performance.n.03|performance.n.04|success.n.03|enforcement.n.01|fulfillment.n.02|consummation.n.02	109057342|109063751|100688142|100731463|100765494|100772765|100780981|100782018|100791021|109267372|118327998|110003055|101648047|101661613|103350733|121273823|113504308|105127713|105144515|105150809|105177825|105183736|113602917|105224680|105229906|113636328|105254628|105273361|105284057|105308861|105309092|105361899|105376333|105388343|105436104|105452316|105821836|122620136|122647626|114648764|114652947|114658252|106750849|106752776|106756191|106777668|106817561|106857498|106873730|106874044|106884262|106921418|115441437|107058939|107058975|107059554|107070784|107090647|107125038|107136796|107153056|107182646|107257240|124478802|124479913|124566642|124773534|108002147|108530768|108530867|108549819|108593311|108594114|108596786|108608162|108620333|108628642|108629019|108629461|108633728|108641916|108642381|108656633|108662478|108662896|108665001|108670122|108684299|108692216|108695328|108706424|108722559|108722917|108727557|108742624|108761400|108777200|108779247|108801643|108801866|108814370|108839364|108856615|108863591|108868217|108902433|108955879|108971651|108974428|109000959|109001782|109063577|109073537|117468924|117469400|100695704|100742836|100743018|100763128|100781970|109185673|109185693|109197867|109257985|109269410|109271732|109272858|109273162|109684012|101308433|109744175|109801309|109830359|109830383|109962966|110004183|110006950|110011583|110016598|102157081|119049520|119062554|103441628|103460954|113472198|105117952|113631034|105273642|105303983|105318250|105421911|105456286|114641041|114642231|114642269|114653775|114656714|114660431|114662193|106383864|106884915|106912693|107112392|107130142|107195639|107249299|107296823|107322847|107322946|107367888|107761970|116157112|116157626|108540653|108603713|108606433|108607209|108644184|108644226|108644239|108650124|108667436|108672171|108673889|108687433|108692458|108695411|108709858|108719799|108738601|108743376|108766293|108767133|108782627|108784790|108799262|108863782|108882737|109041956|102275299|102305084|104354767|105284861|105400239|107353352|116111958|116271479|108873900|100788134|102925958|105363270|108877174|108922329|109270488|119005972|105322344|106188045|103062999|105300589|103459834|105191017|101250510|102370444|108695904
action.n.02	action.n.02|operation.n.01|agency.n.03	100694774|117483795|117483804|117499225|117529563|117536512|117589583|117601905|117620900|109329346|109354115|109400524|109403445|109507992|118001830|118007297|109656757|118109316|118303923|101721547|101785902|101785995|101786060|101805802|101980547|119295597|111150159|103479205|103586286|103630627|103630670|103664193|103664204|103667772|103672385|103695420|103940547|103940565|104026608|104047086|120854658|120855042|104175136|104175146|104220543|104289114|104298939|104298972|121178242|121179409|121186797|121193873|121200892|121203213|121203222|121231392|121246808|121251392|121256076|121263804|121264540|104554893|104574943|121551339|105048848|105119800|105167054|105272836|105440733|122690955|122729356|106140058|106140316|106143292|123051260|123067413|106307889|106339921|106339950|123124643|106357263|106427324|106454327|123271795|106528743|106572258|115254889|115255054|115267770|115267965|115268435|115268463|115268549|115268633|115268750|115268907|115268938|115272039|115273245|115273608|124731816|108650158|108808302|108903016|117377581|108994743|101980721|121550949
activity.n.01	activity.n.01	100664650|100675364|109071055|100684762|100689621|109126546|100749076|100752510|100769554|100772875|100778880|109172665|109240728|109305603|109318031|109349407|109505148|109508225|101436048|118334543|118350265|118379330|101602918|101605725|118390072|118390405|118392157|118396185|118458955|118463844|101787619|101799981|101805510|101807869|101980527|102010426|102011249|111004981|111005002|111196430|103666210|103669586|112416572|104197594|104315553|104357532|104357925|104358607|104359352|104364166|104364245|104364284|104370583|121190419|121191236|121192157|121197015|121200834|121201189|121203188|121211749|121229641|121229674|121230510|121231187|121231295|121231309|121231356|121234679|121235959|121237142|121238004|121239537|121239861|121241560|121246637|121256106|121256144|121256268|121259959|121263709|121272706|121273668|104645388|113567213|123048797|123203509|123230604|106750231|115235125|115268270|106881374|115271710|106888228|106927028|124477874|108587954|108654807|108766540|108814287
event.n.01	event.n.01|happening.n.01|juncture.n.01|thing.n.05|experience.n.03|development.n.04	100688415|100721547|109251506|109254243|101321435|118308368|109931075|103273910|103406315|120754471|105116186|105116547|105119565|105119676|105119707|105155295|105155384|105166178|105166826|105173784|105173904|105173998|105193215|105200993|105235347|105235396|105235808|105256123|105276565|105291113|105291417|105317504|105328156|105331289|105334288|105335044|105335191|105335246|105340893|105341050|105342886|105344687|105351308|105355270|105359165|105360068|105378383|105418014|105418024|105421573|105451085|105453382|105454173|105456408|105462170|105771332|106168184|123090808|106429319|106734292|106745349|106759909|106760213|106780048|106780080|106780112|106780142|106780160|106791609|106795357|106801970|106803313|106814004|106814357|106814382|106817082|106847710|106873449|106873817|106875156|106875321|106876305|106876314|106877903|106878025|106891732|106900016|106901030|106932602|107245389|107332266|109038292|105117480|105200963|105274673|105280236|106900160|101412755|105146728|103487206|103366224|106896964
undertaking.n.01	undertaking.n.01|enterprise.n.01|occupation.n.01|project.n.02|plan.n.01|attempt.n.01|duty.n.02|career.n.01|work.n.01|employment.n.02|employment.n.01|mission.n.03|venture.n.01|function.n.03|scheme.n.01|policy.n.01|job.n.02|test.n.05|operation.n.07|position.n.06|menu.n.04|effort.n.02|profession.n.02|campaign.n.02|service.n.05|operation.n.02|design.n.02	109062319|109066150|109070443|100698370|100726015|109122624|100790836|109241728|101390312|101483664|101497506|109980341|101618847|118488486|119062803|119067415|102333824|110854909|103479394|120844656|104318499|104325289|104349325|104369573|121203140|105140978|113537255|121965784|105206050|105279213|113692284|122645806|106735607|106735628|106790084|106852219|106892027|106929917|107103367|107128091|107138431|107138476|107176862|107293361|107323956|107364309|107631045|124556609|124556658|124562113|124639832|124641101|124641355|124651265|124705794|124708726|124774408|108557670|108628166|108636764|108655371|108673474|108678155|108737314|108767187|108778597|108786051|108798128|108798403|108814195|108829368|108840635|108841552|108865400|108890875|108914901|108946881|108995450|109029719|109035085|109035372|109038788|109043508|109045489|109046223|109046600|109047035|109050882|109060437|109061536|109061589|109062052|109062457|109062549|109080356|100766569|100774893|100782135|109208381|109346175|109650732|101454600|101581650|118364101|101590586|118442688|119063734|103477475|103477502|103478292|103485687|103487792|104347155|104347194|121191949|121192401|121205964|105130353|105204837|105234146|113636564|105254028|105284401|105297470|105303186|105341621|105369999|106751188|107085482|115511797|107176462|107259875|124536416|107759993|124558499|124638068|124638331|124653861|124721475|124731694|108551361|108585898|108627883|108655072|108655104|108659109|108676988|108677043|108677194|108677357|108677598|108684651|108730902|108838656|108840007|108841577|108918052|117316183|108948044|108959370|108959379|108959454|109011186|109036751|109047712|109050680|100738725|109232938|109361196|118324597|101592839|118506576|101957536|102093241|102107418|102327742|120837316|120837350|120841639|120841656|120841711|121191048|121191656|121191940|121192141|121192164|121192343|121192388|121192571|121192852|121192913|121193608|121193782|121194078|121201072|121201884|121207333|121211356|121211540|121217383|121217785|121217898|121234608|121234737|121236028|121238698|121239306|121268204|121271272|121273625|121285610|121285641|121285798|121285866|121292147|113531938|115271685|108206385|108764100|108787932|109270256|105156385|105182731|105217147|105240236|105256891|105284674|105287082|105288770|105352751|106814245|108950810|109404725|101306939|101529820|118644418|119067308|103350642|105179749|105253620|105304889|106921868|124556795|124732572|119074614|103594129|105217227|105342054|105763324|106750900|124774616|116888681|116888757|109244587|110038576|101964606|103479423|104352652|115514903|115524761|101374999|121232095|105182148|108709991|108710344|108742313|108875130|120837441|105242569|116206740|116288164|116312216|108946806|120855361|121242940|121533267|113567840|108682376|121229284|121240945|121241434|121241453|121242916|101124377|106900430|107605396|124695789|100793020|118488537|117346524|101578871|110038783|110191092|105233676|108593611|108593662|103458211|105441341|105284633|117342602|107087154|108930866|101407429|110039787|101972276|119350350|103385346|103405979|104366464|106852015
matter.n.01	matter.n.01|interest.n.01|thing.n.01	100679848|109069399|109069567|100689540|100712576|100732419|100747720|100748437|100774058|100789545|101307076|101578661|110024839|110031660|101690170|101804444|101884245|102022531|118934855|102187524|119079650|103026995|103077864|103421136|103438235|103443260|103468715|104161356|121202294|121204830|121232034|121240749|121241363|121253004|121273798|121551173|113472914|105116685|105155355|105209206|105256095|105256258|105256490|105261968|105262025|105272953|105288799|105293466|105318046|105329685|105384192|122765319|114652830|106388107|106475774|123320328|106740156|106758429|106893751|107240157|107300887|107332123|107344715|107359998|115815982|107495154|107495235|116149107|124656677|116836601|108551185|108588633|108596307|108596677|108665103|108708801|108718146|117155845|108771638|108882700|108944394|108957817|109790378|118673860|107138515|108635927
behavior.n.01	behavior.n.01	109052200|100705574|100708985|100709586|117490644|117496491|100720408|100723882|100729168|100740092|100744949|109138173|117536308|117536324|117536443|117544804|117570379|117595642|118004328|109791496|109910239|110027073|118439179|101675582|101860831|101946414|101977003|102021863|102139290|102222958|103389671|103438778|103469110|103665551|103666074|103668072|103670732|103672273|120835778|120841588|120842428|120856586|121153480|121366807|105116103|105154879|105162290|121990994|121995009|122003613|122003621|122003704|122003751|105274338|105361102|105410179|105410254|122679402|122696076|106175876|123051347|123135455|123140798|106376280|106381169|106390992|106399093|106816730|107259950|124723783|108555975|108987374|109038574
military_action.n.01	military_action.n.01|battle.n.01	109072596|100705485|109400039|101408033|102156264|119075116|111005614|105123635|105170741|105248557|105281900|105294313|105305689|105380881|105388484|105399932|106751791|106857034|106868744|106884873|106885449|107245330|107332184|107364385|116126620|108635876|108648521|108668757|108673529|108807421|108919152|105209289
transaction.n.01	transaction.n.01|commercial_enterprise.n.02|traffic.n.02|trading.n.01	100700856|101492512|101497472|109910335|101601167|101803842|102268467|102303608|103121098|103161668|103179089|103224459|103254095|120763696|104342185|113531437|106422672|107526465|116152920|116153882|116154075|124570978|124736514|117060959|108953023|108961679|108967462|108973357|109233036|109363659|109392709|101422853|101993819|102147146|121292264|100873639|123534875
