sight.n.03	sight.n.03|eyesight.n.01|hearing.n.06|touch.n.02	109054259|109060390|117468506|109140884|109140924|117615702|109269578|117680584|109318806|109319168|109348890|100966630|109364638|117947090|109827225|109924200|101594305|118373623|118378227|118446635|101697245|101697589|118492118|118492178|101717324|101747954|101748174|101777567|101787552|101837117|101838067|101876579|101895859|101920945|101921009|101928785|101928806|101928839|102013125|102029570|102029782|102030137|102030367|102031676|102032057|102032101|102055829|102060650|102105282|102115164|102115314|102115343|102115430|102115591|102117913|102118359|102120365|102120647|102123624|102148197|102148586|102165419|102165551|102181993|102306452|102314479|119127325|119142437|119157395|119348546|119367920|111005466|111165017|111172701|111172747|111172821|111172872|111173519|111173536|111173563|111174011|111174066|111174458|111174813|111174932|111175126|111175251|111175848|111178165|111178538|111178611|111178648|111178661|111178711|111178837|111179482|103572601|103574231|103579589|103580003|103581434|103581999|103582118|103582441|103582660|103582771|103588524|103589251|103654749|103655220|103655282|103655298|103655333|103655344|103655347|103655437|103655446|103655569|103655592|103655597|103655604|103655643|103655885|103655892|103655935|103655942|103656338|103668621|103669284|103801069|103801077|103811393|103811691|103812389|103812508|103842224|103872634|103872682|103874062|103891817|103952060|103952959|103953002|112391655|104038161|104047310|104047500|104067288|104068411|104069726|104069891|104069903|104100833|104111550|104131403|104132105|104132978|104132994|120973882|120974007|104472421|104530663|104530674|104544913|104548431|104550166|104550781|104552140|104552787|104553484|104554265|104565596|104565604|104565631|104565640|104566724|104567993|104570880|104571439|104572050|104575704|104589405|104589419|104596559|104598609|121506749|121507185|113334026|105051747|122006328|122008892|105824897|122662797|122732290|122733308|122740277|122766268|122769367|122772319|106120030|106122517|106124070|106135501|106136281|114553970|106171770|106172677|106176303|106188294|106192329|106202433|106204559|106206836|106212654|106231784|106232237|106243247|106254232|123042738|106266473|123051467|106303188|123108291|123108496|123148882|123149849|106375581|106379856|106380107|123158913|123159910|123161183|106384189|106385587|106408017|123208672|106440364|106444597|106447556|106457287|123237370|106461566|123239642|106465483|123260786|106495441|123280749|106504541|106521898|106525088|106526238|106526273|106538158|106543889|123329587|114984751|123525837|123528115|123565302|123570393|123573589|123573770|106840056|115255855|115262753|115442813|123894656|123912372|107175114|115825510|107527481|115943027|107779502|124600905|124607417|116237501|116240070|124674519|116299206|124751490|108051208|124916219|124918241|124918256|124918626|124919367|124919548|116537813|116537872|116775441|116783204|116786431|116826590|116826636|116834040|116859979|116864459|116866618|116904703|116913156|116971474|108609608|108662984|108663032|108663056|108741682|108889919|117359803|117368566|117369000|117370782|117379874|117572996|101086702|109803517|109877068|118841634|118994165|103583754|103588839|121212397|121251757|105120048|106250730|115256037|107428631|116780966|101759244|101759412|101928865|119117990|103580944|112385925
eye.n.01	eye.n.01	109056745|117452824|109072860|109087147|109122825|117564941|100800362|117606200|117624848|117624875|117633259|109269802|109284175|109303850|109335221|109344363|109354008|109364504|109508782|117948630|117950222|118014623|109654831|109708425|109708989|109763237|101396358|109790617|109835881|109837535|109872416|109872443|101546388|109983633|118375038|118375253|118375827|118377505|118378176|109995328|109996443|118401825|110016257|110027977|110041173|110080361|118493181|118636608|101898361|118695012|118721599|118721603|118724267|102077510|118999334|119037480|102263023|119066923|119079346|119079442|119085107|102366860|102518628|119344592|119387141|111154715|111173909|102916522|103582054|103582067|103582160|103584376|103951970|103952644|104014611|104038179|104080664|104131296|104131890|104229683|104290454|121212618|121259431|121264746|121268827|104545000|104545168|104545612|104551068|121356902|104597316|104597423|113331689|113332215|113332708|113333949|113406429|113413824|105045561|113445829|113446285|113480964|105124365|105124969|105166042|105188682|105194425|105213365|105238128|105273373|105286187|105318166|105319044|105330534|105404016|105409758|105423253|105460173|105686611|105777193|122607012|122654071|122726066|122740224|122766254|122770925|122772309|122773722|122773970|122774118|122774248|122789527|106135458|106165159|106171367|106214705|106218677|106231626|106245311|106251901|106253494|106261702|123051665|123051720|123054333|106278934|106281867|106288597|123072677|123080163|123080236|123080272|106344153|106351853|123157744|123158667|123158997|106381836|123159452|106389561|106395846|106399180|123183577|106426854|106486033|123267590|106496054|106523420|106546046|123323289|106547030|106548436|106552956|106563934|106565873|106568261|106575782|106583614|106587356|123565883|123589996|115256734|107148708|107170042|107332850|107344342|107361485|107372002|107373424|115810248|115834022|107468712|107470330|115881086|115921635|115932111|115942971|115943065|107567151|107577044|115976661|115980052|115987827|107617436|116128278|116179381|107814948|116274996|108090818|124919001|124919381|124919581|116540719|108381584|116777787|116778027|116787987|108401890|116823767|116825382|116831184|116870154|116873677|116880887|116905272|116921351|108543792|108552914|116949473|108562837|116965175|108611747|108619423|117017850|108642106|108660768|108672237|108672926|108691318|117081670|117082061|117084195|117088295|100321299|117130404|100360997|117160918|108797432|117187451|108802287|100426515|108832691|100453683|100480960|100482633|108876060|108876463|108910231|108915514|117336382|117352848|108979742|108999165|100611198|109027945|100640866
sight.n.01	sight.n.01|sight.n.02|spectacle.n.01|view.n.03|gaze.n.01|glance.n.01|sight.n.04|view.n.02|observation.n.02|apparition.n.03|position.n.03|look.n.02	117454259|109072246|117543260|117566102|109184461|117577213|100828571|109241707|109244396|109261557|109277410|117682335|109320622|117722688|109372564|117951995|118176071|118176909|101427992|109850620|109943786|118352853|109981844|118448406|118468589|101701435|101750988|101767568|118631665|118651702|101876430|118659669|118665077|118679887|101920925|102013101|102030081|102030402|102030442|102031552|102188094|102188103|119065988|119067053|102363260|102396620|102916630|103384432|103576579|103576644|103580683|103582090|103582150|103664457|103679902|103811712|103812404|103812728|120663134|103952040|103952588|103952894|112385894|112386910|104046243|104046244|104046249|104129289|104133166|104197443|104565326|121509152|113331954|105056353|113662932|105293477|113694545|113723576|122757415|122772365|122790810|106266401|123054223|106377727|106404641|106406116|106412508|106465436|106494429|106546001|106546226|106546260|106833736|115408263|115415296|115436191|107120059|107143601|107208710|107256845|107267015|107280287|115822041|115832206|115848176|107466050|115873766|115895069|124305289|115942958|115996561|116087415|124600157|116214290|124624366|124624510|124664270|116279332|116279416|116282727|116285749|116287513|116289180|116293254|124748894|108186542|108187322|108188217|100035813|116874190|116921998|108536315|108544184|108557420|117014792|117031981|108647952|108650657|108672653|117062547|108678707|117074353|117074372|100310830|108718500|108718567|108728117|100351423|108746295|108755517|117155469|117156981|108807560|117197141|108811670|108811993|117202739|117202793|100426931|108822498|100452799|108857773|108872610|108881401|100507159|108899906|108908590|108963384|117367870|108987754|109010455|100623335|100638384|109039545|109045329|109047946|100682095|109387991|109655023|109746134|118373533|101626634|101632379|110029349|118422198|101898464|118690274|118942295|102188003|119070754|104131272|104131481|104132076|104132754|104133072|104133247|104135262|104135389|113333642|113348852|113563653|113652638|113694525|113700049|105821954|106145941|106486802|106541808|115454812|107149044|107245795|107268016|107277285|107291937|107331537|115816669|115826489|115827348|116214406|116299461|108189257|116865633|116902035|108547331|108558681|108605407|108619911|108661106|117052227|108694919|117122089|108771179|117163696|108780207|108803380|100551968|108967400|117358839|100591991|100594484|108988830|109014285|109041540|109047168|109261609|101482150|118504469|118516654|102280715|102366208|104290396|105262967|105766292|114635200|123092635|106909740|107153998|107613365|108544089|108582982|117040547|117083161|108718892|117114417|117116521|117129813|117160522|117176535|117219811|109019200|117552986|118489563|119065080|106208805|106215496|106393765|106450404|115985838|115985895|117044321|117078202|108936151|109278800|109315294|109329159|101725064|103951828|123262925|115367289|107170518|108581918|108819670|108977000|109364542|101411562|118315379|118493195|103345977|113334578|122790740|106536538|106908859|101865958|102365907|106192424|106212680|106272032|106374432|106375260|106495113|108185394|109261710|101833133|107567045|107567483|115986032|107824454|108607405|118992970|115266789|115412954|108525840|108746260|102383636|120576248|117317622
appearance.n.01	appearance.n.01|countenance.n.01|expression.n.01|look.n.03|face.n.03|view.n.10|impression.n.02|semblance.n.01|form.n.07	109055535|109081430|100704528|109118866|100768161|109229770|109233941|109243920|117806666|116837342|109722458|109778482|109869377|109887970|109922174|118341412|118385231|109997063|110033305|110036995|110039126|101667882|118499063|110152274|118632897|118929107|102178022|119068193|119068560|119080090|119081122|119084148|119085210|119085552|119113476|119160863|119185168|102594298|103252110|103341123|103345225|103346137|103913532|104153396|120969054|121073780|121074417|121340954|121341057|104662692|104664348|104664633|104666515|104667552|104675922|104676008|104676331|104678307|104678504|104678545|104678641|104680575|104681358|104690258|104697156|104714421|104718865|104752061|104752492|104753681|104887684|113307719|104935069|104935095|104946803|104946843|104947253|104947410|104947570|104947615|104947726|104947933|104948314|104949509|113418409|113442261|113446680|113596459|105265060|106196675|114605263|106391978|106394894|106400140|106401827|106404196|106407553|106434415|106451457|106507246|106542591|106583669|106799882|115367983|115381826|115394142|115401440|107070725|115692111|115731602|107357401|115967539|124475473|107716466|107775821|124553260|107797551|107832310|116274622|107897893|116291913|107930766|124770675|124775420|108229676|108317408|108321736|108321740|108321746|108331616|108353137|108353179|108365001|108380970|108384528|116778064|116794001|108472761|108533051|116993052|117012051|117020456|117028406|117044256|117048466|108663400|108668435|117070861|117071114|117194737|108835907|117227752|108948908|108967536|109005933|109012219|109023991|109030447|109090323|109330720|101808283|110237410|118687829|102518644|119371059|120685812|120831029|104892792|104901188|105325506|106395242|106398965|123319495|107243721|107311784|107360405|115806830|115811892|107465942|115963214|116067800|116094480|107725762|116118031|124529836|107786880|116302880|108082168|116541849|108164650|108187871|108367412|116902781|108589641|108603161|108668640|100428451|117221583|108837249|108887100|109368371|101388318|118639289|121071949|113334308|113349561|113607681|113703545|105439533|106171806|106514180|106570015|114991786|107294557|108164632|108666461|108723841|108731735|108754469|108777773|108840076|108977678|117368589|109166677|101408780|109923276|118761400|102447453|113527237|113609746|107203259|107302402|107794114|108345150|108702214|108716450|117214262|108843390|108926787|104917482|104978315|103845751|124766152|108529626
vision.n.01	vision.n.01|vision.n.03|visual_perception.n.01|dream.n.01|imagination.n.01|perception.n.03|notice.n.02	100711228|117555701|100828302|100832593|109229991|100886204|100886224|100886287|109280336|100899959|100912892|100912977|100913093|109321459|100935238|100946402|100960695|109381743|100998336|100998834|109395335|109395530|101022353|101024155|101028375|101028636|101028979|101029486|101029544|101032898|101032939|101762698|101762723|101762737|101920418|118753237|118809042|102118668|102137397|118936129|118936300|102289092|102329054|102369149|102376295|102387736|103022955|106162307|123054559|106416529|106416618|106527498|106533976|106569397|106592854|106808883|115463037|107076273|115468451|115563258|107184831|115619146|107246148|115696133|115696534|115739467|115742067|115760868|107374773|107374786|115770364|115810823|115813884|115814540|115814576|115817227|115817797|115871034|115963995|115964772|116039324|116091213|107799158|124580161|124584074|124603350|124603482|124611407|124611552|108595728|108641370|108647826|108648057|108681136|108732676|108739915|108739974|117147859|108768723|108775278|108794177|108794204|108816679|108827285|108827340|108891369|108891965|108909471|108914740|108916053|108916097|100527508|108916473|100531683|100584712|108978670|108995201|109011889|109032166|117587244|101367209|101430933|101594323|101747998|101920404|101920410|101920417|101920422|101920430|101920438|102115299|102115474|102115529|102115807|102148463|102164872|119093638|111172770|111172932|111174122|111174211|111177742|111178941|111179027|103347457|103572616|103572716|103572741|103582530|103830594|103850643|103951851|104109757|104135671|120974022|104203123|104575712|121526250|121526258|113387868|122790833|123079623|123080136|123149509|123158021|123159255|123159481|123161062|123161649|123230564|123267538|123267551|106583962|107635262|124911877|108831105|109003781|100775353|109318415|109379400|102120921|103812350|103951383|104544676|104548451|122774050|106250025|123065456|123126837|123126840|100951822|100951942|109399440|109399553|101021056|115388812|115637454|115641412|115674331|108871138|108951768|102120415|122660945|122676835|123126916|123158089|123190249|103951020|108033697
face.n.01	face.n.01|face.n.07	109062493|117511399|109167333|109197419|100850976|109330952|118013822|109653940|109931640|110022908|110045019|110156539|101872760|101877861|119065783|119090266|102360740|119344943|103803948|120830685|104503773|121329002|121338433|121338468|121354148|113547009|105249648|122627988|122668054|106146266|106322321|106337240|106424071|114985623|114987188|114990982|114991525|106750276|106780443|123889852|123891496|123893014|123902657|107260148|107299849|115870257|115878801|115887331|115951270|115951322|116118305|124547047|107813439|107819737|107845923|124629915|116265088|116874158|108509178|116943934|108601399|108618372|108654718|117050938|117052133|108702138|108753092|100374485|117163006|108822029|108872150|116875340
presence.n.02	presence.n.02	109055498|100914147|100932446|100952412|100961100|101019421|101026253|101030730|101042107|101043807|101052283|101058548|101069486|121407993|121413138|113686039|122743723|115402880|107117358|115677589|115817736|115826290|115876846|115885549|115890092|115907262|116088997|116090621|116110546|124533646|124544293|124547442|124548695|124551129|124560105|124563768|124578557|107803326|124588285|124636988|124693699|124699824|124703616|124721603|124733758|124737503|124761238|124762229|108187859|116775092|108595915|117032113|117042322|117056294|117056816|108708764|117097733|117098396|117114399|117127354|117131653|117152019|108781815|109025928
sight.n.05	sight.n.05	109127472|109200403|100943151|109804742|101759249|118694601|102030177|103811791|120784912|104037658|104133619|104135167|104135586|121407896|121407970|121408120|121962147|105239972|105241734|113721318|106194190|106316664|106395858|106398470|106568408|106744818|115379535|107170435|107212332|115798708|115821750|115828198|115880779|115888246|115918590|107614207|116015542|116044517|116098043|116148817|107760962|116150878|107766500|107790113|116210575|107832174|116285533|116289346|116786263|116823238|116838049|117017780|108643606|117069924|108742428|100426895|108885766|108963272|100582973|100589756|100638570
vision.n.05	vision.n.05	109053743|100897278|100960513|101022343|101029520|109912950|110253841|118769333|118769344|118790672|118882411|102115462|121380397|113490450|106356375|106361480|106380397|106911328|106928689|115430197|115430274|115645776|115757424|115792213|115814628|115814678|115814708|115814840|115817138|115817345|115817566|115817647|115817877|115824158|116091253|108641428|108681348|108785836|108785854|108790232|108860875|108876233|108883846|108888902|108998403
beauty.n.01	beauty.n.01|comeliness.n.01	100683258|109942280|109951788|103422913|106376441|106418025|107342648|107346617|124476767|124477566|108397204|108686060|108777616|108882383|103340882|108852119
