honor.n.02	honor.n.02|honor.n.03|esteem.n.01|deference.n.01|glory.n.01|respect.n.03|fame.n.01|deference.n.02|repute.n.01|regard.n.06|estimate.n.05|court.n.11	109057947|109061892|109066543|117455171|109068520|109071181|100688630|109081219|109085062|109086406|109087680|100707714|117489494|100714147|100715641|100724805|100730839|109137419|109137445|100749504|100749577|117527517|100752892|117531381|117535807|117538512|100770368|117548471|109166202|100782319|109172742|117566383|100801326|117583669|117596644|109211303|109212678|117602918|109214885|109215050|117610775|117611030|117613606|117613615|117613801|109230326|109230759|109230871|109231107|109231138|109231888|109235406|117624311|109237077|100848496|109239577|109239938|109239988|109242681|100858811|117639588|100867667|100868572|109267846|109271984|109278342|109279256|109280242|109282225|100899287|100899875|109290696|109290902|117689138|109306312|109312598|109312714|117724236|117730988|109348571|109349825|109350326|117763145|109383332|109383382|101026525|101063087|101077920|109508151|109508637|109509575|117982706|109655187|101279333|101299561|101310785|109701944|101365244|101365434|101376688|101381913|101406314|109801662|101417276|109833279|101448383|101453765|109861476|109866893|101482590|101488522|109878180|101494086|109894779|109898880|101510843|101514288|101521663|118305257|101531067|118320960|118321442|101544693|109945954|118334952|109952486|118345480|101576446|109975529|109979556|101591638|109981361|101593648|101598118|101598223|101598262|101598321|101598338|101598451|101598951|118376667|109995372|101607026|109997490|109999606|101613480|118391612|110003879|101615409|110004387|110014340|110015549|118405030|118408188|118408335|110020129|110020564|118410019|118410221|118411029|118411309|118411670|110023576|118412543|118413319|118414035|118414746|118415475|118415622|118416225|118416838|110029655|118418626|118420850|118421218|118422131|118422388|118422482|118422805|110038608|118428846|101653620|101654260|118434506|110046613|101659070|101659207|110050443|101666206|110058550|101671541|118454762|118455193|101678310|118461251|118462813|118468671|118469150|118469555|118470025|118475527|118479199|118480292|118500836|101725780|118506097|118506417|110149281|110185778|110189677|110191190|110191520|110191522|110198804|110216488|110218363|110219410|110219564|110219871|110220633|110220650|110223007|110223055|110223294|110223968|110230454|110231352|110239088|110239151|110239475|110239522|110240321|118632596|101865107|101873521|118662762|101894190|118695926|118720919|118723115|118724639|118726082|118747101|118767423|118813340|102062014|102104334|118889065|102141424|102146896|102150367|102156469|118939230|102199533|118981244|118982145|102216296|119002954|102225967|102226564|102226582|102227337|119012492|119016051|102242812|119028028|119031394|119032715|119067327|119072032|102314382|119092528|119098123|119101857|102333136|102333430|102333901|102366719|102374854|102385790|102389055|102405745|102408528|102411735|102413038|102430338|102461449|110857150|102469975|102478476|102990238|103010741|103011718|103018018|103019849|103036630|103062939|103078344|103090012|103090401|103099103|103116790|103170275|103344677|103345036|103348576|103460808|103461609|103591974|103665537|103680978|103680999|103689737|103695060|120552456|120639711|120644073|120644594|120650646|120651486|120655291|120661626|120687451|120690214|120690266|120690667|120690752|120726980|120728553|120762258|120768720|120778988|120779055|104029915|120834210|120873567|120875374|120875425|120875666|120876648|120877623|120880163|120881291|120882089|104163710|120943846|120945125|120945196|121079570|104309877|104309901|104323396|104329604|104339362|104346360|104352196|104355460|121138294|104364646|121155838|121155840|121190747|121193212|121197377|121238523|121242271|104469730|104469808|104469853|104471570|104474365|104474648|104474924|104475774|104480134|121266075|121274117|121337112|121337180|121342500|121349697|121350143|121352175|121357010|121370588|104597730|104597739|121391980|121420016|121422047|121423765|121423852|121424104|121434803|121434892|121454534|121457469|121463191|121466975|121466984|121473752|121478480|121482111|121486943|121527266|121529518|121531039|121532286|121535778|121547398|121548414|121549298|121549715|121550358|104929529|104930297|113337782|113355129|113379076|113385103|113434819|105056715|113484709|113490571|113510784|113517060|113528080|105161011|121965665|121977490|121981947|121982350|113593751|121987017|121987042|121987237|121987364|121987379|121987401|121987494|121987596|121987985|121988006|121988128|121988144|113602413|105229099|105252164|113648382|113654435|113656292|113660189|113667823|113672783|113683369|113689783|113691276|113691295|113694940|113695588|113722236|113726920|113727502|113732871|113735015|113735033|105358356|105383154|105414354|105417153|105445613|105451025|105461196|105461395|113921940|113924289|105770502|105770650|105773137|105775335|122611775|122612004|122616920|122631114|122755514|106112104|106141350|106148207|106151323|106169356|106170987|106175387|106176179|106180742|106183299|106184738|106184797|106184838|106189831|106196133|106201705|106204899|106206042|106219667|106219766|106224874|106225536|106227173|106227553|106228375|106230113|106237544|106237824|106242880|106244184|106244883|106244922|106247364|114637644|114638254|106252228|114641483|106260748|106265820|114662290|114663680|106276766|114665662|114665813|106278096|106278704|106294100|106306362|106307229|106308271|106309536|123086989|106343661|106355748|106358225|106360578|106360967|106376450|106378155|106381240|106381343|106384912|106385404|106385456|106392772|106392905|106393351|106397316|106398761|106399301|106404359|106409809|106415164|106423870|106429836|106429944|106430969|106431714|106432744|106433121|106433660|106435622|106436761|106436763|106436822|106438602|106439925|106439973|106440001|106440476|106441115|106441242|106442611|106443383|106445462|106447013|106449039|106449771|106453116|106453557|106453578|106454154|106454751|106457427|106460671|106465162|106467526|106476060|106476248|106476664|106477456|106481199|106481271|106481371|106483570|106485494|106491396|106500753|106516235|106516398|106521171|106522515|106524455|106530386|106531057|106543774|123334017|106560716|106560945|106561764|106561798|106573862|106576414|106576674|106576906|106577637|106578242|106578676|106585150|106585461|106585860|106586418|106588035|106745621|106767263|123552717|123555379|106788391|123567500|115235172|106873221|115271901|115273749|106898748|106905756|106910257|106910302|106921111|106932434|115330267|115330430|115331815|115332387|115341301|115348396|115351928|115358150|115380968|115389874|115419044|115420006|115427025|115428650|115431234|115434787|115457368|107070839|107070939|107071384|115467010|107080569|107082745|115476638|107089829|107092649|107093105|107094643|107102137|107102514|107102626|107105065|107106246|115506616|107121470|115513585|115518572|115522961|115523154|115526255|115527663|115530804|107144070|115537370|115537800|115537950|115539133|107151477|115540685|107155237|107164521|107164708|123946476|123947268|123948800|107173737|115570682|115570837|115571058|107182517|107186954|115577303|107190721|115584870|123978372|107213461|115605141|107216591|115617328|107233512|107238688|115629593|115630981|115631043|115635882|107248252|107249510|107251164|115644656|107256647|107257872|115649344|107262317|107264696|115653623|107266008|107266218|107266634|107268155|107268898|107269624|107271906|107272523|107275990|115668146|107280318|107281974|115670646|107282381|107283439|115686136|107298622|115687901|107300339|115690673|107302532|115692216|115704836|107320465|115713760|115715521|107327293|107328808|107329833|107335659|107336338|107341315|107341370|115735305|115739401|107351454|107353025|115743470|115744943|107366461|107375085|115794414|115803109|115804824|115815895|115816777|107430894|115840155|115842802|115842890|115845361|115846764|115848423|115851667|115855347|115855723|115857904|115869394|115871687|115871716|115887814|115890680|115894739|124304165|124305331|115917699|107531899|115922931|124317808|124322486|115947950|115952998|115953070|115957622|107576826|115966494|115967775|115968617|115973236|115975258|115975336|115977056|115978051|115978639|115978675|115979080|115979294|115979936|115980148|115983892|115988057|115992439|107605145|115994703|107607040|116005130|116005994|116018243|107633764|107635418|107636098|116049190|116052033|116062469|107685390|116079412|116082831|124477759|124481395|107705347|107707481|107709805|116100961|116102626|116104467|116107145|116112143|116112331|116122126|116130926|116131957|107762682|107768479|124545826|107774907|124553007|124553066|124562636|116178207|107795586|107796087|124578324|116193586|116193899|124588028|124591217|116204269|116211488|116215802|107833618|124619737|107844171|124630694|124632516|124646283|124647607|124652974|124678424|124678549|116301757|124717028|124717765|116337802|124765001|108014925|108029438|108084341|108100696|108106037|108112284|108112435|108126333|108178953|108180197|108181298|108185382|108191524|108194585|116588734|108206037|108209618|108251707|108260625|108353043|108354425|108365599|108370018|108370255|108370916|108372574|100006635|108396361|100023460|100029123|100047566|100049899|100050006|116830158|116830169|116835379|116837562|116839115|116839340|116850637|100084395|108474125|116884099|100107071|116900613|100127306|116919794|116922352|108535261|108536335|108538001|108540369|108541724|108544438|108544640|108549430|100167228|108560871|108561904|108562579|108566784|108580543|108585232|108586156|108587031|108587110|108596565|108596744|108602845|108603914|108618715|108623192|108629386|100242445|100244346|100245975|100246006|100246092|100246614|117026306|100251958|100251989|100252258|108642401|108650312|108651460|108651529|108652144|108652934|108653184|108653276|108658785|108663190|108663225|108663328|108671396|108674454|108685339|100297931|117076675|100299593|100300744|100303095|108692358|108695222|100306733|108696130|108706255|108708142|117098212|100321792|100321933|108710736|100340569|108729712|100345489|100346193|117123696|108742437|117136896|108750024|100362152|117144157|117150372|108763248|108763638|108765544|100378216|117155836|100383738|117161616|117161909|108773661|100385961|117163957|117166186|108778487|108778621|100390532|117168620|108784906|117175252|117175599|100403583|117181959|117182176|108794088|108794094|108798441|100420587|108825751|117222117|117231514|108844062|117238143|108857339|108867002|100482932|108878116|108878712|100493703|108885206|108886348|100506399|108899921|100514657|100517839|100523677|108913598|108913707|108916816|100528956|108923118|100538136|108928418|108928779|100542152|108935194|117327462|108946828|108947329|108948657|117339417|108961299|117357651|108972262|117363301|108975516|117365282|117365954|108979113|108979775|108982657|108982769|108985140|108990412|108991670|108995863|108997359|109001668|100614991|109012354|109018863|100631382|100632461|109021974|109028311|109029808|109031236|109032804|109033750|109034762|109039189|100655381|109044866|100657089|109049821|109050415|100663026|117562581|100786677|109194041|117603654|100876256|109276326|109342964|109346608|109347949|101414354|101557741|118405769|118415776|118416268|118419959|118423130|118440301|101668437|110247563|101877675|102046852|102057942|102057970|102136573|102141592|102143110|102187085|102226500|119015559|119028505|102278464|102314170|102371508|102406603|102408660|102434233|103078423|103681029|103681334|104339439|104339561|104345943|104469273|104470924|121386479|121987310|121987428|121987448|121987806|121987818|121987849|121987880|122633349|122696045|106211083|106238815|106243834|123098349|123098358|106395937|106429745|106506821|106561969|106582409|123556070|106787847|115457245|107091205|107259539|107309652|115826154|115938344|116028932|116104361|116108913|116126209|116194157|116258070|108060628|108077857|108111390|108115512|108126845|108156920|108370997|108569189|108601109|108646632|108697452|108710461|108722437|108723850|108769906|108839541|108855454|108885367|108926969|108929928|100541592|109012499|109081779|109265672|109265920|109272914|101191382|109653422|109804656|101647662|110038799|101686286|118470185|118474559|118478946|102063980|102126216|102294769|103010900|103098676|103166713|104477637|107114469|115862447|115865764|115886209|115960169|115963364|115964758|115967052|115967206|115980578|115991724|115999513|116015640|116049097|116066077|116122179|116131755|116194174|107834064|116878280|116889624|108576386|108683844|108742757|108750858|108768093|108793748|108888813|117345955|107213206|115607340|115844585|115890538|115978656|115987114|116033120|116039063|116043709|116084897|116106586|116123755|107737503|116126252|124529613|116196724|116307823|116897125|108663423|101220956|118365234|101619967|101669383|103080979|103348756|105369230|106381372|115668394|116091804|117169094|110027086|120767495|116105768|116211342|116834276|108685171|108940987|117337641|117563273|110014432|101653356|121140575|115685990|100510228|102263530|115911711|108754065|108863082|108916091|117314755|101684105|104477557|106520289|106573290|108858128|122630252|106484928|115890942|116104939|102294999|105262581|106579650|121532057
award.n.02	award.n.02	109061214|109067408|100681704|100682152|100682385|100683297|100687730|100687944|100692488|109081509|100692952|100698066|100702210|100702679|100703426|100708711|100709038|100710912|100711901|100711971|100713534|100717889|100720349|100727496|100732388|100734242|117518229|100742319|109138286|117529333|100760238|100762564|100762693|100764415|100784646|100784782|117566522|100790108|109190390|100804764|100805131|109196482|109196513|109197619|109206492|109212102|100825113|117609253|117609989|117612104|109230889|117620187|109234271|109234611|109244548|109247121|100867149|100869276|109260314|100878765|109272800|109279943|109281747|109284245|117704111|117720456|109346622|109347196|117742463|117744884|100970063|109383292|109383395|109384675|109385059|109411530|101031349|101096778|109505061|109531957|109532384|109533814|109536255|109536799|109653473|109654027|101300104|109701879|101313815|109765861|109774579|101390249|109791298|101520276|109909671|118305308|118328261|118328625|118335216|101592604|101598385|101602556|109994576|109997439|101614477|101614512|110004534|110004829|110006417|118395133|110010039|110011426|110011471|110012826|110015364|110016872|110017176|110017517|110018271|118408154|118408251|118408865|118409010|118409587|118409752|118409787|118409969|118409998|118410142|101633513|110023638|118412840|110024604|118413424|118414073|118414090|118415573|110027187|118415949|118418109|110029708|118419097|110031088|118419933|110031683|110036839|110037762|101650213|110038865|110038948|110039637|110039689|110041607|101654757|101657419|101658124|101660436|118442247|101667317|101668088|101669162|101669610|101669651|101670762|118453261|118454587|118454675|118458244|118461716|118463908|118463973|118465722|118468600|118468775|118469036|118470357|118478277|118480168|118480489|118496642|118500062|118511714|118513262|110184576|101807728|110198773|110232576|101854252|110287564|110287603|118723780|102010124|102013837|102046839|102057842|118837845|102062719|102062738|102064635|118858931|118860227|118866352|102089300|102089382|118871969|118873469|102113710|102117652|102118866|102125635|102125760|102126915|102126935|102129240|102141123|102145048|102155003|102194091|102194120|118980595|102216085|102216351|102216441|102216498|102216509|102219524|102222844|102223208|102223284|102224894|102231100|102232342|102236129|102236215|102246021|102254366|102254518|102261102|102272092|102292655|119071948|102296131|102296418|102296545|119079513|119079609|102303082|102314129|102325256|102325450|102326562|102332866|102333556|102372425|102378363|102379411|102407508|102413619|102433511|102434278|110853690|110859002|102477962|102481270|103030852|103062325|103127089|103128684|103129763|103131710|103132962|103134802|103135432|103136130|103136254|103137672|103142574|103154014|103160017|103164784|103175877|103176253|103181736|103197808|103200191|103200206|103304798|103340945|103344773|103344783|103344880|103348306|103348514|103348891|103364342|103413058|103424918|103443072|103450249|103454132|103465493|103468329|103689757|103691003|120726958|120769835|104309858|104310055|104310830|104311450|104319160|104319335|104319355|104323376|104323821|104326721|104332498|104334242|104335356|104342728|104342839|104344187|104344436|104344584|104346016|104347070|104349268|104349448|104350618|104354363|104363186|121140477|121155966|121160534|121177949|121190707|121191090|121191810|121192237|121192860|121192962|121193146|121193735|121197265|121205489|121240922|121242388|104472920|104474358|121255985|121341122|121342552|121420643|121420668|121423432|121423842|121527277|121549646|104870682|105042480|113504163|113543941|105157563|105164935|105215745|105233800|105234121|105283446|105283463|113684373|113691094|113691212|113691241|113691418|113691521|105305405|105330879|113732797|105362607|105367185|105369969|105383177|105407075|105410494|105410885|105411010|105415926|105415970|105416079|105416090|105416131|105416171|105416209|105416276|105416312|105444548|105461250|105461677|106120496|106169008|106176219|106179187|106192365|106201131|106201273|106207144|106208351|106247332|106247401|114637268|114637801|114638183|114638423|114638773|114642147|106259339|114651202|114661743|114666150|106280651|106314599|106355740|106388282|106402103|106449292|106455147|106482700|106491633|106520970|106521695|106523587|106524061|106524422|106527095|123316153|123320520|123324041|123330638|123336886|123339238|106564432|106571810|106573538|106574211|106576821|106577348|106577419|106577606|106748362|106749159|106752999|106777839|123558710|123562598|123562723|106789499|106849648|106850433|106850475|106869431|115267930|106879609|115268331|106898807|106928196|115330163|115333580|115341095|115344049|115357573|115392145|115394332|115410456|115411236|115418953|115424833|115426638|115428158|115428432|115428601|115434917|115435321|115438602|107051153|115448004|115449648|115450721|115450746|115451661|115452939|115455894|107068101|107068351|107072025|115475565|107089661|107089725|107090902|107092534|115487249|107098921|107102244|107102388|107106322|115495382|107106867|107107035|107107231|107107263|107108289|107108622|107117259|115506054|115509190|115511409|115512148|107135461|123912809|123913533|115527628|115529885|107142335|115539902|107151556|115540297|115541596|115543144|115566962|115578427|115581231|115583640|107195713|115584609|115592370|107205504|115594754|107209269|107210725|107211510|115602346|107216977|107218326|115607009|115607198|115609432|107222451|107224613|115618314|115620146|107239966|107248904|107251198|107256462|107257969|107258720|107259192|107259704|107259749|115649252|115655210|107267522|107267817|115671901|107284537|115677116|115680476|115681767|107300519|115690867|107312419|107316217|107318256|115710543|107323238|107323302|107323335|115716677|115718757|115720646|107336327|107336346|107336374|107336728|107341754|115739361|115739384|107352093|107353109|115742124|107364784|107366406|107369674|115758756|115792064|115800786|115813956|115816060|107427748|115818296|107431786|115839112|115839207|115839236|115839321|115840174|115846424|115847064|115848800|115877182|115877199|115885208|115893746|115901578|115903614|107530252|124317015|124321274|115945479|115957717|115969323|115979743|107603056|107630839|116026729|116026950|116027003|116027024|116027354|116028427|116041602|116041615|116044071|116048418|107671416|116061017|116061115|116063594|107686863|116079969|116084704|107705557|107707364|116103287|116109138|116114370|116116510|116116563|116118623|107731007|116121185|107737533|116126449|116126515|107737976|107738322|116127119|124533679|116145476|107765352|107775350|107780731|116172850|116183740|116184294|116189933|116191696|116194582|116196819|124599427|107822531|107827683|107831508|116226537|116244609|116252836|124647797|116267482|116329522|108083084|108093894|108154338|100007288|100049924|116871355|116871435|116900459|108531316|108533666|116925441|108537035|108541683|116943160|108560267|108573997|108578356|108582625|108583020|108584295|108596075|116987733|108599578|108604364|108611778|108627167|100243597|100246298|100249669|100249834|108642331|108643969|108652811|108653352|108662740|108664086|117054290|108671580|108672099|108683796|108684794|108684997|108692859|108697092|108703257|108708948|108708988|108710278|108722390|100334053|108722973|108723013|108726433|108727261|108727267|108743187|108743914|117136963|117138545|117141857|117141878|108757383|108763546|108765439|117154730|117154883|117154983|117155029|117156488|117163101|117163140|117164650|117169076|108781468|108782102|117172745|100401933|117181223|117181232|117181499|117187336|108799921|108803230|117192263|117192286|108806516|108826179|108828246|108828281|108832751|108836576|117236922|117237085|117237092|117237397|117237503|108850384|108851802|108853656|108854835|108857686|108880926|100502828|108899610|108912817|108913066|108913664|108915931|100528547|108928082|108928099|108936303|100550091|108958299|117366943|108979160|100593702|100594073|108985474|108991838|108992969|108996541|108997071|108997188|109001735|109001790|109001807|109003593|109008052|109008874|109016878|100631503|109021993|109027567|109045556|109048070|100662979
price.n.02	price.n.02|monetary_value.n.01|valuation.n.02|value.n.02|cost.n.01|price.n.03|price.n.06|worth.n.02|payment.n.01|asking_price.n.01|invaluableness.n.01|importance.n.01|consequence.n.03|bribe.n.01|market_value.n.01	100787581|101327913|118175086|109797099|109801374|109809703|109812654|109817919|101501357|118343977|118383104|118413493|118413523|118445821|118472221|118472385|110109427|110167205|110168716|101960141|102066644|102290442|102290606|102291029|102292408|102296792|102474425|102474622|103062459|103109792|103143964|103217901|103226913|103235301|103258352|103296249|103296415|103298167|103298487|103333801|103599805|103603188|103603200|120688900|104165802|104166782|104169591|104303366|121329516|121329821|121341208|121342274|104718602|104718620|105269898|113762089|106396174|106415066|106473995|106492497|106536399|106561334|115406018|115442626|107160862|107160884|107160897|107229988|107291339|107325224|115849277|115936763|115991952|115995744|124573229|116230358|124625728|116298779|124718369|124721118|108110983|108177832|108271158|108577375|116986374|108712618|108768264|117162495|108779076|108779089|108812855|108814463|117318356|117338422|109010567|117477513|101095739|101353533|109825863|109989114|101625081|118472452|118512051|110167133|110167249|110178242|118684521|102289731|103233616|103235755|103259433|103262618|103286059|103301192|103301533|103317492|103317531|103317632|103317695|103318856|103318901|103454683|120782868|104147659|104166768|121329802|104905406|113377445|113405805|105138041|105764436|106397038|106397538|106400257|106469071|106469107|123319456|115442584|115466533|107231118|107232380|107234889|107375677|115819548|115819672|115819857|115820127|107828730|124718342|108577365|108646003|108705415|108859091|108877461|108935545|104959798|104959809|104959837|104959856|104959883|104960092|104960114|104960276|104960286|104960372|109210841|109698254|110214683|102021318|104483555|106495720|108552425|101116816|101616591|103298521|117109750|110109380|106500020|108112215|117374083|103125367|121330756|115857529|115914837|101788421|103681569|123889407|118514199|102073211|102290635|102290700|110230880|106428019|107741424|108331129|108707678
dignity.n.03	dignity.n.03	109385032|102373316|104347741|113345352|105162108|105354341|106754764|107082534|115613204|107261515|115846219|115846315|115846632|115890649|115891169|115894113|115899392|115900769|115916943|115918626|124326199|115961629|115966383|107591320|115980929|115981444|115981477|115984868|115989669|115992621|115999496|116004811|116035843|116040960|116042537|116054539|116088011|116092734|116093085|116120987|116121750|116121852|116124543|107737570|116131498|116132543|116132583|116132713|116133367|107756114|116153176|116170147|116195667|116201818|108597175|100249692|108840576
value.n.03	value.n.03	100727045|100768166|109345366|101105735|118382674|102232675|102289799|102289830|103216382|103246385|103296171|103296189|103298433|103298554|103451569|103602204|104166637|104169441|104169474|104941777|104960034|104960197|106460108|106469369|106469388|106474046|106492638|106492781|115838104|115858919|107590035|116140551|116296742|108148090|117006629|117031194|117034494|117215004|117215579|117216588|108928799|108962393|108962833
wages.n.01	wages.n.01	100686845|117465182|101446603|101512486|101521337|101599445|101718341|102082175|103136178|103137838|103138667|103138741|120658061|120659671|120659940|120660917|120661466|120662673|121375948|121392257|121479614|113368425|113538376|113539307|123098315|106453191|106846968|107269578|107285899|107285985|107375198|116005885|116213781|116214092|116588669|108717827|108761540|108799110|108928357|109051481
worship.n.01	worship.n.01|deification.n.03|idolatry.n.01	109273071|109351169|109504922|109507879|109922241|118450920|102187688|102225726|102267690|102408210|102960005|103461395|121421682|121535688|105053837|114554258|106512247|123581002|115665022|115672577|115690398|115706337|107329276|115719289|115812421|115944929|116066101|116105631|116160875|116170211|116172916|116894540|108562335|108563889|116971573|100506192|110020717|107668982
function.n.03	function.n.03|character.n.04	100888806|100923773|100946961|100985129|109508551|101504381|101505384|102232536|102403247|103681075|104300550|104310973|121192652|105157228|107232792|107236073|115664270|115688023|107352788|107494706|124555898|124604667|124643137|124714847|116807217|100241871|100245795|100245818|100246378|117161916|108912933|100588746|100588977|100592364|123098251
eminence.n.01	eminence.n.01	100751096|100775031|101210671|101504463|101518078|118322488|101615200|110020554|118467407|101945468|102212826|102303550|103081993|103090297|103090453|103117631|103145059|103175843|103181307|103181431|104771948|105252200|105263171|105269190|105331027|105414311|105425904|124324099|100180735|108680487|117207874
dignity.n.01	dignity.n.01	100704806|113371346|105267921|106219606|106754712|115846504|115846777|115899118|115976486|115977406|116017597|116042260|116042378|116064158|116068959|116071527|116102610|116104343|116111834|116121762|116201730|116253121|116305145|108575747
