boundary.n.01	boundary.n.01|boundary.n.02|margin.n.01|limit.n.04|frontier.n.02|boundary_line.n.01	100763032|109187374|117579516|109196739|109285235|100906872|100959238|109356896|109593270|109851105|118391679|110025915|101638383|102158549|102173943|102174299|102265568|102265764|102277966|102277967|102277978|102388008|102391943|102409883|102514378|103041815|103085851|103168024|103467044|103566441|103649191|103649212|103649233|103649300|103649310|103649334|103649357|103649370|103649427|103649448|103649470|120727777|120766712|120771540|120780908|104105383|104138696|104157297|104161604|104239019|121288771|121289546|104517049|104769765|104870381|104871982|113365008|105042671|113531284|113617978|113686332|113761461|113920292|105860195|105860210|122790105|106111800|106111832|106111926|106112072|106118362|106123167|106124358|106149846|106159609|106199304|106199570|106200122|106206018|106230840|106231903|106234363|106254367|114653494|106286066|106295886|106297378|106310335|106312575|106319068|106336223|106342102|106364909|106365751|106368148|106402207|106425353|106437852|106437867|106437905|106438858|106464113|106520601|106528623|106534686|106552506|123551157|123551347|115264122|115369445|115427323|107059355|107111029|107111224|115579413|115601256|115601984|107256798|115685400|115689061|115692940|115700502|115722085|115725744|115728085|115734280|107374987|115856292|115878837|115892232|115913287|124321130|124323270|107547662|107547934|107550829|107552514|107559451|115950424|115950918|107566141|107588246|107588320|107605824|115995571|116003592|107615124|116018763|107630611|107634925|116023573|116029122|107645189|116047947|107690654|107700156|107740107|107746952|116145321|107765244|116162661|107776758|107789219|107789413|116181907|107823716|107823972|116222302|107840250|107843894|116236565|116253912|124647220|124747624|124777736|100065989|116879863|116927600|108566548|108566624|116957698|116972468|108592858|108633951|117025723|117072616|108737691|108751926|108762495|108762518|100391549|100407516|108817713|108861582|108895839|100546157|100549040|100563533|100571595|117355443|108968414|100584326|109015392|109189819|109196730|109200311|109210965|109212403|109231360|109231409|109235190|109247572|109250653|100891098|100978305|100997928|101021286|101021294|101030925|101040864|109999069|101650348|118673918|118677942|102183737|102183764|102184256|119062366|102986162|103041871|103067555|103467425|120553672|104870092|113388985|105041933|105116343|105158667|105336929|113760714|106413362|106505150|106775997|106819814|106823302|107054566|107110984|107111096|107119079|107137840|115578936|115579430|115583826|115596154|115601210|115608549|115692919|115704456|115717486|115720242|115721290|115721634|115722077|115722098|115723611|115724256|115725209|115728882|115729140|115729459|115730617|115735184|115740597|115745489|115745910|115749183|115770882|115853845|107536282|107538141|107547961|107593096|107640301|107656911|107665591|107684935|107698018|107731216|107731462|107746635|124537113|124537250|124549035|107776694|107779179|107779771|107780318|107797107|107812551|124658766|124742910|124750162|100113262|116960435|117013879|117072814|117092849|117112416|100347836|108764935|108838389|108861563|108907211|100577136|108968406|100583494|100692020|100854177|100916282|100942396|100969851|100972354|100981274|100981293|100991877|100997880|101030902|101070648|101353706|109775099|110003924|110032359|110042834|110042935|118506260|102243932|102269024|102269144|102273977|102276265|102353403|102353509|102407771|105201476|105203521|105209902|105232002|105384295|105393975|105434918|106187890|106410299|106414782|106443294|106455188|106801677|106820528|106826349|106826433|106842559|106864426|106864530|106876691|115358743|107052263|107110385|115573550|115606557|115607043|115607190|115609452|115643742|107307626|115702036|115723468|115724884|115728217|115740746|107364436|115758724|115768599|115787789|115827116|115849244|115878939|107595917|115997076|115997933|107656739|107663026|107672177|107682921|107727477|107729792|116123937|107740769|116136123|107779276|107800925|107801342|107808903|107827637|107835362|116226229|107838615|107839540|116263791|116263832|116900642|108573742|100336523|100500825|100536932|100593629|100617036|118302591|103170055|103831602|113709941|113709949|113716925|105455272|114651227|114652706|123245077|115259529|115864950|107547689|107581496|107603554|107604906|107609842|107642235|116175772|107799321|107825280|116235999|116275157|108397805|100326221|100329204|100391563|100391612|100420139|100997899|102431314|103168505|103168712|105129030|105275762|107553523|100956328|107053755|107553445|117225446
definition.n.01	definition.n.01	117488172|117636805|117636966|117637091|117637341|117637365|117637378|117637720|117637745|117637783|117637796|117637801|117637810|117637816|117637842|117637883|117637901|117637989|117638019|117638591|117703674|117947650|117947679|117986335|109882374|118291245|101780505|101780720|101791723|101801331|101871651|101995273|102051362|102191840|102222224|102230692|103518680|103540094|103543828|103543851|103543953|103557525|103558190|103558242|103558334|103559352|103559354|103562257|103562729|103572863|103572881|103572899|103669549|103801327|104020064|104045138|104054169|104059985|104060810|104061447|104061808|104064015|104064525|104064560|104065856|104068381|104068869|104071750|104215290|104287405|104288498|104308544|104476684|104488777|104531449|104531593|104561073|104561585|104561619|104561747|104561760|104562232|104562315|104562860|104563039|104563095|104563188|104576766|104585156|104585277|104586199|104586335|104587198|104587234|104588704|104592041|104592455|104592563|104592839|104592994|104593054|104593712|104593788|104596593|104598742|104598797|104598850|104598920|104598986|104599209|104600032|104601423|104601602|104602524|104602597|104602620|104602689|104602749|104602778|104603463|104603591|104603712|104603725|104603757|104604117|104604200|104604287|104606696|104606838|104606913|104647553|104647839|121433572|113329249|113351908|113431044|105366895|122647601|122656728|122656746|122656766|122659840|122661016|122669032|122682958|122682962|122683590|122698819|122698855|122698864|122704158|106273461|106311201|106323312|106323368|106323403|123255680|106502747|106539067|106552597|106556368|123594524|116553218|116566851|116566872|116566884|116566915|116566970|116566979|116566987|116567014|116567021|116567037|116567053|116567078|116567089|116567098|116567103|116567161|116567205|116567366|116567388|116567397|116567404|116567450|116585896
term.n.05	term.n.05|major_term.n.01|middle_term.n.01	103495377|103495703|103495745|103496621|103496885|103496906|103496927|103496975|103497426|103497447|103497544|103497704|103497885|103497987|103497992|103498423|103498676|103498694|103498722|103498851|103499116|103499124|103499545|103499812|103499827|103499891|103500348|103500489|103500524|103500550|103501387|103501642|103502025|103502312|103502374|103503863|103503915|103503978|103504011|103505472|103505570|103505907|103506774|103507591|103507627|103507687|103508001|103508655|103508736|103509085|103509297|103509634|103510159|103511201|103511217|103511408|103511524|103511657|103511678|103511770|103511808|103511825|103511836|103511868|103511873|103511892|103511923|103511932|103512018|103512356|103513727|103514427|103514556|103514674|103514906|103515066|103516256|103516453|103516483|103516570|103516728|103516805|103516966|103516997|103517602|103517913|103518112|103518215|103518442|103519232|103522113|103522148|103522369|103523777|103524299|103524478|103525388|103525447|103525554|103525666|103525838|103525880|103526374|103529688|103531312|103531973|103532000|103532515|103532599|103532695|103532735|103532818|103533526|103533970|103534058|103534511|103534557|103534593|103534648|103538222|103540217|103540391|103548195|103552728|103553213|103554445|112400796|112400819|112400879|112402528|112402607|112403467|112403569|112403833|112403935|112403978|112404903|112404933|103551001|103554457
limit.n.01	limit.n.01|extreme.n.01	117577506|117579876|117595054|117764832|117949392|117954808|117983408|117993411|117999601|118014138|118350664|118351360|101828875|102067458|102128176|102129917|102232659|102232671|111151363|103159830|103168686|103174509|103247727|103249372|103649244|103805805|103830774|103830784|103835189|104267094|104288459|104288544|104295179|104302461|104310206|104359468|104513249|121347619|121355995|104916185|105054369|113522463|113537128|105259234|122722202|122735888|106113008|106129919|106167021|106187229|106187377|106187497|106199029|106199512|106241575|106251591|106257333|123074545|123074581|106341919|106381734|106426933|123228876|123261091|123261106|123261164|106486736|123274611|106516453|106522720|106573315|123551397|115423859|115608942|107232862|115865466|124324224|116098339|124644647|108598914|116996339|108740399|108776393|100592069|107471387
urine.n.01	urine.n.01	110392925|110394551|110398031|110398563|110398714|110400281|110400986|110410411|110420088|119117375|119138007|119144863|119159177|119164961|119174059|119181530|102520616|102520690|102520747|102524054|119342158|119342203|119342246|119342456|119342824|119349598|119351427|119356112|119356373|119356397|119356677|119356685|119356758|119356944|119356968|119357087|119368247|119368287|119368710|119368842|119382529|119383329|102643222|102652688|111172174|111201563|111202036|111202094|111202323|102916172|102916515|103378077|112424735|112452773|112453408|107791642|107815109|107815124
term.n.01	term.n.01	103497199|103497302|103497509|103498238|103498359|103498496|103498560|103498584|103498649|103499047|103499079|103499440|103499608|103499776|103501675|103502090|103502480|103503883|103505276|103506655|103506711|103506763|103510091|103514642|103517003|103518189|103518687|103521119|103536542|103561364|112402543|104019888|121221199|121248694|104593641|122682927|122696442
frontier.n.01	frontier.n.01	103168486|113476227|105150944|105151512|105207783|105314741|105430233|105434937|122700899|106921368|106929799|115626390|115627545|115629238|115631205|107305175|107538083|107538098|107554703|107555374|107555420|107555732|107567306|107567683|107582135|107591050|107600752|124589564|100502674
premise.n.01	premise.n.01|condition.n.02	103499210|103502103|103505928|103505990|103506038|103506611|103507672|103509074|103509652|103509719|103510901|103511088|103511111|103511119|103516250|112403422|112403428|112404301|112404322|102285210|107470352
criterion.n.02	criterion.n.02|principle.n.02	101802590|110857338|110857786|103097239|103671795|103695443|103695496|103695704|103695736|103695754|104323967|114666308|106493655|104351315
factor.n.05	factor.n.05|divisor.n.01	121194566|121227752|121227904|121277179|121277333|121277512|121278746|121278876|121280172|121280198|121290419|121290763|121290784|121194523|121194802|121277672
mountain.n.01	mountain.n.01	110009260|118664381|105051094|107079345|123997820|115942085|107556574|107557575|116093725|107776991|107824615
term.n.04	term.n.04	102093300|102161428|103499456|103501688|103510026|103511940|103534118|103550717|103550811|103550961|105896338
column.n.06	column.n.06|column.n.07	103205805|103224594|103225348|103225439|103258245|103260593|103294734|103294831|103592208|115922294|117187432|103224674|103224761|103224794|103258943
