luck.n.02	luck.n.02|luck.n.03|bad_luck.n.02	109390977|104470295|100341851|124676129|100450712|108724319|118472813|107061596|116288363|100451734|115234481|108930818|102322881|103097759|124569367|122671792|124633595|116048367|113479860|109062659|100547883|124482704|103560307|118308030|109954220|104216970|109318103|106363256|104219442|112416346|104218149|102098427|101755450|100589592|117151086|123276853|104217986|103097951|100320404|102281222|108811716|105258224|110005197|109140877|101342436|124698816|109140507|100720985|117221260|116226752|103026350|114634217|124725525|100351109|124670894|118938507|104216880|100591047|100504530|124711631|124725731|102021798|107059870|108787584|124634152|103124585|112385814|108756086|117350580|103693880|106864267|109289495|104216923|108633448|108687254|119072340|100413773|124755311|106926106|124666590|104488597|123274578|108955659|100323320|109398417|104082620|107084181|122736003|100378406|109140476|100334078|109180078|100596710|100674913|109055339|108590524|107101505|109320303|102220301|124701010|117035924|101963689|102322389|116253813|102466169|104362812|107101386|124601799|109994514|103665946|117055183|104475956|104216951|112424874|105355611|108808519|116271706|124777613|124755283|102375687|109833792|101366660|124762569|104216829|107285743|102472738|106188594|100377322|121218058|105350474|108834378|114639596|109140718|104475927|104220078|109140840|100570033|116774278|109140503|124706555|118847323|106855820|102319434|107117071|100807785|104493836|109141340|124756928|124767033|124726043|110045081|117727645|105064526|102361798|124617954|102457320|105304378|108671036|105068004|109060031|109952481|104068854|104217068|104476348|109039014|107117341|104218553|106833136|119069484|105053795|123276862|109140472|103405210|104220140|106420942|106360082|109313628|103693889|104218226|103089276|115440992|105270898|108637937|108678021|100416951|118306709|124660602|124649683|109257039|109873863|106792755|123274548|104086451|100390577|122788334|109043256|103560287|113476971|105438626|123591196|117694790|109207998|107172949|105054485|102367988|115423408|104216868|124666454|104217788|113306451|107207442|124554779|105349542|105455080|108915593|116221633|105323993|116190891|118441980|112420312|115498694|104017988|104218110|103109662|100573442|101449323|124614849|104217012|124702861|113479226|124757616|123270876|115797854|105454223|105680690|108572539|101979832|108753802|105155805|103693734|103353127|109141532|105353535|109140698|118474131|109300309|100603767|102220247|124533717|103694368|101880946|117557421|106909666|101280307|123277081|108725050|101622808|123333244|100689626|105459867|104313042|104220112|109392218|101570600|106352930|104216858|102434204|102395055|105374740|117014595|118812995|106228874|102233713|118635047|106528294|104356235|124721062|104573467|104217658|101254640|104218638|115475261|123277893|104218165|100692299|105424336|104082569|116141556|104217364|108887186|108872724|106918158|124666487|101963639|100663679|105136521|123277085|100718027|117129162|115483333|104217932|106869773|100586768|104216962|123274600|116066643|102281264|108811965|118306211|103046627|102410958|120648957|104217345|109301167|101065568|124650261|109997361|106505354|109140537|109140822|108908955|103268429|124715076|101663619|103447626|100502254|123091561|103296091|116255840|121258181|108662630|107060004|115455347|124714462|108787927|124636511|103438480|124754253|103623881|109267694|103440842|117152974|120552585|104217828|101724496|124726685|109010215|106381315|103693724|104303052|109089781|104217053|124701155|108620394|104217967|118753915|124720708|115493824|104219433|105276670|117312767|105414228|104217026|100900886|124749460|100645368|102281316|109315396|123281617|109140703|103560326|120785015|105303928|108867075|102076539|106535632|102386445|116020788|108629839|116253031|107778099|118497012|118495969|108649930|108976072|102362145|108959290|124656689|103833805|118932440|102281382|124697784|101902835|108993721|116847538|123274541|102300454|104363335|109058441|124707561|118631520|108831859|102310795|123274649|118314402|122645562|124726531|101027704|124717535|109937183|121339337|105304909|108894941|121326488|104217574|106460740|104769294|123273330|103343696|115468443|100402580|100732167|104508213|106846009|123590592|117151137|109041571|108650832|116075130|114660924|106763177|124728127|102381762|108857267|100659657|124693459|124662794|102505640|116265826|107082485|101191633|103428880|100543017|104218246|100589807|100605536|118676160|101366683|108662617|123536411|109182071|112414437|103024832|105318336|121552240|109391331|104218292|108776362|106399127|124775179|108701502|105068281|109254986|116102380|100802247|103088821|108857231|113582095|123590600|109180141|117983026|124651643|104216997|104217090|124767290|109026687|105386576|101027692|106393703|124709410|114639840|104476312|104217162|123273352|116051237|105053778|109140895|107117973|116039315|119071463|109774155|103693405|104216901|124478164|102220180|109405790|109834183|118380812|100375715|100530206|104218075|123276007|102278358|106481712|108582715|105224551|103072706|108661747|124665601|100830152|108548999|103834194|109111389|104082586|104217063|124727046|108671067|116244268|116876162|103432847|102215976|105455434|124545905|103343554|124559465|102387272|103094504|104363012|108819200|104218306|116176900|108685258|109248342|122767095|109353523|108615426|101724864|124707751|123277151|124626817|104218160|100821768|124702198|103672672|117965257|102300806|101769722|115639973|115535874|105314555|109141613|118934375|106157902|109050721|107293495|117211140|109279159|104489066|102434402|102395109|104015522|102281439|116269445|124760718|117120001|112454589|109140734|104217483|101274912|108874961|108698195|119071077|109300862|117739433|106536238|107197519|118436154|108584161|124547237|108643362|124710428|124617283|124695076|109312746|115641073|109912254|118468925|117213595|124568564|104217428|102503092|102156047|116036451|124768159|108654094|104218010|103344833|108563986|107128631|108929802|101273709|105135171|100712128|124615473|102382285|101882047|117188714|124669741|124765442|108912015|105453560|100758498|124572846|103034759|115733805|104356240|110014865|115484555|107196182|118832014|103693832|124620969|118863585|104218537|118493552|101262646|123213540|116093923|124482722|104476030|118429697|101003459|104172055|116047781|123276841|115970406|108539981|122664512|115391701|109300322|109391389|122676439|124688149|106339766|107368836|104217222|122734665|109390153|108825542|113602459|109357854|108928680|105422281|107117911|103049935|108624792|107238802|122645601|102490972|103090330|124555266|109792819|108728260|102430357|103693419|109057404|104290900|104217806|109270775|105055659|104217473|105373076|102465181|122767109|105224343|109301224|114635543|106898991|104217782|108657693|100422223|116151188|118928353|124624416|101474246|100332828|108704015|107075057|105043375|104220084|104218394|109301201|103078411|118926271|124702920|115637639|100642003|109832274|118485306|108603486|101367110|109140584|108745152|124773416|105303446|101308701|123588713|102236934|109796163|119071531|103409403|124603716|102148679|122734975|124707153|103693867|100753901|105117912|108831892|103443316|119062359|105363486|104218169|102212469|102389257|102452681|106536497|103693808|124765565|102154700|114643741|104298098|107668337|101366915|124740248|100673726|109041723|104217466|103054862|116304140|106855921|104216843|107202908|103054922|107117878|121202231|110028987|109036749|109141448|103628756|116242202|114653385|109038501|100659398|108870628|115352832|118487453|108880799|103503042|106754456|106402556|101280766|100966755|124768201|109200010|104055227|117164124|110036404|118442167|124581736|100545913|103693942|117983280|104470356|108524749|105082932|101670100|124619775|107089710|113476996|108802139|105159236|114643794|124482838|103693782|105235943|108600541|116235946|106468498|117986513|109140600|124685247|104217341|104217434|109828830|109301117|106370139|123067854|102281348|104478855|100738385|123048207|117743333|104217487|124574690|121204181|115486282|107180090|121268559|102232734|100743900|109833803|100378460|124534711|100586554|107561226|108866160|101252642|115427358|104493066|121237417|107117505|102220775|100396446|107293417|121197279|124714407|103093176|108686250|102413323|116999157|124605746|117129053|100844469|115564372|104573412|103240970|118855717|109534758|102311661|107147492|121196874|124699637|109030866|100604150|108584546|113477600|109538161|112417318|102396117|108854914|101665693|109193553|121206351|108976388|116270421|103355063|103366194|101660735|121234760|113502546|118473024|103694421|115675223|116266768|117152595|102397542|108666069|102218286|116299281|108604148|105438648|102382056|100598490|118932741|101655649|109126234|100599204|121204664|103694395|103665345|108846942|100899260|100614186|103291640|107077338|109193815|100862335|101654285|105065187|108805010|102363073|103693741|103361283|108687471|109055448|102293500|101689320|105068406|102236414|108666340|118313684|101312335|108729250|110016568|103694279|124595280|103434587|102191508|121235033|107067651|102255655|118721012|108670162|101543852|103268199|101387688|100848559|102322628|118856142|103093897|102326706|104475234|104315488|108863409|117978259|103141041|102409504|101667970|108644229|100962956|100819024|102323243|103280346|100557750|100604028|104470274|101661648|107131385|121199293|103434759|104356226|100589637|108766779|108626155|104470186|107244493|107086987|102228046|104470166|107122716|100569679|102269833|100550536|105378434|102293717|116855869|100513546|116867242
fortune.n.04	fortune.n.04|good_fortune.n.01	107195599|115465008|100515843|117042419|124478970|107084919|100532894|103442884|121292302|124620133|107232344|116920465|102447271|104491161|108916983|121552289|102391254|115647733|117144752|121229235|100525045|116171769|108620259|108728808|116271648|100677953|103093889|105345060|104491210|121237872|100573467|109946242|109138983|103694454|107478493|123135079|113395683|108721020|108756003|106737768|100829777|100810942|108827902|106930273|124478208|123103535|107249380|107149849|100591067|103095140|106541480|116259423|100432336|102392000|103104478|107292476|106586085|115519452|109803915|100765428|107293324|116076071|121256270|101689200|103094073|107084246|124478137|109139436|110858354|108745883|106791293|100567181|123130576|103094000|100507736|106200838|105153881|109345837|102374652|121203461|108688429|102374810|116177898|116126292|117041796|123342507|101554635|105314381|108776300|123090439|116071342|115255418|108821685|105080002|117146550|103094878|116283496|109198708|107302324|103315951|108864691|109024487|103024120|100552044|121193862|107310721|124710920|113594699|108639738|116215773|100417203|107064333|118674077|124619825|108658837|106584720|106919173|105409641|118943946|117164480|107115407|111004998|105216505|116121956|108630480|107293188|108730055|103027836|100529208|102476554|121199392|124546044|107245617|100848736|121192610|121213924|116238716|117210819|100599002|121345892|109257209|102438259|109053416|100580453|108765762|102410519|115797734|107159277|107079163|106569316|115273905|107086601|116151321|124579370|116299693|124751576|107150617|121552297|109041973|118933602|100371881|116299243|116287920|116255662|105296557|116073073|108815130|124706349|103442930|102374487|109258846|109119931|103470409|121257203|118455451|117057529|121218898|107086060|121219640|124541931|121192633|109024843|122668720|117164326|100562758|109345973|121269582|123342228|117143844|121552216|100850213|116081035|106788296|103093824|107217864|121212356|115267782|124648279|109005869|108916754|120770070|115522290|124710321|116292083|108759189|121219661|109012673|116242973|108749417|101389162|100537284|107327816|106438775|106812276|109069822|115704242|103690487|117377489|108538293|100578492|109412242|107088441|108873003|118802750|100717169|121551163|107258263|107293459|107197856|116112229|124478811|121249652|102411470|101009719|108830912|103349681|114644159|108873098|109000199|100582696|103280411|107737404|108972292|108648762|102372950|122742229|124619875|121204051|124533059|100826153|121214083|108598819|118296687|118837787|103398962|109089740|115753077|108834412|124723746|107257248|116217373|103027812|107262674|118311372|124478829|107198759|108659041|105385948|116100606|113315792|117958854|100600664|106219837|121200459|117211340|103431556|100606437|113336604|113613565|108941760|122743296|108728629|103135138|122742909|109862864|124613652|108681882|114654135|102401055|107293911|108948844|118496611|117174935|109182145|122616362|116024523|102285338|117579390|100540261|108740204|100345431|101209801|108629120|107496626|100544953|121264293|105119835|101137459|109987153|108754435|115645259|124625235|107294524|107177057|109043160|103366324|109034715|113504246|103261756|117035225|124620875|121266133|121203961|109002284|100506768|124651558|100558388|102227995|124675256|109304929|124759745|109006556|107091836|100558977|121227532|100378357|105322471|109041870|108885311|107265101|117318502|109926614|102316577|116306689|124615265|102405524|107253992|108541451|124481289|102277922|118489133|107293481|100524360|114654816|124777039|116270705|116097875|106394064|121228277|116192458|121197356|101519054|107113375|103345693|124761191|116041660|121192606|105437240|108657240|118307680|118500985|117143459|124615893|100529855|117321371|117042423|102401131|100579506|108796921|107293275|121552803|100386298|121205811|116026386|124556475|124731586|100766176|113586048|105354646|102395701|108862996|124620774|124693433|100563638|119063415|114602175|104363231|109030330|124482686|122743937|109007190|116266318|106909045|121266462|108673227|103097552|108863888|109266761|106813294|101643440|107093075|100532773|109030389|116307491|100824180|121228116|121271267|106497483|107136527|109017017|106796705|102333478|100514006|118660938|113421771|103103578|116126569|124778679|109356090|117708520|124717969|124762700|108587907|122677188|108873127|121215780|106492187|103465235|100663118|109785174|117034084|116056900|103090429|100595824|107216956|109015964|100819198|116195368|100578426|102379205|109264322|106585537|102430380|116300836|108806592|115379222|106508170|106815474|121177926|100561680|121214024|115330969|109345740|100553305|124570305|100553584|100241599|107293346|116819969|107095882|106787469|100525021|105043322|103088331|123090425|100811982|106909732|108540305|100492824|121257243|103094021|107327830|108594626|100491231|100580746|116171757|118927745|102047280|116035249|108663774|116243117|100485494|105116152|122742973|102376246|108615543|108745309|121237511|109194114|106576813|115267262|117221312|101176333|108765737|107293440|112384301|116214821|100596171|100582693|116191441|108872332|109392758|108701141|108738756|100617218|116140113|116232891|109229490|102388605|124593392|108991834|121183170|124596659|108607005|115447784|116116351|121218973|100490593|100377730|116283840|107122234|108808862|103096440|121207281|121205746|107299285|101321727|121264215|107085899|121203215|109506706|124731116|108893436|105238396|108907134|116271734|116285782|100504492|116244091|105744444|109000956|100581286|116283220|108778381|108609891|117194787|104493075|116205017|103093812|102374067|124613989|121178060|124688183|100851012|109169449|107176442|124634007|114657681|100537676|108615078|104491123|124615832|117958128|107285801|107284701|101617150|121216743|106470196|100809586|100690284|108980479|109057731|121216415|123152281|105363063|107075357|116126270|114983293|109083211|103090704|108757295|109784962|118946200|102401007|107767208|100567287|101945849|101571232|103058472|109258742|101665467|108867102|103093986|103144198|100519531|115712830|121191099|107140254|100595724|124613910|100489842|115652146|121228619|115426759|100692337|109265577|113734898|100806561|121329243|121243709|104495147|124680421|108873273|121345984|115254882|123270829|121258456|100599172|102465504|108751481|109931390|117328995|115653127|107171963|107240824|121191385|102373981|124545970|115254877|115519979|102287403|118405025|101651734|116279861|104489037|114649505|108807433|116222686|100815606|115418854|124620454|108693683|109171918|124718841|107143990|108909732|116207291|108748714|107364497|118418758|124653217|106385500|101660850|116195337|108941937|117984638|100540472|102028294|100704374|118803289|103094272|100492573|102032444|108532539|107089487|100612113|106267940|113566936|124576919|100543440|100451768|124608262|102400022|123047026|121267061|108653672|105053543|100756714|100612071|100620476|113355926|109803827|107455009|100570386|102389605|100559823|100815239|100416341|117021050|117195523|121257834|116299783|124327460|123090026|116222146|101654177|115340779|118496128|100558835|109411917|123046815|108832189|107369487|103095191|117321240|116110206|100490097|115354514|108994509|116121064|109005912|116295515|124613761|100513669|124702623|105455166|100694869|103094041|108670872|105422611|100815828|108822046|108993935|108910441|116288528|124314566|115339543|124601459|121550705|100596306|118384861|103065948|100493072|117188828|121232729|117239963|105064021
misfortune.n.02	misfortune.n.02|affliction.n.01|misery.n.01|catastrophe.n.02|suffering.n.02|adversity.n.01	108728911|107268812|109038579|115858225|100690068|106517351|109007664|109006469|107189515|107201241|108595696|100618024|107250613|107208733|107240805|108912714|107093624|116167605|107343037|100419826|124620008|107151784|107246733|108735875|102276114|108976875|107245847|108961274|108787022|124619967|107220089|100576293|108609036|100606422|107217335|107085401|116924179|121327097|116121901|100596743|116176132|103316549|116080374|105042386|107236337|100484323|107364730|107163649|116204223|115583361|107306506|106567505|100667484|100524974|102045533|115422498|107258460|108670763|108673017|100546268|117324017|103441855|107255961|109056045|116103146|100618584|107258367|100556501|101719971|107227426|100567649|107085209|116109659|106579541|110009970|110028689|109140560|108848292
destiny.n.01	destiny.n.01|doom.n.01	100608550|117084251|108602915|100825434|106759962|105420049|115385278|101184845|100488960|100861618|106805342|124699314|100586857|100512734|103422504|107119099|107217367|102373375|103155206|100513906|118177116|124693290|100597113|100513512|107206014|100587976|108525488|100546713|109043950|108754043|102381191|100567510|102407846|102394111|102383128|124598606|103168252|100654919|101093361|109019693|107262583|107247667|124612841|100537515|109750153|106810419|108525741|102389363|102391841|100814135|102377145|102391800
fortune.n.02	fortune.n.02	107579051|121271302|121241706|101617207|100643464|121237861|104470341|113717442|121264686|109708858|106314010|109791197|117164246|121248611|100578365|100595959|116093613|113395595|117170017|124478315|107236077|118497053|105744396|103439099|109680092|100578367|121206998|121204056|119063754|121234636|109260882|110046586|101139103|121234627|115386588|108698227|118493087|122744069|121204202|115267431|100298757|121284721|117035313|121242876
destiny.n.02	destiny.n.02	101158166|107189488|106901435|100647510|100586668|100850288|101094450|118870488|101119697|118492696|100820265|118767603|100612242|109803754|100484157|118873131|106864338|100580466|100492094|100862894|100586578|100858964|124726123|117338016|118766404|101174695|118498315|117193258|107118822
opportunity.n.01	opportunity.n.01|prospect.n.01	104308724|121249214|105335202|115798081|105194751|101016375|104218189|110014930|100641631|108973746|106535239|124546415|100612886|103553816|113577631|103553737|103553757|102187625|102477386|103833913|102154798|117209723|100681984|124646945|100602233|117973512
accident.n.02	accident.n.02|hap.n.01	116785164|124625683|118417162|123135832|118296895|107661377|103365009|108747531|124599458|114651668|116818835|101317067|124309313|107776500|109319050|116778841|102140261
condition.n.01	condition.n.01|situation.n.01|condition.n.03|condition.n.05|situation.n.02|context.n.02	107061426|100793291|109797815|104162442|121448348|107139673|106562639|107215453|107109907|107301738|107147623|107144932|116897596|107207221|101705895|110038674|124657494|110039673|124714525|117323579|107147368|107227319|100519064|105079882
calamity.n.01	calamity.n.01|misfortune.n.01|accident.n.01|mishap.n.02	123047841|116922944|116845778|108854662|101055253|107098823|107168768|107289366|109051331|124530179|100322326|100546760|102371898|116780099|109036091|100384866|116920156|100553884|102149025|117610855|115694424|107709153|101636886|101273216|101273202|124602497|117503970|100530266
