favor.n.01	favor.n.01|kindness.n.03|turn.n.11|benevolence.n.03|benevolence.n.01	100676773|109071954|109084911|109086614|117503275|109123679|117522772|100772282|109179977|109183086|109183273|100818091|100824101|117612101|100835529|117615090|100852993|100855585|100855989|100856856|100856945|100859394|100862200|100862240|100863999|109268523|109302346|109329420|109343384|109343451|109344916|109347055|109362427|109362455|109396909|109396932|109398409|101094268|109532922|109590446|117990875|101277554|101311083|101313171|109792470|101433899|101503407|118347497|101595420|101598934|101598954|101605504|101605539|109995381|101610057|110004498|118393984|118394026|110017375|118411302|118411724|118412852|118413606|118414195|110027038|118420632|118440278|101669545|118459342|118462197|118462215|118470635|118471835|101769775|110182285|101803779|110248658|110251347|118927621|102218405|102226966|119063827|119070354|119078638|119083402|119085419|119085565|119086326|119091599|119096341|102333351|102376232|102377255|102377526|102378654|102461897|102478324|102478462|102485943|102516988|102973163|102975682|103037607|103061994|103117867|103127860|103129907|103152141|103154023|103156972|103447102|103463144|103463174|103469164|103473635|120670966|120683746|121035030|104485923|104488531|104488591|104488639|121330455|121339947|113299443|105033250|105038120|105056019|113453628|105130130|105215636|122008155|105251682|105255607|105300810|105309443|105350856|105376758|105381401|105382945|105383011|105383027|105386358|105401364|105414366|105415937|105416246|105428114|105428213|105430767|105430803|105462042|122651074|106111039|106169344|106169360|106174195|106206972|114637896|114639122|106290006|106290007|106371473|106379189|106396186|106398813|106443088|106445571|106456838|106473201|106478514|106478521|106480995|106530062|106577288|106577880|106586845|106587253|106587445|106587858|106754430|106756958|106816452|106821838|106850431|106866974|115267926|106887926|106889399|106910895|106922451|115382030|115397550|115421863|115483021|115486888|107098923|107106905|115503462|123893635|107118191|107118500|115510034|107135097|123913492|107143111|107147643|107148200|107162307|107169228|107171401|107171823|107184452|107189895|107212578|107214689|107218127|107220565|107228550|107230077|107233260|107234840|107237694|107238506|107239296|107240678|107243092|107259764|107262256|107262403|107266010|107266194|107266553|107272425|115668505|107285996|115686270|107310561|107320364|107320407|107320428|115709671|107322726|107323304|107327722|107327772|107328810|107328849|107346299|107353007|115749867|107370202|115786783|115812263|115830750|115831125|115832042|115848482|115863514|115873574|115877493|115890531|115895362|115895561|115896134|115900083|115907118|115938329|116006858|116026557|116041564|116060250|116060353|116060520|116061129|116061545|107683951|107688438|116103125|116118398|116148083|124567080|124633972|116262179|116285203|116334854|107946489|124771568|108032555|108050646|108153083|108155726|108239700|100026294|116821154|100049973|116864698|100113695|108537281|108542408|108595673|108599926|117010533|108627161|108630990|108639670|100252418|108643986|117036707|108651501|117047127|108665833|108666104|117072951|108684972|108688403|117077530|108696118|100308704|100309040|100316231|117096994|108722501|108722520|117111623|117117340|100341405|108731940|108731965|108731984|108736796|117135404|117160549|117160676|117161016|108776882|117166299|117172361|108784908|117174535|108792178|117182245|108795425|108814939|108823022|117215483|117221906|108853219|108857475|108864154|100483158|108882169|100494430|108888183|108893854|108902480|100528697|100533159|108923026|108924330|100536823|117314368|100538694|108930626|108931319|100544054|117321310|117322162|108934830|108935033|108935048|108935066|100546856|100546858|108939026|117329464|117340191|100566151|117348456|117348839|117351148|108967609|100582368|100582461|100583805|117361850|100587625|100587875|108982468|100600471|100600775|100603284|100604355|117381572|117382101|108995598|100608804|100609759|100618772|109007649|109019622|100634997|100652245|109045067|118006666|109656023|101373518|118509938|121327286|106452784|106472449|106572491|115372822|107265305|115826329|116033642|116041643|116061033|116185106|124678894|108202896|116988753|108729163|100619643|101927632|113398864|108188045|108191785|108204873|100316448|100341388|114642105|106848864|107266078|115820778|116054204|109040907|109313727
grace.n.01	grace.n.01|grace.n.07|beneficence.n.02	117450129|117456845|117466626|117484658|117497147|117499040|117507730|117508069|117516500|117516517|117517107|117517165|117524662|117533798|117540536|117542811|117546754|117553160|117555572|117556791|117565875|117567959|117568090|117587140|117596336|117597550|117617351|117620018|117626616|101651675|101653071|101659908|101662914|101670409|118466002|118466017|110125870|110146434|110146474|110146476|110146486|110167105|110168218|110172679|110174234|110175188|110175693|110177835|110179188|110179331|110185091|110187134|110187410|110187417|110187475|110187556|110187570|110187594|110187823|110187836|110190411|110190419|110190422|110191045|110192404|110193106|110193276|110193298|110194287|110201288|110201338|110201595|110203986|110204038|110204079|110204109|110204133|110204331|110204601|110204737|110205878|110206450|110206505|110206564|110206744|110207040|110207314|110208434|110209068|110209102|110209179|110209207|110209942|110210023|110210043|110210361|110211807|110211910|110213649|110213680|110213766|110214977|110215478|110217130|110217156|110217386|110217735|110218055|110218287|110220144|110220329|110221489|110221873|110222064|110222239|110222586|110223059|110226398|110227573|110227816|110227972|110230356|110230499|110230572|110231357|110232163|110232218|110232273|110233473|110236546|110237080|110248108|118771080|118989220|119000044|119003928|119012064|119013349|119015914|119017400|119025069|119025083|119035068|119035098|119038954|119049777|102386426|102387700|102410710|102980057|120663099|120664661|120666772|120669160|120671022|120680599|120682473|120684667|120687559|120688184|120688910|120690727|120728995|120729035|120729050|120874524|120875306|120875452|120875599|120876079|120876100|120877868|120877932|120879781|120880819|120881115|120881468|120881546|120881602|120942808|121031114|121033779|121034402|121156018|121384743|121405819|121430537|121486383|121495484|121495559|121495614|121495659|121495694|121495700|121495751|121507612|121513200|121525682|121525736|121535848|121546721|104876607|104883075|104893800|104895841|104896723|104896750|104934172|104934517|121941433|121941442|121943147|121958318|121962114|121983762|121984688|106139272|106142386|106147345|106147396|106147482|106153928|106196041|106196372|106196454|106210429|106210477|106214216|106215045|106215994|106216011|106216016|106216051|106216098|106216212|106216315|106216335|106216428|106230012|106249401|106249413|106249611|106265483|106269062|106274293|114663678|106304852|106308150|106321492|106328878|106356073|106365117|106367098|106475422|114985943|114994106|114995447|114995587|123889129|123889411|123891458|123895047|123899591|123921878|115549656|107884976|107898318|107901684|107920859|108029919|108045649|108111252|108123006|108145688|108146711|108157069|108192109|108193515|108193526|108200400|108238936|108238937|100124750|117355850|117356105|117356607|117373208|117373764|117375861|117375880|117377907|117382246|117515110|117540694|117541829|117553114|117607566|100838630|117619897|109658049|101656725|118466118|110174472|110174905|110186524|110186710|110186930|110200052|110200061|110200081|110202803|110203279|110209624|110209649|110211773|110215458|110218086|110219958|110219980|110221427|110222204|110223898|110223904|110228271|110229702|110232093|119013090|119028335|119040556|119043374|102388670|120679413|120684659|120725275|120729054|120881258|120881418|120882325|120945107|120945291|121456420|121487817|121487914|121489921|121495590|121546452|121941577|121983777|121983798|122733656|106111060|106124397|106135903|106147435|106153997|106158175|106169424|106174407|106195836|106196051|106214227|106214393|106216268|106235746|106235758|106247258|106271810|106285772|106286062|106286395|106329227|106333857|106341165|106364782|106397092|106399266|106463140|106514792|106531544|106534146|106551581|114994670|114994959|123893925|123916708|123921173|115545450|115865908|124652740|108025380|108146894|108183373|108183790|108205879|108709104|108838484|108943490|117373790|117373885|117375977|106203389|106584771
gratitude.n.01	gratitude.n.01|gratefulness.n.01	100665311|100666836|100672148|109061290|100673667|100676602|109068108|109070316|100690495|109084436|100696619|100698862|100710099|100711149|100719772|117509520|100739863|100757918|100778738|100779610|100790049|100790053|100799612|100817275|100832108|100864142|109343809|109347387|109351720|109382184|101002696|101088673|109504634|109504682|109538157|117962340|101188489|101232929|101257102|101277835|101281503|101281529|109698116|101361848|101372469|101372554|101372587|101378590|101378629|101390241|109785986|101398037|101398053|109792512|101427514|101452815|101527676|118310463|118312437|118314121|101537166|109930806|101542917|101542985|101551438|101561287|109950912|118345011|118345088|101583985|118374804|101598835|101599055|118410524|118411031|118411894|118412536|118413427|118414037|118414442|101647956|101651359|101652585|101654997|101655337|101678321|118465747|118484839|118506479|118508670|102036079|102047737|119062461|119073052|102296178|102297691|102332452|102365519|102389931|102408908|102412329|102433977|102452657|102462826|110851633|110854080|102466393|102466417|102473220|102483468|103024755|103024846|103066417|103076097|103079956|103082049|103082294|103083097|103083980|103090809|103097431|103106470|103117643|103131666|103132004|103180384|103249647|103249669|103295834|103297835|103309554|103353930|103356348|103363035|103363638|103364051|103365539|103366594|103404118|103413023|103433002|103437254|103459793|103627327|120649852|120772243|121233748|121343469|121424880|121465624|104870494|113302567|113418250|113420361|113542452|113544122|105173726|113565773|121967996|121972163|121973496|113585726|105197726|121979942|105212262|105259320|105259443|105260036|105261451|105308454|105381206|105388036|105388305|105391603|105400556|105401567|105461767|105773252|105773612|105775333|122612973|122615527|122629960|122630248|122655984|122659744|122664904|122668262|122696019|122701493|122723823|122733118|106142159|106147463|114634145|114658027|106302291|106399233|106442995|106514993|123319658|123556023|106787023|106787136|106787266|106879975|115362521|115406822|115447661|115450952|115466796|107085357|107124924|115521451|107142835|107181156|107189529|107189581|107195850|107202072|107218328|107240777|107266108|107268883|107274074|115664750|107301951|107336118|107336730|107427159|107453258|115865448|116041734|124537398|124689554|124723753|124734600|116821017|100075160|116900409|108525266|100151677|108585449|116988550|117007515|108642518|108651199|108651221|108652016|108652030|117055617|117055895|108674456|117064371|117064398|108685167|100304552|100306071|100308104|100308986|117111569|108726069|117141755|108756091|117159875|117168151|117169035|117169260|117179190|108826175|117215426|117223279|100484746|100503704|108894721|108903637|108916818|100529045|100544111|108934931|100552585|108947312|117351401|100604117|100619683|100653344|100654214|109044837|109045865|100662787|100663060|110197692|102391259|108663436
favor.n.04	favor.n.04|approbation.n.01|affection.n.01	109057608|117450590|109064841|109077205|109113663|100744249|109192161|100814170|109272911|109347217|109508465|109740032|101396822|118375279|110011474|118408095|118513928|110165856|118997301|102249349|103002498|103035185|103142223|103305484|103361648|103598963|120834495|120837624|120839249|120842402|104488368|121481883|104901586|105329532|105350614|105402680|105774194|106265052|106314790|106377708|106448453|106564889|106742581|106749828|106872303|115402238|115442993|115526466|107167141|107177714|107328496|107366404|115917563|115988279|107886920|108072751|108156616|108203805|116899790|108550155|108550634|108554858|108563027|108583043|108588903|108599855|108633872|108637604|117046877|108665409|108673961|108674127|108696949|108697183|100308614|100308773|108725722|108750054|108750201|108780357|108788136|108794061|108798125|108803136|108803645|108814911|108852808|108864991|108899647|108928415|108968518|108973156|108994717|109018866|109032330|113684588|100360638
favor.n.03	favor.n.03|partiality.n.02|favoritism.n.01|sympathy.n.01	109055513|100722589|109121414|100744978|100792316|117617524|110014966|110124359|110126090|110168599|110169364|110182242|110182415|101878920|102407760|103046612|103325650|103343199|103350720|103444583|104326960|121158202|121158233|104504040|104504043|121339633|104896912|104904789|104908519|104908621|104934049|104934066|104934116|105006357|106209882|106584867|115333491|115422453|107189027|107204645|107274478|115848402|115975171|116075260|116129806|107922086|107942153|108024239|108029715|108029956|108032307|108032962|108033286|108040091|108073920|108146424|108150200|108150281|108154230|108158068|108190870|108191640|108208119|108209387|108310041|108310615|100083696|116994959|108637891|100310606|117134805|117166276|117171935|117216076|108927312|109044730|100661171|118443579|103035705|103042245|103393727|105048418|105053986|122728925|100703557|117337362
grace.n.02	grace.n.02|gracefulness.n.01	117557661|100827043|100868185|100871684|109261712|109299563|109299660|109304883|117730407|109508417|101198930|109650741|109932155|109968973|118390850|101648336|118482226|101857122|102395516|102961362|102976120|120943985|120979309|113562449|114636524|114636583|114636615|114636757|114661226|114661284|106394903|123262932|106486937|106588771|123930587|115545408|107344351|107461456|107461911|107461955|107463109|107463383|107474464|107475643|108032168|100164594|108556184|108613257|108636828|100251370|108662443|108662574|108663835|100308598|108766019|108814717|108890611|108946125|108967485|108973249|108980181|108990154|108994682|108999460|100631694|116101005
appeal.n.02	appeal.n.02|beauty.n.01|winsomeness.n.01|comeliness.n.01	100710603|109355607|109361220|101201302|109653501|109724309|118375803|118390971|102122313|102206232|102206265|102206309|102206363|102439776|103345619|103346543|103349330|104174557|105222941|106897932|107262040|107269252|107429814|107430087|107430225|107460303|107469767|107469943|124476307|108542458|108630389|108632485|108652943|108691947|100309034|108712736|108755404|108788344|108829062|100508743|100515154|108911128|100536433|100558673|108958249|100591476|108985570|108997845|109014963|109027971|109931384|106432534|116921459|108561748|100247312|108563584|100545418
kindness.n.01	kindness.n.01|benignity.n.01|good.n.02|charity.n.02|generosity.n.01|virtue.n.01	109057438|100812267|100817952|109397450|101073758|109655556|118441840|102978562|103002224|120661009|106158261|106471803|106472138|106472529|106517185|115370217|107093229|107266720|107358538|115809355|116007782|116018349|116046468|124556012|107811389|124710812|124762354|108151681|108586040|108624997|108625002|108627247|108649125|108683928|108726035|108736401|117167059|108830819|108873541|100490128|100507960|108932683|100604045|100621215|109116928|109118894|109119102|109123766|109138717|115901089|100646467|115439647|116147973|117151322|103204596|108706918|109267520|106281295
grace.n.04	grace.n.04|complaisance.n.01|friendliness.n.02|indulgence.n.02	109534070|117954348|101598362|101651268|101651807|101668029|110215213|110229689|102086069|102473679|102992286|102992493|103145685|103153459|103364816|113328116|105126341|105194390|105379483|106317077|114993065|107091790|107325544|124320006|107884884|107905733|107907765|107922601|108193307|108199005|108242143|108556614|108588464|108680535|108751322|108852104|108882878|117335356|109031920|100643326|109119348|108840879|103105925|117213803
sake.n.01	sake.n.01|benefit.n.02|advantage.n.03|deservingness.n.01	100850982|117943385|101662486|101778364|101870596|102026410|102326211|102372080|102410070|102967404|103436000|120966772|121353748|105055839|105349499|123568407|115489151|116900287|117091163|117178135|117215299|100519750|100527207|100535536|100574745|100593583|100599718|100639837|117679431|109396864|101396514|110201662|106203561|106235543|106265723|106463078|123554026|123562637|107233401|107238166|116170316|100472990|101615695|115806026|116111925
