ordering.n.01	ordering.n.01|array.n.01|sequence.n.01|progression.n.01	117542413|117552999|117553004|117569651|117583520|117602643|117602670|117609982|109301123|109316734|117773430|117951062|117951224|117951359|109592345|109592371|109684738|109690033|109690043|109798602|109798627|101411414|101411419|101411424|118292659|118294404|118296364|118296401|118297313|118298812|118298821|118298883|118299081|118299203|118300870|118301019|118304474|118309771|118309807|118310899|101552419|109977329|110123929|102001299|118850495|118875217|102155141|102205385|102206858|119017644|102284766|102308494|119090482|119203809|110850128|111172345|103343261|103414345|103426713|103514909|103629861|103634120|103636964|103649633|103657019|103657045|103657054|103657080|120648948|120652858|120656379|120656448|120657847|120657986|120686507|120749857|104014159|104044160|104089428|104091428|104115922|104155811|120965588|104210920|104210972|104217201|104259850|104319468|121138981|121149115|121186424|104543627|121352504|121404318|121495081|113355090|113478122|105119572|105122564|105130824|113546312|105175359|113565177|121957965|113581073|122002070|105295106|105317281|105352049|105973092|105973357|105973383|105973550|105973581|105973873|122767032|105990025|105990356|105990376|105990406|105990705|105992954|105993531|105993577|105994268|106138711|114557818|106169840|106170689|106197709|114603440|106255578|114648089|123084468|123085775|123135127|123146079|123163849|106397121|123186602|106412854|123197836|106422610|106424117|106441215|123226734|123250604|106475548|106481209|123261963|106496442|123274634|106499167|123322152|106547955|123336039|115042581|123576686|106804986|115233450|115240094|115240191|115240197|115240261|115242246|115242903|115243131|115243295|115243341|115243620|115243634|115254935|115255356|115260814|115260987|115273307|115340445|115340573|115360463|107020249|107021637|115483817|115663008|115663537|115743753|115798264|115838210|107456178|107456238|107469910|107653840|107654171|107681554|107681593|107694594|107739663|116175368|107799562|116212697|107825099|116540690|108542300|108542991|108567175|117059727|117227061|108880279|109272385|117798541|101078132|102253113|119067115|103630391|113661541|113666043|113666476|113678139|113678491|106417633|115375630|107254410|107291673|107790047|124629586|116283700|108605039|108625500|108747394|108771123|108772087|100391822|108796016|117193958|108837153|108871250|109018381|109019474|109313636|118721079|118721507|115046691
orderliness.n.02	orderliness.n.02|order.n.03|trim.n.01	117482263|117504194|117553584|117601571|117602883|117611532|109243580|109260133|109260139|109307034|118429375|109322670|109378225|109391777|117950820|117950828|117951164|118013687|101289204|109690038|101330147|101334939|101411125|101411309|101411350|101411409|101411947|101438583|109847240|101481236|101538009|101549752|101552638|109960474|118451309|118465025|110199905|110214346|118651888|118651898|118651907|110285288|102002426|118894340|102133825|102159949|102178782|102180921|102201107|102205360|102244619|102245094|102256919|119069806|102312808|103031237|103151015|103481083|103481320|103631019|103631139|103633665|103636799|103637015|103796910|103950466|104018190|112418920|104078433|104161748|120966863|120966870|104212679|104259807|104358342|104358361|121143648|121144643|121544158|113374234|105117180|105123273|105126656|105127031|105152674|105186767|105187180|105289309|113685945|113697545|105309656|105311509|105320500|105322899|105349161|105356999|105673235|122614269|122634213|122642525|122643294|122765109|122766982|122767286|106110999|106111432|106114828|106162715|106175810|106176594|106230793|123041831|123041843|106267082|123057322|123067171|123074566|123080493|123083963|123085947|123089382|123091057|123093209|123096038|106321698|123153017|123167236|106394127|106397308|123175240|106435004|123240996|123261938|123264031|123274609|106507388|106508789|106535650|106547569|106550634|106551161|106556217|123340303|123340471|106577246|123534169|106782515|106792053|106800614|106820717|106832672|115242258|115242935|115254721|107021781|107076497|107202895|107270472|107277250|107284873|107285302|107372517|107374690|115833755|115843902|107634225|107746356|107762021|124555593|107813014|107815168|124634335|116249919|116271796|124666023|124687891|116303372|116303684|124750374|116536830|116546385|108179811|108507032|108622874|117045725|108660424|117067663|117098963|108734962|117125997|100350287|108775789|100387938|100392053|100398092|100412306|100412589|100424351|108822165|108830324|108867891|108943154|117355412|117371894|109020191|117505741|109208842|109975593|101832156|118724709|118724733|102085299|102143323|119013522|119013610|119048676|103210172|103804639|120648993|120653536|105124845|105144884|106313691|123093184|123135984|123144278|106435800|106543937|106915170|115956947|116168541|108131172|116537163|108915978|108946227|117336963|105122866
rank.n.01	rank.n.01|line.n.03|formation.n.01|arrangement.n.02|line.n.01|military_formation.n.01|column.n.01|classification.n.02	109072843|101021779|101052553|101078319|101080697|101084227|101444547|101444884|101445046|101481248|101552463|118654382|118658145|118671962|118681716|101929387|118814944|102235461|119064500|119064564|119068948|119069676|119069827|119070660|119070687|119071338|119071852|102460164|103481534|120581162|105128842|105129323|105140379|105196205|105220410|105220673|105250592|113652176|113673781|113678756|105291600|105317989|105321273|105321478|105348967|105349265|105371645|105372641|106268514|106512778|107122467|107123473|107123667|107172730|107172818|107196013|107203371|107222182|107242513|107242758|115633835|115634042|115636512|115643170|107269879|107271714|107278091|107290614|107303948|107306938|107326769|107360618|115781882|115781954|124608774|116228549|116235463|116235527|116239586|124631362|124631835|116270649|124665573|116304364|124750462|124776345|116877077|117089881|117098502|108735338|108749699|108758624|117149948|117176838|108796415|108798794|100412935|108816192|108820228|108820503|108820629|108821669|117210429|108837019|100454498|108871526|100505875|108912580|100632191|109040552|100654555|100655127|109073548|109205548|101065370|101082356|109508280|101345800|101346880|101353952|101449066|101449374|101449378|101449678|101450072|101462286|101472553|101473798|101475447|101475825|101475991|101518315|101519142|101522956|101534406|101538528|101567503|101567858|101612911|101620901|118647547|118651844|118696316|119069026|103436929|105124734|105124791|105126980|105127061|105132614|105187131|113650781|113651211|113654947|113665456|113666662|113679021|113705767|105317714|113706719|113708782|113719338|105332511|105333186|113733249|123083222|106739711|106783527|106783581|106821075|106843766|106862528|106862646|106870447|106870905|106897664|106915868|115378105|107101415|107126958|107145902|107245353|115639307|115645401|107304023|107368329|115783053|124665648|124757426|108385558|117017660|117017727|117031797|117031877|117032578|108660553|108660643|108668506|108669139|108681447|117117614|108734922|108747890|108758667|117148156|117154351|117209809|108871332|108909884|100540838|109017586|101445155|101459366|101461064|101477201|101612813|101612827|101620162|101620198|101620402|101620978|119065779|119066317|119069646|119070633|103481220|105125049|105127188|105153075|105332932|105373041|105373979|106862698|106866865|115375866|115395090|115486562|115498206|107135863|115562769|115634597|115635576|124583171|124671039|108382410|108681400|108681486|117071680|108724553|108729366|108830165|117221789|108835398|101573731|102002448|103630259|104018707|104047046|104090811|104322319|121240938|121456777|113487805|105124584|113705455|113705527|113705988|106110373|106289143|123066848|106305535|106308602|106574337|106574768|107599995|108671380|100610669|101444220|101462521|101925671|113550569|105250178|106739698|106809206|106897590|115463528|117148467|119064461|103477850|101083887|106231426
post.n.01	post.n.01|position.n.01|topographic_point.n.01|setting.n.05|site.n.02	100730815|100808859|109210725|117679592|101038738|101053294|101076616|101080498|101080765|101080801|101081957|101082158|109534730|101285743|101359842|101533353|101533506|101564502|101567171|101567211|101570351|101620543|101683713|101692510|101877988|118671854|118687104|101929148|101929220|102101536|118894372|119065982|102432441|102487998|103098966|103149070|103304887|103343502|103410131|103424263|103424747|103425313|103429893|103430572|103442108|103467247|113434108|105134349|113651185|105388698|114635287|106757173|106763191|106784077|106784208|106864636|106864697|115415486|107092875|115488637|107123271|107242628|115688287|115688298|107300459|107300726|107340528|115887551|124660242|124780555|108385293|116849931|108587250|108701409|108701711|108701866|108702051|108717353|108739802|108758910|108772455|108922713|108922727|108976361|100613620|100655499|109314625|117774063|117789263|118112023|118112138|118388560|118782129|118894129|102179665|102642750|104362655|105232356|105770661|122770087|106297013|106442549|106550702|115747532|124567310|117688860|101058396|107185711|107242676|117010658|108871321|118396349|106451412
rank.n.02	rank.n.02|status.n.01|place.n.10|social_station.n.01|situation.n.02|grade.n.02|standing.n.01|situation.n.01|place.n.06|place.n.13	117622951|109316549|110285345|102046461|119057904|103061987|103182495|103342784|103344744|121237573|113336579|121992757|113712248|106116971|106117962|106118858|106135390|106169270|106185777|106190733|106209998|106211686|106223682|106244928|106266015|123052540|123067886|106317482|123107250|106331828|106351658|106371921|106379487|123157465|123163803|123167295|106391287|123171730|123172018|106395935|106398378|123178706|123227267|106452381|106455038|123239325|106495481|106522955|106572998|106580414|106585968|107335682|107352530|115899123|115899406|107669920|116172861|107827551|116301043|117060728|108838467|117363279|109205735|109232930|109280106|109509423|118459649|118479632|103090772|103094341|103403320|103649670|120727659|120728136|104360857|121179319|121193439|121204321|121216631|121240196|106476562|106565951|106570918|106752936|107427121|109141521|118431336|101850015|103097794|122639947|106474605|106475923|106774689|106803003|109180513|109506258|104297742|107837633|103361046|103210024|123060936|115245106
arrangement.n.03	arrangement.n.03|design.n.02	117633328|118309861|109962637|118399501|118449761|102194210|102219700|119102167|119102358|119295324|103511918|103521117|103590511|104018016|104093657|104329140|104329180|104335504|121211829|104501805|121379308|121379426|121379547|104604493|104604641|121386942|104643259|104643268|104643283|121432453|113423516|113552698|122640217|122647603|122681331|105994845|106114999|123112305|106353764|123143990|106374632|106375141|106442464|106530688|106553855|106764186|106874440|106917945|107018274|107533168|107564514|107623909|108551313|108948605|103809082
rank_and_file.n.01	rank_and_file.n.01	101077071|101133192|101346782|101444649|101449748|101520708|101561571|110035336|118639608|118644588|118672093|102102968|102300337|102460369|102460783|102462873|105189902|105265419|105307361|113705799|105317925|113726023|113732838|113734824|105348704|106249334|106417091|106581813|106846068|106905393|107222278|116875314|116928830|116996138|108660928|108689950|117083166|117149411|100412727|100505458|108922243|100654995|100655756
company.n.02	company.n.02|brigade.n.01|regiment.n.01|division.n.01|battalion.n.01|troop.n.01|squadron.n.01|military_unit.n.01|detachment.n.04|command.n.02|contingent.n.02|squad.n.01|guard.n.06|legion.n.03	109290295|101303359|101309420|101438444|101517660|101518005|101518109|101518174|101518179|101518286|101518294|101518570|101518810|101519150|101522246|101522259|101522580|101522748|101523140|101523307|101538163|101564277|101564293|101564315|101564817|101574875|101584422|101621440|118642624|102233439|105186265|105266881|105677533|106565023|108379846|108379862|108379878|108379890|108379963|108379993|108380492|100349186|101568697|113651238|113651942|113651996|113658565|113667459|113677118|113678000|113678057|113678991|113680823|113680887|113683079|113683512|113684771|113685863|113693158|113693639|113695628|113695949|113696458|113696951|113696976|113697285|113697797|113698728|113703859|113704078|113707669|113709544|113711240|113713073|113713231|113713748|113717749|113727218|113729140|101624558|118485610|104355052|113650980|113655119|113657678|113658182|113659131|113661351|113663445|113664139|113665530|113665561|113666780|113672202|113672280|113672665|113680226|113684130|113696102|113716945|113719194|113727326|116127977|101308969|101346924|101467035|101493503|101508999|101531783|101537985|101561553|101564083|101624590|101624881|105311080|124583066|116284327|108673157|117070646|101313996|101442408|101460852|101460914|101466253|101475565|101486906|101564906|101564927|102463905|102463937|113708346|113714039|113714303|106383721|106915817|118649794|101925762|102119950|102120039|102120999|119064593|103485496|112387695|105250203|113683528|108625695|101411319|101466042|101466245|101601922|104161233|106497978|106905625|101613094|106910670|108379241|118485993|106812284|115642904|107121866|107180754|101554144|119071981|106415443|108735579
position.n.06	position.n.06|occupation.n.01	100721053|117562599|109240109|117630729|117674821|101077461|101077789|101554132|101568236|118514283|118672012|102367670|103031344|103063181|103068690|103068732|103087505|103089070|103101449|103364067|103422618|121178249|121193497|121240266|122743751|107213783|116150415|108700345|108825789|108898268|108989683
class.n.01	class.n.01|class.n.02	117637360|101370068|101370101|118415756|101792759|103166706|103207173|103392249|103479161|103691680|106111884|106146251|106164553|106246052|106298119|106317563|106328476|106367565|106378082|106433902|106435725|106445505|106474031|106481413|106503234|106508521|106520853|106527595|106787923|108742779|103261749|106242702|106372065|106538994|107315528
