labor.n.02	labor.n.02|undertaking.n.01|effort.n.02|work.n.01|attempt.n.01|employment.n.02|struggle.n.01|job.n.02|work.n.02|test.n.04|duty.n.02|oeuvre.n.01|employment.n.01|service.n.05|enterprise.n.01	109056809|109061192|100675192|100675273|117452802|100676023|117453438|100681761|100683325|109088045|117478832|100709991|117496763|117501175|117503714|100727646|109121817|117510516|100733420|109123974|117526920|109140677|117533072|117533101|117533301|117533916|117534880|117538747|100773814|100780601|117561402|117561905|109173726|100792169|100796908|117577983|100809272|100814594|100814595|100814596|100814702|100814934|100816235|117594241|117611475|100836335|100837730|100842185|117619620|117621653|100845204|117622547|117624772|100851018|100851039|117628701|117628713|100863541|109259766|100874772|109268521|100880724|100880735|100900857|117682459|117708951|100936573|117735132|117735727|109351856|109351857|109355905|117745947|117748498|109366569|117761020|117765391|109384034|101030084|101049992|101063989|109503358|109506377|109508536|101136619|101142063|101156457|117951148|117951175|117969730|109591146|109591243|109591861|117995554|117995590|109690539|101337891|101359590|101361598|101369489|101370975|101371170|101371710|101371848|101372223|101372787|101386761|118179076|101428734|101433960|101452970|101456285|101472567|109864211|109878773|101497095|101502893|101511059|109899813|101514274|118291861|101520152|101520661|118302915|118305884|118305964|118306732|101531513|118309107|101534063|118311829|118312545|118323414|118324612|118324992|118326080|118326105|118326125|118326133|118327831|118327840|118329890|101556751|118334753|101570713|118353232|101576969|101577367|101577508|101586289|101592798|101598126|109986928|101606565|118390117|118391290|110007889|118396869|101620128|110008808|110010867|118401357|110013172|118403408|110015828|118404660|118406291|118409080|118409114|101642521|101642932|101643056|101643637|101643673|101647859|101648512|101649622|101653148|101654808|101655834|101658425|101660860|101662338|101663079|101663949|101664500|101665687|101666534|101667139|101667642|101667960|110056883|101668445|101669213|118446462|110057903|110058178|101669869|110059069|101670573|110059452|101670882|101671214|101671786|110060516|110061010|110061965|110062059|110064263|118457414|110068988|110069171|110069689|110070115|110070334|110070652|110070707|110070754|110071152|110071409|110071635|110071984|110072748|110073390|110073460|110073539|110074329|110074331|110074386|110076028|110077647|110078651|110082824|110089052|110089688|118481579|118489716|118492395|118506473|101788561|110215367|101843170|101862678|101872337|101875327|101875697|101901054|110290112|118721866|101997326|118802827|102043700|102070403|118847839|102080687|102082041|118877256|118877308|102113428|102113738|102118863|102119033|102121440|102124861|102125364|102125426|102125537|118904222|102133590|118928298|118929652|118930187|102155055|118935004|102163123|102191111|118984524|102212352|102222014|102223167|119005427|102229106|102237713|102240583|102244035|102253431|102256660|119036114|119036225|102259670|102259688|102259877|102262925|102286506|119066113|119074448|119074800|102309754|119094842|102323649|119101526|102327657|102327805|102363239|102365623|102370550|102372752|102377869|102385826|102387253|102387416|102389841|102396108|102402451|102402752|102411652|102424173|102432843|102528695|119353623|119386342|111004758|111006045|102646921|111189170|102953725|102976044|102976684|102999944|103013395|103013581|103045214|103053412|103053909|103086384|103357768|103424892|103425588|103460492|103460493|103677822|120655047|120655170|120660908|120660956|120682335|103967830|103967837|120788597|112451524|120985609|104366561|104368893|104369604|121147802|121181412|121219615|121226142|121233456|104469979|104469994|121256014|121263245|121264446|104487442|121274024|121274070|121276560|121276634|121279400|121289137|121402732|121415968|121434491|121435311|121435342|121443106|121447936|121477992|121481017|121481020|121515030|121520646|104870002|104903346|113345604|113395827|105009457|113418616|113418777|113418817|113418847|113418929|113418951|113419036|113419153|113431938|113449698|113449737|113456021|113456088|113456638|113456976|113458348|113458600|113468330|113469168|113501165|113535013|113544690|113551131|113568500|113573549|113573614|105198400|113587507|113588558|113635338|113635868|113653398|113664971|113665155|113670024|113670036|105282784|113693061|113693075|113704453|113709595|113709618|113709811|113709822|113710021|113710028|113710111|113710217|113710235|113710423|113710538|113710572|113711276|113720381|113725941|113726646|113732199|113732244|105422186|105460937|122654843|122658592|122672845|122695616|106124289|106131195|106131479|106143418|106144262|106151888|106151903|106151926|106152020|106152091|106161016|106171529|106172613|106172645|106172726|106172765|106172789|106172960|106172979|106173032|106173058|106173079|106173107|106173129|106173143|106178813|106178839|106178907|106178925|106178992|106179044|106179419|106181569|106182215|106182363|106182815|106183395|106198664|106199828|106204156|106215408|106215462|106215598|106225548|106229152|106241907|106256380|106257840|106263613|106271757|123054209|106278855|106280114|106283378|106283920|106283940|106284056|106284161|106286948|123068787|106296398|106304722|106308876|123088921|106311996|106312212|106312291|106312320|106315500|106323149|106323623|106325884|106330840|106336931|106336939|106338462|106341765|106351369|106358864|106398418|106402922|106403891|106417328|106420253|106421342|106430331|106435629|106463871|106472780|106472856|106473310|106482325|106483537|106498537|106503714|106509065|106525617|106526129|123320145|106545318|123323455|123341745|123343060|106574061|106593209|114989664|123547546|123552641|123554154|123560128|123562689|123568200|123572842|123574822|123575206|123587640|123587830|123587863|123588642|123588649|123591243|115273698|106894772|106915684|106926032|115346666|115349148|115360365|115363472|115389316|115416037|115437698|107069648|115508169|115509121|115513027|107132332|115521802|123913959|123937183|123942760|123948616|123982653|123985740|123987033|123987307|107216860|107217544|123995579|107238948|107244543|115643020|115653933|107266266|115684875|107297876|107315231|107318471|107318904|107319517|107319748|107334728|115731481|107355795|107360107|107360875|115781035|115798998|115799610|115814170|115814417|115823371|115823514|115823533|115826735|115829688|115832770|115862182|107475294|107475331|115865401|115869192|115934024|115970213|116018757|124475540|124475726|124475925|124475972|124477640|124483263|116103698|116113758|124531173|124548005|124553087|116168324|116170384|116171814|107789605|107795670|107796329|124614611|124618655|124628554|124629697|124639908|116259655|116265894|124668955|124679458|124680274|124722665|124725698|124769025|124772894|124773259|124775017|108121165|108121246|108129012|108129119|108130771|108135936|108146503|108183497|108183918|108185870|108186088|108188208|108194956|116587668|116587685|116587704|108202206|108222023|108236797|108237322|108275724|108288743|108331996|116776330|116777027|116780485|108397241|116797708|100032609|100034874|100036299|116820722|100051526|100052182|100059191|100066432|100091443|116884013|116884684|100119155|116901347|116916878|116924859|100161770|108565791|100178320|100204513|108605488|116995670|108609786|117001276|117008224|100232464|117012919|100244538|100247676|100249662|100251582|100251752|108641841|117032301|108647503|100260259|100260588|117038296|117048868|108662825|117052413|117057373|117077044|108689784|108690601|100305651|117087697|108706644|100329399|100340921|100341159|117119343|100345144|108734215|100345730|117131117|108743171|108743394|117132423|108746417|108759174|100372049|117158780|100390526|117174518|117185535|108798515|108799884|117191852|117200417|117211657|117214164|108833835|108835028|108838628|100455396|117233419|100477609|100477675|100478270|100479630|100480158|100481987|100486007|100486052|100486141|100489818|100493092|100493349|100494569|108884772|100499840|100500614|108891600|100506843|100509272|108902905|108902921|108909178|100529490|100535152|100537215|100537245|108926409|100538260|100538397|100538607|100541470|100542620|100543838|100544667|108934958|100547065|100547331|100550642|100552982|100553007|108942895|100555257|100561000|100561629|100562398|108958084|100570006|100572435|108963108|100574806|100584310|100584530|108973412|100588058|100590901|108981493|100593653|100595427|100601961|100603523|100603527|100604126|108999414|108999449|100615789|109010503|100622432|100630793|109019682|109019808|100637231|100652206|109041908|100654053|100681046|100802720|100805415|100808388|109267525|100900868|101022026|101075686|109508341|101369728|101529202|118324663|118326156|118326160|110022828|101642234|101658932|101680741|110071505|110073466|110073588|101861802|102316261|102385532|102385654|102402420|121255702|121283931|105745816|123319883|115377024|123934548|123954503|123983775|115810993|115847619|116122071|116122173|124598256|124623727|116247140|108185301|108268389|100258130|117147760|100497317|100530833|100532230|100584403|100598201|100675613|100766549|118388721|110009168|118408409|118899718|102528955|104368792|104368886|121183648|104469942|105135048|105687200|106473278|115360972|115415347|107114549|107131886|124555452|124699934|108196151|108270665|108879805|117315470|108956732|117974680|118352923|101610265|101627169|101638649|110066461|110067391|118863125|102249447|102402785|103808297|121293133|123951475|123967149|123967372|123969649|123983197|123985465|124754939|100236727|117147589|100549354|117331479|100585610|101263127|118721847|102221026|102256323|113402409|105042351|105063269|105068519|106910989|115696484|116181385|124755070|100506628|100523184|100655305|118322625|118352950|101618963|101632462|101640040|118928721|102205807|103808325|113380932|113451987|113454446|123933675|123987157|109064638|100718706|109591640|103169284|124608212|124699459|124762692|108557512|108727014|108787433|101030361|101634042|124755820|117164639|108811612|100490738|100538215|109330133|106589984|107767525|108185500|100020608|116918848|109135352|120680267|103355451|121284177|113503196|117211610|100538755
pain.n.03	pain.n.03|pain.n.01|pain.n.02|distress.n.01|pang.n.02|toothache.n.01|earache.n.01|agony.n.01|ache.n.01|agony.n.02|sciatica.n.01|pang.n.03|headache.n.02|chest_pain.n.01|symptom.n.01|anguish.n.01|suffering.n.04	117454165|117503399|117523645|117534902|117575824|109279712|117669199|117676740|117683938|117689502|117690238|117690343|117690349|117690551|117691100|117706209|117706397|117729330|117735350|117737455|109353724|109385422|117983987|117984055|117985265|117985485|117993210|117998441|117999583|117999642|118000738|118000945|118001569|118002321|118003804|118003816|118003889|118014976|109647880|109647908|109647965|109648057|109648082|109648087|109653868|118179040|118179115|109994222|118500563|118500582|110244365|110244375|110247007|119037995|119054200|119104727|119114262|119158276|119197818|110856008|102503832|102505759|102520029|102521816|102523175|102523201|102523693|102528492|119332699|119333211|119333636|119334563|119334657|119335715|119336277|119336765|119338456|119338584|119338732|119338982|119340751|119341064|119343708|119344461|119344582|119349564|119356250|119356775|119357058|119361481|119361656|119362088|119362795|119362985|119362990|119368352|102595281|119374695|119374696|102601093|102602312|119380827|102603629|102603844|119381179|119381231|119385778|119385907|102623346|102646077|102649493|102653211|102653870|111177995|103790863|103844962|103849468|120682161|103908294|103909606|103909626|103910294|103919974|103920747|112437221|112437488|121091765|121399103|121399547|104724712|104897610|113361411|113418505|113419071|105053753|113461861|122004463|122004474|122008567|113635787|113636952|122630477|122664844|122666599|122680520|122694964|122735339|106925237|115811735|115815873|115834020|115858605|115865971|107795285|124674565|116329377|116329488|116329748|116329770|116329853|116332263|116334986|116337945|108086269|108167433|108171950|108186058|108206111|108276019|108280329|116990474|108622859|100342930|100345484|100348541|108847694|109046570|109655999|119103329|119103458|119106082|119106294|119113626|119155411|119160376|119164357|119170702|119176903|119178140|119197145|119197262|119197656|119197937|119198114|119198420|119198462|102503647|102503895|102507805|102519095|102520437|102521849|102521870|102522469|102528534|119333180|119333972|119335229|119335326|119345197|119347001|119356264|119360388|119361444|119361936|119361965|119362074|119375407|119378630|102602365|119383024|102646870|102646891|102647908|102647911|102648368|102648888|102649058|102649068|102652031|102652041|102652769|102653384|102653393|103859053|103909706|104779109|122007708|115900809|107748981|108087783|117510759|117595786|100852895|117680967|117984541|117999551|109649839|101869327|118726885|111192070|120729078|105127596|113636590|113637195|122629955|122657568|106381572|106582790|107346347|107346387|115809220|116091898|116134052|116175390|116175435|116230577|116251074|116269170|116329725|116329777|116329787|108101239|108203476|100542975|100575124|100575199|102360240|102362954|102374920|104183251|104911358|113720730|107845975|108285647|108289087|117497006|109351818|102378251|113608577|116336631|100542486|119146605|119151574|119153090|119168579|119170709|119195058|119109128|119128565|119179520|119183703|109387168|107468942|100590440|101364674|119196245|119342423|119392474|121218625|116817701|109090877|109981198|119161303|102645414|102983872
trouble.n.03	trouble.n.03|calamity.n.01|trial.n.06|curse.n.05	117509811|100815440|100817567|100823559|100827460|117621449|100854640|100965881|101040172|101869297|101874333|101878514|118892092|102201001|102201507|102228016|119005603|102332508|102360556|102383789|102384771|102386415|102397528|102403368|102405257|121075762|121239385|121239867|121240460|121241398|121241545|121245998|121254809|121284247|121384149|121492367|121492448|104721041|104868665|115466575|115480750|123910420|115529481|123972035|107229728|115859416|107723258|116121289|107939187|116335433|116337396|108100570|108156438|108231247|108270488|108272796|100079531|100298537|100322304|117105246|100402550|100424176|100480125|100504213|100504833|100505046|100519040|100531302|100531305|100532260|100542737|100548574|100553546|100567166|100568381|100573708|100583361|100588596|100590057|100598121|100599010|100600271|100602293|100608734|100621210|100623583|100630142|100657675|102376072|117154285|116999407|100590409
trouble.n.04	trouble.n.04|trouble.n.01	117482755|101030211|101375292|101419705|110067366|101774091|118647076|103037222|113449109|113652727|105829716|115413536|107133957|107174789|107204069|107226896|107260893|107287602|107496522|124529256|124537263|124539649|124541922|124544535|124546438|124565973|124567008|124573350|124575749|124579080|124580653|124584952|124588584|124588920|124589944|124596134|124598685|124612396|124631859|124637707|124641577|124645322|124646570|124651084|124661658|124664949|124672879|124680335|124681545|124683516|124698458|124700902|124707997|124711542|124716572|124721325|124721789|124726675|124728878|124733607|124737938|124738158|124752776|124755553|124755902|124757214|124757273|124768113|124769734|124771943|124778521|108202444|116823121|116844040|117079118|108835966|100501000|100538786|100634180|117752288|110068170|102252706|107224419|124665887|124679424|100065382|100254830|108903431
adversity.n.01	adversity.n.01|suffering.n.02|affliction.n.01|sorrow.n.01|grief.n.01|misery.n.01|difficulty.n.03|distress.n.02|dolor.n.01|sorrow.n.02|throe.n.02|affliction.n.02|care.n.04|sadness.n.02|anguish.n.02	100673185|101081403|101455750|101465429|101483711|101511109|101518482|101536590|118321797|118334883|118352275|118352398|118352653|110015690|118497450|101866308|103467911|113721242|122630353|115424450|107096935|107115315|107142962|107189611|116333099|116815219|100053154|108558135|116993141|108670651|108675286|108771344|108839958|108840004|100632042|100819743|100844212|100846013|101877086|102163780|102364608|102372685|102377203|102377234|102378935|102392010|102392011|121445835|121503498|121545827|121548210|122008812|113636753|113637180|105748508|100308630|100509283|100526543|100602090|100605875|100619968|110051024|110063308|102398989|116337318|108234106|108576797|100343605|100620378|102372811|102384348|102384349|121516619|108167788|108275493|100521250|100854039|118991612|102384996|107897386|100804378|100861267|108310915|107098067|115824731|100190784|106419551|107998241|109648958|102374039|102392323|121237177|113368815|100104015|100497869
conflict.n.01	conflict.n.01|battle.n.01|fight.n.02|military_action.n.01|brush.n.06|affray.n.02|combat.n.01	109259622|101053880|101065763|115481688|115484259|124548100|124555663|124586377|124597909|124625653|124632020|124660558|124674052|124685261|124723692|124750619|124761861|124764024|100089623|100092087|100110973|100111917|100115058|117017625|117063300|117229556|100502965|109088948|107278040|124542938|124583359|124770376|117045891|117050466|117179838|117235840|100791181|117032621|117116405|117179663|117228774|124542593|124630046|124671714|124774442|124612586|124624725|124738130|124776587|117017797|115635599
exercise.n.01	exercise.n.01|exercise.n.03	100675475|101401578|101801868|101801889|101907943|101907964|101908022|101908049|101908106|101908301|102080712|102246551|102246573|102249927|102253576|102264882|103670291|103671939|104366018|104368494|104368858|113459949|113461184|113461214|115675880|117010594
asperity.n.01	asperity.n.01	100682656|100777416|101480861|101510998|118353077|118418784|102369091|103058871|107217464|107257828|107361953|108725824|108791672
fuss.n.02	fuss.n.02	101021181|102398022|105224570|107208838|124595823|124607258|124627344|124660157|108101357|108279047|100089007|117124898|100598327
fatigue.n.01	fatigue.n.01|exhaustion.n.01	101531535|101608625|101610722|118652707|110289896|118690100|102399243|102402795|113454389|122670863|107708555|103972792
