heart.n.01	heart.n.01	117500924|100798731|100825644|100831538|100854439|100854473|100856181|100856935|100866901|100867190|100867491|100868094|100868456|100868979|100869063|100869104|100869336|100869933|100871688|100872203|100873198|100873573|100875925|100879161|100880209|100899728|109356402|109399100|101033626|101063408|117948334|109816290|109987393|101657643|101663456|101665318|101671100|101671753|110065988|110072684|110079183|110080778|110081423|110081849|110084004|110085215|110089152|118486432|119063114|102375615|102376692|102954173|102959485|102961838|102977033|102978144|102978241|102978980|102980252|102981363|102983483|102983988|102992078|102992186|102992602|102992719|102996361|102998326|103012184|103018261|103022186|103022269|103116858|103470217|104864169|105034021|105035559|113498157|113635439|122638788|123136977|123150207|106590262|106592092|115503403|123931021|123931659|123931689|123931914|123932562|123934538|123935321|123936002|123936838|123937255|123937578|123942031|123942252|123943242|123943679|123944792|123944878|123945797|123946751|123946854|123947670|123947887|123948290|123949757|123950278|123953652|123955925|123958508|123964578|123964971|123965866|123966039|123966067|123966400|123968411|123968578|123968723|123968979|123969792|123970239|123971861|123972130|123972847|123974604|123975451|123975918|123977007|123979379|123980750|123982682|123983319|123984402|123985639|123985957|123986203|123986767|123986933|123991783|123992927|123994522|123994901|123995298|123995368|123996383|123996854|123997506|123998963|107247377|115670975|115719039|107466869|100006340|100006448|100010633|100017503|100019575|100023055|100026563|100031318|100033632|100035974|100036286|100041523|100047762|100048937|100049811|100052771|100060639|100062238|100079313|100083343|100084146|100091799|100094458|100095360|100097060|116875690|100106602|100109114|100113180|100115631|100115746|100118040|100124314|100131364|100136918|100142513|100146285|100153718|100154661|100176216|100187460|100205816|100212279|100215353|100225317|100238808|100239536|100244638|100247042|100247064|100247191|100247583|100247808|100249277|100251069|100251078|100251314|100251747|100253977|100254094|100256268|100256560|100257540|100257850|100258690|108650012|108650078|100298197|100299321|100299431|100300834|100300848|100302806|100303775|100304321|100305622|100305665|100305744|100306548|100306831|100307791|100307973|100308040|100308384|100308457|100308616|100498058|100507129|100575397|117358921|117378173
anger.n.01	anger.n.01|wrath.n.01|fury.n.01|anger.n.02|rage.n.02|wrath.n.02|indignation.n.01|resentment.n.01|craze.n.02|lust.n.02|displeasure.n.01|dudgeon.n.01|excitement.n.02|irascibility.n.01|irritation.n.01|pride.n.05|lecherousness.n.01|ambition.n.01|grudge.n.01|passion.n.05	117457757|117492800|117493782|117498054|117531598|117548636|117562070|100807197|117590221|100816338|100831893|100855640|100857750|100860117|100902240|100904493|109331588|109331635|109333122|109333152|109334304|109334715|109354390|109361065|109379524|109379630|109379686|109390629|101045959|101165306|101168795|117953464|117953489|109592093|117983720|101259859|101272279|101490523|118296944|110015444|110047019|101773460|101837666|118899693|118900549|102149753|102163690|102173891|102295451|110850837|110853008|110853176|110853565|110853664|110854390|110854618|110855342|111189676|111191658|103019309|103565839|103566223|103670591|103674554|120650334|120990430|104349492|104349503|104476045|104476468|104477236|104479869|104483285|104492100|104891690|104920974|105043244|105168208|105189061|113609338|105248456|105274199|105346112|105355987|105399764|122689155|122679059|122785738|106150379|106150672|106150691|106151036|106151086|106151333|106151656|106151991|106213145|106214237|123039489|106273920|106273974|106273990|106274011|106274157|106283045|106314444|123150719|123154017|106386759|106495541|106501687|106501717|106527564|123549178|106787006|106787278|123569584|106807048|106921843|123919443|115546457|123935878|107167415|123956246|123976072|123982159|115596279|123988115|123995331|115665702|107285143|115812243|115893544|116080417|116122054|124536725|124551991|124559536|124565447|124569475|124577585|116196016|116203435|116212880|116215436|124612066|124624772|124634195|107871486|124668444|124680999|107908508|107917580|116330378|116330429|124727620|124732895|107975172|108029499|108032029|108061461|108083641|108087408|108088884|108092493|108121202|108123098|108129469|124913988|108161698|108194442|108220637|108236172|108239560|108241142|108247374|108248002|108249349|108249463|108249574|108269941|108291929|108299956|108313560|108315080|108355337|108362279|116772240|100005879|116792245|116808850|116816442|116840986|116851340|116879980|100104368|100124293|116902527|108548873|108548903|108548970|100249558|108645380|108645430|108647156|108647316|108695873|108695914|108746314|108755071|108768893|108878386|108880492|117332097|117333832|108992117|109040785|109128743|117522529|117534711|117541342|117575064|117575205|100823429|109334526|117953434|110087650|110127278|110178446|110206153|110208672|110214807|110227045|110242620|110243498|110243548|110243848|110243902|110244076|110244138|110245208|101963731|118989109|102223407|102275935|102397632|110853349|120944043|120978796|120989838|121151608|104483644|121542230|121552063|104909465|104945002|104980588|104985880|104996769|105011146|105013366|105452260|105459935|105774372|105774390|122790550|106207259|114994165|124630399|115423884|123917615|115566795|115633808|115728449|115731044|115812503|115893445|124562776|124639003|116318635|116319978|116329374|116329780|116330353|116330369|107973254|108001920|108009425|108011830|108016229|108017351|108017946|108018281|108033178|108035837|108040707|108045773|108061886|108068622|108099560|108100132|108100238|108101359|108109086|108119368|108121045|108121205|108123790|108124932|108125020|108127368|108135560|108149911|108151470|108154003|108155480|108155580|108173655|108179655|108179903|108189921|108190030|108197822|108200926|108200928|108202113|108207147|108221784|108222390|108228245|108232754|108232863|108234929|108235608|108245404|108249654|108250141|108250164|108250730|108250900|108251011|108251127|108251462|108257263|108258777|108258795|108258875|108258881|108259120|108260218|108262077|108264986|108267961|108269745|108269762|108269862|108269987|108270895|108275235|108276224|108277881|108278764|108280414|108281326|108283374|108283384|108286154|108288009|108288119|108289044|108289214|108290676|108301726|108301929|108302239|108303831|108307473|108307483|108308049|108310579|108314141|108314592|108314632|108315076|108319629|108319692|108320160|108321129|108321410|108323674|108323719|108324551|108328280|108328571|108328966|108329324|108329357|108331074|108331284|108331885|108332651|108332752|108333521|108336460|108340224|108340289|108340550|108342367|108343277|108367202|108367408|108374201|108376432|108507441|116963544|108623658|108657895|108661993|108683286|108726990|108729161|108761563|108923103|108923711|100539990|117334398|117372875|117377944|109043450|100798867|100807221|100813520|109261740|109379657|101220596|110017563|118487892|101974506|101974556|102092285|119008566|119010854|102374685|102385808|110853421|120687398|120688217|105013412|105153328|122008597|122008634|122008648|113630967|106253772|106253883|123040328|106283143|123140381|106387366|123271108|123329142|123342939|106834490|106903063|106927400|115463623|123938853|107172837|115583583|123982875|123992536|123994028|115631780|107289682|107621852|124530970|116179223|116227648|116233071|116240417|124637689|116257898|124648015|124651598|124652637|124653735|116267762|124659370|124660868|124672100|116297027|116300563|124698721|124725075|124725152|124727555|124731685|107971219|124756331|124780382|108083335|108087513|108094657|108099448|108117840|108172097|108173981|108185951|108186511|108190984|108203628|108209759|108240087|108269850|108273165|108274436|108310066|108313482|108323658|108325835|108325928|108330177|108364502|100063781|116883780|100107026|116904216|116919998|108557461|100230066|108652574|108668998|108740702|108829268|108837446|108879397|100517204|100534201|100608865|100634232|100640388|100656339|117527324|117534819|117590029|109331266|109332677|109687497|109880092|118849261|110850051|110852390|110853772|110854794|112446009|121075241|121457811|121457841|121471037|121542227|104970657|104972328|104975081|104980450|105000104|105011248|106151060|106151155|106151630|106151679|106207262|106214209|123568337|115981095|107792354|107853882|107902542|107928472|116330567|108011140|108011222|108012811|108123083|108152072|108171368|108232390|108241188|108249502|108249668|108274485|108278879|108279288|108297487|108313107|108313505|116794247|100073597|116885525|116971683|100804907|109335067|109335069|110022104|110044321|110087482|102274055|102274132|102274165|102274203|102274358|102274429|102274527|102274597|105013572|116128030|116295652|116312020|107958873|108079469|108153526|108361235|108365780|116776972|100124024|100539414|117514189|117522552|117530892|117548759|117557836|117590533|100860153|110210785|121457788|121458040|104909479|106214340|108106253|108108574|108157362|108179590|108203161|117953183|110185801|118855474|105167981|105173054|121981923|105363242|116122025|108061983|108062841|108106570|108205249|108209772|120834874|120834879|105189216|122689041|115707852|116293863|100100860|108727307|108779314|108847542|105229607|106365595|124660468|108167874|108185000|109758767|110853790|123271090|118988993|116002714|108785604|103014535|124641324|116264483|108251410|100045844|100066987|108717571|108946286
passion.n.01	passion.n.01|ardor.n.01|enthusiasm.n.01|heat.n.04|ardor.n.03|zeal.n.02	117493731|117518197|117518348|100770792|109259629|117686786|109329732|109331499|101158953|110079141|101975102|102174094|102174165|102174244|102174263|102199017|102227588|102227693|102272286|102272311|102272532|102272659|102273576|102273590|102273622|102273663|102273688|102273738|102273845|102273862|102273866|102273894|102274740|102276676|102280651|102280890|102297690|102297828|102297863|102297886|102297914|102297920|102297969|102298018|110853399|111158340|103586930|103672852|103673189|103673196|103673208|103673225|103673240|103673254|103673288|103675075|103675109|103675129|103678167|103678207|103678244|103678677|103678695|103678709|103679063|103680134|103680184|120687537|120990511|104365333|104491308|104544323|121379274|105142137|105150460|105154830|113574739|105229179|105271281|105404081|105441824|122647185|122702168|106130598|106151373|106151426|106151544|106152085|106152823|106213669|106226718|106259535|106287801|106355210|123140388|106364218|123146405|123150311|106398369|106417819|106908116|106919560|115568295|123958097|115635249|115639370|115643126|107322616|115765623|115778214|115783192|115790511|116073814|124534983|116150214|116185458|116198435|116205859|116219029|124614916|116290926|116293961|116294320|116294701|116294936|124693191|124913982|124914018|116819061|116851376|116851426|100075821|116883712|116927141|108619619|108620467|108635789|108742294|108821637|108832942|108836801|108844832|100498229|108907115|108971555|109067028|106786637|108770120|106902745|124603002|124615919|115482293|116122592|118852106|116289022
spirit.n.01	spirit.n.01|soul.n.01	100838997|109266261|101031939|109591763|109752821|118321015|118375724|101630629|101648317|101649263|101650024|101650882|118431136|101655801|101659348|101665908|101667572|101670214|101671388|110062648|102068048|102081077|102081124|118900497|102382292|102391038|102413101|102961384|102962834|105036652|105681010|122785442|123066568|123152729|123935021|123935355|123935731|123935922|123942982|123947758|123956272|123957705|123959463|123962239|123962632|123966224|123966694|123967036|123971454|123971916|123975159|123976501|123982143|123990556|123991355|123992048|123995464|123995609|123997224|123997897|115777436|107845457|116824713|108556981|100243190|100247091|100247535|108679207|108718553|108747522|108917990|100815069|100825143|100878348|109685670|109697701|109762043|109828642|109987582|110082840|101734097|102366015|119379501|102957834|102964865|102968386|102974873|102974956|102975730|102976178|102976698|102977506|102978201|102979828|102980754|102981740|102981811|102984112|102984354|102985729|102991057|103023202|121443152|104870624|105036923|122716150|114557127|106593101|123930348|123956169|107672687|100097959|100179783|100243482|100490879|100495253
spirit.n.03	spirit.n.03|courage.n.01|heart.n.03|boldness.n.01	117478399|109128776|109216099|109332283|109592046|101649163|101655062|101657454|101661245|101667472|102091729|102091909|102092005|102379663|102408497|102408650|102412828|103344306|103910589|104359735|104959157|122788614|106905185|115360607|123933111|123933664|123933679|123938798|123939184|123943214|123948904|123954218|123955586|123963812|123966740|123967732|123971533|123973353|123975507|123977453|123980409|123982777|123987392|123988042|123994860|123997558|100031145|100036517|100037549|100050168|108680662|108754480|100645995|109045081|109066911|100829989|109272438|109350801|101184798|110076999|118885453|118888862|102972645|106150600|106927255|123940658|123982713|123994680|115647786|107629205|108088895|116797657|100028783|100072967|100082488|108591832|117047796|117210495|108910035|108950377|108975960|108998709|109037120|100998369|101033737|101537847|110059097|110070209|102386640|113573144|123936501|123983854|123986777|115638576|115784766|108429863|100092979|100166484|100052755
temper.n.03	temper.n.03	109122466|109142277|109329313|109329462|109329502|109329666|109329766|109329848|109329896|109330142|109330376|109330472|109330636|109331058|109331422|109332442|109332487|109332529|109332548|109332579|109334587|109354152|101131394|118332207|110081782|118792017|102143105|102143115|102397790|102973295|103672119|104347505|115542989|115561320|123990051|116772328|116793594|100047035|116832768|116874824|108641818|108742192|108745542|100552499
mind.n.01	mind.n.01|brain.n.02|intelligence.n.01	100803302|100955606|109777445|118179544|118292110|101648896|119003869|119367746|121332484|104959253|104959569|122649967|106589029|123957117|123957173|107234175|116119065|116222293|108090985|108092772|100019725|100045275|100077752|100136152|100164363|100169904|100179431|100202456|100218169|100232558|100241956|100253491|100254627|100254996|100300757|100306158|117360211|101146700|123943831|122702174
liveliness.n.02	liveliness.n.02|animation.n.03	109262407|109959134|101661833|101671158|102081180|102174020|119095461|102977684|120778821|120970697|104359527|105443205|123933394|123934393|123937204|123943125|123961038|123968840|123986096|115684542|115750524|116832744|100081810|108574622|116992339|108665420|108877513|109167696
soul.n.03	soul.n.03|emotional_state.n.01|feeling.n.01|temper.n.02|climate.n.02	102974824|113353905|100028460|100031032|100032572|100058014|100067644|100081701|100083079|100085383|100085915|108628683|100525581|100866984|109332309|102388424|102969168|105174854|123947905|123980013|123981469|123996664|108159809|100064013|117950076|109955654|106152256|100305463|108785667|109330008|106787615|123955524
mania.n.01	mania.n.01|urge.n.01	117478374|117686799|105274564|105281930|105319575|106151475|106489431|106496951|107208195|115783157|116223223|108684643|100797199|103948356|103948918|123067365|123086884|123168216|123182572|115613553
