religion.n.01	religion.n.01|faith.n.02|belief.n.01|impression.n.01|conviction.n.01|opinion.n.01	117450202|117450302|117451014|117451029|117451079|117453047|117453069|117453321|117453344|117454348|117454513|117455345|117456108|117456132|117456139|117456741|117456762|117456848|117457814|117457946|117458225|117458565|117459263|117459563|117459621|117459629|117459642|117466906|117467538|117468391|117468627|117479742|117479758|117479772|117481106|117481221|117482362|117482890|117483664|117483706|117483751|117483767|117483800|117483815|117483840|117483884|117483929|117483969|117483996|117484021|117484036|117484059|117484068|117484077|117484224|117484250|117484298|117484319|117484380|117484478|117484656|117484809|117484911|117484920|117485009|117485036|117485149|117485174|117486285|117486296|117486457|117486684|117486747|117487150|117487159|117487312|117487582|117487646|117487648|117487699|117487709|117487727|117487768|117487811|117487819|117487871|117487908|117487958|117487969|117488023|117488057|117490052|117490277|117490415|117490425|117491023|117491119|117491136|117491152|117491164|117491207|117491582|117491766|117491861|117491930|117491976|117492046|117492113|117492173|117492293|117492304|117492312|117492364|117492407|117492596|117492663|117492860|117495003|117497508|117498945|117500242|117500319|117502325|117503378|117503670|117503672|117505698|117505716|117505883|117505891|117511326|117515240|117515529|117518331|117521203|117523837|117524977|117525225|117525588|117525733|117526535|117526747|117527648|117527934|117528471|117529481|117531693|117533378|117535504|117536131|117536241|117536577|117537444|117538099|117538162|117538984|117539462|117540097|117540561|117540598|117540715|117540909|117540915|117540925|117541095|117541135|117541206|117541283|117541642|117541680|117542195|117542750|117543017|117543704|117543713|117543720|117543734|117543759|117544617|117545028|117545072|117545709|117545832|117546063|117546465|117547030|117547394|117548973|117549756|117550923|117551854|117551913|117551917|117551980|117552066|117552075|117552134|117552196|117552198|117552207|117552222|117552239|117552276|117552294|117552336|117552379|117552730|117552738|117552846|117553648|117553676|117553689|117553717|117554027|117554357|117554531|117555316|117555438|117556695|117556823|117558398|117559549|117562389|117562660|117563386|117563628|117564479|117567545|117568230|117568548|117568559|117568575|117576414|117577766|117577805|117584717|117585088|117585100|117585113|117585530|117585685|117585864|117586124|117586343|117586368|117588287|117589401|117589733|117590340|117590862|117590964|117591638|117592761|117593005|117594838|117595632|117596281|117596550|117596593|117596900|117597548|117598338|117598621|117599078|117599413|117599898|117600788|117600813|117601481|117602161|117604811|117604856|117605449|117605518|117606297|100829109|117607213|117607260|117607296|117607325|117608765|117609625|117610106|117610140|117610631|117611802|117615025|117616702|117617779|117617908|117619473|117619577|117619853|117619863|117619892|117620005|117620053|117620080|117620094|117620344|117620361|117620373|117620396|117620405|117621054|117621824|117621848|117622574|117623360|117624359|117624958|117625224|117625461|117625515|117625588|117626565|117626851|117627212|117627455|117628581|117628610|117629759|117629910|117630306|117631282|117632625|117632901|117632995|117633030|117634537|117634554|109279330|109302837|110094141|110095080|110100132|110101377|110103964|110105717|110114250|110119011|110119452|110129769|110130604|110131724|110139371|110140098|110143633|110166196|110166212|110168156|110168213|110172704|110174575|110174842|110174933|110175153|110175805|110179116|110182180|110183229|110185096|110185154|110185233|110185327|110185329|110185338|110186496|110186603|110186608|110186637|110186642|110186649|110186730|110186791|110186822|110186862|110186890|110186926|110186952|110187011|110187042|110187111|110187131|110189853|110189871|110189986|110190049|110191073|110192076|110192105|110192112|110193200|110193873|110198490|110199168|110200149|110200197|110201152|110201840|110201851|110202758|110202982|110204088|110205054|110206291|110206869|110207201|110207215|110207295|110207361|110207399|110207418|110207431|110207451|110207503|110207566|110207743|110207755|110207763|110207777|110207783|110207796|110208441|110208460|110208938|110209349|110210120|110210185|110210334|110210462|110211620|110211763|110212238|110212291|110212631|110213013|110213022|110213706|110214091|110214353|110214377|110214472|110215504|110215629|110216177|110216225|110216253|110216293|110216342|110216887|110217186|110217215|110217364|110217786|110218084|110218133|110218149|110218292|110218399|110218409|110218528|110218638|110218773|110218828|110218914|110218987|110219091|110219267|110219744|110219767|110219780|110219954|110220042|110220230|110220579|110220674|110220872|110221004|110221440|110221487|110221672|110222271|110222288|110223614|110224193|110224375|110226268|110226527|110226551|110226558|110226574|110226591|110226622|110226650|110226670|110226695|110226700|110226720|110226758|110226809|110226884|110226927|110226938|110226956|110226974|110226998|110227038|110227056|110227075|110227092|110227102|110227147|110227269|110227320|110227948|110228748|110228835|110228983|110228996|110229043|110229060|110229115|110229143|110229153|110229189|110229223|110230205|110230410|110230437|110230482|110230694|110232144|110232262|110232350|110235543|110236525|110236904|110237854|110243628|118722001|118723706|118981536|118982202|118991077|119004832|119005172|119008395|119009819|119010054|119011254|119016745|119018267|119021937|119022336|119031157|119040756|119043660|119047264|119047735|119050972|119051301|119051380|119052132|119052960|119058493|119059173|119059318|102308452|120641750|120663176|120663223|120663242|120663345|120664212|120664255|120665577|120667807|120669878|120679888|120680310|120680391|120681527|120683599|120684187|120684289|120684814|120684991|120688972|120689625|120690162|120690384|120690628|120693397|120725142|120726040|120726144|120728113|120728572|120729019|120729040|120829166|120829424|120831164|120831598|120831870|120834700|120834846|120835113|120835297|120835709|120836413|120836528|120836876|120836985|120837024|120837032|120837060|120837092|120837984|120838238|120839580|120839871|120839949|120843917|120844693|120848487|120848494|120854426|120854737|120854993|120855174|120855858|120856582|120873443|120873703|120874219|120874229|120874314|120874434|120874686|120874714|120874728|120874753|120874791|120874940|120875279|120875312|120875498|120875534|120876492|120877299|120879856|120880181|120880219|120880264|120881517|120882170|120965994|121031053|121031386|121031478|121031517|121032165|121032285|121137464|121137541|121137565|121152482|121284501|121351959|121366841|121367649|121367700|121368074|121368087|121370002|121370193|121370349|121370631|121371428|121372896|121379880|121381787|121382590|121382865|121383056|121383507|121387037|121387048|121387107|121387204|121390692|121403435|121409716|121415851|121418294|121418863|121419136|121420435|121423106|121424765|121424837|121424853|121424866|121424885|121425067|121427028|121436434|121443494|121452465|121453363|121466296|121466433|121472525|121481764|121485431|121486334|121490112|121490154|121490184|121497531|121513231|121514487|121515933|121526480|121536730|121547694|121548065|121550519|121554830|105013329|121940436|121942214|121952090|121953820|121953826|121953839|121955982|121956983|121958192|121961298|121965061|121965248|121965258|121965414|121965710|121965899|121965991|121967142|121967239|121969357|121971889|121972046|121972063|121972122|121972136|121972149|121972168|121972260|121972265|121972346|105206004|121991055|122006580|105352890|105375060|105399887|105453020|106166942|106234545|106235199|106243093|106253292|106260174|123044357|106272474|106278135|106289349|106290153|106322441|106337446|106345571|106385816|106385905|106498223|106525594|106525841|106526924|123333739|114983238|114983510|114985330|114987612|114989734|114989938|114992418|114994103|114994963|114995450|123589954|123590151|123590304|107111466|107111501|107111517|123899983|123900616|123900655|123901737|123903158|123907170|123908463|123910652|123917423|123918192|123922411|115544135|115545805|115546702|115550210|107189703|107238490|107260101|115876652|116083599|116169355|124678511|116336808|116337496|108183485|108200880|108234296|117005829|117035083|108651774|108727245|117357223|117372740|117374072|117374205|117376047|117380169|117380210|117380548|117381661|117455732|117456836|117484902|117486816|117491021|117534767|117541520|117552176|117555546|117568501|100834892|117630458|109356820|101067922|117945278|101513568|109995905|110010573|110011456|118478756|110094652|110111676|110113609|110128070|110131165|110139362|110139606|110140711|110190680|110191679|110198974|110220908|110221747|110228310|110228356|110229070|110229085|110238021|110243030|119062695|103411757|120685462|112385192|120836835|120875853|121258408|113684624|105320112|105393302|122710730|106215843|114648380|106322085|106322209|106385677|106385971|106385975|106394349|106404447|106429933|106498092|106500092|106500099|106787092|107111326|123900730|123914404|107142631|115546811|107211597|107259862|107284739|115899731|116106949|116126305|116208508|116337381|117036618|108682566|100365455|117155838|100384242|100408138|108881436|100540499|117317724|108958581|117376167|117484104|117492232|117633971|117634102|117634109|117634655|109305130|109355066|109654848|109993988|110217665|101982370|101982407|102114545|102124345|102161859|103537043|103583903|112386911|104103253|104305844|104465997|121370183|121370683|121372988|121386346|121424612|121424781|121452898|104752240|113519063|113610686|105328208|122663267|122666298|122762974|106336312|106392114|106499401|123333087|107081984|115503656|107531580|107535293|116537154|116544397|116544480|116544676|116544677|116544877|116545010|116545092|116545141|116566725|116892453|108833904|109090208|117486557|117492344|100835871|117634139|117634639|109355081|109378671|110190197|101982469|102116847|102147896|118992507|103583931|103583933|103663780|104223315|121292107|121370717|121407798|113385866|105046977|121965763|121965798|122716931|122717383|122718023|122727482|114650291|106289478|106391692|106498709|114985705|114989561|123559605|115641146|107545189|107560737|115967315|116090413|107717509|124568796|124650960|116536139|116561701|108670452|100579365|109282641|109284467|120658048|104355921|104482718|104482790|104494881|104581283|104581363|104581412|104581996|104582033|104582108|104582137|104583444|104583458|105049300|105117315|105274364|122718233|122729825|123199713|106437159|123333643|107349475|107467581|107471913|104475081
proof.n.01	proof.n.01|confirmation.n.01|evidence.n.01	100685671|100693571|109086603|117629497|117686634|109313085|101117232|101118551|101282949|101699366|102308389|111203044|103220280|103223455|103224350|103399259|120759518|104465512|104465569|104465702|104465779|104467109|104473701|104473797|104482685|104493293|104494347|104501822|104501844|104510294|104510416|104512984|104513368|104513831|104643310|104651576|105278471|105458485|106113885|106117324|106119199|106122488|106246070|106251109|106267323|106270013|106302077|106312941|106323927|106331945|106366906|106373193|106383356|106384615|106389228|106389283|106393138|106396427|106396614|106399289|106415230|106416009|106418126|106420912|106422313|106427997|106439856|106449983|106462411|106463405|106466522|106475822|106481465|106490684|106512183|106512897|106536093|106537005|106537541|106540305|106555345|106558267|106564410|106566722|106567268|106576693|106577642|106586403|106747309|115426101|107198087|107231920|107232539|107246911|107248620|107313588|107313608|107344176|107367378|107456328|107492770|107548468|107548722|124476852|107719412|116545394|116545398|108546964|117208731|100517152|108936097|108968079|117367192|100653800|109300784|117691402|117949856|101279595|119358232|105273806|105280201|105385197|106157369|106157753|106450084|107246899|115824210|116197351|116545503|116545695|100686002|103217175|103536941|103630355|120658265|123284250|107243497|107246842|107275875|107564559|116075280|116258575|116573113
assurance.n.02	assurance.n.02|assurance.n.03|guarantee.n.02|oath.n.03|promise.n.01|parole.n.01|oath.n.02|security.n.07	100681994|109072525|100716301|100761539|100772259|100799229|100846430|100863236|100942749|100942823|109343166|101086494|101088513|101203735|101249566|101252161|101287427|101351994|101439077|110004409|110046753|110219331|101878740|102187205|102217969|102428047|102437832|102452506|102466004|102478483|102478743|103086672|103177815|103467617|103467693|121232109|105064262|105194853|105205951|105249022|113649961|113660270|113675906|105290503|105290513|105290551|105299306|105299387|105325169|105385362|105402910|105414154|106333470|106750320|106759191|106759201|106854856|106863114|106885895|106885922|106887681|115367226|115427541|107077094|107100061|115502968|107143306|107150696|107158824|107174055|107176879|107177406|107206762|107218758|107218970|107219135|107219450|107264491|107284687|107314504|107335978|107349277|107361282|107362565|107369233|115825903|115892733|124598849|124617186|124620497|124634972|124639433|124653253|108531061|117000543|117004631|117066974|117095311|108740823|108833052|117239431|117239531|100490984|108956292|108982070|109041415|109042826|109046194|100660694|100660927|100661881|100680867|100795507|110177215|103060490|103174759|103174766|103174796|106796571|107150166|107159242|107217185|107219086|107219177|107219353|107219377|107219469|115808980|115867032|115889386|115889729|115899574|115917756|115960368|116000230|116021076|116021090|116021570|116094700|116106672|116135240|116242694|116245698|116248312|116260914|117047082|100390443|100743768|101247026|101307995|118460181|118507763|118507770|118507794|103177523|105159450|105159576|105161433|114638574|106762660|106813526|115533579|117202898|117969140|103309615|121246739|105325554|115957513|116008223|116088590|124594639|100388412|100515427|100517050|117986020|118006660|109915804|101592515|119073030|121551095|106772744|116010566|117004508|117202124|101282738|115717803|107608082|116074868|100608136|103221319|103306941|103307282|103308000|103314205|105420878|106296083|115947471|115954556
fidelity.n.02	fidelity.n.02|loyalty.n.01|allegiance.n.02|loyalty.n.02	109082569|109085654|117516115|109270464|109271502|117670040|117692182|117710524|117723832|117746535|117759376|117760016|117986477|117993312|118008281|101353494|101376475|101442724|110186198|110208724|110221854|103390077|103391004|103391175|122003511|105284427|113683384|113695395|113695450|105403509|122614637|123344238|123541103|123892945|115817183|115898763|115902993|115905890|115908504|115909728|115977413|115983376|115989302|116003291|116003456|116017866|116027381|116028462|116028680|116060918|116061009|116069064|116076926|116084313|116119262|116120839|116135786|116137481|116137688|116137812|116140823|116141114|116147854|116148486|116167767|116184310|124592776|116212357|116220813|116226083|116232775|116244127|116269440|116271717|116297970|116311434|108030561|108151293|108151839|108196534|108209443|108210241|108219023|108279466|108279494|108282327|108286264|108302028|108314402|116769232|108664403|108694684|117104451|108771935|117175293|117202825|117202883|117204923|108825741|117323666|108936266|108940726|108941656|117334921|108971918|108986593|109024871|109038437|109042798|109356534|118326242|109996149|110018275|110025716|110025910|118418747|110038645|110250251|110253778|118666616|102368649|103447224|103447371|103447859|105130297|105142498|113542635|105194140|105248827|105255820|105276868|105284634|105294078|105307829|105314569|105380368|107159819|124666663|124700164|124702314|124749008|124775353|100307945|117320655|117343462|117350276|117352239|109085132|116135581|116135958|116136034|116136719|116138467|124761994|117020095|117346112|108095144
faith.n.04	faith.n.04	117541335|117541609|117541631|117596509|109235597|100952957|100953607|117958922|101295302|101459674|110014263|110043989|110221165|110222201|103447899|120554209|120679499|120681166|120681286|120839160|120880805|121260028|121528264|105117996|105118166|105162509|105194216|105274282|105274304|105274794|105277869|105278201|105278214|105278583|105294710|105313649|105346088|105361724|105361836|105369692|105376833|105382141|105382153|105382174|105382230|105383517|105387854|105387876|105391112|105399880|105405359|105431716|106307122|106358295|106395502|106400207|106445796|106498288|106540980|106752914|106823272|106823295|115365112|123910541|115543988|107178326|107201867|107217155|107217240|107230459|107267334|107298499|107353458|115965454|115999870|107633604|116107067|124549933|124592327|116233591|124623328|124625839|108078295|108191047|117045396|117102751|117115408|117116605|117148039|117187014|117204569|100469856|108904509|108924614|109018282
confidence.n.02	confidence.n.02|confidence.n.04|trust.n.03|trustworthiness.n.01|credulity.n.01	100668334|109066640|109069581|109076021|109080217|109111872|109127838|100795234|109265303|109306138|109334751|109363693|118441245|119063954|119066755|103076522|103091071|103101321|103127827|103174115|103226798|103396926|103427002|103685236|104341558|105055942|113490548|105278738|113667821|105285584|105287032|113684378|113722238|105402602|105404368|105424660|105433715|105764499|122610158|122651842|106394405|123332760|106571332|106753791|106930576|115385016|115411877|115894741|116044482|107785407|108585698|108588171|116999846|108614315|108618712|108703945|108726062|108739047|117181612|108810656|108824852|108842636|108916826|108920138|108924640|117346641|109030155|109042434|109045975|100952861|101596696|118433030|118505826|118506455|103446857|121178425|121190815|121192858|121204302|121206967|121211149|121229649|121240873|121242268|121242555|113491334|113491349|105261390|114665926|123343837|107358512|116086819|107762165|124696590|108072162|108566786|108636188|100369233|117231125|108929985|100855798|101596684|118506295|121179432|124567660|100254018|103242048|104355095|105156267|108664021|117345921|109317741
recognition.n.03	recognition.n.03|authority.n.06	109355127|118414380|102451929|103046408|103056956|103063813|105118423|105130193|105212857|105226736|105261104|105287104|105320043|105334536|105440402|122718100|106504417|115455529|107216848|115737503|107537690|107549018|107718574|116111527|116114632|116211620|107834133|107837085|108201738|108591785|108648031|108652740|108763952|108914201|108937776|108937789|108987306|109031238
assurance.n.01	assurance.n.01|certainty.n.01|reliance.n.01	109124536|109137461|100795250|101596667|118387466|103174734|103619282|120657777|104348032|104348061|121248992|106285257|123110585|123117789|106525831|115333641|115385696|115393006|115423089|115493082|107219422|115852122|116109650|108539703|100331420|117204518|108953340|109050544|103565193|103614122|106194502|123124697|110005029
credibility.n.01	credibility.n.01|cogency.n.02	100787129|109197205|120659580|104528668|121477112|106467579|123330738|107548986|116262883|116538851|116542436|116547469|116547709|116547779|116547990|116548052|116548110|116549699|116549923|117226488|108864019|108986345|112408383|112408435|112408447|112409017
credence.n.01	credence.n.01|orthodoxy.n.02	109055494|109071663|109165489|100828909|109249055|109249193|109310258|117955615|101281507|105117504|105438585|114605235|116544504|116554008|108538463|108670376|108746822|108884216|108904646|108968219|108974205|121939835
