bible.n.01	bible.n.01|scripture.n.02	117451554|117453767|117453890|117454029|117455608|117456772|117456867|117457436|117458395|117458861|117464704|117465815|117467077|117467838|117468654|117474164|117475419|117476692|117476786|117476860|117476881|117477034|117479945|117481433|117482045|117482452|117483907|117483921|117484245|117486026|117486128|117488364|117489348|117489604|117491088|117492978|117495082|117496266|117500125|117506264|117506511|117507030|117507146|117513908|117515099|117517527|117518551|117520434|117521487|117523401|117524734|117525780|117525871|117525938|117526654|117527007|117527382|117528621|117529912|117530157|117532267|117533011|117535471|117538894|117540581|117541956|117544737|117549019|117551191|117551407|117555205|117556444|117556959|117557138|117557394|117558049|117559693|117564470|117565451|117566969|117568394|117569611|117571931|117572851|117574104|117574423|117574526|117575345|117578318|117582355|117582565|117583010|117585151|117586060|117586226|117587849|117588999|117591951|117593540|117593666|117595318|117595510|117596367|117597129|117597967|117599515|117599594|117599702|117599850|117600092|117600236|117600385|117600774|117600808|117600842|117601030|117604307|117606431|117607141|117608111|117608134|117608175|117615862|117618573|117626438|117626950|117626978|117628980|117629177|117629428|117629453|117629470|117629588|117629639|117629905|117629919|117630060|117630066|117630095|117630109|117630197|117630342|117630410|117630622|117630824|117630871|117631150|117631270|117631641|117631645|117631762|117631986|117632035|117632890|117633430|117633539|117633667|110104451|110105036|110108862|110119853|110120156|110122259|110127119|110145913|110146103|110147626|110150280|110152568|110152641|110155604|110158212|110160839|110162593|110162701|110162863|110163179|110164701|110170208|110170295|110176559|110176753|110177756|110177846|110185054|110186687|110190094|110192183|110193191|110199966|110199981|110207428|110207734|110208346|110219424|110221011|110228883|110229673|110230857|110232656|110233444|119003859|119009832|119009850|119011445|119012914|119012977|119013076|119013732|119013903|119015616|119016526|119016621|119016650|119022117|119022857|119023540|119023636|119023739|119023994|119024009|119024755|119025077|119026808|119028234|119028405|119028969|119029083|119029098|119029116|119029751|119029863|119029953|119030149|119030193|119030218|119030411|119030506|119030603|119030620|119030940|119030991|119031023|119031154|119031258|119031990|119032006|119032063|119032213|119032846|119032911|119033532|119033950|119035179|119035572|119036596|119036661|119037219|119037431|119037464|119037773|119037785|119037792|119037879|119038110|119038228|119038240|119038273|119038838|119039485|119039627|119039696|119039827|119043371|119043715|119046169|119047501|119050476|119050510|119050865|119052831|119054153|119058045|119058092|119058895|119058924|119059265|119059831|119059853|119059905|120664115|120664320|120664577|120665343|120668520|120669693|120683778|120683876|120685622|120688573|120691121|120691789|120693103|120693143|121138955|121139037|121139089|121142387|121145221|121145418|121145559|121146620|121147162|121149094|121369474|121371325|121381639|121382145|121382562|121386844|121388722|121392352|121394538|121398072|121398118|121401644|121404067|121404922|121405911|121408403|121409395|121409603|121411344|121416830|121423114|121430794|121436354|121438702|121439113|121440725|121440893|121447251|121447293|121447331|121449484|121450550|121450599|121451429|121463056|121466165|121467148|121467394|121470980|121471199|121475960|121482851|121483997|121484166|121488143|121491008|121491160|121492582|121493389|121495896|121495918|121495938|121495981|121497201|121501074|121502869|121503144|121503739|121505068|121511476|121515590|121515653|121543869|121546337|121549174|121553892|121940418|121940442|121941837|121942141|121942356|121942824|121943363|121943437|121943759|121944468|121944862|121944912|121945609|121946080|121946471|121947376|121947815|121948267|121948503|121948544|121948775|121948886|121949305|121949316|121949380|121949694|121949714|121949808|121949958|121950213|121950359|121951294|121951304|121951329|121951511|121951690|121951794|121952227|121952275|121952381|121952498|121952542|121952704|121952830|121953582|121954234|121954485|121954693|121954856|121955047|121955113|121955323|121955772|121955917|121955971|121955991|121956008|121956283|121956529|121957318|121957752|121958004|121960211|121960485|121961758|121962035|121966662|121977356|121980486|121981968|121982848|121991841|121991863|121994396|122003664|122004569|122005043|122005455|122006570|122006593|122007065|122007305|122007516|105770233|106115797|106290090|106293306|106304642|106307845|106313355|106371233|106375076|106377880|106383945|106424757|106438521|106458632|106473545|106475184|123901864|115832257|116166677|124622195|108013084|108375242|117356962|117373243|117373644|117375789|117378180|117562647|110108909|110145809|110162874|110189583|110190344|110229159|119028961|121948668|121956602|121962155|121997126|106422330|116338176|107985890|108012689
painting.n.01	painting.n.01|picture.n.01|portrait.n.02|fresco.n.01|art.n.01|drawing.n.02|delineation.n.02|map.n.01|sketch.n.01|figure.n.04	109185794|109272538|100905701|109364027|117958121|117958190|117975339|109772271|101386702|109832605|109883888|118326480|118337766|118371405|110016609|118405976|118407087|110020431|110029370|110029466|118493299|118493313|118493338|118512845|118512889|118512933|118515023|118644488|110287182|118721937|118754253|118764410|118783621|118799182|118862558|102112858|102158841|102386678|119343626|119365243|119378735|103339298|103583625|120783402|120968723|120968754|120968925|120969265|120969491|120969672|120971768|120972184|120972366|120973585|120973738|120973953|120976055|120977152|120977179|120977320|120977363|120977760|120977829|120978052|120978254|120978446|120978906|120979228|120979280|120980903|120981062|120981192|120982339|120982413|120982565|120984123|120984309|120984746|120985101|120985396|120985925|120986061|120986429|120987886|120990371|120991497|120991665|120992307|120992616|120994374|120994524|104287861|104291602|104366852|104366870|121451290|113334624|113412778|113474733|113481941|113504324|113505231|113562944|113563260|113590801|105293925|105391310|105461104|105814875|122676965|122785273|122786509|122786553|122787937|122788330|122789823|122790622|122791711|122791846|106161894|106229971|114685273|106417588|123224103|106447842|106577494|106588965|123573805|106806530|115528715|115555334|115556584|115556609|115556802|115557495|115563655|115563813|115563829|115563881|115563941|115564491|115565562|115566368|115567970|115568004|115568091|115568110|115568142|115570947|115585529|115588294|115601410|115649581|115649684|115660457|115669451|115678598|115678659|115686757|115709042|115712238|115719329|115719348|115720582|115739450|115741773|115747785|115747820|107364951|115756921|115762660|115764886|115786124|115786200|115786318|115786660|115786792|115787343|115788069|115788095|115788444|115788932|115789868|115789973|115790105|115790280|115790405|115790584|115791042|115791212|115796917|115797169|107461231|107473976|107530261|107657545|107661700|107671548|107772771|107774652|107822727|116536568|116540716|116798733|116818348|116888380|116901281|108551620|108552780|117037018|108662564|108672544|108714487|117153744|108800065|100555769|108956376|117367663|117367928|117367933|117368033|117368504|117368905|108999423|108999474|109001770|109029696|109049035|100924780|113320467|113334118|106499503|115564424|115660579|115719231|100569987|118867394|113482803|123224112|115570783|115578222|108588356|108703046|102156181|102393116|121349753|113399799|106424248|117106143
indictment.n.01	indictment.n.01|indictment.n.02|charge.n.02|accusation.n.01|impeachment.n.01	100730102|100737927|100737933|100741583|100742302|100742576|100755223|101126284|101167413|101250519|101263919|101266223|101266254|101266941|101266958|101267627|101365369|109797850|118310013|101672701|101672954|101682477|101682780|101684850|118468372|118822315|118822485|118826144|118834826|102295729|102298997|102301470|103073716|103075897|103077418|103092502|103093512|103093778|103119641|103142155|103142473|103143834|103158592|103162281|103165156|103173448|103180070|103180539|103183755|103184476|103185877|103186238|103188173|103191801|103195492|103195842|103202547|103251019|103309855|103309897|103310805|103326292|103326524|103327281|103327780|103328488|103328666|103328707|103328741|103328794|103328852|103328957|103329045|103329236|103329586|103329616|103329867|103330196|103330252|103331622|103332687|103332869|103332989|103335802|103335923|103335972|103336007|103336830|103337021|103337051|103337065|103337239|103338960|103339005|103341568|103341768|103341937|103342070|103364877|103379292|103396186|103424222|103425560|103425612|103426063|103426209|103426271|103428473|103428691|103445512|103445869|103450819|103605179|103605604|103605624|113419515|122623943|115342976|115527744|107365212|117185140|108977416|101126054|101401888|101672601|101678665|101683273|118811241|103073782|103077382|103077807|103077850|103163239|103165389|103166246|103209202|103424211|103435217|107428698|108976555|101266127|101396812|102469424|103148350|120753484|116889892|118827789|118837995|118840475|118840836|103211187|102457532|102457878|103449191|103597468
writing.n.02	writing.n.02|writing.n.04|writing.n.03|inscription.n.01|handwriting.n.01	117451615|117476759|117482238|100767513|117554537|109206208|117615906|109867620|101885490|118997792|102620960|121147215|121154378|121284189|121350787|121355718|121416069|121499229|121509643|121509656|104752634|113472294|113480055|122619711|106201173|106584245|106847458|106847493|115345025|107058775|107086162|107468468|107468558|107492815|107494535|107495054|107495890|115992651|107647393|107718597|116161357|116168340|124607368|124644902|124695954|116315818|107995732|108007004|108016777|108075481|108078601|108081127|108123652|108207210|108358934|108359223|108370541|108370892|108371189|108509378|100330547|108759666|108810631|117355327|117371918|117374229|117378540|108994378|117602704|103488300|120778261|120826864|104933158|104933159|104997205|106293931|106293932|107734486|108078023|108208215|108209601|108358869|108358898|108358906|108358912|108358971|108359003|108359086|108359113|108359123|108370581|108370803|108370834|117482352|117546046|117569116|117586711|118993886|119040026|112430501|121146835|121152624|121370928|121379975|121413520|121440377|121452302|121467312|121488155|121941780|121948598|107289830|107492952|107496784|107525652|107775784|117371900|117612872|106577336|115341057|115410344|107074522|116058690|107771203|108094905|116815038|100331626|107993934
lawsuit.n.01	lawsuit.n.01|prosecution.n.01|proceeding.n.01|criminal_suit.n.01|judgment.n.03|trial.n.04	101673715|101683207|101769330|102462302|103251401|103396199|103409897|103427644|103427832|103604907|120758202|120771461|120774274|120776348|120785548|120787811|113354710|113462698|116888598|100662194|103183632|103312350|103380332|103380534|100532902|102463645|113417057|115363835|116888631|103282258|103283567|103283625|101249321|109860388
writing.n.01	writing.n.01|writing.n.05|composing.n.02	117449715|117450188|117452202|117464196|118291950|110252593|101885165|121954681|107060710|115835174|116149033|108529500|108653454|108653599|108663556|108663701|108371182
treatise.n.01	treatise.n.01	117452481|121404320|121419795|121446491|121461162|121494382|121495784|121499668|113527555|106241259|106341342|107452383|107471046|108761222|108796530|109030268
work.n.02	work.n.02|work.n.01	117600700|109918556|121482414|105156427|113550722|105172652|105418034|123531198|106894893|107060524|107432809|107496527|107697630|106422882
letter.n.01	letter.n.01|text.n.01|text.n.04	124537867|124578003|124613555|124619041|124647727|124648710|124723110|124773183|117002467|117139492|100517063|100588641|100641749|107538585|107635497|107735086|107756719|121966262
history.n.02	history.n.02|narrative.n.01|record.n.01|statement.n.01|note.n.01|history.n.05|history.n.03|history.n.01	105444948|107066834|107083680|107097373|116995765|117008608|117014198|117025150|117025510|117081372|117127506|117136353|121385597|121394131|121449086|107494498|106372308|107355302|103077537|121345049|107276130|107530419|117008164
