senate.n.01	senate.n.01|united_states_senate.n.01|parliament.n.01	100664715|109086252|109536873|109537574|101329107|101329186|101354400|101354411|109872762|109996935|109997574|109997712|118391243|110015722|110031507|110033114|101879260|103285180|103286164|103286230|103286415|103286464|103286776|103286798|103286914|103286949|103289809|103289819|103299325|103310312|103310458|103310482|103325050|103380887|103387735|103393006|103396336|103396381|103396425|103398532|103399184|103402322|103413007|103419724|120551573|121414928|121445631|121493115|105411485|105415155|105418379|105421334|105423517|106561243|115331541|115333421|115333823|115334223|115334344|115334695|115340914|115341954|115342426|115343734|115344853|115345029|115346090|115346223|115348477|115348723|115349086|115349779|115350133|115351021|115351229|115351710|115351976|115352305|115352452|115363235|115367456|115370195|115379793|115380737|115380984|115382869|115383779|115383980|115384880|115385512|115391756|115392242|115400212|115400724|115401091|115401494|115402027|115410195|115410471|115413198|115413264|115424996|115425067|115429645|115433018|115433258|115435900|115436755|115443277|115444407|115445282|115448758|115448937|115449010|115449765|115451281|115452016|115452159|115452365|115452928|115459901|115465671|115465882|115467594|115473410|115475360|107091884|107092743|115482543|107094276|115483125|107098725|115489356|115489814|115490799|107102381|107103911|107105418|107106794|115495425|107110543|115500376|107116093|115505355|115505610|115506161|107118457|107118939|107120922|115512057|107125543|107125680|107125846|107126260|107127086|107128221|107128243|115517250|107130807|107134888|107135481|115525154|115525475|115529029|115529677|115530245|115530380|107142396|115531218|115533830|115534952|115535901|107149019|115537956|115538294|115538682|107151038|115539885|115540713|107152387|115541744|107153307|115542177|107154140|107154239|115543259|115543789|107155229|107161263|107164058|107168881|107169008|107169502|107173345|107174430|107176193|107177591|107178523|107178975|107180276|107181187|107182348|107182420|107182884|107183103|107184075|107185169|107185953|107186480|107187306|107187453|107189204|107189244|107190426|107190673|107190746|107191059|107191092|107192721|107193044|107193286|107199546|107199901|107200950|107201368|107201452|107202593|107202642|107203051|107203860|107205169|107205862|107206250|107206890|107207969|107210089|107210319|107210488|107210716|107213500|107213598|107214004|107214108|107214258|107214269|107216844|107218513|107218986|107219006|107219025|107220155|107220443|107220543|107220675|107220703|107220753|107222654|107222864|107223001|107223169|107223462|107224562|107225429|107227057|107227619|107227698|107227732|107227868|107228121|107228405|107229274|107230340|107231630|107231968|107232001|107232045|107232569|107232657|107232893|107234785|107234842|107235415|107236687|107237557|107240853|107240958|107241992|107242217|107242404|107243059|107243321|107243904|107243931|107245924|107245957|107246050|107246245|107246933|107248984|107250051|107250152|107250797|107250888|107251947|107252018|107253400|107255533|107258888|107258944|107259049|107259105|107259126|107261190|107261592|107263296|107267127|107267507|107267579|107267613|107267663|107272357|107272406|107272560|107272994|107273217|107276169|107276187|107276677|107279287|107280921|107281045|107281127|107281204|107281257|107281305|107281484|107281517|107281629|107281726|107282463|107286064|107286742|107287465|107287501|107288047|107288309|107292146|107295348|107295579|107295708|107295743|107296006|107296105|107296745|107297338|107298919|107299407|107299885|107299997|107300008|107300800|107300828|107301262|107302174|107304363|107304458|107304614|107304621|107304812|107305060|107305721|107305838|107307450|107307514|107308018|115698300|115699010|115699034|115699099|115699118|115699276|115699305|115699498|107311846|107311869|115700597|107312035|115700654|115700702|107312264|115701215|115701222|115701257|115701292|107312779|115701499|115701538|115701554|115701607|115701700|115702173|107313856|107313874|107315614|107316227|107317249|107317585|107317674|107318874|107319202|107319271|107319416|107319726|107320524|107320577|107320738|107321031|107321117|107321443|107322162|107322411|107322627|107323064|107324029|107325316|107325369|107327251|107327395|107327500|107328157|107329994|107330075|107330143|107330286|107330771|107331314|107333148|107333313|107333572|107335443|107337438|107339072|107339642|107347817|107348575|107348597|107349349|107349371|107350816|107351103|107352398|107352795|107353376|107353476|107353501|107353741|107353751|107353777|107354335|107354541|107354630|107356050|107356207|107357006|107358242|107358862|107360926|107361008|107362976|107363216|107363290|107363514|107365686|107365727|107366061|107366213|107366531|107367391|107367556|107368295|107369176|107373252|116008506|116008526|116028591|116029503|116029998|116030782|116031058|116031376|116031434|116033593|116033793|116036557|116036612|116036740|116065735|116065809|116065958|116095449|116099680|116115483|116115760|116118525|116118938|116119027|116119160|116119184|116119297|116119391|116120013|116124309|116136832|116137061|124529481|116141153|116146590|116149759|124553533|124553972|124554641|124554669|124557370|116188084|116188159|124592751|124596508|116215839|116215859|116215975|124619732|116232122|116232172|124630520|124637353|124643243|124644725|124645862|124654306|116302638|116303877|124700804|124703215|124710670|124714251|124718833|124722184|124722733|124723062|124723922|124724795|124726857|124727234|124727341|124737280|124737389|124765682|124768877|124778789|124778861|108560768|108562706|108580842|108580930|108583532|108587507|108621233|108623206|108623851|117013388|117013461|108626477|108628917|108642634|108642664|108642786|108642870|108642898|108643025|108644768|108645167|108645537|108645841|108645931|108646038|108646067|108646730|108646802|108646927|108649100|108649300|108649341|108649795|108651490|108651543|117043498|117049509|117053769|108674000|108686118|108686157|108686951|108688102|108688327|108689298|108689341|108692730|108693205|108693344|117094338|108727895|108728037|108728090|108728272|108736600|117125323|108742583|108742948|108748684|108750445|108750572|108750610|108750983|108754819|100367525|108768755|108768962|108773328|100409096|108816071|108816806|108817315|108824358|108839419|108855966|108857419|108857593|108859078|108860166|108864142|108864866|108865495|108865722|108865797|108865837|108865871|108866557|108867440|108868490|108868677|108868737|108868820|108868854|108869075|108869963|108870085|108870553|108900091|108900190|108900443|108900545|108900566|108901866|108901895|108902204|108904338|108904519|108906606|108906796|108908155|108912824|108913688|108913716|108913815|108914089|108914755|108915009|108930799|108931758|108931840|108931924|108932089|108932655|108932748|108932808|108932843|108934228|108934374|108934761|108936131|108936222|108936260|108936347|108937581|108938465|108938495|108938986|108941569|108961001|108963037|108963048|108964465|108964940|108965041|108965592|108965696|108966314|108966363|108967744|108967852|108968017|108968466|108968523|108968571|108969087|108969204|108979926|108982505|108982540|108982947|108983007|108983238|108983299|108983619|108983988|108984103|108984188|108984204|108984917|108986113|108987706|108988410|108988775|108990877|108991224|108991373|108991830|108992962|108993964|109009399|109009492|109010278|109011310|109011335|109011385|109011856|109011979|109022285|109046615|109047417|109048038|109049928|109049963|109506675|107213664|105397212
guidance.n.01	guidance.n.01|advice.n.01|proposal.n.01	109061234|117465589|109080407|117494202|117494321|117494588|117494739|117500191|109139280|117557848|117593610|100872464|100872769|100879326|109270485|109381212|109506091|109506147|109653037|118313428|118327786|101607934|101657445|101659240|101660008|101660427|118440133|101663361|110053943|110058888|101671426|110074206|110086656|110086684|118486787|110130187|110145251|110165362|110167979|110174103|110179235|110184309|110194631|110209275|110224450|101871569|101911676|101994248|118776794|118841754|118846084|118988803|118995318|102219481|119007352|119016353|119026430|119033717|119035358|119038640|119038858|119053094|119054312|119057186|119057352|119058650|119058935|102312936|102375680|102411493|102502627|102962053|102962300|102963653|102980101|102981695|102981986|102988408|102989616|102989732|102992690|103039216|103050464|120667278|120667722|120684360|120689520|120690281|120728195|120765462|120826470|120844638|120966455|121070921|121075413|121140699|121155118|121385372|121482599|121482616|121540859|104871333|104909443|105013483|105040857|121943401|121944545|105764726|105775275|106282540|106302930|106376794|106414954|106417958|106468904|106512883|106572051|106578006|123589789|107101524|107115608|123953706|123953741|107197908|107283496|115744747|107364265|107364304|115753788|115847582|107529317|116086677|116233075|116235958|116254868|107882086|107882266|124693914|107922373|107923101|107923124|107923302|107923555|107923561|107923569|107923860|116315764|116319772|116322551|107943076|107943264|107943278|107944413|107970003|107984477|124763598|108001083|108001092|108007378|108025283|108031694|108035706|108035741|108039887|108047396|108047405|108062210|108068536|108071100|108071255|108099257|108099364|108107238|108107247|108107252|108119256|108129334|108129735|108145937|108146026|108146210|108146283|108146700|108148757|108148787|108149252|108150005|108150029|108151757|108153395|108153565|108154201|108154538|108156902|108159514|108170324|108171070|108173051|108174753|108176741|108180255|108181929|108184364|108184386|108185822|108185879|108192512|108198249|108198948|108199397|108199615|108200608|108200767|108200777|108203117|108203898|108203918|108205619|108205682|108205773|108206608|108206772|108207622|108210776|108221376|108227739|108227822|108239678|108246259|108246646|108247207|108248022|108248693|108249183|108250351|108253262|108253439|108253584|108255739|108255862|108256973|108257841|108257852|108258092|108259163|108259373|108259399|108264225|108266278|108266288|108267268|108267683|108271299|108271321|108271325|108288087|108288324|108288328|108293727|108295351|108295662|108322142|108334349|108353765|108365812|108369945|100008883|100009937|100010642|100012271|100036673|100045549|100045715|100051131|100053363|100060788|100064505|100072319|100078134|100119998|100173330|100181576|100185119|100186175|100188184|100203869|100243682|100247863|100247937|100299020|117150268|100493685|117382147|109043897|117513113|100941744|101137685|118630350|118800554|118944997|119085666|102972568|103161971|113923823|123954570|107336945|115899841|124582180|116294082|108000907|108203921|108713921|108941665|106779830
senator.n.01	senator.n.01	101142507|101202425|101298577|101298904|109994739|109997014|110004820|110006172|110010032|110013824|110036546|113329176|113508229|113675515|115530700|107151717|107152550|107152677|107177855|107190853|107203886|107204507|107204560|107208050|107211661|115601673|107213728|107230495|107230681|107235584|107235751|107235976|107236499|107238118|107238304|107239114|107239774|107240070|107241805|107246281|107260710|107274102|107276561|115667902|115670990|107297378|107301808|107302086|115699994|115700443|107312085|107312498|107312600|107312859|107313133|107313435|107313614|107316550|107328264|107328360|107328524|107334462|107334806|107336853|107337066|107337195|107337324|107339257|107347781|116031022|116091633|116114169|116118460|116119056|116147083|124654378|124663017|124667978|124668458|124708097|124711081|124720403|124726929|124749928|116819757|108580896|108586562|116989550|117009373|117013086|117017029|117017193|117018991|108645247|117036378|117043201|108672065|108674216|108711018|117113493|117120646|117120744|108735849|117126474|117126693|117129882|117133314|108745320|117143213|117143628|100367501|117146614|117147835|117165733|117171658|117175683|117177028|117184839|108800412|117199233|117202769|117202935|108814543|108816777|117218133|117222058|108838444|108853706|108855438|108855658|108857962|108869384|108901127|108907838|108913726|108933801|108942425|108964904|108983835|108986256|108989322|108996652
council.n.01	council.n.01	109244841|109244859|101044325|109506160|109756518|109756532|118417679|110166981|118645777|118804058|118945009|103108810|103109068|103338068|103338144|103338315|103436375|103436452|103436572|103436596|103436611|103436873|103439628|103439681|103439710|103439766|103439797|103439850|103439937|103440044|103440059|103440081|103440241|103440266|103440279|103440362|103440386|103440404|103440541|103440603|103440638|103440720|103441057|103442170|103442241|103443695|103443775|103443789|103444660|103444674|103444753|103445035|103445915|103446173|103446260|103446378|103447491|103447807|103448135|103456780|103457097|103478606|120748639|120752310|120752615|120756384|120760809|120764004|120773693|120773700|120784524|120784841|120784857|120787008|120788681|104322737|104338831|104351557|121341430|121422374|121422377|121456558|105676018|105676044|105676425|122611371|122705667|106931035|115973102|107741159|116145929|107758551|124538844|116272349|124662960|108020254|108575411|108575890|108575920|108575949|108575961|108575986|108577111|108577938|108633513|108633675|108634900|117030652|117031233|117130201|108780049|100406881|100409076|108804016|108805873|108805953|117222136|108838238|100472423|108873731|108920462|108921681|117313095|117315135|117327449|117327483|117346123|108975185|108975208|108977857|108977874|108985784
council.n.03	council.n.03|meeting.n.01|conference.n.01	100986615|101044248|101060075|101074244|101342448|101365025|109765090|118486189|118486227|118895408|118897365|118947098|102208821|118988907|119063987|103436513|103439612|103442281|103456850|120756378|120789472|104322777|113391251|113503122|105427599|106190673|106298355|115614061|116035579|116142524|116145759|116147091|124563716|124687951|124694047|108077874|108124099|108131223|108250145|100011052|108429609|100045376|116838153|100142509|108557185|100182231|108576093|108576116|108633473|100249037|117146270|100406910|100406967|100407024|100408090|100408225|108871068|108919095|108924476|108976721|109051525|106738081|115541832|107206943|124531982|124687800
volition.n.01	volition.n.01	117499230|117551473|117573797|100871515|118984968|118990571|118997626|118998064|119009788|119017159|119017683|119020008|119033519|119033545|119033621|119033753|119033999|119037160|119037279|119038678|119041857|119043579|119043836|119044926|119054080|119055163|119055633|119056199|119056282|119058709|119059497|119060143|119080337|119081096|119081541|119081605|119082700|119085621|119087034|119087331|120965763|120965777|120966491|120966752|121158741|123918796|123992232|107647757|100004252|100163793|100180398|100238568|100260332
plan.n.01	plan.n.01|scheme.n.01|plot.n.01|policy.n.01|policy.n.02|design.n.02|contrivance.n.03|conspiracy.n.02	100849618|100874356|100889510|101007218|101067303|101344380|118177299|101596225|101690238|118630333|102384290|102393306|102972651|120670209|120679672|120723966|113648586|113691057|106748250|106904169|107125232|107150145|123958968|124529334|124552528|124552541|124632669|124680523|124772351|108034804|108359433|108429740|100106862|100170817|100171773|100245214|108900253|100575330|102977400|124681329|100140896|100151532|100503959|120665160|107354186|108024095|100220976|117224849|101257555|102216597|108069058|109357068|120826172|100228001|108900366
gentleman.n.01	gentleman.n.01	102434430|102434477|102434563|102434781|102435120|102435250|102435409|102435634|102435753|102436097|102437792|102437853|102441528|102441671|102441755|102443107|102443220|102443341|102443438|102443564|102463042|102463350|102463447|102463631|102463829|102464156|102476105|102476126|102476429|102476570|102476617|102476682|102476948|102477364
purpose.n.01	purpose.n.01	100869220|101020203|118361369|110059564|118838922|118845382|102979241|120826178|120967982|106115685|106194351|106199118|106199191|106205655|106270020|106504257|106572824|115814897|115815140|124779073|108095341|108096594|108251900|100142518|117379024
idea.n.01	idea.n.01	100878723|101248515|101656207|119006107|119006129|119006133|120856904|120856910|120856928|120857075|121155011|106198768|100242264
