letter.n.01	letter.n.01|epistle.n.01|text.n.01|lyric.n.01	109066310|100678974|117463332|117468288|109080322|109081727|109083746|109087368|109089240|117560263|117560426|100783427|100787683|109251084|109265357|109301231|117692006|109331893|109331902|109343182|117733688|109363725|109371470|100992447|109394619|109394669|109405202|101230220|109652628|101285462|101292064|109692362|101351590|101393596|109790514|109878203|109925003|101542728|101581743|101590104|118380451|109996722|109998309|109998359|110008477|110009867|110010121|110011354|110011381|110024918|110024971|110025070|110032338|110032350|110032926|110039147|110039180|110039564|110039858|101682670|118462321|101785777|110184801|118633417|110250681|110250781|118647807|118647828|118651502|118651538|118657026|118662798|101885639|101886065|118663625|118663773|118663834|101891370|118678318|118680231|118682552|118682568|118683078|101910785|118689155|101916866|101935793|101944553|101945797|118723469|101964418|101972137|101972148|118774014|102024001|118865615|118871278|118894282|118943499|118943543|118944932|118945045|102317215|102319666|102330249|103017080|103084962|103204429|103232820|103248714|103300471|103317533|103317686|103367240|103422966|103488276|103489446|103489548|103607073|120666713|120666787|120878775|121032225|104291784|121508219|104772506|113297418|113297531|113297572|113297603|113337640|113354875|113355363|113355546|105159154|121943701|105208260|105220268|105243995|113656910|113660235|113660568|113668646|105284734|105292095|105292205|113684475|113698989|113721702|113733142|105365231|105384583|105389938|105395783|105398668|105398693|105405770|105405849|105411929|105411944|105417448|105426563|105453173|105453225|105453290|122619688|122633246|122633548|122640020|122643751|122713622|114643067|106395521|106444209|106564945|106583472|123535824|106849575|115342859|115343405|115355403|115363652|115370508|115371873|115373363|115373428|115383974|115384211|115386065|115396355|115425022|115428497|115448078|115457805|115458501|115459351|115483792|115503245|115503314|115505671|115520620|107157794|107159420|107159629|107167856|107167881|107168855|107169890|107171173|107185644|107194349|115632275|107280254|107286377|107288121|107306047|107311761|107311798|107312170|107313495|107313532|107318069|107357008|107366233|107373030|124315544|115936909|115946581|115980487|115992708|116013005|116026661|116029957|116034095|116041935|116043957|116044177|116048042|116048206|116063463|116069208|116069488|116072599|116072709|116072788|116073361|116073465|116073486|116073638|116079030|116079301|116081532|116082058|116083713|116085929|116085974|116085998|116086998|116087305|116095885|116098147|116098743|116098754|116099733|116105602|116120999|116122275|116123904|116124444|116136210|116137896|124529482|116141458|116141564|116141590|116142557|116144150|116144344|116144732|116146061|116146965|124538363|124538385|116149810|124541330|116153050|124552048|124554051|124558376|124561461|124561567|124570402|124570448|124570539|124570822|124573706|116186996|124577908|124582349|124587987|116200577|116204901|116205709|124594572|116206209|116210257|124601070|124602219|124607469|124612860|124612885|124618857|124619898|124620569|116236955|116238406|124628710|124635910|124636517|124643701|124643813|124644851|124644893|124644958|124646082|124647498|124666316|116290501|124688262|124690327|124690392|116303212|124693016|124695823|124695948|124696067|124697570|124697590|124697928|124700861|116313469|124710619|124711095|124711763|124711795|124711833|124713339|124714523|124723479|124723498|124728312|124762206|108030825|108033291|108033466|108033868|108034167|108065021|108533517|116953197|108580952|108581630|108581674|108581740|108581782|108594357|108601095|108603924|116992915|117002543|108627038|108627063|117023216|117023228|108637368|117033517|108655144|108655239|108659411|108670521|117065285|108676714|108686535|108686562|108686601|108693038|108693061|108699351|100330730|100331316|100332098|108729747|108731238|108732449|108733258|108736662|108736757|108737902|117133718|108748240|108762073|108764481|108764502|108782302|117175831|117175912|108790586|117180899|108795334|108799040|108804089|117212221|117214897|117216745|108828231|100439784|108829557|108829637|117224420|108838196|108854524|108855013|108868005|108880755|108903126|108904835|108912755|108928639|108929688|108942019|117333058|117333091|117333247|117333695|117333738|117333769|117333969|117334387|108957085|117349835|100587567|108976485|100588722|100589113|108979366|108983189|108983982|108983990|108984093|108984112|117374195|108986738|108999286|108999903|109000409|109003105|109007533|109010748|109014057|109015277|109020858|109032439|109036057|109036204|109037387|109044457|109653346|121491298|115920960|115945292|115969152|115972283|115974040|115975255|115981757|116007680|116012807|116027759|116030664|116031107|116033530|116307215|100929045|124746859
letter.n.02	letter.n.02|character.n.08|vowel.n.02|marker.n.02|symbol.n.01	100678876|117463636|117463648|117463658|117469693|117555895|100779165|117558489|117560095|109181467|109197116|109198549|109202573|117600758|109237538|109243170|109279398|100902448|100903739|117750669|100998555|100998577|109396407|101010812|109506742|101154436|117995079|101230170|109712103|118105887|118109523|101393680|101397084|101411770|109878226|109881233|109882552|109882584|109887993|109935001|101572506|118357862|109979913|118380404|101609451|118478297|101722919|101724013|101724081|101724216|101724227|101724250|101724269|101724333|101726095|101726145|101726177|101731994|101733358|101735746|101735841|118513213|101736407|101736832|101736964|101737006|101737135|101737160|101737189|101739016|101739387|101739404|101739552|101739608|101739646|101740158|101740320|101750790|110152103|101764801|101766315|101768211|101782382|101795790|110186107|110186145|101798535|101798547|110188160|110202288|110208943|101829127|101829195|101885296|101885395|101885465|101890827|101893026|101944600|101944629|101964433|118747558|118753798|118774024|118775675|118795157|102023986|102048043|102065339|102065355|102077711|102077767|118864591|118864600|118893852|118894270|118894319|102254455|102254548|102258001|102375137|102381813|102382025|102383305|102591694|102591800|102591856|111193291|103280330|103488040|103488070|103488118|103489039|103489171|103489184|103606710|103606732|103606740|103606757|103606804|103606850|103606962|103607134|103767513|103819735|103953803|120751807|120755227|120765650|112427842|112428473|120826817|120826828|104153227|104181087|120990331|121160434|121160444|121178947|121205483|104529028|104529156|104551170|121333313|121339773|121339880|121339967|121352469|121352506|121356048|104597571|121416546|104643320|104643338|104643529|121441674|121446442|121487906|121508225|121518105|104936681|113354852|113355629|113458762|113477654|113533348|121946831|121949506|121949673|121954835|121955127|113580400|113580440|113580531|113580612|113580649|113580659|113580739|113580884|113580896|113580952|113580994|113581095|113581113|113643399|105316068|105316200|105316329|105316376|105316509|105316672|113722869|113757762|113759519|105740928|105741691|105762845|105767296|122636025|122682472|122682478|114549240|123066863|123090775|106329631|123162051|106427380|106481633|123345195|106762609|123559792|123569307|106880710|115338645|115374932|107018220|115419629|107068526|107086451|107103068|107111033|115577381|115607475|115638861|115667473|115678660|115684729|115686851|107313572|115739968|107359256|115772377|115838068|107459963|107460023|107462706|107463434|107463475|107463477|107463508|107464208|107464514|107464863|107464903|107465035|107465093|107465129|107465153|107465164|107465256|107465581|107465798|107465870|107465907|107465987|107466174|107466216|107470621|107472282|107472501|107472595|107473011|107473033|107473461|107474488|115986790|116033816|116081677|107696394|107752461|107760319|116152307|116152321|107771179|107779971|107802125|107823261|124623002|116274011|124921009|124921200|124921242|124921278|116537606|108386445|116777444|116777464|116804770|108539276|108539833|108713058|108761884|108772635|100427909|108896486|100510706|108932010|108976384|117374218|117374222|108993118|117710811|109888036|109916505|109916640|118362077|103337726|103489022|103489206|104153174|113339097|113757798|105762491|105764057|105770545|106294388|106353523|123162925|106402091|106449340|107064279|107104361|107149289|107149324|107159895|115556063|115686915|115838620|108711996|108722486|103489511|103489537|107464115|107464389|107464968|107464980|107470542|107473002|107496968|104953593|115543229
writing.n.02	writing.n.02|inscription.n.01|writing.n.03|writing.n.04|alphabet.n.01|handwriting.n.01|hieroglyph.n.02	117485425|109280525|109292293|109304523|100933174|109394742|101058174|109647056|101265757|101326779|101341035|109789703|110017617|110017801|118469973|118509338|101808739|101837261|101885664|102157804|102157951|102157991|102184658|118980000|102225051|102248186|102254619|119031988|102255246|102270453|102270464|102270596|102280173|102282023|102304982|102328843|111188986|103215890|120753499|120758743|112404751|121157514|121157599|121159113|121367730|121395066|121420379|121421468|121424918|121451442|121485515|121522627|121943730|121946613|121956995|121961917|121972200|121997340|113628926|113675836|105319015|122713697|106176349|106237839|106240492|106447733|106498101|106539709|106540268|106543145|106581986|106583144|106762656|115723063|115845570|115958168|115964522|115965839|116008695|116079817|124529371|124529427|124538022|116152334|116152355|116154805|116156109|107767547|116158143|116160592|116160972|124551333|116164849|124586679|124621189|124623303|124648601|116296593|124697255|124701250|124732733|124741621|108020788|108020855|108020891|108560211|108560220|108568749|108590541|108594454|108763971|108765328|108866020|108888352|108930300|108962302|100588876|109045483|117477375|109180419|100928514|100935644|100955991|101030923|101054274|109593206|109772894|101393994|101475110|118357365|101840518|101840545|101898212|101898238|101909644|101919119|101919128|101919228|101919250|118720987|118758962|118762053|118824539|102187257|118993173|102383205|103050219|103131878|103285118|104153215|105210430|105210493|113619370|115459052|115531421|115687067|107802152|124765394|124766505|124766606|108540004|116978859|108696456|108789828|108864459|108899879|108976227|117491092|117562999|109275777|118012501|110150415|101803930|110220994|110388331|110396548|110410500|110412091|102159158|102187347|111157446|112433468|121149149|121157999|121158100|121159906|121372748|121374899|121391994|121392056|121392119|121413884|121417899|121426344|121427082|121428859|121434686|121455120|121482801|121496965|121498986|121499682|121955239|121962483|121969407|106436361|107060615|116154064|116156900|116166283|108540937|108731805|100900357|100909203|100909272|100909311|100928965|100933146|100934777|109335219|109364206|109394635|101055749|101055805|109879394|109887962|119152588|103488207|103488569|121997264|106504763|115665527|115720182|115728082|115797494|115965713|115965761|115966177|116072014|116136362|124559435|108590518|108764056|108901255|108914321|109045532|100678718|109287169|100998525|101417637|101417658|101828692|118864572|118888481|103489078|103489139|104106073|121355233|109299836|103218834|117352293|107816964
bible.n.01	bible.n.01|scripture.n.02	119011909|121438442|121443460|121449430|121457709|121458230|121464408|121471389|121471396|121471743|121484729|121485985|121487524|121487653|121493822|121497777|121501341|121501694|121521244|121532403|121940475|121941940|121941987|121948161|121949658|121954949|121955090|121955161|121955868|121962865|121971181|121978722|121985259|106275253|106278519|106436489|106476947|106482165|106528704|106544835|106547622|106547784|106579873|115797711|121513009|121968789|106210518|123101237
document.n.01	document.n.01|document.n.03|record.n.07	101351460|102269512|103050146|103189954|103208171|103227591|103230304|103230644|103259359|103279476|103321405|103488025|103603988|120751731|120751942|120752677|120757283|121193631|115268194|115364675|115404070|115411127|115428444|115470323|115490645|124538479|124551359|124551445|124647882|108576128|108594427|108862426|108976525|118467987|120754776|120779191|102489315
record.n.01	record.n.01|register.n.01|transcript.n.02	100775303|100895235|118416175|102187141|102289892|103050121|103120742|103397644|103411672|103411725|103601425|121193465|115582467|115655585|115668794|115674763|115795721|116010915|116030761|116031209|116152780|116153303|116156057|116156495|116302524|108032520|101112000|102235201|108032510|103293349
book.n.01	book.n.01|book.n.02|textbook.n.01	109647263|109753398|101392575|110400335|110410155|110418746|110424497|111157806|111159311|111169732|111172312|111172338|111177267|111204131|103213862|104326919|104326981|121149949|121152641|121291293|121485813|121497221|122784939|106386092|109681421|101392696|103297018|103297039|103297066|103306353|115863892|115969082|116154050|124572888|107824950|103432000
literature.n.01	literature.n.01|literature.n.02	117477405|109192627|109313145|118330153|101643107|102254263|104029434|121160330|121446382|121490991|121520552|121966411|121966517|113638790|105768356|106402122|124327599|116907424|108592052|108742199|108742215|108823996|108971981|108825669
dispatch.n.01	dispatch.n.01	110013908|110013922|110014097|110024995|110039336|110039505|103367207|104166374|105145703|105231903|105344936|105352738|105432061|115562100|115562132|115702693|124727874|108638437|108863487
paper.n.04	paper.n.04	109363708|103215928|103240082|103240164|103240203|103240214|103258496|103258531|108793925|108839154|108857147
