light.n.01	light.n.01|beam.n.04|daylight.n.02|moonlight.n.01|moonbeam.n.01	109060411|109111128|117509149|109127957|117516568|109135291|117557554|109169571|117560502|117570122|117571587|100800745|100821216|117601302|117604288|117606172|117615785|109229637|100843454|100862688|109254345|100871004|117671555|117671636|109283506|109283928|109284849|109291589|109292544|109292572|117689196|109303794|109319172|109320766|109361989|109362578|117776281|109400589|117946266|118003420|118014717|109764781|101412447|101431567|101431971|101431979|101532487|101537432|118325952|118329484|118358351|101660100|110052810|118449350|118465328|110080937|110082140|110084488|110091444|101707868|110101023|101729917|101729931|101729950|110122335|110130969|101770953|110170457|110172946|101787536|110180482|110183100|110245795|110247703|110247706|118675398|118724240|118724264|118806902|102086570|102115429|102115626|102115804|102116914|102116959|102117254|102117350|102117410|102117518|102118219|102123742|102123765|102153517|102162565|102164808|102164868|102169692|119008757|119055496|119055600|119057379|119093378|119099960|102387015|102388156|102389188|102409119|102410414|102502094|102980838|102984827|103343939|103485252|103554126|103555901|103560138|103576817|103576841|103576879|103576931|103577082|103577808|103577818|103577849|103581314|103582167|103585281|103628305|103811618|120648233|103953544|112402647|104065253|120875152|104109274|104111300|104111333|104111359|104111755|104112080|104127967|104132736|104150042|104152306|120966072|120966173|120967262|120992409|120993121|104255710|121035999|121036016|121135988|121136005|121136212|121142413|121142420|121143933|121143953|121178021|121258892|104545247|104545655|104546193|104546522|121348518|104588500|104588547|121393636|121433188|121469282|121470353|121487551|121501391|121501772|121501893|121501897|121502062|121504781|104781128|104873211|104873588|104929441|113339595|104956821|113393564|105050212|113466057|113467594|122001548|105295238|105687080|105753248|122642991|122655934|122663028|122683996|122684238|122684371|122684652|122692723|122701673|122706017|122730739|122768998|122770333|122773773|106111546|106111916|106113514|106154198|106172685|106190312|106190332|106213547|106214644|106237094|106249931|106254221|123039137|106265075|123047988|123051819|123055303|123059052|123063092|123063498|123063548|123063564|123071139|123071157|123071167|123071458|123071470|123079632|123084963|123111475|106348485|123138000|123138031|106362665|123145591|123150991|123151104|123151215|123151346|123158022|123158026|123158036|123158114|123159078|123159176|123159194|123159429|106382269|123159592|123159930|123160057|123160283|123160315|123160499|123160753|123160959|123170883|123176256|106404610|123182118|123182144|123182153|123182601|123182622|123182719|106408081|123190222|123190240|123190312|123190328|123190372|123190384|123193821|123193839|123193843|123196752|123196926|123202437|106444425|106448374|123237659|123237703|123237721|123237768|123237839|123237857|123237893|123237910|123237928|123238718|123239185|106463292|106466564|123258838|123262664|123262675|123269919|123269934|123269946|123269955|123283658|106509839|106526723|106574712|106588926|123532599|106780450|115236056|123654807|123655111|115433445|107078975|123892554|123915278|123915442|123920132|123933340|123940377|123941233|123941462|123941814|123968805|123980911|123996254|115798725|115798740|124568823|107849062|116240575|124642860|116295867|108028750|108034929|108108537|108140100|124919527|116537626|116542577|108163623|108167869|116558905|116559245|116559598|108171205|116561326|116561332|108172903|116562106|116562392|116563092|116563109|116563148|116563161|116563173|116563261|108174659|116564437|116566221|116566233|116566244|116566251|116566268|116566290|116566310|116566321|116566336|116566356|116566400|116566433|116566447|116566478|108179865|108204072|108220108|108224705|108225820|108242749|108242778|108251040|108251056|108258730|108258735|108258740|108274079|108283148|108291783|108294154|108300864|108311751|108337475|108337481|108345585|108362873|116770516|116775503|116776185|100009438|108400292|100025535|100044325|116840321|116863812|100097107|100097511|100100696|108508268|100131682|108547121|108548231|100177255|100191277|108592316|100239220|100240479|100252102|108668127|100302340|100306997|108721765|108721949|100334668|108810591|108813842|108846963|108871176|100496137|108887291|100508134|108916469|100537775|100559172|100594396|117372011|117379947|100628769|100640256|100642773|100648683|100650740|100804110|109373127|109916525|109947905|102993051|123176566|100548065|109991691|113332593|113363393|113422345|113667068|113679407|101153235|104195140|115768269
light.n.06	light.n.06|light.n.09|illumination.n.02|dark.n.01	117466887|117479150|109115612|117507086|117514292|117531934|117537447|117542373|117547166|117555223|117557566|117565563|117570060|117583001|117590599|117591954|117595887|117600534|117602146|117602149|117604851|117608917|117615848|100845100|117624036|109238975|109264079|100876955|109299875|109319105|109351614|109387850|101174294|101187338|118179509|109884925|118325615|118373640|118406091|101650077|101652648|101659145|101664496|110091885|110093095|110095900|101716777|118516071|110134869|110138765|110146305|110146317|110146324|110146328|110148084|110148098|110148114|110148120|110148137|110150196|110153061|110155903|110155921|110157534|110157556|110157562|110157566|110157735|110183209|110183331|110202628|110203502|110205354|110210945|110210951|110210958|110211006|110213884|110216841|110219857|110228542|110230942|110233605|110233893|102118010|102119481|102126695|118991619|119006626|119006701|119010710|119048667|119052557|102285069|119097260|102367681|102369749|102378894|102379303|102393078|102395049|102397313|102397982|102408040|102412917|102965069|102967701|102991846|120643498|120644228|120651139|120663765|120689749|120690881|120728551|120966923|120966965|120966991|121077456|121142444|121142472|121151727|121155308|121177902|121230591|104508156|121351175|121351187|121383824|121412381|121412779|121412790|121449435|121469222|121469231|121469316|121469385|121469422|121469469|121469515|121469528|121469558|121469573|121486548|121486772|121487192|121487240|121487247|121487281|121487382|121487445|121487539|121487607|121502082|121502119|121504445|121506866|121506878|121507058|121507102|121507146|121507157|121507169|121517024|121521447|121521531|121528160|104869625|121941910|121959097|121959138|121959143|121959167|121959259|121959320|121959413|105210055|113608349|122001647|106111567|106111611|106111794|106113960|106125861|106125971|106149587|106154175|106159480|106215623|106272240|123054764|123055332|123060293|106293641|123071448|123071453|123081246|106305284|106345814|106345968|106345985|106346025|106346048|123133869|106379792|123177009|123182164|123182316|123182686|123186471|123193025|123196320|123218444|123237824|123253415|123262695|123262804|123265748|123281459|106526806|106586921|114984254|114992806|123532968|123575706|123588773|115353135|123890368|123894641|123895033|123896811|123913336|123915444|123922569|123935157|123941424|123963333|123988247|116159792|124555031|116170368|108108416|108126620|108128031|108131416|108150753|108167911|108173016|108173028|108178631|108179923|108180041|108180102|108180171|108180440|108183993|108189528|108196851|108212011|108221505|108224749|108228867|108249948|108264783|108266509|108268463|108269300|108272466|108272538|108273246|108273717|108273743|108311518|108314155|108366006|108507323|108507351|100243970|100247655|100247855|100253698|108849848|100485236|100485843|100487483|100490118|108885326|100510556|100516086|100544683|100548319|100549736|100552581|100569661|117354841|100587318|117372737|108984477|117373866|117375406|117376622|117377169|117377183|117379659|117379761|117379770|117379890|117379916|117380297|117380314|100616441|100620668|100648430|100649515|100654029|117508414|109361432|102187454|121077426|104917698|106301267|106348538|116835346|100512729|109277046|115335156|104087072|108356476
light.n.12	light.n.12|light.n.03	100827604|100834204|109906061|101607540|101664722|101671280|101730507|118508561|110135308|101748523|110154182|101880714|101962607|102098933|119004652|119004738|102244697|102244897|119092272|119094407|102328132|120669088|121327405|121449476|104864459|106190289|123101255|106490423|106491046|106518407|106547850|123588381|123939466|107312166|115965825|124533532|124552779|124594180|124611217|124681810|124732726|108171170|108176254|108236059|108269467|108810836|100548684|100584867|117529907|101249014|113398852|123182275
luminary.n.01	luminary.n.01	121206485|121208850|121209336|121213446|121215703|121220117|121229577|121236812|121243713|121243830|121281930|121292902|115241043|115241257|115250914|115250987|115252791|115254499|115255427|115256784|115257297|115257706|115257732|115257768|115257785|115257895|115257997|115258724|115262059|115262698|115263567|115266933|115267368|115267549|115267567|115267670|115267787|115267836|115269468|115269487|115271499|115271607|115271759|115271844|115272496|115272587
light.n.10	light.n.10	117451450|117480986|109115084|109169564|117566830|117630560|109361721|109395541|110185979|110191636|110253213|118853042|119005610|120682342|120685835|120878571|121392348|121469290|121469302|121469305|121469310|121487210|121526960|121528181|121959114|113607242|106189563|106197350|106210275|106250061|106250699|123059094|106305184|123182044|106463277|123264071|123269945|108199267|108270672|100657581
light.n.05	light.n.05|light.n.02|torch.n.01|lamp.n.01|darkness.n.02|lamp.n.02	100933985|101153393|109788040|101495803|109904163|102153546|102181950|102409536|111178688|103016419|120969310|105453528|123138011|115254019|123911845|123986613|115709863|116912057|116943876|117230154|100535291|100548014|100551526|100552995|100616411|109059728|109063162|109215572|109254409|109261343|101325051|101339627|110176302|121494442|113357582|113361257|113443075|115483291|108273701|108553574|108781685|108792718|100567485|121959425|105354025|108610620|108817545|100567466|100567636|100607998|100644569|100484340|117313272|113332955|113366004
day.n.04	day.n.04|day.n.02|night.n.01|day.n.01	117946350|101484130|101536982|101538148|101538228|101733550|101846762|101958776|102242663|102994008|104870297|113680975|122685612|107202200|116859079|117219556|117233655|100632953|100655135|100838382|100839276|101145135|104865924|109870815|105268321|116566347|105041282|100490712
dawn.n.01	dawn.n.01|twilight.n.01	105119321|105126004|105132237|105151876|105152141|105152274|105268828|108606767|108690979|108701023|100640567|100651560|107551156
eye.n.01	eye.n.01	101205354|110069458|110082134|103374710|105035149|105035292|105040183|123995446|100217239|100482148|100555210
luminosity.n.01	luminosity.n.01|radiance.n.02|gleam.n.01|light.n.07	100806304|109299244|118013767|101652953|110067590|102366598|102372387|121506736|121961822|123059109|100813482|109362370|123268123|100213912|102387577|120990167
