ruler.n.01	ruler.n.01|overlord.n.01	109086019|100704993|117485551|100713066|109120895|109121925|109168167|109168869|109168967|100813211|109203649|100817034|117607801|117607826|117608305|109240435|109259751|109263807|109291169|109302234|117700246|109312628|117982622|117985714|101295957|101329850|101340975|101370176|101370208|101370272|101370456|101373249|101383605|101383614|101387385|101387425|101446012|101447590|101481841|118313764|118321141|118323851|118350784|118373004|118373216|101598809|101598853|101605201|101605625|109994882|101608432|101610017|110008419|118398999|118401660|118448744|118449867|118461406|110095004|110095102|118485468|118485604|110103377|118492351|118501858|101724964|118509783|118514942|110131559|110137247|110140309|101753513|110144609|110144978|110145668|110147707|110152310|110152736|110157674|110166506|110166559|110166931|110168922|110169081|110169089|110173942|110174516|110176131|101789039|110181095|110191399|101803347|110193901|110193932|110237121|118633850|118645343|118665530|118721985|118721988|118776421|102004109|118800715|118818942|118827397|102054999|102055183|102055621|102056141|102056156|102062050|118841442|118846173|102072639|102072769|102072880|102082217|102082290|102082439|102082860|102087063|102089071|102089126|102092098|102092757|102097687|102098317|102099571|102099607|102099640|102099696|102108451|102113357|102113395|102124750|102126806|102127177|102127994|102128619|102129280|102130642|102134214|102185000|118983684|118986641|102211708|118988939|102214103|102216596|102217932|118996662|102221883|118999591|119015136|119015170|119015239|119015285|119015450|119016176|119016544|119021648|119021728|119021833|119032848|119036622|119036637|119037356|119055257|102286616|102287551|102287583|102325985|103208472|103593158|120644157|120648545|120664411|120666523|120670094|120684895|120690091|120727743|112384819|120775351|120880774|120944999|121067933|121068901|121075061|104302602|104318283|104318323|104318355|104318798|104319985|104345491|104346378|121200682|121355416|121355802|121375391|121376707|121382915|121383559|121383669|121383684|121383726|121422455|121426869|121445634|121475840|121475954|121475984|121475994|121476006|121494295|121495450|121495498|121495526|121495636|121535019|104897049|104903590|104906446|104909554|104911423|104926032|104935120|104935677|104940629|104952756|104960659|104961500|104962787|104964311|104964554|104966251|104966268|104968885|104979650|104984730|104987757|105002484|105002499|105002516|105014524|113547809|113548529|121942329|121943486|121944060|121947527|121948575|121990373|121990520|121990530|121990542|121990799|113679825|113717686|113726331|105409349|106147649|106148320|106166812|106168849|106182571|106182737|106191260|106200060|106202215|106208877|106216364|106223712|106225288|106261485|106268287|114659662|114665243|106277135|106327002|106350557|106370477|106419655|106421679|106432772|106433314|106439536|106445479|106446693|106446698|106446724|106447894|106459593|106459669|106477517|106481402|106481425|106482425|106494854|106496851|106497617|106505296|106505613|106505983|106514075|106529338|106531379|106531387|106543862|106559331|106563243|106563463|106563518|106565470|123347175|106572046|106575659|106581462|114984725|115250373|115385564|123890974|115518135|107143285|115555916|107256860|115841234|115861171|115874319|115874675|115875062|115877970|115895679|115911003|115911094|115911908|115911962|115915336|115915681|115916444|115916571|115916766|115917083|115917186|115917261|115946528|115946584|115946637|115958659|115959821|115959862|115968253|115968389|115972928|115975532|115979924|115980564|115990245|115994736|116058319|116145666|116146343|116155155|124549086|124551090|124559125|124562047|124573266|124587000|116216920|116223348|116223437|124612952|116229584|124618636|116232556|116232586|124632336|124635307|107860399|124640025|116255409|116255506|107869876|107874136|116263796|124655189|124655654|124655734|124655868|124656235|124666940|107890042|124667263|107892104|107892502|107894866|107914143|116304429|124693974|124699767|124699832|124701639|124702662|124704244|116318456|116319081|116319688|116319774|116319944|116321660|116321712|116321768|116321801|116321846|116321896|116321910|116322595|116322659|116323182|116323899|116323991|107936036|124714575|107941434|124723802|124733205|124735079|124737300|107963052|124742022|124743969|124744026|124750010|124750702|124750747|107973718|124752364|107978808|107980724|124760144|124761416|124761567|124763149|124770203|124770287|107994952|124772796|107999635|124777966|124779311|108029317|108030416|108030479|108078053|108099395|108111850|108128810|108167840|108205290|108208004|108211058|108223126|108227926|108245079|108246354|108249736|108249832|108250879|108252348|108254812|108257700|108355800|108357112|108357438|108365729|108366907|108366943|108371264|116775094|116834732|108472543|108531401|108548818|108568125|108603538|108645614|117034766|108674927|108687446|117111995|108759828|108759873|108760597|117215172|108893670|108945236|108945273|108945432|109044171|109045246|100768790|102196585|102366318|121459694|121973932|106443322|115878107|124303690|107986053|107986172
prince.n.01	prince.n.01	117485339|117556518|117556549|117564667|117567378|117583955|117603033|117736399|109922239|101578389|110095285|110097190|110112597|110134433|110157448|110159273|110160060|110209548|118992675|119051594|119053670|119053708|119053732|119057276|120875106|120877077|120879544|121419311|121464321|121476265|121499291|121519100|121543775|121548980|121555170|104880351|104881080|104889280|104891218|104953937|104961789|104961818|104961848|104961900|104961931|104961962|104962072|104962102|104962154|104962185|104962215|104966089|104966093|104966128|104966316|104966418|104966515|104966613|104966711|104966809|104966908|104967007|104967105|104967203|104967301|104967401|104967507|104974649|104978265|104978372|104978393|104978413|104978470|104978572|104978987|104979102|104979281|104979559|104980669|104980687|104980733|104981960|104985610|104987798|104987809|104987818|104987826|104987835|104987844|104987852|105009522|105014170|105014173|105014535|113511149|121940923|121941020|121941136|121941155|106282590|106295448|106309226|114984761|123912640|123913168|123913236|123913410|123916448|123917330|123918274|115851687|115903674|115903726|107807773|107855238|107855304|107855317|107855322|107855379|107858302|107864696|124643560|107872386|107872480|107872570|107872786|107872803|107875256|107878861|107878955|107879332|107879751|107916519|107925331|116318550|116318705|116319011|107934018|116322946|107934972|116326359|116326413|116326562|116328042|116328071|107944545|107974967|107978679|107991061|107994238|107994768|108001841|108006815|108006916|108007494|108008070|108008076|108008585|108008816|108011239|108011420|108012385|108012608|108012703|108012929|108013229|108013590|108014844|108015896|108016876|108019205|108026826|108029193|108029251|108029302|108029456|108037095|108038284|108040400|108040764|108040766|108060369|108062539|108067792|108067810|108068424|108072807|108074867|108075551|108077467|108104891|108104929|108107248|108111512|108117195|108117220|108117225|108117228|108120108|108122498|108122669|108122682|108123655|108128788|108130365|108131610|108131613|108132397|108132955|108134881|108139623|108140214|108163225|108163370|108163388|108171156|108171188|108174440|108194387|108210222|108210289|108210985|108219866|108220262|108220293|108220743|108221193|108228703|108235282|108236001|108245358|108246106|108248977|108249208|108251458|108253429|108253479|108253485|108254070|108254353|108254696|108255022|108257082|108259256|108260125|108260458|108263764|108264323|108265121|108265222|108265612|108265621|108268502|108268510|108271231|108273648|108276967|108277631|108278903|108281775|108287450|108287466|108290224|108291256|108295843|108296262|108297060|108297746|108297778|108297809|108297929|108298093|108299906|108301770|108303034|108303076|108303214|108303972|108303997|108304021|108304222|108304848|108304853|108305641|108305723|108305793|108308162|108308395|108309169|108309928|108310134|108310322|108311449|108312893|108313499|108313620|108313693|108315477|108320618|108322896|108322940|108326859|108331187|108334016|108334309|108334612|108334951|108335167|108336433|108337012|108337972|108337995|108339588|108341668|108341736|108341793|108341890|108341914|108342541|108343002|108367820|108373882|108373964|108375001|108375018|108375259|108375779|108376476|108512937|117356397
magistrate.n.01	magistrate.n.01|prosecutor.n.01|judge.n.01	109057979|109076568|109081285|100750578|109240052|109357348|109357377|109359441|109363447|117761632|101020775|101090632|101090704|101091490|101091507|101091973|109509424|101189788|101261694|101262107|101262211|101263309|101276845|109860410|109876284|109876310|118321908|118342792|118344154|118344185|118350360|101611797|110020315|110021243|118425361|118466518|110136422|118667129|118865342|102195014|102222642|102222692|102222696|102231651|102253786|102263022|102266712|102266780|102266800|102268454|102269360|102274012|102275442|102276023|102279409|102279505|102279685|102288256|102288260|102289934|102289948|102290162|102290210|102291134|102295111|102295227|102300449|102300610|102303146|102303153|102306635|102308927|102438107|102440029|102460724|102462384|102474077|102474104|102474179|102474200|102474306|102484411|103121398|103187566|103187654|103226232|103261208|103326760|103328132|103359880|103411892|103421505|103453239|103478620|103479641|103485046|103602427|103604299|120748035|120755979|120759992|120760112|120764076|120765638|120766987|120769541|120771199|104150053|104162017|104322267|104335922|104336499|104336698|104338858|104340034|104340750|104343416|104349277|104354643|104362536|104362588|104362641|113305893|105118400|105155638|113574226|105190661|105208800|105221595|105221780|105226262|105226332|105234235|105309703|105315052|105330047|105331837|105332031|105381400|105397178|105398095|105398165|105398616|105410896|105411475|105417856|105423483|105423943|105450679|105675901|122612194|122621320|122644584|122705571|106190696|106191265|114603602|106216450|106432091|106432129|106488273|106496830|106496874|106560021|106745961|106746092|123536468|106759705|106764300|106764736|106807882|106810431|106814840|106911366|115351468|115351518|115370280|115371524|115425587|115428812|115478463|107096751|115506570|115514690|107137591|107165081|107167617|107174160|107191716|107230549|107232733|107237755|107292279|107300188|107308953|115702224|107321371|107321428|107322305|107342541|107350251|107362001|115871954|115871972|124304104|107606972|116029502|116029997|116030633|116030781|116031324|116033592|116033792|116065734|116065907|116065957|116120917|116121564|116124308|107777423|124560385|107793363|124571916|116216142|107827669|116216845|124607362|124720369|124742983|124742996|116815434|108534697|108540494|108541851|108554387|108556058|108556126|108558990|108560045|108576532|108589610|108599400|108600663|108606268|108606298|108606365|108608096|108609405|117018624|108631455|108632202|108636748|108648140|108651508|108654113|117048341|108686662|108688861|108693298|117084011|108714600|108716869|108728056|108753496|108761986|108762136|117153090|117159856|108778148|108780069|117175592|108814956|108844591|108847021|117237793|100460895|108849777|108857766|108907262|108913889|117313099|108925198|108925664|117314745|117316517|108929048|108929169|108936124|108936442|108936780|108937478|108937766|117326994|117327206|108943714|108952505|108961535|108966844|108967414|108968698|108971616|108979681|108981691|108983553|109011005|100659198|103268835|116888629
commanding_officer.n.01	commanding_officer.n.01|military_officer.n.01|commander.n.02	109060494|109067954|109073244|109081718|109191760|109192672|109215431|101034771|101034868|101035272|101035564|101036034|101036246|101037503|117998719|101285670|101303412|101334483|101421620|101423005|101443850|101449635|101449668|101449736|101457327|101457377|101457422|101458998|101459012|101466934|101479666|101480410|101482480|101483000|101483554|101488242|101489249|101524717|118313785|101566073|101578110|101613658|101683604|101683646|102044406|102462465|102463903|102482683|103597700|120790320|105123730|113675435|113684026|105309454|105309783|105313725|105426981|105427010|105677995|115332697|115431952|115769689|124535248|124539801|124546536|124546842|124550360|124550410|124551792|124556894|124562219|124565282|124566155|124569630|124574041|124576847|124582309|124582347|124582466|124582544|124585129|124585400|124586165|124586663|124587729|124590666|124591031|124593254|124593446|124602322|124602446|124604406|124605586|124609172|124609285|124616044|124618608|124622551|124622711|124623236|124623605|124624201|124626261|124626363|124628400|124628807|124630183|124630449|124632472|124636450|124636796|124640316|124646403|124649055|124655832|124657572|124658947|124659007|124659048|124661303|124661406|124661475|124662298|116275894|116275942|124664554|124669698|124670872|124670915|124679230|124680804|124682614|124682842|124684570|124689861|124690336|124693855|124699531|124700980|124701247|107924227|124701464|107925631|124703909|124704316|124705715|124705735|124706062|124706266|124706283|107929828|124707334|124707412|124707523|124707785|124708297|124708408|124708886|124710492|124710515|124710529|124710638|124710904|124712129|124712555|124717947|124718773|124721838|124722268|124724341|124724419|124727718|124730166|124731027|124736358|124738198|124739114|124739137|124749445|124750895|124750960|124750984|124751033|124756239|124757785|124759675|124760869|124761146|124761213|107984572|124765110|124765227|124766821|124767576|124767792|124770809|124771004|124771536|124772124|124772553|124773083|124773543|124775439|124780249|108543340|108627733|108636224|108655744|108678609|108679876|108681031|108682986|108703109|108703737|108703813|108704060|100318617|108717811|108729454|100351335|108740676|100352612|100363799|100391362|100398619|100409856|100425619|108822210|100438437|117215790|100445850|108837887|108845516|100458631|100460625|108859134|108871079|108922831|108928443|108961716|108966454|109008592|109018856|109024910|109035832|109041374|109049887|109188894|109201297|101406311|101406326|101411342|101538004|101539556|118319871|101543163|101547601|101551304|101551977|101553815|101561971|101564232|101564528|101565769|101570413|101575402|101587078|101588064|101612830|101613826|110008486|118673981|102101355|102238069|102299638|102299831|102300329|102300507|102445072|102483283|102483327|103310452|103408246|103488430|103488474|121341465|105264122|105295531|105325576|105775760|107279111|124541912|124546447|124547038|124547458|124566285|124572112|124573721|124574485|124574572|124575168|124576000|124576011|124576897|124577808|124578037|124578168|124605684|124617048|124621020|124621093|124624483|124632910|124637950|124639869|124681068|124687921|124687940|124689871|124703779|124732712|108379827|116989156|117142489|117142590|117181435|117218247|108859828|102196741|102197230|103485315|120782085|107163850
head.n.04	head.n.04|headman.n.02|leader.n.01|captain.n.05|prefect.n.01|overseer.n.01|master.n.04|superior.n.01|administrator.n.01|director.n.01	102212284|102267798|102450716|104922016|104960771|104962044|104962965|104962968|104963021|104966100|104966282|104983960|104985007|104988707|104988732|115840694|115914140|107858571|107862262|107875280|107875473|107875507|116315562|116315704|107929468|107929500|116318150|116318661|107931255|116320024|107934031|116325116|116327265|116327691|116327768|116327869|116327885|116327903|116328353|107943704|107947362|107952692|107952716|107979318|107980802|107981417|107981493|107981612|107981735|107982135|107982619|107982639|107982647|107983369|107983431|107983710|107983746|107984302|107985699|107985814|107985901|107986050|107990476|107990576|107990586|107990608|107990634|107991003|107991071|107991274|107992125|107992158|107992319|107992397|107992595|107992671|107993372|107994234|107994956|107996969|107999646|108004347|108007725|108016933|108017119|108028973|108033428|108034193|108039109|108043580|108176792|108369275|108370680|108375031|117133673|100403580|101475241|101475252|101475338|102210785|104921103|104962916|104974753|104974758|104986191|113510527|107733527|107761282|107855210|107864071|107864075|107864616|107864845|107869031|107879357|107879486|107879641|116314277|116315081|116318791|116327218|116327496|107976924|107978937|107980679|107980854|107980895|107981740|107982191|107983386|107983563|107984255|107985714|107985729|107985744|107985758|107985772|107988199|107990449|107990615|107990695|107990988|107991405|108001694|108008312|108008483|108008994|108011147|108029353|108038622|108222080|108695363|100720204|101190299|101309372|101319352|101330463|101350277|101357521|101357621|101357657|101357787|101357974|101423031|101447903|101457032|118683844|118683995|102207899|102217699|119006043|102451278|102451546|103481151|120790230|121533257|105678028|122786073|106434793|115693803|124548109|124614186|116231097|124620578|124625803|124654251|124656125|124656170|124666350|107984649|108014568|108382885|108472411|108507536|108507603|108624834|108637642|117116635|100401224|117186830|117188540|117196691|108835545|108835614|117237240|109039115|103480456|113375950|107869172|107899942|107916912|107916973|107929158|107929915|107929924|107941439|107942220|107954484|107957597|107961657|107992674|107993389|107999639|108001996|108006937|108014102|108062237|108065727|108075017|108680813|100382450|100399794|110017017|110028367|108015845|101563793|103598823|124304725|124316768|110015696|124558220|108722677
governor.n.01	governor.n.01|proconsul.n.02|satrap.n.01	109080197|117610949|100910213|117719868|109403771|109405052|101353144|101406225|101406386|101406528|101589845|118750341|118750413|118751050|118751061|118821889|118827527|118845324|102134178|103178477|104166425|120944747|121198926|121199279|121414933|121495580|121495681|113307802|113307849|113308004|106385934|106390469|106410748|106506290|106535991|106560145|106567105|106576793|106885388|115328845|115345595|115370208|115387616|115391654|115460147|115472555|115483477|115514147|115516272|115516772|115524369|115530287|115531127|115531838|115536279|115793883|124321198|115968466|115968544|115971244|115976124|115979900|107619354|116018619|116034149|116066086|116115252|116220502|116229412|116230653|116302100|116321617|108005116|108030399|108038197|108039641|108039713|108072170|108555567|117091704|108841000|100461799|108854568|118871567|108366815
official.n.01	official.n.01|officeholder.n.01	109069962|109069975|109088121|109111883|109193911|109194397|109200072|109232444|109237131|109237234|109240374|109244591|109250535|101300519|101344813|101354376|101354397|101354405|118342823|118378657|110029425|118474754|101807790|102129059|102234663|102234763|102235964|102238387|102238588|102238648|102238907|102239416|102239665|102239845|102239940|102240322|102243788|102303250|103079295|103358449|103412106|103421888|103421955|103479568|103479585|103484985|104317016|121341391|121345537|113455460|106868768|106893594|106902608|115332034|115418192|115512139|115517532|115527040|115529818|115542516|124538901|124588071|124732875|108628536|108697301|117317020|101459061|101502989|101563777|118477721|118767351|102236815|102237320|102237800|102237979|102238022|102238952|102241462|102279264|102289659|102323961|102482976|103272612|103412183|103483093|120758013|121341405|121535041|124572588|108929893|108943870
captain.n.01	captain.n.01|general.n.01|captain.n.02|master.n.07|admiral.n.01	100695929|115928152|115983750|107932159|107942048|107942321|107947962|107954426|107954453|107958510|107975786|107975925|107984410|107984450|107988961|107991430|108003719|108005223|108005251|108005293|108015227|108044192|108066154|108067047|100328044|101552223|101568561|105004094|113546468|115915809|124655330|117024287|100325189|108719558|108719827|107975031|107984761|108005122|117037271|100374068|100381106|100387545|100995184|101012348|109506636|116863637|103295042|114647868
king.n.01	king.n.01|emperor.n.01|sovereign.n.01	100800985|101516480|118308933|101542501|101562283|113555417|105259733|105330196|106915232|115529347|115609895|107700403|107701365|108308508|108473874|116991341|110006666|110006719|115845474|116119834|109271433|107778935|100544780
authority.n.02	authority.n.02|civil_authority.n.01	101688088|101694354|101719441|103477293|103478524|103478731|103478782|103478786|103478801|103480049|103482257|105383771|105458312|103476503
