fundamental_law.n.01	fundamental_law.n.01	100719293|100732195|100755405|100756583|109168768|100785222|109216509|109303329|109530291|101257653|101261849|101297489|101361972|101400760|109800719|109800857|109810290|109906722|109907409|118305738|118309520|118309530|118350134|101614245|118398964|118416256|118441450|118448945|118482280|102004920|118802967|102081431|102085489|102086356|102094042|102094065|102094172|102094456|102103784|102111479|102112230|102112759|102113316|102114638|102127020|102127359|102127422|102127543|102127594|102127653|102127743|102127837|102128915|102128963|102129996|102130632|102130946|102132154|102132316|102132362|102134146|102134800|102155617|102194106|102197546|102209131|102209581|102210804|102210820|102210831|102212030|102212484|102215168|102216808|102220677|102220688|102220889|102222144|102222146|102230728|102236017|102236024|102240654|102248179|102251578|102258625|102259411|102262835|102272810|102292524|102324989|102333282|102333612|102334400|102452120|102452199|102452333|102463155|102466204|102470208|102470257|102470335|102478087|102480547|102488291|102490922|103024406|103030490|103049159|103052664|103053124|103060260|103062795|103067574|103067674|103067740|103071675|103071948|103080387|103080407|103088288|103096811|103113733|103121882|103126812|103127704|103134779|103145134|103161016|103162216|103163131|103176725|103182019|103183376|103187942|103189539|103190542|103199553|103201132|103201884|103205383|103205558|103205683|103208523|103379576|103409885|103410088|103410161|103416650|103426863|103436666|103444358|103448069|103453324|103473066|103589717|103589812|103589838|103590250|103590515|103590550|103590926|103590998|103591428|103591548|103591603|103591793|103592587|103593130|103595204|103595974|103596201|103596268|103596620|103597227|103597300|103597337|103597442|103597523|103597656|103597996|103598317|103598382|103598682|103598731|103598800|103599102|103600258|103600329|103600611|103688822|103688996|120760708|120770329|120775220|104161353|104304512|104304543|104307416|104307469|104308071|104308228|104308954|104308967|104308997|104309002|104309088|104309119|104309308|104309323|104309363|104309694|104310107|104310614|104311008|104311524|104311908|104311943|104311954|104312182|104312221|104313005|104313017|104313054|104313823|104313840|104313870|104314395|104314701|104314727|104314797|104314914|104315460|104315527|104315608|104315621|104315663|104316233|104316270|104316437|104316867|104316914|104317012|104317806|104317839|104317991|104318008|104318071|104319113|104319132|104319445|104319466|104319492|104319517|104319963|104319993|104320012|104320039|104320089|104320183|104320226|104320305|104320454|104320476|104320515|104320540|104321565|104322322|104322889|104322913|104323712|104324122|104324545|104324719|104324735|104324762|104324870|104324895|104324948|104326288|104326361|104327657|104327788|104327900|104328053|104328157|104328198|104328257|104328289|104328311|104328328|104328357|104328381|104328399|104328404|104328442|104328467|104328513|104328519|104328523|104328595|104328607|104328684|104328775|104328797|104328855|104328888|104328909|104329104|104329118|104329134|104329175|104329219|104329305|104329337|104329552|104329686|104329870|104330431|104330440|104330452|104331074|104331084|104331296|104331326|104331346|104331375|104331929|104331947|104331992|104332006|104332030|104332063|104332104|104332134|104332190|104332245|104332611|104332676|104332988|104333025|104333193|104333227|104333237|104333292|104333503|104333541|104333556|104334318|104334522|104334536|104334609|104334619|104334623|104334659|104334846|104334973|104335025|104335338|104335456|104335588|104335631|104335645|104335673|104335692|104335698|104335872|104335914|104336224|104336241|104336249|104336440|104336537|104336663|104336859|104336869|104337856|104338008|104338411|104338420|104338450|104338468|104338593|104338678|104338714|104338776|104338791|104338823|104338864|104339030|104339082|104339197|104339213|104339535|104339800|104339982|104340024|104340435|104340799|104340957|104341027|104341045|104341081|104341135|104341148|104341951|104342090|104342193|104342689|104342951|104342996|104343091|104343196|104343232|104343313|104343331|104343356|104343436|104343455|104343465|104343477|104343533|104343550|104343576|104343721|104343737|104343759|104343923|104343953|104343968|104344170|104344271|104344292|104344371|104344620|104344758|104344765|104344789|104344806|104344810|104344822|104344863|104344950|104345009|104345015|104345032|104345051|104345199|104345205|104345261|104345390|104345401|104345424|104345458|104345621|104345631|104345729|104347224|104347260|104350120|104350186|104350268|104350612|104350632|104350702|104350712|104350737|104350780|104350855|104350880|104350899|104350930|104351060|104351110|104351135|104351156|104351168|104351283|104351695|104351766|104352879|104353123|104353148|104353189|104353221|104353268|104353344|104354268|104354329|104355691|104356530|104356600|104356804|104356815|104357237|104357357|104357970|104357998|104360139|104360442|104360492|104360695|104361356|104361998|104362830|104363058|104363736|104364375|104364429|104367232|104367244|104367252|121406568|121406583|121442123|121460489|121460675|121460705|121479489|121519786|113346895|113405530|113456579|113456689|113456728|113456762|113457594|105155956|105156105|113571466|105200689|105200875|105257881|105258003|105258051|105258160|105258441|105258497|105258553|105258957|105260666|105260724|105260784|105260949|105261004|105262408|105270963|105271034|105271999|105272180|105272611|105338914|105385758|105401799|105461613|105461632|105675945|122612688|122657149|122699439|122708580|106122115|106122122|106122161|106209591|106209720|106220032|106242857|114638343|106258351|106264603|114659698|106275490|114664941|114664987|114665011|114665058|114665144|114665313|114665322|114665374|114665760|114665823|106294019|114685205|123146563|106384329|106388092|106422787|106422935|106437114|106447879|106448877|106449443|106449594|106465269|106474556|106485095|106486843|106493853|106494753|106499460|106502076|106502479|106505187|106505524|106505746|106510175|106515233|106516554|106517661|106520770|106523601|106543129|106562019|123347197|106579780|106579800|106584756|106584850|106588873|106868686|106890118|115340747|115353790|115382172|115439359|107092680|107095383|107096241|115513522|107138985|115584061|115589548|115589627|107209308|107211280|107211745|107215586|107225660|115616738|107230124|115619496|107235762|107258900|107298158|107309488|115713781|107334899|115730599|107342969|115732331|107351822|115793897|115860208|107492728|107492729|107665795|124478178|124479022|124529864|124531890|124553713|124554279|108472086|108472335|108472363|108551093|108557675|108559772|108561967|108575386|108610070|108620684|108646060|108720806|108725907|108729187|108754390|117143508|108765356|108786962|108839184|108851941|108899512|108900227|108923204|108934078|108936529|108946581|108947216|108952545|108952553|108953401|108957671|108967208|108971193|108981950
government.n.03	government.n.03|government.n.01|polity.n.02	109057676|100694572|100703389|100703442|100706415|100706568|100706595|100706806|100713196|100718080|100718106|100734644|100735201|100740374|100773930|109170308|109170348|109170485|100790008|109196703|109211134|109211259|109246673|109264957|109345569|101296279|101296883|101297354|101299550|101340995|101351906|101352066|118306284|118309376|118461244|101800683|101801359|101802650|101804355|101804419|101804879|102003823|102005016|102094088|102103599|102111314|102127576|102129967|102150163|102183360|102191381|102210331|102222278|102322031|102322328|102322856|102323409|102324310|102331814|102457223|102463124|102465304|102481162|103196200|103349482|103357147|103379604|103379611|103379621|103412666|103426020|103426038|104311000|104311176|104320185|104320672|104325883|104328539|104328554|104329241|104330689|104331558|104331674|104332200|104332215|104332653|104332724|104333252|104334399|104334411|104335294|104335540|104335551|104338697|104339183|104340041|104342247|104342581|104343947|104352453|104353800|104363370|104364830|104473520|113466319|105156155|105156672|105258603|105258787|105277479|105280255|105297024|105432031|122618713|122643780|122643931|122691017|122691041|122709956|106388485|106778953|106779218|106789425|106790245|106814539|106814677|106824108|106857799|106928846|115387778|115462552|107088510|107089649|107090637|107094473|107097334|107105560|107111990|107116702|107128411|115523486|115526165|115526381|115527498|107143166|107154354|107164014|107164804|107167599|107201805|107202562|107207065|107211583|107215833|107227003|107230897|107335806|107338102|107351721|107429078|115840243|115854823|115860319|115867113|115869163|115869415|115879164|115881824|115891489|107598199|107600606|116051520|116052748|107665645|107672322|107677731|107696002|107716592|124556520|116173688|107791524|116182542|116182987|124629375|124633015|124678370|124718086|124774867|124774920|108083002|108086814|116903626|108534448|108534557|108560649|108568042|108574036|108574215|108637457|117080904|108722748|117124307|108736377|108736387|108760584|117157697|108778671|108786994|117204323|100449192|117227292|108857167|100470576|100475455|108900033|109006080|100663823|109058373|100681734|100693294|100719955|100720273|100728210|100731874|100734829|100743852|109134965|109135703|109138218|109250976|109251065|109251464|109503511|101296834|101297862|101298258|101298456|101308107|118421912|110043632|118442645|118454612|101693366|118476789|101804958|118668160|102119042|102144688|102322112|102322226|102322591|102324289|102324325|102324658|102451821|102452487|102463204|102465277|102470510|102478134|103209157|103349396|103363163|103364947|103405258|103412641|103598511|120783608|104310939|104311045|104314211|104314368|104317722|104320364|104320435|104320535|104329393|104331175|104331404|104331426|104331610|104332552|104334362|104335303|104335534|104336408|104339728|104340881|104340900|104341113|104341938|104342299|104344739|104345673|104352973|104353841|104363381|121460953|105206027|105260863|105350649|106791370|106814654|106814990|106878142|115338965|115422604|115427419|115437824|115443758|107091076|107097789|115509855|115510253|115513371|107124826|107128663|115525646|115525788|107146978|107147854|107164349|107218711|107224775|107225267|107238372|107250763|107316136|115847783|115881847|115952466|116092024|107731242|116133521|107781077|107791905|124601488|124610998|124632377|124632458|124643511|124654868|124722764|108473557|108473577|108546772|108570502|108570530|108575557|108676514|108682329|100312089|117107783|117125487|117137142|108750908|108760025|108763536|117157957|117237812|100473227|108982337|108990215|108996151|100660700|100662009|100662045|100735781|100774521|118510638|102136529|102221497|102300528|102321238|120768630|113529457|105200928|123541851|106789440|123574012|123578381
civil_order.n.01	civil_order.n.01	109060131|109069882|100684945|100687606|100689020|100693189|100693308|100699260|117479298|100706774|100707564|100725293|100725459|100726291|100726632|100726726|100727583|100727971|100731638|100731973|100732435|100734259|100734349|100735240|100735714|100763922|100769005|100772581|100772689|100772739|100772811|100773033|100773174|100774032|100774078|100774185|100774242|100775189|100775433|100775469|117981668|117984598|109693863|118309043|118313723|109930841|118320260|118802264|118802433|118802544|102043772|102043782|102043801|102043831|102043960|102043985|102075957|102094532|102099131|102102898|102103027|102103147|102111384|102112073|102113023|102125208|102126876|102128566|102128590|102128856|102128903|102129110|102129611|102129668|102129756|102129918|102131049|102132231|102132673|102133951|102136483|102150242|102150322|102154721|102156150|102156529|102157841|102194920|102195384|102210491|102211289|102211754|102216547|102216756|102218102|102220017|102220198|102221327|102221441|102221525|102221621|102221640|102221652|102221662|102222206|102222512|102229239|102230516|102230562|102232337|102234059|102241043|102244946|102252731|102257249|102261620|102261642|102261714|102261759|102269590|102270257|102280184|102287800|102295378|102298145|102300569|102304798|102306155|102307997|102309234|102324562|103113622|103121834|121355572|121358572|121445112|121445464|121448711|121479450|121512014|105116226|105157267|105462324|106388476|106431840|106494030|123318941|123331420|123331549|123331606|123337059|123557895|123573232|123574032|123579243|106814493|115854389|107590178|107594026|116159385|116161899|116162589|116170239|124655070|116337647|108551545|108551979|108553102|108559468|108559521|108559647|108560063|108560195|108560226|108560477|108569676|108587812|108663537|108664189|108718106|108720875|108840856|108857368|108921620|108945669|109042118|109042139
political_system.n.01	political_system.n.01|democracy.n.02|republic.n.02|monarchy.n.01|oligarchy.n.01	100666697|100667049|100684826|100706655|100707277|100709393|100715812|100730275|109212792|109260626|109264039|109285013|101261569|101296930|101296965|101298271|101307778|101351777|118323985|118324119|118349853|118396452|118405828|101800827|101801348|101801469|101802760|101802863|101804088|101804102|101804211|101804405|101804545|118694289|102111426|102127495|102127642|102127941|102128943|102132632|102321196|103113561|103127853|103134735|103343981|103344172|103349374|103379527|103409933|103427928|104317408|104327429|104334437|104468878|104468894|104468909|104468978|104473463|104473505|104473510|104473551|104473639|104473738|104473805|104493246|121974943|105224533|105258991|105263560|105271738|105273084|106444973|106755711|106775891|106814505|106814891|106824224|106859087|106893604|107060835|107060899|107089139|107089414|107089532|107089761|107089823|107090673|107105599|107105607|107105838|107122797|107126552|107130813|107135130|107154199|107163962|107164076|107164114|107164129|107164164|107164229|107168355|107168979|107169721|107181681|107184390|107185231|107188966|107210373|107211273|107231810|107232770|107238731|107241145|107241636|107296701|107330468|107335305|107337557|107339518|115749225|115803094|115840274|115854799|115854916|115854928|115856128|115879671|107496614|107527051|107527088|107569274|115994912|107631882|107632559|107665946|107665974|107677658|107683800|107694216|124478110|116093896|107706991|107708420|107709920|116116384|116132723|107750497|107770551|107780745|124602391|124678473|116330892|108546794|108550597|108550766|108556366|108558847|108574076|108582040|108587865|108676625|108696648|100327935|108718036|100337642|100340696|100340740|117120977|108736139|108759817|108760396|108763462|117212614|117215084|117217437|108901745|108996074|108996470|100661751|117957389|103379665|103600049|104306288|104308935|104314578|104314925|104332340|104350789|105271922|105274619|105274650|105436977|122637902|122666282|106521104|115509570|117119430|117128129|117137680|117155726|117157905|117158947|100405641|117192488|117203087|117220083|108917353|109959583|113482993|116025408|117137479|104346818|107164664|107168036|103134928|104342557
citizenship.n.01	citizenship.n.01|citizenship.n.02	100665426|117451408|109067246|109185484|101078889|101127838|109529614|109529696|101286684|101298487|101316902|101328516|109884294|118385388|118410240|118450310|118465716|118466103|118466413|110180927|102132094|102464976|102485137|102491030|103055244|103059609|103062382|103062423|103133121|103172621|103175608|103181647|103239144|103339080|103340042|103340212|103340272|103409764|103604034|120765541|120783382|120786261|104312799|104313600|104317233|104344092|104358692|113330245|105161079|105261353|105401756|122715504|114637150|114637173|114640576|106761466|106772042|106789546|106815960|106818285|106818653|106844122|106893614|115338718|115388792|115415791|115429637|115434911|115435413|115476359|107093199|107093316|107093471|107115983|107131973|107147794|115537840|107159503|107172110|115579440|107199062|107229428|107259693|107272754|107275525|107275541|115677108|115719422|107359764|107607123|107621394|124478986|108549556|108620120|117066142|117111618|117111641|117114609|117114724|117115384|117115677|117117334|108750138|108768257|117187931|108906232|108926533|108926581|108947365|100657877|100661702|102442981|102445783|120679771
state.n.04	state.n.04|state.n.03	109263365|110209737|118677816|102256038|103151713|103305650|103408612|103430609|103467601|104317439|104354526|104356717|104473487|121475863|121533217|121534844|121990396|105251610|105257991|105260554|105261841|105262541|105263120|105271832|105272123|105274461|105324144|105406923|105407800|105438213|105444212|122665293|122673021|114552083|106306364|106499007|115512958|107146571|107220596|107265354|107301793|107493028|107656666|124557416|124631292|124690385|124703317|124731346|124740295|124752562|124755858|124772290|116889753|116890115|116896145|116919121|108575274|108599703|108620971|108706608|108711508|108713673|100330232|117108570|117111022|117118088|117128040|117136446|117137755|117138273|117161664|108783236|117178083|117192293|117198773|117220967|108841862|108917230|108932642|108962461|108980274|108982179|109504621|103158038|105271210|105273553|122634986|124731902|124732844|108931184
state.n.02	state.n.02	109060316|101296503|109688117|109782974|109872685|118418763|101804136|101807313|101902406|101902562|102085209|102111248|102132489|102134913|102135102|102183179|118999092|102269183|102488183|103161116|104312281|104324686|121445158|121452175|121528763|105260522|105260591|105261936|105262708|105271011|105271350|105271690|105272834|105274377|105274410|105274592|105307344|105335189|105380740|105398544|122666166|106209748|106247325|106483937|123536228|106896455|115341976|115355342|124590077|124643168|124648642|116588281|108552040|108570874|108594345|108696798|108696930|100388868|100412626|100466425|108904884|108906087|108971568
state.n.01	state.n.01|country.n.02|commonwealth.n.01	100781211|109259549|109503664|101614551|102094443|102130586|102209541|102277261|102479349|103061807|103061827|103061864|103068488|103134859|103157026|103596698|103598503|104162010|104304594|104307124|104308264|104318002|104328425|104332088|104333665|104343517|104347232|104350686|104355331|105173405|105258324|105271751|105391643|105396022|105426112|105438779|122714330|106394443|106497004|123331377|115334078|115350998|115394857|124551522|108473344|108558419|108614800|108840558|108931346|108991020|124314462|108696626|107338823
policy.n.01	policy.n.01|policy.n.02	109052046|109506851|109537796|101504351|101504510|118456435|103046621|103078268|103087540|103091559|103092018|103098694|103101304|103202904|103202923|103427679|103427697|103437279|105042926|105150624|105209102|105369418|105407985|105408348|105415642|122740127|122740655|114640427|106787372|108652480|117237450|108932861|108937004|108949579|108962287|108970898|108974750|108974987|104500496|114982355
citizen.n.01	citizen.n.01	100666615|117734303|101256213|101285594|118385359|110251860|118980340|102306027|103054676|103181592|104317198|104317713|104335439|105156020|105329809|107147578|107213785|115713626|124326111|115988104|115988190|107615433|116166089|116166451|124754400|108095584|116904955|108563520|108573299|108577784|108792882
