character.n.03	character.n.03|nature.n.04|personality.n.01|spirit.n.03	100674994|100675691|100677090|109069702|109069854|117464632|100700724|117486228|109110331|109110359|109111899|109114690|109116979|109117424|109117783|117506853|109119624|109119662|109119906|109124938|109125552|109127677|109127728|100739512|109128677|100743600|109140162|109140427|117529345|100774590|109166323|109166792|100778431|109171417|109171525|109217064|117607979|117610245|117612965|117621239|117621558|109245731|109263281|109263457|109264137|109270482|109291390|109298430|109305896|109321963|109322360|109329247|117734052|109345828|109346596|109349062|109350084|109352395|109353626|109385454|117946842|117952757|101387919|101388129|109792766|101432693|118291456|118294826|118305695|118308077|118311737|118315915|118318092|118319059|118333461|118334990|109959120|109959775|109959812|118376341|109994855|109996262|110006652|110014040|110036321|118426758|118430187|118438410|118467566|118467596|118479126|118483120|118484099|101728742|101729178|101806983|101807097|101807722|101807791|101807876|118722654|118722717|118756445|118767382|101993806|118776404|118779773|118791901|118804896|118805097|118811870|118834638|118848669|118853186|102077250|102077379|118873123|118873734|118881084|102108796|118886938|102112696|102112844|118898013|102127660|102149174|118939373|118944826|102243518|102247995|102248392|102263273|102270905|102271909|102285813|102288176|102288431|102288676|102293768|102295342|102295608|102302149|119080095|119081126|102307371|102310555|119087812|102320900|102321512|102323368|102324026|110856447|103037462|103082024|103090029|103127376|103127536|103127668|103131540|103345982|103399152|103408965|103430242|103681890|103682731|103687007|103839606|103910536|103923845|103924008|103940561|112385407|112442996|120976431|120984609|104285798|104287551|104287577|104287609|104287783|104287789|104287822|104287938|104288049|104288063|104290945|104291090|104291141|104291323|104295827|104349321|104349689|104355964|104367495|104369039|104369219|104369707|104369722|104369739|104369782|104369841|104370002|104370013|104370067|104370214|104371783|121210520|104465797|121249711|104473747|104476166|104476277|104478749|104481717|104487515|104489441|104489453|104489678|104491147|104491233|104491565|104491716|104491731|104492249|104492259|104492288|104492476|104492496|104492842|104492843|104492856|104492929|104495641|104495679|104496776|104512552|104513353|121292375|121342603|121382213|104608551|121389179|121389509|121389564|121413263|121414148|121422429|121422480|121425632|121445403|121464893|121464940|121489041|121494666|121523072|121527459|104774009|105055592|105067956|105120000|113518302|113520560|105136916|121967984|121983696|105206767|105207155|121984390|105207417|121995016|105297395|105684406|122626351|122648987|122649101|122695807|122695826|122742044|122784651|122787565|106123319|106221096|114653789|123066905|123086466|123089045|123090641|106351984|123130573|123132828|123133007|123142804|123142826|106380492|106478511|106492016|106497349|106520356|123529223|106762423|106804462|123588953|115247665|115265823|115266317|115273129|115273497|115330734|107241211|107250538|107259232|107301999|115763722|107465885|107495525|107495550|107496130|107528899|124475131|124480952|124481129|124481151|116151645|116151789|124559193|124592447|124598279|124715846|124731004|108387057|108550289|108552670|108561819|108570439|108570489|108578465|108579508|108610443|108620262|108621669|108630468|108636433|108664591|108665568|100303109|108696715|108705620|108716174|108716525|108720432|108736455|108742166|108761534|108779749|108780382|108780545|108781239|108781496|108781601|108802951|108803637|108834253|108834403|108852084|108853931|108862442|108876033|108876066|108899462|108928446|108932065|108935934|108950594|108953361|108962643|108967788|108971717|108974425|108977685|108993127|108997122|109014396|109030853|109031821|109032213|109032240|109045118|109046543|109058466|110013860|110041591|101653466|101667063|104286663|105684384|105776152|107164652|100251390|108669655|108675119|108706877|108867602|108926310|117350762|117351018|108984329|118870356|103346180|121226155|114635998
inclination.n.01	inclination.n.01|disposition.n.04|predisposition.n.03|attitude.n.01	117542078|109764197|109956611|109959296|118725710|102068180|118851462|102077206|118874806|118875609|102200562|102240949|102242877|102246349|102284123|102291844|102292851|102295831|102295840|102325581|102334232|110851411|102515116|103842218|104570577|104570660|104570693|121398733|121550904|121550991|122667576|106156673|106183615|106225849|106253886|106315855|106354787|106360886|106376997|106378080|106378136|106385462|106386434|106388356|106389854|106403547|106414951|106423370|106434573|106435311|106443853|106452160|106452443|106468028|106469650|106473550|106480418|106488548|106489953|106496331|106498214|106499176|106501457|106503394|106508369|106511757|106513381|106517125|106517223|106521029|106522152|106523959|106528603|106529171|106542712|106542946|106544447|106546493|123324010|106572459|106587204|107347378|115879728|115941322|116197123|116201991|108550694|108570356|108636832|108680502|108695265|108892137|108898656|108902463|109043445|109043471|102068305|119099122|114659634
manner.n.02	manner.n.02|demeanor.n.01|bearing.n.03|gentleness.n.02	117451212|117461122|100704423|100733250|109124837|117593182|117611425|109372868|109383993|109384029|101155729|117995358|109680511|109761087|109959196|109979242|109979272|118480884|118720867|118720979|118796243|118812523|118829422|118871490|118872038|102126990|102207574|119001337|119294462|104473469|104473683|121388072|121389438|122617882|106131567|114635878|106503090|123324173|123324687|123327159|123327440|123329522|123345956|123346310|123549422|123555234|123559195|123562537|123569775|123570946|123571089|123574395|123576368|123576877|115246904|107096598|107120576|115891316|107586004|107703736|107720776|116169825|116212329|116263504|108531209|116985925|108649406|108751083|108917209|108935330|108939051|100559243|100576771|101432259|110031807|101941671|115990115|122743577|117221571
disposition.n.01	disposition.n.01	109077374|109078662|117708608|109334784|109793940|109835961|109845338|109906523|109932641|109958508|109958535|109959153|118812328|118852663|102077353|102077905|118863112|118876441|118878021|102113631|118901634|102149096|102247563|102263536|102334185|102514081|102517823|103593583|103841958|103842291|103928826|103930020|103939143|104185179|104203925|104368559|104570598|106171818|123090268|123102877|123103315|106364202|106505328|106509265|106512593|106514073|106516956|106531158|106535594|106537503|106539710|106539909|106572661|123554510|107744289|124913977|124914141|108198685|116916336|116927998|108561401|108570253|108722492|108742253|108779927|108877225|108916862|108994710|109033634
haunt.n.01	haunt.n.01	100927134|110049518|110051798|110071275|118760197|118762841|118824712|118890454|118905024|102273243|104160791|120986922|113922354|113922995|113923236|113925467|113926366|124738861|116767907|116769269|116770550|116775146|116783479|116790492|116796186|116796634|116797968|116808406|116831781|116854475|116854905|116862587|116868747|116871060|116872636|116880967|108793477
moral.n.01	moral.n.01	100733314|109242406|117753005|117988068|117991665|117996612|118004206|118849287|102207062|118998453|102328924|102518039|121421520|121428684|121435303|121445772|121466958|121471310|121498082|121971010|122677324|106120576|106245955|106294787|123343924|123573700|106889195|107301825|107528833|107637136|116180473|116329882|116335909
nature.n.01	nature.n.01|quality.n.01|characteristic.n.02	109078764|109396717|101423328|101653248|118476018|101704694|101807378|101851763|101873849|102110972|102112593|119082429|102389501|103842305|104325131|121191757|121983397|115418838|116292632|108620501|108620864|100251476|108683162|100305486|108706218|108727275|108852153|108917450|108917675|109038523|100763146|118323808|102089997|104493046|123102760|123102892|123157455|123240912|118311929|118804845|118889723|103923818|103923994|105688269
habit.n.02	habit.n.02|custom.n.01|practice.n.01	109350030|118333470|110048172|101861512|118905493|102201816|102223578|102229128|102234102|110856486|103207476|103838437|103839777|103849750|103922987|103928222|104517703|121377279|123343866|115244655|115244778|115244886|115517685|116826001|116884546|108553633|100299438|100306343|100515864|109030939|100918381|100919124|118814249|118852058|118872023|102128947|119070942|107632942|116290182|108558907|108768010|108928934|108719764
way.n.05	way.n.05	100726338|100728447|100779350|100781873|100977633|101073697|110072247|102132705|102137610|102218834|102269156|102325987|102332881|103441687|105038273|105746228|106802067|107310654|107371003|124718087|100243232|100307942|100492344|109032541|100644378
quality.n.03	quality.n.03|feature.n.01	109958857|109959204|109959371|118421995|110078435|118762461|118798985|118805928|103923703|103925633|103940688|104351145|104367242|104473806|104492908|104493004|104493247|104512572|105207205|105271793|122784672|114551039|114555717|115245066|107457812|104492509
