reasoning.n.01	reasoning.n.01|ratiocination.n.02|argumentation.n.02|conjecture.n.03|inference.n.01	117456685|100682254|117501114|100731063|117509468|109137082|109140731|109141128|100757614|100782623|100784739|117574179|117628763|109290211|109306478|109505621|109505717|101220481|109650719|102021401|102022249|102128134|102160714|102161009|102161697|102167353|102174718|102175024|102176636|102187700|119092740|102505619|102506108|119295459|102648339|111161706|102926573|103048733|103070228|103123152|103166490|103247284|103336188|103391741|103574271|103670017|103670027|103670029|103675938|103693894|103694030|103694218|103694229|103694335|112395978|112397319|104015463|112408206|112420154|112448442|104220546|104220551|121031554|104365351|121244288|121255695|121263116|104494134|121287432|121289702|104596727|104596765|104596895|105053620|121975519|121979921|105259751|113677366|113677503|122633530|122665980|122724288|122734744|106137584|106159140|106159150|106159273|106159373|106159385|106159415|106159488|106159559|106165834|106166005|106166118|106173268|106175671|106224742|106244778|106246124|106248414|106249105|106249726|106250553|106261535|114651811|106263233|106269370|106276190|106287969|123069932|106295278|123072623|106295860|123073737|106297737|106299652|123089581|123089590|123089911|123096204|123096217|123096227|106327247|106330548|123108880|106334022|123136590|123136623|123143012|123144595|123144787|123144907|123150582|106376746|106389339|123169552|106393739|123175077|123178013|123178034|123186226|123197114|123197774|123223338|123223378|106448091|106449844|106469911|123254198|123254200|123255186|106481532|123262454|106489325|123271222|106494621|123277753|123281695|106510402|106526583|106526599|106528146|106535839|106545002|123323512|123334386|106569385|106573333|106589319|114986858|114989759|123549878|123550384|123565970|123566432|123569117|123571034|115339115|115365223|115447849|107112526|107114396|123894566|115508586|107309140|107313267|107322666|115871401|116075133|116122057|116160309|124580878|116303056|116312241|116329304|116329345|116329393|116329412|116329456|116329497|116329611|116329618|116329634|116329636|116329711|116329866|116329889|116329917|116329943|116329967|116329993|116330016|116330043|116330075|116330123|116330157|116330201|116330227|116330286|116330376|116330439|116330508|116330530|116330553|116330589|116330598|116330792|116330832|116330855|116332240|116332603|116332617|116332624|116332638|116332660|116332682|116332704|116332779|116332923|116333002|116333023|116333076|116333134|116334010|116334649|116335050|116335097|116335448|116335691|116335960|116336136|116336330|116336775|116336963|116337024|116337923|108028818|108107243|116578457|108590724|108621619|108706026|108807406|108909458|117313531|117315702|117322888|108980955|109032473|109044734|103570532|103587365|123223350|106574281|102327512|112448473|121404398|106526386|115426422
reason.n.03	reason.n.03|intelligence.n.01|understanding.n.01|brain.n.02|faculty.n.01	117454047|109065960|117478484|100708879|117500160|109122560|109126228|100749704|100753926|117531614|117576380|117605756|117629205|117696672|109329743|109329973|109332729|109335211|117739752|109354199|109354992|109356475|109358614|109361987|109364582|109364782|109370772|109379646|109390955|109390999|109398048|109648869|109657096|109907951|118321024|101703438|101705607|101782827|101876096|110402241|118849270|102091630|102091887|102120580|102149038|102151685|102180042|110853833|110854277|110854507|111191835|111191893|111193433|103354070|103364463|103587526|120726776|112385847|104476042|104476157|121258176|121262950|121461245|113332222|105044550|105048232|105048362|105054584|121976399|121998005|105259384|105259665|105281934|105358465|105358484|105363067|122613469|122728868|122733059|122736102|122756626|122767153|106130609|106132999|106133091|106148477|106150032|106151210|106159307|106187138|106195963|106213071|106239999|106243784|123040003|106263768|123041562|123044965|106268729|123046552|106278848|106282928|106287446|106290921|106306252|106307326|106307460|106308283|106308927|123096245|106320348|106324664|106334852|106336491|106338692|106338694|106348821|106352081|106356676|123136528|123136647|106360471|106365155|106368453|106369587|106369783|123147820|106376216|106376806|106376882|106385027|106397224|106402309|106403581|106418173|106420555|106420924|106430448|106430607|106446998|106456038|106457788|123237394|106461585|106463060|106467028|106472774|106475787|106479946|106487924|106489434|106489823|106493226|106496952|106501779|106501845|106511559|106523183|106525563|106525697|106525763|106537365|123324895|106584314|106586623|123549148|123549234|123571670|115360123|107114508|107170585|107189225|107207261|107208188|107236434|107238797|107255985|107265427|107267898|115823277|115883430|107530153|116080349|124541187|124609545|116330321|108189342|116767269|116843833|116922644|108572589|108576806|108654565|117109783|117148745|108801381|117210311|108869028|108886218|117322636|117332908|108976335|109003663|110402278|107594905|106548463|108907528|109017211
calculation.n.02	calculation.n.02|calculation.n.01	117574143|109592100|118451554|101830321|102034085|102034178|102034246|102034264|102034277|102034297|102116374|102119886|102121135|102121592|102143617|102148368|102165581|102198727|102284127|102284445|102309771|102312522|102359007|102489628|103037436|103050831|103089161|103360994|103365201|103405150|103423781|103554501|103564978|103674140|103674701|103694301|120767401|104082574|104492163|105064555|105274998|105356278|105422810|122661729|106353732|123144473|123172444|123271095|123271148|115254272|115352135|115423093|115455736|107157923|107227792|107336238|107429154|124704208|108634575|108654823|108654904|100341420|108735010|108737334|100357947|108770868|108794961|108807153|100424444|108825072|108834360|108873639|108907122|108915300|108964480|108975930|108975975|108992347|109046284|101843501|102033927|102198592|102308629|103092116|104347497|122612385|108762673|100397039
idea.n.01	idea.n.01|concept.n.01	109088787|117516767|117518202|117533854|110185923|118999668|103432712|121443062|121514585|121518776|121518883|121526137|121528117|121539566|113333535|105043829|122755333|106128006|106140789|106142224|106142590|106157153|106160035|106189759|106242321|106256904|106259845|106808051|123905743|107167435|107173143|124480230|116267859|124671416|116332119|108085898|108107260|108147977|108151801|108153388|108182556|108182594|108227816|108530878|116998543|108872229|117340608|116334278
reason.n.01	reason.n.01|motivation.n.01|urge.n.01	117497875|117583951|109392786|109395843|117973133|110004749|110251209|103209483|120644990|121461660|121488797|106111158|106142045|106169937|106215004|106221995|114647625|106260931|123135459|106516850|106550336|107058602|107090018|107352293|115865863|108568601|117036889|117041986|108658854|117057256|117105404|117145666|117168963|117169284|108989585|101307751|106564630|109009599
calculation.n.03	calculation.n.03|consideration.n.01|contemplation.n.02|thinking.n.01|deliberation.n.02|premeditation.n.01|meditation.n.01	109592066|103046632|103344618|103386185|103672976|103673131|103680665|104041352|104476409|104491570|104491576|104492154|113382764|105067508|105136034|105154833|105169793|105196308|105303172|105303936|122733508|123271140|107212385|115637633|107360455|108582750|108619211|108626360|108647009|108768886|108779054|108825238|108831933|108848140|108939361|109261652|102088225|102143118|111155126|103177291|113652715|113657212|105274928|113688501|106446025|107107053|115910860|116114923|108668995|100341335|100424318|100467132|109067137|117620885|117965170|101841825|102160010|103574263|103574288|121460732|115490565|107120078|107225986|116111028|117152111|108909011|117323919|117324929|101697603|101780608|103360497|121289139|123064996|107123572|107172840|124554720|113720242|105427623|123136569|123152341|108364011|108729215|100391436|103097747|107372244
rationality.n.01	rationality.n.01|reasonableness.n.02	109203733|109329308|109332534|109353760|109370033|109396092|118927338|103202906|120985202|106193312|106205704|106314954|106332296|106409623|106438698|106467645|123270349|106509351|106516848|106525826|106527597|106545559|123547338|123549196|107179427|107243152|107284327|115816555|115980158|116086845|116142009|108880495|117340021|107262007
plan.n.01	plan.n.01|scheme.n.01|project.n.02|design.n.02|policy.n.01	109073075|109076648|109087790|121242978|105163242|114658667|123085030|123254053|115479205|107119791|107122060|107143409|107184708|108375931|108622316|108744331|108870913|108875550|108941308|108954861|108954931|108956643|108957621|109007081|118751267|105122087|123085022|108698843
mind.n.01	mind.n.01	109079458|117530420|109379586|120642249|112421692|104161120|120969187|120991491|113565659|105441831|106121709|106124102|106422372|106495600|106512083|106581420|106583578|123591070|123905895|115887975|116024726|116128618|124706306|117315391
circumstance.n.03	circumstance.n.03	117612040|110418196|111173655|103037332|103065761|120644975|105203927|106389680|123182407|106581218|106861665|115350888|116110119|108626182|108753676|117153433|109011445|109025908
judgment.n.01	judgment.n.01|decision.n.02|opinion.n.01|conviction.n.01|belief.n.01	100760455|121513145|105221129|123092103|106879363|107136965|107193511|108618936|108684632|108738760|108745942|108869322|108907427|109012098|103177955|107283881|107346482|107362516|108666311|106495255|108992122|109024304|108626829|117108024
account.n.07	account.n.07|reckoning.n.02	109505985|103414512|112418632|104355530|104774515|105404513|106559290|106566373|115364656|116085954|117075555|124704274
