power.n.01	power.n.01|authority.n.01|power.n.05|control.n.01|command.n.03|sovereignty.n.03|legal_power.n.01|imperium.n.02|influence.n.01	109067810|100684074|117465194|117466890|117466939|109082261|109088458|117481382|117513566|117513580|117515285|117529369|117540346|117540368|117543740|117551530|117552359|100781450|117559142|100784847|100789972|117582843|117611878|109264832|109267502|117674514|117674530|117684447|117684452|117687880|117689152|117689229|117689879|109332631|117730570|117734561|117735312|117741104|117741229|117741260|117742156|117752208|117752440|117756805|117756836|117758763|117761377|117989883|118001653|118013617|101376713|109778875|109883798|109918693|118311551|109923479|109923496|118315722|118316300|118328593|118332374|109963193|109971798|118382895|110005496|110008328|110017570|118412814|110026733|110031727|118420827|118420835|118422258|110036285|110041455|118496042|118506781|110135361|110144050|110155289|110155295|110162250|110162255|110162265|110167262|110169944|110183212|110191365|110191383|110196333|110209550|110213891|110214438|110236987|110240907|110240910|110241283|110241847|110241863|110243787|110244325|110246619|118988773|119007028|119012490|119012845|119020790|119033876|119041977|119062157|119062789|119065075|102319823|103061895|103106125|103106149|103151387|103176729|103202754|103202895|103209868|103590894|103600497|120552028|120552311|120554371|120663333|120663926|120664416|120666285|120670044|120690191|120690268|120690303|120691561|112384822|120833668|120839479|120840249|120843382|120843792|120846775|120882302|121068431|121071088|104349439|104363048|121245720|104492939|121384566|121396114|121397073|121397080|121412871|121422802|121422822|121422829|121476018|121495697|121499169|121525482|121528310|121532562|121533469|121543323|121552089|121552107|121554236|105233769|105255894|105255960|105260114|105261896|105261921|105283091|105286771|105296798|105300827|105310088|105310161|105350461|105353291|105355416|105364287|105380482|105387975|105404416|105413233|105415823|105424764|105424895|105426458|105439347|105439667|105455246|105461801|105687576|105772544|122690887|106174635|114641288|106268993|114665800|106378353|106419858|106492202|106561494|106575324|114983068|114983653|106752933|106759162|106764987|106777583|106785869|106788548|123576964|106807155|106845311|106845838|106845932|106878577|106908139|106910473|106929511|106931959|115332391|115385406|115390558|115410912|115423827|107051596|115444417|107091997|107092537|107096369|107096499|107096557|107096622|107096752|107096760|107096865|107105472|107105527|107110619|123890979|115505551|123895930|123898858|123899001|123904834|123907234|123907292|123907339|115519583|123908335|107131341|107135447|115525951|123917557|107140944|123918292|115530310|115530801|123919568|107142392|123921515|115534082|107148547|115538840|107151248|107152358|107152426|107152823|107152841|107154378|107159030|107159050|107164358|107164650|107164680|107165069|107165124|107165541|107167626|107176845|107182708|107184569|107186894|107190140|107190444|107190543|107190646|107191191|107191321|107191504|107191721|107191942|107192522|107200651|107204918|107215719|107217108|107220450|107221222|107227916|107228386|107228986|107229064|107230491|107230507|107230524|107230630|107230874|107231597|107232388|107232423|107232845|107233487|107234342|107235180|107235610|107236763|107239732|107240682|107240911|107241077|107241571|107245047|107245114|107245190|107251023|107259210|107272640|107277070|107279747|107280589|107280846|107281545|107281589|107287532|107296714|107298611|107298697|107299163|107299211|107299347|107313656|107315608|107315814|107315959|107319224|107322511|107324078|107330487|107330952|107331477|107331561|107333189|107333663|107333683|107333963|107334122|107334288|107334385|107335821|107335911|107336417|107338201|107339350|107339581|107339823|107339896|107340801|107344426|107344680|107345489|107345563|107346190|107347311|107350475|107352175|107353005|107360529|115814634|115818241|115821259|115847066|115857262|115857880|115866018|115874459|115880627|115891301|115891365|115892049|115911586|115911989|115977360|107632536|116025707|116033112|116051232|116053324|116058130|116058145|107669910|107672136|116064143|116070129|116076918|116076934|116083783|116086136|116086507|116091683|116101273|116102386|116107283|116111767|116117416|116124104|116124170|116124357|107737779|116148227|116148429|116152730|107780957|116172790|116184281|124573086|116198514|116200598|116209107|116212205|116229557|107843287|124644598|116265903|124722691|124748563|124759922|108021651|108021957|108030499|108031241|108039866|108082332|108083306|108162240|108186153|108188815|108194077|108194239|108197122|108200308|108204273|108369153|108369935|108372328|108372921|116905051|108550466|108551896|116948798|108561138|108620505|108646950|117048796|108672299|108673129|117075086|108697636|108704056|108704137|108710292|108710485|117101133|108714277|100329417|117114936|117136595|117137247|117139272|108776288|108776955|108781576|117171969|100423437|117203331|108829809|117221462|108837877|100452057|108923373|108923734|108928343|108929102|108929909|117321773|108945367|108947930|108952348|108952408|108964179|117356399|108970267|108983338|108984336|108992133|108993573|108993688|108994342|108998348|109009797|109012677|109014836|100681816|117559365|109194025|109201304|117626536|109238004|109240172|109240174|109244638|109267767|109267820|109268990|109334225|101371577|109793284|101410135|109994642|109998424|109999608|110008284|110015366|110016976|110017275|110017394|110018751|110022422|110024068|118420746|118422187|110035469|118426104|118426674|118443022|118479673|110093932|110094086|110094719|110094767|110095379|118490410|110104024|110104033|110104060|110104140|110110754|110111197|110111287|110111773|110114607|110119566|110119601|110119682|110121256|110126846|110127344|110127437|110128155|110129708|110131876|110133552|110141052|110141656|110141667|110141757|110142015|110150039|110160594|110164491|110170663|110183038|110183077|110197913|110200308|110204896|110206396|110209471|110238193|110239760|110242545|110242838|110242876|110242910|110242957|110243057|110244986|110245006|110245160|101899290|119045005|119052012|110854155|103163669|103195312|103209178|103388078|103412860|103478566|120665623|120779541|120846880|120846899|120856843|104162090|104349346|121198640|121199244|121235943|121237409|121328330|121328360|121395993|121413129|121416915|121425247|121529585|121533372|105126889|113537124|121940785|121940895|121941647|105171904|121972525|105196436|105208660|105237952|105238321|105239386|105242363|105260091|105262506|105263157|105263523|105294035|105301096|105338944|105374646|105387189|105412687|105416148|105423289|105423488|105444781|105457205|105458602|122664097|106110690|106132436|106147026|106162972|106162981|106174569|106370686|106389997|106395288|106463611|106468655|106523554|106531440|106532280|106570729|106570838|106573091|114994817|106745709|106746760|106746795|106764947|106786131|106789756|106803381|123588568|106838154|106860543|106881458|115331772|115342009|115347635|115355883|115365981|115382036|115391094|115400295|115401951|115410849|115416513|115426733|115428268|115428653|115429276|115435241|115437524|115438925|115439369|115442947|115448021|115465776|107080566|115474088|107092736|115482099|115483872|115491076|115500365|115509884|115510805|115514711|115517499|115525765|115526227|115533462|107148526|107154187|107164640|107170876|107185183|107186985|107190435|107190776|107190990|107202666|107204805|115595568|107227049|107229023|107233892|107236211|107241999|107264147|107265153|107275441|107279293|107279548|107280545|107281523|107296057|107299439|107309896|107313340|107322001|107322012|107322376|107325018|107328079|107329884|107329976|107330156|107330529|107331333|107333222|107334027|107340786|107343398|107345745|107347267|107350027|107351875|107353796|107361791|115810175|115816512|115817262|115823282|115824649|115854496|115885265|115899459|115907617|115911266|124304153|115917926|115918913|115936870|124326480|115969813|115975439|115980177|116016876|116018876|107632610|116027342|116027601|116051798|116054473|107668335|116073917|116074024|116076958|116079831|116080657|116086557|116092681|116102443|116104408|116107486|116117760|116119174|116124492|116124518|116133587|116137124|116137543|116141969|124535422|124538578|116155774|116168899|124564802|124573115|124573277|107797028|107815421|116207778|124601513|124629517|124635792|124647080|116258538|116307313|116332649|124722136|108025842|108033614|108071486|108071541|108072007|108072102|108072216|108077516|108209722|108357104|108357331|108357735|108357910|108357925|108357966|108358428|108358519|108358605|108358808|108358948|108359100|108359266|108359346|108360620|108360665|108360683|108360685|108360994|108361009|108366903|108366939|116775103|108508019|108583444|108597279|108597364|108609137|108651408|108707649|108710381|108742190|108766656|108776370|108841915|108845524|108953576|117346485|108985449|109032464|117494422|117536088|117569939|110191358|110191415|110211548|110213959|110214535|121155811|121444194|121508713|121543162|121552082|113541345|105426217|107168390|107191747|107263877|107331634|107688953|108913064|110019550|118420891|118444201|102260333|120554292|121262838|121292489|105361165|105438339|110006932|121355910|107741307|110047060|105319324|110144483|116138764|120552180|121375383
license.n.02	license.n.02|liberty.n.02|freedom.n.01|autonomy.n.01|free_hand.n.01|liberty.n.03|license.n.03|discretion.n.01	100686510|100700893|100728472|100732021|100745271|100746265|109923828|118350663|118363336|118374468|101597308|109998778|118465815|101851557|102061958|102062020|102132186|102132203|102132328|102134728|102135013|102440608|102478754|103043661|103166062|103168309|103169500|103199478|103363801|113555938|107532418|124728465|101125668|101128130|109713163|109744129|101385001|110196591|101899182|101899206|101899250|101955815|103047551|103051336|103071397|103076787|103162485|103340806|104312655|105435958|105436056|105440041|105452866|123543603|123548939|115410513|107200792|107220964|124691258|108202956|100768220|100769405|101481594|101985020|103448279|103462482|105173241|123273401|107164222|115996843|124721418|124723891|124734107|124741115|124758803|117540200|101125853|103193160|106857613|107282534|115996886|101851383|102009771|102009884|102462906|124714339|105262642|124759224|124762607|108201060|103120924|103421669|105446131|113541159
right.n.01	right.n.01|prerogative.n.01	117513512|117515806|117519055|101095353|109535937|110146380|110189664|110196737|110196745|110196770|110196882|110196893|110197030|110217908|110227994|110247925|110287843|103234798|103305413|103338531|113541709|113543339|121982337|121987003|121990554|105376104|122690323|106763731|106846971|115524706|124529920|108582361|113543262
opportunity.n.01	opportunity.n.01|occasion.n.05	101565964|109997328|118389729|101692634|118477191|102098459|103321631|103450495|103666178|104339539|114663393|106851902|107112552|124557104|124667645|124686309|124762687|124776180|117339578|117343787|117347030|101096574
permission.n.01	permission.n.01|leave.n.02|license.n.01|license.n.04|sanction.n.01|authority.n.06|connivance.n.02	101377403|102260654|102298008|103414857|121553774|105141106|106488016|106794852|106797018|106816190|106827375|107101900|115504722|123900468|115849866|116331746|101404481|103042733|107230380|107238527|107309704|107351290|116004159|116131328|116138538|108074735|108378447|101899046|102062426|103170530|103180108|103201875|106824184|108060115|103282871|106827912|106846897|116151283|109234950|107288401|103412579|108977917
dominion.n.01	dominion.n.01|dominance.n.02	119012510|119012512|119045761|105166530|105314466|105388515|105437029|114994155|106926017|107971858|108131648|108262945|108370186|108370188|108372591|108372593|118440303|106880413
privilege.n.01	privilege.n.01	118348264|118475415|103260327|103334165|112397339|122627350|106915238|115384233|115511876|107171632|107210687|115842692|115842829|116197494|124596776
office.n.04	office.n.04	120551888|120552701|120552723|121410098|105305361|115540311|107190403|107191901|107192482|107218717|107311557|107324250|107331237|107335849|107341869
ability.n.02	ability.n.02	117507917|117540338|100789947|117584376|118376939|121542116|105162477|105352747|105408184|122689958|114640949
authority.n.02	authority.n.02	117536150|117536254|117582608|110135487|110221956|110231652|120943841|121136901|121245474|108354883|108756574
