haste.n.01	haste.n.01|speed.n.02|speed.n.01|hurry.n.01|celerity.n.01|dispatch.n.03|haste.n.02|pace.n.01|urgency.n.01|urgency.n.03	109062902|100691983|109197537|100897757|109360059|101022671|101330166|101353342|109824021|101444355|101463839|101497937|101523466|101541865|110114956|110124532|102381398|104773018|104919007|105001520|113500074|105133653|105184000|105233586|105288595|106174488|106404154|106410654|106587523|106768864|106776071|106806192|106809096|106822048|106835449|106842899|106843760|106876684|115356640|115488770|107163193|107178166|107220530|107292671|107314080|107465516|116047113|124475444|116101942|116137956|124539871|124541047|124546814|124576158|124585013|124585573|124638205|124650271|124653886|124675638|124675832|124699576|124709976|124732647|124750153|124770904|108067851|108092452|108320315|108581412|108604527|108605955|108606469|117011140|117043700|117052145|108677269|117069255|117083038|117088846|108724323|100352034|117139866|117215762|117218839|117226028|117228560|108859329|100478106|100501389|100525413|108963444|100604305|109039645|100651704|100849405|110044590|103352523|105186336|105219786|105232297|105253835|113650862|113663595|113676412|113688984|113714227|113721280|106408859|106413478|106740496|106756799|106795669|106796913|106842132|106911523|106913770|106932833|107114807|115909089|124531662|124739240|108024354|116887612|116920846|116993358|117090203|117126381|117140586|109036128|101318921|101540100|110028695|118670117|105133181|105140343|105151935|113654511|113657826|113676212|105288320|113681153|113681557|113682094|105295547|113703955|113704619|113704638|113709269|113712615|113717894|106792378|106802273|106813560|106820891|106864416|106869930|107201507|115677514|117022334|108753863|108768809|109040038|101343403|110071636|118720297|120943339|120943562|120978931|104767082|105119281|105152080|105196185|105345875|106768974|107085540|107179702|107305713|115890969|124568918|124692682|116316212|124737359|124744447|108540107|117000329|117048350|117068127|117116620|117121038|117129638|108741294|117131845|117146302|117233045|100528247|106163176|106574542|116989723|117015350|117020663|113401957|106854501|107202098|107338068|105295631|107084866|115932382|100363454|113572610|113720861|100593506
ardor.n.01	ardor.n.01|eagerness.n.01|zeal.n.02|desire.n.01|enthusiasm.n.01|exhilaration.n.01|enthusiasm.n.03|ambition.n.01|gusto.n.01|passion.n.01|passion.n.05|emulation.n.01|excitement.n.02	100758571|117580964|109271056|109271369|101073859|101092038|101339997|118507359|101850223|102225828|119004040|102280732|102282846|103050461|103144927|103257875|120756267|120759765|120780678|112438002|113331982|105246983|113714697|113715105|105764558|122637987|114553441|114557598|114662296|106279337|106295795|106359378|106367603|106454267|106571455|106576542|106580894|106582524|106734573|106735179|106780255|106835536|106844638|106849237|106931837|115330160|115395342|115400023|115432209|123913883|123913929|115528861|123918490|107188475|107210772|107327487|107363664|107369959|107374153|115898328|115917256|116010817|116011761|116031081|116041743|116121965|124542734|124570946|124574171|116207749|116215765|116271073|116287359|124739538|124764211|124766967|124775231|116779196|108562667|117087087|117123961|108758982|117172329|117173522|117192830|117200415|117211379|108845830|108879721|100527808|108931357|109038435|109061728|100808921|109759816|101875716|118679365|103354787|121289116|113653269|113666613|113666642|114604773|106540551|106582680|106819317|106839144|107087212|107202900|107234600|115689769|115699778|115737663|116112579|124532285|124603006|124653742|124692137|124708887|124753364|116541765|108548014|108549281|108589521|117129724|117144398|117235613|108850728|117330957|100598197|100629402|118783564|102310404|105289770|106283685|106373244|106427635|116116665|124754219|117136456|118004614|109886791|106338161|115851514|124645601|124760345|116785596|116832056|106746023|106809323|115500699|107184499|107242253|115702739|124655668|124698735|118328490|118372795|117336741|110018497|118422062|120968649|102262353|102382816|108788338|101855052|123169130|102298024|117336598|109876574|118443899|117339622
earnestness.n.01	earnestness.n.01|gravity.n.03	109113324|109125953|117535788|100764056|117545625|100774268|109171577|117751396|117766046|101487029|118424043|101659192|118455691|110204095|110204121|101880096|118723178|102321840|102321848|110857104|103365365|113531869|122674228|106218334|106263664|106330831|106341863|106347050|106428135|106523269|106764919|106848835|107227080|107367740|115867691|116063092|116277457|108707399|108832645|108932555|108962756|117376702|108993146|108993315|101857210|105332027
attempt.n.01	attempt.n.01|effort.n.02|labor.n.02|trouble.n.04|striving.n.01|exercise.n.01|occupation.n.01|application.n.06|employment.n.02|enterprise.n.01	117531328|118847953|118905162|102240987|102252001|120968825|113468278|105215894|113698944|105311638|123122991|106448060|123560012|106856339|106907423|115347412|107117881|115824434|116131722|124531159|124541933|124713286|124723031|124771398|108562440|108710016|108759032|108763178|108847311|108901146|108939155|100587443|108981618|101021007|110009165|118473917|102252076|103165136|112392786|105121557|106312682|115516508|116796876|108689539|108689806|108799566|108938361|117990557|106145058|106366565|123324523|115891257|116887969|117943369|115797546|101754882|107294076|102249452|116793469|116884007|108680479|108814697
attention.n.01	attention.n.01|notice.n.02|observation.n.02	109139186|117773391|109765785|109924230|109987940|118501505|118512768|101784947|118897279|102257088|104367417|104483352|105131071|105190810|105235608|105236023|105236141|105269768|106189548|106239457|106329530|106413212|123338599|123341543|123341585|107106303|115564921|115774536|107591778|116767443|116870294|108550804|108804872|108822408|118807472
interest.n.01	interest.n.01|concern.n.01|curiosity.n.01	109117292|100757436|100790503|118334091|118371669|118372290|118372512|118391795|110023267|118430416|118456361|118470155|101770322|101827914|118774279|118798088|118849771|102320680|120652104|104303683|113356203|113521478|105405858|114653325|106745510|115343308|115362685|124647357|108877013|108884906|108993086|113428936|123043180|116926671
readiness.n.02	readiness.n.02|willingness.n.01	118516430|101860833|103051873|103354523|103357298|113301786|106179413|106309749|106547363|106572514|106827057|106829854|106835567|115453921|107217574|107251041|115958082|124534224|124559770|124627873|108712225|117136100|100605262|113555153
diligence.n.02	diligence.n.02|diligence.n.01	117505730|101086096|101086148|110191164|110191195|110224357|110236505|113490856|106175374|106495220|107200218|115835291|115895683|115971477|115972624|115975514|115988690|116054113|116272730|108190665|116892016|100412340|110232344|102302949|114549050|106389757|123317530|123340300|115835193|115896240|115956648|115982034|115984599|116028683|116187656
caution.n.03	caution.n.03	100775642|109960900|118365102|102234475|102604179|103361059|103489283|105235497|105320199|105412192|106121536|106221845|115857983|115879150|116026980|116164973|108664125|100380933
pursuit.n.02	pursuit.n.02	118351887|118444185|118444252|118444296|102187686|102322833|113456385|106223928|106244076|106268756|106321932|106359542|123322088|123333694|108778903
