blow.n.01	blow.n.01|stroke.n.12|whip.n.05|stab.n.02|stroke.n.11|smack.n.06	100663465|100663508|109056558|109073332|109073666|109073820|109075178|109110324|100779322|100801746|100808825|100810607|100831002|109259690|109269564|109269765|109269791|109271348|109277169|117668446|109331407|117721283|109332718|109333546|117729086|117737192|117737440|117739220|109393205|109402283|117798643|101119844|101137697|101152352|101159330|101159443|101170354|101170563|117963578|117966307|109650343|101271725|101271771|101271859|101271876|101272165|101272213|101272377|101272420|101272556|101272645|101272874|101272950|101272989|101273167|109696335|109725622|109772465|109785317|109785915|118305467|118305476|101537940|109928099|101569561|118352645|118383866|110001278|110001324|118402580|101626893|118404881|101628780|110025390|118425618|101652725|118434818|101658954|101670796|118498497|101770835|101770907|101771036|101964402|118765329|118855063|118859450|102138283|118932656|118935217|102245999|102256376|102256415|102260846|102260851|102266479|102273604|102274210|102278542|119096661|119130443|119137378|119137430|102393190|102393196|119171224|110856412|102501749|119337889|119347823|119369749|102627311|111154518|111164410|102780722|111198719|103014720|103140929|103145800|103228822|103255722|103286779|103287080|103311754|103312036|103312388|103312392|103332332|103376691|103390560|103679066|120576975|120577265|120577303|103815379|103883296|103939900|120748972|120755385|104018349|104036999|104142060|104162286|104171535|104182439|104182502|104182601|104203453|120986545|104312777|104470117|104651276|104687157|104687197|104689835|121519734|104867424|113300809|113303117|113305356|113305652|113305760|113397139|105039452|113429233|113429485|113431940|105051009|113459207|113460512|105131964|113522209|105134519|105134521|105134534|105135018|113536550|113538969|105154150|105154256|105154258|105183080|113578667|105213776|113617284|113634622|105264831|113696652|105344102|105349214|105356639|105357087|105373688|105412905|105450915|105460942|105681393|122669948|122731537|122790166|106157089|106166642|106180470|106226865|123048208|106314320|123110391|106416479|106490241|106490308|106490317|106490348|106492407|106494285|106494850|106535747|106535803|106562733|106569160|106571031|106589095|106736372|106753974|106753981|106835480|106846228|106862559|106877487|106899349|106903015|106903426|106905438|106905459|106905479|106905549|106909313|106927282|106927305|106932864|115335388|115339477|115355854|115375709|115463736|107084438|115480729|107100425|107101238|107119489|107119934|107119951|107138012|107154077|107172864|123951705|107175257|107176630|123954731|123959934|115571727|123971360|107194229|115592635|123987928|107228505|107237113|115637416|107271470|107279932|107280135|107280613|107285006|115680667|115682232|107299830|107299845|107305391|107311212|107315190|107322116|107340220|107345404|115738078|115738138|115738176|115738221|107360671|107360737|107360765|107361406|115751356|116094266|107708569|107709511|116113397|116113537|116120214|124536331|124540878|124555960|124557882|124559788|124612582|116271615|116276654|116277042|124674325|124674678|116309917|116776951|116788234|116811618|116843491|100090343|116871489|108539538|108543842|108543962|108548913|108603293|108608681|108654398|117050946|108687401|108687848|108725534|108738153|108741730|117134949|108747825|117149066|117149143|117158408|108781733|117181581|117189886|117197133|108808627|108823489|108823535|108827823|108839065|108844905|100479206|108872138|108874317|108880398|108895018|108902641|108910029|108915515|108915546|108915652|108916641|108944422|117337628|108964691|108965280|100582659|100615494|109015021|109024120|109028077|109038063|100656079|119168925|119206685|103577619|113502167|113594812|105265551|105265638|107162431|116120202|116239216|109591902|110853355|105430690|107201191|107365376|100060038|120979768|105322024|107468825|117163497|109037140|100656402|119153983|113298993
wound.n.01	wound.n.01|cut.n.05|injury.n.01|bruise.n.01|sore.n.01|wound.n.03	109085941|109246317|109386311|117994785|101553015|118630376|102277585|119127276|102620228|103311905|103369032|103939485|104189583|120979779|104723162|113504486|105199898|113684731|113715724|122714921|106184603|123147202|106490217|106569179|114985763|106783621|106803056|106871192|106927318|123896107|123896546|107119675|107140824|107173037|107175517|107196373|107196474|107271607|107341596|115869662|124305355|115946332|115958103|107797241|124625675|124637662|124661094|124672419|124673524|124674600|124707112|107954569|107961836|107962291|124777268|124777671|108007415|108115993|108198808|108233795|108242435|108258762|108283248|108286249|108299800|116824041|116824205|116876170|100147750|108597435|117032672|117092575|117099292|108741602|117153319|117153332|117157324|117157354|117179879|108827775|108865736|108910266|108915404|108915970|109026826|109047637|100814871|102402596|103480122|124674378|123951182|108974148|113456563|122005275|106444444
stripe.n.05	stripe.n.05	117460000|109085868|117545090|117545454|117668994|117691605|109385644|101177457|101609830|110136232|110176375|110203342|110205527|102009339|118991593|102238688|102266343|102269317|102279223|102279333|102281827|102289811|102291196|102296652|102297825|102301993|103045459|103054157|120682164|120682315|105006965|105006999|113557831|122003131|106309479|106493911|106563458|107201215|115850836|115850880|115850913|115856863|115879513|116106016|116130591|116147910|116159511|116214553|116296254|108082422|108158337|108564369|108703827|100470156
stroke.n.05	stroke.n.05|stroke.n.04|hit.n.02|crash.n.04	100809853|109400319|109400721|109402259|109648858|110243141|118687453|102183266|119125890|119154834|119156813|102387482|119178124|119193530|119207123|102593870|121141721|104551039|104551158|106895822|115799779|116002074|116236213|116239511|108034238|108201897|108253707|108258906|108299728|108608907|100596460|109047615|109213755|119170826|119332728|116113377|124749180|108202223|108202228|100630905|100923553|102259919|123110544
beating.n.02	beating.n.02|whipping.n.01|punishment.n.01|castigation.n.02	109215951|109244133|109279928|109283596|109332760|117966048|101469639|101514666|102026970|102194451|102238058|119108469|104366824|121331365|121333567|121339512|121343741|104773605|105063472|113495848|113606161|113615144|106166588|106537338|116814676|108837171|109175183|109378723|101506425|118332730|101611225|101994037|101994103|102043028|103384326|103674373|113363484|113398869|113441017|113622386|122669374|116795014|108555733|109381436|121147759|106406205|108154302|120664848|104346697|116192372
plague.n.02	plague.n.02|plague.n.01	110241323|110243892|110244044|104933791|104970433|104980555|104980566|105010190|105010194|105010199|105010234|105011093|122003885|122003942|122003946|122003951|122003988|107864172|116280458|107989568|108007075|108037402|108062899|108251464|108251469|108508305|104980743|104980751
blow.n.02	blow.n.02|impact.n.01|pounding.n.01|jolt.n.01|collision.n.01|concussion.n.02	100830435|109269674|101451419|119337373|103589133|120575276|120577053|104141663|104203463|113655637|105356488|106792572|106912456|107834998|117069657|108811227|117235351|108858976|120576501|120576989|104141829|113578891|123205656|106908805|106927720|107464105|109262323|118497452|104868684|106114496|117315956|110288899|106782705|104129277|123089074|121412638|121505347
plague.n.04	plague.n.04|calamity.n.01|affliction.n.03|curse.n.05	110241257|110244114|110244328|110244632|110244640|110245356|110247147|110248045|104917857|104918458|104959102|122003968|115827914|115828308|115828622|107889051|107890533|107998238|103421615|115559278|115641595|108076888|106409070|108512147
stroke.n.03	stroke.n.03	110242854|110243085|118991317|119127190|119127235|119138923|119141797|119168636|102392854|119206697|110852592|119341026|115272299|115904220|116187483|108270645|108299698
sting.n.03	sting.n.03|bite.n.01	119155057|103373410|104153873|104153913|104723598|104726139|116775552|116826421|116826448|116834828|105681490|105681532
