guard.n.01	guard.n.01|lookout.n.01|defender.n.01|watchman.n.01|custodian.n.01	109064987|117497509|100888732|100905804|100937830|100953264|101086647|101294830|109713057|101354032|101438280|101451693|101451932|101464845|101468279|101468334|101480571|101484903|109895457|118298559|118299904|118300045|118300075|101525692|101547197|101570201|118352889|101576350|101576720|118392277|101621619|101621743|101621751|110173029|118633184|118636263|118654227|118657096|118664733|118672026|118685318|118690503|101963000|119073539|103331228|103482728|103631449|104346169|104494558|105140032|113538712|121986179|105228065|105240553|105268389|113660307|113661255|113661335|113674516|113676230|113678392|113680971|113681681|113683722|105308798|113699420|113708705|113708956|113722838|113733291|105439457|106582934|106770934|106770947|106820689|106824275|106836243|106866614|106879053|106908504|106922185|115345480|115388021|115393546|115448292|107063970|115469442|107087188|115482110|107099503|107105219|107113315|107124298|107134704|107155842|107180368|107198247|107225819|107226881|107263747|107289163|107294879|107302901|107302966|107306842|107314895|107325997|107339550|107342047|107343610|107343678|115741997|107354441|115869595|115871908|115883066|115948007|115975702|116034795|116053315|116096159|116131296|116144194|116144319|124533461|116147216|116153796|116161800|116186853|107802021|124593485|107825805|124606778|124606799|124617848|124619174|116234462|116240262|124636645|116250093|116251596|116254652|124652019|124654952|124656178|124667671|124675032|116290709|116291522|124688254|124697463|124707317|124709664|124733021|107964384|107964403|124758786|107984669|108153801|108294050|100048813|116850036|108579786|108585728|108623145|117021373|108657673|117060171|117062071|117070022|108717093|100329984|100330061|117109838|108728419|108734864|100348910|117128176|100352921|117130848|117131229|117145735|100384692|100392539|117174364|100399024|100431019|100436531|100438255|100455219|100456122|100471266|108925130|108969792|108987235|108987284|109032323|109037762|109059578|109062950|109261295|101058797|101058813|101080188|101190564|101320372|101457071|101541485|101552336|101566241|101613193|102067965|102299367|105268450|105268503|113703779|106805247|107358291|116238435|108605844|108685529|100437976|108871197|108897056|108909748|100610701|102082747|121459900|123560247|103486247|108666951|100636081|124479117
prison.n.01	prison.n.01|jail.n.01|state_prison.n.01	117512281|117668593|117677665|117677669|117677696|117687782|117688405|117688457|117689638|117694459|117694476|117719814|117719901|117720095|117720102|117735548|117736622|117741170|117743828|117747612|117748196|117748199|109744823|110092161|110099074|110099180|110102200|110107649|110107697|110107783|110107811|110114784|110115010|110126528|110136454|110142662|110143658|110144698|110144778|110148201|110167561|110167631|110167696|110169685|110172867|110172892|110172937|110173204|110176206|110176270|110176460|110176511|110183031|110231582|110237769|110246650|119010724|119020453|119020490|119029290|120669101|104168851|121198507|121245855|121342886|121345741|121397294|121401651|121401682|121403789|121450754|121450806|104901731|104901793|104902411|104903844|104903877|104904179|105142807|122003127|105230925|105231066|105353173|105362039|105380029|105389870|105411136|105426707|122707736|106253060|114983581|114994720|106849701|123893113|123917834|115546740|115546769|115546911|115549206|107299650|115960554|107628891|116022736|116074748|116141509|124531919|124600362|124600691|107879565|116322036|116328228|107954342|107968452|107975985|107976014|108003905|108005138|108264575|108301158|108301277|108302158|108304620|108304874|108304950|108305013|108305040|108305211|108305392|108305832|108305931|108305965|108309679|108328211|108357397|108357680|117059876|117113020|117126705|100355378|117155158|108902148|109011828|121337716|121337733|106772705
garrison.n.03	garrison.n.03	109060658|101285416|101299461|101303256|101305312|101317182|101331875|101384995|101437166|101440529|101503693|101508554|101508573|101508593|101589513|102431748|105117977|105125609|105128550|105146076|105146211|105163493|105196369|105200278|105205823|105221789|105224150|105243977|105245354|105247113|105247366|113656886|113659948|113661850|113661911|105283779|113673967|105290158|113685485|105301071|113698152|113707882|113717302|113719029|105404933|105675019|106746977|106775002|106791476|106798992|106800164|106838493|106858655|106865544|106876749|106877218|115461624|115480146|107194278|107221543|107227465|115642017|107289210|107305783|107305859|107316735|107348722|107358048|116009275|124546776|124550902|124577276|116226438|107842805|124640555|124669014|124684989|124691227|116303546|116312738|124714493|124724593|124724713|108618929|117024589|100375085|100389830|100391216|100392508|100394688|100396921|100400008|100442984|100461837|100466025
watch.n.04	watch.n.04|watch.n.02	109052244|109059545|101081327|101086698|101349613|101463299|101552035|110106828|110136015|118646679|118932940|103476618|103483660|103483825|103484661|103486036|103486430|103486911|104920603|105130740|105184719|105268694|105268704|105268783|105268791|105269084|113659386|113663458|113676851|105295764|113708650|113721016|105342118|105342206|105342222|106813064|106821449|106870138|106915567|107123956|107133860|107173171|107260839|115703525|107343807|115871052|116107974|116240095|116250377|107872210|107893620|116284549|108042534|108136195|108179337|108314012|116783732|116857071|117009885|117017059|117067520|108734801|117182896|117219377|108871166|100651196|100654578|100654608|100654635|100995165|101339558|110099458|110115392|103484481|105268655|113708930|113713649|105434420|106793013|116241983|124736533|117028261|117048450|117070615|100654664|100654754
guard_duty.n.01	guard_duty.n.01|mission.n.03|duty.n.02|function.n.03	109193595|101333478|101335318|101454349|101468696|101637829|118646481|102155829|102449121|103482227|103483590|103484545|104718559|104961709|105152028|113651182|105268236|113658743|113693318|113699015|105673737|106840017|106869942|115387487|115409068|107163580|107181443|107229952|107286771|107307545|124585567|124585872|124589746|124614130|124617793|124625895|116250442|124640865|124647907|124648730|124649486|124652485|124653818|124656587|124657435|124665265|124667843|124667915|124668071|124681435|124681505|124693514|124697492|124697918|124702062|124719114|124721175|124736465|124778203|124779183|116959322|117038721|117175099|100482584|104962452|104962480|104962982|104963044|104964118|104964273|104968250|104975010|104975046|104975074|104985390|107982490|107990890|107990901|108016694|102097213|104362756|115642057|118646496
watch.n.03	watch.n.03|surveillance.n.01	109085422|100733627|100964540|110065046|110065100|118478034|110125277|102128534|102236670|102287998|103045148|103053805|103441010|112419207|104343965|113509063|105217214|113692141|106844557|106846753|106892814|115392435|115445542|115491815|123972638|107335460|115746276|115942292|124632640|116310051|124736288|107964357|107982328|107992239|108120188|108138393|108169354|108208289|108234209|116784752|100044586|100054267|100334437|100339259|100352795|100363649|100373556|100377786|100380073|100380235|100381085|100382286|100398519|100399110|117176836|100417394|108808894|100440972|117219135|108876237|108900720|103905772|115401114|115409586
guard.n.06	guard.n.06|bodyguard.n.02	109054740|109248295|101351701|101576864|101623500|118681611|118695709|104346125|104468744|104468769|113651936|105268436|113659608|113661315|113662282|113663435|113681737|113698845|113719526|106770425|106866941|106899197|107104176|107154848|107193910|116113858|116147324|116226302|124627096|124640516|124661315|116300687|116301134|124772132|124778023|108574806|117096922|100360051|117144534|117156412|100393763|117174314|100399410|117184623|100417252|100439151|117218964|100459245|109017339|107225558
precaution.n.01	precaution.n.01	100703732|117564603|101515268|101577748|101596794|101657467|118472807|101774415|118648673|102149586|102201423|102318633|103127865|103134880|103164409|103170515|103186046|103186121|103197424|120657558|104349463|105254125|106586012|115428324|115448555|115460008|107086029|107125420|115519114|107159802|107177145|107177156|107181117|107191543|107226033|107232547|107236777|107273226|107312029|107340421|107350785|107372983|107374980|115974869|116140812|124696233|100349073|108810853
protection.n.01	protection.n.01|care.n.05|preservation.n.01|defense.n.02|defense.n.12|care.n.01|defensive_structure.n.01|stockade.n.01|defense.n.09|fortress.n.01|covering.n.04	100684504|100693392|109122339|118313119|101557400|101599132|103038510|103165237|103390624|103436658|103444377|103464401|103776026|120574767|120575110|103940340|120772260|120772803|104189918|104349283|104473673|105063614|105125593|105131076|105225869|105262316|113662714|114648326|106308259|106763013|115343333|115351717|115383495|115445896|115501153|107142364|107304195|107305155|124575261|124920997|116834850|116990340|101410717|102043755|102067917|102096859|102119433|113658854|106211095|106216544|123559199|115344997|115384399|115446991|115450360|115473219|115832808|115903245|116139864|124675911|107990896|108344480|108344496|100333775|109044001|109250383|118510533|101853451|102334642|103415788|106185482|106185540|106215610|114604977|106579699|106582416|107095584|116256766|108204702|109593741|101299694|107339512|113703332|106817990|107127200|107186177|116291446|107791379|124758108|105239306|106734949|116019681
detention.n.01	detention.n.01|confinement.n.03|captivity.n.01	117477531|103078910|104168340|104973291|105138732|105187988|105234569|113669147|113693330|106746182|106839500|107346965|107362479|115820377|115959204|116226147|107926742|100317891|100383589|108984222|100883923|101058235|115336297|124533828|124618475|110203345|121183003|121531282|100381006
