extremity.n.04	extremity.n.04|end.n.01|tip.n.01|extreme_point.n.01|vertex.n.02|tiptoe.n.01	117609787|117779185|117781254|117781808|117781848|117781877|117784431|117784559|117785497|117788350|117789104|117789203|117789212|117789228|117790410|117791162|117792103|117793685|117794008|117794107|117795175|117796252|117796448|117806109|101573621|102153551|102153581|102523393|119334948|119373028|102599229|102599897|119379717|119380771|102604218|102609688|102609699|102639075|102779684|102779691|102780014|102781050|103856238|103857281|103866131|104242023|104268147|104462426|104462458|104521403|104524667|104526410|104527507|104908404|104908409|105046376|105051415|105129643|113704573|113718557|113762164|105384463|122726877|122731948|106111809|106231159|114635917|106292190|106296073|123101684|106350444|106502232|107547103|107547108|107548323|107548480|107548843|107549790|107550182|107551927|107562769|107563979|107565749|107566891|107566955|107568029|107568070|107568437|107568480|107571581|107572116|107573674|107575255|107575303|107580433|107583642|107590257|107595244|115986265|107599057|107599082|107603413|107629775|107645952|107652463|107688278|107689209|107689219|107693721|107694986|107706194|107712063|107722980|107723129|107726443|107730942|107749929|107758921|107772112|107786297|107813642|107825454|107825518|107826665|107828097|107829820|107839121|107839961|107887498|108006139|108103578|116848845|108512287|116949897|117355506|100989908|117801242|117806121|101036543|118106690|118107899|118108572|101339113|109769347|101573685|101640722|110089129|110106610|110106613|118648304|118677248|119005215|119040259|119040319|119040365|119150862|119165197|119169412|119172645|119173099|119174569|119174615|119180341|119183050|119183091|119187312|119188395|119191699|102626215|102644153|102957540|103490306|120575568|120575985|120576006|120577122|120577297|120577406|120577419|120577733|120579299|120579495|120579894|120580163|120580989|120581018|103832952|103872569|104182595|120970374|104654992|104670094|104672566|104674529|104709800|104937227|104937237|104937383|104992873|104992878|104999850|105010336|105010340|105011399|105014455|122677880|106793242|107181969|107359386|107467226|116239326|107870939|124663947|124664206|107888769|116278965|107895923|124752854|108042316|108042318|108077649|108103590|108152747|108227989|108247394|108263858|108263927|108264640|108265172|108284321|108284325|108326605|116767666|116796844|100030550|116827566|116850865|108506811|100254810|108887024|100640893|109384325|101133490|118112457|118308698|110139094|119138804|119141655|119143620|119147285|119148425|119150999|119159533|119159957|119168001|119170764|119172103|119174663|119178825|119179638|119179782|119183943|119187835|119187948|119189693|103679811|120578412|103815605|103842867|103847638|103861245|103914547|103915839|103929311|103932720|120846154|120848618|120980763|104650416|104652693|104659877|104669860|104670878|104671878|104680960|104718327|104722367|104930868|113320647|113321970|113339361|113427034|113624217|105682099|105684171|106359552|107181985|107573728|124615117|124921780|116777647|116785044|116842938|116856385|116883494|116949873|109257189|102105914|103496650|103496775|103497646|103497655|103498798|103498822|103515670|103517131|103517734|103517902|103518055|103528081|103528546|103529524|103535715|103538607|103682586|103950115|112403575|112403588|104181043|104236041|104253610|104268041|104268213|105911412|105911428|105911703|105945026|123062772|106320925|106338927|123148777|107471423|107546840|107554564|103853352|103889416|104646053|104667567|109833894
promontory.n.01	promontory.n.01|crag.n.01|cliff.n.01	100796394|101050195|101151659|102183868|102358589|102358916|102359081|120773812|104152920|113703696|113703761|113712980|113761295|113923692|107049769|107053639|115555112|115555610|115562197|115606571|115606644|115606683|115626926|115627284|115628031|115628356|107569870|107575353|107592146|107619337|107620636|107639883|107640140|107641208|107644115|107644254|107646027|107646047|107650262|107650506|107650524|107650571|107650578|107650630|107650670|107651131|107652283|107652305|107652375|107652441|107652638|107654581|107655326|107657227|107657281|107674870|107675375|107676608|107677885|107687545|107687805|107691745|107697686|107700575|107711769|107713264|116109222|116109224|107732796|107734054|107734060|107751456|107759554|107759600|107761558|107766797|107766878|107767044|107767651|107767687|107769799|107769831|107769962|107772311|107774435|107774444|107774741|107777562|107779525|107779535|107783797|107784098|107784311|107784499|107800454|107818873|107828247|107828260|107828301|107828946|107829290|124608094|107839506|107842082|107842396|107842915|107842980|107843061|107843586|116821069|116839919|100438957|117231769|100462705|123997865|108908419
top.n.01	top.n.01|top.n.02|crown.n.07|pate.n.02	109215677|101152695|117964550|118107331|118402373|101634220|101716726|110226951|118652933|119026087|119136373|119138467|119142016|119143432|119143560|119144273|119144914|119145602|119149134|119152794|119154394|119155748|119155883|119156370|119156592|119157074|119157574|119160485|119162792|119162868|119164441|119165259|119169910|119172053|119173238|119177001|119178571|119180805|119182169|119182746|119185601|119188368|103373362|103374676|103490545|120577569|120578569|120580156|121149434|104660108|104664887|104665294|104665409|104683133|104687268|104696404|104697353|104697643|104699270|104699352|104702237|104705358|104707251|104908693|104936434|104936440|104937410|113346394|113350048|122677937|122754885|106296728|123966265|115711206|115779196|115838254|107828545|108208805|108269932|108555496|109051030|116288489|107936525|104688491|100499013
altitude.n.01	altitude.n.01	109272329|101020088|101053272|101059234|101088552|101318454|101318590|101318637|101353203|101438745|101438768|101440044|101464470|101464884|101466328|101469775|101469838|101469931|101469954|101469968|101473308|101473924|101484792|101484827|101494786|101494993|101529011|101529190|101529395|101529533|101529538|101529924|101530245|101530281|101530292|101530325|101530347|118343401|118685910|102183759|119067201|104784220|105192937|113680455|105371380|105372337|105422007|115487730|115580203|107194214|115651683|115791705|115791717|107715388|107718063|107718811|107719859|107734179|124689295|116973290|108586772|108604418|108622647|108622822|108624702|108640055|108667712|117061581|117062943|108684589|108723255|108723325|108723422|108723565|108724397|108738391|108740716|108830161|108833557|108955248|108988817
peak.n.04	peak.n.04|mountain_peak.n.01|hilltop.n.01|crest.n.01	117533061|101333029|101333244|101336025|101462177|101462186|101462370|101462391|101463368|101463505|101467578|101471125|101529132|118341609|101875344|119014152|119029385|119046836|119065365|119085374|102373156|120849168|104115218|104675023|121476489|104782450|104934364|113382983|113454956|113471767|105148847|105164365|105181241|113573081|105192711|113612162|113648888|113651568|113666319|113694458|113694507|113694534|113729256|105372259|105372329|105372603|123184367|107122485|115608020|115703269|115747546|115771666|115772725|115791293|107470373|107613450|107617573|107626974|116022467|116037731|116039513|107675360|107705686|107772515|116188964|107845674|107895166|108009471|108245599|108256874|100075622|100253289|100326454|108748442|115723602|107601294|101461436|113333028
extreme.n.01	extreme.n.01	117619066|101708149|102218147|103496677|103497676|103499134|103499136|103499172|103499174|103513769|103515414|103517437|103519287|103527438|103528104|103529070|103529557|103536742|103542640|103655184|103682291|103835058|104054365|112443942|104579749|123231782|123593508
acme.n.01	acme.n.01|extremity.n.03	117621552|117953990|101529695|118381604|101663246|118512601|101970401|102156483|103008964|113572988|113573532|114549415|123096406|106374462|115596194|107256776|119339719|105044714|122725213
extremity.n.05	extremity.n.05|extremity.n.01	119127361|102599674|102608564|119388417|102781101|103378550|103866039|103867403|103867989|104242462|113524276|124921422|116975766|116975772|119386762|120767235|106365487|124480391
cape.n.01	cape.n.01	102352753|113642084|122745494|122745902|122752579|115696901|115709265|115709677|107587685|107587804|107843187
bastion.n.02	bastion.n.02|acropolis.n.01	101473967|101570322|119074748|113661843|113713563|113714533|107693581|116248778|116253596|107774421
