duct.n.01	duct.n.01|passage.n.07|pore.n.02|orifice.n.01|vessel.n.01|nostril.n.01|tube.n.04	118106758|118112166|118112576|118112754|118112866|118113722|110390048|110390190|110392948|110393766|110393789|110394471|110399244|110401535|110403890|110403925|111006516|111153850|111153888|111153895|111153930|111153998|111154090|111154124|111154185|111154525|111154552|111154688|111154732|111156157|111160274|111163188|111163310|111163935|111163945|111172958|111175574|111175681|111175699|111176197|111176693|111176764|111201772|111201833|103763530|103763558|103763604|103763647|103763939|103763988|103764022|103764091|103764111|103764143|103764587|103764603|103764694|103764826|103766369|103766526|103844513|103845446|103845477|103846008|103846054|103846130|103853061|103853368|103853493|103854243|103855448|103855464|103855558|103855608|103855633|103855655|103855668|103855802|103855839|103855894|103855907|103855992|103856625|103856635|103859376|103861758|103866796|103868442|103869943|103870988|103872786|103877653|103877982|103878014|103878063|103878077|103891649|103891678|103891741|103894499|103894937|103894982|103895028|103895045|103895059|103896662|104188476|104188513|104188598|104188622|104189162|104203141|121178664|104463907|104526072|104526648|104527753|124911305|124918482|124918497|117603215|117615651|117640708|109647672|118108170|118109592|118110501|109999524|110394683|102013066|102013087|110403668|110403712|119355996|119356402|119383287|103764643|103765941|103765997|103766050|103766141|103766281|103766633|103766657|103766712|103766890|103770726|103780455|103780467|103783760|103784474|103784546|103786875|103787059|103789777|103792664|103792720|103794004|103801608|103806604|103806669|103806708|103807920|103809354|103812523|103812911|103812930|103817373|103817397|103817473|103842462|103845483|103845506|103845960|103850326|103851220|103851683|103854456|103858919|103859664|103868417|103870489|103870501|103871438|103872893|103878101|103878133|103897715|103904598|103904607|103904634|103904646|104183301|104459046|104545814|104555812|104556166|104776371|104777898|104777922|104778809|104779104|104779199|122766252|106174723|106212385|106532658|106532754|115273542|107588698|107627019|116282202|124918974|124920732|116537920|116807323|116831171|117792599|109690668|109811083|118434073|111150479|111150486|111151107|111151147|111151195|111152215|111152251|111152267|111153262|111153340|111156455|111156465|111156485|111157898|111163343|103579374|103813390|103813402|103813783|103826938|103826984|103827414|103827470|103827485|103828261|103828273|103828277|103828290|103828328|103828340|103828420|103828437|103828448|103828470|103828491|103883632|112386349|104138112|104138125|104141019|104141294|104141840|104141860|104141880|104141887|104141920|104142248|104142441|104142450|121512867|122773391|122775315|107365491|107793002|116561640|116561668|116561812|103907862|104195910|104206907|118113792|103858541|110421723|104186170
passage.n.03	passage.n.03|channel.n.02|duct.n.03|air_passage.n.01|canal.n.03	109318706|101048174|101069577|101070798|118178037|109819271|101667612|110063340|110396399|102370287|119356470|102966764|102995952|102996085|103641669|103784448|103842625|103868846|103871336|103882092|112396191|104652395|104652584|104778598|104779149|105045362|105051850|113640713|113702444|113702506|113703160|113703290|113703482|113707652|113726522|105363501|122673123|122717316|122725867|122732386|122749251|106875245|107541636|107570398|107584052|107621260|107626090|107651068|107659711|107667169|107667180|107680705|107680748|116096178|116096182|107792418|107800310|107806362|107817489|107825489|116949801|108591868|100426804|100454574|109351317|110012769|110393598|110395876|110401365|110419915|111153954|111162130|111163008|111163234|111175635|111175654|111176777|111188693|111202508|103376628|107589004|107589026|107681188|124913393|103869982|104524678|104526412|104526573|104526741|104526765|104526774|104527724|109243990|110401643
strait.n.01	strait.n.01|channel.n.04	101031211|101048997|101090363|109772887|102363171|102368133|102368718|103422555|104870457|105037274|105127959|105146602|105175989|105212180|105213708|105213929|105356381|105358203|105363673|106739355|106828958|106831256|107069137|115778731|107544735|107577434|107617797|107623984|107639462|107672837|107691717|116880065|108591707|108592503|108658503|108698753|108699037|117102006|117103435|108803509|100566116|100593195|100987834|113600801|105213892|113653638|113712236|113718260|113732164|113732449|107716239|107811157|108660907|108794645|100594958|109051023
ford.n.07	ford.n.07	100873844|100878135|100983246|117963164|101465916|101466169|101648099|101648354|101649950|102368982|113654587|113655073|113655162|113688724|113704438|113704460|113713700|113714210|106915318|106915408|115372478|107659793|100014223|100076820|100109803|100132853|100245026|108734887|100610942
means.n.01	means.n.01|manner.n.01|expedient.n.01	100965208|101453063|118412000|102234415|102372640|102372981|104468486|104468512|113637206|106503868|107148163|115557916|116125996|124678193|108075902|100484152|100490823|100500551|100527023|100589643|100605956|100639583|109895660|110069661|106383679
path.n.02	path.n.02|way.n.06|pathway.n.02|road.n.01	100811494|110049322|110068123|110073525|102952046|102954679|102959533|113920932|113923537|113923792|113924024|113924238|113924447|113925489|113926207|113927157|113929128|107846914|116851751|102986537|107563663|102374028|100640496
passage.n.05	passage.n.05|journey.n.01|ocean_trip.n.01|voyage.n.02	109060627|101068973|113687833|113687941|113703006|113703034|113703181|113703818|113704996|113707553|113713687|113714153|122747342|108787745|117202194|100455228|114648952|100584547|100592758
stream.n.01	stream.n.01|river.n.01|rivulet.n.01	102369038|102395648|102403801|102404734|102970115|104867380|104870122|105178182|113674017|113675549|113675999|113676239|113924562|106924034|108585760|108904634|118683118|113685662|113703563|113703881|107836118|107836662|108748391|108904604|101515546
tax_income.n.01	tax_income.n.01	109800154|101512322|103098185|103456310|103480585|104303319|104303436|113475452|122742664|106515240|116195198|124755761|117230672
pore.n.01	pore.n.01|hole.n.01	117776141|110397773|111153966|103560135|103828561|112391001|104141346|104141366|104141609|105051452|122718106|122731984|124920614
