urge.n.01	urge.n.01|irrational_impulse.n.01|motivation.n.01|mania.n.01	109053676|117450307|109071401|109079744|117484148|117491598|117496440|109110105|109110481|117501310|117501360|117501580|117502503|109115572|117523889|109139431|117548036|117557159|109174279|109197251|117589489|117589494|117589517|117589572|117589606|109216102|117610976|117615954|117635467|117635590|109265540|109311356|109331519|109350190|109350235|109354113|109354122|109505701|109506543|101396747|101457846|118314911|118333209|118377395|110052157|118441165|118443328|118448934|110062680|110076334|101811764|101835657|101835692|110229308|101843721|110249030|101887038|118801803|118853015|118858749|102114928|102151850|119062782|119093250|119094278|119101934|119139877|119343661|119343958|111189077|102969444|103673635|103673683|103673807|103673972|103673996|103694023|103694156|103694208|103694803|103694812|120657401|120661043|120661577|120661632|112424577|104041279|104041395|104047537|104047631|104047691|112446941|104088721|104128180|104214213|104298388|104504019|121461670|121461709|121461720|104780128|113327896|105194535|121975953|121975992|121976003|122002313|105263743|105271268|105277681|105277692|105352494|105374687|105378191|105413294|105437142|105450884|105772800|105774561|122674233|122676813|122682327|122685894|122685985|122686137|122686154|122686174|122686202|122688482|122688768|122694283|122767075|106151379|106155839|106181616|106195069|106246532|106259411|106263421|106274094|123064897|123089098|123089592|123104372|123138274|123138471|106375024|123156961|106386103|106388774|123169081|106403735|106448493|106449856|106457256|106464401|106466924|106475791|106477241|106488555|123271083|106500858|106526882|106530206|106533957|123337164|123340703|106747786|123542561|123569121|123569503|123569505|123590059|123591683|106847453|106855091|115254038|115263593|123653165|106876768|115273550|115273793|106889105|115380573|115481593|115518362|107138939|107198239|107234108|107311294|107455637|107585429|124650943|116263361|116593236|116593262|116593279|108318348|116767806|116773523|116784336|116808745|116811473|116832039|108588798|108609659|108609862|108609932|108615533|108650145|108650425|108669329|108717920|117126028|108816005|108870907|108918565|108945226|117377395|109036347|109051090|117523191|118980030|110850808|120652347|106159377|106247524|101029420|105336195|106116348|116291986
attack.n.01	attack.n.01|attack.n.05|charge.n.01|assault.n.02|assault.n.01|offense.n.05|invasion.n.01|inroad.n.02|foray.n.01|operation.n.05|penetration.n.01|expedition.n.01	101455645|110019266|110174508|118648762|118666244|118886685|102158472|102412016|103370430|105124815|105180101|105190307|105209190|105227565|105248551|113657390|105320261|113714459|106743891|106862459|115360617|115373952|115384739|107084938|107086131|107154467|107175037|107346892|116233039|124623986|116238930|116246818|116246936|116249568|116263410|124660719|124670723|116288484|124695629|124699885|100047873|108601675|117032006|108684671|108717961|117143791|117225619|108959437|118859363|102273612|122791650|122791964|106893680|123974641|116294263|108146769|116822548|116843271|105253444|122789453|115360197|123938572|124674791|124696686|124775917|117207263|110047023|103378033|105306498|116216522|116230667|123984257|116810794|117063111|117219610|105195883|105239167|110032341|105149919|113650489|106752288|116221994|108825474
inclination.n.01	inclination.n.01|tendency.n.03|hunger.n.02|leaning.n.01|proclivity.n.01	117465196|117465239|109395858|109400421|109400877|118821693|120727133|113303720|105159184|105166335|105245796|105256006|105256505|105278238|105358150|105369516|105436885|122688068|106116201|123068271|106338690|106373118|123184326|106410145|106512017|123340363|106753174|115880624|115948260|116180923|116213792|116294946|116585996|108605914|103560229|113428777|116769308
attempt.n.01	attempt.n.01|enterprise.n.01|undertaking.n.01|effort.n.02|project.n.02|plan.n.01|essay.n.02	117598909|117623389|118007270|118012403|110034049|110059607|102972436|121431410|113479697|105215788|122002177|106879138|116044183|116085360|116085448|116217789|116219172|116220309|116220396|116241726|116253446|116255716|116905456|108669111|108918037|109044747|100840431|118807237|115519437|109043483|102159226|103597039|108641809|105168232|108556984|108695935|105364625|105412063|108817771|109065366|117010821|108588656
ardor.n.01	ardor.n.01|eagerness.n.01|passion.n.01|enthusiasm.n.01|exhilaration.n.01|enthusiasm.n.03|passion.n.05|gusto.n.01|lecherousness.n.01|bang.n.04|zeal.n.02	118870539|105132357|105159820|105169402|105186253|105244889|105292521|105320551|106805572|115463618|116043005|116136640|116177806|116232886|116249851|116249909|124670247|116999938|108724245|117145994|117205502|117210481|117219508|108879991|108893153|108970707|109840845|118900509|105443208|106544188|106807338|107114426|107192304|107220142|107743310|116238676|116238761|116787941|108733747|108736070|117197868|108903649|117322689|108995824|117496736|105136023|105202283|105325648|105764448|122739769|106193356|106418069|106502053|106533358|115673437|115906361|116044503|118871914|105130649|105183663|105185932|105186207|105244935|105305730|115378834|115380894|115491828|115492838|105384378|105413077|118845075|115816547|106748717|116769131|117140051|117200897
appetite.n.01	appetite.n.01|desire.n.01|caprice.n.01	117493121|117493135|117493145|117636053|117636062|117636107|117636127|109400511|109400549|117985848|117986789|117999508|109734242|122777704|106126963|106126976|106126995|106160773|106212600|106298420|106340565|106451852|116827795|117994431|109836572|112421098|105188246|105346342|122774928|106145080|106198438|106322646|106369776|106427818|115968167|108585737|108714229|100375875|108980516|109128859|105408127
impetuousness.n.01	impetuousness.n.01|impulsiveness.n.01	109073729|109266240|109378329|101150948|118656223|122771269|106130614|106135270|106150669|106160822|106176514|106188249|106212460|106223723|106224290|106305771|106306115|115389750|124776580|116807891|117161028|117210698|105195847|115543124
violence.n.01	violence.n.01	105210871|105410978|106225692|106337382|115333399|115356568|115360143|116149680|116216032|116216054|116216077|116223239|116223424|116278172|116294697|116312960|108093962|108373161|117093761
fury.n.01	fury.n.01|craze.n.02|anger.n.01|resentment.n.01|rage.n.02|rage.n.04	113503161|105306357|105354799|105364846|122754778|106829964|115832016|116145123|116231505|116284303|116288437|116294511|116294819|117073105|117151967|117206948|117224077|117225893|100800879|122757543|122758790|117062550|110005671|116032062|105354769|116222301|117355452
drift.n.01	drift.n.01|stress.n.05	109314323|118366185|118891881|111185135|103347136|104555944|113536907|113601345|106190247|106349678|123559031|116812925|117031938|117094518|110049146
