appearance.n.01	appearance.n.01|impression.n.02|semblance.n.01|guise.n.01|face.n.03	117501312|117501399|117546870|117616130|117668034|117668082|117668213|117670052|117671339|117671816|117671968|117673519|117673970|117678015|117682228|117682240|117682300|117682518|117682528|117685693|117685935|117686981|117686984|117689806|117690025|117694895|117695055|117695171|117695195|117695626|117698561|117702332|117704946|117705277|117705390|117705458|117705504|117705560|117705575|117705897|117706914|117709472|117709502|117710324|117710476|117711085|117712212|117712288|117715085|117715116|117716054|117716143|117716618|117716721|117717343|117719675|117719975|117720063|117722224|117722379|117722470|117722512|117724789|117725617|117727068|117727719|117727906|117728056|117728757|117730895|117735903|117736039|117736708|117747215|117747259|117747890|117749587|117751575|117753175|117756230|117756689|117759280|117760301|117760307|117760807|117761039|117761535|117761663|117761756|117761849|117765193|117784819|117981854|117981999|117992638|117993518|117994425|118001525|118002820|118002865|118013792|118013903|118639985|110390744|111174269|103631796|120752090|104129723|104131408|104133272|104133469|104158399|121219610|121235769|121237121|121270982|121284158|104528645|121351423|121389343|121442978|105045581|105180666|105301766|105428502|122693592|122719992|122726086|106113926|106124202|106146101|106174528|106176799|106194184|106204414|106207492|106244215|106264054|106326126|106326884|106326947|123109646|106377686|106378419|106405308|106426850|106434854|106444412|106525055|106526169|106530865|106568197|106575164|106579159|115261021|107452783|107564324|107602085|107790066|107814934|116550117|116555014|109123639|104158480|105440994|123250022|107473609|116537841|116538253|116541785|116869446|109318382|121539070|106196683
impression.n.01	impression.n.01|opinion.n.01|preconception.n.01|effect.n.03	117495670|117504281|117557228|117630801|117630807|109317953|109318576|117726751|117758009|117764484|117985853|117986461|117988467|117990566|117994021|117997016|118000916|109852075|118659319|119092155|111149654|111149869|111149928|104015444|104048991|104049011|104049194|104080563|104486188|104486886|104487688|121419056|121547997|121942106|113588159|105421477|122689581|122717035|123060629|106290966|123108945|123109219|106396148|116535513|116536410|116537310|116537534|116537700|116538129|116538512|116538522|116538561|116538598|116538717|116538731|116538762|116539135|116539723|116539750|116539890|116539935|116540366|116541490|116541610|116542168|116542208|116542214|116542215|116542251|116542459|116542460|116542471|116542717|116542738|116542836|116549695|116549696|116550051|116550158|116550168|116550191|116550230|116550653|116551414|116551419|116551943|116552343|116556725|116556733|116556747|116590638|116590655|116590658|116590666|116590684|116590705|116590707|116590720|116590730|116590746|116590787|116590796|117703940|117751227|109372467|103583881|117747811|117956991
imagination.n.02	imagination.n.02|imagination.n.01|vision.n.01|fantasy.n.01|fancy.n.02|dream.n.01|invention.n.01	117708753|109350187|117949460|117997756|117998275|118001614|118813554|111168288|103573297|103573977|103574295|103583679|103583691|103583794|103583922|103583946|103584126|103584352|103584446|103587341|103587458|103587973|103587998|103669844|103948309|103950637|112394714|104477036|113358694|105318585|122773300|122773701|122773786|122776617|106126974|106127000|106135268|106212458|106250844|106252579|106264377|106338688|106340567|123142349|123143473|123145400|123145406|123145409|123145429|106375291|106472785|123549477|123559823|123564305|123633072|117745880|117948641|117948771|117949241|117949417|118813531|102916525|103583671|103583778|103583974|103584010|103584140|103584361|103586628|103587354|103948329|103948570|103948868|103948905|103949111|103949276|103949492|104261596|104261611|104477051|122710806|122773210|122773337|122773765|122773799|122774922|122784835|106126981|106142609|106146219|106161982|106184253|106188022|106192770|106212527|106264443|123048763|106281795|106291725|123140735|123142458|123143320|123271229|123276290|123546768|123547146|123547501|123632979|116069653|124580472|117543236|117546827|117557203|117583258|109299872|109304908|109936737|102071266|119366164|120649535|120649602|104483321|106341599|106345706|106356400|106377957|106386537|106391412|106392094|106392998|106393042|106395656|106416391|123194034|106417657|123198630|123198660|106527505|108189840|108654886|117501423|117543121|118394147|119177597|119348005|119351019|119364743|121980745|121980772|121980829|121980953|123569265|121141801|121461672|121975955|122773350|123271568|122701526|106459116|106266294|106381961
illusion.n.02	illusion.n.02	117465335|109372623|109384443|101750271|101785347|101785500|101786585|119332839|119336912|119345324|119346945|119353285|122770390|122773375|106137488|123040339|106393108|123271536|123271546|123271618|117364187|117377224
image.n.01	image.n.01|mental_picture.n.01|representation.n.01|appearance.n.04|illusion.n.01|apparition.n.03|apparition.n.01	117501474|117943982|117948588|117986886|110392580|118873111|103565742|103578634|103582202|103583616|103587369|121408754|122770161|123140843|123140849|123141041|123146348|123147546|106377787|123228564|106533120|115923599|119090283|103583816|121961114|105423753|117489039|123138474|117709164|106341368|111176112|104560951|104154922|122757587
presentation.n.02	presentation.n.02|presentation.n.04|show.n.01|magic_trick.n.01|parade.n.03|exhibition.n.01|presentation.n.01	103565747|103951515|103951542|103953403|104012988|121471282|122681695|122681714|122681736|122681754|122681824|122688999|122718715|123146373|116536187|116556444|116556488|116556779|116556786|116556824|122696303|116556809|109767027|113610774|105334899|123907320
idea.n.01	idea.n.01|concept.n.01|thinking.n.01	117981666|117983461|117983612|117985304|117988634|117992249|117998845|117999103|118000592|118003036|109898014|105341604|106165858|106193827|106251347|106413349|106433336|106434293|121379675|106175397|106183026|106213359|106284033|106357248|106372487|106448225|106504693|116556354|108650149|108650232|123177960
percept.n.01	percept.n.01|sight.n.01|perception.n.03	117501363|117501582|104037498|121971975|122608422|122681030|122681601|106122741|106250765|106251414|106252354|106290209|106489859|106523280|106565879|117737325|118175483|105360553|106529328
display.n.03	display.n.03|picture.n.01|representation.n.02|spectacle.n.02	103952565|105045610|122681373|122681847|122681912|122682200|122718752|122726115|116556523|116556874|116556908|117467510|117808298|122691299|107575644|109766896|121190644
vision.n.05	vision.n.05	109251594|119055443|121199022|106341586|106349446|106356335|106356498|106362838|106378090|106391683
