treatment.n.01	treatment.n.01|care.n.01|treatment.n.02|therapy.n.01|management.n.01|nursing.n.01|care.n.05	100724609|109114846|109199203|117628525|109528359|101271784|101627344|110019465|118410917|110022986|118425336|118433150|118456930|118475152|118475539|118487100|102180406|119176650|119370393|119381417|119392218|102619687|102638123|102781357|111179319|102926364|103939533|103941933|112395912|112414528|112416212|112417324|112420065|112420753|112420953|112428537|112443793|112446357|112454033|112454055|104326982|121246765|121399554|113298514|113541059|113544483|105167446|105188691|105444365|123525784|115235861|115236452|115268661|124580920|116570425|108387236|116844495|108613707|108877942|108895176|100673087|100673258|100673557|109349376|117975506|101337016|101598912|118441276|118512705|101745338|101770400|101803281|102225729|103336301|103341615|103449885|103486303|120652953|120661012|103927235|103942216|103942436|103943615|104647891|104657285|104657769|104702856|113301857|113391412|105139719|121990503|105320079|105370650|105439494|114641147|115376269|115389501|115533998|115811546|115987442|116291537|108690668|108980110|108981464|117608552|118456469|101796903|101796921|101927127|101927159|110394602|102049503|119384375|111179866|102925915|103943299|112395942|112397772|104015701|112415354|112415442|112415754|112422392|112443685|121980437|106927420|108713207|117321637|112446637|112446663|106928751|107366481|101796136|116170169|106835019|107794273
remedy.n.02	remedy.n.02|medicine.n.02	117494632|117630505|117704932|101972169|110859470|102518161|119365088|119388580|102645398|102926151|112413892|112415701|112417257|112422429|112422744|121389238|121421641|121423087|121549008|113298390|105042904|113478952|113542557|113636133|106162139|106173635|106179627|106183960|106213979|106301666|123086273|123132023|106388140|106457118|106457579|106468100|106537528|123525735|106908383|115886071|115920432|115954330|107616334|107669177|107696064|107771653|107774669|116206862|107829025|107829047|116901602|116952801|116952891|117099131|108902976|117342358|113327606
worship.n.01	worship.n.01|service.n.03|idolatry.n.01|ceremony.n.03|devotion.n.04|rite.n.01|religious_ceremony.n.01|purification.n.03	100685177|117485836|101894270|102314988|102315009|104162076|104360901|121357288|121373085|121487434|121520014|121533069|121533152|121533156|121535490|113336636|121956647|121966049|122606911|106172779|106172785|106174458|106182465|106512624|106513346|106543948|123333619|123334187|123337212|123341906|123552768|123575126|123575548|107268157|115953627|107635780|116094684|116153139|116168051|116170406|116170592|116181517|116313538|108563927|108664112|101696131|121539268|106167616|106461811|107107881|108229436|108229950|100703688|100753270|109392471|102223104|107108785|107128186|108029807
service.n.01	service.n.01|service.n.02|relief.n.05|aid.n.02	117608443|117610442|102142766|102142776|118981321|121463489|121535445|106232769|106315479|106378288|106440808|106447039|106477437|106477500|106505071|115347295|117332769|100579390|109034764|117608415|117616940|117622867|101367139|101677297|101878148|102085640|118981876|121539290|113694766|106216683|106263717|106291216|106315880|106440155|106447700|106469543|106483433|106521483|102000162|102006820|102007920|106207004|106249363|106284586|106331070|116824219|121420449|113315061
healing.n.01	healing.n.01|convalescence.n.01	118179089|118429268|110132078|110247648|112390264|121475968|121499926|121962389|121975115|121983737|121984138|122007435|122007662|105681136|114988290|106762754|123901968|121550857|113544675|116231179
cortege.n.02	cortege.n.02	100993532|101556175|118788734|118941466|105278010|113667657|113726067|105400579|106910263|115503071|108549305|108638079|108707254|108862226|117347197|117348741
attention.n.04	attention.n.04|deference.n.01|court.n.11|esteem.n.01|honor.n.02|courtesy.n.01	109209985|101117892|109791274|101581448|101581472|101581535|101595170|113543467|106403704|115725429|107780172|108554419|117321886|109034186|115630968|115907270|116098919|116184286|116191911|116220621|116231299|108751226|109794294|107725618|108765279|110019601|116027347|121551216|108863085|107762248
attendant.n.01	attendant.n.01|servant.n.01|courtier.n.01|servitor.n.01	109801472|105240555|106439587|115503564|116113852|107807992|124599540|116264423|108670625|108672961|108961469|101036405|106335597|106399847|106409681|106504801|107086096|115863261|116035212|108032188|108747112|109791361|108881892
attendance.n.01	attendance.n.01	101580665|101585098|119062824|113655018|106401868|115514741|115819735|115833697|124595718|108845208|109041879
attention.n.01	attention.n.01|notice.n.02|observation.n.02	101411559|101677350|101677437|101677591|101677619|103945345|113690390|113729020|106447238|106490953|113454328|100356570|102096637
redress.n.02	redress.n.02|repair.n.01|improvement.n.02	121475907|106213843|106258855|106365843|106459857|123545168|117322506|117342047|123038824|115963223
